子曰:學而時習之，不亦說乎?	Đức Khổng tử nói: “Học rồi mà tùy thời ôn tập, lại chẳng đẹp lòng sao?
子曰：“聞斯行之。”	Thầy nói: Nghe xong thì hành động ngay.
赤也惑，敢問？	Xích này nghi ngờ, xin hỏi.”.
子曰：求也退，故進之；由也兼人，故退之。	Đức Khổng Tử nói: “Trò Cầu ưa thụt lùi, nên thúc cho tiến lên. Trò Do là người hiếu thắng, nên kéo lùi lại.”.
子曰：吾以女為死矣！	Đức Khổng Tử nói: “Ta cứ tưởng ngươi đã chết rồi”.
曰：子在，回何敢死？	Trả lời: “Thầy còn sống, Hồi sao dám chết?”.
季子然問：仲由、冉求，可謂大臣與？子曰：吾以子為異之問，曾由與求之問？	Quý Tử Nhiên hỏi: “Trọng Do, Nhiễm Cầu có thể được gọi là bầy tôi lớn chăng?”. Đức Khổng Tử nói: “Ta cứ tưởng hỏi về người nào khác, bèn là hỏi về anh Do và anh Cầu.
所謂大臣者，以道事君，不可則止。	Kẻ được gọi là bầy tôi lớn, thì lấy đạo lý mà thờ vua; nếu chẳng thể hiện được thì thôi.
今由與求也，可謂具臣矣。	Nay anh Do và anh Cầu có thể gọi được là bầy tôi đủ số thôi.”.
曰：然則從之者與？	Lại nói: “Như thế, có thuận theo chăng?”.
子曰：弒父與君，亦不從也。	Đức Khổng Tử nói: “Giết cha và vua thì chẳng thuận theo đâu.”.
子路使子羔為費宰。	Tử Lộ khiến Tử Cao làm quan Tể ấp Phí.
子曰：賊夫人之子！	Đức Khổng Tử nói: “Hại con người ta rồi!”.
子路曰：有民人焉，有社稷焉，何必讀書，然後為學？	Tử Lộ nói: “Có dân là có người vậy; có đất nước vậy; sao phải đọc sách, rồi sau mới là học ?”.
子曰：是故惡夫佞者。	Đức Khổng Tử nói: “Thế nên mới ghét kẻ nói khéo.”.
子路，曾皙，冉有，公西華侍坐。	Tử Lộ, Tăng Tích, Nhiễm Hữu, Công Tây Hoa ngồi hầu.
子曰：以吾一日長乎爾，毋吾以也。	Đức Khổng Tử nói: “Ta coi như lớn hơn các ngươi một ngày tuổi, nhưng đừng ngại gì về ta.
居則曰：不吾知也！如或知爾，則何以哉？	Ở nhà, các ngươi hay nói: ‘Chẳng ai biết ta!’, như có ai đó biết các ngươi, thì làm sao?”.
子路率爾而對曰：千乘之國，攝乎大國之間，加之以師旅，因之以饑饉，由也為之，比及三年，可使有勇，且知方也。	Tử Lộ liền hấp tấp đáp rằng: “Một nước ngàn cỗ xe, bị ép giữa khoảng nước lớn, lại thêm nạn binh đao, nhân vì thế mà bị đói kém; Do này nếu được cai trị ở đó, kịp tới ba năm, có thể khiến dân có dũng khí lại có đạo đức nữa.”.
求，爾何如？	“Anh Cầu, ngươi thế nào?”.
對曰：方六七十，如五六十，求也為之，比及三年，可使足民；如其禮樂，以俟君子。	Đáp rằng: “Một địa phương cỡ sáu, bảy chục, hay năm, sáu chục dặm; Cầu này nếu được cai trị ở đó, kịp tới ba năm, có thể khiến cho dân no đủ.
赤，爾何如？	Còn về lễ nhạc thì xin đợi bậc quân tử.” “Anh Xích, ngươi thế nào?”.
對曰：非曰能之，願學焉！	Đáp rằng: “Chẳng dám nói đến tài năng gì, chỉ muốn được học thôi.
宗廟之事，如會同，端章甫，願為小相焉。點，爾何如？	Còn về việc ở Tông miếu hay ở hội đồng, thì xin mặc áo lễ đoan, đội mũ chương phủ, tình nguyện làm một chức quan nhỏ giúp về việc lễ nghi.” “Anh Điểm, ngươi thế nào?”.
鼓瑟希，鏗爾，舍瑟而作；對曰：異乎三子者之撰。	Đang nhẹ gẫy cây đàn sắt, kêu tình tang, ông buông đàn đứng dậy, đáp rằng : “Sự lựa chọn của tôi khác với ba anh kia.”.
子曰：何傷乎？	Đức Khổng Tử nói: “Nào hại gì ?
亦各言其志也。	Cũng là mỗi người nói lên chí hướng của mình thôi.”.
曰：莫春者，春服既成，冠者五六人，童子六七人，浴乎沂，風乎舞雩，詠而歸。	Đáp: “Vào khoảng cuối xuân, áo xuân đã may xong, tôi với năm, sáu thiếu niên, với sáu, bảy đồng tử, tắm ở sông Nghi, hóng gió ở đàn Vũ Vu rồi ca hát mà trở về.”.
夫子喟然歎曰：吾與點也！	Phu tử bùi ngùi than thở rằng: “Ta cũng thích như anh Điểm vậy!”.
三子者出，曾皙後。	Ba người kia ra, Tăng Tích ở lại sau.
曾皙曰：夫三子者之言何如？	Tăng Tích nói: “Lời nói của ba anh kia là thế nào?”.
子曰：亦各言其志也已矣！	Đức Khổng Tử nói: “Cũng là mỗi người nói lên chí hướng của mình ấy mà.”.
曰：夫子何哂由也？	Hỏi: “Tại sao thầy mỉm cười anh Do?”.
曰：為國以禮，其言不讓，是故哂之。	Đáp: “Làm việc nước phải giữ lễ; lời nói của anh ta không có nhún nhường, cho nên ta mỉm cười.”.
唯求則非邦也與？	“Riêng anh Cầu, thì chẳng phải nói về nước đấy ư?”.
安見方六七十，如五六十，而非邦也者？	“Làm sao chỉ thấy một địa phương sáu, bảy chục, hoặc năm, sáu chục dặm mà chẳng phải một nước là thế nào?”.
唯赤則非邦也與？	“Riêng anh Xích, thì chẳng phải nói về nước đấy ư?”.
宗廟會同，非諸侯而何？	“Tông miếu, hội đồng, chẳng phải nước chư hầu là gì?
赤也為之小，孰能為之大！	Anh Xích mà làm chức quan nhỏ giúp về lễ nghi thì còn ai có khả năng làm chức quan lớn?”.
顏淵問仁。	Nhan Uyên hỏi về điều nhân.
子曰：克己復禮為仁。	Đức Khổng Tử nói: “Khắc chế lấy mình, trở lại theo khuôn phép là làm điều nhân.
一日克己復禮，天下歸仁焉。	Một ngày khắc chế lấy mình, trở lại theo khuôn phép, mọi người sẽ trở về điều nhân.
為仁由己，而由人乎哉？	Làm điều nhân do mình, chứ do người ư?”.
顏淵曰：請問其目？	Nhan Uyên nói: “Xin hỏi về điều mục.”.
子曰：非禮勿視，非禮勿聽，非禮勿言，非禮勿動。	Đức Khổng Tử nói: “Chẳng hợp khuôn phép chớ nhìn, chẳng hợp khuôn phép chớ nghe, chẳng hợp khuôn phép chớ nói, chẳng hợp khuôn phép chớ hành động.”.
顏淵曰：回雖不敏，請事斯語矣！	Nhan Uyên nói: “Hồi tuy không sáng suốt, nhưng xin làm theo những lời thầy.”.
子曰：出門如見大賓，使民如承大祭。己所不欲，勿施於人。	Đức Khổng Tử nói: “Ra cửa như thấy khách lớn; sai khiến dân như đảm đương lễ lớn, điều gì mình không muốn chớ đem cho người.
在邦無怨，在家無怨。	Trong nước không có điều oán giận, trong nhà không có điều oán giận.”.
仲弓曰：雍雖不敏，請事斯語矣！	Trọng Cung nói: “Ung tuy không sáng suốt, nhưng xin làm theo những lời thầy.”.
司馬牛問仁。	Tư Mã Ngưu hỏi về điều nhân.
子曰：仁者，其言也訒。	Đức Khổng Tử nói: “Người nhân, nói năng phải thận trọng.”.
曰：其言也訒，斯謂之仁矣乎？	Lại hỏi: “Nói năng phải thận trọng, như thế gọi là nhân được chăng?”.
子曰：為之難，言之得無訒乎？	Đức Khổng Tử nói: “Làm thì khó, vậy chứ nói năng mà không nên thận trọng sao?”.
司馬牛問君子。	Tư Mã Ngưu hỏi về người quân tử.
子曰：君子不憂不懼。	Đức Khổng Tử nói: “Người quân tử không lo buồn, không sợ hãi.”.
曰：不憂不懼，斯謂之君子矣乎？	Lại hỏi: “Không lo buồn, không sợ hãi, như thế gọi là quân tử được chăng?”.
子曰：內省不疚，夫何憂何聚！	Đức Khổng Tử nói: ”Tự xét trong lòng mà không có điều đau đớn, thì sao phải lo buồn, sao phải sợ hãi?”.
司馬牛憂曰：人皆有兄弟，我獨亡！	Tư Mã Ngưu buồn rầu nói: “Người ta đều có anh em, riêng tôi thì không.”.
子夏曰：商聞之矣：“死生有命，富貴在天。”君子敬而無失，與人恭而有禮，四海之內，皆兄弟也。	Tử Hạ nói: “Thương này nghe rằng: ‘Chết sống có số phận, giàu sang do Trời.’ Người quân tử giữ tôn kính mà không lỗi lầm; giao thiệp với người thì khiêm cung mà có lễ phép; bên trong bốn biển, đều là anh em cả.
君子何患乎無兄弟也？	Người quân tử lo gì không có anh em?”.
子張問明。	Tử Trương hỏi về sự sáng.
子曰：浸潤之譖，膚受之愬，不行焉，可謂明也已矣。	Đức Khổng Tử nói: “Những lời gièm pha ngấm dần dần, những lời tố cáo ở ngoài, chẳng tác động đến; có thể được gọi là sáng ấy vậy.
浸潤之譖，膚受之愬，不行焉，可謂遠也已矣。	Những lời gièm pha ngấm dần dần, những lời tố cáo ngoài, chẳng tác động đến; có thể gọi được là cao xa nữa.”.
子曰：足食，足兵，民信之矣。	Đức Khổng Tử nói: “Đủ lương thực, đủ binh lính, được dân tin.”.
子貢曰：必不得已而去，於斯三者何先？	Tử Cống nói: “Nếu bất đắc dĩ phải bỏ, trong ba thứ đó, bỏ thứ nào trước?”.
曰：去兵。	Đáp: “Bỏ binh lính.”.
子貢曰：必不得已而去，於斯二者何先？	Tử Cống lại nói: “Nếu bất đắc dĩ phải bỏ, trong hai thứ [còn lại] đó, bỏ thứ nào trước?”.
曰：去食。	Đáp: “ Bỏ lương thực.
自古皆有死，民無信不立。	Từ xưa đều có người chết; dân mà mất niềm tin thì không thành tựu được đâu.”.
棘子成曰：君子質而已矣，何以文為？	Cức Tử Thành nói: “Người quân tử, có chất là được rồi. Cần đến văn làm gì?”.
子貢曰：惜乎，夫子之說君子也！	Tử Cống nói: “Tiếc thay! Lời luận bàn của phu tử về người quân tử.
駟不及舌。	Xe bốn ngựa cũng không đuổi kịp lời đã nói ra!
文猶質也，質猶文也。	Văn cũng như chất; chất cũng như văn.
虎豹之鞟，猶犬羊之鞟？	Da đã cạo lông của con cọp, con beo cũng như da đã cạo lông của con chó, con dê thôi.
哀公問於有若曰：年饑，用不足，如之何？	Vua Ai Công hỏi Hữu Nhược rằng: “Năm nay mất mùa, không đủ chi dùng, phải làm sao?”.
有若對曰：盍徹乎？	Hữu Nhược đáp rằng: “Sao chẳng lấy thuế triệt?”.
曰：二，吾猶不足，如之何其徹也？	Vua nói: “Lấy hai phần, ta còn không đủ, sao lại lấy thuế triệt thôi?”.
對曰：百姓足，君孰與不足？	Đáp rằng: “Dân chúng đủ ăn, thì vua chẳng đủ với ai?
百姓不足，君孰與足？	Dân chúng chẳng đủ ăn, thì vua đủ với ai?”.
子張問崇德，辨惑。	Tử Trương hỏi về việc tôn trọng đức hạnh, làm rõ sự mê lầm.
子曰：主忠信，徙義，崇德也。	Đức Khổng Tử nói: “Chuyên chú vào điều trung tín, làm theo điều nghĩa, đó là tôn trọng đức hạnh.
愛之欲其生，惡之欲其死；既欲其生，又欲其死，是惑也！	Yêu ai thì muốn cho sống; ghét ai thì muốn cho chết; đã muốn cho sống lại muốn cho chết, chính là mê lầm vậy.”.
齊景公問政於孔子。	Tề Cảnh Công hỏi về chính trị với Đức Khổng Tử.
孔子對曰：君君，臣臣，父父，子子。	Đức Khổng Tử đáp rằng: “Vua ra vua, bề tôi ra bề tôi, cha ra cha, con ra con.”.
公曰：善哉！	Công nói:”Tốt lành thay!
信如君不君，臣不臣，父不父，子不子，雖有粟，吾得而食諸？	Không ngờ gì như vua không ra vua, bề tôi không ra bề tôi, cha không ra cha, con không ra con, tuy có thóc lúa, ta có được ăn chăng?”.
子曰：聽訟，吾猶人也。	Đức Khổng Tử nói: ”Xử kiện, ta cũng như người.
必也，使無訟乎！	Ắt là phải khiến cho đừng kiện cáo nữa chứ?”.
子張問政。	Tử Trương hỏi về việc chính trị.
子曰：居之無倦，行之以忠。	Đức Khổng Tử nói:”Phụ trách công việc thì không mệt mỏi, thi hành công việc thì thành thực.”.
子曰：君子成人之美，不成人之惡；小人反是。	Đức Khổng Tử nói:”Quân tử thành tựu điều tốt đẹp cho người, không thành tựu điều xấu cho người. Tiểu nhân thì trái lại.”.
季康子問政於孔子。	Quý Khang Tử hỏi Đức Khổng Tử về chính trị.
孔子對曰：政者正也，子帥以正，孰敢不正？	Đức Khổng Tử đáp rằng: ”Chính trị là làm cho chính đáng. Ông làm gương chính đáng, ai dám không chính đáng?”.
季康子患盜，問於孔子。	Quý Khang Tử lo lắng về nạn trộm cắp, hỏi Đức Khổng Tử.
孔子對曰：茍子之不欲，雖賞之不竊！	Đức Khổng Tử đáp rằng: “Vì bằng ông không tham muốn, tuy có thưởng, cũng không có trộm cắp.”.
季康子問政於孔子曰：如殺無道，以就有道，何如？	Quý Khang Tử hỏi Đức Khổng Tử về chính trị, rằng: “Như giết kẻ vô đạo để kẻ khác nên có đạo, được chăng?”.
孔子對曰：子為政，焉用殺？	Đức Khổng Tử đáp: “Ông làm chính trị, sao cần dùng việc giết?
子欲善，而民善矣！	Ông muốn tốt lành, thì dân sẽ tốt lành.
君子之德風；小人之德草；草上之風必偃。	Năng lực của quân tử như gió, năng lực của tiểu nhân như cỏ. Gió thổi trên cỏ ắt cỏ nép xuống.”.
子張問：士何如斯可謂之達矣？	Tử Trương hỏi: “Người có học như thế nào có thể gọi là thông suốt?”.
子曰：何哉，爾所謂達者？	Đức Khổng Tử nói: “Ngươi gọi thế nào là người thông suốt?”.
子張對曰：在邦必聞，在家必聞。	Tử Trương đáp: “Trong nước có tiếng tăm, trong nhà có tiếng tăm.”.
子曰：是聞也，非達也。	Đức Khổng Tử nói: “Thế là có tiếng tăm thôi, chẳng phải thông suốt.
夫達也者：質直而好義，察言而觀色，慮以下人，在邦必達，在家必達。夫聞者：色取仁而行違，居之不疑，在邦必聞，在家必聞。	Phàm là người thông suốt thì tư chất thẳng thắn mà ưa làm điều nghĩa, xét rõ được lời nói mà nhìn rõ được hình sắc; biết nghĩ ngợi để hạ mình dưới người; trong nước ắt thông suốt, trong nhà ắt thông suốt. Phàm người có tiếng tăm thì giữ điều nhân ở ngoài mặt mà tính hạnh trái nhân; sinh hoạt không nghi ngờ gì; trong nước có tiếng tăm, trong nhà có tiếng tăm.”.
樊遲從遊於舞雩之下，曰：敢問崇德，脩慝，辨惑。	Phàn Trì theo thầy dạo chơi ở dưới đàn Vũ Vu, nói rằng: “Dám hỏi về việc tôn trọng đức hạnh, sửa điều lỗi và phân tích điều mê lầm.”.
子曰：善哉問！	Đức Khổng Tử nói: “Tốt lành thay câu hỏi ấy!
先事後得，非崇德與？	Phụng sự trước, sau mới đạt được kết quả, chẳng phải tôn trọng đức hạnh ư?
攻其惡，無攻人之惡，非脩慝與？	Sửa trách điều xấu của mình, không sửa trách điều xấu của người, chẳng phải sửa điều lỗi ư?
一朝之忿，忘其身以及其親，非惑與？	Cơn giận một sớm để nhãng quên thân mình lại liên lụy đến người thân, chẳng phải mê lầm ư?”.
樊遲問仁。	Phàn Trì hỏi về điều nhân.
子曰：愛人。	Đức Khổng Tử nói: “Yêu người.”.
問知。	Hỏi về điều trí.
子曰：知人。	Đức Khổng Tử nói: “Biết người.”.
樊遲未達。	Phàn Trì chưa thông suốt.
子曰：舉直錯諸枉，能使枉者直。	Đức Khổng Tử nói: “Cất nhắc người ngay thẳng, tách rời kẻ gian tà, có thể khiến kẻ gian tà thành người ngay thẳng.”.
樊遲退，見子夏曰：鄉也，吾見於夫子而問知。	Phàn Trì lui, gặp Tử Hạ nói: “Lúc nãy, tôi gặp thầy hỏi về điều trí. Thầy.
子曰：“舉直錯諸枉，能使枉者直。”何謂也？	nói: ‘Cất nhắc người ngay thẳng, tách rời kẻ gian tà, có thể khiến kẻ gian tà thành người ngay thẳng.’ Là nghĩa thế nào?”.
子夏曰：富哉言乎！	Tử Hạ nói: “Lời nói ấy rộng rãi thay!
舜有天下，選於眾，舉皋陶，不仁者遠矣；湯有天下，選於眾，舉伊尹，不仁者遠矣。	Vua Thuấn có thiên hạ, tuyển chọn trong dân chúng, cắt cử ông Cao Dao, kẻ bất nhân phải lánh xa. Vua Thang có thiên hạ, tuyển chọn trong dân chúng, cắt cử ông Y Doãn, kẻ bất nhân phải lánh xa.”.
子貢問友。	Tử Cống hỏi về bạn bè.
子曰：忠告而善道之，不可則止，毋自辱焉。	Đức Khổng Tử nói: “Chỉ bảo thành thực mà hướng dẫn khéo léo; không được thì thôi; đừng để bị nhục nhã.”.
曾子曰：君子以文會友；以友輔仁。	Tăng Tử nói: “Người quân tử lấy văn học để họp bạn, lấy bạn để giúp làm điều nhân.”.
子路問政子曰：先之，勞之。	Tử Lộ hỏi về chính trị. Đức Khổng Tử nói: ”Hãy làm trước, hãy chịu nhọc nhằn.”.
請益曰：無倦。	Xin hỏi thêm, ngài nói: “Không mệt mỏi.”.
仲弓為季氏宰，問政。	Trọng Cung làm quan Tể cho họ Quý, hỏi về chính trị.
子曰：先有司，赦小過，舉賢才。	Đức Khổng Tử nói: “Trước là các quan hữu tư, tha thứ các lỗi nhỏ, cất nhắc người hiền tài.”.
曰：焉知賢才而舉之？	Hỏi: “Làm sao biết người hiền tài mà cất nhắc?”.
曰：舉爾所知，爾所不知，人其舍諸？	Đáp: “Hãy cất nhắc người mà ngươi biết; những người mà ngươi không biết, người ta bỏ ư?”.
子路曰：衛君待子而為政，子將奚先？	Tử Lộ nói: “Vua Vệ tiếp đãi thầy mà mời làm chính trị, thầy tiến hành điều gì trước?”.
子曰：必也正名乎！	Đức Khổng Tử nói: “Ắt là phải chính danh thôi.”.
子路曰：有是哉？	Tử lộ nói: “Có thế sao?
子之迂也。	Thầy làm không hợp lẽ rồi.
奚其正？	Sao lại chính?”.
子曰：野哉由也！	Đức Khổng Tử nói: “Anh Do quê mùa thay!
君子於其所不知，蓋闕如也。	Người quân tử hễ thấy điều gì không biết, đáng lẽ phải bỏ trống.
名不正，則言不順；言不順，則事不成；事不成，則禮樂不興；禮樂不興，則刑罰不中；刑罰不中，則民無所措手足。	Danh mà không chính thì lời nói chẳng thuận, lời nói chẳng thuận thì việc chẳng thành, việc chẳng thành thì lễ nhạc không dấy lên, lễ nhạc không dấy lên thì hình phạt chẳng trúng, hình phạt chẳng trúng thì dân không biết bỏ tay chân ở đâu (sống ra sao).
故君子名之必可言也，言之必可行也。	Vậy nên người quân tử nêu danh ắt có thể nói ra được, nói ra được ắt có thể làm được.
君子於其言，無所茍而已矣！	Người quân tử nói ra lời không chỗ nào là không thận trọng ấy vậy.”.
樊遲請學稼。	Phàn Trì xin học trồng lúa.
子曰：吾不如老農。	Đức Khổng Tử nói: “Ta không bằng ông già làm ruộng.”.
請學為圃。曰：吾不如老圃。	Xin học làm vườn, ngài nói: “Ta không bằng ông già làm vườn.”.
樊遲出，子曰：小人哉，樊須也！	Phàn Trì ra, Đức Khổng Tử nói: “Phàn Tu thật là nhỏ mọn thay!
上好禮，則民莫敢不敬；上好義，則民莫敢不服；上好信，則民莫敢不用情。	Người trên ưa thích lễ, thì dân chẳng dám không kính trọng. Người trên ưa thích nghĩa, thì dân chẳng dám không tuân phục. Người trên ưa giữ niềm tin, thì dân chẳng dám không cư xử tình cảm.
夫如是，則四方之民，襁負其子而至矣，焉用稼？	Phàm như vậy, thì dân bốn phương sẽ cõng địu con cái mà đến vậy, sao phải đi trồng lúa?”.
子曰：誦詩三百，授之以政，不達。使於四方，不能專對；雖多，亦奚以為？	Đức Khổng Tử nói: “Đọc thuộc ba trăm bài kinh Thi, được trao cho việc cai trị, chẳng thành tựu; được sai đi bốn phương, chẳng có khả năng ứng đối; tuy nhiều mà để làm gì?”.
子曰：其身正，不令而行；其身不正，雖令不從。	Đức Khổng Tử nói: “Thân mình chính đáng, không ra lệnh cũng làm; thân mình không chính đáng, tuy ra lệnh cũng không theo.”.
子曰：魯，衛之政，兄弟也。	Đức Khổng Tử nói: “Nền chính trị của nước Lỗ và nước Vệ như anh em vậy.”.
子謂衛公子荊善居室。	Đức Khổng Tử bảo rằng công tử Kinh nước Vệ khéo sống trong gia dình.
始有，曰：“苟合矣。”少有，曰：“茍完矣。”富有，曰：“茍美矣。”	Lúc ban đầu có của thí nói: “Tạm được rồi.” Lúc có thêm một chút thì nói: “Tạm đầy đủ rồi.” Lúc giàu thì nói: “Tạm tốt đẹp rồi.”.
子適衛，冉有僕。	Đức Khổng Tử đi đến nước Vệ, Nhiễm Hữu cầm cương xe.
子曰：庶矣哉！	Đức Khổng Tử nói: “Đông đúc thay!”.
冉有曰：既庶矣，又何加焉？	Nhiễm Hữu nói: “Đã đông đúc rồi, phải thêm gì nữa?”.
曰：富之。	Ngài nói: “Làm cho giàu có.”.
曰：既富矣，又何加焉？	Lại nói: “Đã giàu có rồi, phải thêm điều gì nữa?”.
曰：教之。	Đáp: “Hãy giáo hoá.”.
子曰：茍有用我者，朞月而已可也，三年有成。	Đức Khổng Tử nói: “Ví bằng dùng đến ta, trong vòng một tháng tới một năm thì đã khá, ba năm thì thành công.”.
子曰：“善人為邦百年，亦可以勝殘去殺矣。”	Đức Khổng Tử nói: “Bậc thiện nhân trị nước một trăm năm, cũng có thể cảm hoá được kẻ tàn bạo, bỏ được sự giết chóc.
誠哉是言也！	Lời nói đó đúng đắn thay.”.
子曰：如有王者，必世而後仁。	Đức Khổng Tử nói: “Nếu như có bậc vương giả cai trị, ắt một thế hệ sau mới có nhân đạo.”.
子曰：茍正其身矣，於從政乎何有？	Đức Khổng Tử nói: “Ví thử chính được thân mình rồi, mới theo việc chính trị, có chăng?
不能正其身，如正人何？	Không thể chính được thân mình, thì chính người sao được?”.
冉子退朝，子曰：何晏也？	Nhiễm Hữu rời triều về, Đức Khổng Tử nói: “Sao muộn vậy?”.
對曰：有政。	Đáp rằng:“Có việc chính trị.”.
子曰：其事也！	Đức Khổng Tử nói: “Đó là việc riêng thôi.
如有政，雖不吾以；吾其與聞之！	Như có việc chính trị, tuy không có ta ở đó, thì ta cũng được dự nghe.”.
定公問：一言而可以興邦，有諸？	Định Công hỏi: “Một lời mà có thể hưng thịnh được nước, có chăng?”.
人之言曰：“為君難，為臣不易。”如知為君之難也，不幾乎一言而興邦乎？	Người ta nói rằng: ‘Làm vua khó, làm tôi không dễ.’ Nếu như biết làm vua khó, chẳng phải gần như một lời mà hưng thịnh được nước ư?”.
曰：一言而喪邦，有諸？	Lại hỏi: “Một lời mà làm mất nước, có chăng?”.
孔子對曰：言不可以若是其幾也人之言曰：“予無樂乎為君，唯其言而莫予違也。”如其善而莫之違也，不亦善乎？	Đức Khổng Tử đáp rằng: “Lời nói không thể bằng được như thế, nhưng gần như vậy. Người ta nói rằng: ‘Ta không vui được làm vua, chỉ vui vì lời nói của ta chẳng ai dám chống lại.’ Nếu như lời nói tốt lành mà không ai chống lại, chẳng tốt lành sao?
如不善而莫之違也，不幾乎一言而喪邦乎？	Nếu như lời nói dở mà không ai chống lại, chẳng gần như một lời mà làm mất nước ư?”.
葉公問政子曰：近者說，遠者來。	Diệp Công hỏi về chính trị. Đức Khổng Tử nói: “Những người ở gần được vui vẻ, những người ở xa tìm đến.”.
子夏為莒父宰，問政。	Tử Hạ làm quan Tể ấp Cử Phủ, hỏi về việc chính trị.
子曰：無欲速，無見小利；欲速則不達，見小利則大事不成。	Đức Khổng Tử nói: “Đừng muốn nhanh chóng, đừng nhắm tới lợi nhỏ. Muốn nhanh chóng thì không thành tựu; nhắm tới lợi nhỏ thì việc lớn không thành công.”.
TửHạviCửPhủTể,vấnchính.Tửviết:“Vôdụctốc,vôkiếntiểulợi.Dụctốctắcbấtđạt;kiếntiểulợitắcđạisựbấtthành.”葉公語孔子曰：吾黨有直躬者，其父攘羊而子證之。	Diệp Công nói với Đức Khổng Tử rằng: “Xóm tôi có người ngay thẳng: người cha ăn trộm dê, người con ra làm chứng.”.
孔子曰：吾黨之直者異於是，父為子隱，子為父隱，直在其中矣。	Đức Khổng Tử nói: “Người ngay thẳng của xóm tôi khác thế: cha che giấu cho con, con che giấu cho cha, sự ngay thẳng ở bên trong thôi.”.
樊遲問仁。子曰：居處恭，執事敬，與人忠。	Phàn Trì hỏi về điều nhân, Đức Khổng Tử nói: “Tại nhà thì ở khiêm cung, tiếp nhận công việc thì kính cẩn, giao tiếp với người thì thật lòng.
雖之夷狄，不可棄也。	Tuy ở chốn mọi rợ, cũng không thể bỏ được.”.
子貢問曰：何如斯可謂之士矣？	Tử Cống hỏi rằng: “Như thế nào mới có thể gọi là kẻ sĩ?”.
子曰：行己有恥，使於四方，不辱君命，可謂士矣。	Đức Khổng Tử nói: “Hành vi của mình có hổ thẹn, đi sứ bốn phương không làm nhục mệnh vua, có thể gọi được là kẻ sĩ.”.
曰：敢問其次？	Hỏi: “Dám hỏi về bậc dưới.”.
曰：宗族稱孝焉，鄉黨稱弟焉。	Đáp: “Họ hàng ca ngợi là hiếu thảo, làng xóm ca ngợi là thuận hoà.”.
曰：敢問其次？	Lại hỏi: “Dám hỏi về bậc dưới nữa.”.
曰：言必信，行必果，硜硜然，小人哉！抑亦可以為次矣。	Đáp: “Nói ắt giữ niềm tin, hành động ắt cương quyết, là kẻ tiểu nhân hẹp hòi cố chấp đấy, nhưng xem ra cũng có thể được xem là bậc dưới nữa.”.
曰：今之從政者何如？	Lại hỏi: “Hiện nay những kẻ ra làm chính trị thì thế nào?”.
子曰：噫！	Đức Khổng Tử nói: “Ôi!
斗筲之人，何足算也！	Hạng người khí cục hèn mọn ấy, sao tính đủ được?”.
子曰：不得中行而與之，必也狂狷乎！	Đức Khổng Tử nói: “Chẳng được những người đi trong trung đạo để mà giao thiệp, chỉ có hạng người có chí cao và có khí tiết thôi.
狂者進取，狷者有所不為也。	Hạng người có chí cao thì tiến lên; hạng người có khí tiết thì có chỗ không làm.”.
子曰：南人有言曰：“人而無恆，不可以作巫醫。”善夫！“不恆其德，或承之羞。”子曰：不占而已矣。	Đức Khổng Tử nói: “Người phương Nam có câu rằng: ‘Người mà không có lòng giữ bền, không thể làm thầy cúng, thầy thuốc.’ Đúng lắm!” “Không giữ bền đức của mình, e rằng đương lấy xấu hổ.” Đức Khổng Tử nói: “Chẳng đoán xét mà thôi!”.
子曰：君子和而不同，小人同而不和。	Đức Khổng Tử nói: “Quân tử hoà vui với người mà không cùng giống như người; tiểu nhân cùng giống như người mà không hoà vui với người.”.
子貢問曰：鄉人皆好之，何如？	Tử Cống hỏi rằng: “Người trong làng đều ưa thích, người ấy ra sao?”.
子曰：未可也。鄉人皆惡之，何如？	Đức Khổng nói: “Chưa thể cho là được.” [Hỏi tiếp]: “Người trong làng đều ghét, người ấy ra sao?”.
子曰：未可也。	Đức Khổng nói: “Chưa thể cho là được.
不如鄉人之善者好之，其不善者惡之。	Không bằng người thiện trong làng ưa thích, người xấu trong làng ghét.”.
子曰：君子易事而難說也。	Đức Khổng Tử nói: “Người quân tử dễ phục vụ, nhưng khó làm cho vui lòng.
說之不以道，不說也。	Để làm cho vui, không lấy đạo lý thì không vui.
小人難事而易說也。	Kẻ tiểu nhân khó phục vụ, nhưng dễ làm cho vui lòng.
說之雖不以道，說也。	Để làm cho vui, tuy không lấy đạo lý cũng vui.
及其使人也，求備焉。	Đến khi sai khiến người, lại đòi hỏi hoàn toàn.
子曰：君子泰而不驕，小人驕而不泰。	Đức Khổng Tử nói: “Người quân tử an vui mà không kiêu căng; kẻ tiểu nhân kiêu căng mà không an vui.”.
子曰：剛毅木訥，近仁。	Đức Khổng Tử nói:“Cứng rắn, quả quyết, chất phác, nói năng chậm chạp thì gần gũi đức nhân.”.
子路問曰：何如斯可謂之士矣？	Tử Lộ hỏi rằng:“ Như thế nào mới có thể được gọi là kẻ sĩ?”.
子曰：切切偲偲，怡怡如也，可謂士矣。	Đức Khổng Tử nói: “Thân mật khuyên nhủ lẫn nhau, vui vẻ với nhau, có thể được gọi là kẻ sĩ.
朋友切切偲偲，兄弟怡怡。	Bạn bè thì thân mật khuyên nhủ lẫn nhau, anh em thì vui vẻ với nhau.”.
