朝列大夫國子監司業兼史官修撰臣吳士連編。	triều liệt đại phu , quốc tử giám tư nghiệp , kiêm sử quan tu soạn , thần ngô sĩ liên biên.
王竟斬之血流水上蛤蚌含入心化成明珠。	cuối cùng vua vẫn chép mỵ châu , máu chảy loang mặt nước , loài trai nuốt vào bụng , hoá làm hạt minh châu.
王持七寸文犀入海去今辟水犀也世傳演州高舍社夜山是其處。	vua cầm sừng tê văn dài bảy tấc xuống biển mà đi ( tức như ngày nay gọi là sừng tê rẽ nước tục truyền núi dạ sơn xã cao xá ở diễn châu là nơi ấy ).
仲始追及之見媚珠以死慟哭抱其尸歸葬螺城化爲玉石。	trọng thuỷ đuổi theo đến nơi , thấy mỵ châu đã chết , thương khóc ôm xác đem về chôn ở loa thành , hoá làm đá ngọc.
仲始懷惜媚珠還於粧浴處悲想不自勝竟投身井底死。	trọng thuỷ nhớ tiếc mỵ châu , trở lại chỗ mỵ châu , tắm gội trang điểm khi trước , thương nhớ không nguôi , cuối cùng nhảy xuống giếng mà chết.
後人得東海明珠以井水洗之色愈光瑩。	người sau được hạt minh châu ở biển đông , lấy nước giếng ấy mà rửa , sắc ngọc càng sáng hơn.
史臣吳士連曰金龜之説信乎有莘降神石能言容或有之。	sử thần ngô sĩ liên nói : chuyện rùa vàng đáng tin chăng ? chuyện thần giáng đất sần , chuyện đá biết nói cũng có thể là có.
蓋神於人而行詫物以言也。	vì việc làm của thần là dựa theo người , thác vào vật mà nói năng.
國之將興神明降之以監其德將亡神亦降之以觀其惡。	nước sắp thịnh , thần minh giáng để xem đứa hoá ; nước sắp mất , thần cũng giáng để xét tội ác.
故有待神以興亦有以亡。	cho nên có khi thần giáng mà hưng , cũng có khi thần giáng mà vong.
安陽王興功築城之役有不節民力故神託金龜告之非怨讟動乎民而能然耶猶似之也。	an dương vương hưng công đắp thành có phần không dè đặt sức dân , cho nên thần thác vào rùa vàng để răn bảo , chẳng phải là vì lời oán trách động dân mà thành ra như thế ư ? nhưng thế cũng còn là khá.
及其憂後患而要請於神則私意起矣。	đến như lo hoạ hoạn về sau mà nài xin với thần , thì lòng riêng đã nảy.
其脱靈爪付之謂是以却其禍之萌乎。	rùa vàng trút móng thiêng trao cho , bảo là có thể đánh lui được quân địch , đó là mầm hoạ chăng ?.
如神有賜虢土田之命而虢隨以亡也。	như chuyện thần ban cho nước quắc ruộng đất mà sao đó nước quắc cũng mất theo.
厥後果然。	sau quả nhiên như vậy.
何莫非依人而行也。	thế chẳng phải là thần theo người mà hành động sao ?.
如無要請之言但循理而行安知國祚之不長久乎。	nếu không có lời nài xin , cứ theo đạo lý mà làm , biết đâu quốc thống lại chẳng được lâu dài ?.
至於媚珠鵝毛表道之事未必有也。	đến như chuyện mỵ châu rắc lông ngỗng chỉ đường , thì chưa chắc đã có.
如或有之僅一見焉可也後趙越王女再模倣言之何耶。	nếu có thì chỉ một lần là phải , thế mà sau này con gái triệu việt vương lại bắt chước mà cũng nói như thế , là làm sao ?.
蓋編史者以蜀趙亡國之由皆出於女壻故因一事而两言之歟。	có lẽ người chép sử cho rằng nhà thục và nhà triệu mất nước đều do con rể , cho nên nhân một việc mà nói hai lần chăng ?.
然則鬼能𮥠城亦信乎。	thế thì việc ma quỷ làm đổ thành cũng đáng tin sao ?.
此除其妖無所附而止。	thế là trừ bỏ yêu khí , quỷ không có chỗ phụ vào nữa thì phải thôi.
至於史記安陽王敗亡因神弩易機趙越王敗亡因兜鍪失爪乃假辞以神其物爾。	đến như sử chép an dương vương bại vong là do nỏ thần bị đỗi lẫy , triệu việt vương bại vong vì mũ đâu mâu mất móng rồng , đều là mượn lời để cho vật trở thành thiêng mà thôi.
若夫固國禦戒自有其道得道者多助而興失道者寡助而亡非爲此也。	đại phàm việc giữ nước chống giặc tự có đạo lý của nó , đúng đạo lý thì được nhiều người giúp mà nước hưng , mất đạo lý thì ít người giúp mà nước mất , không phải vì những thứ ấy.
右安陽王起甲辰終癸巳凣五十年。	trở lên là an dương vương , khởi từ năm giáp thìn đến năm quý tỵ là hết , tất cả năm mươi năm
