大南寔錄/大南正編列傳初集/卷01。	QUYỂN 1.
延慶王晉。	Ông dập đầu cúi tạ. Năm Minh Mạng thứ 13, ông lại lầm nghe người buôn xảo quyệt là Diệp Liên Phong kêu xin lấy thuyền nước Thanh, mạo đổi lại làm thuyền miễn thuế, để mưu toan khoan tha thuế. Việc phát ra, ông sợ hãi xin nhận tội. Vua cho là ông đã biết tự hối hận lắm, không giấu giếm chống chữa chút nào, đặc cách miễn cho. Ông từ đấy quyết tâm rèn luyện, đốc chí học hỏi, đức nghiệp ngày tiến, Thánh tổ càng yêu và yêu dấu hơn lên. Năm Thiệu Trị thứ 2, vua đi tuần miền Bắc, ông đi theo, thưởng cho rất hậu. Ông ở trong thân thuộc là vai trên mà giữ việc càng kính cẩn trong khoảng 7 năm, theo hầu ở bên tả bên hữu, chăm chăm lòng kính cẩn. Đến tận khi Hiến Tổ ốm, ông thường hầu ở bên, sớm đêm không trễ biếng, Hiến Tổ càng thêm yêu lắm, dặn lại Hoàng thượng ngày nay, sau này nên hậu đãi ông, và phong cho mẹ ông làm Chiêu nghi, để báo đáp công khó nhọc. Vì yêu đương quyến luyến đặc biệt như thế, ông càng cảm khích mưu tính báo đền lại.
奠磐公普。	Năm ấy về nghi lễ tang ma, ông xin trông coi việc ấy. Tới khi việc lớn làm xong, ông có công lao vào đ̑y. Năm Tự Đức thứ I (1848), ông thọ 50 tuổi, vua đặc cách sai Gia Hưng công là Hồng Hưu, thị vệ đại thần là Lâm Duy Nghĩa đưa cho phẩm vật. Năm thứ 3 xuống dụ thưởng cho một chiếc thuyền bồng, để phòng theo hầu. Lại sách phong mẹ ông làm Chiêu nghi, là làm thành chí của Tiên đế vậy. phụng sự bà Chiêu nghi, đón trước ý muốn, vâng theo chỉ định ở trong gia đình, giữ cách phụng dưỡng về mũ áo và đồ ngon ngọt, người không ai chê được. Năm thứ 5, để tang bà Chiêu Nghi, thương xót hủy hoại thân hình đủ hết lễ nghi. Sau khi tế đàm vài tháng, thì bị ốm nặng, thường đối với người nói rằng: cả nhà chịu ơn hậu của nước chưa báo đền được một chút nào, một sớm chết đi, nuốt hận lâu mãi mà thôi, không một lời nào nói đến việc nhà cả. Năm thứ 7 (1854) là năm Giáp Dần, mùa hạ, ông mất thọ 56 tuổi.
紹化郡王昣。	Trước đây, lúc ông bị ốm, vua đặc biệt cho thầy thuốc của vua ra xem mạch chữa bệnh, ban cấp thứ thuốc của vua dùng, sai trung sứ đến thăm hỏi,không ngày nào không. Kịp khi mất, vua nghe thấy thương khóc, nghỉ coi chầu 4 ngày, truy phong là Diên Khánh vương, cho tên thụy là Cung Chính. Dụ rằng: từ đời xưa người quân tử có đức để làm rạng rỡ cho nước nhà, không ai là không, lúc sống có vinh danh, lúc chết có hiển hiện. Huống chi lấy người rất thân của nước, có tuổi có đức há nên không nêu lên rõ rệt để khuyến khích người thân? Nghĩ đến Diên Khánh vương giúp rập 4 triều, trung thực một mực, Hoàng khảo ta lúc còn ở ngôi, trong những người rất thân, riêng đối với công càng có kính lễ khác hẳn. Trẫm kính vâng lời dạy của Tiên đế, nghĩ hậu với người thân huân, duy ông tước và tuổi đã lớn mà vẫn mặc áo cao cừu giữ đạo chính (35), lần tường chạy trốn phong tước (36) lại càng khiêm cung, trẫm rất khen ngợi, ấn thao của tước hầu tước vương chưa có lần nào ban cho. Trời làm mất người kỳ lão có đức không để giúp cho ta. Nhớ đến người đức cũ, thực là đau thương. Sắp đến kỳ đưa đám ông, đã ra lệnh cho quan có chức trách hậu cấp tiền tuất, dẫu đến Đông Bình vương (37) đời Hán được cho xe loan lộ quân hổ, về ơn lễ cũng không hơn thế.
	Lại nghĩ, lễ có đổi tên, vua cho tên thụy, là đạo của đời xưa.
廣威公昀。	Lấy ông là người có đức tốt có công nghiệp, có huân lao, có danh vọng, cùng với Kiến An vương đã chết, trước sau sáng tỏ, thực dáng khen. Phải nên ưu đãi, lấy điển lễ đặc biệt, cho lấy tước phong to lớn, khiến cho danh và đức của ông, để mãi không mất được. Vậy chuẩn cho truy phong Diên Khánh công làm Diên Khánh vương, cho tên thụy là Cung Chính. Kinh Thi nói "Thuần hòa người cung kính là nền của đức". Lễ Ký có nói rằng: "Ngay thẳng không gian tà là chất của lễ". Không phải là hiền vương của ta, thì ai đáng được các câu ấy. Hồn vương ở nơi chín suối có thiêng, nhận lấy danh hiệu vinh hiển này. Về cháu trưởng là Hội Kỳ đợi sau này là trưởng thành chuẩn cho do phủ Tôn nhân tâu xin tập phong tước hầu giữ việc phụng thờ vương, để tỏ ý trẫm tôn người có đức, trọng người hiền giống đức của người trước. Sai quan sửa việc tang ma, chuẩn cho hết thẩy đều làm theo như lễ đưa đám cố Kiến An vương ngày trước.
	Việc tế điện đắp mộ, nhà nước chiếu cấp tiền để làm; lại cấp thêm cho 4000 quan tiền.
	Vua lại làm bài thơ để viếng.
廣威公昀，世祖第十子，母德妃黎氏。	Lại sai Ninh Thuận công là Miên Nghi thay mặt vua đến ban trà, rượu và sai quan đến tế một đàn. Lại sai những bài ơn dụ trước, sau và bài thơ của vua làm khắc vào bia. Lại sai quan sứ ở sứ quán xét hành trạng của vương, soạn văn bia ở trước mộ, để lưu mãi không cùng. Vương có 20 người con trai, 28 người con gái, trưởng tử là Diên Vực, năm Thiệu Trị thứ 3 được ân phong là Mộ Trạch đình hầu, năm Tự Đức thứ 6 chết, trưởng tôn là Hội Điện Bàn công tên là Phổ: Con thứ tám của Thế Tổ, mẹ đẻ mất sớm không rõ sự tích. Năm Gia Long thứ 16, phong là Điện Bàn công. Năm Minh Mạng thứ 7, ông đặt càn quan chức, làm riêng ấn tín. Việc phát giác ra, ông đến cửa khuyết xin nhận tội. Vua ra lệnh phạt bổng thân công ba năm, triệt bỏ thuộc binh đi, không chuẩn cho theo ban chầu mừng. Và dụ rằng: Ngươi có tính ngu tối đến đỗi bị kẻ không ra người làm mê hoặc, nhiều việc làm càn, xuýt nữa mắc vào tội lớn.
	Nghĩ tới chuyện ấy, khiến người não lòng, tức giận không thôi.
	Sau này nếu cố sức mưu tính làm điều thiện, trẫm cũng lượng ra ơn cho.
	Nếu thói cũ, không chữa tất phải quyết đoán bằng nghĩa lớn.
	Nhất định không thể vì ngươi mà làm eo phép luật được Ngươi phải ngày đêm răn sợ xét mình, sớm hôm hối hận đổi lỗi.
	Còn phó trưởng sử thuộc phủ đệ ấy là Nguyễn Văn Bảo giao xuống bộ Hình trị tội.
	từ đấy càng tự hối hận lắm, không dám làm bậy.
	Duy có tính muộn phiền nhiều thiên lệch, thằng nhỏ đầy tớ ông dã yêu thì tự ý đem cho không biết bao nhiêu của.
	Tuy nhà thường vẫn túng thiếu cũng không tiếc gì.
	Năm Tự Đức thứ 13 (1860) mùa thu, ông mất, thọ 62 tuổi.
	Vua nghỉ coi chầu ba.ngày, cho tên thụy là Cung Đốc; cho nhiều gấm đoạn và tiền, sai quan sửa việc tang.
	Ngày hôm an táng sai quan đến tế một đàn.
	Có 2 con trai là Tín Kiên và Tín Phác.
	Thiệu Hóa- quận vương tên là Chân: Con thứ 9 của Thế Tổ, là em cùng mẹ với Thánh Tổ.
	Ông tính cẩn hậu, hiền hòa, khi đi đứng có lễ độ, Thế Tổ yêu ông lắm.
	Năm Gia Long thứ 16 (1807) ông 15 tuổi, phong là Thiệu Hóa công.
	Ông thích học, vui làm điều thiện, Thánh Tổ rất yêu, lấy nhà Thánh Tổ vẫn ở khi chưa làm vua đem cho.
	Ông lại dựng cơ nghiệp riêng ở An Ninh, để làm chỗ lúc rỗi đọc sách.
嘉隆十六年，封廣威公。	Trong vườn có ao, trồng sen trắng, ngoài hiên trồng tre xanh, nhân gọi chỗ là thôn Bạch Liên, ườn gọi là vườn Thê Phượng. Buổi đầu năm Minh Mạng, Hiến Tổ Chương Hoàng đế ra mở phủ, kém ông 4 tuổi, cùng ông học tập trong lúc tuổi trẻ, ông rất có lễ coi trọng Hiến Tổ. Về kiến thức hơn người như thế. Năm Minh Mạng thứ 5 (1824) là năm Giáp Thân ông mất mới 22 tuổi. Khi ông mới bị bệnh, Hoàng thái hậu lấy làm lo, một hôm đốt hương khấn trời rằng: "Bệnh ông có khỏi hay không, xin báo mộng cho biết". Đêm nằm mộng thấy một người già đến trước mặt tâu rằng: "Ông sẽ chết". Tới khi ông chết, vua rất thương tiếc, nghỉ coi chầu năm ngày, tặng Thiệu Hóa quận vương, tên thụy là Cung Lượng; hậu cấp của công sai quan sửa việc tang. Ngày an táng, vua lên lầu cửa Đông Nam trông theo khóc đưa. Năm Thiệu Trị thứ 1 (1841), Hiến Tổ Chương Hoàng đế đến yết lăng, lúc trở về qua trang An Ninh, đến nhà thờ ở mộ của vương, cầm chén rượu rót xuống đất để tế.
公年少好遊戲，頗倨傲。	Ông có 2 con trai, con cả là Thiện Khuê, năm Minh Mạng thứ 16 (1835) tập phong là Thiệu Hóa công, rồi vì hoang phí, của dùng nhà ngày một hao hụt đi. Rồi đem kim sách ngân sách cầm cố đi, việc phát giác ra, phải giáng làm Thiệu Hóa đình hầu. Sau biết hối hận đổi lỗi, năm Tự Đức thứ 13 (1860) chuẩn cho khai phục nguyên tước. Con thứ là Thiệu Chí, năm Minh Mạng thứ 20 (1839) ân phong làm Lại Trạc đình hầu. Quảng Uy công tên là Quân: Con thứ mười của Thế Tổ, mẹ là Đức Phi họ Lê. Năm Gia Long thứ 16 phong là Quảng Uy công. Ông lúc còn tuổi trẻ thích chơi đùa và sấc láo kiêu ngạo.
教導吳廷价教督頗嚴，公深惡之。	Giáo đạo là Ngô Đình Giới dạy bảo đốc trách có phần nghiêm ngặt. Ông ghét lắm.
一日，令童僕捕蝦蟇縛於庭，鞭之曰：“汝毋侮我。”	Một hôm ông sai thằng nhỏ đầy tớ bắt con hà mô trói để ở sân, lấy roi đánh, bảo rằng: "Mày chớ khinh ta" (con hà mô tục gọi là con nhái, nhái với giái, tiếng miền Trung nói giới là giái, tiếng gần như nhau cho nên lấy thế làm trò đùa).
〈蝦蟇俗名(虫戒)，與价音相近也。故以爲戲〉明命初，帝以陳大義專講席，賜之教朴。	Buổi đầu năm Minh Mạng, vua cho Tần Nghĩa chuyên làm thầy giảng dạy, ban cho cái roi.
諭之曰：“朕少弟生長深宮，非教無以成德。	Dụ rằng: em nhỏ tuổi của trẫm, sinh trưởng ở trong cung cấm, không dạy thì không nên người có đức được.
卿朝夕善導，有過撻之，毋使驕惰成性。”	Ngươi sớm khôn khéo dẫn bảo, có lỗi thì đánh, chớ để cho kiêu lười thành tính.
又命翰林直講阮登仕，充公府講官。	Lại sai Hàn lâm trực giảng là Nguyễn Đăng Sĩ sung làm giảng quan ở phủ của ông.
明命十年己丑夏，公以痘薨。年二十有一。	Năm Minh Mạng thứ 10 (1829) là năm Kỷ Sửu mùa hạ, ông bị bệnh đậu chết, mất 21 tuổi.
帝爲之輟朝三日，賜諡恭直。	Vua nghỉ coi chầu ba ngày, cho tên thụy là Cung Trực.
命皇長子〈即憲祖章皇帝〉往賜酒，支發官帑錦綺布帛錢文，命官治其喪。	Sai Hoàng trưởng tử (tức là Hiến Tổ Chương Hoàng đế) đến cho rượu, chi phát gấm vóc vải lụa và tiền của công, sai quan sửa việc tang.
葬之日，賜祭一壇，無嗣。	Ngày an táng sai quan đến tế một đàn. Ông không có con thừa tự.
常信公昛。	Thường Tín công tên là Cự.
常信公昛，世祖第十一子，廣威公昀同母弟。	Con thứ 11 của Thế Tổ, là em cùng mẹ với Quảng Uy công tên là Quân.
嘉隆十六年，封常信公。	Năm Gia Long thứ 16 phong là Thường Tín công.
明命初，主隆城太長公主祀。	Buổi đầu năm Minh Mạng, coi việc thờ tự Long Thành thái trưởng công chúa.
嗣德二年夏薨，壽四十歲。	Năm Tự Đức thứ 2, mùa hạ ông mất, thọ 40 tuổi, tên thụy là Ôn Tĩnh.
諡温靜。子七、女十一。三子常墥，嗣德八年封永恩亭侯。五子常塿，是年賜爵助國卿。	Ông có 7 con trai, 11 con gái, con thứ ba là Thường Đổng, năm Tự Đức thứ 8 phong là Vĩnh đình hầu; con thứ năm là Thưởng Lâu, năm ấy cho tước là Trợ Quốc khanh.
安慶公㫕。安慶公㫕，世祖第十二子，母美人鄭氏。	Khánh công tên là Quang: Con thứ 12 của Thế Tổ, mẹ là Mỹ nhân họ Trịnh.
明命六年，封安慶公。	Năm Minh Mạng thứ 6 phong là An Khánh công.
十二年，公遇母喪，疏請匠役物料，均已加恩優給之。	Năm thứ 12 (1831) ông gặp tang mẹ, dâng sớ xin thợ và phu dịch vật liệu, đều đã gia ơn hậu cấp cho.
十三年，母喪已安厝，復奏請土磚及預支明命十四年歲俸。	Năm 13, tang mẹ đã an táng rồi, lại tâu xin gạch và chi trước cho tiền bổng năm Minh Mạng thứ 14.
帝諭曰：“安慶公㫕前因私喪一事，藉口請託，不啻再三。朕以親公之故，格外從優賞給，竝派兵象幇辦，復加恩借支明命十三年歲俸，俾辦喪事。	Vua dụ rằng: An Khánh công Quang trước nhân có việc tang riêng mượn cớ xin nài không những hai ba lần, trẫm lấy cớ là thân công, đặc cách cấp thưởng hậu cho và phái lính cùng voi đến giúp đỡ làm việc, lại gia ơn cho mượn trước lương bổng năm Minh Mạng thứ 13 để sửa việc tang.
今乃不知滿足，復有此請。	Nay lại không biết là đầy đủ, lại có lời xin nài, xem ra quả là mượn cớ để mong cầu lợi.
看來殊屬託故希冀，滿口含糊，誠爲塵瀆之甚。	Toàn nói hàm hồ, thực là nhảm nhí quá lắm.
這摺擲回，傳旨嚴飭。嗣若不安本分，妄自奏請何事，即交尊人府會同刑部嚴議不貸。”	Tập tâu ấy vất trả lại, và truyền chỉ sức quở nghiêm ngặt rằng: Sau này nếu không yên bản phận, tự tâu cầu xin việc gì, tức thì giao cho phủ Tôn nhân.hội đồng với bộ Hình nghị tội nghiêm ngặt không tha.
自是以後，不敢有所請。	Từ đấy về sau, không dám xin việc nữa.
十四年正月，三節日，公攝祭列廟遲誤，上疏請咎。	Năm thứ 14, ba ngày tết tháng giêng, ông thay vua đi tế các miếu.
下尊人府議，得罰俸一年。	Vì chậm trễ, làm lỡ việc, dâng sớ xin nhận lỗi, vua giao xuống cho Tôn nhân nghị tội, bị phạt bổng một năm.
紹治五年夏薨，年三十有五。帝輟朝三日，賜諡莊敏，厚賜錦緞錢文。葬之日，賜祭一壇。祀展親祠。無嗣。	Năm Thiệu Trị thứ 5 (1845) mùa hạ, ông mất, tuổi 35, vua nghỉ coi chầu ba ngày, cho tên thụy là Trang Mẫn, cho nhiều gấm đoạn và tiền, ngày an táng sai quan đến tế một đàn; thờ ở đền Triển Thân, ông không có con thừa tự.
大南寔錄/大南正編列傳初集/卷13。姊妹计划:数据项。	QUYỂN 13.
宋福添。	TRUYỆN CÁC QUAN.
宋福添，一名善，其先清葩貴縣人。	MỤC X. Tống Phúc Thiêm tên nữa là Thiện, tiên tổ ở quý huyện, tỉnh Thanh Hoa.
添初從睿宗入嘉定，歷官掌奇。	Thiêm, lúc đầu theo Duệ Tông vào Gia Định từng làm quan đến Chưởng cơ.
丙申，睿宗傳位新政王，添與宋福和守龍湖。	Năm Bính Thân, Duệ Tông truyền ngôi cho Tân chính vương, Thiêm cùng Tống Phúc Hòa đóng giữ Long Hồ.
丁酉，西賊犯爭江，添以水兵迎王回巴越，而自守香堆，為賊急攻，遂奔巴越。	Năm Đinh Dậu, Tây tặc xâm phạm sông Tranh, Thiêm đem thủy binh đón vua về Ba Việt, rồi tự giữ Hương Đôi, bị giặc đánh gấp, mới chạy đến Ba Việt.
賊襲擊巴越，王遇害薨，添遁免。	Giặc đánh úp Ba Việt, vua gặp hại chết, Thiêm trốn thoát.
其年冬，世祖高皇帝收復柴棍，即王位。	Mùa đông năm ấy, Thế Tổ Cao Hoàng đế lấy lại được Sài Gòn, lên ngôi vua.
添有翊戴功，累官內左掌奇管戶、刑二部，兼艚務，竝水兵諸道，爵郡公。	Thiêm có công giúp đỡ tôn lập, từng làm quan đến Chưởng cơ Nội tả, coi 2 bộ Hộ, Hình kiêm việc Tào vận và các dạo thủy binh, tước Quận công.
辛丑，外右杜清仁謀不軌，添密言於帝，請除君側之賊。	Năm Tân Sửu, Ngoại hữu là Đỗ Thanh Nhân mưu làm việc trái phép. Thiêm mật tâu với vua, xin trừ giặc ở bên vua, vua lặng nghĩ hồi lâu.
帝沉思久之，添曰：“清仁心懷莽、操，不可不除，若以計去，一武士力耳。”	Thiêm nói rằng: Thanh Nhân mang lòng Mãng Tháo, không thể không trừ, nếu dùng kế trừ bỏ, chỉ sức mội võ sĩ mà thôi.
帝深以為然。清仁伏誅，其黨逃歸東山，招之皆拒命。	Vua rất cho là phải, Thanh Nhân phải giết, bè lũ của hắn trốn về Đông Sơn, cho triệu chúng đều chống lại mệnh lệnh.
壬寅，西賊入寇，添率水兵守角魚堡，與賊戰失利。帝幸三埠，添落後，為東山仇黨所殺。	Năm Nhâm Dần, Tây tặc vào cướp. Thiêm đem thủy binh giữ đồn Giác Ngư, đánh nhau với giặc, bị thua, vua đi ra Tam Phụ, Thiêm lùi lại sau, bị bọn thù ở Đông Sơn giết chết.
子碩初生纔三日遭變，其母阮氏攜寓安江。	Con là Thạc, mới đẻ được 3 ngày, gặp loạn, mẹ là Nguyễn thị mang con đến ngụ ở An Giang. Khoảng năm Gia Long, vua có chiếu xét hỏi con cháu công thần, Thạc vì mẹ già, không nỡ bỏ mẹ, bèn giấu không tâu lên. Tự Đức năm thứ 3, tuần phủ Định Tường là Đỗ Quang hỏi được sự tích mới rõ.
阮廷䀬。	Nguyễn Đình Thuyên huyện Tân Long, tỉnh Gia Định, làm quan đến Chưởng doanh Ngoại tả.
武允霑。	Năm Canh Tý, trước có công giúp đỡ tôn phù. Năm Tân Sửu, Thanh Nhân có tội bị giết, bọn thuộc tướng là Vũ Nhàn, Đỗ Bảng chiếm giữ Tam Phụ để làm phản, Thuyên cùng Nội hữu là Tống Phúc Lương tiến đánh, Phúc Lương đánh bị thua, mới bãi Lương mà thêm quân cho Thuyên tiến đánh, bắt được Nhàn, Bảng, đem giết; bọn khác dẹp yên hết cả. Năm Quý Mão, Tây tặc vào cướp, vua đi ra Tam Ph quân các đạo hợp lại, Thuyên cùng Tôn Thất Dụ làm trung quân tiến đóng ở Đông Tuyên. Giặc Nguyễn Văn Huệ, xua quân đánh bừa, quân ta bị thua, Thuyên chết tại trận. Được tặng Chưởng doanh, tước Quận công, được bày thờ vào 2 miếu Hiển trung và Trung hưng công thần, con là Địch được ấm thụ Cai đội. Vũ Doãn Triêm Người huyện Bình Dương, tỉnh Gia Định. Buổi đầu Trung hưng theo quân đi đánh giặc, có công lao rõ rệt. Đến khi giết Đỗ Thanh Nhân, chia quân ở Đông Sơn làm 4 quân tiền, hậu tả hữu. Triêm coi Hữu quân, trận ở Thủ Thiêm, quan quân bị thua, Doãn Triêm bị giặc bắt đưa về Quy Nhơn, rồi ốm chết.
阮文弘。	Con là Đạo, Gia Long năm thứ 3, xét đến con cháu công thần, được bổ Thị thư viện Hàn lâm, từng làm quan đến Phủ thừa phủ Thừa Thiên, con của Đạo 2 người là Cung và Nguyên; Cung thi Hương đỗ Cử nhân, từng làm quan đến Bố chính sứ Quảng Yên, có tội phải phát đến Trấn Tây làm việc chuộc tội Nguyên từng làm quan đến Tri phủ Ba Xuyên, cũng có tội phải cách chức. Nguyễn Văn Hoằng tên nữa là Giáo, người huyện Tuy Phúc, tỉnh Bình Định, triều vua Duệ Tông, từng làm quan đến Chưởng cơ tổng nhung. Năm Giáp Ngọ, Tây tặc khởi ngụy quấy nhiễu, cướp bóc huyện ấp, Hoằng đánh giặc ở Phú Đa bị thua, chạy vào Gia Định.
阮有瑞。	Mùa đông năm Đinh Dậu, Hoằng thu họp quân nghĩa dũng, cùng bọn Tống Phúc Khuông hội quân ở Long Xuyên, theo Thế Tổ Cao Hoàng đế đánh giặc, đánh được Long Hồ, lấy được Sài Gòn,có nhiều chiến công. Mùa xuân năm Mậu Tuất, vua coi việc nước, cho Hoằng làm Chưởng cơ coi các đạo Tiền quân, điều khiển tướng sĩ bộ binh. Hộ giá Ngạn, Tổng đốc Chu của giặc vào cướp Trấn Biên. Vua tự làm tướng đem quân đóng ở Lật Giang. Hoằng cùng bọn Lê Văn Quân đánh giặc ở các ngả Lật Giang, Ô Nguyên đều được thắng, lại tiến quân đến Lộc Dã (tức là Đồng Nai), đánh phá quân giặc, chém được tướng giặc là Liêm, Lăng. Bọn Ngạn tan trốn, ta lấy lại được Trấn Biên, tiến quân đánh lấy được Bình Thuận, Hoằng cùng Lễ bộ Nguyễn Nghi lĩnh bộ Binh đến đóng giữ hạt ấy. Mùa xuân năm Tân Sửu, Hoằng ốm chết, được tặng Quận công, cho tên thụy là Trung Nghị và cấp cho phu coi mộ. Gia Long năm thứ 2, tha dao, dịch cho 18 người cháu gọi Hoằng là chú, bác. Năm thứ 9, được bày thờ vào miếu Trung hưng công thần.
阮有瑞，清葩貴縣人。	Hoằng không có con. Nguyễn Hữu Thụy Người ở Quý huyện, tỉnh Thanh Hoa.
父有德，官該隊。瑞勇略有將帥節。	Cha là Hữu Đức làm quan Cai đội.
與父德及弟祐，從駕南幸，父子兄弟一門追隨未嘗離左右。	Thụy khỏe mạnh, mưu lược, có khí tiết tướng súy, cùng với cha là Đức và em là Hựu theo vua đi vào Nam, cha con, anh em cả nhà đi theo vua, chưa từng dời khỏi bên cạnh.
瑞官至中軍監軍掌奇尚主，祐官至畱守。	Thụy làm quan đến Giám quân Chưởng cơ ở trung quân, lấy công chúa. Hựu làm quan đến Lưu thủ.
壬寅春，暹人侵真臘。瑞率戰船百餘艘、精兵三千，與胡文璘往援師次羅壁。	xuân năm Nhâm Dần, người nước Xiêm xâm lấn nước Chân Lạp, Thụy đem hơn 100 chiếc chiến thuyền và 3.000 tinh binh cùng với Hồ Văn Lân đến cứu viện, quân đóng ở La Bích, tướng nước Xiêm là bọn Chất Tri, Sô Si sai người đến quân thứ Thụy cầu hòa, và mời đến trại hội ước.
暹將質知、芻癡等遣人詣軍求成且邀至寨會約，瑞許諾。	Thụy nhận lời, sứ nước Xiêm đi ra.
暹使出，祐諫曰：“蠻人多詐恐有變，奈何?”	Hựu can ngăn rằng: Người Man hay dối trá, sợ có biến thì làm thế nào?
瑞曰：“吾籌之熟矣，我聞暹王無故囚彼妻子，故彼借我為援，此請殆不妄。況我已許諾，不往彼將怯我。”	Thụy bảo rằng: Ta tính kỹ rồi, ta nghe vua nước Xiêm vô cớ giam vợ con chúng, cho nên chúng nhờ ta giúp cho, lời mời ấy hầu như không bậy, huống chi ta đã nhận lời, không đi, sẽ cho ta là nhát.
明日，帶隨兵數十人徑入暹寨，暹兵相顧駭懆。	Ngày hôm sau, Thụy đem quân vài chục người đi thẳng vào trại nước Xiêm; quân nước Xiêm nhìn nhau sợ hãi, Chất Si, Sô Si mời đãi rất hậu, đem hết tình hình báo cáo, uống rượu say, bẻ tên để thề.
質知、芻癡延待甚厚，具以情告。酒酣，折矢為誓。瑞贈以旗、刀、劒三寶器。	Thụy tặng cho 3 thứ đồ quý là cờ, dao, kiếm rồi về.
而回以狀聞帝，命班師。	Đem việc ấy tâu lên, vua sai thu quân về.
其年夏，西賊入寇犯柴棍。	Mùa hạ năm ấy, Tây tặc vào cướp xâm phạm Sài Gòn.
瑞與公主率所部進次鹿野，設水堡于平化，分屯步兵于新潤。為賊將阮文金所襲，瑞兵敗退江陵。大駕進次四岐江，與賊戰失利。	Thụy cùng công chúa đem quân thuộc hạ đóng Lộc Dã, làm đồn thủy ở Bình Hóa, chia đóng bộ binh ở Tân Nhuận, bị tướng giặc là Nguyễn Văn Kim đánh úp, quân Thụy thua rút về Giang Lăng.
瑞父德與弟祐俱死于陣。	Vua tiến quân đóng ở sông Tứ Kỳ, đánh nhau với giặc bị thua, cha Thụy là Đức cùng em là Hựu đều chết ở trận.
駕幸後江，瑞與陳春澤等如暹求援，假道真臘。臘人陰附西賊，遂爲所害。	Vua đi ra Hậu Giang, Thụy cùng bọn Trần Xuân Trạch sang nước Xiêm cầu viện, mượn đường qua nước Chân Lạp, người nước Chân Lạp ngầm giúp Tây tặc, rồi Thụy bị chúng hại.
嘉隆初年，追贈掌營郡公，謚忠肅。	Gia Long năm đầu, truy tặng Chưởng doanh, tước Quận công, cho tên thụy là Trung Túc.
三年，祀顯忠祠。	Năm thứ 3, được thờ vào đền Hiển trung.
九年，列祀忠節、中興功臣二廟。	Năm thứ 9, được bày thờ vào 2 miếu Trung tiết và Trung hưng công thần.
瑞死於國事，帝憐其無嗣，復其姪德意〈祐之子也。	Thụy chết vì việc nước, nên vua thương là không có con, tha thuế thân cho cháu Thụy là Đúc Ý (con của Hựu) để chủ trương việc thờ.
〉使之主祀，公主別有傳。	Cng chúa có truyện chép riêng.
黎福晪。宋曰福。阮文謙。	Phúc Điển Người huyện Phú Vinh, phủ Thừa Thiên. Điển tài sức hơn người, có khí tiết, thường theo việc đánh dẹp chiến trận có công từng làm quan đến Cai cơ.
胡文璘。	Năm Kỷ Hợi, Điển từ Gia Định vượt biển về đón Hiếu Khang Hoàng hậu và các Trưởng công chúa vào Nam rồi lấy công chúa. Năm Nhâm Dần, Điển cùng Lưu Phúc Bình sang nước Xiêm đáp lễ. Năm Quý Mão, Tây tặc vào cướp, trận ở đảo Điệp Th Thống suất giặc là Phan Tiến Thận đem quân đến bất ngờ. Điển tự xin mặc áo vua đứng ở đầu thuyền, giặc tranh nhau đến bắt, vua mới đi thuyền khác ra Côn Lôn, Điển mắng giặc, không chịu khuất rồi mới chết.
阮文閑。	Năm Canh Thân, vua mới lấy lại được Gia Định, nghĩ đến Điển có công to, truy tặng Chưởng cơ. Điển tới lúc nguy, biết ứng biến, để vua thoát nạn; khảng khái mắng giặc, coi cái chết như về nhà, tiết liệt oai hùng, tuy Kỷ Tín nhà Hán, Hàn Thành nhà Minh, không chịu kém mấy. Gia Long năm thứ 3, được thờ vào đền Hiển trung. Năm thứ 9, được thờ vào miếu Trung tiết công thần. Điển không có con. Tống Viết Phúc Tiên tổ là người ở quý huyện, tỉnh Thanh Hoa. Sau dời đến Gia Định. khỏe mạnh tợn, quả cảm, lúc đầu theo việc quân làm Cai đội thuộc nội, từng theo vua sang Vọng Các. Đến khi đánh lấy lại được Gia Định, thăng Phó vệ úy vệ Tiền trực, theo Trung quân đi đánh giặc.
	Lại được tuyển vào Túc vệ làm Vệ úy, cai quản vệ Tuyển phong tiền ban trực Năm Quý Sửu, theo Nguyễn Văn Thành giúp việc vận tải đến Cù Huân cấp lương quân.
	Năm Ất Mão, giặc vây Diên Khánh, vua thân đem thuyền quân đến cứu viện.
	Phúc đem thuộc hạ theo Trương Phúc Duật tiến đánh, quân đến Y Na, vừa gặp thuyền giặc tự Diên Úc đến, Phúc đón đánh, phá tan được, chém Đô đốc giặc là Nguyễn Văn Sĩ, đánh đắm một chiếc thuyền và lấy được 7 chiếc thuyền.
	Lại theo đại binh tiến quân đi giải vây ở Diên Khánh.
	Phúc mỗi khi ra trận, mình đi trước quân lính, đi đến đâu giặc đều tan; các tướng đều phục là khỏe, vì có quân công, được thăng Khâm sai thuộc nội, Chưởng cơ.
	Năm Bính Thìn, tạm làm Phó tướng hữu quân theo Nguyễn Hoàng Đức giữ Diên Khánh.
	Năm Đinh Tỵ, thuộc man ở Đông Môn làm phản, Phúc đóng quân ở Giao Loan để chống giữ, bỗng được triệu về, theo vua đi đánh giặc, Phúc coi binh, thuyền làm tiền đạo.
	Đến lúc về, được thăng Phó tướng doanh Tả quân, theo Đông cung Cảnh giữ Diên Khánh.
	Phúc tính nóng, nhiều khi mất lòng tướng tá, người Tây dương là Bá Đa Lộc làm thầy dạy Đông cung học, Phúc thường dùng lời mắng nhiếc.
