第一回宴桃园豪杰三结义斩黄巾英雄首立功 ||| HỒI 1 Tiệc vườn đào, anh hùng kết nghĩa; Chém Khăn Vàng, hào kiệt lập công
瓒问曰：“贤弟何故在此？”玄德曰：“旧日蒙兄保备为平原县令，今闻大军过此，将来奉候，就请兄长入城歇马 ||| Xin mời anh hãy vào thành nghỉ
”瓒指关、张而问曰：“此何人也？”玄德曰：“此关羽、张飞，备结义兄弟也 ||| Toản thấy có mấy người đi theo Lưu Bị, trỏ hỏi mấy người ấy là ai
”瓒曰：“乃同破黄巾者乎？”玄德曰：“皆此二人之力 ||| Lưu Bị nói: - Đây là Quan Vũ, Trương Phi, hai người anh em kết nghĩa với tôi đó
”瓒曰：“今居何职？”玄德答曰：“关羽为马弓手，张飞为步弓手 ||| Toản hỏi có phải hai người ấy là hai người cùng phá giặc Khăn Vàng hay không, Huyền Đức nói: - Phá giặc Khăn Vàng chính là công hai người này cả! Toản hỏi hiện bây giờ hai người làm chức gì? Huyền Đức thưa: - Quan Vũ làm tay mã cung; Trương Phi làm tay bộ cung
”瓒叹曰：“如此可谓埋没英雄！今董卓作乱，天下诸侯共往诛之 ||| Toản than rằng: - Như thế quả là mai một anh hùng! Nay Đổng Trác làm loạn, chư hầu cùng dấy binh đến đánh
贤弟可弃此卑官，一同讨贼，力扶汉室，若何？”玄德曰：“愿往 ||| Hiền đệ bỏ quách một chức quan quèn này, cùng với tôi đi đánh giặc giúp nhà Hán, nên không? Lưu Bị vâng xin đi ngay
”张飞曰：“当时若容我杀了此贼，免有今日之事 ||| Trương Phi nghe thấy tên Đổng Trác, nói rằng: - Khi trước giá để tôi giết ngay thằng giặc ấy đi thì không phải rắc rối như ngày nay
”云长曰：“事已至此，即当收拾前去 ||| Quan Vũ nói: - Bây giờ việc đã như thế, ta nên thu xếp đi ngay thôi
”玄德、关、张引数骑跟公孙瓒来，曹操接着 ||| Lưu Bị cùng Quan, Trương liền đem vài ba người lính kỵ, theo Công Tôn Toản đi
众诸侯亦陆续皆至，各自安营下寨，连接二百余里 ||| Tào Tháo ra tiếp
操乃宰牛杀马，大会诸侯，商议进兵之策 ||| Các chư hầu cũng lục tục kéo đến cả, mỗi người đóng trại một chỗ, liên tiếp nhau hơn hai trăm dặm đất
太守王匡曰：“今奉大义，必立盟主；众听约束，然后进兵 ||| Tào Tháo giết trâu mổ ngựa, hội cả mười tám chư hầu bàn việc tiến binh
”操曰：“袁本初四世三公，门多故吏，汉朝名相之裔，可为盟主 ||| Thái thú Vương Khuông nói: - Nay làm việc đại nghĩa, nên lập minh chủ, để mọi người vâng theo hiệu lệnh, rồi sẽ tiến binh
”绍再三推辞，众皆曰非本初不可，绍方应允 ||| Tháo nói: - Viên Bản Sơ nhà bốn đời làm tam công, lại có nhiều thủ hạ cũ; nguyên là con cháu danh tướng nhà Hán, nên tôn làm minh chủ
次日筑台三层，遍列五方旗帜，上建白旄黄钺，兵符将印，请绍登坛 ||| Thiệu hai ba lần từ chối, nhưng mọi người đều nói: - Phi Bản Sơ không xong! Thiệu mới vâng lời
绍整衣佩剑，慨然而上，焚香再拜 ||| Hôm sau lập một cái đàn ba tầng, chung quanh cắm cờ ngũ phương, tầng trên dựng một lá cờ tuyết mao trắng, một cây hoàng việt; binh phù tướng ấn đủ cả; chư hầu mời Thiệu lên đàn
其盟曰：“汉室不幸，皇纲失统 ||| Thiệu mặc áo chỉnh tề, đeo gươm đầu hàng, đốt hương lễ hai lễ, rồi đọc lời thề: "Nhà Hán chẳng may; phép vua lơi lỏng
贼臣董卓，乘衅纵害，祸加至尊，虐流百姓 ||| Tặc thần Đổng Trác, thừa kế làm ác, vạ đến ngôi vua, hại ra trăm họ
绍等惧社稷沦丧，纠合义兵，并赴国难 ||| Anh em chúng tôi là Thiệu
皇天后土，祖宗明灵，实皆鉴之！”读毕歃血 ||| Sợ rằng xã tắc đắm mất nên phải tụ họp nghĩa binh, cùng nhau cứu nạn nước
众因其辞气慷慨，皆涕泗横流 ||| Phàm đã là người đồng minh, ai cũng phải dốc lòng hết sức để giữ lấy đạo làm tôi không được hai lòng
歃血已罢，下坛 ||| Ai trái lời thề này, sẽ chết mất mạng, tiệt tự cháu con
众扶绍升帐而坐，两行依爵位年齿分列坐定 ||| Xin trời đất tổ tôn chứng giám cho!"
操行酒数巡，言曰：“今日既立盟主，各听调遣，同扶国家，勿以强弱计较 ||| Thiệu đọc xong, các tướng đều uống máu ăn thề
”袁绍曰：“绍虽不才，既承公等推为盟主，有功必赏，有罪必罚 ||| Mọi người nghe thấy lời nói khảng khái, ai cũng nước mắt chứa chan
国有常刑，军有纪律 ||| Thề xong xuống đàn, Thiệu lên trướng ngồi, chư hầu hai bên theo chức tước và tuổi chia định ngôi thứ
各宜遵守，勿得违犯 ||| Tháo đứng dậy mời rượu
”众皆曰惟命是听 ||| Rượu uống được vài tuần, Tháo nói: - Nay đã lập minh chủ rồi, chúng ta đều phải vâng nghe điều khiển, cùng giúp việc nước
绍曰：“吾弟袁术总督粮草，应付诸营，无使有缺 ||| Không ai được cậy khỏe cậy tài, ganh tỵ nhau
更须一人为先锋，直抵汜水关挑战 ||| Viên Thiệu nói: - Thiệu tuy bất tài, nhưng đã được các quan cắt làm minh chủ, xin hết sức công minh; ai có công phải thưởng; ai có tội phải phạt
余各据险要，以为接应 ||| Nước có hình luật quân có phép tắc, nên cùng giữ gìn, đừng ai vi phạm
” ||| Các tướng đều nói: - Chúng tôi xin tuân lệnh
长沙太守孙坚出曰：“坚愿为前部 ||| Thái thú Trường Sa là Tôn Kiên, bước lên, xin đi tiên phong
”绍曰：“文台勇烈，可当此任 ||| Thiệu nói: - Phải đấy! Văn Đài hùng mạnh, có thể đảm đang chức ấy
”坚遂引本部人马杀奔汜水关来 ||| Kiên liền dẫn quân bản hộ của mình, kéo đến cửa Dĩ Thủy
守关将士，差流星马往洛阳丞相府告急 ||| Quân canh cửa vội vàng phi ngựa về Lạc Dương vào phủ thừa tướng cáo cấp
董卓自专大权之后，每日饮宴 ||| Đổng Trác từ khi chuyên quyền, ngày nào cũng yến tiệc vui say
李儒接得告急文书，径来禀卓 ||| Lý Nho tiếp được tờ cáo cấp, vào bẩm với Trác
卓大惊，急聚众将商议 ||| Trác thất kinh vội vàng họp các tướng sĩ bàn bạc
温侯吕布挺身出曰：“父亲勿虑 ||| Lã Bố thưa rằng: - Phụ thân đừng lo, các chư hầu đóng ngoài cửa ải, con coi như cỏ rác
关外诸侯，布视之如草芥；愿提虎狼之师，尽斩其首，悬于都门 ||| Con xin đem quân hổ lang, chém hết đầu chúng treo dưới cửa phủ! Trác mừng mà nói rằng: - Ta được Phụng Tiên thì cứ gối cao đầu mà ngủ không lo gì nữa
”卓大喜曰：“吾有奉先，高枕无忧矣！”言未绝，吕布背后一人高声出曰：“割鸡焉用牛刀？不劳温侯亲往 ||| Trác nói chưa dứt lời thì sau lưng Lã Bố có một người bước ra nói to lên rằng: - Cắt tiết gà, lọ là phải dùng đến dao mổ trâu! Không phải phiền đến Lã Ôn Hầu, tôi xin ra chém hết đầu chúng nó, dễ như lấy đồ ở trong túi
吾斩众诸侯首级，如探囊取物耳！”卓视之，其人身长九尺，虎体狼腰，豹头猿臂；关西人也，姓华，名雄 ||| Trác nhìn xem: Người ấy thân cao chín thước, mình hổ lưng lang, đầu báo tay vượn, là người Quan Tây, họ Hoa, tên Hùng
卓闻言大喜，加为骁骑校尉 ||| Trác nghe nói thế, thích chí lắm, cho ngay làm kiêu kỵ hiệu úy đem năm vạn quân mã hộ cùng với Lý Túc, Hồ Chẩn, Triệu Xầm đi suốt ngày đêm ra cửa quan nghênh địch
众诸侯内有济北相鲍信，寻思孙坚既为前部，怕他夺了头功，暗拨其弟鲍忠，先将马步军三千，径抄小路，直到关下搦战 ||| Trong bọn chư hầu, có Pháo Tín là tướng ở Tế Bắc, thấy Tôn Kiên được đi làm tiên phong, sợ Kiên cướp mất công đầu, bèn mật sai em là Pháo Trung, đem năm nghìn quân mã bộ đi đường tắt, ra thẳng trước cửa quan khiêu chiến
华雄引铁骑五百，飞下关来，大喝：“贼将休走！”鲍忠急待退，被华雄手起刀落，斩于马下，生擒将校极多 ||| Hoa Hùng đem năm trăm quân thiết kỵ ra ngoài cửa quan, thét lớn: "Tướng giặc chớ chạy!"
华雄遣人赍鲍忠首级来相府报捷，卓加雄为都督 ||| Pháo Trung vội lui, bị Hoa Hùng chém chết, tướng tá bị bắt sống rất nhiều
却说孙坚引四将直至关前 ||| Đây nói chuyện Tôn Kiên dẫn bốn tướng đến trước cửa Dĩ Thủy
那四将？——第一个，右北平土垠人，姓程，名普，字德谋，使一条铁脊蛇矛；第二个，姓黄，名盖，字公覆，零陵人也，使铁鞭；第三个，姓韩，名当，字义公，辽西令支人也，使一口大刀；第四个，姓祖，名茂，字大荣，吴郡富春人也，使双刀 ||| Bốn tướng ấy là: Một
孙坚披烂银铠，裹赤帻，横古锭刀，骑花鬃马，指关上而骂曰：“助恶匹夫，何不早降！”华雄副将胡轸引兵五千出关迎战 ||| Trình Phổ, tên chữ là Đức Mưu, người Thổ Ngân, ở Hữu Bắc Bình; Phổ cầm một ngọn xà mâu sắt
程普飞马挺矛，直取胡轸 ||| Hai
斗不数合，程普刺中胡轸咽喉，死于马下 ||| Hoàng Cái, tên chữ là Công Phúc, người ở Linh Lăng; Cái cầm một ngọn roi sắt
坚挥军直杀至关前，关上矢石如雨 ||| Ba
孙坚引兵回至梁东屯住，使人于袁绍处报捷，就于袁术处催粮 ||| Hàn Đương, tên chữ là Công Nghĩa, người Linh Chi, tỉnh Liêu Tây; Đương cầm một con dao lớn
或说术曰：“孙坚乃江东猛虎；若打破洛阳，杀了董卓，正是除狼而得虎也 ||| Bấy giờ có người xui Thuật rằng: - Tôn Kiên là một con hổ dữ ở đất Giang Đông, nếu ta để cho nó phá được Lạc Dương, giết được Đổng Trác, thì khác gì trừ được lang mà lại gặp hổ
今不与粮，彼军必散 ||| Nay đừng phát lương, quân hắn sẽ tan vỡ
”术听之，不发粮草 ||| Thuật nghe, bèn không cấp lương cho Tôn Kiên
孙坚军缺食，军中自乱，细作报上关来 ||| Kiên cạn lương, trong quân rối loạn
李肃为华雄谋曰：“今夜我引一军从小路下关，袭孙坚寨后，将军击其前寨，坚可擒矣 ||| Quân do thám biết, về cửa quan báo tin
”雄从之，传令军士饱餐，乘夜下关 ||| Lý Túc bàn với Hoa Hùng rằng: - Đêm hôm nay ta đem một toán quân, đi lần con đường nhỏ xuống đánh đằng sau trại Tôn Kiên, tướng quân đánh đằng trước, chắc bắt được nó
是夜月白风清 ||| Hùng nghe kế ấy, truyền lệnh cho quân sĩ ăn no, để đêm xuống cửa quan đánh giặc
到坚寨时，已是半夜，鼓噪直进 ||| Đêm hôm ấy, gió mát trăng trong
坚慌忙披挂上马，正遇华雄 ||| Quân Hùng đến trại Kiên bấy giờ độ nửa đêm, đánh trống hò reo kéo vào
两马相交，斗不数合，后面李肃军到，竟天价放起火来 ||| Kiên vội vàng mặc áo cưỡi ngựa đi ra, vừa gặp Hoa Hùng đến
坚军乱窜 ||| Hai bên đánh nhau được vài hiệp, mặt sau Lý Túc kéo vào sai quân sĩ phóng hỏa
众将各自混战，止有祖茂跟定孙坚，突围而走 ||| Quân Tôn Kiên rối loạn
背后华雄追来 ||| Các tướng đánh lộn nhau, duy có Tổ Mậu theo Kiên phá vây chạy
坚取箭，连放两箭，皆被华雄躲过 ||| Hoa Hùng từ mặt sau đuổi dồn lên
再放第三箭时，因用力太猛，拽折了鹊画弓，只得弃弓纵马而奔 ||| Kiên cầm cung bắn hai phát tên, Hùng đều tránh được cả, lại giương cung bắn một phát nữa, kéo quá sức gãy mất cung thước hoa phải vứt bỏ cung tế ngựa chạy
祖茂曰：“主公头上赤帻射目，为贼所识认 ||| Tổ Mâu bảo Kiên rằng: - Cái mũ chóp đỏ trên đầu của chúa công, bị giặc nó nhận được
可脱帻与某戴之 ||| Xin cởi mũ đưa cho tôi đội
”坚就脱帻换茂盔，分两路而走 ||| Kiên liền cởi mũ đánh đổi cho Mậu, rồi hai người chia đường chạy ra hai ngã
雄军只望赤帻者追赶，坚乃从小路得脱 ||| Quân Hoa Hùng cứ đuổi theo người đội mũ chóp đỏ
祖茂被华雄追急，将赤帻挂于人家烧不尽的庭柱上，却入树林潜躲 ||| Kiên chạy sang con đường nhỏ được thoát
华雄军于月下遥见赤帻，四面围定，不敢近前 ||| Tổ Mậu bị Hoa Hùng đuổi kíp lắm, bèn bỏ mũ ra, treo vào một cái cột nhà cháy dở, rồi trốn vào rừng rậm, núp một chỗ
用箭射之，方知是计，遂向前取了赤帻 ||| Quân Hùng, thấp thoáng dưới bóng trăng, trông thấy cái chóp mũ đỏ ở chỗ nhà cháy cứ vây bọc bốn mặt lại, không dám đến gần, rồi sau lấy tên bắn mãi mới biết bị lừa
祖茂于林后杀出，挥双刀欲劈华雄；雄大喝一声，将祖茂一刀砍于马下 ||| Tổ Mậu ở trong rừng lúc bấy giờ xông ra, hai tay múa đôi dao, chực chém Hoa Hùng, Hùng thét to một tiếng, đưa một nhát dao, Mậu chết lăn xuống dưới ngựa
杀至天明，雄方引兵上关 ||| Đánh nhau vừa đến tận sáng, Hùng mới kéo quân về
程普、黄盖、韩当都来寻见孙坚，再收拾军马屯扎 ||| Trình Phổ, Hàn Dương, Hoàng Cái tìm thấy Tôn Kiên, thu nhập quân mã lại rồi đóng trại ở
坚为折了祖茂，伤感不已，星夜遣人报知袁绍 ||| Tôn Kiên thấy mất Tổ Mậu, thương xót lắm, bèn cấp tốc cho người đi báo Viên Thiệu
绍大惊曰：“不想孙文台败于华雄之手！”便聚众诸侯商议 ||| Thiệu thất kinh nói: - Không ngờ Tôn Văn Đài mà thua Hoa Hùng! Thiệu họp chư hầu để bàn bạc
众人都到，只有公孙瓒后至，绍请入帐列坐 ||| Chư hầu đến cả, chỉ có Công Tôn Toản đến sau
绍曰：“前日鲍将军之弟不遵调遣，擅自进兵，杀身丧命，折了许多军士；今者孙文台又败于华雄：挫动锐气，为之奈何？”诸侯并皆不语 ||| Thiệu mời các tướng vào ngồi sắp hàng trong trướng rồi nói rằng: - Em Pháo Tín không theo mệnh lệnh, tự tiện tiến binh, mình bị giết, quân sĩ chết nhiều
绍举目遍视，见公孙瓒背后立着三人，容貌异常，都在那里冷笑 ||| Đến nay Tôn Văn Đài cũng bị thua, mất hết nhuệ khí, các tướng định thế nào? Chư hầu không ai nói gì cả
绍问曰：“公孙太守背后何人？”瓒呼玄德出曰：“此吾自幼同舍兄弟，平原令刘备是也 ||| Thiệu ngẩng mặt lên nhìn chỉ thấy sau lưng Công Tôn Toản có ba người dị thường, đứng cười mát
”曹操曰：“莫非破黄巾刘玄德乎？”瓒曰：“然 ||| Thiệu hỏi ai
”即令刘玄德拜见 ||| Toản gọi Lưu Bị ra và nói rằng: - Người này là anh em bạn học với tôi thuở nhỏ, hiện đang làm quan lệnh Bình Nguyên
瓒将玄德功劳，并其出身，细说一遍 ||| Tên là Lưu Bị
绍曰：“既是汉室宗派，取坐来 ||| Tháo hỏi: - Có phải là Lưu Huyền Đức đánh tan giặc Khăn Vàng khi xưa không? Toản nói phải, rồi bảo Lưu Bị ra chào các quan, nhân thể đem công lao và hoàn cảnh xuất thân của Bị ra, nói chuyện để các tướng nghe
”命坐 ||| Thiệu thấy nói Lưu Bị là tôn phái nhà Hán bèn sai lấy ghế mời ngồi
备逊谢 ||| Lưu bị khiêm tốn không dám ngồi
绍曰：“吾非敬汝名爵，吾敬汝是帝室之胄耳 ||| Thiệu nói: - Ta kính không phải là kính danh tước nhà ngươi mà là kính người tôn thất nhà vua đấy thôi! Lưu Bị mới ngồi xuống ghế ở hàng cuối cùng
”玄德乃坐于末位，关、张叉手侍立于后 ||| Quan Vũ, Trương Phi chắp tay đứng hầu đằng sau
忽探子来报：“华雄引铁骑下关，用长竿挑着孙太守赤帻，来寨前大骂搦战 ||| Đương khi ấy, có quân do thám lại báo: - Hoa Hùng dẫn quân thiết kỵ xuống cửa quan, nó lấy sào cắm cái chóp mũ của Tôn thái thú, đến trước cửa trại, hò hét thách đánh
”绍曰：“谁敢去战？”袁术背后转出骁将俞涉曰：“小将愿往 ||| Thiệu hỏi: - Ai dám ra trận? Sau lưng Viên Thuật, có một tướng lực lưỡng, tên là Du Thiệp bước ra thưa rằng: - Tiểu tướng xin ra
”绍喜，便著俞涉出马 ||| Thiệu mừng sai Thiệp ra
即时报来：“俞涉与华雄战不三合，被华雄斩了 ||| Vừa được một lát, có người về báo: - Thiệp đánh nhau với Hoa Hùng được ba hiệp, bị Hùng chém chết rồi! Các tướng cả sợ
”众大惊 ||| Thái thú Hàn Phức nói: - Tôi có thượng tướng Phan Phụng có thể chém được Hoa Hùng
太守韩馥曰：“吾有上将潘凤，可斩华雄 ||| Thiệu bèn sai Phan Phụng ra đánh
”绍急令出战 ||| Phụng tay cầm một cái búa to, lên ngựa, ra được một lát, lại bị Hoa Hùng chém chết
潘凤手提大斧上马 ||| Các tướng không người nào còn máu mặt
去不多时，飞马来报：“潘凤又被华雄斩了 ||| Thiệu nói rằng: - Tiếc thay! Danh tướng của ta là Nhan Lương, Văn Sú chưa đến
”众皆失色 ||| Giá thử được một trong hai người ấy ở đây thì có sợ gì Hoa Hùng
绍曰：“可惜吾上将颜良、文丑未至！得一人在此，何惧华雄！”言未毕，阶下一人大呼出曰：“小将愿往斩华雄头，献于帐下！”众视之，见其人身长九尺，髯长二尺，丹凤眼，卧蚕眉，面如重枣，声如巨钟，立于帐前 ||| Nói chưa dứt lời một người ở dưới thềm, chạy ra, nói to lên rằng: - Tiểu tướng xin ra chém đầu Hoa Hùng, đem dân dưới trướng
绍问何人 ||| Mọi người nhìn xem thấy người ấy mình cao chín thước, râu dài hai thước, mắt phượng mày tằm, mặt đỏ như gấc, tiếng giống chuông kêu
公孙瓒曰：“此刘玄德之弟关羽也 ||| Thiệu hỏi là người nào
”绍问现居何职 ||| Toản thưa: - Em Huyền Đức tên là Quan Vũ đấy! Thiệu lại hỏi hiện làm chức gì? Toản thưa: - Vũ theo Huyền Đức làm tay bắn cung
瓒曰：“跟随刘玄德充马弓手 ||| Viên Thuật ở trong trướng thét lên: - Thằng này là thằng nào! Mà dám khinh chư hầu chúng tao không có đại tướng hay sao? Thứ mày là một thằng cung thủ, mà dám nói khoác à? Chúng đâu, đuổi cổ nó ra ngoài kia! Tào Tháo vội ngăn rằng: - Công Lộ hãy nguôi cơn giận
”帐上袁术大喝曰：“汝欺吾众诸侯无大将耶？量一弓手，安敢乱言！与我打出！”曹操急止之曰：“公路息怒 ||| Người ấy đã nói mạnh thế, chắc là có dũng lực
此人既出大言，必有勇略；试教出马，如其不胜，责之未迟 ||| Xin hãy thử cho ra, hễ không đánh được, ta sẽ trị tội
”袁绍曰：“使一弓手出战，必被华雄所笑 ||| Viên Thiệu nói: - Sai một tay bắn cung ra đánh, giặc nó có cười cho không? Tào Tháo nói: - Người ấy diện mạo oai vệ thế kia
”操曰：“此人仪表不俗，华雄安知他是弓手？”关公曰：“如不胜，请斩某头 ||| Hoa Hùng biết đâu là tay bắn cung
”操教酾热酒一杯，与关公饮了上马 ||| Quan Công nói: - Nếu tôi không đánh được, xin chặt đầu tôi đi! Tháo sai người rót chén rượu, đưa Quan Công uống trước khi đi
关公曰：“酒且斟下，某去便来 ||| Quan Công nói: - Xin hãy để chén rượu đấy, tôi đi rồi về ngay! Nói rồi đi ra, vác long đao nhảy lên lưng ngựa
”出帐提刀，飞身上马 ||| Được một lát chư hầu nghe thấy ngoài cửa quan tiếng trống đánh, tiếng người reo ầm ầm, tựa hồ như trời long đất lở, núi đổ non nghiêng, ai nấy đều thất kinh đang định sai người ra xem, thì đã thấy tiếng nhạc nhong nhong trở về, ngựa đã vào tới trung quân
众诸侯听得关外鼓声大振，喊声大举，如天摧地塌，岳撼山崩，众皆失惊 ||| Quan Công cầm đầu Hoa Hùng ném xuống đất, chén rượu của Tào Tháo đưa hãy còn nóng
正欲探听，鸾铃响处，马到中军，云长提华雄之头，掷于地上 ||| Đời sau có thơ khen rằng: Uy Vũ lừng danh đệ nhất công Nha môn trống trận nổi thùng thùng Chén rượu rót ra còn nóng hổi, Vân Trường đã chém chết Hoa Hùng
其酒尚温 ||| Tào Tháo mừng lắm
后人有诗赞之曰：“威镇乾坤第一功，辕门画鼓响冬冬 ||| Lúc ấy, Trương Phi ở sau lưng Lưu Bị mới chạy ra nói to lên rằng: - Đại ca đã chém chết được Hoa Hùng, sao không nhân thể đánh thốc vào cửa quan, bắt sống lấy Đổng Trác, còn đợi đến bao giờ? Viên Thuật giận quát mắng rằng: - Thằng láo! Đại thần của chúng tao đây còn phải khiêm tốn, thứ mày là tiểu tốt của một quan huyện, sao dám hỗn xược ở đây? Đuổi cả chúng nó ra ngoài kia
云长停盏施英勇，酒尚温时斩华雄 ||| Tào Tháo nói: - Ai có công thì thưởng, cứ gì quý với tiện! Viên Thuật nói: - Có phải các ông chỉ trọng một người huyện lệnh thì tôi xin cáo thoái
”曹操大喜 ||| Tháo nói: - Sao lại vì một lời nói, mà bỏ việc lớn? Nói thế rồi Tháo bảo Công Tôn Toản hãy mời các ông ấy về trại
只见玄德背后转出张飞，高声大叫：“俺哥哥斩了华雄，不就这里杀入关去，活拿董卓，更待何时！”袁术大怒，喝曰：“俺大臣尚自谦让，量一县令手下小卒，安敢在此耀武扬威！都与赶出帐去！”曹操曰：“得功者赏，何计贵贱乎？”袁术曰：“既然公等只重一县令，我当告退 ||| Chư hầu tan, người nào về trại người ấy
”操.曰：“岂可因一言而误大事耶？”命公孙瓒且带玄德、关、张回寨 ||| Tháo mật sai người đem trâu và rượu đưa sang mừng và úy lạo ba anh em Lưu, Quan, Trương
众官皆散 ||| Quân Hoa Hùng thua, chạy về cửa quan báo Lý Túc
曹操暗使人赍牛酒抚慰三人 ||| Túc vội vàng viết giấy báo Đổng Trác, Trác họp các quan lại bàn, Lý Nho nói: - Nay ta mất thượng tướng Hoa Hùng, thế giặc to lắm
却说华雄手下败军，报上关来 ||| Viên Thiệu là minh chủ, có chú là Viên Ngỗi hiện đang làm thái phó, nếu chúng trong ngoài tiếp ứng cho nhau thì nguy lắm, ta nên trừ trước đi
李肃慌忙写告急文书，申闻董卓 ||| Xin thừa tướng thân cầm đại quân, chia đường ra đánh thì mới được
卓急聚李儒、吕布等商议 ||| Trác nghe lời Nho, gọi Lý Thôi, Quách Dĩ, lĩnh năm trăm quân đến vây nhà thái phó Viên Ngỗi, già trẻ đều giết sạch, rồi đem đầu Ngỗi ra bêu trước cửa quan
卓遂起兵二十万，分为两路而来：一路先令李傕、郭汜引兵五万，把住汜水关，不要厮杀；卓自将十五万，同李儒、吕布、樊稠、张济等守虎牢关 ||| Trác khởi hai mươi vạn quân chia làm hai đường, một đường sai Lý Thôi, Quách Dĩ, đem năm vạn quân ra giữ cửa Dĩ Thủy, không đánh nhau vội; một đường thì Trác đem mười lăm vạn quân cùng với Lý Nho, Lã Bố, Phàn Trù, Trương Tế giữ cửa quan Hổ Lao, Trác sai Lã Bố lĩnh ba mươi vạn quân ra trước quan, đóng một trại lớn; Trác thì đóng đồn trên cửa quan
流星马探听得，报入袁绍大寨里来 ||| Quân lưu tinh dò được tình hình, kíp vào trại Viên Thiệu báo
绍聚众商议 ||| Thiệu họp các tướng lại bàn
操曰：“董卓屯兵虎牢，截俺诸侯中路，今可勒兵一半迎敌 ||| Tháo nói: - Đổng Trác đóng quân ở Hổ Lao, là cốt chẹn đường chư hầu
”绍乃分王匡、乔瑁、鲍信、袁遗、孙融、张杨、陶谦、公孙瓒八路诸侯，往虎牢关迎敌 ||| Nay nên chia quân ra, một nửa ra đó nghênh địch
操引军往来救应 ||| Thiệu bèn cắt Vương Khuông, Kiều Mạo, Pháo Tín, Viên Dị, Khổng Dung, Trương Dương, Đào Khiêm, Công Tôn Toản cả thảy tám vị chư hầu đến cửa Hổ Lao đón địch
八路诸侯，各自起兵 ||| Tào Tháo thì dẫn quân đi lại tiếp ứng
河内太守王匡，引兵先到 ||| Chư hầu đều khởi binh đến, thái thú Vương Khuông đi trước
吕布带铁骑三千，飞奔来迎 ||| Lã Bố đem năm nghìn quân thiết kỵ lại
王匡将军马列成阵势，勒马门旗下看时，见吕布出阵：头戴三叉束发紫金冠，体挂西川红锦百花袍，身披兽面吞头连环铠，腰系勒甲玲珑狮蛮带；弓箭随身，手持画戟，坐下嘶风赤兔马：果然是“人中吕布，马中赤兔”！王匡回头问曰：“谁敢出战？”后面一将，纵马挺枪而出 ||| Vương Khuông đem quân mã, bày thành thế trận, cưỡi ngựa đứng dưới cửa cờ, trông thấy Lã Bố ra trận mình mặc áo gấm đỏ trăm hoa, ngoài khoác áo giáo thú diện liên hoàn; dưới thắt dây lưng sư man, lưng đeo một bộ cung tên; tay cầm một ngọn họa kích, cưỡi ngựa xích thố
匡视之，乃河内名将方悦 ||| Khuông ngoảnh lại hỏi ai dám ra đánh? Đằng sau có một tướng vác ngọn giáo, tế ngựa chạy ra; đó là một danh tướng ở Hà Nội, tên là Phương Duyệt
两马相交，无五合，被吕布一戟刺于马下，挺戟直冲过来 ||| Hai ngựa giao nhau, chưa được năm hiệp, Duyệt bị Lã Bố đánh một ngọn kích ngã xuống ngựa
匡军大败，四散奔走 ||| Bố xông thẳng vào
布东西冲杀，如入无人之境 ||| Quân Vương Khuông thua to, chạy tán loạn ra bốn mặt
幸得乔瑁、袁遗两军皆至，来救王匡，吕布方退 ||| Bố xông xáo vào đám quân Khuông, như chạy vào nơi không người
三路诸侯，各折了些人马，退三十里下寨 ||| May sao Kiều Mạo, Viên Di đem hai cánh quân vừa đến, cứu được Vương Khuông, quân Bố mới lui
随后五路军马都至，一处商议，言吕布英雄，无人可敌 ||| Chư hầu ba xứ mỗi xứ mất ít nhiều người ngựa, lui ba mươi dặm, đóng trại
正虑间，小校报来：“吕布搦战 ||| Khi đang lo nghĩ thì có quân vào báo rằng Lã Bố đến khiêu chiến
”八路诸侯，一齐上马 ||| Chư hầu tám xư đều lên ngựa kéo ra cả, chia quân ra làm tám đội ở trên gò cao; trông ở đằng xa thấy một toán quân mã, cờ bay phất phới; Lã Bố xông đến
军分八队，布在高冈 ||| Bộ tướng của Trương Dương, thái thú Thượng Đẳng tên là Mục Thuận vác ngọn giáo tế ngựa ra đánh, bị Bố đâm một ngọn kích chết lăn từ trên ngựa xuống đất
遥望吕布一簇军马，绣旗招飐，先来冲阵 ||| Thấy thế, một bộ tướng của Khổng Dung, tên là Vũ An Quốc, vác một cái dùi sắt, tế ngựa chạy ra, Lã Bố đến, đánh nhau được mười hiệp, Bố đưa một ngọn kích đánh gãy cánh tay An Quốc
上党太守张杨部将穆顺，出马挺枪迎战，被吕布手起一戟，刺于马下 ||| An Quốc vứt dùi sắt chạy
众大惊 ||| Chư hầu tám xứ cùng đổ ra mới cứu được An Quốc
北海太守孔融部将武安国，使铁锤飞马而出 ||| Lã Bố lui quân trở về, các chư hầu lại về trại bàn với nhau
吕布挥戟拍马来迎 ||| Tào Tháo nói: - Lã Bố anh hùng, không địch được
战到十余合，一戟砍断安国手腕，弃锤于地而走 ||| Nay nên họp cả mười tám nước chư hầu để bàn nhau tìm kế gì đánh được nó
八路军兵齐出，救了武安国 ||| Hễ bắt sống được Lã Bố, thì giết Đổng Trác chẳng khó gì nữa!
正议间，吕布复引兵搦战 ||| Trong khi đang bàn bạc, Lã Bố lại kéo quân đến thách đánh
八路诸侯齐出 ||| Công Tôn Toản vác ngọn giáo nhảy ra đánh Lã Bố, mới được vài hiệp, Toản thua chạy
公孙瓒挥槊亲战吕布 ||| Lã Bố thúc ngựa xích thố xấn lại đuổi, ngựa này chạy nhanh như bay
