第一回宴桃园豪杰三结义斩黄巾英雄首立功	HỒI 1 Tiệc vườn đào, anh hùng kết nghĩa; Chém Khăn Vàng, hào kiệt lập công.
先是洛阳小儿谣曰：“帝非帝，王非王，千乘万骑走北邙。”	Trước đây ít lâu, trẻ con ở kinh thành Lạc Dương thường hát mấy câu sau: "Đế chẳng ra đế Vương chẳng ra vương Xe xem ngựa ngựa Chạy ra Bắc Mang".
至此果应其谶。	Đến bây giờ quả là ứng nghiệm.
车驾行不到数里，忽见旌旗蔽日，尘土遮天，一枝人马到来。	Xa giá vừa đi được vài dặm, bỗng thấy cờ kéo rợp trời, bụi bay mờ đất, một đoàn binh mã kéo đến.
百官失色，帝亦大惊。	Các quan thấy sắc, vua cũng kinh hoàng.
袁绍骤马出问：“何人？”	Viên Thiệu tế ngựa ra thét hỏi: - Binh mã nào đấy?
绣旗影里，一将飞出，厉声问：“天子何在？”	Dưới bóng ngọn cờ thêu, một tướng phi ngựa ra hỏi lại rằng: - Thiên tử đâu?
帝战栗不能言。	Thiếu Đế sợ run không nói được.
陈留王勒马向前，叱曰：“来者何人？”	Trần Lưu Vương sấn ngựa ra mắng rằng: - Ngươi là ai?
卓曰：“西凉刺史董卓也。”	Tướng ấy đáp: - Thứ sử Tây lương Đổng Trác!
陈留王曰：“汝来保驾耶，汝来劫驾耶？”	Trần Lưu Vương hỏi vặn: - Ngươi đến hộ giá hay đến cướp giá?
卓应曰：“特来保驾。”	- Tôi đến hộ giá.
陈留王曰：“既来保驾，天子在此，何不下马？”	- Đã đến hộ giá, sao Hoàng Đếở kia, không xuống ngựa?
卓大惊，慌忙下马，拜于道左。	Trác cả sợ, vội vàng xuống ngựa, thụp lạy ở bên cạnh đường.
陈留王以言抚慰董卓，自初至终，并无失语。 卓暗奇之，已怀废立之意。	Trần Lưu Vương lấy lời phủ dụ. Trác từ đấy ăn nói giữ gìn, trước sau không hớ điều gì, trong bụng rất thần phục Trần Lưu Vương, và có ý muốn bỏ vua nọ lập vua kia tự đó.
是日还宫，见何太后，俱各痛哭。	Ngày hôm ấy, vua về đến kinh, vào cung bái kiến Hà Thái Hậu, mẹ con than khóc cùng nhau.
检点宫中，不见了传国玉玺。	Lúc kiểm điểm trong cung, không biết cái ấn ngọc truyền quốc biến đi đâu mất.
董卓屯兵城外，每日带铁甲马军入城，横行街市，百姓惶惶不安。	Đổng Trác đóng đồn ở ngoài thành, hàng ngày đem quân mặc áo thiết giáp vào trong thành, đi nghênh ngang các phố, nhân dân rất sợ hãi.
卓出入宫庭，略无忌惮。	Trác lại tự do vào ra chỗ cung cấm, không kiêng sợ gì cả.
后军校尉鲍信，来见袁绍，言董卓必有异心，可速除之。	Hậu quân hiệu úy Pháp Tín đến chơi Viên Thiệu bàn với Thiệu rằng: - Đổng Trác hình như có bụng khác, phải trừ ngay đi.
绍曰：“朝廷新定，未可轻动。”	Thiệu nói: - Triều đình vừa mới được yên, không nên làm kinh động.
鲍信见王允，亦言其事。	Pháo Tín bàn với Vương Doãn.
允曰：“且容商议。”	Doãn nói: - Để rồi sẽ bàn!
信自引本部军兵，投泰山去了。	Pháo Tín thấy không ai nghe mình, bèn đem quân bản bộ đến đóng ở Thái Sơn.
董卓招诱何进兄弟部下之兵，尽归掌握。 私谓李儒曰：“吾欲废帝立陈留王，何如？”	Đổng Trác chiêu dụ những quân bộ hạ của anh em Hà Tiến về cả tay mình, rồi bàn mảnh với Lý Nho rằng: - Ta muốn bỏ Thiếu Đế, lập Trần Lưu Vương có nên không?
李儒曰：“今朝廷无主，不就此时行事，迟则有变矣。	Lý Nho nói: - Nên lắm. Nay đang lúc triều đình vô chủ, nên làm ngay mới được, nếu để chậm sẽ sinh biến.
来日于温明园中，召集百官，谕以废立；有不从者斩之，则威权之行，正在今日。”	Ngày mai nên triệu các quan hội họp ở trong vườn Ôn Minh, đem việc phế lập ra biểu dụ, ai không nghe thì chém. Nắm được uy quyền, chính ở lúc này đây.
卓喜。 次日大排筵会，遍请公卿。	Trác mừng lắm, sáng hôm sau mở tiệc yến rất lớn, mời tất cả các công khanh đến.
公卿皆惧董卓，谁敢不到。	Ai cũng sợ Đổng Trác cho nên không ai vắng mặt cả.
卓待百官到了，然后徐徐到园门下马，带剑入席。	Trác chờ các quan đến đông đủ, mới lững thững đến cửa vườn, xuống ngựa đeo gươm vào tiệc.
酒行数巡，卓教停酒止乐，乃厉声曰：“吾有一言，众官静听。” 众皆侧耳。 卓曰：“天子为万民之主，无威仪不可以奉宗庙社稷。	Rượu được vài tuần, Trác truyền lệnh dừng chén, nghỉ âm nhạc, rồi nói lớn lên rằng: - Các quan hãy im lặng, nghe ta nói một câu chuyện: Vua là chủ tể thiên hạ, không có uy nghi không thể nào tôn phụng tôn miếu và xã tắc.
今上懦弱，不若陈留王聪明好学，可承大位。	Nay hoàng thượng nhu nhược, không bằng Trần Lưu Vương thông minh ham học, xứng đáng ngôi rồng.
吾欲废帝，立陈留王，诸大臣以为何如？”	Vậy ý ta muốn bỏ vua Thiếu Đế, lập Trần Lưu Vương, các quan nghĩ sao?
诸官听罢，不敢出声。	Các quan nghe đoạn, yên lặng nhìn nhau, không ai dám nói câu gì cả.
座上一人推案直出，立于筵前，大呼：“不可！	Bỗng có một người ngồi trong yến tiệc đẩy ghế đứng dậy, nói lớn lên rằng: - Không được!
不可！	Không được!
汝是何人，敢发大语？	Mày là thằng nào, dám nói càn rỡ như vậy?
天子乃先帝嫡子，初无过失，何得妄议废立！	Hoàng thượng là con cả Đức Tiên đế, xưa nay không chút lầm lỗi, sao bỗng dưng dám nói bỏ người này lập người kia!
汝欲为篡逆耶？”	Mày muốn phản nghịch chăng?
卓视之，乃荆州刺史丁原也。	Trác nhìn xem mới biết người ấy là quan thứ sử Kinh Châu, tên gọi Đinh Nguyên.
卓怒叱曰：“顺我者生，逆我者死！”	Trác nổi giận quát lên rằng: - Ai theo ta thì sống, ai chống ta thì chết!
遂掣佩剑欲斩丁原。	Bèn rút gươm toan chém Đinh Nguyên.
时李儒见丁原背后一人，生得器宇轩昂，威风凛凛，手执方天画戟，怒目而视。 李儒急进曰：“今日饮宴之处，不可谈国政；来日向都堂公论未迟。”	Bấy giờ Lý Nho thấy một người đứng sau lưng Đinh Nguyên, khí vũ hiên ngang, uy phong lẫm lẫm, tay cầm cái phương thiên họa kích, có vẻ tức giận trừng mắt mà nhìn, vội vàng đứng dậy nói rằng: - Hôm nay trong tiệc ăn uống, không nên bàn đến việc nước. Xin đến sáng mai họp bàn tại nhà nghị sự thì hơn!
众人皆劝丁原上马而去。	Mọi người đều khuyên Đinh Nguyên lên ngựa về nhà.
卓问百官曰：“吾所言，合公道否？”	Trác lại hỏi các quan rằng: - Ta nói thế có hợp lẽ không?
卢植曰：“明公差矣。	Lư Thực nói: - Ông lầm rồi! Xưa vua Thái Giáp thông minh.
昔太甲不明，伊尹放之于桐宫；昌邑王登位方二十七日，造恶三千余条，故霍光告太庙而废之。	Y Doãn bị đuổi ra Đổng cung; vua Xương Ấp lên ngôi vua mới có hai mươi bảy ngày mà làm hơn ba mươi điều ác, nên Hoắc Quang phải làm lễ cáo ở thái miếu rồi bỏ đi.
今上虽幼，聪明仁智，并无分毫过失。	Ngày nay vua dẫu còn trẻ tuổi, song vốn thông minh nhân từ, chưa có một chút lỗi lầm.
公乃外郡刺史，素未参与国政，又无伊、霍之大才，何可强主废立之事？	Ông chẳng qua là thứ sử đường ngoài, chưa tham dự việc nước, lại không có tài lớn như Hoắc Quang, Y Doãn, sao dám cả gan bàn đến việc bỏ vua nọ lập vua kia?
圣人云：有伊尹之志则可，无伊尹之志则篡也。”	Thánh nhân nói rằng: "Có chí như Y Doãn thì hay bằng không có chí ấy mà làm thì là thoán nghịch!"
卓大怒，拔剑向前欲杀植。 侍中蔡邕、议郎彭伯谏曰：“卢尚书海内人望，今先害之，恐天下震怖。”	Trác cả giận, rút gươm sấn đến toan chém Lư Thực, quan thị trung là Sái Ấp và quan nghị lang là Bành Bá can rằng: - Lư thượng thư là người có danh vọng lớn ở trong thiên hạ, nếu đem giết đi, e rằng thiên hạ không phục!
卓乃止。	Trác mới thôi.
司徒王允曰：“废立之事，不可酒后相商，另日再议。”	Quan tư đồ là Vương Doãn nói tiếp rằng: - Việc phế lập không nên bàn sau khi uống rượu say. Xin để ngày khác lại bàn.
于是百官皆散。	Các quan đều giải tán.
卓按剑立于园门，忽见一人跃马持戟，于园门外往来驰骤。	Lúc ấy Trác còn chống gươm đứng giữa cửa vườn, bỗng thấy một người cầm kích phi ngựa ở ngoài cửa.
卓问李儒：“此何人也？”	Trác hỏi Lý Nho: - Người nào đấy?
儒曰：“此丁原义儿：姓吕，名布，字奉先者也。 主公且须避之。”	Nho nói: - Đấy là con nuôi Đinh Nguyên, họ Lã tên Bố, tự là Phụng Tiên, chúa công hãy nên tạm lánh đi.
卓乃入园潜避。	Trác bèn lẩn trốn vào trong vườn.
次日，人报丁原引军城外搦战。	Sáng hôm sau có tin báo Đinh Nguyên dẫn quân đến ngoài thành thách đánh.
卓怒，引军同李儒出迎。	Trác nổi giận, cùng Lý Nho dẫn quân ra đối địch.
两阵对圆，只见吕布顶束发金冠，披百花战袍，擐唐猊铠甲，系狮蛮宝带，纵马挺戟，随丁建阳出到阵前。	Lã Bố đầu búi tóc, đội kim quan, mình mặc chiến bào thêu trăm hoa, ngoài phủ giáp đường nghê, thắt bảo đới, phóng ngựa múa kích, theo Đinh Nguyên ra trước trận.
建阳指卓骂曰：“国家不幸，阉官弄权，以致万民涂炭。	Đinh Nguyên trỏ vào mặt Đổng Trác mắng rằng: - Nhà nước không may bị bọn hoạn quan lộng quyền, đến nỗi dân chúng lầm than.
尔无尺寸之功，焉敢妄言废立，欲乱朝廷！”	Mày không có chút công cán gì, sao dám mở mồm nói việc phế lập để loạn triều đình?
董卓未及回言，吕布飞马直杀过来。 董卓慌走，建阳率军掩杀。 卓兵大败，退三十余里下寨，聚众商议。	Đổng Trác chưa kịp trả lời, Lã Bố đã phi ngựa sấn sang, Đổng Trác hoảng chạy, Đinh Nguyên thúc quân đánh trận, quân Trác thua to, phải lui hơn ba mươi dặm đóng trại.
卓曰：“吾观吕布非常人也。 吾若得此人，何虑天下哉！”	Trác bàn với các tướng rằng: - Ta xem Lã Bố là kẻ tài giỏi phi thường, nếu được người ấy về với ta, lo gì không được thiên hạ!
帐前一人出曰：“主公勿忧。	Một người ở dưới trướng bước ra thưa rằng: - Chúa công lo chi điều ấy!
某与吕布同乡，知其勇而无谋，见利忘义。	Tôi vốn cùng làng với Lã Bố, hắn là người chỉ có sức khỏe mà không có mưu, thấy lợi thì quên nghĩa.
某凭三寸不烂之舌，说吕布拱手来降，可乎？”	Tôi quyết xin đem ba tấc lưỡi nói cho Lã Bố chắp tay về với chúa công.
卓大喜，观其人，乃虎贲中郎将李肃也。	Trác cả mừng nhìn xem, thì ra người ấy là hổ bôn trung lang tướng Lý Túc.
卓曰：“汝将何以说之？”	Trác bèn hỏi: - Làm thế nào để dụ hắn?
肃曰：“某闻主公有名马一匹，号曰赤兔，日行千里。	Túc nói: - Tôi nghe chúa công có một con ngựa xích thố tốt, mỗi ngày đi ngàn dặm.
须得此马，再用金珠，以利结其心。 某更进说词，吕布必反丁原，来投主公矣。”	Nếu đem con ngựa ấy và thêm một số vàng ngọc nữa lấy lợi dụ hắn, hắn sẽ phản Đinh Nguyên về với chúa công ngay.
卓问李儒曰：“此言可乎？”	Trác quay lại hỏi Lý Nho rằng: - Có nên làm như thế không?
儒曰：“主公欲破天下，何惜一马！”	Nho nói: - Chúa công muốn lấy thiên hạ, thì tiếc gì một con ngựa.
卓欣然与之，更与黄金一千两、明珠数十颗、玉带一条。	Trác vua vẻ cho ngựa, lại cho thêm một nghìn lạng vàng, vài chục hạt châu, và một cái đai bằng ngọc.
李肃赍了礼物，投吕布寨来。 伏路军人围住。	Lý Túc nhận các món ấy đem sang trại quân Lã Bố, bị quân canh đường bắt được.
肃曰：“可速报吕将军，有故人来见。”	Túc nói: - Các ngươi vào bẩm Lã tướng quân, có người bạn cũ đến thăm đấy.
军人报知，布命入见。	Lã Bố sai mời vào.
肃见布曰：“贤弟别来无恙！”	Túc hỏi Bố rằng: - Lâu nay hiền đệ vẫn được bình yên?
布揖曰：“久不相见，今居何处？”	Lã Bố chắp tay thưa rằng: - Lâu lắm mới gặp nhau, vậy chớ bây giờ anh ở đâu?
肃曰：“现任虎贲中郎将之职。 闻贤弟匡扶社稷，不胜之喜。	Túc nói: - Tôi hiện làm chức hổ bôn trung lang tướng, nghe tin hiền đệ trổ tài giúp nước, tôi mừng rỡ vô cùng.
有良马一匹，日行千里，渡水登山，如履平地，名曰赤兔：特献与贤弟，以助虎威。”	Nhân có một con ngựa tốt, ngày đi ngàn dặm, lội nước trèo núi như chạy đường phẳng, gọi là ngựa xích thố, thành tâm đem dâng hiền đệ, thêm giúp oai hùng.
布便令牵过来看。 果然那马浑身上下，火炭般赤，无半根杂毛；从头至尾，长一丈；从蹄至项，高八尺；嘶喊咆哮，有腾空入海之状。	Lã Bố sai dắt lại xem, quả nhiên toàn thân con ngựa ấy một màu đỏ như lửa, tuyệt không có cái lông nào tạp, từ đầu đến đuôi dài một trượng, từ mông lên trán cao tám thước, lúc miệng gầm chân cất, có cái vẻ tung mây vượt biển.
后人有诗单道赤兔马曰：“奔腾千里荡尘埃，渡水登山紫雾开。 掣断丝缰摇玉辔，火龙飞下九天来。”	Đời sau có người vịnh thơ khen ngựa xích thố rằng: Ngàn dặm mù bay tịt nẻo xa Trèo non vượt nước khéo xông pha Cương tơ chặt đứt rung chuông ngọc Rồng đỏ trên trời hẳn mới sa?
布见了此马，大喜，谢肃曰：“兄赐此龙驹，将何以为报？”	Lã Bố trông thấy ngựa mừng lắm, tạ rằng: - Anh cho con ngựa hay như thế, biết lấy gì đáp lại?
肃曰：“某为义气而来。 岂望报乎！”	Túc nói: - Tôi vì nghĩa đến đây, dám mong gì báo đáp!
布置酒相待。	Lã Bố sai làm rượu thết đãi.
酒甜，肃曰：“肃与贤弟少得相见；令尊却常会来。”	Rượu đã ngà say, Túc nói: - Tôi với hiền đệ ít khi gặp nhau, nhưng được gặp lệnh tôn luôn.
布曰：“兄醉矣！ 先父弃世多年，安得与兄相会？”	Lã Bố nói: - Anh say rồi, cha tôi khuất núi đã lâu, sao còn gặp được anh?
肃大笑曰：“非也！ 某说今日丁刺史耳。”	Túc cả cười mà rằng: - Tôi đã say đâu, tôi nói lệnh tôn là nói Đinh thứ sử đó!
布惶恐曰：“某在丁建阳处，亦出于无奈。”	Bố có ý hổ thẹn nói rằng: - Tôi ở với ông Đinh Kiến Dương, cũng là bất đắc dĩ.
肃曰：“贤弟有擎天驾海之才，四海孰不钦敬？ 功名富贵，如探囊取物，何言无奈而在人之下乎？”	Túc nói: - Hiền đệ có tài ngang trời dọc đất, bốn biển ai chẳng quý trọng, phú quý công danh, coi dễ như thò tay lấy của ở trong túi, sao lại nói là bất đắc dĩ mà can chịu nép mình ở dưới người ta?
布曰：“恨不逢其主耳。”	Bố thở dài nói: - Tôi chỉ giận chưa gặp được chủ!
肃笑曰：“良禽择木而栖，贤臣择主而事。 见机不早，悔之晚矣。”	Túc cười nói: - Chim khôn chọn cành mà đậu, người hiền chọn chúa mà thờ; nếu không sớm liệu ngày sau hối sao kịp?
布曰：“兄在朝廷，观何人为世之英雄？”	- Anh xem trong triều, còn có ai đáng mặt anh hùng đời nay?
肃曰：“某遍观群臣，皆不如董卓。 董卓为人敬贤礼士，赏罚分明，终成大业。”	- Tôi xem các quan đại thần bây giờ không ai bằng được Đổng Trác, Đổng Trác tôn người hiền, kính kẻ sĩ, thưởng phạt công minh, chắc sau này làm nên nghiệp lớn.
布曰：“某欲从之，恨无门路。”	Bố hăm hở nói: - Quả vậy, tôi muốn về với ông ta, chỉ hiềm chưa có người tiến dẫn.
肃取金珠、玉带列于布前。	Túc bèn đem vàng, hạt châu và cái đai ngọc bày la liệt ở trước mặt Lã Bố.
布惊曰：“何为有此？”	Lã Bố kinh hãi nói rằng: - Sao có những thứ này?
肃令叱退左右，告布曰：“此是董公久慕大名，特令某将此奉献。	Túc sai tả hữu lui cả, rồi bảo Lã Bố rằng: - Đây là Đổng công mộ đại danh hiền đệ đã lâu, bảo tôi thân đem các vật này đến dâng hiền đệ.
赤兔马亦董公所赠也。”	Con ngựa xích thố cũng của Đổng công kính tặng đấy.
布曰：“董公如此见爱，某将何以报之？”	Lã Bố nói: - Đổng công có lòng quá yêu, tôi biết lấy gì đáp lại?
肃曰：“如某之不才，尚为虎贲中郎将；公若到彼，贵不可言。”	Túc nói: - Bất tài như tôi còn làm đến chức bôn trung lang tướng. Nếu hiền đệ về với Đổng công thì quý hiểu chưa biết chừng nào.
布曰：“恨无涓埃之功，以为进见之礼。”	Lã Bố nói: - Nhưng tôi không có chút công gì làm lễ ra mắt?
肃曰：“功在翻手之间，公不肯为耳。”	Túc nói: - Muốn có công cũng dễ lắm, chỉ trở bàn tay là được. Chỉ sợ hiền đệ không chịu làm thôi!
布沈吟良久曰：“吾欲杀丁原，引军归董卓，何如？”	Lã Bố ngẫm nghĩ hồi lâu rồi nói: - Tôi muốn giết Đinh Nguyên, dẫn quân về hàng Đổng Trác, có nên không?
肃曰：“贤弟若能如此，真莫大之功也！	Túc nói: - Làm được như thế, thật là công rất lớn.
但事不宜迟，在于速决。”	Nhưng việc phải quả quyết làm ngay mới được!
布与肃约于明日来降，肃别去。	Lã Bố hẹn đến hôm sau thì đem quân lại hàng. Túc từ biệt về.
是夜二更时分，布提刀径 入丁原帐中。	Đêm hôm ấy, hồi canh hai, Lã Bố cầm dao, vào thẳng màn Đinh Nguyên.
原正秉烛观 书，见布至，曰：“吾儿 来有何事故？”	Đinh Nguyên đang thắp nến xem sách, thấy Lã Bố đến bèn hỏi: - Con vào có việc gì?
布曰：“ 吾堂堂丈夫，安肯为汝子 乎！”	Bố nổi giận quát: - Ta đây đường đường một đấng trượng phu, có đâu chịu làm con mày!
原曰：“奉先何故 心变？”	Nguyên nói: - Phụng Tiên vì cớ gì mà thay lòng đổi dạ như thế?
布向前，一刀砍 下丁原首级，大呼左右： “丁原不仁，吾已杀之。	Lã Bố bước thẳng lên giơ dao chém Nguyên một nhát, chặt lấy đầu rồi gọi lớn tả hữu rằng: - Đinh Nguyên bất nhân, ta đã giết nó rồi.
肯从吾者在此，不从者自 去！”	Ai theo ta thì ở đây, không theo thì đi!
军士散其大半。	Quân sĩ bỏ đi quá nửa.
次 日，布持丁原首级，往见 李肃。 肃遂引布见卓。	Ngày hôm sau, Lã Bố cầm đầu Đinh Nguyên đến nhà Lý Túc, Túc đưa vào ra mắt Đổng Trác.
卓 大喜，置酒相待。	Trác mừng lắm, làm rượu thết đãi.
卓先下 拜曰：“卓今得将军，如 旱苗之得甘雨也。”	Sụp xuống lạy Lã Bố trước và nói rằng: - Trác này được tướng quân, ví như cây lúa bị nắng hạn lâu mà được trận mưa ngọt!
布纳 卓坐而拜之曰：“公若不 弃，布请拜为义父。”	Lã Bố rước Trác ngồi lên, lạy mà nói rằng: - Ngài có bụng yêu, tôi xin thờ ngài làm nghĩa phụ.
卓以金甲锦袍赐布，畅饮而散。	Trác lấy áo cẩm bào dát vàng đem ra cho Lã Bố rồi cùng uống rượu vui vẻ.
卓自是威势越大，自领前将军事，封弟董旻为左将军、鄠侯，封吕布为骑都尉、中郎将、都亭侯。	Đổng Trác tự đấy uy thế mỗi ngày một lớn, tự lĩnh chức tiền tướng quân, phong cho em là Đổng Mân làm tả tướng quân, tước Vu hầu; phong Lã Bố làm kỵ đô úy, trung lang tướng, tước Đô đình hầu.
李儒劝卓早定废立之计。	Lý Nho khuyên Trác định ngay việc phế lập.
卓乃于省中设宴，会集公卿，令吕布将甲士千余，侍卫左右。	Trác bèn đặt một tiệc yến ở trong dinh, mời cả các công khanh đến; sai Lã Bố đem hơn một nghìn quân giáp sĩ, canh gác hai bên.
是日，太傅袁隗与百官皆到。	Hôm ấy quan thái phó Viên Ngỗi và trăm quan đều đến.
酒行数巡，卓按剑曰“今上暗弱，不可以奉宗庙；吾将依伊尹、霍光故事，废帝为弘农王，立陈留王为帝。	Rượu được vài tuần, Trác cầm gươm nói rằng: - Nay vua ngu yếu, không thờ được tôn miếu; ta muốn theo Y Doãn, Hoắc Quang ngày xưa, phế vua cho ra làm Hoằng Nông Vương và lập Trần Lưu Vương lên nối nghiệp.
有不从者斩！”	Ai không theo, ta chém!
群臣惶怖莫敢对。 中军校尉袁绍挺身出曰：“今上即位未几，并无失德；汝欲废嫡立庶，非反而何？”	Quần thần run sợ, không ai dám đáp lại, duy có quan trung quân hiệu úy là Viên Thiệu đứng vụt lên nói: - Thiên tử mới lên ngôi, không làm điều gì thất đức, mày dám bàn bỏ con cả, lập con thứ, định làm phản hay sao?
卓怒曰：“天下事在我！ 我今为之，谁敢不从！	Trác giận đáp lại: - Việc thiên hạ ở trong tay tao, nay tao làm đấy, ai dám không nghe?
汝视我之剑不利否？”	Mày hãy thử xem lưỡi gươm tao có sắc không?
袁绍亦拔剑曰：“汝剑利，吾剑未尝不利！”	Viên Thiệu cũng rút gươm ra nói rằng: - Gươm mày sắc, dễ gươm tao không sắc hay sao?
两个在筵上对敌。	Hai người đối địch nhau ở ngay trên tiệc rượu.
正是：丁原仗义身先丧，袁绍争锋势又危。	Thế rõ thực là: Đinh Nguyên trượng nghĩa thân vừa chết Viên Thiệu tranh hùng thế cũng nguy.
毕竟袁绍性命如何，且听下文分解。	Chưa biết tính mạng Viên Thiệu thế nào, xem hồi sau thì biết rõ.
第四回废汉帝陈留践位谋董贼孟德献刀	HỒI 4 Phế Hán Đế, Trần Lưu lên ngôi; Lừa Đổng tặc, Mạnh Đức dâng kiếm
且说董卓欲杀袁绍，李儒止之曰：“事未可定，不可妄杀。”	Trác muốn giết Viên Thiệu, Lý Nho can rằng: - Việc chưa định xong không nên giết càn.
袁绍手提宝剑，辞别百官而出，悬节东门，奔冀州去了。	Viên Thiệu tay cầm thanh bảo kiếm, cáo từ các quan trở ra, treo trả cờ tiết ở cửa đông rồi bỏ về Ký Châu.
卓谓太傅袁隗曰：“汝侄无礼，吾看汝面，姑恕之。 废立之事若何？”	Trác bảo với quan thái phó Viên Ngỗi rằng: - Cháu ngươi vô lễ, ta tha cho nó cũng là nể ngươi... Việc phế vua lập Trần Lưu, người nghĩ thế nào?
隗曰：“太尉所见是也。”	Ngỗi thưa rằng: - Thái úy nghĩ thế phải đấy!
卓曰：“敢有阻大议者，以军法从事！”	Trác lại nói: - Ai dám ngăn trở việc lớn này, thì ta sẽ lấy phép quân trị tội.
群臣震恐，皆云一听尊命。	Các quan sợ hãi, đều nói: - Ngài dạy thế xin vâng!
宴罢，卓问侍中周毖、校尉伍琼曰：“袁绍此去若何？”	Cuộc yến tan, Trác hỏi quan thị trung là Chu Bật và quan hiệu úy Ngũ Quỳnh rằng: - Viên Thiệu phen này đi, rồi sẽ ra sao?
周毖曰：“袁绍忿忿而去，若购之急，势必为变。	Chu Bật đáp: - Viên Thiệu căm giận mà đi, hễ truy nã riết quá tất sinh biến.
且袁氏树恩四世，门生故吏遍于天下；倘收豪杰以聚徒众，英雄因之而起，山东非公有也。	Vả lại họ Viên, đã bốn đời làm quan đến bậc tam công, thiên hạ được nhờ nhiều lắm, học trò, đầy tớ đâu đâu cũng có. Nếu hắn thu dùng hào kiệt, tập họp đồ đảng, rồi những anh hùng trong thiên hạ nhân đó khởi lên, đất Sơn Đông sẽ không ở trong tay ông nữa.
不如赦之，拜为一郡守，则绍喜于免罪，必无患矣。”	Không bằng ông tha tội hắn cho hắn một chức quận thú gì đấy, thì hắn mừng được khỏi tội, sẽ không gây ra hậu hoạn nữa.
伍琼曰：“袁绍好谋无断，不足为虑；诚不若加之一郡守，以收民心。”	Ngũ Quỳnh nói: - Viên Thiệu là người thích mưu kế, nhưng không quyết đoán, không đáng lo cho lắm. Bất nhược cứ cho hắn một chức quận thú để thu phục lòng dân!
卓从之，即日差人拜绍为渤海太守。	Trác nghe lấy làm phải, ngay hôm ấy sai người đến phong cho Thiệu làm thái thú quận Bột Hải.
九月朔，请帝升嘉德殿，大会文武。	Đến mồng một tháng chín, Trác rước vua ra ngự đền Ôn Đức, họp hết cả văn võ lại.
卓拔剑在手，对众曰：“天子暗弱，不足以君天下。 今有策文一道，宜为宣读。”	Trác tay cầm gươm nói rằng: - Thiên tử ngu yếu, không trị vì được, nay có một bài sách văn đọc cho các quan nghe.
乃命李儒读策曰：“孝灵皇帝，早弃臣民；皇帝承嗣，海内侧望。	Rồi sai Lý Nho tuyên đọc: "Vua Hiếu Linh mất sớm, Vua sau nối ngôi, bốn bể ai ai cũng trông mong.
而帝天资轻佻，威仪不恪，居丧慢惰：否德既彰，有忝大位。	Nay xét ra vua ta, thiên tử mỏng manh, kém vẻ uy nghi nghiêm chỉnh, cư tang biếng nhác, đức xấu đã rõ, không xứng ngôi lớn.
皇太后教无母仪，统政荒乱。	Hoàng Thái Hậu không có uy nghi của người mẹ, nhiếp chính rối tung.
永乐太后暴崩，众论惑焉。	Việc bà Vĩnh Lạc Thái Hậu mất dân chúng có nhiều dị nghị.
三纲之道，天地之纪，毋乃有阙？	Đối với đạo tam cương và giường Trời Đất, phải Chăng có thiếu sót nhiều?
陈留王协，圣德伟懋，规矩肃然；居丧哀戚，言不以邪；休声美誉，天下所闻，宜承洪业，为万世统。	Trần Lưu Vương tên Hiệp, đức hạnh nghiêm trang; khuôn phép kính cẩn; cư tang thương xót, nói năng chính đính; lời hay tiếng tốt, thiên hạ ai ai cũng biết. Nên nối ngôi vua, làm phép cho vạn thế!
兹废皇帝为弘农王，皇太后还政，请奉陈留王为皇帝，应天顺人，以慰生灵之望。”	Nay phế vua ra làm Hoằng Nông Vương, Thái Hậu thì phải trả quyền chính. Xin tôn Trần Lưu Vương lên làm Hoàng Đế, Ứng thiên, thuận nhân, để yên bụng thiên hạ!".
李儒读策毕，卓叱左右扶帝下殿，解其玺绶，北面长跪，称臣听命。 又呼太后去服候敕。	Lý Nho đọc xong bài chiếu Trác thét tả hữu vực vua xuống điện, lột tỉ thụ, bắt quỳ, ngoảnh mặt về phương bắc, xưng thần nghe chiếu; lại bắt Hà Thái Hậu, cởi đồ phẩm phục ra mà đợi chiếu.
帝后皆号哭，群臣无不悲惨。	Vua và Thái Hậu kêu khóc, quần thần trông thấy ai cũng xót xa bi thảm.
阶下一大臣，愤怒高叫曰：“贼臣董卓，敢为欺天之谋，吾当以颈血溅之！”	Lúc ấy ở dưới thềm có một viên quan to, tức tối thét to lên rằng: - Thằng giặc Đổng Trác kia, mày dám lập mưu lừa trời dối đất, tao lấy máu cổ họng bôi vào mặt mày bây giờ!
挥手中象简，直击董卓。	Nói rồi cầm cái bốt ngà xông thẳng vào đánh Đổng Trác.
卓大怒，喝武士拿下：乃尚书丁管也。	Trác giận lắm, sai võ sĩ bắt lại xem ai, thì là quan thượng thư Đinh Quản.
卓命牵出斩之。 管骂不绝口，至死神色不变。	Trác sai đem ra chém, Quản cứ luôn mồm chửi mắng Đổng Trác cho đến lúc chết; chết rồi, thần sắc vẫn như lúc sống.
后人有诗叹之曰：“董贼潜怀废立图，汉家宗社委丘墟。	Người sau có thơ than rằng: Giặc Đổng lòng mang dạ khuyển lang Cơ đồ nhà Hán đổ tan hoang.
满朝臣宰皆囊括，惟有丁公是丈夫。”	Trong triều văn võ mồm câm cả Chỉ có Đinh công thực giỏi giang!
卓请陈留王登殿。	Trác mời Trần Lưu Vương lên điện.
