第五回发矫诏诸镇应曹公破关兵三英战吕布	HỒI 5 Phát hiệu triệu, các trấn hưởng ứng Tào Công; Phá cửa quan, ba anh hùng đánh Lã Bố
八路诸侯，同请玄德、关、张贺功，使人去袁绍寨中报捷。	Chư hầu tám xứ cùng mời Lưu, Quan, Trương đến mừng công rồi sai người về trại Viên Thiệu báo tin mừng.
绍遂移檄孙坚，令其进兵。	Thiệu bèn đưa tờ hịch đến Tôn Kiên bảo Kiên tiến binh.
坚引程普、黄盖至袁术寨中相见。坚以杖画地曰：“董卓与我，本无仇隙。今我奋不顾身，亲冒矢石，来决死战者，上为国家讨贼，下为将军家门之私；而将军却听谗言，不发粮草，致坚败绩，将军何安？”	Tôn Kiên liền đem Hoàng Cái, Trình Phổ, đến trại Viên Thuật, rồi cầm gậy vạch xuống đất nói rằng: - Đổng Trác với tôi thật không có thù hằn gì, nay tôi không nghĩ gì đến thân, xông pha mũi tên hòn đạn để trừ nó, trước vì nước nhà, sau để báo thù riêng cho nhà tướng quân (trỏ Viên Ngỗi), thế mà tướng quân nghe lời gièm pha, không phát lương cho tôi, để đến nỗi tôi bị thua, sao tướng quân đành lòng thế được?
术惶恐无言，命斩进谗之人，以谢孙坚。	Thuật thấy vậy, sợ hãi không biết nói sao, bèn sai đem chém người gièm pha để tạ lỗi Tôn Kiên.
忽人报坚曰：“关上有一将，乘马来寨中，要见将军。”	Khi ấy bỗng có người đến báo với Kiên rằng: - Trên cửa ải có một tướng cưỡi ngựa đến trại, muốn vào hầu tướng quân.
坚辞袁术，归到本寨，唤来问时，乃董卓爱将李傕。	Kiên từ giã Thuật về trại, gọi hỏi ai, hóa ra viên tướng yêu của Đổng Trác, tên là Lý Thôi.
坚曰：“汝来何为？”	Kiên hỏi: - Mày lại đây làm gì?
傕曰：“丞相所敬者，惟将军耳。	Lý Thôi nói: - Thừa tướng chỉ kính trọng tướng quân thôi!
今特使傕来结亲：丞相有女，欲配将军之子。”	Nay thừa tướng muốn kết thân với tướng quân; thừa tướng có một cô con gái muốn gả cho con trai tướng quân.
坚大怒，叱曰：“董卓逆天无道，荡覆王室，吾欲夷其九族，以谢天下，安肯与逆贼结亲耶！	Tôn Kiên nổi giận mắng rằng: - Đổng Trác là thằng nghịch thiên vô đạo, làm xã tắc nghiêng đổ, ta muốn giết cả chín họ nó đi để tạ thiên hạ, sao lại thèm kết thân với nó!
吾不斩汝，汝当速去，早早献关，饶你性命！	Tao tha chém cho mày, mày về mau đem dâng cửa ải cho tao. Mau mau lên!
倘若迟误，粉骨碎身！”	Chậm thì tao băm xương ra bây giờ!
李傕抱头鼠窜，回见董卓，说孙坚如此无礼。	Lý Thôi lủi thủi ra về, kể với Đổng Trác.
卓怒，问李儒。	Trác giận lắm, bèn hỏi Lý Nho.
儒曰：“温侯新败，兵无战心。	Nho nói: - Lã Ôn Hầu thua trận mới rồi, quân sĩ ngã lòng cả, không có bụng đánh nhau nữa.
不若引兵回洛阳，迁帝于长安，以应童谣。近日街市童谣曰：西头一个汉，东头一个汉。	Nay nên kéo quân về Lạc Dương, đem vua sang Trường An, để ứng vào lời đồng giao mấy hôm nay nói rằng: Mé tây một nhà Hán, Mé đông một nhà Hán.
鹿走入长安，方可无斯难。	Hươu chạy về Trường An, Mới khỏi phải gặp nạn.
臣思此言‘西头一个汉’，乃应高祖旺于西都长安，传一十二帝；‘东头一个汉’，乃应光武旺于东都洛阳，今亦传一十二帝。	"Mé tây một nhà Hán" nghĩa là: đức Cao Tổ ngày xưa đóng đô ở Trường An, truyền ngôi được mười hai vua. "Mé đông một nhà Hán" nghĩa là: Vua Quang Vũ đóng đô ở Lạc Dương, cũng truyền ngôi được mười hai vua.
天运合回。	Thế là vận trời xoay vần.
丞相迁回长安，方可无虞。”	Nay thừa tướng lại lên thiên đô về Trường An, mới khỏi lo được.
卓大喜曰：“非汝言，吾实不悟。”	Trác mừng nói rằng: - Ngươi không nói thì ta không biết!
遂引吕布星夜回洛阳，商议迁都。	Trác bèn đem Lã Bố về Lạc Dương, rồi hội ngay các quan văn võ để bàn việc thiên đô.
聚文武于朝堂，卓曰：“汉东都洛阳，二百余年，气数已衰。	Khi các quan đã đến đông, Trác nói rằng: - Nhà Hán ta ở Lạc Dương, hơn hai trăm năm nay, khi số đã hết.
吾观旺气实在长安，吾欲奉驾西幸。汝等各宜促装。”	Ta xem bây giờ vượng khí tụ ở Trường An. Vậy ta muốn rước vua về đó, các quan nên gấp rút sắm sửa hành trang.
司徒杨彪曰：“关中残破零落。	Tư đồ là Dương Bưu nói rằng: - Trường An bị tàn phá đã lâu rồi.
今无故捐宗庙，弃皇陵，恐百姓惊动。天下动之至易，安之至难。	Nay bỗng dưng ta bỏ cả tôn miếu, hoàng lăng mà đi sang đó, tôi sợ rằng thiên hạ kinh động, mà thiên hạ kinh động lên thì dễ, yên lại thì khó.
望丞相监察。”	Xin thừa tướng hãy xét cho kỹ.
卓怒曰：“汝阻国家大计耶？”	Trác giận mắng Dương Bưu: - Ngươi lại dám ngăn trở việc lớn nước nhà à?
太尉黄琬曰：“杨司徒之言是也。往者王莽篡逆，更始赤眉之时，焚烧长安，尽为瓦砾之地；更兼人民流移，百无一二。	Thái úy là Hoàng Uyển cũng nói rằng: - Dương tư đồ nói thế phải đấy: Trước kia trong lúc Vương Mãng thoán nghịch, kế đến Canh Thủy, Xích Mi nổi loạn, Trường An bị đốt cháy thành ra tro sỏi. Vả lại nhân dân xiêu tán, trăm phần không còn một hai phần.
今弃宫室而就荒地，非所宜也。”	Tôi nghĩ không nên bỏ cả cung điện mà đi ra chỗ đất hoang ấy.
卓曰：“关东贼起，天下播乱。	Trác nói: - Ở Lạc Dương đây trộm giặc nhiều lắm, nhân dân hoạn lạc, đi mất cả.
长安有崤函之险；更近陇右，木石砖瓦，克日可办，宫室营造，不须月余。汝等再休乱言。”	Trường An có núi Hào, núi Hàm hiểm trở; lại gần Lũng Hữu, đá gỗ và gạch ngói dễ kiếm, sửa sang cung thất, độ hơn một tháng thì xong, không ai được nói lôi thôi nữa!
司徒荀爽谏曰：“丞相若欲迁都，百姓骚动不宁矣。”	Tư đồ là Tuân Sảng lại can rằng: - Thừa tướng thiên đô đi thì thiên hạ tất sẽ nhiễu động ngay.
卓大怒曰：“吾为天下计，岂惜小民哉！”	Trác tức mình gắt rằng: - Ta vì thiên hạ mà lo việc thiên đô, có xá gì những đứa tiểu dân!
即日罢杨彪、黄琬、荀爽为庶民。	Ngay hôm ấy Trác cách chức Dương Bưu, Hoàng Uyển, Tuân Sảng, giáng xuống làm thứ dân.
卓出上车，只见二人望车而揖，视之，乃尚书周毖、城门校尉伍琼也。	Trác trở ra lên xe, thấy có hai người đứng trước vái, trông ra thì là thượng thư Chu Bật và hiệu úy Ngũ Quyền.
卓问有何事，毖曰：“今闻丞相欲迁都长安，故来谏耳。”	Trác hỏi có việc gì. Bật nói: - Chúng tôi nghe thừa tướng muốn thiên đô, nên lại can ngăn.
卓大怒曰：“我始初听你两个，保用袁绍；今绍已反，是汝等一党！”	Trác giận nói: - Trước tao nghe hai chúng bay, dùng thằng Viên Thiệu cho nó làm quan, bây giờ nó làm phản. Thế ra nó với chúng bay cùng một đảng!
叱武士推出都门斩首。遂下令迁都，限来日便行。	Nói rồi Trác sai võ sĩ đem Chu Bật, Ngũ Quỳnh ra cửa phủ chém, rồi hạ lệnh thiên đô, hạn đến ngày hôm sau phải đi.
李儒曰：“今钱粮缺少，洛阳富户极多，可籍没入官。	Lý Nho xui Đổng Trác: - Nay tiền lương thiếu thốn nhiều, ở Lạc Dương nhiều nhà giàu, ta nên tịch thu của cải, lấy phát lương cho quân.
但是袁绍等门下，杀其宗党而抄其家赀，必得巨万。”	Phàm bao nhiêu môn hạ Viên Thiệu ngày trước, nên đem giết cả đi để lấy của, sẽ thu được vô số.
卓即差铁骑五千、遍行捉拿洛阳富户，共数千家，插旗头上大书“反臣逆党”，尽斩于城外，取其金赀。	Trác lập tức sai năm nghìn quân thiết kỵ đi bắt cả những người giàu ở Lạc Dương, cả thảy mấy nghìn hộ, mỗi người cầm một lá cờ lên đầu, để bốn chữ "Phản thần nghịch đảng" rồi đem ra ngoài thành chém tuốt, bao nhiêu của cải lấy sạch.
李傕、郭汜尽驱洛阳之民数百万口，前赴长安。每百姓一队，间军一队，互相拖押；死于沟壑者，不可胜数。	Lý Thôi, Quách Dĩ bắt hết cả dân Lạc Dương, ước mấy trăm vạn, đưa sang Trường An, cứ mỗi một toán dân lại cho một đội quân đi đàn áp, người chết ở dọc đường không biết bao nhiêu mà kể.
又纵军士淫人妻女，夺人粮食；啼哭之声，震动天地。	Lại cho quân sĩ đi hãm hiếp đàn bà con gái, cướp hết lương thực của dân, tiếng kêu khóc động trời chuyển đất.
如有行得迟者，背后三千军催督，军手执白刃，于路杀人。	Người nào đi chậm, đằng sau có quân lính đốc thúc; quân lính cầm dao, giết người ngay ở giữa đường.
卓临行，教诸门放火，焚烧居民房屋，并放火烧宗庙宫府。南北两宫，火焰相接；长乐宫庭，尽为焦土。	Lúc Trác ra đi, sai phóng hỏa đốt cả cửa nhà dân chúng, và tôn miếu, cung phủ; Nam, Bắc hai cung, lửa khói mù mịt: Bao nhiêu cung cấm hóa ra tro cả.
又差吕布发掘先皇及后妃陵寝，取其金宝。	Trác lại sai Lã Bố khai quật hết cả những lăng tiên hoàng, hậu phi để lấy vàng bạc châu báu.
军士乘势掘官民坟冢殆尽。	Quân sĩ thấy vậy cũng thừa thế đào mả các nhà quan, nhà dân.
董卓装载金珠缎匹好物数千余车，劫了天子并后妃等，竟望长安去了。	Đổng Trác sai xếp những đồ vàng bạc vóc nhiễu được vài nghìn xe, rồi bức thiên tử và hậu phi phải sang Trường An.
却说卓将赵岑，见卓已弃洛阳而去，便献了汜水关。	Tướng Đổng Trác tên là Triệu Xầm, thấy Trác đã bỏ Lạc Dương, bèn dâng ngay cửa Dĩ Thủy cho Tôn Kiên.
孙坚驱兵先入。玄德、关、张杀入虎牢关，诸侯各引军入。	Kiên kéo binh vào trước, Lưu Bị, Quan Vũ, Trương Phi vào cửa Hổ Lao; chư hầu cũng dẫn quân vào cả.
且说孙坚飞奔洛阳，遥望火焰冲天，黑烟铺地，二三百里，并无鸡犬人烟；坚先发兵救灭了火，令众诸侯各于荒地上屯住军马。	Tôn Kiên đi đến Lạc Dương thấy trong thành lửa cháy ngùn ngụt, ngọn lửa bốc lên tận trời; dưới đất khói đen mù mịt; trong một quãng hai ba trăm dặm, tịnh không có tiếng gà kêu chó cắn. Đầu tiên Kiên sai quân vào dập lửa, đoạn ra lệnh cho chư hầu đến đóng quân mã ở trên bãi đất hoang.
曹操来见袁绍曰：“今董贼西去，正可乘势追袭；本初按兵不动，何也？”	Tào Tháo đến, thấy Viên Thiệu cũng ở đấy, bèn hỏi rằng: - Nay Đổng tặc đã kéo về Trường An rồi, ta nên thừa thế mà đuổi theo bắt nó mới phải, Bản Sơ lại đóng quân ở đây, là ý làm sao?
绍曰：“诸兵疲困，进恐无益。”	Thiệu nói: - Chư hầu đều mỏi mệt cả, đuổi theo, tôi sợ không được việc gì.
操曰：“董贼焚烧宫室，劫迁天子，海内震动，不知所归：此天亡之时也，一战而天下定矣。诸公何疑而不进？”	Tháo nói: - Thằng giặc Đổng Trác đốt cung thất, bức vua thiên đô: Trong nước rối động, dân không biết theo ai. Ấy là lúc trời hại nó đấy, nhân lúc này chỉ đánh một trận là yên thiên hạ, sao các ông không đánh?
众诸侯皆言不可轻动。	Chư hầu đều nói: - Ta không nên khinh động.
操大怒曰：“竖子不足与谋！”	Tháo giận nói rằng: - Đồ trẻ con cả, không đáng cùng mưu đồ việc lớn!
遂自引兵万余，领夏侯惇、夏侯渊、曹仁、曹洪、李典、乐进，星夜来赶董卓。	Nói rồi tự dẫn hơn một vạn quân, sai Hạ Hầu Đôn, Hạ Hầu Uyên, Tào Nhân, Tào Hồng, Lý Điển, Nhạc Tiến, luôn ngày đêm đuổi theo Đổng Trác.
且说董卓行至荥阳地方，太守徐荣出接。	Khi Đổng Trác đi đến Vinh Dương, thái thú là Từ Vinh ra tiếp.
李儒曰：“丞相新弃洛阳，防有追兵。可教徐荣伏军荥阳城外山坞之旁，若有兵追来，可竟放过；待我这里杀败，然后截住掩杀。令后来者不敢复追。”	Lý Nho nói: - Thừa tướng mới đi khỏi Lạc Dương, tôi sợ có quân đuổi theo nên sai Từ Vinh phục quân ở bên cạnh núi ngoài thành; hễ có quân đuổi theo đi qua thì cứ để cho đi, đợi khi nào đi khỏi chỗ quân phục, trong này ta đánh trở ra, nó tất thua chạy, bấy giờ ông sẽ đánh chen đường, còn quân đi sau tất không dám đuổi nữa.
卓从其计，又令吕布引精兵遏后。	Trác nghe kế ấy, sai Lã Bố đem tinh binh đi chặn hậu.
布正行间，曹操一军赶上。	Bố đang đi bỗng có một toán quân Tào xấn đến.
吕布大笑曰：“不出李儒所料也！”	Bố cười nói rằng: - Lý Nho đoán không nhầm!
将军马摆开。曹操出马，大叫：“逆贼！	Bố đem quân mã bày dàn, Tào Tháo tế ngựa gọi to: - Nghịch tặc!
劫迁天子，流徙百姓，将欲何往？”	Bay bức thiên tử và đem trăm họ đi đâu?
吕布骂曰：“背主懦夫，何得妄言！”	Lã Bố mắng rằng: - Thằng phản chủ kia, sao dám nói càn?
夏侯惇挺枪跃马，直取吕布。	Hạ Hầu Đôn vác giáo nhảy ngựa, xông thẳng vào để đâm Lã Bố.
战不数合，李傕引一军，从左边杀来，操急令夏侯渊迎敌。	Đôn với Bố đánh nhau được vài hiệp. Lý Thôi dẫn một đội quân từ bên tả kéo ra. Tháo lại sai Hạ Hầu Uyên ra địch.
右边喊声又起，郭汜引军杀到，操急令曹仁迎敌。三路军马，势不可当。	Lúc bấy giờ lại thấy ở bên hữu có tiếng reo. Quách Dĩ kéo quân ra. Tháo sai Tào Nhân ra địch, nhưng đằng kia ba mặt quân mã đánh dồn lại, thế khó đương nổi.
夏侯惇抵敌吕布不住，飞马回阵。	Hạ Hầu Đôn chống với Lã Bố không lại, phi ngựa chạy về.
布引铁骑掩杀，操军大败，回望荥阳而走。	Bố thúc quân vào đánh gấp. Quân Tháo thua chạy kéo về Vinh Dương.
走至一荒山脚下，时约二更，月明如昼。	Khi chạy đến dưới sườn núi, bấy giờ đã canh hai, trăng sáng như ban ngày.
方才聚集残兵，正欲埋锅造饭，只听得四围喊声，徐荣伏兵尽出。	Tháo sắp sửa hội quân lại làm bếp thổi cơm ăn, bỗng nghe thấy bốn mặt tiếng reo ầm ầm, quân phục của Từ Vinh xông ra.
曹操慌忙策马，夺路奔逃，正遇徐荣，转身便走。	Tào Tháo vội vàng tế ngựa cướp đường chạy trốn; không ngờ gặp ngay Từ Vinh, Tháo lại quay đầu chạy.
荣搭上箭，射中操肩膊。	Vinh giương cung bắn một phát tên trúng ngay vào vai Tháo.
操带箭逃命，踅过山坡。两个军士伏于草中，见操马来，二枪齐发，操马中枪而倒。	Tháo vừa đeo tên vừa chạy; chạy qua một rặng núi, có hai tên lính phục trong đám cỏ, trông thấy ngựa Tháo đi đến, hai ngọn giáo cùng phóng ra.
操翻身落马，被二卒擒住。	
只见一将飞马而来，挥刀砍死两个步军，下马救起曹操。	May đâu một tướng vừa tế ngựa đến, múa dao chém chết hai tên lính, cứu được Tào Tháo.
操视之，乃曹洪也。	Tháo trông xem ai thì là Tào Hồng.
操曰：“吾死于此矣，贤弟可速去！”	Tháo bảo Hồng rằng: - Thôi! Ta đành chết ở đây, hiền đệ nên trốn đi mau.
洪曰：“公急上马！	Hồng nói rằng: - Xin ông lên ngựa ngay.
洪愿步行。”	Tôi tình nguyện đi bộ.
操曰：“贼兵赶上，汝将奈何？”	Tháo hỏi: - Giặc đuổi đến nơi, ngươi làm thế nào?
洪曰：“天下可无洪，不可无公。”	Hồng nói: - Thiên hạ có thể không có tôi, nhưng không thể không có ông!
操曰：“吾若再生，汝之力也。”	Tháo nói: - Ta nếu lại được sống, thực là nhờ ngươi đó!
操上马，洪脱去衣甲，拖刀跟马而走。	Tháo lên ngựa. Hồng cởi áo giáp, cắp dao chạy theo sau.
约走至四更余，只见前面一条大河，阻住去路，后面喊声渐近。	Chạy đến độ canh tư, chẹn mất đường đi. Đằng sau nghe thấy tiếng reo hò đã đến nơi.
操曰：“命已至此，不得复活矣！”	Tháo nói: - Thôi! Mệnh ta đến thế này, sống sao được nữa!
洪急扶操下马，脱去袍铠，负操渡水。	Hồng kíp vực Tháo xuống ngựa, cởi áo bào ra, cõng Tháo lội qua sông.
才过彼岸，追兵已到，隔水放箭。操带水而走。比及天明，又走三十余里，土冈下少歇。	Vừa sang đến bờ sông bên kia, quân đuổi cũng vừa đến, tên bắn qua sông như mưa, Tháo cứ mặc cả quần áo ướt, lướt thướt mà chạy, chạy mãi đến mờ mờ sáng, được ba mươi dặm, đến một gò đất mới tạm ngồi nghỉ hơi một chốc.
忽然喊声起处，一彪人马赶来：却是徐荣从上流渡河来追。	Bỗng nghe có tiếng reo, một toán quân mã kéo lại, thì ra Từ Vinh cứ bên kia sông chạy theo lên mạn trên sang đò đuổi kịp.
操正慌急间，只见夏侯惇、夏侯渊引数十骑飞至，大喝：“徐荣无伤吾主！”	Trong khi Tháo đương hoảng hốt. Hạ Hầu Đôn, Hạ Hầu Uyên vừa đem vài mươi quân kỵ đến, quát to lên rằng: - Từ Vinh, chớ được hại chủ ta!
徐荣便奔夏侯惇，惇挺枪来迎。	Vinh xông đến đánh Hạ Hầu Đôn.
交马数合，惇刺徐荣于马下，杀散余兵。	Đôn vác giáo đâm Vinh ngã xuống ngựa, rồi đánh tan quân Vinh.
随后曹仁、李典、乐进各引兵寻到，见了曹操，忧喜交集；聚集残兵五百余人，同回河内。	Đằng sau, Tào Nhân, Lý Điển, Nhạc Tiến cũng dần dần tìm đến, ra mắt Tào Tháo, nửa lo nửa mừng. Tháo thu thập tàn quân, còn độ năm trăm, kéo về Hà Nội.
卓兵自往长安。	Tàn quân của Trác chạy về Trường An.
却说众诸侯分屯洛阳。	Đây nói ở Lạc Dương, các chư hầu chia quân đóng trại.
孙坚救灭宫中余火，屯兵城内，设帐于建章殿基上。坚令军士扫除宫殿瓦砾。	Tôn Kiên dập tắt lửa trong cung, đóng quân trong thành, đặt trướng ngay trên nền đền Kiến Chương rồi sai quân quét dọn những gạch ngói ở các cung điện.
凡董卓所掘陵寝。尽皆掩闭。	Phàm những lăng tẩm mà Đổng Trác đã khai quật lên, Kiên sai chôn cất lại cả.
于太庙基上，草创殿屋三间，请众诸侯立列圣神位，宰太牢祀之。	Lại cất ba gian điện, lợp cỏ ở trên nền nhà Thái Miếu, đặt linh vị các vua, giết trâu mổ bò, mời các chư hầu đến tế.
祭毕，皆散。	Tế xong rồi, các tướng ai về trại ấy.
坚归寨中，是夜星月交辉，乃按剑露坐，仰观天文。	Kiên về trại, đêm hôm ấy trăng sao vằng vặc, Kiên cầm thanh kiếm ra sân, ngẩng mặt lên xem thiên văn thấy trong tòa tử vi có khí trắng lờ mờ.
见紫微垣中白气漫漫，坚叹曰：“帝星不明，贼臣乱国，万民涂炭，京城一空！”	Kiên than rằng: - Đế tinh không được tỏ, cho nên tặc thần loạn nước, muôn dân phải lầm than, kinh thành không còn gì nữa.
言讫，不觉泪下。	Vừa nói vừa rỏ nước mắt khóc.
傍有军士指曰：“殿南有五色毫光起于井中，”坚唤军士点起火把，下井打捞。	Bên cạnh có tên lính trỏ tay bảo Kiên rằng: - Kia, ở phía nam điện này có hào quang năm sắc, từ dưới đáy giếng bốc lên. Kiên liền sai quân sĩ đốt đuốc xuống giếng tìm xem.
捞起一妇人尸首，虽然日久，其尸不烂：宫样装束，项下带一锦囊。取开看时，内有朱红小匣，用金锁锁着。启视之，乃一玉玺：方圆四寸，上镌五龙交纽；傍缺一角，以黄金镶之；上有篆文八字云：“受命于天，既寿永昌。”坚得玺，乃问程普。	Một lát quân mò đem lên được một cái thây người đàn bà chết đã lâu ngày nhưng chưa nát; người này mặc theo lối của cung đình, dưới cổ có đeo một cái túi gấm; mở túi ra xem thấy có một cái hộp nhỏ son son, khóa vàng; mở ra thấy một cái ấn bằng ngọc, vuông bốn tấc, trên núm dấu chạm năm con rồng; bên cạnh có sứt một miếng phải lấy vàng bịt lại; mặt dấu khắc tám chữ triện: "Phụ mệnh vu thiên, ký thọ vĩnh xương", Kiên được ấn ngọc ấy, hỏi Trình Phổ.
普曰：“此传国玺也。	Phổ nói: - Đấy là ngọc tỳ truyền quốc.
此玉是昔日卞和于荆山之下，见凤凰栖于石上，载而进之楚文王。	Ngày xưa, Biện Hòa ở dưới núi Kinh Sơn trông thấy chim phượng hoàng đậu ở trên hòn đá, đem đá ấy về tiến vua Văn Vương nước Sở.
解之，果得玉。	Lúc phá đá ra trong có hòn ngọc.
秦二十六年，令良工琢为玺，李斯篆此八字于其上。	Đến đời nhà Tần, năm thứ hai mươi sáu (hai trăm hai mươi mốt trước công nguyên) vua Tần sai thợ ngọc giũa ra làm ấn quốc bảo. Tám chữ triện viết ở trên mặt ấn là chữ Lý Tư.
二十八年，始皇巡狩至洞庭湖。风浪大作，舟将覆，急投玉玺于湖而止。	Năm thứ hai mươi tám Tần Thủy Hoàng đi tuần đến hồ Động Đình, gặp sóng to gió lớn, thuyền sắp đắm, vua vội vàng ném ngọc tỷ ấy xuống hồ mới không việc gì.
至三十六年，始皇巡狩至华阴，有人持玺遮道，与从者曰：‘持此还祖龙。’	Đến năm thứ ba mươi sáu, Thủy Hoàng đi tuần đến núi Hoa Âm, đương đi gặp một người tay cầm ngọc tỷ đứng đón đường, đưa cho quân hầu nói rằng: "Đem cái này về trả Tổ Long".
言讫不见，此玺复归于秦。	Nói xong rồi biến mất. Ấn ngọc ấy lại về nhà Tần.
明年，始皇崩。	Đến năm sau, Thủy Hoàng mất.
后来子婴将玉玺献与汉高祖。	Tử Anh đem ngọc tỷ dâng vua Cao Tổ nhà Hán.
后至王莽篡逆，孝元皇太后将玺打王寻、苏献，崩其一角，以金镶之。	Đến lúc Vương Mãng khởi loạn, Hoàng hậu, vua Hiếu Nguyên cầm ngọc ấy đánh Vương Tâm. Tô Hiến sứt mất một góc, phải lấy vàng bịt vào.
光武得此宝于宜阳，传位至今。	Vua Quang Vũ được ấn ngọc ấy ở Nghi Dương, truyền đến bây giờ.
近闻十常侍作乱，劫少帝出北邙，回宫失此宝。	Khi mười tên hoạn quan làm loạn, bức đem Thiếu Đế ra Bắc Mang, lúc về thấy mất ngọc tỷ.
今天授主公，必有登九五之分。	Nay tướng quân lại tìm được, tất là trời cho tướng quân đó. Điềm này là điềm báo tướng quân sẽ làm vua.
此处不可久留，宜速回江东，别图大事。”	Vậy tướng quân không nên ở lâu chốn này, mà nên về ngay Giang Đông để mưu toan việc lớn!
坚曰：“汝言正合吾意。	- Ngươi nói chính hợp ý ta.
明日便当托疾辞归。”	Ngày mai ta sẽ cáo bệnh về.
商议已定，密谕军士勿得泄漏。	Bàn định xong, Kiên truyền quân sĩ không được nói hở cho ai biết.
谁想数中一军，是袁绍乡人，欲假此为进身之计，连夜偷出营寨，来报袁绍。	Không ngờ trong đám quân sĩ có một người cùng làng với Viên Thiệu, biết việc đó, muốn nhân dịp tiến thân, ngay đêm hôm ấy lẻn sang báo với Viên Thiệu.
绍与之赏赐，暗留军中。	Thiệu thưởng cho người ấy rồi giữ lại ở trong quân.
次日，孙坚来辞袁绍曰：“坚抱小疾，欲归长沙，特来别公。”	Hôm sau Tôn Kiên sang trại Viên Thiệu để cáo từ, nói rằng: - Tôi hơi khó ở, xin phép về Trường Sa.
绍笑曰：“吾知公疾乃害传国玺耳。”	Thiệu cười nói rằng: - Tôi đã biết bệnh ông rồi. Bệnh ấy là bệnh ngọc tỷ!
坚失色曰：“此言何来？”	Kiên thất sắc, hỏi rằng: - Ai nói với ông thế?
绍曰：“今兴兵讨贼，为国除害。	Thiệu nói: - Nay chúng ta vì nước đánh giặc.
玉玺乃朝廷之宝，公既获得，当对众留于盟主处，候诛了董卓，复归朝廷。今匿之而去，意欲何为？”	Ngọc tỷ là của báu triều đình. Ông bắt được, nên ở chỗ minh chủ, đợi khi nào giết được Đổng Trác, thì đem trả lại nhà vua, nay ông giấu ấn ấy mà bỏ đi, định làm gì?
坚曰：“玉玺何由在吾处？”	Kiên cứ chối: - Ngọc tỷ làm gì có ở tôi?
绍曰：“建章殿井中之物何在？”	Thiệu nói: - Cái gì bắt được ở dưới giếng đền Kiến Chương, bây giờ đâu?
坚曰：“吾本无之，何强相逼？”	Kiên nói: - Tôi không có của ấy. Cưỡng bức nhau làm gì thế?
绍曰：“作速取出，免自生祸。”	Thiệu nói: - Mau mau bỏ ra đây, kẻo vạ đến thân bây giờ?
坚指天为誓曰：“吾若果得此宝，私自藏匿，异日不得善终，死于刀箭之下！”	Kiên trỏ tay lên trời thề rằng: - Tôi được của ấy mà giấu đi, thì sẽ chết dưới mũi tên hòn đạn.
众诸侯曰：“文台如此说誓，想必无之。”	Các tướng đều nói rằng: - Văn Đài đã thề như thế, chắc là không bắt được ngọc tỷ.
绍唤军士出曰：“打捞之时，有此人否？”	Thiệu gọi người làm chứng ra, hỏi Tôn Kiên rằng: - Lúc mò được ngọc, có người này ở đấy không?
坚大怒，拔所佩之剑，要斩那军士。	Kiên giận lắm, rút ngay gươm ra, định chém người ấy.
绍亦拔剑曰：“汝斩军人，乃欺我也。”	Thiệu cũng rút gươm ra bảo rằng: - Hễ mày chém nó thì đúng là mày dối tao.
绍背后颜良、文丑皆拔剑出鞘。	Nhan Lương, Văn Sú đứng sau lưng Viên Thiệu, cũng rút gươm ra.
坚背后程普、黄盖、韩当亦掣刀在手。	Sau lưng Tôn Kiên, Trình Phổ, Hoàng Cái, Hàn Dương cũng cầm dao lăm lăm ở tay.
众诸侯一齐劝住。	Các tướng đều xúm lại can đôi bên.
坚随即上马，拔寨离洛阳而去。	Kiên lập tức trở ra, lên ngựa về phổ trại, bỏ Lạc Dương đi.
绍大怒，遂写书一封，差心腹人连夜往荆州，送与刺史刘表，教就路上截住夺之。	Thiệu giận lắm, liền viết một lá thư, sai người tâm phúc ngay đêm hôm ấy đem sang Linh Châu, đưa cho quan thứ sử là Lưu Biểu, sai Biểu chẹn đường Kiên, lấy lại ngọc tỷ.
次日，人报曹操追董卓，战于荥阳，大败而回。	Hôm sau có người báo rằng: - Tào Tháo đuổi Đổng Trác, đánh nhau ở Linh Dương thua to trở về.
绍令人接至寨中，会众置酒，与操解闷。	Thiệu bèn sai người đón Tháo vào trại, mở tiệc rượu cùng với Tháo giải phiền.
饮宴间，操叹曰：“吾始兴大义，为国除贼。	Trong khi uống rượu, Tào Tháo than rằng: - Ta trước kia khởi nghĩa lớn, cốt là muốn vì nước trừ hại.
诸公既仗义而来，操之初意，欲烦本初引河内之众，临孟津、酸枣；诸将固守成皋，据敖仓，塞轘辕、太谷，制其险要；公路率南阳之军，驻丹、析，入武关，以震三辅。	Các ông đã có bụng trượng nghĩa mà đến với tôi, ý tôi muốn phiền Bản Sơ đem quân Hà Nội sang đóng ở Mạch Tân; còn các quân Toan, Tào cứ giữ vững Thành Cao, giữ cửa ải Ngao Thương, ngăn Hoàn Viên, Đại Cốc, khống chế những nơi hiểm yếu. Còn Công Lộ đem quân Nam Dương sang đóng ở Đan Triết, tiến vào cửa Vũ Quan, để cho cái uy thế ở Tam Phu to lên.
皆深沟高垒，勿与战，益为疑兵，示天下形势。以顺诛逆，可立定也。	Nơi nào cũng thành cao, hào sâu, không đánh nhau, chỉ giữ làm nghi binh, để cho thiên hạ trông rõ hình thế, cho ta là kẻ thuận đi trừ kẻ gian, thì việc lớn có thể định ngay được.
