第四十一回刘玄德携民渡江赵子龙单骑救主	HỒI 41 Lưu Huyền Đức đưa dân qua sông; Triệu Tử Long một ngựa cứu chúa.
玄德出船头视之，见一人纶巾道服，坐在船头上，乃孔明也，背后立着孙乾。	Huyền Đức ra ngoài đứng trông thì thấy một người khăn lượt, áo bào ngồi ở mũi thuyền, té ra là Khổng Minh, có Tôn Giang đứng sau lưng.
玄德慌请过船，问其何故却在此。	Huyền Đức vội vàng mời sang thuyền, hỏi sao lại đến đây.
孔明曰：“亮自至江夏，先令云长于汉津登陆地而接。	Khổng Minh nói: - Lượng đến Giang Hạ trước hết sai Vân Trường về Hán Tân để lên bộ tiếp ứng.
我料曹操必来追赶，主公必不从江陵来，必斜取汉津矣；故特请公子先来接应，我竟往夏口，尽起军前来相助。”	Tôi cũng đoán Tào Tháo thế nào cũng đuổi theo, chúa công thì không đi về Giang Lăng làm gì, tất thế nào cũng tìm đường tắt về Hán Tân; nên tôi mời công tử đến trước để tiếp ứng, còn tôi thì ra Hạ Khẩu đem hết quân lại đây giúp đỡ.
玄德大悦，合为一处，商议破曹之策。	Huyền Đức mừng rỡ, hội quân làm một, rồi bàn kế phá Tào Tháo.
孔明曰：“夏口城险，颇有钱粮，可以久守。	Khổng Minh nòi: - Thành Hạ Khẩu hiểm trở, lại nhiều lương thảo có thế giữ được lâu.
请主公且到夏口屯住。	Xin chúa công hãy đến đóng đồn ở đó.
公子自回江夏，整顿战船，收拾军器，为掎角之势，可以抵当曹操。	Công tử về ngay Giang Hạ, thu xếp chiến thuyền, sắm sửa khí giới làm thế ỷ đốc, mời có thể chống cự được Tào Tháo.
若共归江夏，则势反孤矣。”	Nếu về cả Giang Hạ thì cô thế lắm!
刘琦曰：“军师之言甚善。 但愚意欲请叔父暂至江夏；整顿军马停当，再回夏口不迟。”	Lưu Kỳ nói: - Quân sư dạy rất phải, nhưng tôi lại muốn mời thúc phụ hãy tạm đến Giang Hạ, thu xếp quân mã đâu đấy đã, rồi sẽ về Hạ Khẩu cũng vừa.
玄德曰：“贤侄之言亦是。”	Huyền Đức nói: - Cháu nói cũng phải!
遂留下云长，引五千军守夏口。 玄德、孔明、刘琦共投江夏。	Rồi sai ngay Vân Trường lĩnh năm nghìn quân đến giữ Hạ Khẩu; Huyền Đức, Khổng Minh, và Lưu Kỳ cùng sang Giang Hạ.
却说曹操见云长在旱路引军截出，疑有伏兵，不敢来追；又恐水路先被玄德夺了江陵，便星夜提兵赴江陵来。	Hãy nói, Tào Tháo gặp Vân Trường chặn mất đường, nghi có quân mai phục, không dám đuổi theo; lại sợ đường thủy bị Huyền Đức cướp mất Giang Lăng trước, nên cấp tốc kéo quân đến Giang Lăng.
荆州治中邓义、别驾刘先，已备知襄阳之事，料不能抵敌曹操，遂引荆州军民出郭投降。	Quan thị trung là Đặng Nghĩa và quan biệt giá là Lưu Tiên đã biết hết việc Tương Dương rồi, liệu không địch nổi với Tào Tháo, bèn dẫn quân dân Kinh Châu ra hàng.
曹操入城、安民已定，释韩嵩之囚，加为大鸿胪。	Tào Tháo vào thành yên dân xong, tha cho Hàn Tung bị giam và phong cho làm đại hồng lô.
其余众官，各有封赏。	Các quan viên đều được phong thưởng cả.
曹操与众将议曰：“今刘备已投江夏，恐结连东吴，是滋蔓也，当用何计破之？”	Tào Tháo bàn với các tướng rằng: - Nay Lưu Bị đã sang Giang Hạ, sợ hắn cấu kết với Đông Ngô, thì càng khó trị, phải tìm kế trừ ngay đi mới được.
荀攸曰：“我今大振兵威，遣使驰檄江东，请孙权会猎于江夏，共擒刘备，分荆州之地，永结盟好。	Tuân Du nói: - Nay nên huy động đại quân để ra oai rồi sai người đưa hịch đến Giang Đông, mời Tôn Quyền hội săn ở Giang Hạ, cùng bắt Lưu Bị, chia sẻ Kinh Châu và kết đồng minh vĩnh viễn với nhau.
孙权必惊疑而来降，则吾事济矣。”	Tôn Quyền tất sợ hãi lại hàng, thì việc của ta chắc thành công.
操从其计，一面发檄遣使赴东吴；一面计点马步水军共八十三万，诈称一百万，水陆并进，船骑双行，沿江而来，西连荆、峡、东接蕲、黄、赛栅联络三百余里。	Tháo nghe kế ấy, lập tức ra hịch sai sứ sang Giang Đông, một mặt điểm quân mã, quân bộ và quân thủy, cả thảy tám mươi ba vạn, lại nói thăng lên những một trăm vạn quân; thủy lục đều tiến, quân thuyền quân kỵ cùng đi, theo dọc bờ sông Trường Giang kéo đến; phía tây nối liền với đất Kinh Giáp, phía đông tiếp giáp Kỳ Hoàng, doanh trại nối với nhau dài hơn ba trăm dặm.
话分两头。 却说江东孙权，屯兵柴桑郡，闻曹操大军至襄阳，刘琮已降，今又星夜兼道取江陵，乃集众谋士商议御守之策。	Nói về Giang Đông, Tôn Quyền đương đóng quân ở quận Sài Tang, được tin đại quân Tào Tháo đến Tương Dương; Lưu Tôn đã ra hàng, mà quân Tào lại sớm khuya đi gấp đường đến lấy lại Giang Lăng. Quyền bèn họp các mưu sĩ lại bàn kế phòng thủ.
鲁肃曰：“荆州与国邻接，江山险固，士民殷富。 吾若据而有之，此帝王之资也。	Lỗ Túc nói: - Kinh Châu tiếp giáp nước ta, giang sơn hiểm trở, nhân dân giàu có, nếu chiếm được đất ấy thì đủ để xây nghiệp đế vương.
今刘表新亡，刘备新败，肃请奉命往江夏吊丧，因说刘备使抚刘表众将，同心一意，共破曹操；备若喜而从命，则大事可定矣。”	Nay Lưu Biểu mới chết, Lưu Bị mới thua, tôi xin phụng mệnh sang Giang Hạ viếng tang, nhân tiện bảo Lưu Bị phủ dụ các tướng của Lưu Biểu, đồng tâm hiệp lực với ta để phá Tào Tháo, nếu Bị vui lòng nghe theo thì việc lớn phải xong.
权喜从其言，即遣鲁肃赍礼往江夏吊丧。	Quyền đồng ý, lập tức sai Lỗ Túc đem lễ vật sang Giang Hạ viếng tang.
却说玄德至江夏，与孔明、刘琦共议良策。 孔明曰：“曹操势大，急难抵敌，不如往投东吴孙权，以为应援。	Lại nói Huyền Đức đến Giang Hạ cùng với Khổng Minh và Lưu Kỳ bàn việc, Khổng Minh nói: - Tào Tháo thế to lắm, khó lòng địch nổi, không bằng ta sang nhờ Tôn Quyền ở Giang Đông để làm ứng viện.
使南北相持，吾等于中取利，有何不可？”	Nam, Bắc hai bên giữ miếng với nhau, ta ở giữa kiếm lợi, có gì mà chẳng được.
玄德曰：“江东人物极多，必有远谋，安肯相容耶？”	Huyền Đức nói: - Giang Đông lắm mưu thần giỏi, nhìn xa thấy rộng, sao họ chịu nạp ta!
孔明笑曰：“今操引百万之众，虎踞江汉，江东安得不使人来探听虚实？	Khổng Minh cười đáp rằng: - Nay Tào Tháo dàn quân trăm vạn, chiếm cứ Giang Hán; tất nhiên Giang Đông phải cho người lại đây dò la xem hư thực thế nào?
若有人到此，亮借一帆风，直至江东，凭三寸不烂之舌，说南北两军互相吞并。	Nhược bằng có sứ đến, tôi xin mượn một cánh buồm thuận gió đến thẳng Giang Đông, chỉ ba tấc lưỡi đủ làm cho hai quân nam bắc thôn tính lẫn nhau.
若南军胜，共诛曹操以取荆州之地；若北军胜，则我乘势以取江南可也。	Nếu quân nam được ta dùng đánh Tào Tháo, lấy đất Kinh Châu. Nếu quân bắc được, ta thừa thế tính lấy Giang Nam cũng nên.
玄德曰：“此论甚高。 但如何得江东人到？”	Huyền Đức nói: - Kế ấy rất hay, nhưng làm thế nào khiến cho Giang Đông sai người đến đây được?
正说间，人报江东孙权差鲁肃来吊丧，船已傍岸。	Vừa nói dứt lời, có tin báo rằng: - Tôn Quyền ở Giang Đông sai Lỗ Túc lại viếng tang, thuyền đã ghé bờ.
孔明笑曰：：大事济矣！”	Khổng Minh cười nói: - Việc to chắc xong!
遂问刘琦曰：“往日孙策亡时，襄阳曾遣人去吊丧否？”	Rồi hỏi luôn Lưu Kỳ: - Ngày trước Tôn Sách mất, Tương Dương có sai người sang viếng không?
琦曰：“江东与我家有杀父之仇，安得通庆吊之礼！”	Kỳ đáp: - Giang Đông với nhà tôi có tử thù, đâu có đi lại hiếu hỉ?
孔明曰：“然则鲁肃之来，非为吊丧，乃来探听军情也。”	Khổng Minh nói: - Thế thì Lỗ Túc đến đây, không phải để viếng tang mà là để dò xét tình hình ta đó thôi.
遂谓玄德曰：“鲁肃至，若问曹操动静，主公只推不知，再三问时，主公只说可问诸葛亮。”	Lại bảo với Huyền Đức rằng: - Hễ Lỗ Túc hỏi đến việc động tĩnh của Tào Tháo thì chúa công cứ một mực nói không biết. Hễ hỏi đến hai ba lần, thì bấy giờ chúa công bảo hắn hỏi Gia Cát Lượng.
计会已定，使人迎接鲁肃。	Bàn định xong xuôi bèn sai người ra đón Lỗ Túc vào.
肃入城吊丧；收过礼物，刘琦请肃与玄德相见。	Túc vào viếng tang xong, Lưu Kỳ nhận đồ phúng rồi mời Túc đến gặp Huyền Đức.
礼毕，邀入后堂饮酒，肃曰：“久闻皇叔大名，无缘拜会；今幸得见。 实为欣慰。	Huyền Đức rước vào nhà trong uống rượu, Túc nói: - Lâu nay, nghe thấy đại danh hoàng thúc, nhưng chưa có dịp nào được bái kiến, nay được gặp thực là hân hạnh.
近闻皇叔与曹操会战，必知彼虚实：敢问操军约有几何？”	Mới đây, Hoàng Thúc đánh nhau với Tào Tháo, tất biết rõ tình hình. Dám hỏi quân Tào Tháo ước được độ bao nhiêu?
玄德曰：“备兵微将寡，一闻操至即走，竟不知彼虚实。”	Huyền Đức đáp: - Tôi binh mọn tướng ít, Tháo đến là chạy, còn biết gì đến tình hình bên ấy như thế nào.
鲁肃曰：“闻皇叔用诸葛孔明之谋，两场火烧得曹操魂亡胆落，何言不知耶？”	Túc nói: - Tôi nghe Hoàng Thúc dùng mưu của Khổng Minh, hai phen đánh hỏa công làm cho Tào Tháo kinh hồn lạc phách, sao Hoàng Thúc lại bảo không biết?
玄德曰：“徐非问孔明，便知其详。”	Huyền Đức nói: - Họa chăng hỏi Khổng Minh thì mới biết được rõ.
肃曰：“孔明安在？ 愿求一见。”	Túc nói: - Khổng Minh ở đâu, xin cho được gặp một chút.
玄德教请孔明出来相见。	Huyền Đức sai mời Khổng Minh ra.
肃见孔明礼毕，问曰：“向慕先生才德，未得拜晤；今幸相遇，愿闻目今安危之事。”	Túc vái chào rồi hỏi: - Xưa nay vẫn mộ tài đức tiên sinh, chưa được bái kiến bao giờ. Nay may mắn được gặp, xin cho biết việc an nguy ngày nay.
孔明曰：“曹操奸计，亮已尽知；但恨力未及，故且避之。”	Khổng Minh nói: - Mưu gian của Tào Tháo tôi đã biết cả, chỉ giận sức mình chưa đủ, nên còn tạm lánh đó thôi.
肃曰：“皇叔今将止于此乎？”	Túc lại hỏi: - Hoàng Thúc nay định ở đây hay đi đâu?
孔明曰：“使君与苍梧太守吴臣有旧，将往投之。”	Khổng Minh đáp: Sứ quân tôi có quen thái thú Ngô Thần ở Thương Ngô, nay sắp sang đó để nhờ.
肃曰：“吴臣粮少兵微，自不能保，焉能容人？”	Túc nói: - Ngô Thần lương khan binh ít, giữ mình còn chẳng nổi, cho ai nhờ được?
孔明曰：“吴臣处虽不足久居，今且暂依之，别有良图。”	Khổng Minh nói: - Chỗ ấy tôi cũng biết không ở lâu được, nay hãy nương tạm, rồi sau sẽ liệu kế khác.
肃曰：“孙将军虎踞六郡，兵精粮足，又极敬贤礼士，江表英雄，多归附之。	Túc nói: - Tôn tướng quâ tôi hùng cứ sáu quận, binhgiỏi lương nhiều, lại kính hiền trọng sĩ, anh hùng miền Giang Đông nhiều người quy phục.
今为君计。	Nay xin hiến ông một kế.
莫若遣心腹往结东吴，以共图大事。”	Chi bằng tiên sinh sai người tâm phúc sang liên kết với Đông Ngô để cùng mưu toan việc lớn.
孔明曰：“刘使君与孙将军自来无旧，恐虚费词说。	Khổng Minh nói: - Lưu sứ quân cùng với Tôn tướng quân xưa nay không được quen nhau, sợ uổng mất lời.
且别无心腹之人可使。”	Vả lại không có ai là tâm phúc có thể sai đi được.
肃曰：“先生之兄，现为江东参谋，日望与先生相见。	Túc nói: - Lệnh huynh Gia Cát Cẩn hiện đang làm tham mưu ở Giang Đông, đêm ngày mong được gặp tiên sinh.
肃不才，愿与公同见孙将军，共议大事。”	Tôi tuy không có tài, xin cùng tiên sinh vào ra mắt Tôn tướng quân để bàn việc lớn.
玄德曰：“孔明是吾之师，顷刻不可相离，安可去也？”	Huyền Đức nói: - Khổng Minh là thầy ta, rời ta một lúc không xong, đi thế nào được?
肃坚请孔明同去。 玄德佯不许。	Túc cố nài ba bốn lần, Huyền Đức cứ giả vờ không nghe.
孔明曰：“事急矣，请奉命一行。	Khổng Minh nói: - Việc đã kíp rồi, tôi xin phụng mệnh đi một chuyến.
玄德方才许诺。	Huyền Đức bấy giờ mới đồng ý.
鲁肃遂别了玄德、刘琦，与孔明登舟，望柴桑郡来。	Lỗ Túc đứng dậy từ biệt Huyền Đức, Lưu Kỳ, rồi cùng với Khổng Minh lên thuyền đến quận Sài Tang.
正是：只因诸葛扁舟去，致使曹兵一旦休。	Ấy là: Chỉ bởi con thuyền Gia Cát chạy Khiến cho tướng sĩ giặc Tào tan.
不知孔明此去毕竟如何，且看下文分解。	Chưa biết Khổng Minh đi chuyến này ra thế nào, xem đến hồi sau sẽ rõ. tử kính lực bài chúng nghị
第四十三回诸葛亮舌战群儒鲁子敬力排众议	HỒI 43 Gia Cát Lượng khua lưỡi bẻ bọn nho; Lỗ Tử Kính dùng sức bác lời chúng.
却说鲁肃、孔明辞了玄德、刘琦，登舟望柴桑郡来。	Lỗ Túc và Khổng Minh từ biệt Huyền Đức. Lưu Kỳ, xuống thuyền đến quận Sài Tang.
二人在舟中共议、鲁肃谓孔明曰：“先生见孙将军，切不可实言曹操兵多将广。”	Hai người ngồi trong thuyền nói chuyện. Lỗ Túc dặn Khổng MInh rằng: Tiên sinh có vào ra mắt tướng quân, thì đừng nói thật bên Tào Tháo quân nhiều tướng nhé!
孔明曰：“不须子敬叮咛，亮自有对答之语。”	Khổng Minh nói: - Điều ấy Tử Kính không phải dặn. Tôi sẽ liệu lời đối đáp.
及船到岸，肃请孔明于馆驿中暂歇，先自往见孙权。	Khi thuyền cập bến, Túc mời Khổng Minh về nghỉ trong nhà khách, rồi thân vào gặp Tôn Quyền trước.
权正聚文武于堂上议事，闻鲁肃回，急召入问曰：“子敬往江夏，体探虚实若何？”	Quyền đương họp các quan văn võ ở trong triều bàn việc, nghe tin Lỗ Túc về, gọi ngay vào, hỏi: - Tử Kính sang Giang Hạ thấy hiện tình thế nào?
肃曰：“已知其略，尚容徐禀。”	Túc đáp: - Cũng đã biết được ít nhiều, xin để thư thả sẽ thưa.
权将曹操檄文示肃曰：“操昨遣使赍文至此，孤先发遣来使，现今会众商议未定。”	Quyền đưa tờ hịch của Tào Tháo cho Túc xem và bảo rằng: - Hôm nọ Tào Tháo sai sứ đưa hịch đến đây, ta đã cho sứ quay về. Nay đương bàn việc ấy với các quan chưa xong.
肃接檄文观看。	Túc lấy tờ hịch xem.
其略曰：“孤近承帝命，奉词伐罪。	Trong hịch nói đại khái như sau: "Ta phụng mệnh vua, đánh kẻ có tội.
旄麾南指，刘琮束手；荆襄之民，望风归顺。	Cờ trỏ về nam, Lưu Tôn phải bó tay, dân Kinh Tương nghe thấy tin, răm rắp hàng phục.
今统雄兵百万，上将千员，欲与将军会猎于江夏，共伐刘备，同分土地，永结盟好。 幸勿观望，速赐回音。”	Nay thống lĩnh trăm vạn hùng binh, nghìn viên thượng tướng, muốn cùng với tướng quân họp săn ở Giang Hạ, để đánh Lưu Bị, cùng chia đất đai, giao hảo với nhau mãi mãi.Xin đừng ngờ vực, trả lời ngay cho."
鲁肃看毕曰：“主公尊意若何？”	Lỗ Túc xem xong, hỏi: - Ý chúa công thế nào?
权曰：“未有定论。”	Quyền nói: - Ta cũng chưa quyết định.
张昭曰：“曹操拥百万之众，借天子之名，以征四方，拒之不顺。	Trương Chiêu nói: - Tào Tháo thống lĩnh quân trăm vạn, mượn tiếng thiên tử, đánh dẹp bốn phương, mình chống cự lại thì là nghịch.
且主公大势可以拒操者，长江也。	Vả lại chỗ dựa của chúa công để chống với Tào Tháo là sông Trường Giang.
今操既得荆州，长江之险，已与我共之矣，势不可敌。	Nay Tháo đã lấy được Kinh Châu, ta không còn độc chiếm cái thế hiểm trở của con sông đó rồi, khó địch được nữa.
以愚之计，不如纳降，为万安之策。	Vậy cứ ý tôi, đầu hàng là kế vẹn toàn.
众谋士皆曰：“子布之言，正合天意。”	Các mưu sĩ đều nói: - Lời Tử Bố chính hợp lòng trời!
孙权沉吟不语。	Tôn Quyền ngồi ngần ngừ không nói.
张昭又曰：“主公不必多疑。	Trương Chiêu lại tiếp: - Chúa công không nên nghi ngại gì nữa.
如降操，则东吴民安，江南六郡可保矣。”	Nếu hàng Tào thì dân Đông Ngô được yên, mà sáu quận Giang Nam cũng giữ được.
孙权低头不语。	Tôn Quyền vẫn cúi đầu không nói gì.
须臾，权起更衣，鲁肃随于权后。	Một lát Quyền đứng dậy, thay áo.
权知肃意，乃执肃手而言曰：“卿欲如何？”	Lỗ Túc theo sau, Quyền biết ý cầm tay Túc hỏi rằng: - Ý ông thế nào?
肃曰：“恰才众人所言，深误将军。	Túc nói: - Vừa rồi, bọn họ nói như thế, là không hiểu bụng tướng quân.
众人皆可降曹操，惟将军不可降曹操。”	Mọi người, ai cũng có thể hàng Tào Tháo được, duy có tướng quân thì không hàng được.
权曰：“何以言之？”	Quyền hỏi: - Sao vậy?
肃曰：“如肃等降操，当以肃还乡党，累官故不失州郡也；将军降操，欲安所归乎？	Túc nói: - Như Lỗ Túc này mà hàng, thì Tháo phong cho làm quan, áo gấm về làng, mà cũng không phải mất đất đai gì cả. Tướng quân mà hàng Tháo thì về đâu?
位不过封侯，车不过一乘，骑不过一匹，从不过数人，岂得南面称孤哉！	Chức tước bất quá phong hầu là cùng, xe một cỗ, ngựa một con, đầy tớ vài ba người, muốn ngồi ngoảnh mặt về nam mà xưng có còn được nữa không?
众人之意，各自为己，不可听也。	Xem như thế, ý họ ai cũng chỉ biết thân người nấy mà thôi, có nghĩ gì đến chủ đâu!
将军宜早定大计。”	Xin tướng quân chớ nghe, nên sớm định kế lớn.
权叹曰：“诸人议论，大失孤望。	Quyền than rằng: - Ta nghe họ nghị luận thật là thất vọng.
子敬开说大计，正与吾见相同。	Tử Kính mới ngỏ kế lớn, chính hợp ý với ta.
此天以子敬赐我也！	Quả thật trời đem Tử Kính cho ta đó!
但操新得袁绍之众，近又得荆州之兵，恐势大难以抵敌。	Nhưng Tháo mới được quân Viên Thiệu, gần đây lại được quân Kinh Châu, thế lớn lắm, ta sợ địch không nổi.
肃曰：“肃至江夏，引诸葛瑾之弟诸葛亮在此，主公可问之，便知虚实。”	Túc nói: - Tôi vừa sang Giang Hạ, đem được em Gia Cát Cẩn là Gia Cát Lượng về đây, chúa công nên gọi vào hỏi, sẽ biết tình hình thế nào.
权曰：“卧龙先生在此乎？”	Tôn Quyền hỏi: - Ngọa Long tiên sinh có ở đây à?
肃曰：“现在馆驿中安歇。”	Túc nói: - Hiện đương nghỉ lở nhà khách.
权曰：“今日天晚，且未相见。	Quyền nói: - Hôm nay đã tối rồi, đừng cho vào gặp vội.
来日聚文武于帐下，先教见我江东英俊，然后升堂议事。”	Để ngày mai họp cả văn võ dưới trướng, trước hết cho gặp các tay anh tuấn Giang Đông đã, rồi sẽ mời lên triều đường bàn việc.
肃领命而去。	Túc nhận mệnh trở ra.
次日至馆驿中见孔明，又嘱曰：“今见我主，切不可言曹操兵多。”	Hôm sau Túc vào nhà khách, ra mắt Khổng Minh, lại dặn rằng: - Hôm nay ông vào gặp chủ tôi, xin chớ nói Tào Tháo nhiều binh lắm tướng.
孔明笑曰：“亮自见机而变，决不有误。”	Khổng Minh cười đáp rằng: - Tôi sẽ tùy cơ mà liệu, không để lỡ việc đâu!
肃乃引孔明至幕下。 早见张昭、顾雍等一班文武二十余人，峨冠博带，整衣端坐。 孔明逐一相见，各问姓名。 施礼已毕，坐于客位。	Túc mới dẫn Khổng Minh đến dưới trướng, đã thấy bọn Trương Chiêu, Cố Ung, toàn ban văn võ hơn hai chục người, mũ cao đai rộng, y phục chỉnh tề, ngồi có thứ tự rồi, Khổng Minh chào hỏi từng người, thông tính danh đâu đấy, rồi đến ngồi trên ghế tân khách.
张昭等见孔明丰神飘洒，器宇轩昂，料道此人必来游说。	Bọn Trương Chiêu thấy Khổng Minh phong thái đàng hoàng, tự nhiên, độ lượng, khẳng khái, biết rằng người này tất là người đi thuyết khách.
张昭先以言挑之曰：“昭乃江东微末之士，久闻先生高卧隆中，自比管；乐。	Trương Chiêu mới gọi trước rằng: - Chiêu tôi là một kẻ học trò ngu hèn bên Giang Đông, lâu nay vẫn được nghe tiếng tiên sinh nằm khểnh trong Long Trung, ví mình với Quản Trọng, Nhạc Nghị, lời ấy chẳng biết thực hay hư? Khổng Minh đáp: - Phải.
此语果有之乎？”	Lượng tôi cũng có hợm mình mà vì thế.
孔明曰：“此亮平生小可之比也。” 昭曰：“近闻刘豫州三顾先生于草庐之中，幸得先生，以为如鱼得水，思欲席卷荆襄。	Chiêu lại nói: - Mới đây, tôi mới nghe Lưu Dự Châu ba lần cầu đến tiên sinh ở trong lều tranh, may được tiên sinh như cá được nước, những toan thu sạch cả Kinh Tương, thế mà nay chỉ có một buổi sáng mà về tay Tào Tháo hết; chẳng hay ông thế nào?
今一旦以属曹操，未审是何主见？” 孔明自思张昭乃孙权手下第一个谋士，若不先难倒他，如何说得孙权，遂答曰：“吾观取汉上之地，易如反掌。	Khổng Minh nghĩ thầm rằng: - Trương Chiêu là tay mưu sĩ bậc nhất của Tôn Quyền, nếu mình không áp đảo được hắn thì sao thuyết phục được Tôn Quyền?
我主刘豫州躬行仁义，不忍夺同宗之基业，故力辞之。	Bèn đáp rằng: - Kẻ lấy đất Hán Thượng, ta coi dễ như trở bàn tay, hiềm vì chủ ta là Lưu Dự Châu, muốn làm điều nhân nghĩa, không nỡ cướp cơ nghiệp của người đồng tông, cho nên nhất định không lấy.
刘琮孺子，听信佞言，暗自投降，致使曹操得以猖獗。	Lưu Tôn là một đứa trẻ thơ, tin nghe lời nịnh, bí mật hàng Tào, cho nên mới để cho Tào Tháo ngông cuồng.
今我主屯兵江夏，别有良图，非等闲可知也。”	Nay chủ ta đóng quân ở Giang Hạ, sẽ có kế khác, những kẻ tầm thường có hiểu sao được?
昭曰：“若此，是先生言行相违也。	Chiêu nói: - Nếu thế thì tiên sinh lời nói không đi đôi với việc làm rồi.
先生自比管、乐，管仲相桓公，霸诸侯，一国天下；乐毅扶持微弱之燕，下齐七十余城：此二人者，真济世之才也。	Tiên sinh đã ví mình với Quản Trọng, Nhạc Nghị, mà Quản Trọng ngày xưa giúp Hoàn Công trị được chư hầu, định được thiên hạ; Nhạc Nghị ngày xưa giúp nước Yên đương suy yếu mà hạ được hơn bảy mươi thành nước Tề. Hai người ấy thực là có tài tế thế.
先生在草庐之中，但笑傲风月，抱膝危坐。 今既从事刘豫州，当为生灵兴利除害，剿灭乱贼。	Tiên sinh thì trước ở trong lều tranh, chỉ cười phong cợt nguyệt, xếp gối ngồi cao; Nay đã theo Lưu Dự Châu, thì phải vì dân mà mưu điều lợi, bỏ điều hại, dẹp trừ kẻ loạn tặc mới phải chứ!
且刘豫州未得先生之前，尚且纵横寰宇，割据城池；今得先生，人皆仰望。 虽三尺童蒙，亦谓彪虎生翼，将见汉室复兴，曹氏即灭矣。	Vả khi tôi xem Lưu Dự Châu chưa được tiên sinh, ai cũng mong ngóng, đến đứa trẻ con cũng cho đó là hổ sinh cánh, nhà Hán sắp sửa lại hưng, họ Tào sắp đổ.
朝廷旧臣，山林隐士，无不拭目而待：以为拂高天之云翳，仰日月之光辉，拯民于水火之中，措天下于衽席之上，在此时也。	Cựu thần trong triều đình, ẩn sĩ nơi rừng rú, ai cũng lau mắt chờ xem, tưởng là tiên sinh với Lưu Dự Châu, sắp xua tan mây mù trên trời cao, để cho thiên hạ lại được nhìn thấy ánh sáng mặt trời mặt trăng; cứu vớt dân ra khỏi cơn nước lửa, giúp đỡ thiên hạ yên ổn làm ăn, chính là lúc này vậy.
何先生自归豫州，曹兵一出，弃甲抛戈，望风而窜；上不能报刘表以安庶民，下不能辅孤子而据疆土；乃弃新野，走樊城，败当阳，奔夏口，无容身之地：是豫州既得先生之后，反不如其初也。	Ai ngờ từ khi tiên sinh về với Dự Châu, quân Tào mới đến, đã bỏ giáp quẳng gươm, trông thấy bóng là chạy; trên không báo được Lưu Biểu, để yên thứ dân; dưới lại chẳng giúp được con côi, giữ lấy bờ cõi, bỏ Tân Giã, chạy khỏi Phàn Thành, thua Đương Dương chạy ra Hạ Khẩu, chẳng có lấy một chỗ dung thân. Thế chẳng hóa ra Dự Châu từ khi được tiên sinh lại không bằng trước ư?
管仲、乐毅，果如是乎？ 愚直之言，幸勿见怪！”	Quản Trọng, Nhạc Nghị chắc cũng như thế đó ư?Đó là mấy lời quê kệch, xin tiên sinh đừng chấp.
孔明听罢，哑然而笑曰：“鹏飞万里，其志岂群鸟能识哉？	Khổng Minh nghe xong, cười ha hả mà rằng: - Cái chí khí của chim bằng, các loại chim há biết được sao?
譬如人染沉疴，当先用糜粥以饮之，和药以服之；待其腑脏调和，形体渐安，然后用肉食以补之，猛药以治之：则病根尽去，人得全生也。	Ví như người bệnh nặng, trước hết phải cho uống nước cơm, nước cháo, thuốc thang; lúc nào phủ tạng điều hòa, thân thể hồi phục, bấy giờ mới cho bổ bằng cá thịt, trị bằng thuốc mạnh, thì gốc bệnh mới tiệt, sinh mệnh mới an toàn.
若不待气脉和缓，便投以猛药厚味，欲求安保，诚为难矣。	Nếu bệnh còn nặng, phủ tạng còn yếu, đã trị ngay bằng thuốc mạnh, bổ ngay bằng vị ngon, thì khó lòng chữa khỏi được.
吾主刘豫州，向日军败于汝南，寄迹刘表，兵不满千，将止关、张、赵云而已：此正如病势尪赢已极之时也，新野山僻小县，人民稀少，粮食鲜薄，豫州不过暂借以容身，岂真将坐守于此耶？	Chủ ta, trước thua ở Nhữ Nam, đến nhờ Lưu Biểu, quân không đầy một nghìn, tướng chỉ có Quan, Trương, Triệu chính là lúc bệnh đang nguy ngập. Tân Dã là một huyện nhỏ, hẻo lánh, dân cư thưa thớt, lương thực ít ỏi, chủ ta chẳng qua đến nương tạm đó mà thôi, có phải muốn khư khư ngồi giữ cái xó ấy đâu?
夫以甲兵不完，城郭不固，军不经练，粮不继日，然而博望烧屯，白河用水，使夏侯惇，曹仁辈心惊胆裂：窃谓管仲、乐毅之用兵，未必过此。	Trong hoàn cảnh quân sĩ không sẵn, thành quách không bền, quân không luyện tập, chạy ăn từng bữa, thế mà lửa cháy Bác Vọng, nước ngập Bạch Hạ, khiến bọn Hà Hầu Đôn, Tào Nhân phải lòng run mặt vỡ; thiết tưởng Quản Trọng, Nhạc Nghị dùng binh cũng vị tất đã hơn gì!
至于刘琮降操，豫州实出不知；且又不忍乘乱夺同宗之基业，此真大仁大义也。	Đến như Lưu Tôn hàng Tào, Dự Châu hoàn toàn không biết; vả lại, không nỡ nhân lúc loạn mà cướp lấy cơ nghiệp người đồng tông. Thật là đại nhân, đại nghĩa!
当阳之败，豫州见有数十万赴义之民，扶老携幼相随，不忍弃之，日行十里，不思进取江陵，甘与同败，此亦大仁大义也。	Còn trận thua ở Đương Dương, vì có vài vạn dân, già trẻ dắt díu nhau đi theo, không nỡ bỏ, nên mỗi ngày chỉ đi được mười dặm, không thiết đến lây Giang Lăng, cam chịu thất bại, ấy cũng là đại nhân đại nghĩa vậy.
寡不敌众，胜负乃其常事。	Còn như ít không địch được nhiều, thì được thua chỉ là việc thường thôi.
