武功耆定。	vũ công đại định .
時各教官多不稱職或互相短辱事聞于朝故試以汰之。	bấy giờ , các giáo quan nhiều người không xứng chức hoặc nói xấu lẫn nhau , chuyện đến tai triều đình , cho nên cho thi để thải bỏ .
明宗曰順義行嗞安危何足慮也。	minh tông nói : " cứ thuận nghĩa mà làm , yên hay nguy đâu đáng lo ? " .
府尹彈壓之官如見權貴勢家不等員人驕從游俠弗遵法制許得彈糾懲治。	phủ doãn là quan đàn hặc , trấn áp , nếu thấy các nhà thế gia quyền quý , các viên nhân bất đẳng , kiêu túng du đãng , không theo pháp chế , thì cho được chủ hặc trừng trị .
宋以便宜許之。	vua tống cho được tiện nghi .
壬午紹豊二年元至元二年。	nhâm ngọ , thiệu phong năm thứ hai .
時帝既幸外登庸乃𭁈太師諒國公黎輔羙郡公黎琱錦山侯黎叔祐宏禮侯范嘉謨端禮侯楊金鏕瓊溪侯武護楊川侯阮如桂共謀立帝弟椿。	bấy giờ , vua đã chạy ra ngoài , đăng dung bèn cùng với thái sư lượng quốc công lê phụ , mỹ quận công lê chu , cẩm sơn hầu lê thúc hựu , hoằng lê hầu phạm gia mô , đoan lễ hầu dương kim ao , quỳnh khê hầu vũ hộ , dương xuyên hầu nguyễn như quế , cùng bàn lập em vua là xuân .
定諸藩使臣朝貢京國。	định lệnh cho sứ thần các phiên bang vào triều cống kinh quốc .
奉金󰀋上仁宗尊號曰欽文仁孝宣明皇帝廟號仁宗阮太后尊諡曰宣慈仁懿昭肅皇太后。	rước kim sách dâng tôn hiệu cho nhân tông là khâm văn nhân hiếu tuyên minh hoàng đế , miếu hiệu là nhân tông , dâng tên thuỵ cho nguyễn thái hậu là tuyên từ nhân ý chiêu túc hoàng thái hậu .
八月莫兵果至擄掠方民沿河各縣人民流散其地空虚。	tháng tám , quân mạc quả nhiên kéo đến bắt người cướp của , nhưng dân chúng các huyện ven sông đã di tản đi cả , chỉ còn lại một vùng đất bỏ không .
黎截黎元鼎潜兵於喝江謀襲重光帝。	xem như lê tiệt và lê nguyên đỉnh nhầm họp quân ở hát giang , mưu đánh úp trùng quang đế .
遣族目皇兄黎梗黎榴及工部左侍郎馮克寬等同賫安南都統使司印及前安南國王印墨樣二件金子一百斤銀子一千两𭁈國耆老數十人同赴鎮南交䦕候行會勘。	sai tộc mục là hoàng huynh lê ngạnh , lê lựu và bọn công bộ thị lang phùng khắc khoan cùng mang con ấn của an nam đô thống sứ ty và hai tờ kiểu ấn mực của quốc vương an nam trước , một trăm cân vàng , một nghìn lạng bạc cùng mấy chục kỳ lão lên cửa trấn nam giao để chờ hội khám .
若已斷鈌穿緡不得即不用。	nếu đã mẻ gãy không xâu dây được nữa thì thôi không tiêu .
新平鎮為西平鎮。	trấn tân bình thành trấn tây bình .
岱微服前至郡下。	đại mặc áo thường đi thẳng đến quận trị .
入内少尉上南策衛總管黎朗為參知西道諸衛軍事。	nhập nội thiếu uý thượng nam sách vệ tổng quản là lê lãng làm tham tri tây đạo chư vệ quân sự ; .
罷大小司社大撮甲仍依舊制。	bãi các chức đại , tiểu tư xã , đại toát , còn chức quản giáp vẫn theo quy chế cũ .
嘉等與其撲燎原之火於方熾之中孰若杜禍乱之機於未兆之日之為愈也。	bọn gia toan dập tắt lửa cháy đồng khi đang cháy rực , sao bằng ngăn ngay cái cơ hoạ loạn từ khi chưa có triệu chứng gì có hơn không ? .
於是乂安之地盡爲我有。	thế là đất nghệ an đều về ta cả .
八月𤤻師。	tháng tám , đem quân về .
智髙奔大理。	trí cao chạy sang nước đại lý .
其治軍有紀律待将校如家人與士卒同甘苦故所至莫敢當凣征伐所得必以充軍儲視才貨泊如也為一時名将云。	ông huấn luyện quân đội rất có kỷ luật , đối đãi tướng hiệu tực như người nhà , cùng đồng cam cộng khổ với binh sĩ , cho nên quân đi tới đâu , không ai dám chống ; tất cả chiến lợi phẩm thu được đều sung vào kho quân , coi của cải như không , là bậc danh tướng của một thời .
前李南帝在位七年紀元者一。	tiền lý nam đế .
不意逆椿豺狼其性梟獍其心穿墉以鼠牙毒師以蠆尾人心摇動。	không ngờ tên phản nghịch xuân , bản chất như sài lang , lòng dạ tựa muông thú , dùng răng chuột để khoét vách , đem nọc độc ra hại quân , khiến cho lòng người dao động .
明日守度率群臣邀駕還京師。	hôm sau , thủ độ dẫn các quan đến mời vua trở về kinh sư .
命引御舶出玉山以疑賊情。	sai người đưa thuyền ngự ra ngọc sơn để đánh lừa giặc .
二十六日莫命户部尚書兼國子監祭酒泳橋伯黄士愷及阮䏻潤阮澧武文奎等徃諒山界首候命迎接使臣。	ngày hai mươi sáu , họ mạc sai hộ bộ thượng thư kiêm quốc tử giám tế tửu vịnh kiều bá hoàng sĩ khải và bọn nguyễn năng nhuận , nguyễn lễ , vũ văn khuê , lên địa đầu lạng sơn đợi lệnh đón tiếp sứ thần .
二十六日遣參知簿籍程昱内密院正掌程清翰林院直𭓇阮克孝如明謝勅封。	ngày hai mươi sáu , sai tham tri bạ tịch trình dục , nội mật viện chánh chưởng trình thanh , hàn lâm viện trực học sĩ nguyễn khắc hiếu sang nhà minh tạ ơn việc sách phong .
外戚權臣之𫳭則政蠹矣帝王脩齊治平之道果如是乎。	yêu chuộng kẻ quyền thần ngoại thích , thế là chính trị đã ruỗng mọt ; đạo tu tề trị bình của đế vương hẳn có như thế ru ! .
先鋒陳公栢力戦死之。	tiên phong trần công bách liều sức đánh bị chết .
按東方朔神異奇經有云南荒之外有火其中皆生不尽之木。	xét sách thần dị kỳ kinh của đông phương sóc có nói rằng : ở ngoài cõi nam hoang có lửa , trong lửa mọc loại cây không bao giờ chết .
春正月初四日瑞香祠李翁仲神像汗出。	mùa xuân , tháng giêng , tượng thần lý ông trọng đền thuỵ hương đổ mồ hôi .
社長類取姓名本府縣州逐一覆實。	xã trưởng kê khai họ tên , quan phủ , huyện , châu sau đó xét lại từng người .
十三曰信號令以一四方之志。	mười ba - hiệu lệnh phải tín thực để thống nhất ý chí của bốn phương .
丁德潤阮德潤阮璜陣前戦死。	đinh đức nhuận , nguyễn đức nhuận , nguyễn hoàng chết tại trận .
百年等領兵攻之月餘不䏻破。	bách niên đem quân đi đánh , hơn một tháng không phá nổi .
三月李子克上言江底林有白鹿。	tháng ba , lý tử khắc dâng tâu rằng , rừng ở giang để có hươu trắng .
太原降将迪義營廉郡公缺名擒󰱐莫偽宏羙公。	viên hàng tướng đất thái nguyên là địch nghĩa dinh liêm quận công ( không rõ tên ) , bắt được nguỵ hoành mỹ công .
玉󱗲奔安博後㨿萬寕州。	ngọc liễn chạy về huyện an bác , sau chiếm giữ châu vạn ninh .
爲國九經。	trị nước , chín kinh .
興孝王回奏上皇乃加封二字鬼神靈應信不誣矣。	hưng hiếu vương về tâu lại , thượng hoàng bèn phong thêm cho hai chữ : quỷ thần thiêng liêng , ứng nghiệm , quả không sai là ngoa vậy .
乃進兵命阮有僚領鋭卒五千並䧺象鉄騎。	bèn tiến quân , sai nguyễn hữu liêu đem năm nghìn quân tinh nhuệ và voi khoẻ cùng ngựa bọc sắt .
收賊噐械來獻軍前不可勝数。	khí giới của giặc dâng trước cửa quân nhiều không kể xiết .
初景統年間停常川司舍人。	trước đây , vào đời cảnh thống , thôi đặt chức thường xuyên xá nhân .
民携挈而來者有如㱕市。	nhân dân trong vùng đều dắt díu nhau tới , đông vui như đi chợ .
莫茂洽驚恐破膽下船渡江而走。	mạc mậu hợp sợ đến vỡ mật , xuống thuyền vượt sông mà chạy .
乱賊之軰生前則不容天地之間没後則難迯春秋之法。	bọn loạn tặc , lúc còn sống thì không thể dung trong trời đất , sau khi chết thì khó tránh khỏi phép của kinh xuân thu .
削奪黎文靈等功臣字及職爵降為僕射。	tước bỏ chữ " công thần " và chức tước của bọn lê văn linh , giáng xuống làm bộc xạ .
次槅大雲樓連起長春殿以爲御寢之處。	tiếp đó là lầu đại vân , dựng tiếp điện trường xuân làm nơi vua nghỉ .
辛未三年明崇禎四年。	tân mùi , năm thứ ba , ( minh sùng trinh năm thứ bốn ) .
節制鄭松觧其縛待以賓禮宣諭慰勞語及前王豢養恩義不忍加害。	tiết chế trịnh tùng cởi trói cho quyện , đãi theo lễ tân khách , tuyên dụ uý lạo , nói tới ân nghĩa nuôi dưỡng của tiên vương , không nỡ giết hại .
史臣吳士連曰蘇憲誠受托孤之寄盡忠竭誠善處于變雖震撼擊撞而中流屹乎砥柱卒使上安下順不愧古大臣之風。	sử thần ngô sỉ liên nói : tô hiến thành nhân việc ký thác con côi , hết lòng trung thành , khéo xử trí khi biến cố , tuy bị gió lay sóng đập mà vẫn đứng vững như cột đá giữa dòng , khiến trên yêu dưới thuận , không thẹn với phong độ của đại thần đời xưa .
又以黎仕澈爲御史󰉟都。	lại lấy lê sĩ triệt làm ngự sử đài đô .
五府軍築城。	quân năm phủ đắp thành .
凡戸籍錢榖獄訟總為一路之簿歲季報省以憑󰏲考。	các việc hộ tịch , tiền thóc , ngục tụng đều làm chung thành sổ sách của một lộ , đến cuối năm báo lên sảnh để làm bằng cứ mà khảo xét .
黄感謝奉命赴鎮。	hoàng cảm tạ vâng mệnh đến trấn .
稍有名稱者皆應之。	những người có tiếng tăm một chút đều hưởng ứng .
江以西一󰅾上自白鶴下至南昌營寨相連舟筏相接。	sông về phía tây , trên từ bạch hạc , dưới đến nam xang , dinh trại liền nhau , thuyền ghe san sát .
親提虎旅。	quân hổ kéo tới .
明人折屋火攻洞中人被煙火焚烝致死。	quân minh dỡ nhà hun động , người trong động bị khói lửa hun đều chết , .
十五日帝謁廟是後命文官行禮。	ngày mười lăm , vua bái yết thái miếu , sau đó sai quan văn làm lễ .
阮貴雅落韻出爲附翼縣知縣。	nguyễn quý nhã làm lạc vần , cho ra làm tri huyện huyện phụ dực .
乞令諭諸将一切停罷。	xin hạ lệnh cho các tướng đình bãi hết thảy .
念國步之猶屯。	phần lo vận nước còn lao đao .
尚頼元帥統國政清都王以仁厚資濟英䧺志暨親勳文武大臣恊同心力救君親之難拯社稷之危掃蕩莫孽恢復都城内寧外撫近悅遠來。	nhờ được nguyên soái thống quốc chính thanh đô vương tư chất nhân hậu , chí khí anh hùng và các đại thần thân huân văn võ , đồng lòng hiệp sức , cứu tai nạn của vua cha , giúp gian nguy xã tắc , quét sạch bọn mạc , khôi phục đô thành , trong ổn ngoài yên , gần vui xa phục .
斬賊馘千餘級莫将死者數十員。	chém đến hơn mấy nghìn thủ cấp giặc , tướng mạc bị chết đến mấy chục viên .
春秋之法君薨嗣君定位於初䘮踰年然後改元。	theo phép kinh xuân thu thì khi vua cũ mất , vua nối lên ngôi ngay khi bắt đầu phát tang , qua năm ấy rồi mới đổi niên hiệu .
諸衛管軍官則府恤軍士練習武藝不可私自差使科歛擾害侵損軍需以為私惠。	quan coi quân các vệ thì phải yêu thương quân lính , luyện tập võ nghệ , không được sai lính làm việc riêng cho mình , không được bòn vét nhiễu hại , bớt xén quân nhu để làm ơn riêng .
若犯人窮無所出許以罰錢給被害人送塟。	nếu phạm nhân túng quẫn không có thì cho phép lấy tiền phạt mà cấp cho người bị hại để chôn cất .
慰勞三軍。	uý lạo ba quân .
又差拔郡公范久生鎮守臨洮諸要路以安興化之民。	lại sai bạt quận công phạm doãn sinh trấn giữ các con đường hiểm yếu ở lâm thao để giữ yên dân hạt hưng hoá .
珝廼謝之以璜領交州爲前部都督。	hủ bèn tạ lỗi , cho hoàng lĩnh chức tiền bộ đô đốc giao châu .
其車式始於太尉阮黄之所制也。	kiểu xe này do thái uý nguyễn hoàng sáng chế .
至乂安疾又作。	đến nghệ an , bệnh lại tái phát .
年深才幹并會試中塲並得除用。	người nào lâu năm , tài cán , và thi hội trúng trường đều được bổ dụng .
帝精於禮樂書數曾不是考而叙擾之遂使後世襲為故事踵而行之其失大矣。	vua tinh thông lễ nhạc thư số , lại không xét việc ấy mà làm rối , để cho đời sau noi theo việc cũ , nối gót mà làm , ấy là lỗi lớn vậy .
十六日遣御史中丞何甫翰林院知制誥阮如堵御前學生局長梁如鵠等如明謝致祭。	ngày mười sáu , sai bọn ngự sử trung thừa là hà phủ , hàn lâm viện tri chế cáo nguyễn như đổ , ngự tiền học sinh cục trưởng lương như hộc sang tạ ơn nhà minh sang tế .
黎文休曰一李琢之貪暴𦤶十數年蠻寇之患况甚虐於李琢者乎。	lê văn hưu nói : một lý trác tham bạo mà dẫn đến mười mấy năm bị tai hoạ người man , huống chi lại có kẻ bạo ngược hơn cả lý trác nữa .
曰江山有厭勝之術天氣之運聖人之生厭勝有何術乎。	nếu bảo núi sông có thể lấy pháp thuật mà trấn áp , thì khí trời chuyển vận , thánh nhân ra đời có pháp thuật gì trấn áp được không ? .
且人已降而殺之不祥莫大焉。	vả lại , người ta đã hàng , mà mình lại giết thì là điềm xấu không gì lớn bằng .
守度再三固請未𫎇俞𠃔乃謂眾曰凣乘興所在即是朝廷。	thủ độ cố nài xin nhiều lần vẫn chưa được vua nghe , mới bảo mọi người rằng : " xa giá ở đâu tức là triều đình ở đó " .
王留思之。	xin vương lưu ý suy xét .
武階六品以下文階八九品朝謁服九月。	võ giai từ lục phẩm trở xuống , văn giai từ bát cửu phẩm có dự triều yết để tang chín tháng .
太學生四十八名出身有差。	cho bốn mươi tám người đỗ thái học sinh , xuất thân theo thứ bậc khác nhau .
以舌差隊差將巡邉恐取脱州人銀子事𭛁故罷之。	vì quân lính và chỉ huy của thiệt sai đi tuần tiễu biên giới đã doạ nạt lấy bạc của người châu thoát , việc bị phát giác , nên thiệt phải bãi chức .
十八日節制鄭松督大兵出長安。	ngày mười tám , tiết chế trịnh tùng đốc suất đại quân ra phủ trường yên .
因為王家臣得王訓導之益材噐絶倫。	nhân đó , làm gia thần cho vương , được vương dạy bảo thêm , tài nghệ tuyệt vời .
然政事猶用牙印施行新寶俱未用也。	nhưng chính sự thì vẫn dùng ấn bằng ngà , chưa dùng đến các ấn mới đúc .
󰔻身黑而長有才辨。	lãm người đen mà cao , có tài biện bác .
七日帝親率舟師一千餘艘精兵七十餘萬出新厭𦾔坐二海口樹天子旌旗皷噪而進。	ngày mồng bảy , vua tự mình dẫn hơn một nghìn chiếc thuyền , hơn bảy mươi vạn tinh binh ra hai cửa biển tân áp và cựu toạ dựng cờ thiên tử , đánh trống hò reo mà tiến .
不惟余之家小得安床蓐而爾等之妻孥亦百年之偕老。	chẳng những gia quyến của ta được yên ấm gối chăn , mà vợ con các ngươi cũng được bách niên giai lão .
人人深感大恩。	mọi người đều thầm cảm ơn to .
從細江縣知縣鄧見素之奏也。	đó là lời tâu của tri huyện tế giang đặng kiến tố .
民命政事簿書獄訟要處置得宜。	những việc trị dân , hành chính , sổ sách , kiện tụng phải xử trí cho thích đáng .
冬十月初七日召進士杜履謙等入應制命作五王帳記。	mùa đông , tháng mười , ngày mồng bảy , tuyên triệu bọn tiến sĩ đỗ lý khiêm vào làm bài ứng chế , vua sai làm bài ký ngũ vương trướng .
惇典用禮遠奸親賢。	theo điển , dùng lễ , lánh gian , thân hiền .
時外戚姜种阮伯勝等擅作威福權傾中外民間不得󰁮手動足。	bấy giờ bọn ngoại thích là khương chủng và nguyễn bá thắng tự tiện làm oai làm phúc , quyền thế nghiêng lệch trong triều ngoài trấn , dân chúng không dám cất tay động chân .
今年又以疾緩師。	năm nay lại vì đau mắt mà hoãn việc xuất quân .
五月三日二帝敗賊於長安府斬馘無算。	tháng năm , ngày mồng ba , hai vua đánh bại giặc ở phủ trường yên , chém đầu cắt tai giặc nhiều không kể xiết .
號令分明軍士奉命整飭部伍。	hiệu lệnh rất rõ ràng , quân sĩ đều vâng mệnh , chỉnh đốn đội ngũ .
後興孝王討沱江蠻泊白鶴江夜夢神曰前年帝有褒賞之命至是無聞。	sau này hưng hiếu vương đi đánh man đà giang , đỗ thuyền trên sông bạch hạc , đêm thấy thần báo mộng rằng : " năm trước vua có lệnh khen thưởng mà đến nay vẫn chưa thấy gì " .
夏四月路文律起兵於石室李彬擊破之文律奔哀牢民人巤入佛跡山安岑山洞。	mùa , hạ , tháng bốn , lộ văn luật dấy binh ở thạch thất , lý bân đánh phá được . lộ văn luật chạy sang ai lao , dân chúng thì trốn vào hang núi phật tích và an sầm .
令如捉得暠賞五十人。	nếu bắt được cảo thì được thưởng cho năm mươi người .
守度𨿽為宰相而凣事罔不加意。	thủ độ tuy làm tể tướng , nhưng mọi việc không việc gì không để ý .
春清化府献檳榔一本九莖。	mùa xuân , phủ thanh hoá dâng cây cau một gốc chín thân .
一侵占人田土及伐標拨碣擅立界限者應杖貶若剗削田畔止論罸錢。	một - kẻ nào xâm chiếm ruộng đất của người khác và chặt nêu , nhổ mốc , tự tiện lập giới hạn thì phải phạt trượng và biếm truất : nếu phá bỏ bờ ruộng thì chỉ phạt tiền thôi .
不願而自私争認乞還聚者以軍憲論。	nếu không tự nguyện lên thành mà tranh nhau nhận về đoàn tụ thì phải xử theo quân luật .
儂氏遂滅。	từ đây họ nùng bị diệt .
少者罔念而作狂老者不死而賊。	bọn trẻ không biết nghĩ , làm bậy ngông cuồng , người già chẳng chết đi , trở thành mối hoạ .
時有諺云欲活入隐林山欲死吳朝做官。	bấy giờ có câu ngạn ngữ : " muốn sống vào ẩn núi rừng , muốn chết làm quan triều ngô .
以胡宗鷟為翰。	lấy hồ tông thốc làm hàn .
賊兵勢逼二帝潜御小舟行三峙元。	thế giặc bức bách , hai vua ngầm đi chiếc thuyền nhỏ đến tam trĩ nguyên , .
前年考試免󰱇多有懷挾代試中者殆萬餘人甚於冗濫。	trước đây , khảo thí để miễn tuyển , có nhiều kẻ mang sách , thi hộ , số đỗ đến hơn vạn người , rất là nhũng lạm .
然願在者多願去者少。	nhưng người muốn ở lại thì nhiều , muốn xin đi thì ít .
乃多殺戮何以為仁義之師哉。	thế là lại giết nhiều như vậy , sao gọi là quan nhân nghĩa được ? .
握符闡珍。	giữ báu nắm phù .
三月太師鄭檢使榮郡公黄廷愛等領兵鎮守諒山。	tháng ba , thái sư trịnh kiểm sai bọn vinh quận công hoàng đình ái đem quân trấn giữ lạng sơn .
至是王親扶登殿即皇帝位改元以明年正月爲永治元年。	đến đây , vương đích thân dìu lên điện , lên ngôi hoàng đế . đổi niên hiệu , lấy tháng giêng năm sau làm vĩnh trị năm thứ nhất .
行遣阮有光内密黎懷之宦官五六輩無一人以闔門。	hành khiển nguyễn hữu quang , nội mật lê hoàn chi , hoạn quan chừng năm sáu bọn mà không một người đóng cửa cho nghiêm .
賊乘勢四靣合圍。	giặc thừa thế vây kín bốn mặt .
帝使丁蝮退還其奏不納。	vua sai đinh phúc trả lại tờ tâu không nhận .
𥘉宋亡其人㱕我。	trước kia , nhà tống mất , nhiều người tống theo ta .
及差官𦤶祭天下各處神祗。	đồng thời sai các quan đi tế thần kỳ ở các xứ trong nước .
帝既遣黎少頴等求封凣東關城僞官及良民被脅者悉令送還。	sau khi sai bọn lê thiếu dĩnh sang cầu phong , tất cả bọn nguỵ quan và lương dân bị cưỡng bức đi theo ở trong thành đông quan , vua đều sai đưa về cả .
况臨終之際爲國薦賢不以私恩太后不用其言李氏之不幸也。	huống chi đến lúc sắp chết còn vì nước tiến cử người hiền , không vì ơn riêng , thái hậu không dùng lời nói của hiến thành là việc không may cho nhà lý vậy .
况有程子倡之於前而朱子補其未圖於後則其義精矣。	huống chi lại có trình tử xướng ơ trước , và chu tử bổ sung chỗ chưa hoàn hảo ở sau , thì nghĩa đã tinh lắm rồi .
秋逆人蘇厚杜崇謀反伏誅。	mùa thu , kẻ nghịch là tô hậu và đỗ sùng mưu làm phản , bị giết .
世羙先登騎馬來戦。	thế mỹ nhảy lên ngựa trước đến đánh .
敢有徇私保󰁮年少年浅者該科御史󰱑󰁮奏治罪以懲人臣徇私妄保及僥倖攪擾之弊。	người nào dám lấy tình riêng mà bảo cử người tuổi trẻ , năm ít , thì khoa phụ trách , ngự sử đài tâu hặc trị tội để răn đe những kẻ làm tôi theo tình riêng bảo cử bậy và trừ cái tệ cầu may hỗn loạn .
欽㢤慎勿固辝。	kính theo , chớ có từ chối .
該總該社勾勘户婚田土諸訟水路陸路私置巡司巡察衙門。	bọn cai tổng , xã trưởng thì bắt hỏi việc kiện tụng về hộ khẩu , hôn nhân , ruộng đất , trên đường bộ , đường thuỷ đặt riêng nha môn tuần ty , tuần sát .
十四日天不雨。	ngày mười bốn , trời không mưa .
旨揮大臣文武百官今後公侯文武等官入朝從人各有分數一品五人二品二人三品一人。	ra lệnh chỉ cho đại thần và các quan văn võ rằng : từ nay về sau , các bậc công hầu và các quan văn võ khi nào chầu , mỗi người chỉ mang theo số người hầu nhất định : nhất phẩm thì năm người , nhị phẩm hai người , tam phẩm một người .
時上皇自天長府回京師。	bấy giờ thượng hoàng từ phủ thiên trường trở về kinh sư .
明以熊宗魯任交趾右參議。	nhà minh lấy hùng tông lỗ làm giao chỉ hữu tham nghị .
土人香户王萌等將家小三十九人奉匹叚名香上進。	bọn hương hộ người địa phương là vương manh đem vợ con ba mươi chín người tới dâng đoạn tấm và hương quý .
於戲窮冦刲羊無血可󰏲六月之師南陲見豕負塗不待七旬之格。	ôi ! giặc cùng mổ dê không máu ; nên học xưa tháng sáu ra quân , cõi nam thấy lợn lấm bùn chẳng đợi bảy tuần phục .
他日假手於人而不得其死也宜哉。	ngày sau , phải chết bất đắc kỳ tử bởi tay người khác cũng là đáng lắm ! .
癸亥八年宋元豊六年。	quý hợi , năm thứ tám , ( tống nguyên phong năm thứ sáu ) .
節制鄭松𭁈大臣文武入内殿朝謁。	tiết chế trịnh tùng cùng với các đại thần văn võ vào nội điện triều yết .
入翰林院加一級除監察御史知縣以本品除。	nếu vào hàn lâm viện thì được gia một cấp ; nếu bổ làm giám sát ngự sử hay tri huyện thì giữ nguyên phẩm cũ mà bổ .
令同知阮滿隊長阮雷賫書徃西都古弄二城撤圍以二城未下故也。	sai đồng tri nguyễn mẫn , đội trưởng nguyễn lôi mang thư đến hai thành tây đô và cổ lộng ra lệnh giải vây , vì hai thành này chưa hạ được .
十一月明遣正使行人司行人程璥來致祭。	tháng mười một , nhà minh sai chánh sứ hành nhân ty hành nhân trình cảnh sang tế .
自春至此不雨。	từ mùa xuân đến đây không mưa .
人君法天因甲子之運行紀在位之久近從古已然。	người làm vua theo phép trời , nhân sự vận hành của can chi mà chép năm ở ngôi lâu hay chóng , từ xưa đã như thế .
帝日𭁈近習戲於官内大臣欲勸學乃共奏擬以行遣承止阮廌中書侍郎程舜俞等文臣六人隨二三大臣分番入侍經筵。	vua hằng ngày vui đùa với bọn hầu cận ở trong cung , các đại thần muốn khuyên vua học , cùng nhau tâu lên xin cử sáu văn thần là bọn hành khiển thừa chỉ nguyễn trãi , trung thư thị lang trình thuấn du ... đi theo hai , ba đại thần chia phiên nhau vào hầu kinh diên .
兵之引過秋毫無犯民皆草靡降服案堵如故爭持酒糧米給軍。	quân đi đến đâu , không mảy may xâm phạm của dân , dân chúng đều thuận lòng hàng phục , yên ổn như xưa , mọi người tranh nhau đem rượu thịt lúa gạo cấp cho quân .
路統府府統州州統縣。	lộ thống nhiếp phủ , phủ thống nhiếp châu , châu thống nhiếp huyện .
賜三品以下并在籃京官及扈駕諸軍士諸邑人等錢有差。	còn các quan từ tam phẩm trở xuống và các quan ở lam kinh cùng các loại quân sĩ đi hộ giá thì ban tiền theo thứ bậc khác nhau .
延富閣賞花亭玉花階金蓮池明月橋及御厨大葉船宫内大葉船。	gác diện phú , đình thưởng hoa , thềm ngọc hoa , hồ kim liên , cầu minh nguyệt và đóng thuyền to bản của ngự trù , thuyền to bản của cung nội .
春以欽聖公主嫁渭龍州牧何彛慶。	mùa xuân , gả công chúa khâm thánh cho châu mục châu vị long là hà di khánh .
臣窃見監生儒生年未至三十充未滿十五年但以會試中塲徃徃僥倖求進有所攪擾不便。	thần trộm thấy giám sinh , nho sinh chưa đến ba mươi tuổi , vào học chưa đầy mười lăm năm , chỉ vì thi hội trúng trường lại hay được may mắn tiến thân , như thế thì có sự hỗn loạn không ổn .
十四曰謹法度以開太平之治。	mười bốn - luật pháp , chế độ phải thận trọng để mở nền thịnh trị thái bình .
以誕日為儀天聖節。	lấy ngày sinh làm nghi thiên thánh tiết .
秋八月試通三教諸科。	mùa thu , tháng tám , thi các khoa thông tam giáo .
七日諜報云唆都自清化來。	ngày mồng bảy , thám tử báo tin : toa đô từ thanh hoá tới .
真天禄平浪上社人。	chân người xã bình lãng thượng , huyện thiên lộc .
周睟日睟音醉周年也子生一歲也英宗廵邊在外家事决扵明宗。	hôm người con ấy đầy tuổi thì anh tông đi tuần biên giới vắng , việc ở nhà do minh tông quyết định .
十二月諭太傅阮熾等宗社安危在卿數人矣卿當思之深計之熟奏聞政事朕力疾内决卿等外承之。	tháng mười hai , dụ bọn thái phó nguyễn xí rằng : " tông miếu xã tắc an hay nguy là ở mấy người các khanh thôi . các khanh nên nghĩ cho kỹ , tính cho chín , tâu việc trị nước cho trẫm biết . trẩm sẽ cố gắng quyết đoán ở bên trong , các khanh sẽ thừa hành ở bên ngoài " .
特以演州之人不遵厥化逞行昏暴殘忍小民罪惡貫盈於今不容不討。	chỉ vì người diễn châu không theo giáo hoá , ngu bạo làm càn , tàn ngược chúng dân , tội ác chồng chất , đến nay không thể dung tha không đánh .
群臣貨捷。	các quan chúc mừng thắng lợi .
秋七月申禁衣服過制。	mùa thu , tháng bảy , nhắc lại lệnh cấp y phục vượt quy chế .
令史官修𢮪吳士連撰大越史記全書十五卷。	sai sử quan tu soạn ngô sĩ liên soạn bộ đại việt sứ ký toàn thư mười lăm quyển .
文質對曰太和年間征占熟米迄征盆蛮時經二十六年尚可食也。	văn chất trả lời : " khoảng năm thái hoà , số gạo nấu chín khi đi đánh chiêm thành mãi đến khi đi đánh bồn man , trải qua hai mươi sáu năm vẫn còn ăn được " .
宣威將軍武斯宏陣前力戰死之。	tuyên uy tướng quân vũ tư hoằng liều sức chiến đấu , chết tại trận .
帝𫳭小竪阮供。	vua yêu dùng hoạn quan nguyễn cung .
元拒之諸將欲戰璜疑斷橋内有伏兵迺别列長㦸於其後。	nguyên chống cự . các tướng muốn đánh , hoàng ngờ bên trong chỗ cầu gãy có phục binh , bèn dàn riêng một đội quân giáo dài ở đằng sau .
明早施帳幔請徽兄弟以次入。	sáng hôm sau , đại bày màn trướng , mời anh em huy theo thứ tự đi vào .
壬申洪福元年莫崇康七年明隆慶六年。	nhâm thân , hồng phúc năm thứ nhất , ( mạc sùng khang năm thứ bảy ; minh long khánh năm thứ sáu ) .
自是該勘諸司遵以爲常。	từ đấy , các ty xét kiện tuân theo làm lệ thường .
上曰好者乃爾𡸈無紅腐耶槩其近久則十年全好矣。	vua nói : " hạng tốt thì mới được thế , chả lẽ lại không có mốc , mục hay sao ? đại khái để lâu vừa thì mười năm vẫn tốt nguyên " .
出降者亦盡殺之妻子㨿爲奴婢。	người nào ra hàng cũng bị giết cả , vợ con bị bắt làm nô tỳ .
在鎮共十三年駢。	ở trấn cộng mười ba năm ; biền .
統阮五年為登庸所殺。	năm thống nguyên thứ năm , bị mạc đăng dung giết .
遣正使黎弼四副使阮用阮克寬等如明進謝恩禮。	sai chánh sứ lê bật tứ , phó sứ nguyễn dụng và nguyễn khắc khoan sang nhà minh dâng lễ tạ ơn .
且砦臨屑邏大江既克之後俘獲沿流而下過真臘及諸蕃國皆震耀兵威因諭諸國子弟入朝。	vả lại , trại nó sát ngay sông lớn tiết la , sau khi thắng trận bắt được tù binh theo dòng xuôi xuống , đi qua chân lạp và các nước phiên khác , đều có diễu võ giương oai , nhân đó dụ bảo con em các nước ấy vào chầu .
秋七月至八月大水。	mùa thu , từ tháng bảy đến tháng tám , nước to .
