孔子生鲁昌平乡陬邑。	Khổng tử sinh ở ấp Trâu, hương Xương Bình, nước Lỗ.
孔子状类阳虎，拘焉五日，颜渊 後，子曰：“吾以汝为死 矣。”颜渊曰：“子在，回何敢死！”匡人拘孔子益急，弟子惧。	Khổng tử hình dạng giống Dương Hổ, bị giữ lại năm hôm. Nhan Uyên đến sau, Khổng tử nói: “Ta tưởng con chết rồi.” Nhan Uyên nói: “Thầy còn, Hồi này sao dám chết!” Người đất Khuông bao vây Khổng tử càng ngặt, các học trò sợ.
孔子曰：“文王既没，文不在 兹乎？	Khổng tử nói: “Văn vương mất đi, cái Văn không ở đây ư?
天之将丧斯文也，後死者不得与于斯文也。	Trời muốn làm mất cái Văn này, người sau không còn được thấy cái Văn này nữa.
天之未丧斯文也，匡人其如予何！”孔子使从者为甯武子臣於卫，然後得去。	Trời chưa muốn làm mất cái Văn này, người Khuông làm gì được ta?” Khổng tử sai tùy tòng đến làm gia thần cho Ninh Vũ tử nước Vệ, sau đó mới đi thoát.
去即过蒲。	[Khổng tử] rời đất Khuông đến đất Bồ.
月馀，反乎卫，主 蘧伯玉家。灵公夫人有南子者，使人谓孔子曰：“四方之君子不辱欲 与寡君为兄弟者，必见寡小君。	Được hơn tháng, lại trở về nước Vệ, ở tại nhà Cừ Bá Ngọc, Linh công có vị phu nhân là nàng Nam Tử, sai người nói với Khổng tử rằng: “Các bậc quân tử bốn phương nếu không cảm thấy nhục khi muốn làm anh em với vua nước tôi, ắt sẽ yết kiến phu nhân của vua tôi.
寡小君原见。”孔子辞谢，不得已而 见之。	Phu nhân của vua nước tôi muốn gặp ngài.” Khổng tử từ tạ, sau bất đắc dĩ phải bái kiến Nam Tử.
夫人在絺帷中。	Phu nhân ở trong bức màn mỏng.
孔子入门，北面稽首。	Khổng tử vào cửa, quay mặt về phía bắc dập đầu.
夫人自帷中再拜，环珮 玉声璆然。	Phu nhân trong màn vái hai vái, tiếng ngọc, vòng trang sức kêu leng keng.
孔子曰：“吾乡为弗见，见之礼答焉。”子 路不说。	[Ra về] Khổng tử nói: “Ta vốn không muốn đi gặp, khi gặp phu nhân dùng lễ ứng đáp.” Tử Lộ không vui.
孔子矢之曰：“予所不者，天厌之！天厌之！”居卫月馀，灵公与 夫人同车，宦者雍渠参乘，出，使孔子为次乘，招摇巿过之。	Khổng tử thề rằng: “Ta có điều gì không phải thì trời bỏ ta, trời bỏ ta!” Ở nước Vệ hơn một tháng, Linh công và phu nhân ngồi chung xe, hoạn quan là Ung Cừ làm Tham thừa hầu bên phải xe, ra ngoài cung, sai Khổng tử ngồi xe thứ hai, lượn lờ qua chợ.
孔子曰：“吾未见好 德如好色者也。”於是丑之，去卫，过曹。	Khổng tử nói: “Ta chưa thấy ai ham đức bằng ham sắc vậy.” Thế rồi xấu hổ về việc đó, bèn rời nước Vệ, qua nước Tào.
是 岁，鲁定公卒。	Vào năm này, Lỗ Định công chết.
孔子去曹適宋， 与弟子习礼大树下。	Khổng tử rời nước Tào sang nước Tống, cùng học trò tập lễ nghi dưới gốc cây lớn.
宋司马桓魋欲杀孔 子，拔其树。	Tư mã nước Tống là Hoàn Đồi định giết Khổng tử, chặt cây đó.
孔子去。	Khổng tử bỏ đi.
弟子曰：“可以速矣。”孔子曰：“天生德於 予，桓魋其如予何！”孔子適郑，与弟子相失，孔子独立郭东门。	Học trò nói: “Phải đi cho mau.” Khổng tử nói: “Trời sinh đức ở nơi ta, Hoàn Đồi làm gì được ta!” Khổng tử sang nước Trịnh, thầy trò lạc nhau, Khổng tử đứng một mình ở cổng thành phía đông.
郑人或谓子贡曰： “东门有人，其颡似尧， 其项类皋陶，其肩类子产，然自要以下不及禹三 寸。累累若丧家之狗。”子贡以实告孔子。	Có người nước Trịnh nói với Tử Cống rằng: “Ở của đông có một người, trán tựa Đế Nghiêu, cổ giống Cao Dao, vai tựa Tử Sản, nhưng từ thắt lưng trở xuống thì kém Hạ Vũ ba tấc, ngơ ngơ như chó nhà tang.” Tử Cống đem sự thực nói lại với Khổng tử.
孔子欣然笑曰：“形状，末也。而谓似丧家之狗，然哉！然哉！”孔子遂至陈，主於司城贞子家。	Khổng tử vui vẻ cười nói: “Hình dạng chỉ là phần ngọn, nhưng nói tựa chó nhà tang thì đúng lắm, đúng lắm!” Khổng tử bèn đến nước Trần, trú ở nhà Ty Thành Trinh tử.
岁馀，吴王夫差伐陈，取三邑而 去。	Được hơn một năm, Ngô vương Phù Sai đánh nước Trần, chiếm được ba ấp rồi rút về.
赵鞅伐朝歌。	Triệu Ưởng đánh Triều Ca.
楚围蔡，蔡迁于吴。吴败越王句践会稽。	Sở bao vây nước Sái, Sái dời sang đất Ngô, Nước Ngô đánh bại Việt vương Câu Tiễn Cối Kê.
有隼集于陈廷而死，楛矢贯之，石砮，矢长尺有咫。	Có con chim cắt chết ở sân triều đình nước Trần, bị mũi tên bằng gỗ cây hộ đâm xuyên qua, đầu mũi tên bằng đá, mũi tên dài một thước tám tấc.
陈湣公使使问仲尼。	Trần Mẫn công sai sứ giả đến hỏi Trọng Ni.
仲尼曰：“隼来远 矣，此肃慎之矢也。	Trọng Ni đáp: “Con chim cắt này đến từ phương xa, đây là mũi tên của người Túc Thận.
昔武王克商，通 道九夷百蛮， 使各以其方贿来贡， 使无忘职业。	Xưa kia, Vũ Vương diệt nhà Thương, mở thông đường đến Cửu di, Bách man, khiến các nơi mang sản vật địa phương đến cống, đặng không quên chức phận của mình.
於是肃慎贡楛矢石砮，长尺有咫。	Thế là người Túc Thận cống mũi tên gỗ hộ đầu bằng đá, dài một thước tám tấc.
先王欲昭其令 德，以肃慎矢分大姬，配虞胡公而 封诸陈。	Tiên vương muốn làm rạng tỏ đức tốt của mình, đem mũi tên của người Túc Thận ban cho Đại cơ, gả cho Ngu Hồ công rồi phân phong cho nước Trần.
分同姓以珍玉，展亲； 分异姓以远职，使无忘服。	Chia đồ ngọc quý cho người cùng họ, để tỏ tình thân; đem đồ cống của phương xa chia cho người khác họ, khiến họ không quên thần phục.
故分陈以肃慎矢。”试求之故府，果得之。	Cho nên đem mũi tên của người Túc Thận ban cho nước Trần.” Thử tìm mũi tên đó trong kho cũ, quả nhiên tìm được.
孔子居陈三岁，会晋楚争彊，更伐陈，及吴侵陈，陈常被寇。	Khổng tử ở nước Trần ba năm, đúng khi Tấn và Sở tranh cường, thay nhau đánh Trần, rồi nước Ngô cũng xâm chiếm nước Trần, nước Trần thường bị đánh cướp.
孔 子曰：“归与归与！	Khổng tử nói: “Về thôi, về thôi!
吾党之小子狂简，进取不忘其初。”於是孔子去 陈。	Các học trò quê ta có chí hướng cao xa nhưng hay khinh suất, có chí tiến thủ mà không quên ý hướng ban đầu.” Thế là Khổng tử rời nước Trần.
过蒲，会公叔氏以蒲畔，蒲人止孔子。	Qua đất Bồ, đúng lúc Công Thúc thị dựa vào đất Bồ để làm phản, người đất Bồ ngăn Khổng tử.
弟子有公良孺者，以私车 五乘从孔子。	Học trò là Công Lương Nhụ đem năm cỗ xe riêng đi theo Khổng tử.
其为人长贤，有勇力，谓曰：“吾昔从夫子遇难於匡， 今又遇难於此，命也已。	Công Lương Nhụ là người cao lớn, hiền năng, có khí lực, nói với Khổng tử rằng: “Trước kia con đi theo thầy, gặp nạn ở đất Khuông, nay lại gặp nạn ở đây, đó là mệnh vậy.
吾与夫子再罹难，宁斗而死。”斗甚疾。	Con cùng thầy lại mắc vào nạn này, thà chiến đấu rồi chết.” Chiến đấu rất quyết liệt.
蒲 人惧，谓 孔子曰：“苟毋適卫，吾出子。”与之盟，出孔子东门。	Người đất Bồ sợ, bảo Khổng tử rằng: “Nếu không sang Vệ thì chúng tôi để ông đi.” Cùng ăn thề với họ, họ cho Khổng tử ra cửa phía đông.
孔子遂適 卫。	Khổng tử bèn sang nước Vệ.
子贡曰：“盟可负邪？”孔子曰：“要盟也，神不听。”卫灵公闻孔子来，喜，郊迎。	Tử Cống hỏi: “Có thể làm trái lời thề sao?” Khổng tử đáp: “Bị ép phải thề, thần linh không nghe.” Vệ Linh công nghe tin Khổng tử đến, mừng lắm, ra ngoài thành đón.
问曰：“蒲可伐乎？”对 曰：“可。”灵公曰：“吾大夫以为不可。	Hỏi rằng: “Có thể đánh đất Bồ chăng?” Đáp rằng: “Có thể.” Linh công nói: “Các quan đại phu của ta cho là không thể.
今蒲，卫之所以待晋楚 也， 以卫伐之，无乃不可乎？”孔子曰：“其男子有死之志， 妇人有保西河 之志。	Nay đất Bồ là nơi nước Vệ ta dùng để chống lại Tấn và Sở, đem quân nước Vệ đi đánh đất Bồ, có lẽ là không nên chăng?” Khổng tử đáp: “Đàn ông ở đó có chí chết vì Vệ, đàn bà có người có chí giữ Tây Hà.
吾所伐者不过四五人。”灵公曰：“善。”然不伐蒲。	Người mà ta phải đánh bất quá chỉ bốn năm người thôi.” Linh công nói: “Phải.” Nhưng lại không đánh đất Bồ.
灵公老，怠於政，不用孔子。	Linh công già, trễ nải chính sự, không dùng Khổng tử.
孔子喟然叹曰：“苟有用我者，期 月而已，三年有成。”孔子行。	Khổng tử ngùi ngùi than rằng: “Nếu có người dùng ta, đầy tháng thì tàm tạm, ba năm có thành tựu.” Khổng tử lên đường [rời nước Vệ].
佛肸为中牟宰。	Bật Hật là quan tể ở Trung Mâu.
赵简子攻范、中行，伐中牟。	Triệu Giản tử tấn công họ Phạm và họ Trung Hàng, đánh Trung Mâu.
佛肸畔，使人召孔 子。	Bật Hật làm phản, sai người triệu Khổng tử.
孔子欲往。	Khổng tử muốn đến.
子路曰：“由闻诸夫子，‘其身亲为不善者，君子不 入也’。	Tử Lộ nói: “Do từng nghe phu tử nói 'người làm việc bất thiện thì bậc quân tử không vào đó'.
今佛肸亲以中牟畔，子欲往， 如之何？”孔子曰：“有是言也。	Nay Bật Hật đích thân đem Trung Mâu để làm phản, thầy muốn qua đó, tại sao vậy?” Khổng tử nói: “Ta có nói lời ấy.
不曰坚乎，磨而不磷；不曰白乎， 涅而不淄。	Chẳng cũng nói rằng: Cái gì bền chắc, mài cũng không mòn; cái gì vốn trắng, nhuộm cũng chẳng đen.
我岂匏瓜也 哉，焉能系而不食？”孔子击磬。	Ta há như quả bầu, chỉ buộc treo lên mà không ăn được ư?” Khổng tử gõ khánh.
有荷蒉而过门者，曰：“有心哉，击磬乎！	Có người mang sọt đi qua trước cổng, nói: “Người gõ khánh có tâm thay!
硜々乎，莫己知也夫而已矣！”孔子学鼓琴师襄子， 十日不进。	Cố chấp thay, người ta không biết đến mình thì thôi đi!” Khổng tử học đàn cầm từ thầy Tương tử, mười ngày không học thêm gì mới.
师襄子 曰：“可以益矣。”孔子曰：“丘已习其曲矣，未得其数也。”有 间，曰：“已习其数，可以益矣。”孔子曰：“丘未得其志也。”有 间，曰：“已习其志，可以益矣。”	Tương tử nói: “Có thể học thêm rồi.” Khổng tử nói: “Khâu đã thành thục khúc điệu rồi, nhưng chưa hiểu được số trong đó.” Một thời gian sau, thầy dạy nhạc nói: “Đã thành thục về số trong đó rồi, có thể học thêm.” Khổng tử nói: “Khâu chưa hiểu được cái chí trong đó.” Một thời gian, thầy dạy nhạc nói: “Đã thành thục cái chí trong đó rồi, có thể học thêm.” Khổng tử nói: “Khâu chưa hiểu được người làm ra khúc nhạc.” Một thời gian sau, có lúc Khổng tử thâm trầm ra chiều suy nghĩ sâu xa, có lúc vui vẻ như đang có hoài vọng cao vời, chí hướng xa xôi.
孔子曰：“丘未得其为人 也。”有间，有所穆然深思焉，有所怡然高望而远志焉。曰：“丘得 其为人，黯然而黑，几然而长， 眼如望羊， 如王四国，非文王其谁能为此也！”师襄子辟席再 拜，曰：“师盖云文王操也。”孔子既不得用於卫，将西见赵简子。	Nói: “Khâu biết người làm ra khúc nhạc rồi, người đó đen đen, cao cao, mắt nhìn xa xăm, như làm vua của các nước bốn phương, không phải Văn vương thì ai có thể làm được như thế?” Tương tử rời chiếu với hai vái, rồi nói: “Thầy tôi từng nói, đây là khúc đàn của Văn vương [Văn vương tháo] vậy.” Khổng tử không được dùng ở nước Vệ, định sang phía tây yết kiến Triệu Giản tử.
至於河而闻窦鸣犊、舜华 之死也，临河而叹 曰：“美哉水，洋洋乎！	Đến sông Hoàng Hà thì nghe tin về cái chết của Đậu Minh Độc và Thuấn Hoa, xuống sông Hoàng Hà rồi than rằng: “Nước sông đẹp thay, mênh mông thay!
丘之不济此，命也夫！”子贡趋而进 曰：“敢问何谓也？”孔子曰：“窦鸣犊，舜华，晋国之贤大夫也。	Khâu không qua sông này, đó là mệnh số chăng?” Tử Cống rảo bước tiến lên hỏi: “Dám hỏi sao thầy lại nói vậy?” Khổng tử đáp: “Đậu Minh Độc và Thuấn Hoa là các đại phu hiền năng của nước Tấn.
赵简子未得志之时，须此两人而后从政；及其已得志，杀之乃从政。	Lúc Triệu Giản tử chưa được đắc chí, cần hai người họ để sau này nắm chính quyền; đến khi đã được đắc chí, lại giết họ rồi nắm chính sự.
丘闻之也，刳胎杀夭则麒麟不至郊，竭泽涸渔则蛟龙不合阴阳， 覆巢毁卵则凤皇不翔。	Khâu nghe nói, mổ bụng lấy thai nhi, giết con non thì kỳ lân không đến ngoài thành, tát cạn đầm để bắt cá thì giao long không điều hòa âm dương, lật tổ hủy trứng thì phượng hoàng không bay liệng.
何 则？	Tại sao vậy?
君子讳伤其类也。	Người quân tử tránh chỗ làm thương hại kẻ giống mình.
夫鸟兽之於不义也尚知辟之，而况乎丘 哉！”乃还息乎陬乡，作为陬操 以哀之。	Xét lẽ, chim thú thấy kẻ bất nghĩa còn biết tránh đi, huống nữa là Khâu này!” Bèn về nghỉ ở hương Trâu, làm bản nhạc Trâu tháo để tỏ nỗi đau buồn.
而反乎卫，入主蘧伯 玉家。	Rồi trở về Vệ, vào trú ở nhà Cừ Bá Ngọc.
他日，灵公问兵陈。孔子 曰：“俎豆之事则尝闻之，军旅之事未之学也。”明日，与孔子 语，见蜚雁，仰视之，色不在孔子。	Ngày nọ, Linh công hỏi việc bày binh bố trận, Khổng tử nói: “Việc dâng đồ cúng tế thì thường nghe, việc quân lữ thì chưa từng học vậy.” Hôm sau, Linh công nói chuyện với Khổng tử, thấy có con nhạn bay qua, ngẩng lên nhìn, không để ý đến Khổng tử.
孔子遂行， 复如陈。	Khổng tử liền lên đường, trở lại nước Trần.
夏，卫灵公卒，立孙辄，是为卫出公。	Mùa hạ, Vệ Linh công chết, lập cháu nội là Triếp lên thay, đó là Vệ Xuất công.
六月，赵鞅内太子蒯聩于 戚。	Tháng Sáu, Triệu Ưởng đưa Thái tử Khoái Hội về ấp Thích.
阳虎使太子絻，八人衰绖，伪自卫迎者，哭而入，遂居焉。	Dương Hổ cho Thái tử mặc đồ tang, sai tám người mặc đồ tang khác, và từ nước Vệ đi nghinh đón, khóc mà vào ấp Thích, rồi ở lại đó.
冬， 蔡迁于州来。	Mùa đông, nước Sái dời đô đến Châu Lai.
是岁鲁哀公三年，而孔子年六十矣。	Năm này là năm Lỗ Ai công thứ ba, còn Khổng tử đã sáu mươi tuổi.
齐助卫围戚，以卫 太子蒯聩在故也。	Tề giúp Vệ bao vây ấp Thích, là vì Thái tử Khoái Hội đang ở đó vậy.
夏，鲁桓釐庙燔，南宫敬叔救火。	Mùa hạ, miếu thờ Hoàn công và Hy công nước Lỗ bị cháy, Nam Cung Kính Thúc đi cứu hỏa.
孔子在陈，闻之，曰：“灾必 於桓釐庙乎？”已而果然。	Khổng tử ở nước Trần, nghe tin đó, nói: “Hỏa tai nhất định là ở miếu thờ Hoàn công, Hy công chăng?” Sau quả nhiên là thế.
秋，季桓子病，辇而见鲁城，喟然叹曰：“昔此国几兴矣，以吾 获罪於孔子，故不兴也。”顾谓其嗣康子曰：“我即死，若必相鲁； 相鲁，必召仲尼。”後数日，桓子卒，康子代立。	Mùa thu, Quý Hoàn tử ốm, ngồi xe đi thăm thành trì nước Lỗ, ngùi ngùi than rằng: “Xưa kia, đất nước này cơ hồ hưng thịnh rồi, vì ta đắc tội với Khổng tử, cho nên không hưng thịnh được.” Quay lại nói với người kế tục mình là Khang tử rằng: “Ta chết đi, người nhất định làm Tướng quốc nước Lỗ; làm Tướng quốc nước Lỗ rồi, nhất định phải triệu Trọng Ni.” Mấy hôm sau, Hoàn tử chết, Khang tử lên thay.
已葬，欲召仲尼。	Sau khi an táng Hoàn tử xong, [Khang tử] định triệu Trọng Ni.
公之鱼曰：“昔吾先君用之不终，终为诸侯笑。	Công Chi Ngư nói: “Trước đây, tiên quân ta dùng Khổng tử không trọn, rốt cuộc bị chư hầu chê cười.
今又用之，不能终， 是再为诸侯笑。”康子曰：“则谁召而可？”曰：“必召厓求。”於 是使使召厓求。	Nay lại dùng ông ta, dùng không trọn, thế thì lại bị chư hầu cười.” Khang tử nói: “Vậy thì nên triệu người nào?” Đáp: “Nhất định phải triệu Nhiễm Cầu.” Thế là sai sứ triệu Nhiễm Cầu.
厓求将行，孔子曰：“鲁人召求，非小用之，将大用 之也。”是日，孔子曰：“归乎归乎！	Nhiễm Cầu sắp lên đường, Khổng tử nói: “Người Lỗ triệu Cầu, không phải dùng vào việc nhỏ, sẽ dùng vào việc lớn đấy.” Hôm đó, Khổng tử nói: “Về thôi, về thôi!
吾党之小子狂简，斐然成章，吾不知所以裁之。”子赣知孔子思归，送 厓求，因诫曰“即用，以孔子为招”云。厓求既去，明年，孔子自陈迁于蔡。	Các học trò quê ta chí hướng cao xa nhưng hay khinh suất, tuy giỏi văn chương nhưng không biết dùng cách gì để tự chế ước.” Tử Cống biết ý Khổng tử muốn về, khi tiễn Nhiễm Cầu lên đường, nhân đó dặn rằng: “Nếu được trọng dụng, hãy khiến phu tử được mời.” Sau khi Nhiễm Cầu đi, năm sau, Khổng tử từ nước Trần chuyển qua nước Sái.
蔡昭公将如吴，吴召之也。	Sái Chiêu công sắp sang Ngô, vì nước Ngô triệu mời Sái Chiêu công.
前昭公欺其臣迁州来，後将往，大夫惧复迁，公孙翩射杀昭公。	Trước đây, Chiêu công lừa các bề tôi dời đô đến Châu Lai, lần này định đi, các đại phu sợ lại dời đô, Công Tôn Phiên bắn chết Chiêu công.
楚侵蔡。	Nước Sở xâm chiếm nước Sái.
秋，齐景公卒。	Mùa thu, Tề Cảnh công chết.
明年，孔子自蔡如叶。	Năm sau, Khổng tử từ nước Sái sang đất Diệp.
叶公问政，孔子曰：“政在来远附 迩。”他日，叶公问孔子於子路，子路不对。	Diệp công hỏi về chính sự, Khổng tử đáp: “Chính sự cốt ở việc người xa tìm đến, người gần theo về.” Hôm khác, Diệp công hỏi Tử Lộ về Khổng tử, Tử Lộ không đáp.
孔子闻之， 曰：“由，尔何不对曰‘其为人也，学道不倦，诲人不厌，发愤忘 食，乐以忘忧，不知老之将至’云尔。”去叶，反于蔡。	Khổng tử nghe nói việc ấy, nói: “Trò Do, sao con không đáp rằng 'Người ấy học đạo không biết mệt, dạy người không biết chán, khi chưa hiểu về đạo thì phát phẫn đến mức quên ăn, [khi đã hiểu về đạo thì] vui sướng đến quên lo buồn, không biết tuổi già đến nơi'...” [Khổng tử] rời đất Diệp, quay lại nước Sái.
长沮、桀溺耦而耕，孔子以为隐者，使子路问津 焉。长沮曰：“彼执舆者为 谁？”子路曰：“为孔丘。”曰：“是鲁孔丘 与？”曰：“然。”	Trường Thư, Kiệt Nịch cùng cày ruộng, Khổng tử cho họ là người ở ẩn, sai Tử Lộ đến hỏi bến đò.
曰：“是知津矣。”	
桀溺谓子路曰：“子为谁？”曰：“为仲由。”曰：“子， 孔丘之徒与？”曰：“然。”桀溺曰：“悠悠者天下皆是也，而谁以 易之？	Trường Thư hỏi: “Người cầm cương ngựa kia là ai thế?” Tử Lộ đáp: “Là Khổng Khâu.” Hỏi: “Là Khổng Khâu nước Lỗ à?” Đáp: “Phải.” Nói: “Vậy thì biết bến đò ở đâu rồi.” Kiệt Nịch hỏi Tử Lộ: “Anh là ai?” Đáp: “Là Trọng Do.” Hỏi: “Anh là học trò của Khổng Khâu phải không?” Đáp: “Phải.” Kiệt Nịch nói: “Mênh mang bất định, thiên hạ đều thế cả, ai mà thay đổi được?
且与其从辟人之士，岂若从辟世之士哉！”櫌而不辍。	Còn như theo kẻ sĩ lánh người, há bằng theo kẻ sĩ lánh đời!” [Nói xong] lại mải miết cày ruộng.
子路以告孔子，孔子怃然 曰：“鸟兽不可与同群。	Tử Lộ nói lại chuyện ấy với Khổng tử, Khổng tử bùi ngùi nói: “Không thể sống chung với chim thú được.
天下有道，丘不与易也。”他日，子路行，遇荷丈人， 曰：“子见夫子乎？”丈人曰：“四体不勤，五穀不分，孰为 夫子！”植其杖而芸。	Thiên hạ có đạo thì Khâu này đâu phải thay đổi nữa.” Hôm khác, Tử Lộ đi đường, gặp một ông lão mang trên lưng chiếc sọt đựng cỏ, Tử Lộ hỏi: “Cụ có thấy thầy tôi không?” Ông lão đáp: “Chân tay không làm lụng, ngũ cốc không phân biệt được, ai là thầy của cậu!” Nói xong cắm gậy xuống đất rồi cắt cỏ.
子路以 告，孔子曰：“隐者也。”复往，则亡。	Tử Lộ đem chuyện ấy nói lại, Khổng tử nói: “Đó là ẩn sĩ vậy.” Lại qua đó, thì ông lão đã đi mất.
孔子迁于蔡三岁，吴伐陈。	Khổng tử rời đến nước Sái được ba năm, nước Ngô đánh nước Trần.
楚救陈， 军于城父。	Sở cứu nước Trần, đóng quân ở Thành Phủ.
闻孔子在陈蔡之间，楚使人聘孔子。孔子将往拜 礼，陈蔡大夫谋曰：“孔子贤者，所刺讥皆中诸侯之疾。	Nghe nói Khổng tử đang ở vùng nước Trần nước Sái, nước Sở sai người đem lễ vật đến mời Khổng tử. Khổng tử định qua đáp lễ, các đại phu nước Trần và nước Sái bàn mưu rằng: “Khổng tử là người hiền, điều ông ta phê phán đều đúng thói tệ của chư hầu.
今者久留陈 蔡之间，诸大夫所设行皆非仲尼之意。	Nay lưu lại lâu ở vùng nước Trần nước Sái, những việc các đại phu thi hành đều không phải chú ý của Trọng Ni.
今楚，大国也，来聘孔子。	Nay Sở là nước lớn, đem lễ đến mời Khổng tử.
孔 子用於楚，则陈蔡用事大夫危矣。”於是乃相与发徒役围孔子於野。	[Nếu] Khổng tử được trọng dụng ở Sở thì các đại phu chấp chính Trần và Sái nguy mất.” Thế là bèn cùng cho đồ đảng, đầy tớ bao vây Khổng tử ngoài đồng.
不得行，绝粮。	Khổng tử không đi được, lương lại hết.
从者病，莫能兴。	Người đi theo bị ốm, không ai dậy nổi.
孔子 讲诵弦歌不衰。	Khổng tử vẫn giảng đọc, đàn ca không ngừng.
子路愠见曰：“君子亦有穷乎？”孔子曰：“君子固 穷，小人穷斯滥矣。”子贡色作。	Tử Lộ bức xúc đến hỏi: “Người quân tử cũng có lúc khốn cùng ư?” Khổng tử đáp: “Quân tử khốn cùng thì càng giữ bền chắc, tiểu nhân gặp khốn cùng thì sẽ làm bừa.” Tử Cống mặt biến sắc.
孔子曰：“赐，尔以予为多学而识之者 与？”曰：“然。	Khổng tử nói: “Này Tứ, con cho là ta học nhiều mà biết phải không?” Tử Cống đáp: “Vâng.
非与？”孔子曰：“非也。	Chẳng phải thế ư?” Khổng tử nói: “Không phải đâu.
予一以贯之。”孔子知弟子有愠心，乃召子路而问曰：“诗云‘匪兕匪虎，率彼 旷野’。	Ta lấy một mà quán thông hết thảy.” Khổng tử biết học trò mình trong lòng ấm ức, bèn triệu Tử Lộ đến hỏi: “Kinh Thi viết: 'Chẳng phải tê giác, chẳng phải hổ, thảy đồng rộng.'
吾道非邪？	Đạo ta sai ư?
吾何为於此？”子路曰：“意者吾未仁邪？	Sao ta phải rơi vào cảnh này?” Tử Lộ thưa: “Ý chừng vì ta chưa Nhân chăng?
人之不我信也。	Cho nên người ta chưa tin ta.
意者吾未知邪？	Ý chừng vì ta chưa Trí chăng?
人之不我行也。”孔子曰：“有是 乎！	Cho nên người ta chưa cho ta đi.” Khổng tử nói: “Có chuyện ấy ư!
由，譬使仁者而必信，安有伯夷、叔齐？	Này trò Do, ví phỏng người Nhân ắt được tin tưởng, sao lại có chuyện của Bá Di, Thúc Tề?
使知者而必行，安有王子比干？”	Ví phỏng người Trí ắt được cho đi, sao còn có chuyện của Vương tử Tỷ Can?” .
子路出，子贡入见。	Tử Lộ đi ra, Tử Cống vào gặp.
孔子曰：“赐，诗云‘匪兕匪虎，率彼旷 野’。	Khổng tử nói: “Này trò Tú, Kinh Thi viết 'Chẳng phải tê giác, chẳng phải hổ, thảy ở đồng rộng.'
吾道非邪？	Đạo ta sai ư?
吾何为於此？”子贡曰：“夫子之道至大也，故天 下莫能容夫子。	Sao ta phải rơi vào cảnh này?” Tử Cống đáp: “Đạo của phu tử quá lớn, cho nên thiên hạ không ai có thể dung được phu tử.
夫子盖少贬焉？”孔子曰：“赐，良农能稼而不能为 穑， 良工能巧而不能为顺。	Phu tử nên chăng hạ bớt xuống một chút?” Khổng tử nói: “Tứ này, người giỏi nghề nông có khi gieo hạt mà không chắc được gặt, người thợ giỏi có khi khéo léo mà không khiến người ta vừa ý.
君子能脩其道，纲而纪之，统而理之，而不能为容。	Người quân tử có khi giỏi trau dồi đạo học, đưa mọi việc vào khuôn phép, thống suất mọi việc để trị lý, thế mà không được dung nạp.
今尔不 脩尔道而求为容。	Nay con không trau dồi đạo của mình mà mong người ta dung nạp.
赐，而志不远矣！”子贡出，颜回入见。孔子曰：“回，诗云‘匪兕匪虎，率彼旷 野’。	Tứ này, chí của con không phải cao xa đâu!” Tử Cống đi ra, Nhan Hồi vào gặp, Khổng tử nói: “Này trò Hồi, Kinh Thi viết 'Chẳng phải tê giác, chẳng phải hổ, thảy ở đồng rộng'.
吾道非邪？	Đạo ta sai ư?
吾何为於此？”颜回曰：“夫子之道至大，故天下 莫能容。	Sao ta phải rơi vào cảnh này?” Nhan Hồi nói: “Đạo của phu tử rất rộng, cho nên thiên hạ không thể dung nạp.
虽然，夫子推而行之，不容何病，不容然後见君子！	Thế nhưng, phu tử cứ thúc đẩy rồi thi hành theo đó, không dung nạp thì có sao đâu, không dung nạp thì về sau càng tỏ rõ tài năng của quân tử!
夫道之 不脩也，是吾丑也。	Xét lẽ, đạo không trau dồi, là nỗi hổ thẹn của ta.
夫道既已大脩而不用，是有国者之丑也。	Đạo được trau dồi hoàn bị mà không được dùng, là nỗi hổ thẹn của người có đất nước.
不容何 病，不容然後见君子！”孔子欣然而笑曰：“有是哉颜氏之子！	Không dung nạp thì có hại gì, không dung nạp thì sau càng thấy rõ phẩm hạnh của người quân tử!” Khổng tử vui vẻ cười nói: “Đúng đấy hỡi người con họ Nhan!
使尔 多财，吾为尔宰。”於是使子贡至楚。	Giả sử ngươi có nhiều của cải, ta sẽ làm người cai quản cho ngươi.” Thế rồi [Khổng tử] sai Tử Cống sang nước Sở.
楚昭王兴师迎孔子，然後得免。	Sở Chiêu vương đem quân đón Khổng tử, nhờ đó mới thoát được.
昭王将以书社地七百里 封孔子。	Chiêu vương định đem bảy trăm lý trên sổ sách phân phong cho Khổng tử.
楚令尹子西 曰：“王之使使诸侯有如子贡者乎？”曰：“无有。”“王之辅相有 如颜回者乎？”曰：“无有。”“王之将率有如子路者 乎？”	Lệnh doãn nước Sở là Tử Tây nói: “Sứ giả của nhà vua đi sứ chư hầu có ai như Tử Cống không?” Chiêu vương đáp: “Không có.” “Bề tội phụ tá nhà vua có ai được như Nhan Hồi không?” Chiêu vương đáp: “Không có.” “Tướng soái của nhà vua có ai như Tử Lộ không?” Đáp rằng: “Không có.” “Các quan của nhà vua có ai như Tể Dư không?” Đáp rằng: “Không có.” “Ngay như tổ tiên nước Sở được phong ở đất Chu, tước phong là Tử, là Nam, với năm mươi dặm đất.
