趙紀.	Kỷ nhà triệu.
乙丑,[隋煬帝廣,大業元年].	Ất sửu, (tuỳ dạng đế quảng, đại nghiệp năm thứ nhất).
春,正月,劉方新平我土,隋群臣有言林邑多奇寶者.	Mùa xuân, tháng giêng, lưu phương mới dẹp yên nước ta, bầy tôi nhà tuỳ có người nói nước lâm ấp có nhiều báu lạ.
隋帝乃授方驩州道行軍總𬋩,經畧林邑.	Vua tuỳ bèn cho phương làm hoan châu đạo hành quân tổng quản, đi kinh lược nước lâm ấp.
方遣欽州刺史寗長真等,以步騎萬餘出越裳.	Phương sai bọn thứ sử khâm châu là nịnh trường chân đem quân bộ và quân kỵ hơn một vạn xuất phát từ việt thường.
方親率大將軍張愻[蘇困切]等以舟師出比境[漢縣属日南郡,隋置比境郡].	Phương thân dẫn bọn đại tướng quân trương tốn đem thuỷ quân xuất phát từ quận tỷ cảnh (huyện của nhà hán, thuộc quận nhật nam; nhà tuỳ đặt quận tỷ cảnh).
是月,軍至海口.	Tháng ấy quân đến cửa biển.
三月,林邑王梵.	Tháng ba, vua lâm ấp là phạn
志遣兵守險,劉方擊走之.	Chí sai quân ra giữ nơi hiểm yếu, bị lưu phương đánh tan chạy.
師度闍黎江.	Quân của phương qua sông chà lê.
林唈兵乘巨象四靣而至,方戰不利乃多掘小坑,草襨其上,以兵挑之,既戰佯比.	Quân lâm ấp cưỡi voi lớn từ bốn mặt kéo đến, quân của phương đánh không lợi bèn đào nhiều hố nhỏ, phủ cỏ lên trên, cho quân khiêu chiến, đang đánh giả thua chạy.
林邑人逐之,象多陷坑顛躓轉將驚駭,軍遂乱.	Quân lâm ấp đuổi theo, voi phần nhiều sụp hố ngã nhào, nhốn nháo kinh hãi, quân trở nên rối loạn.
方以弩射象,却走躁其陣.	Phương cho dùng nỏ bắn voi, voi lùi chạy, xéo giẫm vào hàng trận.
因以銳師繼之.	Phương nhân đó cho quân tinh nhuệ đuổi theo.
林邑大敗,俘馘萬計.	Quân lâm ấp thua to, bị bắt, bị chém kể hàng vạn.
方進追之,屢戰皆捷,過馬援銅柱南,八日至其國都.	Phương tiến quân đuổi theo, mấy trận đều được cả, qua phía nam cột đồng mã viện, đi tám ngày nữa đến quốc đô lâm ấp.
夏,四月,梵志棄城走入海.	Mùa hạ, tháng bốn, phạn chí bỏ thành chạy ra biển.
方入城獲廟主十八皆鑄金為之[有國十八葉.也]	Phương vào thành lấy được mười tám bộ thần chủ trong miếu đều đúc bằng vàng (tức là mười tám đời vua), khắc đá ghi công rồi về.
士卒腫足,死者十四五.	Binh sĩ thũng chân, mười phần chết đến bốn năm phần.
方亦得疾死于道.	Phương cũng bị ốm, chết dọc đường.
史臣吳士連曰:林邑自取敗亡,有由來矣.	Sử thần ngô sĩ liên nói: lâm ấp tự chuốc bại vong là có nguyên do.
自范胡達之𨺻日南,九真,寇交州為晋杜瑗擊破,曾不是懲.	Từ khi phạm hồ đạt đánh chiếm nhật nam, cửu chân, cướp phá giao châu, bị đỗ viện nhà tấn đánh tan, mà không từng lấy đó làm răn.
今年寇九真,明年寇交州.	Năm nay cướp cửu chân, sang năm lại cướp giao châu.
杜慧度又破之,所殺過半矣.	Đỗ tuệ độ lại đánh tan, giết hết quá nửa.
陽邁又寇九德,宋檀和之討服其罪.	Dương mại lại cướp cửu đức, bị đàn hoà chi nhà tống đánh cho phải phục tội.
雖遣使入貢,而盜寇如初.	Tuy có sai sứ vào cống nhưng vẫn cướp phá như cũ.
宗慤,和之長驅,克林邑.	Tông xác và hoà chi đuổi dài, thắng được lâm ấp.
陽邁幸脱虎口,挺身而走.	Dương mại may thoát khỏi miệng hùm, văng mình bỏ chạy.
自是南海澄波,󰱃幾求戒矣.	Từ đấy, biển nam sóng lặng, tưởng chừng mãi mãi lấy đó làm răn.
范志繼立又寇日南,范脩破于九德,終後南帝之世不敢北窺中州,而其國亦段富矣.	Nhưng phạm chí nối ngôi, lại ra cướp nhật nam, bị phạm tu đánh tan ở cửu đức, suốt cả đời hậu nam đế không dám dòm ngó đất trung châu phía bắc nữa, mà nước họ cũng được giàu thịnh.
至是,隋人貪其寶貨,興師伐之,踣其國.	Đến đây người tuỳ tham của báu, cất quân đi đánh, giày xéo quốc
都,汙其室宫,雖曰貪暴之師,而蠻夷猾夏者亦可以懲矣.	Đô, làm dơ bẩn cung điện, tuy gọi là quân tham bạo, nhưng bọn man di quấy nhiễu trung châu cũng có thể lấy làm răn.
戊寅,[唐髙祖李渊,武德元囝].	Mậu dần, (đường cao tổ lý uyên, vũ đức năm thứ nhất).
夏,四月,欽州刺史寗長真以鬱林,始安之地附於蕭銑.	Mùa hạ, tháng bốn, thứ sử khâm châu là nịnh trường chân đem đất uất lâm và thuỷ an phụ theo tiêu tiển.
漢陽太守馮盎以蒼梧,髙要,珠崖,番禺之地附於林士弘.	Thái thú hán dương là phùng áng đem đất thương ngô, cao yếu, châu nhai, phiên ngung phụ theo lâm sĩ hoằng.
銑士弘各遣人招交州太守丘和,和不從.	Tiển và sĩ hoằng đều sai người sang chiêu dụ thái thú giao châu là khâu hoà, hoà không theo.
銑遣長真帥領南兵自海道攻和.	Tiển sai trường chân đem quân lĩnh nam đi đường biển đến đánh hoà.
司法書佐髙士廉説和曰:"長真兵數雖多,懸軍遠來,粮少,不䏻持久.	Hoà muốn đón hàng, tư pháp thư tá là cao sĩ liêm bảo hoà rằng: " quân của trường chân tuy nhiều, nhưng quân cô từ xa đến, lương thực ít, tất không thể cầm giữ lâu, quân giỏi trong thành cũng đủ đương được, việc gì mới nghe hơi đã vội chịu theo người ".
和從之,以士廉為.	Hoà nghe theo, lấy sĩ liêm làm
行軍司馬,將水陸諸營逆擊,破之.	Hành quân tư mã, đem các doanh thuỷ bộ đón đánh, phá tan quân.
長真僅以身免,盡俘其眾.	Trường chân chỉ chạy thoát một mình, quân lính bị bắt hết.
和乃築子城[城内小城也],周回九百步以禦之.	Hoà lại đắp tử thành (tức thành nhỏ bên trong thành), chu vi chín trăm bước để chống giữ.
及隋亡,納欵於唐.	Đến khi nhà tuỳ mất, hoà hàng phục nhà đường.
唐詔李道祐持節授和交州太總管,爵譚國公.	Vua đường sai lý đạo hựu mang cờ tiết sang cho hoà làm giao châu đại tổng quản, tước đàm quốc công.
和遣士廉奉表請入朝.	Hoà sai sĩ liêm dâng biểu xin vào chầu.
詔𭛁師迎之.	Vua đường xuống chiếu sai quân đi đón.
是歲隋亡.	Năm này nhà tuỳ mất.
壬午,[唐武德五年].	Nhâm ngọ, (đường vũ đức năm thứ năm).
初,隋末,丘和為交趾太守,恃隋威勢,廵邊徼諸溪洞,居州凡六十年餘,林邑諸國遣和明珠,文犀,今寶,故和富埒王者.	Trước đây, cuối thời nhà tuỳ, khâu hoà làm thái thú giao châu, cậy uy thế của nhà tuỳ, thường đi tuần các khe động ở biên giới, ở châu hơn sáu mươi năm, lâm ấp và các nước tặng cho hoà những ngọc minh châu, sừng tê văn và vàng bạc của báu, cho nên hoà giàu như vương giả.
是歳,唐改交趾曰安南都護府.	Năm này nhà đường đổi giao châu làm an nam đô hộ phủ.
戊子,[唐太宗世民,貞觀二年].	Mậu tý, (đường thái tông thế dân, trinh quán năm thứ hai).
唐宗室李壽為交趾都督,貪墨得罪.	Tông thất nhà đường là lý thọ làm đô đốc giao châu tham ô phải tội.
唐帝以嬴州刺使盧祖尚,才兼文武,徵入朝諭曰:"交趾久不得人,前後都督皆不稱職.	Vua đường thấy thứ sử doanh châu là lư tổ thượng có tài gồm văn võ, gọi vào triều, dụ rằng: " giao châu đã lâu không được người giỏi, các đô đốc trước sau đều không xứng chức.
為我鎮之,勿以道遠為辭".	Khanh có tài lược dẹp yên biên giới, hãy vì ta sang trấn đất ấy, chớ lấy đường xa mà từ chối ".
祖尚拜謝,既而復悔,以疾辭.	Tổ thượng lạy tạ, rồi lại hối, lấy cớ đau ốm mà từ chối.
唐帝遣杜如晦諭㫖.	Vua đường sai đỗ như hối bảo cho tổ thượng biết ý vua.
固辭.	Tổ thượng vẫn cố từ.
又遣其妻兄周範往諭之曰:"匹夫相許猶䏻存信,卿靣許朕𡸈得皆之?	Lại sai chu phạm là anh vợ của tổ thượng đến dụ rằng: " người thường đã hứa với nhau còn biết giữ chữ tín, khanh đã hứa trước mặt trẫm, há trái lời hay sao?
宜可早行,三年必召,朕不食言".	Nên sớm lên đường, sau ba năm tất gọi về, trẫm không nuốt lời ".
對曰:"嶺南瘴癘,去無還理".	Tổ thượng trả lời rằng: " đất lĩnh nam lam chướng, dịch lệ, đó là cái lẽ đã ra đi thì không trở về ".
唐帝怒曰:"我使人不行,何以為政命?	Vua đường tức giận nói: " ta sai người không đi, còn làm chính lệnh thế nào được nữa ".
斬於朝堂.	Sai chém ngay ở triều đường.
尋悔,復其官蔭.	Sau hối lại, cho khôi phục quan tước và ấm phong.
史臣吳士連曰:君使臣以禮,臣事君以中.	Sử thần ngô sĩ liên nói: vua sai bề tôi lấy lễ, bề tôi thờ vua lấy trung.
唐太宗使臣不行,諭之至再,可謂有禮也.	Đường thái tông sai bề tôi không chịu đi, dỗ đến hai lần, có thể gọi là có lễ.
祖尚於王事辭難,失節矣;既許復悔,失信矣;言辭憤激,失禮矣.	Tổ thượng được vua sai lại tránh khó nhọc, thế là thất tiết; đã nhận rồi lại hối, thế là thất tín; lời nói giận dỗi, thế là thất lễ.
太宗殺之雖過,而祖尚具此三失,罪何如哉?	Thái tông giết đi, tuy là quá, song tổ thượng đủ ba lỗi ấy, thì tội ra sao?
乙未,[唐貞觀九年].	Ất mùi, (đường trinh quán năm thứ chín).
唐宗室李道興為交州都督,以瘴癘卒于官.	Tông thất nhà đường là lý đạo hưng làm đô đốc giao châu vì bệnh chướng khí chết ở nơi làm quan.
丁亥,[唐中宗哲,嗣聖四年].	Đinh hợi, (đường trung tông triết, tự thánh năm thứ bốn).
秋,七月,嶺南俚戶舊輸半課,都護劉延祐使之全輸.	Mùa thu, tháng bảy, các hộ người lý ở lĩnh nam theo như lệ cũ nộp nửa thuế, đô hộ lưu diên hựu bắt phải nộp cả.
俚戶始怒,謀作亂.	Các hộ người lý mới oán giận, mưu làm loạn.
李嗣先為謀.	Lý tự tiên làm
主,延祐殺之.	Chủ mưu, diên hựu giết đi.
其餘黨丁建等合眾園府城.	Dư đảng là bọn đinh kiến họp quân vây phủ thành.
城中兵少不支,󰞿壘待援.	Trong thành binh ít không chống nổi, đóng cửa thành cố giữ để đợi quân cứu viện.
廣州大族馮子由幸立功,按兵不出.	Đại tộc ở quảng châu là phùng tử do muốn lập công, đóng quân không đến cứu, kiến giết diên hựu.
後桂州司馬曹直静攻建殺之.	Sau tư mã quế châu là tào trực tĩnh đánh giết được kiến.
壬戌,[唐玄宗,隆基,開元十年].	Nhâm tuất, (đường huyền tông, long cơ, khai nguyên năm thứ mười).
賊帥梅叔鸞㨿州,稱黑帝,外結林邑,真臘人等,眾號三十萬.	Tướng giặc là mai thúc loan chiếm giữ châu, xưng là hắc đế, bên ngoài liên kết với người lâm ấp, chân lạp, số quân nói là ba mươi vạn.
唐帝遣内侍左監門衛將軍楊思朂,都護元楚客討平之.	Vua đường sai nội thị tả giám môn vệ tướng quân là dương tư húc và đô hộ là nguyên sở khách đánh dẹp yên được.
戊戌,[唐肅宗亨,至德三年].	Mậu tuất, (đường túc tông hanh, chí đức năm thứ ba).
唐改安南都護府曰鎮南都護府.	Nhà đường đổi an nam đô hộ phủ làm trấn nam đô hộ phủ.
丁未,[唐代宗豫,大曆二年].	Đinh mùi, (đường đại tông dự, đại lích thứ hai).
崑崙,闍婆來寇,攻𨺻州城.	Côn lôn, chà bà đến cướp, đánh lấy châu thành.
經畧使張伯儀求援於武定都尉髙正平.	Kinh lược sứ trương bá nghi cầu cứu với đô uý châu vũ định là cao chính bình.
援兵至,破崑崙.	Quân cứu viện đến, đánh tan quân côn lôn
闍婆軍於朱鳶.	Chà bà ở chu diên.
伯儀更築羅城.	Bá nghi đắp lại la thành.
時有全節婦者交州,󰘍齊亮母也,常以忠義誨亮,亮頑狠不聽,遂絶之,自田而食,自織而衣,州里法焉.	Khi ấy có người tiết phụ họ toàn là mẹ của đào tề lượng ở giao châu, thường lấy trung nghĩa dạy lượng, nhưng lượng ngoan cố không chịu nghe, mới dứt tình với con, tự cày lấy mà ăn, dệt lấy mà mặc, người trong làng xóm đều noi theo.
唐帝詔賜两丁侍養,令本道四時撫問.	Vua đường xuống chiếu cho hai người đinh đến hầu nuôi, sai quan bản đạo bốn mùa đến thăm hỏi.
戊申,[唐大曆三年].	Mậu thân, (đường đại lịch năm thứ ba).
唐復交州為安南都護府.	Nhà đường đổi giao châu làm an nam đô hộ phủ.
甲子,[唐德宗适,興元元年].	Giáp tý, (đường đức tông quát, hưng nguyên năm thứ nhất).
九真姜公輔仕于唐,第進士,補校書郎.	Người quận cửu chân là khương công phụ làm quan thời đường, đậu tiến sĩ, bổ làm hiệu thư lang.
以制策異等,授右拾遺翰林學士,兼京兆戶曹參軍,嘗請誅朱泚,唐帝不從.	Vì có bài chế sách hơn người, cho làm hữu thập di hàn lâm học sĩ, kiêm chức kinh triệu hộ tào tham quân, từng xin giết chu thử, vua đường không nghe.
俄而京師亂,唐帝自苑門出,公輔又叩馬諫曰:"泚嘗帥涇原,得士心,.	Không bao lâu kinh sư có loạn, vua đường từ cửa thượng uyển đi ra, công phụ giữ ngựa lại can rằng: " chu thử từng làm tướng ở đất kinh đất nguyên, được lòng quân lính
以朱滔叛奪其兵權,居常怫鬱,請馳捕以從,無為群兇兒得之".	Vì chu thao làm phản nên bị vua cất mất binh quyền, ngày thường vẫn uất ức, xin cho bắt đem đi theo, chớ để cho bọn hung ác đón được ".
唐帝倉卒不及聽,既行欲駐鳳翔倚張鎰.	Vua đường đương lúc vội vàng không kịp nghe, trên đường đi lại muốn dừng lại ở phượng tường để nương nhờ trương dật.
公輔曰:"鎰雖信臣,然文吏也,所領皆朱泚部曲漁陽突騎.	Công phụ can rằng: " dật tuy là bề tôi đáng tin cậy, nhưng là quan văn, quân đột kỵ ở ngư dương do ông ta quản lĩnh đều là bộ khúc của chu thử.
泚若直趍涇原為變,非萬全策也".	Nếu thử thẳng đến kinh nguyên làm loạn, thì ở nơi ấy không phải kế vạn toàn ".
遂之奉天.	Vua đường bèn đi sang phụng thiên.
有言泚反者,請為守備.	Có người báo tin thử làm phản, xin vua phòng bị.
唐帝聽盧杞之訁,詔諸道兵距城一舍而止,欲待泚奉迎.	Vua đường nghe lời lư kỷ xuống chiếu cho quân các đạo đóng cách xa thành một xá, muốn đợi thử đến đón.
公輔曰:"王者不嚴武備無以重威靈.	Công phụ nói: " bậc vương giả không nghiêm việc vũ bị thì lấy gì để oai linh được trọng.
今禁旅單寡而士馬處外,臣為陛下危之".	Nay cấm binh đã ít người mà quân lính người ngựa đều ở bên ngoài, thần lấy làm nguy cho bệ hạ lắm ".
泚兵果至如所言.	Quân của thử quả nhiên kéo đến, đúng như lời của công phụ.
乃擢為諫議大夫,同中書門下平章事.	Vua đường bèn thăng cho phụ làm gián nghị đại phu, đồng
諫厚塟唐安公主,忤㫖,陸贄爲奏觧之,不能回,竟下遷太子左庶子,又貶泉州别駕.	Vì việc can vua chôn cất công chúa đường an quá hậu, trái ý vua, lục chí tâu gỡ cho, nhưng không được, cuối cùng vẫn phải xuống chức làm thái tử tả thứ tử, lại bị biếm là tuyền châu biệt giá.
唐順宗即位,拜吉州刺史,未就官卒.	Đường thuận tông lên ngôi, cho làm thứ sử cát châu, chưa đến nơi nhận chức thì chết.
弟姜公復亦舉進士,終北部侍郎.	Em là khương công phục cũng đậu tiến sĩ, làm quan đến chức bắc bộ thị lang một trăm bảy mươi lăm.
辛未,[唐貞元七年].	Tân mùi, (đường trinh nguyên năm thứ bảy).
春,安南都護府髙正平為政重歛.	Mùa xuân, an nam đô hộ phủ là cao chính bình làm việc quan bắt dân đóng góp nặng.
夏,四月,交州唐林人[唐林在福祿縣]馮興起兵圍府.	Mùa hạ, tháng bốn, người ở đường lâm thuộc giao châu (đường lâm thuộc huyện phúc lộc) một trăm bảy mươi sáu là phùng hưng dấy binh vây phủ.
政平以憂子.	Chính bình lo sợ mà chết.
先是馮興豪富,有勇力,能排牛搏虎.	Trước đây phùng hưng vốn là nhà hào phú, có sức khoẻ, có thể vật trâu, đánh hổ.
於唐代宗大曆中,因交州亂,與其弟駭相率復諸隣邑,興號都君,駭號都保,與正平相攻,久不能克.	Khoảng niên hiệu đại lịch (bảy trăm sáu mươi sáu - bảy trăm tám mươi ] đời đường đại tông, nhân giao châu có loạn, cùng với em là hãi hàng phục được các ấp bên cạnh, hưng xưng là đô quân, hãi xưng là đô bảo, đánh nhau với chính bình, lâu ngày không thắng được.
本鄕人杜英翰計,率眾圍府.	Kế của người làng là đỗ anh hàn, đem quân vây phủ.
正平憂憤成疾𭛁背死.	Chính bình lo sợ phẫn uất thành bệnh ở lưng mà chết.
因居府治,未幾卒.	Hưng nhân đó vào đóng ở phủ trị, chưa được bao lâu thì chết.
子安尊為布盖大王[俗謂父曰布,母曰盖故以為名焉].	Con là an tôn xưng làm bố cái đại vương (tục gọi cha là bố, mẹ là cái, cho nên lấy làm hiệu).
王能顯靈異,眾以為神,乃於都府之西立祠,歳時奉祀[即孚佑彰信崇義布盖大王.	Vương thường hiển linh, dân cho là thần, mới làm đền thờ ở phía tây phủ đô hộ, tuế thời cúng tế (tức là phu hựu chương tín sùng nghĩa bố cái đại vương.
其神祠今在盛光坊,耤田東西].	Đền thờ nay ở phường thịnh quang một trăm bảy mươi bảy, ở phía đông nam một trăm bảy mươi tám ruộng tịch điền).
五月,辛巳,唐置柔遠軍於府治.	Tháng năm, ngày tân tỵ, nhà đường đặt quân nhu viễn ở phủ trị.
秋,七月,庚辰,唐以趙昌為都護.	Mùa thu, tháng bảy, ngày canh thìn, nhà đường lấy triệu xương làm đô hộ.
昌入境,眾心遂安.	Xương vào cõi, lòng dân bèn yên.
昌遣使諭安,安率眾降.	Xương sai sứ dụ an, an đem quân hàng.
昌增築羅城稍復牢固,在位十七年,以足疾乞還.	Xương đắp thêm la thành kiên cố hơn trước, ở chức mười bảy năm, vì đau chân xin về.
許之,以兵部郎中裴泰代昌.	Vua đường chuẩn cho, lấy lang trung bộ binh là bùi thái thay xương.
癸未,[唐貞元十九年].	Quý mùi, (đường trinh nguyên năm thứ mười chín).
都督裴泰剷去城中溝地,城合為一.	Đô đốc bùi thái sai lấp bỏ những hào rãnh ở trong thành, hợp làm một
城溝地一.	Thành một trăm bảy mươi chín.
作溝池]州將王季元逐泰.	Tướng ở châu là vương quý nguyên đuổi bùi thái đi.
唐帝召昌問状,昌年踰七十,奏事精白.	Vua đường vời xương hỏi tình trạng.
唐帝奇之,復拜交州都護.	Vua đường cho là giỏi, lại sai làm đô hộ giao châu.
昌至,州人相賀,亂乃定.	Xương đến, người trong châu đều mừng, loạn bèn yên.
戊子,[唐憲宗純,元和三年].	Mậu tý, (đường hiến tông thuần, nguyên hoà năm thứ ba).
張舟為交州都護[初舟為經畧判官,至是迁為都護],增築大羅城,造艨艟[短船也].	Trương chu làm đô hộ giao châu (trước chu làm kinh lược phán quan, đến nay thăng làm đô hộ), đắp thêm thành đại la, đóng ba trăm chiếc thuyền mông đồng (loại thuyền ngắn), mỗi thuyền có hai mươi lăm chiến thủ, hai mươi ba tay chèo, thuyền chèo ngược xuôi, nhanh như gió.
又築驩愛二城,以其城前被環王[即占城王]故攻毀也.	Lại đắp hai thành ở châu hoan, châu ái, vì các thành ấy trước bị hoàn vương (vua chiêm thành) phá huỷ.
己亥,[唐元和十四年].	Kỷ hợi, (đường nguyên hoà năm thứ mười bốn).
冬,十月,都護李象古以貪縱苛刻失眾心,其將楊清世為蛮酋,唐開元間,為驩州刺史.	Tướng của cổ là dương thanh đời đời làm tù trưởng man, khoảng niên hiệu khai nguyên nhà đường làm thứ sử hoan châu một trăm tám mươi
象古忌之,召為牙將,至是令討黃洞蠻.	Tượng cổ vẫn kiêng dè, gọi cho làm nha tướng, đến đai sai đi đánh người man ở hoàng động.
清因人心忿怒,夜還襲州,𨺻之,殺象古.	Thanh nhân thấy lòng người oán giận tượng cổ, đang đêm trở về đánh úp châu, chiếm được, giết tượng cổ (thanh là người giao châu, tượng cổ là người tôn thất nhà đường).
詔桂仲攻清不克.	Vua đường sai quế trọng một trăm tám mươi mốt đánh dương thanh mà không thắng.
清入諸蠻獠中作乱,剽畧城府,都護李元嘉攻之不克,誘之不來.	Thanh vào trong người man lạo làm loạn, cướp phá phủ thành, đô hộ lý nguyên gia đánh không được, dụ không đến.
由是黃洞蠻引環王入寇.	Do đấy người man hoàng động dẫn hoàn vương một trăm tám mươi hai vào cướp.
甲辰,[唐穆宗恒,長󰆑四年].	Giáp thìn, (đường mục tông hằng, trường khánh năm thứ bốn).
冬,十一月,李元嘉以城門有逆水,恐州人多生叛意,因移今城焉.	Mùa đông, tháng mười một, lý nguyên gia một trăm tám mươi ba thấy trước cửa thành có dòng nước chảy ngược, sợ trong châu nhiều người sinh lòng làm phản, vì thế dời đến đóng ở thành hiện nay.
時元嘉移撫治於有相者曰:君力不足,築大城五十年,後必有姓髙者於此定都建府.	(bấy giờ nguyên gia dời phủ trị một trăm tám mươi bốn đến sông tô lịch, mới đắp thành nhỏ thôi, có người thầy tướng bảo rằng: sức ông không đắp nổi thành lớn, sau năm mươi năm nữa ắt có người họ cao đến đây đóng đô dựng phủ.
至咸通中,髙駢增築羅城.	Đến đời hàm thông, cao biền đắp thêm la thành, đúng như lời người ấy.
戊申,[唐文宗涵,太和二年].	Mậu thân, (đường văn tông hàm, thái hoà năm thứ hai).
都護韓約擊峯州王昇朝,克之,後為楊清所逐,奔還廣州.	Đô hộ hàn ước đánh vương thăng triều ở phong châu, thắng được, sau bị dương thanh đuổi, chạy về quảng châu.
辛酉,[唐武宗炎,會昌元年].	Tân dậu, (đường vũ tông viêm, hội xương năm thứ nhất).
唐詔之武渾代韓約為經畧使.	Vua đường xuống chiếu lấy vũ hồn làm kinh lược sứ thay hàn ước.
癸亥,[唐會昌三年].	Quý hợi, (đường hội xương năm thứ ba).
經畧使武渾役將士治城府,將士作亂,燒城樓,刧府庫,渾奔廣州.	Kinh lược sứ vũ hồn bắt tướng sĩ đắp sửa thành phủ, tướng sĩ làm loạn, đốt lầu thành, cướp kho phủ.
監軍段士則撫安乱眾.	Giám quân là đoàn sĩ tắc vỗ yên được quân làm loạn.
南蠻入寇,唐詔經畧使裴元又帥鄰道兵討平之.	Đường sai kinh lược sứ là bùi nguyên hựu một trăm tám mươi sáu đem quân các đạo lân cận đánh dẹp được.
丁丑,[唐宣宗󰠐,大中十一年].	Đinh sửu, (đường tuyên tông thầm, đại trung năm thứ mười một).
夏,四月,唐以右千牛衞大將軍.	Mùa hạ, tháng bốn, nhà đường lấy hữu thiên ngưu vệ đại tướng quân
朱涯為交州經畧使.	Là châu nhai một trăm tám mươi bảy là kinh lược sứ giao châu.
戊寅,[唐大中十二年].	Mậu dần, (đường đại trung năm thứ mười hai).
春,正月,唐以康王傅王式為交州經畧都護使.	Mùa xuân, tháng giêng, vua đường lấy khang vương phó một trăm tám mươi tám là vương thức làm giao châu kinh lược đô hộ sứ.
式有才畧,至府樹芀木為梄深塹,其外泄,城中水塹植刺竹寇,不能󰱆󰱇教士卒,甚銳.	Thức là người có tài lược, đến phủ sai trồng cây táo gai một trăm tám mươi chín làm rào, bên ngoài đào hào sâu để thoát nước trong thành, bên ngoài hào trồng tre gai, giặc không thể xâm phạm được, kén chọn dạy bảo quân lính rất tinh nhuệ.
󰟸之,南蠻大至,屯錦田步頭,去州半日程.	Không bao lâu, người nam man (tức nam chiếu) kéo đến đông, đóng ở bến đò cẩm điền, cách châu độ nửa ngày đường.
式意思安閒,遣譯諭之,陳其利害,蠻一夜引去,遣人謝之曰:"我自執叛獠耳,非為寇也".	Ý tứ của thức vẫn an nhàn như thường, sai người phiên dịch đến dụ, bày tỏ lợi hại, chỉ một đêm người man lại kéo đi, sai người đến từ tạ nói: " chúng tôi chỉ đến bắt bọn người lạo làm phản, chứ không phải đến cướp ".
又有都校羅行恭[都校猶言都將],久專府,政麾下精兵二千,都護中軍纔嬴兵數百.	Lại có đô hiệu la hành cung (đô hiệu cũng như đô tướng) chuyên quyền ở phủ đã lâu, quân tinh nhuệ dưới cờ đến hai nghìn người mà ở phủ đô hộ chỉ có vài trăm quân gầy yếu.
初,都護李琢為政貪.	Trước đó, đô
暴,強市蠻中牛馬,一頭止與盐一斗,又殺蠻酋長杜存誠,羣蠻怒怨,導南詔侵盗邊境.	Lam tàn bạo, mua hiếp bò ngựa của người man, mỗi con chỉ trả cho một đấu muối, lại giết tù trưởng man là đỗ tồn thành, dân man oán giận, dẫn đường cho người nam chiếu đến lấn cướp biên giới.
峯州,桃林,西原舊有防冬兵六千,其傍七舘洞蠻酋長李由獨,常助之戍守輸租税.	Đất tây nguyên, đào lâm, thuộc phong châu, từ xưa vẫn có quân phòng đông một trăm chín mươi } sáu nghìn người, tù trưởng man động thất quán bên cạnh là lý do độc, thường giúp đỡ việc đóng giữ và thu tô thuế.
知峯州者缺姓名,言於琢請罷戍兵,專委由獨防�	Viên tri châu phong châu (không rõ họ tên) nói với tác xin bỏ quân đóng thú, chuyên uỷ cho do độc ngăn phòng.
於是,由獨勢孤,不能自立.	Từ đó do độc thế cô, không thể đứng vững được.
南詔拓節度,拓東言將,開拓東境也,交趾,南詔東,故置焉以書誘之以女婦其子補拓東拓牙.	Thác đông tiết độ của nam chiếu (thác đông: ý nói khai thác cõi đông; giao chỉ ở phía đông nước nam chiếu, cho nên đặt chức ấy) gửi thư sang dụ do độc, đem con gái gả cho con trai của do độc, bổ làm thác đông thác nha một trăm chín mươi mốt.
由獨遂率其眾臣於南詔.	Do độc bèn đem dân chúng làm tôi nước nam chiếu.
自是交州始有蠻患也.	Từ đấy giao châu mới có mối lo về người man.
是年五月,蠻來寇,式却之.	Tháng năm năm ấy, người man đến cướp, thức đánh lui được.
秋,七月,有惡民屢為亂,聲言:"聞經畧使朱涯[朱涯在廣.	Mùa thu, tháng bảy, có bọn dân xấu nhiều lần nổi loạn, nói phao rằng: " nghe
州使麾下挍黃頭軍[以黃󰱆頭號黃頭軍],渡海來襲我矣".	Châu) sai quân hoàng đầu (quân bịt đầu bằng khăn vàng) vượt biển sang đánh úp châu ta ".
相與夜為城,皷譟:"願送式北㱕,我欲頓此城比禦黃頭軍".	Rồi bọn họ đang đêm kéo nhau đến vây thành, đánh trống reo hò: " xin đuổi thức về để chúng tôi đóng ở thành này chống giữ quân hoàng đầu phía bắc ".
式方食,或勸出避之.	Lúc ấy thức đang ăn, có người khuyên nên tránh đi.
式曰:"吾足一動則城潰也".	Thức nói: " tôi động chân một chút thì thành này vỡ ngay ".
徐食畢,擐甲率左右登城,建大將旗,坐而責之.	Rồi cứ thong thả mà ăn, ăn xong, mặc áo giáp dẫn tả hữu lên mặt thành, dựng cờ đại tướng ngồi mà trách mắng.
亂者反走.	Bọn làm loạn quay đầu bỏ chạy.
明日,悉捕誅之.	Ngày hôm sau, thức sai bắt giết hết.
時饑亂相繼,六年無上供,[上供者錢帛之師以供上用也],輸軍中無󰍁賞.	Bấy giờ đói kém loạn lạc liên tiếp, sáu năm không nộp thượng cung (thượng cung là tiền, lụa nộp sang kinh sư để cho vua chi dùng), trong quân không có khao thưởng.
式始修貢賦,享士卒.	Thức bắt đầu sửa sang việc thuế khoá, khao thưởng quân lính.
占城,真臘皆復通使.	Chiêm thành, chân lạp đều thông sứ trở lại.
庚辰,[唐懿宗󰱉,咸通元年].	Canh thìn, (đường ý tông thôi, hàm thông năm thứ nhất).
