第四十一回刘玄德携民渡江赵子龙单骑救主	HỒI 41 Lưu Huyền Đức đưa dân qua sông; Triệu Tử Long một ngựa cứu chúa.
权将曹操檄文示肃曰：“操昨遣使赍文至此，孤先发遣来使，现今会众商议未定。”	Túc đáp: - Cũng đã biết được ít nhiều, xin để thư thả sẽ thưa. Quyền đưa tờ hịch của Tào Tháo cho Túc xem và bảo rằng: - Hôm nọ Tào Tháo sai sứ đưa hịch đến đây, ta đã cho sứ quay về.
肃接檄文观看。	Nay đương bàn việc ấy với các quan chưa xong. Túc lấy tờ hịch xem.
其略曰：“孤近承帝命，奉词伐罪。	Trong hịch nói đại khái như sau: "Ta phụng mệnh vua, đánh kẻ có tội.
旄麾南指，刘琮束手；荆襄之民，望风归顺。 今统雄兵百万，上将千员，欲与将军会猎于江夏，共伐刘备，同分土地，永结盟好。	Cờ trỏ về nam, Lưu Tôn phải bó tay, dân Kinh Tương nghe thấy tin, răm rắp hàng phục. Nay thống lĩnh trăm vạn hùng binh, nghìn viên thượng tướng, muốn cùng với tướng quân họp săn ở Giang Hạ, để đánh Lưu Bị, cùng chia đất đai, giao hảo với nhau mãi mãi.Xin đừng ngờ vực, trả lời ngay cho."
幸勿观望，速赐回音。” 鲁肃看毕曰：“主公尊意若何？”	Lỗ Túc xem xong, hỏi: - Ý chúa công thế nào?
权曰：“未有定论。”	Quyền nói: - Ta cũng chưa quyết định.
张昭曰：“曹操拥百万之众，借天子之名，以征四方，拒之不顺。	Trương Chiêu nói: - Tào Tháo thống lĩnh quân trăm vạn, mượn tiếng thiên tử, đánh dẹp bốn phương, mình chống cự lại thì là nghịch.
且主公大势可以拒操者，长江也。	Vả lại chỗ dựa của chúa công để chống với Tào Tháo là sông Trường Giang.
今操既得荆州，长江之险，已与我共之矣，势不可敌。 以愚之计，不如纳降，为万安之策。	Nay Tháo đã lấy được Kinh Châu, ta không còn độc chiếm cái thế hiểm trở của con sông đó rồi, khó địch được nữa.
众谋士皆曰：“子布之言，正合天意。”	Vậy cứ ý tôi, đầu hàng là kế vẹn toàn. Các mưu sĩ đều nói: - Lời Tử Bố chính hợp lòng trời!
孙权沉吟不语。	Tôn Quyền ngồi ngần ngừ không nói.
张昭又曰：“主公不必多疑。 如降操，则东吴民安，江南六郡可保矣。”	Trương Chiêu lại tiếp: - Chúa công không nên nghi ngại gì nữa. Nếu hàng Tào thì dân Đông Ngô được yên, mà sáu quận Giang Nam cũng giữ được.
孙权低头不语。	Tôn Quyền vẫn cúi đầu không nói gì.
须臾，权起更衣，鲁肃随于权后。	Một lát Quyền đứng dậy, thay áo. Lỗ Túc theo sau, Quyền biết ý cầm tay Túc hỏi rằng: - Ý ông thế nào?
权知肃意，乃执肃手而言曰：“卿欲如何？” 肃曰：“恰才众人所言，深误将军。	Túc nói: - Vừa rồi, bọn họ nói như thế, là không hiểu bụng tướng quân. Mọi người, ai cũng có thể hàng Tào Tháo được, duy có tướng quân thì không hàng được. Quyền hỏi: - Sao vậy?
众人皆可降曹操，惟将军不可降曹操。”	Túc nói: - Như Lỗ Túc này mà hàng, thì Tháo phong cho làm quan, áo gấm về làng, mà cũng không phải mất đất đai gì cả.
权曰：“何以言之？”	Tướng quân mà hàng Tháo thì về đâu?
肃曰：“如肃等降操，当以肃还乡党，累官故不失州郡也；将军降操，欲安所归乎？	Chức tước bất quá phong hầu là cùng, xe một cỗ, ngựa một con, đầy tớ vài ba người, muốn ngồi ngoảnh mặt về nam mà xưng có còn được nữa không?
位不过封侯，车不过一乘，骑不过一匹，从不过数人，岂得南面称孤哉！ 众人之意，各自为己，不可听也。	Xem như thế, ý họ ai cũng chỉ biết thân người nấy mà thôi, có nghĩ gì đến chủ đâu! Xin tướng quân chớ nghe, nên sớm định kế lớn.
将军宜早定大计。”	Quyền than rằng: - Ta nghe họ nghị luận thật là thất vọng.
权叹曰：“诸人议论，大失孤望。	Tử Kính mới ngỏ kế lớn, chính hợp ý với ta. Quả thật trời đem Tử Kính cho ta đó!
子敬开说大计，正与吾见相同。 此天以子敬赐我也！ 但操新得袁绍之众，近又得荆州之兵，恐势大难以抵敌。	Nhưng Tháo mới được quân Viên Thiệu, gần đây lại được quân Kinh Châu, thế lớn lắm, ta sợ địch không nổi.
肃曰：“肃至江夏，引诸葛瑾之弟诸葛亮在此，主公可问之，便知虚实。”	Túc nói: - Tôi vừa sang Giang Hạ, đem được em Gia Cát Cẩn là Gia Cát Lượng về đây, chúa công nên gọi vào hỏi, sẽ biết tình hình thế nào. Tôn Quyền hỏi: - Ngọa Long tiên sinh có ở đây à? Túc nói: - Hiện đương nghỉ lở nhà khách. Quyền nói: - Hôm nay đã tối rồi, đừng cho vào gặp vội.
权曰：“卧龙先生在此乎？” 肃曰：“现在馆驿中安歇。”	Để ngày mai họp cả văn võ dưới trướng, trước hết cho gặp các tay anh tuấn Giang Đông đã, rồi sẽ mời lên triều đường bàn việc.
权曰：“今日天晚，且未相见。	Túc nhận mệnh trở ra.
来日聚文武于帐下，先教见我江东英俊，然后升堂议事。”	Hôm sau Túc vào nhà khách, ra mắt Khổng Minh, lại dặn rằng: - Hôm nay ông vào gặp chủ tôi, xin chớ nói Tào Tháo nhiều binh lắm tướng.
肃领命而去。	Khổng Minh cười đáp rằng: - Tôi sẽ tùy cơ mà liệu, không để lỡ việc đâu!
次日至馆驿中见孔明，又嘱曰：“今见我主，切不可言曹操兵多。” 孔明笑曰：“亮自见机而变，决不有误。” 肃乃引孔明至幕下。	Túc mới dẫn Khổng Minh đến dưới trướng, đã thấy bọn Trương Chiêu, Cố Ung, toàn ban văn võ hơn hai chục người, mũ cao đai rộng, y phục chỉnh tề, ngồi có thứ tự rồi, Khổng Minh chào hỏi từng người, thông tính danh đâu đấy, rồi đến ngồi trên ghế tân khách.
早见张昭、顾雍等一班文武二十余人，峨冠博带，整衣端坐。	Bọn Trương Chiêu thấy Khổng Minh phong thái đàng hoàng, tự nhiên, độ lượng, khẳng khái, biết rằng người này tất là người đi thuyết khách. Trương Chiêu mới gọi trước rằng: - Chiêu tôi là một kẻ học trò ngu hèn bên Giang Đông, lâu nay vẫn được nghe tiếng tiên sinh nằm khểnh trong Long Trung, ví mình với Quản Trọng, Nhạc Nghị, lời ấy chẳng biết thực hay hư?
孔明逐一相见，各问姓名。	Khổng Minh đáp: - Phải. Lượng tôi cũng có hợm mình mà vì thế.
施礼已毕，坐于客位。 张昭等见孔明丰神飘洒，器宇轩昂，料道此人必来游说。	Chiêu lại nói: - Mới đây, tôi mới nghe Lưu Dự Châu ba lần cầu đến tiên sinh ở trong lều tranh, may được tiên sinh như cá được nước, những toan thu sạch cả Kinh Tương, thế mà nay chỉ có một buổi sáng mà về tay Tào Tháo hết; chẳng hay ông thế nào?
张昭先以言挑之曰：“昭乃江东微末之士，久闻先生高卧隆中，自比管；乐。	Khổng Minh nghĩ thầm rằng: - Trương Chiêu là tay mưu sĩ bậc nhất của Tôn Quyền, nếu mình không áp đảo được hắn thì sao thuyết phục được Tôn Quyền? Bèn đáp rằng: - Kẻ lấy đất Hán Thượng, ta coi dễ như trở bàn tay, hiềm vì chủ ta là Lưu Dự Châu, muốn làm điều nhân nghĩa, không nỡ cướp cơ nghiệp của người đồng tông, cho nên nhất định không lấy.
此语果有之乎？” 孔明曰：“此亮平生小可之比也。”	Lưu Tôn là một đứa trẻ thơ, tin nghe lời nịnh, bí mật hàng Tào, cho nên mới để cho Tào Tháo ngông cuồng.
昭曰：“近闻刘豫州三顾先生于草庐之中，幸得先生，以为如鱼得水，思欲席卷荆襄。	Nay chủ ta đóng quân ở Giang Hạ, sẽ có kế khác, những kẻ tầm thường có hiểu sao được? Chiêu nói: - Nếu thế thì tiên sinh lời nói không đi đôi với việc làm rồi. Tiên sinh đã ví mình với Quản Trọng, Nhạc Nghị, mà Quản Trọng ngày xưa giúp Hoàn Công trị được chư hầu, định được thiên hạ; Nhạc Nghị ngày xưa giúp nước Yên đương suy yếu mà hạ được hơn bảy mươi thành nước Tề. Hai người ấy thực là có tài tế thế.
今一旦以属曹操，未审是何主见？”	Tiên sinh thì trước ở trong lều tranh, chỉ cười phong cợt nguyệt, xếp gối ngồi cao; Nay đã theo Lưu Dự Châu, thì phải vì dân mà mưu điều lợi, bỏ điều hại, dẹp trừ kẻ loạn tặc mới phải chứ!
孔明自思张昭乃孙权手下第一个谋士，若不先难倒他，如何说得孙权，遂答曰：“吾观取汉上之地，易如反掌。	Vả khi tôi xem Lưu Dự Châu chưa được tiên sinh, ai cũng mong ngóng, đến đứa trẻ con cũng cho đó là hổ sinh cánh, nhà Hán sắp sửa lại hưng, họ Tào sắp đổ.
我主刘豫州躬行仁义，不忍夺同宗之基业，故力辞之。 刘琮孺子，听信佞言，暗自投降，致使曹操得以猖獗。	Cựu thần trong triều đình, ẩn sĩ nơi rừng rú, ai cũng lau mắt chờ xem, tưởng là tiên sinh với Lưu Dự Châu, sắp xua tan mây mù trên trời cao, để cho thiên hạ lại được nhìn thấy ánh sáng mặt trời mặt trăng; cứu vớt dân ra khỏi cơn nước lửa, giúp đỡ thiên hạ yên ổn làm ăn, chính là lúc này vậy. Ai ngờ từ khi tiên sinh về với Dự Châu, quân Tào mới đến, đã bỏ giáp quẳng gươm, trông thấy bóng là chạy; trên không báo được Lưu Biểu, để yên thứ dân; dưới lại chẳng giúp được con côi, giữ lấy bờ cõi, bỏ Tân Giã, chạy khỏi Phàn Thành, thua Đương Dương chạy ra Hạ Khẩu, chẳng có lấy một chỗ dung thân.
今我主屯兵江夏，别有良图，非等闲可知也。” 昭曰：“若此，是先生言行相违也。 先生自比管、乐，管仲相桓公，霸诸侯，一国天下；乐毅扶持微弱之燕，下齐七十余城：此二人者，真济世之才也。	Thế chẳng hóa ra Dự Châu từ khi được tiên sinh lại không bằng trước ư? Quản Trọng, Nhạc Nghị chắc cũng như thế đó ư?Đó là mấy lời quê kệch, xin tiên sinh đừng chấp.
先生在草庐之中，但笑傲风月，抱膝危坐。	Khổng Minh nghe xong, cười ha hả mà rằng: - Cái chí khí của chim bằng, các loại chim há biết được sao?
今既从事刘豫州，当为生灵兴利除害，剿灭乱贼。	Ví như người bệnh nặng, trước hết phải cho uống nước cơm, nước cháo, thuốc thang; lúc nào phủ tạng điều hòa, thân thể hồi phục, bấy giờ mới cho bổ bằng cá thịt, trị bằng thuốc mạnh, thì gốc bệnh mới tiệt, sinh mệnh mới an toàn.
且刘豫州未得先生之前，尚且纵横寰宇，割据城池；今得先生，人皆仰望。	Nếu bệnh còn nặng, phủ tạng còn yếu, đã trị ngay bằng thuốc mạnh, bổ ngay bằng vị ngon, thì khó lòng chữa khỏi được.
虽三尺童蒙，亦谓彪虎生翼，将见汉室复兴，曹氏即灭矣。	Chủ ta, trước thua ở Nhữ Nam, đến nhờ Lưu Biểu, quân không đầy một nghìn, tướng chỉ có Quan, Trương, Triệu chính là lúc bệnh đang nguy ngập.
朝廷旧臣，山林隐士，无不拭目而待：以为拂高天之云翳，仰日月之光辉，拯民于水火之中，措天下于衽席之上，在此时也。	Tân Dã là một huyện nhỏ, hẻo lánh, dân cư thưa thớt, lương thực ít ỏi, chủ ta chẳng qua đến nương tạm đó mà thôi, có phải muốn khư khư ngồi giữ cái xó ấy đâu?
何先生自归豫州，曹兵一出，弃甲抛戈，望风而窜；上不能报刘表以安庶民，下不能辅孤子而据疆土；乃弃新野，走樊城，败当阳，奔夏口，无容身之地：是豫州既得先生之后，反不如其初也。 管仲、乐毅，果如是乎？ 愚直之言，幸勿见怪！”	Trong hoàn cảnh quân sĩ không sẵn, thành quách không bền, quân không luyện tập, chạy ăn từng bữa, thế mà lửa cháy Bác Vọng, nước ngập Bạch Hạ, khiến bọn Hà Hầu Đôn, Tào Nhân phải lòng run mặt vỡ; thiết tưởng Quản Trọng, Nhạc Nghị dùng binh cũng vị tất đã hơn gì!
孔明听罢，哑然而笑曰：“鹏飞万里，其志岂群鸟能识哉？	Đến như Lưu Tôn hàng Tào, Dự Châu hoàn toàn không biết; vả lại, không nỡ nhân lúc loạn mà cướp lấy cơ nghiệp người đồng tông.
譬如人染沉疴，当先用糜粥以饮之，和药以服之；待其腑脏调和，形体渐安，然后用肉食以补之，猛药以治之：则病根尽去，人得全生也。 若不待气脉和缓，便投以猛药厚味，欲求安保，诚为难矣。 吾主刘豫州，向日军败于汝南，寄迹刘表，兵不满千，将止关、张、赵云而已：此正如病势尪赢已极之时也，新野山僻小县，人民稀少，粮食鲜薄，豫州不过暂借以容身，岂真将坐守于此耶？ 夫以甲兵不完，城郭不固，军不经练，粮不继日，然而博望烧屯，白河用水，使夏侯惇，曹仁辈心惊胆裂：窃谓管仲、乐毅之用兵，未必过此。	Thật là đại nhân, đại nghĩa!
至于刘琮降操，豫州实出不知；且又不忍乘乱夺同宗之基业，此真大仁大义也。 当阳之败，豫州见有数十万赴义之民，扶老携幼相随，不忍弃之，日行十里，不思进取江陵，甘与同败，此亦大仁大义也。	Còn trận thua ở Đương Dương, vì có vài vạn dân, già trẻ dắt díu nhau đi theo, không nỡ bỏ, nên mỗi ngày chỉ đi được mười dặm, không thiết đến lây Giang Lăng, cam chịu thất bại, ấy cũng là đại nhân đại nghĩa vậy. Còn như ít không địch được nhiều, thì được thua chỉ là việc thường thôi. Ngày xưa vua Cao Tổ luôn thua Hạng Vũ, sau chỉ một trận ở Cái Hạ là thàng công; đó không phải là mẹo tài của Hàn Tín đó ư?
寡不敌众，胜负乃其常事。 昔高皇数败于项羽，而垓下一战成功，此非韩信之良谋乎？ 夫信久事高皇，未尝累胜。 盖国家大计，社稷安危，是有主谋。	Tín thờ Cao Tổ đã lâu cung không mấy khi tháng; bởi vì kế lớn nhà nước, xã tắc an nguy, đều đã có chủ trương.
非比夸辩之徒，虚誉欺人：坐议立谈，无人可及；临机应变，百无一能。	Không như cái lũ khoác lác hư danh, bịp bợm, ngồi một xó mà lý thuyết suông thì không ai bằng; đến lúc có việc thì trăm phần chẳng được phần nào, thật đáng để cho thiên hạ chê cười!
诚为天下笑耳！” 这一篇言语，说得张昭并无一言回答。	Bị thuyết một hồi, Trương Chiêu không còn thở ra được câu nào nữa.
座上忽一人抗声问曰：“今曹公兵屯百万，将列千员，龙骧虎视，平吞江夏，公以为何如？”	Lại có một người cất tiếng hỏi rằng: - Nay Tào Tháo quân hàng trăm vạn, tướng ước nghìn viên, uy thế như rồng hư hổ, nuốt chửng Giang Hạ, ông bảo làm sao?
孔明视之，乃虞翻也。	Khổng Minh trông xem ai, thì là Ngu Phiên.
孔明曰：“曹操收袁绍蚁聚之穷于夏口，区区求教于人，而犹言不惧，此真大言欺人也！”	Khổng Minh nói: - Tào Tháo thu quân rơm rác của Viên Thiệu, nhặt quân ô hợp của Lưu Biểu, dù đông mấy trăm vạn cũng không đáng sợ gì hết.
孔明曰：“刘豫州以数千仁义之师，安能敌百万残暴之众？	Ngu Phiên cười mát: - Quân thua ở Đương Dương, kế cùng ở Hạ Khẩu, đi van xin cứu viện không xong, còn nói không sợ, thật là khoác lác để bịp người đó thôi!
退守夏口，所以待时也。 今江东兵精粮足，且有长江之险，犹欲使其主屈膝降贼，不顾天下耻笑。	Khổng Minh đáp: - Lưu Dự Châu đem vài nghìn quân nhân nghĩa địch sao được trăm vạn quân tàn bạo? Lui về giữ Hạ Khẩu là để chờ thời cơ đấy! Nay Giang Đông, binh tinh lương đủ, lại có sông Trường Giang hiểm trở, thế mà còn xui chủ uốn gối hàng giặc.
由此论之，刘豫州真不惧操贼者矣！”	Từ đó mà suy, thì Lưu Dự Châu thật không sợ gì giặc Tháo vậy!
虞翻不能对。	Ngu Phiên chịu cứng.
座间又一人问曰：“孔明欲效仪、秦之舌，游说东吴耶？”	Lại có một người lên tiếng hỏi: - Khổng Minh muốn uốn lưỡi Tô Tần, Trương Nghi sang làm thuyết khách ở Giang Đông nàychăng? Khổng Minh nhìn xem ai thì là Bộ Trắc, bèn đáp rằng: - Bộ Tử Sơn chỉ biết Tô Tần, Trương Nghi là biện sĩ, chuyên nghề nói mép, chứ chưa biết Tô Tần, Trương Nghi cũng là những trang hào kiệt. Tô Tần đeo ấn làm tướng sáu nước, Trương Nghi hai lần làm tướng nhà Tần, đều có tài giúp gây nên cơ nghiệp, đâu thèm so sánh với những kẻ sợ thế mạnh, lấn người yếu, tránh kiếm, lẩn dao.
孔明视之，乃步骘也。	Các ngươi muốn nghe thấy Tào Tháo phao tin đã vội co vòi xin hàng rồi, còn dám cười Tô Tần, Trương Nghi sao được?
孔明曰：“步子山以苏秦张仪为辩士，不知苏秦、张仪亦豪杰也。	Bộ Trắc im ngay, không dám nói gì nữa.
苏秦佩六国相印，张仪两次相秦，皆有匡扶人国之谋，非比畏强凌弱，惧刀避剑之人也。	Lại có một người hỏi rằng: - Thế Khổng Minh cho Tào Tháo là người thế nào?
君等闻曹操虚发诈伪之词，便畏惧请降，敢笑苏秦、张仪乎？”	Khổng Minh nhìn xem ai, thì là Tiết Tung bèn đáp rằng: - Tào Tháo là giặc nhà Hán, can gì phải hỏi?
步骘默然无语。 忽一人问曰：“孔明以曹操何如人也？”	Tung nói: - Ông lầm rồi.
孔明视其人，乃薛综也。 孔明答曰：“曹操乃汉贼也，又何必问？”	Nhà Hán truyền ngôi kế thế mãi đến nay, số trời sắp hết, giờ đây, Tháo đã nắm được hai phần ba thiên hạ rồi, nhân tâm ai cũng quy phục cả.
综曰：“公言差矣。	Duy chỉ có Lưu Dự Châu không biết thiên thời, muốn gượng tranh với Tháo, khác nào trứng chọi với đá, sao chẳng thất bại?
汉传世至今，天数将终。	Khổng Minh quát to lên rằng: - Tiết Kính Văn sao dám thở ra câu vô quân, vô phụ vậy?
今曹公已有天下三分之二，人皆归心。 刘豫州不识天时，强欲与争，正如以卵击石，安得不败乎？” 孔明厉声曰：“薛敬文安得出此无父无君之言乎！	Người ta sinh ra ở đời phải lấy trung hiếu làm cốt.
夫人生天地间，以忠孝为立身之本。	Ông đã làm tôi nhà Hán, nếu kẻ nào phản nghịch, phải thề giết nó đi, mới là phải đạo.
公既为汉臣，则见有不臣之人，当誓共戮之：臣之道也。 今曹操祖宗叨食汉禄，不思报效，反怀篡逆之心，天下之所共愤；公乃以天数归之，真无父无君之人也！	Nay tổ tôn Tào Tháo đời đời ăn lộc nhà Hán, Tháo đã không nghĩ báo ơn, lại mang lòng phản nghịch, thiên hạ đều oán ghét cả. Ông lại dám đổ cho số trời, thật là con người vô quân vô phụ, không xứng đáng bàn luận!
不足与语！	Chớ có nói nữa!
请勿复言！” 薛综满面羞惭，不能对答。 座上又一人应声问曰：“曹操虽挟天子以令诸侯，犹是相国曹参之后。	Tiết Tung đỏ mày xay mặt, câm như miệng hên. Lại một nười hỏi rằng: - Tào Tháo tuy rằng mượn tiếng thiên tử để sai khiến chư hầu, nhưng cũng còn là con cháu ông tướng quốc Tào Tham ngày xưa.
刘豫州虽云中山靖王苗裔，却无可稽考，眼见只是织席贩屦之夫耳，何足与曹操抗衡哉！”	Lưu Dự Châu vẫn tự xưng là dòng dõi Trung sơn Tĩnh vương, nhưng không có bằng cờ nào; hiện mắt trông thấy chỉ là một người dệt chiếu, bán giầy, sánh với Tào Tháo sao được?
孔明视之，乃陆绩也。 孔明笑曰：“公非袁术座间怀桔之陆郎乎？	Khổng Minh nhìn xem ai, thì là Lưu Tích, liền cười nói rằng; - Ông có phải là người ăn cắp quít ở trong bữa tiệc của Viên Thiệu đó không?
请安坐，听吾一言：曹操既为曹相国之后，则世为汉臣矣；今乃专权肆横，欺凌君父，是不惟无君，亦且蔑祖，不惟汉室之乱臣，亦曹氏之贼子也。	Xin hãy ngồi nghe ta giảng giải cho: Tào Tháo đã là con cháu tướng quốc họ Tào, thì là đời đời làm tôi nhà Hán, nay dám chuyên quyền ngang ngược, khinh nhờn cả vua; như thế hắn không những là vô quân mà lại là khinh cả tổ tiên mình; không những là loạn thần nhà Hán, mà còn là đứa con bất hiếu của họ Tào nữa.
刘豫州堂堂帝胄，当今皇帝，按谱赐爵，何云无可稽考？	Lưu Dự Châu đường đường một đấng tôn thất, đương kim Hoàng Đếhiện đã xét gia phả và phong tước cho, sao dám bảo là không có căn cứ?
且高祖起身亭长，而终有天下；织席贩屦，又何足为辱乎？	Vả đức Cao Tổ ngày xưa, xuất thân làm đình trưởng, mà sau được thiên hạ, thì dệt chiếu, bán giầy có gì là nhục?
公小儿之见，不足与高士共语！”	Kiến thức ông như trẻ con, không nên ngồi nói chuyện với cao sĩ.
陆绩语塞。	Lục Tích ngồi im thin thít.
座上一人忽曰：“孔明所言，皆强词夺理，均非正论，不必再言。 且请问孔明治何经典？” 孔明视之，乃严酸也。 孔明曰：“寻章摘句，世之腐儒也，何能兴邦立事？	Lại một người hỏi rằng: - Khổng Minh chỉ được cái già mồm lý lẽ, không phải là chính luận; không cần dài dòng làm gì nữa, hãy xin hỏi Khổng Minh đã học được những sách gì?
且古耕莘伊尹，钓渭子牙，张良、陈平之流。 邓禹、耿弇之辈，皆有匡扶宇宙之才，未审其生平治何经典。	Khổng Minh nhìn xem thì là Nghiêm Tuấn, liền đáp: - Tìm từng chương, dò từng câu, chỉ là bọn hủ nho mà thôi, sao có xây dựng được nước non cơ nghiệp?
岂亦效书生，区区于笔砚之间，数黑论黄，舞文弄墨而已乎？”	Vả như ngày xưa Y Doãn cày ở đất Sàn, Tử Nha câu trên sông Vi, Trương Lương, Trần Bình, Đặng Vũ, Cánh Cam, đều có tài giúp nước cả, mà cũng không cần xét xem ngày thường học những sách vở gì! Có đâu lại bắt chước bọn thư sinh, bo bo sách vở, cái đen trắng, múa văn khua bút đó ư?
严峻低头丧气而不能对。	Nghiêm Tuấn cúi đầu tiu nghỉu ngồi im.
忽又一人大声曰：“公好为大言，未必真有实学，恐适为儒者所笑耳。” 孔明视其人，乃汝南程德枢也。 孔明答曰：“儒有君子小人之别。	Lại một người lớn tiếng hỏi: - Ông chỉ được việc nói khoác là giỏi, vị tất đã có thực học, tôi chỉ sợ bọn nhà nho cười cho thôi.
君子之儒，忠君爱国，守正恶邪，务使泽及当时，名留后世。	Khổng Minh nhìn xem thì là Trình Đức Khu ở Nhữ Nam, liền đáp: - Nho cũng có nho quân tử, cũng có nho tiểu nhân.
若夫小人之儒，惟务雕虫，专工翰墨，青春作赋，皓首穷经；笔下虽有千言，胸中实无一策。	Nho quân tử thì trung vua yêu nước, giữ chính ghét tà, chuyên làm những điều ích lợi chung, tiếng để đời sau.
且如杨雄以文章名世，而屈身事莽，不免投阁而死，此所谓小人之儒也；虽日赋万言，亦何取哉！”	Còn như loại tiểu nhân thì chỉ gọt dũa văn chương, miệt mài nghiên bút; còn trẻ làm phú đầu bạc đọc kinh, dưới bút dẫu có nghìn lời, trong bụng không được một mẹo.
程德枢不能对。	Xem như Dương Hùng văn chương có tiếng một đời, mà phải hạ mình đi thờ Vương Mãng rồi cũng đến đâm đầu xuống lầu mà chết.
众人见孔明对答如流，尽皆失色。 时座上张温、骆统二人，又欲问难。	Thế gọi là nho tiểu nhân, dẫu ngày làm hạng vạn câu thơ, cũng có ích gì đâu! Trình Đức Khu cũng ứ cổ nốt. Các tướng thấy Khổng Minh ứng đối như nước chảy, ai cũng sợ mất vía.
忽一人自外而入，厉声言曰：“孔明乃当世奇才，君等以唇舌相难，非敬客之礼也。	Lúc đó, còn có hai người là Trương Ôn, Lạc Thống sắp sửa muốn hỏi.
曹操大军临境，不思退敌之策，乃徒斗口耶！”	Bỗng bên ngoài có một người chạy vào quát to lên rằng: - Khổng Minh là bậc kỳ tài đời nay, các ngươi lấy môi mép vặn người ta, đó không phải kính trọng khách.
众视其人，乃零陵人，姓黄，名盖，字公覆，现为东吴粮官。	Đại quân của Tào Tháo đã đến bờ cõi, tìm kế chống giặc chẳng tìm, cứ ngồi đấu khẩu như thế ích gì? Các tướng nhìn xem ai, thì là Hoàng Cái, tự là Công Phúc, người Linh Lăng, hiện đương làm quan coi lương ở Đông Ngô.
当时黄盖谓孔明曰：“愚闻多言获利，不如默而无言。	Lúc ấy Hoàng Cái bảo Khổng Minh rằng: - Tôi nghe "Nói nhiều dù được lợi, cũng không bằng ngồi im không nói".
何不将金石之论为我主言之，乃与众人辩论也？”	Sao ông không đem lời vàng đá ra mà nói với chủ tôi, đâu lại thừa hơi mà cãi vã với họ làm gì?
孔明曰：“诸君不知世务，互相问难，不容不答耳。”	Khổng Minh đáp: - Các ông ấy không biết việc đời mà hỏi, chẳng lẽ không nói.
于是黄盖与鲁肃引孔明入。	Hoàng Cái, Lỗ Túc dẫn Khổng Minh vào đến cửa giữa gặp Gia Cát Cẩn.
至中门，正遇诸葛瑾，孔明施礼。 瑾曰：“贤弟既到江东，如何不来见我？”	Khổng Minh chào hỏi, Cẩn nói: - Hiền đệ đã sang Giang Đông, sao không lại thăm ta?
孔明曰：“弟既事刘豫州，理宜先公后私。	Khổng Minh đáp: - Em đã thờ Lưu Dự Châu, nên phải đặt viêc công lên trước, rồi sau mới tới việc tư.
公事未毕，不敢及私。 望兄见谅。”	Việc công chưa xong, nên chưa dám đến, xin anh tha thứ cho.
瑾曰：“贤弟见过吴侯，却来叙话。” 说罢自去。 鲁肃曰：“适间所嘱，不可有误。”	Cẩn nói: - Hiền đệ vào yết kiến Ngô hầu xong, rồi đến chỗ ta nói chuyện. Nói đoạn, đi thẳng.
孔明点头应诺。 引至堂上，孙权降阶而迎，优礼相待。 施礼毕，赐孔明坐。	Lỗ Túc nói: - Mới rồi tôi dặn những điều gì, không nên quên đấy.
众文武分两行而立。	Khổng Minh gật đầu xin vâng.
鲁肃立于孔明之侧，只看他讲话。	Hai người lên đến thềm chào hỏi tử tế.
孔明致玄德之意毕，偷眼看孙权：碧眼紫髯，堂堂一表。	Tôn Quyền xuống đón, đãi rất tử tế. Thi lễ xong, Quyền mời Khổng Minh ngồi.
孔明暗思：“此人相貌非常，只可激，不可说。	Các quan văn võ đứng sắp hàng hai bên. Lỗ Túc đứng bên cạnh Khổng Minh, chỉ đợi xem Khổng Minh nói với Quyền như thế nào. Khổng Minh giãi bày ý kiến Huyền Đức, rồi liếc mắt nom Tôn Quyền, thấy Quyền mắt biếc râu đỏ, tướng mạo đường bệ, liền nghĩ thầm rằng: - Người này tướng mạo khác thường, chỉ ưa nói khích chứ không ưa thuyết phục; đợi khi nào hỏi, bấy giờ ta sẽ khích cho mấy câu là hơn! Khi tả hữu dâng trà xong, Tôn Quyền nói: - Tôi thường được nghe Lỗ Tử Kính nói đến tài túc hạ, nay may được gặp, xin túc hạ có điều gì hay chỉ bảo cho.
等他问时，用言激之便了。”	Khổng Minh đáp: - Chúng tôi không tài ít học.
献茶已毕，孙权曰：“多闻鲁子敬谈足下之才，今幸得相见，敢求教益。” 孔明曰：“不才无学，有辱明问。”	Không đáng để ngài hỏi. Quyền nói: - Túc hạ mới rồi ở Tân Dã, giúp Lưu Dự Châu đánh nhau với Tào Tháo, tất biết tình hình bên Tào thế nào?
权曰：“足下近在新野，佐刘豫州与曹操决战，必深知彼军虚实。”	Khổng Minh nói: - Cả quân mã, quân bộ và quân thủy, ước được hơn trăm vạn.
孔明曰：“刘豫州兵微将寡，更兼新野城小无粮，安能与曹操相持。”	Quyền trố mắt, ngạc nhiên hỏi: - Ông nói dối ta chăng? Khổng Minh đáp: - Không dám dối đâu!
权曰：“曹兵共有多少？” 孔明曰：“马步水军，约有一百余万。” 权曰：“莫非诈乎？”	Tào Tháo ở Duyện Châu đã có hai mươi vạn; bình xong Viên Thiệu, lại thêm được năm sáu mươi vạn; quân mới mộ ở Trung Nguyên được ba bốn mươi vạn.
孔明曰：“非诈也。	Tính ra có kém gì một trăm năm mươi vạn. Thế mà Lượng nói có một trăm vạn là vì sợ người Giang Đông mất vía đó thôi!
