趙紀.	Kỷ nhà triệu.
會暮僕攻敗之,縱火燒城.	Vừa chập tối, dương bộc đánh bại, phóng lửa đốt thành.
博德不知兵多少乃為營,遣使招降.	Bác đức không biết quân trong thành nhiều hay ít bèn đóng doanh, sai sứ chiêu dụ.
皆賜以印綬復縱令相招.	Kẻ nào ra hàng đều cho ấn thao và tha cho về để chiêu dụ nhau.
楼船.	Lâu thuyền
將軍楊僕力攻,反驅入路博德營軍.	Tướng quân dương bộc cố sức đánh, đuổi chạy ngược vào dinh quân của lộ bác đức.
黎[比也]旦城中皆降.	Đến tờ mờ sáng thì trong thành đầu hàng.
王及嘉與数百人,夜走入海.	Vua và gia cùng với vài trăm người, đang đêm chạy ra biển.
博德又問降者知嘉所在,遣人追之.	Bác đức lại hỏi những người đầu hàng biết chỗ ở của gia, bèn sai người đuổi theo.
校尉司馬蘇弘得王,越郎都󰏲[一作孫都]得嘉.	Hiệu uý tư mã là tô hoằng bắt được vua, quan lang việt là đô kê (có bản chép là tôn đô) bắt được gia.
時下瀨戈船將軍兵,及馳義侯所𭛁夜郎兵未下,而我越已為路博德,楊僕所平矣.	Bấy giờ quân của hạ lại và qua thuyền tướng quân, cùng quân dạ lang của trì nghĩa hầu chưa đến mà nước việt ta đã bị lộ bác đức và dương bộc dẹp yên rồi.
[時我越令三使者牽牛三百頭,携酒一千鐘,持交趾,九真,日南三郡戶籍迎降.	(bấy giờ nước việt ta sai ba quan sứ đem ba trăm con trâu, một nghìn chung rượu và sổ hộ của ba quận giao chỉ, cửu chân và nhật nam đến xin hàng; lộ bác đức nhân đó cho ba người ấy làm thái thú ở ba quận để trị dân như cũ).
遂以其地為南海[秦故郡今明廣東是也],蒼梧[唐曰益州古甌貉我越之地],鬱林[秦桂林郡漢武更名],合浦秦象郡廉州之属郡],交趾,九真,日南[秦象郡],珠崖儋耳[並在大海中].	Từ đó lấy đất chia làm chín quận là: nam hải (quận của nhà tần, nay là đất quảng đông nhà minh), thương ngô (nhà đường gọi là ích châu, xưa là âu lạc, đất của nước việt ta), uất lâm (nhà tần là quận quế lâm, hán vũ đế đổi làm tên này), hợp phố (nhà tần là tượng
置制史太守.	Đặt thứ sử, thái thú.
黎文休曰:吕嘉之諫哀王及樛太后使毋求為漢諸侯,毋餘邊關,可謂䏻重越矣.	Lê văn hưu nói: lữ gia can ngăn ai vương và cù thái hậu không nên xin làm chư hầu nhà hán, đừng triệt bỏ cửa quan ở biên giới, có thể gọi là biết trọng nước việt vậy.
若猶不從,則當引𠧨避位不爾則用伊霍故事,别選明王子一人代位,使哀王得如太甲,昌邑保全性命,則進退不失.	Song can mà không nghe, thì nghĩa đáng đem hết bầy tôi đến triều đình, trước mặt vua trình bày lợi hại về việc nước hán, nước việt đều xưng đế cả, có lẽ ai vương và thái hậu cũng nghe ra mà tỉnh ngộ nếu lại vẫn không nghe theo, thì nên tự trách mình mà lánh ngôi, nếu không thế thì dùng việc cũ họ y, họ hoắc, chọn một người khác trong hàng con của minh vương để thay ngôi, cho ai vương được như thái giáp và xương ấp mà giữ toàn tính mệnh, như thế thì không lỗi đường tiến thoái.
今乃弑其君以逞私怨,又不能以子守國,使越分裂,而入臣漢人,則吕嘉之罪有不容誅者矣.	Nay lại giết vua để hả lòng oán, lại không biết cố chết để giữ lấy nước, khiến cho nước việt bị chia cắt, phải làm tôi nhà hán, tội của lữ gia đáng chết không dung.
史臣吳士連曰:五嶺之於我越者,是為險塞國之門,戶猶鄭之虎牢,虢之下陽也.	Sử thần ngô sĩ liên nói: ngũ lĩnh đối với nước việt ta là ải hiểm cửa ngõ của nước cũng như hổ lao của nước trịnh, hạ dương của nước quắc.
帝越者固宜設險守國,不可使之失也.	Làm vua nước việt tất phải đặt quân chỗ hiểm để giữ nước, không thể để cho mất được.
趙氏一失其守國亡綂絶,土宇瓜分.	Họ triệu một khi đã không giữ được đất hiểm ấy thì nước mất dòng tuyệt, bờ cõi bị chia cắt.
我越又分,南北之勢成矣.	Nước việt ta lại bị phân chia, thành ra cái thế nam - bắc vậy.
後有帝王之興,地險已失,復之必難.	Sau này các bậc đế vương nổi dậy, chỗ đất hiểm đã mất rồi, khôi phục lại tất nhiên là khó.
故徵女王雖能略定嶺南之地,不能㨿得嶺險旋底於亡.	Cho nên trưng nữ vương tuy đánh lấy được đất lĩnh nam, nhưng không giữ được nơi hiểm yếu ở ngũ lĩnh, rốt cuộc đến bại vong.
士王雖復全盛,然猶為當時諸侯未正位號,没後又失之,而丁黎李陳止有交州以南之地,不復趙武之舊,勢使然也.	Sĩ vương tuy khôi phục toàn thịnh, nhưng bấy giờ còn là chư hầu, chưa chính vị hiệu, sau khi chết lại mất hết; mà các nhà đinh, lê, lý, trần chỉ có đất từ giao châu trở về nam thôi, không khôi phục được đất cũ của triệu vũ đế, cái thế khiến nên như vậy.
屬西漢紀.	Kỷ thuộc tây hán.
我越既属于漢,漢以石戴爲九郡太守[漢制以州領郡,除珠崖耳皆在海中,餘七郡属交州,戴爲州太守.	(chế độ nhà hán lấy châu lãnh quận, trừ hai quận châu nhai, đạm nhĩ đều ở giữa biển, còn bảy quận thuộc về giao châu, đái làm châu thái thú.
西漢守任治所在龍淵即龍編,東漢在麋冷即安朗],及戴卒,漢昭帝以周章代之.	Đến khi đái chết, hán chiêu đế lấy chu chương thay.
至王莽末,交州牧鄧讓及諸郡閉境自守,漢將岑彭素厚善讓,與讓書陳漢家威德.	Đến cuối đời vương mãng, châu mục giao châu là đặng nhượng cùng các quận đóng chặn bờ cõi để tự giữ.
於是率交趾太守錫光及諸郡太守杜穆等遣使貢献于漢.	Thế rồi bảo thái thú giao chỉ là tích quang và thái thú các quận là bọn đỗ mục sai sứ sang cống hiến nhà hán.
漢悉封爲列侯.	Nhà hán đều phong cho những người ấy tước hầu.
當時漢光武建武五年己丑也.	Bấy giờ là năm kỷ sửu thời hán quang vũ năm kiến vũ thứ năm.
錫光漢中人,在.	Tích quang người quận hán trung, khi ở
交止,敎民以禮義.	Giao chỉ, lấy lễ nghĩa dạy dân.
復以任延爲九真太守.	Lại lấy nhâm diên làm thái thú cửu chân.
延宛人.	Diên là người uyển.
九真俗以漁獵爲業,不事耕種.	Tục người cửu chân chỉ làm nghề đánh cá, đi săn, không biết cày cấy.
延乃敎民墾闢歲歲耕種,百姓充給.	Diên mới dạy dân khai khẩn ruộng đất, hàng năm cày trồng, trăm họ no đủ.
貧民無聘禮者,延令長吏以下省俸祿以賑助之,同時娶者二千人.	Dân nghèo không có sính lễ cưới vợ, diên bảo các trưởng lại trở xuống bớt bổng lộc ra để giúp đỡ, cùng một lúc lấy vợ có đến hai nghìn người.
視事四年召還.	Diên coi việc được bốn năm thì bị gọi về.
九真人爲之立祠.	Người cửu chân làm đền thờ.
其生子置名皆曰任焉.	Những người đẻ con đều đặt tên là nhâm.
嶺南文風始二守焉.	Phong tục văn minh của đất lĩnh nam bắt đầu từ hai thái thú ấy.
己亥,[漢光武劉秀,建武十五年].	Kỷ hợi, (hán quang vũ lưu tú, kiến vũ năm thứ mười lăm).
交趾太守蘇定爲政貪暴,徵女王起兵攻之.	Thái thú giao chỉ là tô định chính sự tham lam tàn bạo, trưng nữ vương dấy binh đánh.
右属于漢,自辛未至己亥,凣一百四十九年.	Trở lên là thuộc nhà hán, từ năm tân mùi đến năm kỷ hợi, cộng một trăm bốn mươi chín năm.
徵女王紀.	Kỷ trưng nữ vương.
徵王.	Trưng vương.
在位三年.	Ở ngôi ba năm.
[王甚雄勇,逐蘇定,建國稱王,然以女主,不能成再造之功].	Vua rất hùng dũng, đuổi tô định, dựng nước xưng vương, nhưng vì là vua đàn bà, không thể làm nên công tái tạo.
諱側,姓徵.	Tên huý là trắc, họ trưng.
本姓雒,峯州麋冷縣雒將之女,朱鳶縣詩索之妻也.	Nguyên là họ lạc, con gái của lạc tướng huyện mê linh, phong châu, vợ của thi sách ở huyện chu diên.
[詩索亦雒將子,两家子相爲婚姻綱目集覧以雒爲姓誤矣]都麋冷[麋音縻].	(thi sách cũng là con lạc tướng, con hai nhà tướng kết hôn với nhau.
庚子,元年[漢建武十六年].	Canh tý, năm thứ nhất, (hán kiến vũ năm thứ mười sáu).
春,二月,王苦太守蘇定绳以法,及讐定之殺其夫,乃與其妹貳舉兵攻陷州治.	Mùa xuân, tháng hai, vua khổ vì thái thú tô định dùng pháp luật trói buộc, lại thù định giết chồng mình, mới cùng với em gái là nhị nổi binh đánh hãm trị sở ở châu.
定奔還.	Định chạy về nước.
南海,九真,日南,合浦皆應之,畧定嶺南六十.	Các quận nam hải, cửu chân, nhật nam, hợp phố đều hưởng ứng, lấy được
五城,自立爲王,始稱徵姓焉.	Sáu mươi lăm thành ở lĩnh nam, tự lập làm vua, mới xưng là họ trưng.
辛丑,二年[漢建武十七年].	Tân sửu, năm thứ hai, (hán kiến vũ năm thứ mười bảy).
春,二月,晦,日食.	Mùa xuân, tháng hai, ngày ba mươi, nhật thực.
漢以徵氏稱王,舉兵攻陷城邑,邊郡苦之,乃命長沙,合浦及我交州具車船,修橋道,通障溪,儲粮榖,拜馬援爲伏波將軍,以扶樂侯刘隆爲副來侵.	Nhà hán thấy họ trưng xưng vương, dấy quân đánh lấy các thành ấp, các quận biên thuỳ bị khổ, mới hạ lệnh cho trường sa, hợp phố và giao châu ta sắp sẵn xe thuyền, sửa sang cầu đường, thông các núi khe, chứa thóc lương, cho mã viện làm phục ba tướng quân, phù lạc hầu lưu long làm phó sang xâm lược.
壬寅,三年[漢建武十八年].	Nhâm dần, năm thứ ba bốn mươi hai ], (hán kiến vũ năm thứ mười tám).
春,正月,馬援沿海而進,隨山刊道千餘里,至浪泊上羅城西街之西名浪泊]與王戰.	Mùa xuân, tháng giêng, mã viện theo ven biển mà tiến, san núi làm đường hơn nghìn dặm, đến lãng bạc (ở phía tây tây nhai của la thành, gọi là lãng bạc) đánh nhau với vua.
王見虜󰟨大張,自度烏合之󰕛,恐不能支,退保禁溪[禁溪史作金溪]󰕛亦以王女子,慮不能勝敵,遂走散.	Vua thấy thế giặc mạnh lắm, tự nghĩ quân mình ô hợp, sợ không chống nổi, lui quân về giữ cấm khê (cấm khê, sử chép là kim khê).
國統復絶.	Quốc thống lại mất.
黎文休曰:徵側,徵貳以女子,一呼而九真,日南,合浦及嶺外六十五城皆應之,其立國稱王易如反掌,可見我越形勢足致覇王之業也.	Lê văn hưu nói: trưng trắc, trưng nhị là đàn bà, hô một tiếng mà các quận cửu chân, nhật nam, hợp phố, cùng sáu mươi lăm thành ở lĩnh ngoại đều hưởng ứng, việc dựng nước xưng vương dễ như trở bàn tay, có thể thấy hình thế đất việt ta đủ dựng được nghiệp bá vương.
惜乎繼趙之後以至吳氏之前,千餘年之間,男子徒自低頭束手爲北人臣僕,曾不愧二徵之女子?	Tiếc rằng nối sau họ triệu cho đến trước họ ngô, trong khoảng hơn nghìn năm, bọn đàn ông chỉ cúi đầu bó tay, làm tôi tớ cho người phương bắc, há chẳng xấu hổ với hai chị em họ trưng là đàn bà hay sao?
可謂自棄矣.	Có thể gọi là tự vứt bỏ mình vậy.
右徵女王,起庚子,終任寅,凣三年.	Trở lên là trưng nữ vương, bắt đầu từ năm canh tý đến năm nhâm dần thì hết, tất cả ba năm.
属東漢紀.	Kỷ thuộc đông hán.
癸卯,四年[漢建武春,正月,十九年].	Quý mão, (hán kiến vũ năm thứ mười chín).
徵女王及其妹貳與漢.	Mùa xuân, tháng giêng, trưng nữ vương cùng em gái là nhị chống cự lại với quân nhà hán,
兵拒戰,势孤遂皆陷没.	Thế cô, đều thua chết.
馬援追擊其餘󰕛都陽等.	Mã viện đuổi theo đánh quân còn sót là bọn đô dương.
至居封縣降之,乃立銅柱爲漢極𪽐.	Đến huyện cư phong thì đầu hàng, bèn dựng cột đồng làm giới hạn cuối cùng của nhà hán.
銅柱,相傳在欽州古洞上.	(cột đồng tương truyền ở trên động cổ lâu châu khâm.
援有誓云:銅柱折交州滅我越人過其下,每以石培之,遂成,丘陵,恐其折也,唐馬總,又建二銅柱於漢,故處記著馬德以其爲伏波之裔今未詳所在,左右二江合有其一援以西于縣,有户三萬三千,因請分爲封溪望海二縣,漢帝從之.	Mã tổng nhà đường lại dựng hai cột đồng ở chỗ cũ của nhà hán ghi công đức của mã viện để tỏ ra mình là dòng dõi của phục ba, nay chưa rõ ở chỗ nào.
援又築蠒江城於封溪.	Viện lại đắp thành kiển giang ở huyện phong khê.
其城圓如蠒,故以爲名.	Thành đắp tròn như hình cái kén, cho nên lấy làm tên.
我越遂属于漢.	Nước việt ta lại thuộc vào nhà hán.
後三年,援還.	Ba năm sau, viện trở về.
土人哀慕徵女王立祠奉事之[祠在福祿縣,喝江社,番禺舊地城亦有之].	Người địa phương thương mến trưng nữ vương, làm đền thờ phụng (đền ở xã hát giang, huyện phúc lộc, ở đất cũ thành phiên ngung cũng có).
我越國統幾乎復合,其英雄氣槩𡸈獨於生時建國稱王,没後能捍灾禦患.	Quốc thống nước ta cơ hồ được khôi phục, khí khái anh hùng há chỉ lúc sống dựng nước xưng vương, mà sau khi chết còn có thể chống ngăn tai hoạ.
凣遭灾傷水旱,禱之無不應.	Phàm gặp những việc tai ương hạn lụt, đến cầu đảo không việc gì là không linh ứng.
徵妹亦然.	Cả bà trưng em cũng thế.
蓋女有士行,而其雄勇之氣,在天地間,不以身之没而有餒也.	Vì là đàn bà mà có đức hạnh kẻ sĩ, cái khí hùng dũng trong khoảng trời đất không vì thân chết mà kém đi.
大丈夫𡸈可不養其剛直正大之氣哉?	Bọn đại trượng phu há chẳng nên nuôi lấy cái khí phách cương trực chính đại ấy ư?
甲辰,[漢建武二十年].	Giáp thìn, (hán kiến vũ năm thứ hai mươi).
自此以後,歷漢明帝,章帝,和帝,殤帝,安帝,凣五世,共八十二年,惟明帝時,南陽人李善守日南以惠愛爲政,𢙇來異俗.	Từ đây về sau, trải các đời hán minh đế, chương đế, hoà đế, thượng đế, an đế, gồm năm đời, cộng tám mươi hai năm, duy thời minh đế có lý thiện người huyện nam dương làm tháu thú nhật nam, làm việc chính sự có ân huệ yên dân, khiến cho người khác phong tục cũng mến chuộng tìm đến.
遷九真太守.	Sau thiện đổi làm thái thú cửu chân.
丙子,[漢順帝保永和元年].	Bính tý, (hán thuận đế bảo, vĩnh hoà năm thứ nhất).
太守周僘以交州在九圍之外,百.	Thái thú chu xưởng cho là giao châu ở ngoài chín châu,
越之表,上表請置方伯.	Ở rìa bách việt, dâng biểu xin đặt phương bá.
漢帝以僘爲刺史,都監郡縣.	Vua hán để cho xưởng làm thứ sử, cai quản các quận huyện.
丁丑,[漢永和二年].	Đinh sửu, (hán vĩnh hoà năm thứ hai).
日南象林蠻[古越裳國界]區憐等攻郡縣,殺長吏.	Người man ở huyện tượng lâm, quận nhật nam (ở địa giới nước việt thường xưa), là bọn khu liên đánh phá quận huyện, giết trưởng lại.
交州刺史樊演發州兵及九真兵萬餘人救之,兵士憚遠役.	Thứ sử giao châu là phàn diễn đem quân châu và quân cửu chân hơn vạn người đi cứu ứng, nhưng quân lính ngại đi xa.
秋,七月,二郡兵反攻府治,其󰟨轉盛.	Mùa thu, tháng bảy, quân hai quận làm phản đánh phủ trị, thế chuyển thành mạnh.
戊寅,[漢永和三年].	Mậu dần, (hán vĩnh hoà năm thứ ba).
夏,五月,侍御史賈昌與州郡併力討區憐等不克,爲所攻圍歲餘,兵毂不繼.	Mùa hạ, tháng năm, thị ngự sử giả xương cùng với các châu quận hợp sức đánh bọn khu liên không được, bị khu liên vây đánh hơn một năm, binh lương không thể tiếp tế được.
漢帝召公卿百官及四府椽属問以方畧,皆議遣將發荆楊.	Vua hán gọi các công khanh và thuộc lại bốn phủ để hỏi phương lược, các quan đều bàn nên sai tướng phát bốn vạn quân của bốn châu kinh, dương,
兖豫四萬人赴之.	Duyện, dự đi đánh.
李固駁曰:荆,楊盗賊盤結不散;長沙,桂陽數被徵發,如復擾動,必更生患.	Lý cổ bác đi, nói rằng: " các châu kinh, dương giặc cướp tụ họp chưa tan; trường sa, quế dương đã nhiều lần bị thu thuế bắt lính, nay lại làm rối động, ắt lại sinh hoạ nữa.
兖豫之人遠赴萬里,詔書迫促,必𦤶叛亡.	Người các châu duyện, dự phải đi xa muôn dặm, chiếu thư thúc bách, tất phải bỏ trốn.
南州暑濕加以瘴癘,致死亡者,十必四五.	Nam châu thì trời nắng nực, ẩm thấp lại thêm lam chướng dịch lệ, mười phần phải chết đến bốn, năm phần.
遠涉萬李,士卒疲勞,此至嶺南不復堪鬪.	Đường xa muôn dặm, quân lính mỏi mệt, đến lúc tới lĩnh nam thì đã không kham nổi chiến đấu.
軍行日三十里,而兖豫去日南九千餘里,三百日乃到.	Quân đi mỗi ngày ba mươi dặm mà duyện, dự cách quận nhật nam hơn chín nghìn dặm, phải ba trăm ngày mới đến.
計人廪五升,用米六十萬斛,不計將吏驢馬之食.	Tính lương một người ăn mỗi ngày năm thăng, thì phải dùng đến sáu mươi vạn hộc gạo, đó là không kể lương thực của tướng lại và lừa ngựa.
設軍所在,死亡必󰕛,既不足禦敵,當復更發.	Đặt quân ở đấy, chết chóc tất nhiều, đã không đủ quân chống giặc, lại phải bắt thêm.
此爲刻割腹心以補四肢.	Thế là xẻo cắt lòng bụng để chắp vá cho chân tay.
九真,日南相去千里,發其吏民猶且弗堪,况乃苦四州.	Cửu chân và nhật nam chỉ cách nhau một nghìn dặm, lại dân ở đó đi đánh còn không kham nổi, huống chi lại làm khổ quân lính ở bốn châu
之卒,以赴萬里之難哉?	Để cứu nạn xa muôn dặm?
前中郎將尹就討益州叛羗,益州諺曰:"虜來尙可,尹來殺我".	Trước đây trung lang tướng doãn tựu đánh người khương làm phản ở ích châu, người ích châu có ngạn ngữ rằng: " lỗ lai thượng khả, doãn lai sát ngã " (giặc đến còn khá, doãn đến chết ta).
後就徵還,以兵付判州張喬,喬因其將吏,旬日之間殄滅群道.	Sau tựu bị đòi về, đem quân giao cho phán châu là trương kiều, kiều vẫn dùng tướng lại của tựu, chỉ trong khoảng mười hôm, diệt hết giặc cướp.
此發將無益之效,州郡可任之驗也.	Thế là bằng chứng tỏ rằng sai tướng đi là vô ích, mà châu quận có thể dùng được.
宜更選有勇畧仁惠,可任將帥者,以爲刺史,太守,徙日南吏民北依交趾,還募蠻夷使自相攻,轉輸金帛以爲其資,有能反間致降許以裂土之封.	Nay nên chọn người nào có dũng lược nhân huệ, có thể làm tướng suý được, cho làm thứ sử, thái thú, dời lại dân ở nhật nam đến nương dựa vào quận giao chỉ ở bắc, trở lại chiêu mộ người man di, khiến họ đánh lẫn nhau, chuyển vận hàng lụa đến để cấp cho, kẻ nào có thể phản gián dụ hàng thì cắt đất phong cho.
前并州刺史祝良性勇决,張喬前在益州有破虜之功,皆可任用.	Thứ sử tính châu trước là chúc lương dũng mãnh quyết đoán, trương kiều trước ở ích châu có công phá giặc, đều có thể dùng được.
四府必從固議.	Bốn phủ đều theo lời bàn của cố.
即拜良爲九真太守,喬爲交州刺史.	Bèn cho lương làm thái thú cửu chân, kiều làm thứ sử giao châu.
喬至開誠慰諭,󰕛皆降服.	Kiều đến nơi, lấy lòng thành thật dỗ bảo, dân chúng đều hàng phục.
良單車到九真示以威信,降者數萬人.	Lương đi một xe đến cửu chân, tỏ rõ uy tín, người ra hàng đến vài vạn.
甲申,[漢建康元年].	Giáp thân, (hán kiến khang năm thứ nhất).
秋,八月,漢帝崩.	Mùa thu, tháng tám, vua hán mất.
冬,十月,日南復攻燒郡邑.	Mùa đông, tháng mười, người nhật nam lại đánh đốt quận ấp.
九真刺史夏方招降者而撫諭之.	Thứ sử cửu chân là hạ phương gọi những kẻ ra hàng dỗ bảo họ.
尋轉桂陽太守以劉藻代之.	Sau phương đổi làm thái thú quế dương, lấy lưu tảo thay.
庚子,[漢桓帝志元嘉二年].	Canh tý, (hán hoàn đế chí, nguyên gia năm thứ hai).
冬,十一月,九真郡人復屯據日南,󰕛轉強盛.	Mùa đông, tháng mười một, người quận cửu chân lại đóng giữ quận nhật nam, quân chúng trở nên mạnh hơn.
時夏方已徙桂陽太守,因復拜爲刺史.	Khi ấy hạ phương đã đổi làm thái thú quế dương, lại giao cho làm thứ sử.
方威惠素著,及至日南,眾聚萬餘人相率諸方降.	Phương vốn có tiếng về uy đức, khi đến nhật nam, dân chúng tụ họp hơn vạn người đem nhau đến đầu hàng phương.
戊午,[漢灵帝宏光和元年].	Mậu ngọ, (hán linh đế hoành, quang hoà năm thứ nhất).
夏,四月,州人及烏滸蠻久爲亂,牧.	Mùa hạ, tháng bốn, người trong châu và bọn man ô hử làm loạn đã lâu, mục
守周喁不能禦,州人梁龍等因之起兵攻破郡縣,有眾數萬人.	Thú là chu ngung không ngăn được, người châu là bọn lương long nhân đấy dấy binh đánh phá quận huyện, quân đến vài vạn người.
辛酉,[漢光和四年].	Tân dậu, (hán quang hoà năm thứ bốn).
漢帝使蘭陵令會󰏲,上󰔄人朱儁救喁.	Vua hán sai huyện lệnh lan lăng là chu tuấn, người thượng ngu quận cối kê, sang cứu ngung.
道過本鄕,募家兵及所調兵五千,從两道入.	Đường đi qua quê nhà, tuấn mộ thêm gia binh cùng với binh đem đi theo cộng năm nghìn người, theo hai đường tiến vào.
先使人觀虚實,宣揚威德以震動其心,既而土郡兵逼進,殺梁龍,降者數萬人.	Trước hết sai xem xét hư thực, tuyên dương uy đức để lay động lòng người rồi quân bảy quận tiến bức, giết được lương long, kẻ đầu hàng đến vài vạn người.
甲子,[漢中平元年].	Giáp tý, (hán trung bình năm thứ nhất).
州人屯兵執刺史周喁殺之,遣人請闕數喁罪狀.	Đồn binh người châu bắt thứ sử chu ngung giết đi, sai người đến cửa khuyết kể tội trạng của ngung.
漢帝聞之,詔精選能吏.	Vua hán nghe tâu, xuống chiếu chọn kỹ quan lại có tài.
有司進東郡聊城人賈琮以爲刺史.	Hữu ty tiến cử giả tông là người liêu thành đông quận làm thứ sử (tông trước làm ngự sử).
[琮初爲御史].	Trước đây những người làm thứ sử thấy
其地有明珠,翠羽,犀,象,玳瑁,異香,美材之物,率無清,行財計盈,給輙求遷代,故吏民皆叛之.	Đất châu có các thứ ngọc trai, lông trả, tê, voi, đồi mồi, hương lạ, gỗ tốt, nhiều người không liêm khiết, vơ vét của cải cho đầy, rồi lại xin đổi đi, cho nên lại dân đều làm phản cả.
及琮到部,訊其叛狀,僉曰前政賦歛深刻,百姓莫不困乏,京師遙遠,無所告訴,民不聊生,故相聚以拒之,非真叛也.	Kịp khi tông đến bộ, xét hỏi tình trạng làm phản, người ta đều nói rằng chính lệnh trước thuế má nặng quá, trăm họ không ai không khốn khổ túng thiếu, kinh sư thì xa, không biết tố cáo vào đâu, dân không sống nổi, nên tụ họp nhau để chống, chứ không thực sự làm phản.
琮乃遣人分行慰諭,使各安其業,招撫流亡,蠲復賦歛.	Tông mới sai người chia đi các nơi để khuyên dỗ, khiến đều yên nghiệp làm ăn, dụ dỗ những kẻ lưu vong, tha bớt thuế khoá.
於是誅爲苛虐之魁首者,簡良吏守諸郡縣.	Rồi giết kẻ bạo ngược đầu sỏ, chọn quan lại tốt cho giữ quận huyện.
百姓以安,街巷爲之歌曰:"賈父來晚,使我先反.	Trăm họ được yên, trên đường ngõ người ta có câu rằng: " giả phụ lai vãn, sử ngã tiên phản.
今見清平,不敢復反".	(bố giả đến muộn, khiến ta phản trước; nay thấy thanh bình, không dám phản nữa).
琮任事三年,徵拜議郎使李進代之[李進我交州人].	Tông coi việc ba năm, được gọi về làm chức nghị lan.
黎文休曰:"觀史至我越無主之時,爲北人刺史之無清行者所困.	Bính dần, (hán trung bình năm thứ ba) lê văn hưu nói: xem sử đến thời nước việt ta không có vua, bị bọn thứ sử người bắc tham tàn làm khổ.
北京地遠,無所告訴,不覺愧感父集,翼見精誠如後唐明宗時,焚香祝天:願天爲我越,早生聖人,自帝其國,以免北人之侵漁者也.	Bắc kinh đường xa, không biết kêu vào đâu, bất giác xen lẫn cảm thương hổ thẹn, muốn tỏ lòng thành như minh tông nhà hậu đường, thường thắp hương khấn trời: xin trời vì nước việt ta sớm sinh thánh nhân, tự làm đế nước nhà, để khỏi bị người phương bắc cướp vét.
右属于漢,自癸卯至丙寅,凣一百四十四年.	Trở lên là thời thuộc hán, từ năm quý mão đến năm bính dần, tất cả một trăm bốn mươi bốn năm.
士王紀.	Kỷ sĩ vương.
士王,在位四十年,壽九十年[王寬厚謙虚,人心愛戴,保全越之地,以當三國之強,既明且智,足称賢君].	Vương là người khoan hậu khiêm tốn, lòng người yêu quý, giữ vẹn đất việt để đương đầu với sức mạnh của tam quốc, đã sáng suốt lại mưu trí, đáng gọi là người hiền.
姓士,諱燮,字彦威,蒼梧廣信人也.	Họ sĩ, tên huý là nhiếp, tự là ngạn uy, người huyện quảng tín, quận thương ngô.
其先魯國汶陽人也,北朝王莽之亂,避地于我越六世至王.	Tổ tiên người vấn dương nước lỗ, hồi loạn vương mãng ở bắc triều, tránh sang ở đất việt ta, đến vương là sáu đời.
父賜,漢桓帝時爲日南太守.	Cha là tứ, thời hán hoàn đế làm thái thú nhật nam.
王少游學漢京,從穎川劉子奇治左氏春秋,爲注解,舉孝廉,補尙書郎,以公事免官;父䘮闋[音鈌盡也]後舉荗才,除巫陽令遷交州太守,封龍度亭侯,都󰱋漊[漊一作樓.	Khi còn ít tuổi, vương du học ở kinh đô nhà hán, theo học lưu tử kỳ người dĩnh xuyên, chuyên trị sách tả thị xuân thu, có làm chú giải: được cử hiếu liêm, bổ làm thượng thư lang, vì việc công bị miễn chức; hết tang cha, lại được cử mậu tài, bổ làm huyện lệnh vu dương, đổi làm thái thú giao châu, được tước long độ đình hầu, đóng đô ở liên lâu (tức là long biên) tám mươi.
即龍編]後陳朝追封善感嘉應靈武大王.	Sau nhà trần truy phong làm thiên cảm gia ứng vũ đại vương.
丁卯,元年,[漢中平四年]王有第三人一,鮪,武.	Đinh mão, năm thứ nhất, (hán trung bình năm thứ bốn).
時刺史朱.	Bấy giờ thứ sử chu
符爲夷賊所殺,州郡擾亂,王乃表一領合浦太守,鮪領九真太守,武領南海太守.	Phù bị giặc di giết chết, châu quận rối loạn, vương bèn dâng biểu cử nhất làm thái thú hợp phố, vĩ làm thái thú cửu chân, vũ làm thái thú nam hải.
王噐禮寬厚,謙虚下士,國人愛之,皆呼曰王.	Vương độ lượng khoan hậu, khiêm tốn, kính trọng kẻ sĩ, người trong nước yêu mến, đều gọi là vương.
漢之名士避難往依者以百數.	Danh sĩ nhà hán tránh nạn sang nương tựa có hàng trăm người.
庚辰,十四年,[漢献帝恊刺史李進上言於漢帝曰:"率土之濱莫非王臣,今建安五年].	Canh thìn, năm thứ mười bốn, (hán hiến đế hiệp, kiến an năm thứ năm).
登仕朝廷皆中州之士,未嘗奬勸遠人".	Thứ sử lý tiến dâng lời tâu lên vua hán rằng: " khắp cả thiên hạ đều là bề tôi của vua, thế mà nay làm quan ở triều đình đều là sĩ phu ở trung châu cả, chưa từng khuyến khích người xa ".
辭意感切,多所援引.	Lời lẽ thiết tha cảm động, lại viện dẫn nhiều bằng chứng.
漢帝詔我州之有孝廉荗才,許除補属州長吏,不得任中州.	Vua hán xuống chiếu cho người châu ta ai được cử hiếu liêm mậu tài thì cho phép được bổ trưởng lại trong châu, không được bổ ở trung châu.
進復上疏曰:"所舉孝廉請與十二州博士,以人才專對".	Tiến lại dâng sớ nói: " người được cử làm hiếu liêm xin cho được như bác sĩ ở mười hai châu, căn cứ theo nhân tài mà đối xử ".
而有司恐遠人虚誕,毀折中朝,不許.	Nhưng hữu ty sợ rằng người phương xa khoác lác mà chê bai bắt bẻ triều đình, nên không chuẩn cho.
