武功耆定。	Võ công định sáng .
三月安豐人阮當明偽稱福德二年率本縣人起兵刼掠旁縣。	Tháng ba năm An Phong , Nguyễn Đăng Minh giả xưng Phúc Đức , dẫn người quận Bản nổi quân cướp đồng xã lân cận .
所築之處視民田地度其所築依價還錢。	Nơi xây dựng , xem đất dân đo , đất đó xây dựng theo giá trả tiền .
明日經清川地芒夢山。	Ngày mai qua đất sông trong mộng núi cao .
又作小梯登車。	Lại làm thang nhỏ lên xe .
文章關國家之氣運寂寂則茅。	Văn chương liên quan đến vận nước , tịch tịch thì màu mù .
乃以陰置毒于手中潜捫瘡處帝疾始增劇矣。	Lại đem độc ẩn trong tay , dò dấu chỗ thương , bệnh của vua mới thêm nặng thay .
遣使徧行鄕邑撫論遣民。	Gửi sứ giả đi khắp làng xã , thăm hỏi dân chúng .
時各教官多不稱職或互相短辱事聞于朝故試以汰之。	Thời gian các quan giáo dục nhiều người không xứng với chức .  Hoặc đánh nhau , thương nhau , việc nghe đến triều đình , nên thử mà trừ bớt .
明宗曰順義行嗞安危何足慮也。	Minh Tông nói : “ Thực hành thuận nghĩa , an nguy đâu đáng lo ” .
府尹彈壓之官如見權貴勢家不等員人驕從游俠弗遵法制許得彈糾懲治。	Phủ ấn là quan đàn áp , như thấy quyền quý thế gia , không phân biệt người chúng sanh , kiêu ngạo theo đường cướp giặc , không tuân theo pháp lệnh , được phép đánh dẹp trừng trị .
宋以便宜許之。	Nhà Tống cho phép theo nhu cầu .
壬午紹豊二年元至元二年。	Năm Canh Tuất năm thứ hai của triều Thiệu Phong .  Năm Nhâm Mùi năm thứ hai của triều Nguyên Trịnh Nguyên .
時帝既幸外登庸乃𭁈太師諒國公黎輔羙郡公黎琱錦山侯黎叔祐宏禮侯范嘉謨端禮侯楊金鏕瓊溪侯武護楊川侯阮如桂共謀立帝弟椿。	Thời đế đã đến ngoài , bổ nhiệm mới thấy thô sơ , Thái sư Lê Phụng , Quốc công Lê Phụng , Quận công Lê Sơn , Hầu Cẩm Sơn Lê Thục Hậu , Hầu Phan Cảm , Hầu Dương Kim , Hầu Nhuỵ Quế , Hầu Vũ Hộ , Hầu Dương Xuyên , Hầu Nguyễn Như , cùng mưu lập đế đ
定諸藩使臣朝貢京國。	Bình yên các châu phên , sứ thần chầu cống kinh quốc .
奉金󰀋上仁宗尊號曰欽文仁孝宣明皇帝廟號仁宗阮太后尊諡曰宣慈仁懿昭肅皇太后。	Thờ phụng Kim Cổ , tôn hiệu Thượng Nhân Tông là Kim Văn Nhân Hiếu Hiển Minh Hoàng Đế , miếu hiệu Nhân Tông , Nghiêu Thái hậu tôn hiệu là Hiển từ Nhân Ý Chiêu Thục Hoàng Thái hậu .
八月莫兵果至擄掠方民沿河各縣人民流散其地空虚。	Tháng tám quân Mạc đến thực sự , bắt bớ dân làng , dân xã bờ sông chạy trốn , thôn xóm vắng vẻ .
黎截黎元鼎潜兵於喝江謀襲重光帝。	Lê Giáp Lê Nguyên Đinh , ẩn binh ở sông Hát , âm mưu đánh vua Trọng Quang .
遣族目皇兄黎梗黎榴及工部左侍郎馮克寬等同賫安南都統使司印及前安南國王印墨樣二件金子一百斤銀子一千两𭁈國耆老數十人同赴鎮南交䦕候行會勘。	Gửi mắt một nhánh nhà vua , Lê Cung , Lê Lưu , cùng phóng thị lang tả Bộ Công , Phùng Khắc Hoan , v.v , mang theo sáu vật : 1 . ấn sứ đô thống Ân Nam ; 2 . ấn mực vua cũ Ân Nam ; 3 . vàng trăm lượng ; 4 . bạc nghìn lượng ; 5 . mấy chục người già
若已斷鈌穿緡不得即不用。	Nếu đã đứt dây thì thấu mạch không được , nên không dùng .
新平鎮為西平鎮。	Xã Tân Bình là trấn Tây Bình .
岱微服前至郡下。	Đài ở phục nhỏ , trước đến dưới quận .
入内少尉上南策衛總管黎朗為參知西道諸衛軍事。	Vào trong , Thiếu việt Thượng Nam , Tổng quản Binh ngự , Lê Lương làm Tham tri .  Đường Tây , các quân sự , Lê Lượng làm Tham tri .
罷大小司社大撮甲仍依舊制。	Bỏ chức tướng lớn , tướng nhỏ , xã trưởng , quan quân sự , vẫn theo quy cách cũ .
嘉等與其撲燎原之火於方熾之中孰若杜禍乱之機於未兆之日之為愈也。	Có người bảo rằng dập lửa cháy rừng trong lúc đang cháy là tốt hơn .  Nhưng ta lại bảo rằng ngăn máy hoạ loạn trước khi nổ là tốt hơn .
於是乂安之地盡爲我有。	Vậy nên đất yên ổn đều là của ta .
八月𤤻師。	Tháng tám đánh quân Tây .
智髙奔大理。	Trí cao về đạo lớn .
其治軍有紀律待将校如家人與士卒同甘苦故所至莫敢當凣征伐所得必以充軍儲視才貨泊如也為一時名将云。	Việc quản quân có kỷ luật , đối với tướng hiệu như nhà , với lính quân chia đồng cam khổ , nên nơi nào đến đều không dám đối đầu , trong việc chiến đấu được lợi thì phải dùng để đầy quân kho , xem như không có gì , được xưng là tướng danh thời .
前李南帝在位七年紀元者一。	Trước Lý Nam đế ngôi vị bảy năm , kỷ nguyên là một .
不意逆椿豺狼其性梟獍其心穿墉以鼠牙毒師以蠆尾人心摇動。	Chẳng ngờ nghịch thận , thái dương , tính thì thái dịch , lòng thì quỉ quyết , xuyên tường bằng răng chuột , độc quân bằng đuôi ve , nhân tâm lay động .
明日守度率群臣邀駕還京師。	Ngày mai giữ đạo , dẫn quần thần mong giá về kinh sư .
命引御舶出玉山以疑賊情。	Mệnh dẫn thuyền vua ra núi Ngọc để đoán tình thù .
二十六日莫命户部尚書兼國子監祭酒泳橋伯黄士愷及阮䏻潤阮澧武文奎等徃諒山界首候命迎接使臣。	Ngày hai mươi sáu tháng mười hai , mệnh Hộ Bộ Thượng thư , cùng Quốc Tử Giám , Tế cốc Bá , Hoàng Sĩ Khảo , cùng Nguyễn Cán , Nguyễn Lã , Vũ Văn Khôi , đi đến Lãng Sơn , đầu ải , đợi mệnh đón tiếp sứ thần .
二十六日遣參知簿籍程昱内密院正掌程清翰林院直𭓇阮克孝如明謝勅封。	Ngày hai mươi sáu , sai Tham tri bộ tích , Trình Du , trong viện bí mật , Trình Thanh , chấp trực Hoa lâm , Nguyễn Khác Hiếu , như sáng , Tạ thỉnh phong .
外戚權臣之𫳭則政蠹矣帝王脩齊治平之道果如是乎。	Quyền thần ngoại thích , thì chính sách đã mọt mẹo rồi .  Đế vương tu trì đạo trị bình , liệu có như thế sao ? .
先鋒陳公栢力戦死之。	Tiên phong Trần Công , Bách Lực chiến chết .
按東方朔神異奇經有云南荒之外有火其中皆生不尽之木。	Theo Đông Phương Thạnh , kỳ kinh thần di , có người nói : ngoài cõi Nam Hoang có lửa , trong lửa đó sinh ra cây không cạn .
春正月初四日瑞香祠李翁仲神像汗出。	Tháng giêng ngày bốn tháng giêng , đền Thanh Hương , tượng thần Lý Ông Trọng mồ hôi .
社長類取姓名本府縣州逐一覆實。	Xã trưởng loại lấy tên , chính quyền phủ , huyện , châu , từng nơi đều phải xác minh .
十三曰信號令以一四方之志。	Mười ba năm , tin cậy lệnh một lòng bốn phương .
丁德潤阮德潤阮璜陣前戦死。	Đinh Đức , Nguyễn Đức , Nguyễn Hoàng trận trước chiến thắng .
百年等領兵攻之月餘不䏻破。	Trăm năm đợi quân đánh , một tháng không thể phá .
三月李子克上言江底林有白鹿。	Tháng ba Lý Tử báo trên , dưới sông rừng có hươu trắng .
太原降将迪義營廉郡公缺名擒󰱐莫偽宏羙公。	Thái Nguyên giáng tướng , Đức Nghĩa doanh trại , Quận công Lêm hư danh , bắt giặc Mạc Hồng Mỹ công .
玉󱗲奔安博後㨿萬寕州。	Ngựa ngọc phi đến An Bá , sau đó chiếm được muôn nơi yên bình .
爲國九經。	Vì nước chín kinh .
興孝王回奏上皇乃加封二字鬼神靈應信不誣矣。	Vua Hưng Hiếu trở về , trình báo vua thượng , mới được thêm hai chữ , quỷ thần linh ứng , tin chẳng sai đâu .
乃進兵命阮有僚領鋭卒五千並䧺象鉄騎。	Lúc đó mệnh vua tiến quân , Nguyễn Hữu Lão dẫn binh giỏi năm ngàn cùng voi sừng sững ngựa sắt .
收賊噐械來獻軍前不可勝数。	Thu giặc cơ tướng đem hiến trước quân không thể đếm được .
初景統年間停常川司舍人。	Trước cảnh thống năm , dừng làm sứ thường .  Dòng sông cũng làm thừa nhân .
民携挈而來者有如㱕市。	Dân đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem đem
莫茂洽驚恐破膽下船渡江而走。	Chẳng ngờ thấy cảnh sợ hãi , phá đảm , xuống thuyền vượt sông chạy đi .
乱賊之軰生前則不容天地之間没後則難迯春秋之法。	Bọn giặc loạn sinh sống thì không dung được trong cõi trời đất , mất mòn rồi thì khó trốn được pháp luật xưa nay .
削奪黎文靈等功臣字及職爵降為僕射。	Trừ đoạt các bậc công thần như Lê Văn Linh , họ , tên , chức , tước giáng làm Bộc Xạ .
次槅大雲樓連起長春殿以爲御寢之處。	Thứ hai , lầu Đại Vân nối dựng , điện Trường Xuân để làm nơi ngự nghỉ .
辛未三年明崇禎四年。	Tháng tám năm Tân Mùi , tháng tám năm Thong Trinh .
節制鄭松觧其縛待以賓禮宣諭慰勞語及前王豢養恩義不忍加害。	Giải bó buộc Trịnh Tùng , tiết chỉ Tăng Tôn , đối với như khách , lời thuyết bồi ân , nhắc đến vua trước , nuôi dưỡng ân nghĩa , không thể gây hại .
史臣吳士連曰蘇憲誠受托孤之寄盡忠竭誠善處于變雖震撼擊撞而中流屹乎砥柱卒使上安下順不愧古大臣之風。	Sử thần Ngô Sĩ Liêm nói :  Tô Tử Huyện thực nhận gửi tin cô đơn , tận lòng trung thành , xử tốt việc biến đổi , dẫu động đất chấn trời , nhưng giữ vững trung đoàn , khiến cho trên yên dưới thuận , không thẹn với phong tục đại thần xưa .
又以黎仕澈爲御史󰉟都。	Lại đặt Lê Sỹ Truyền làm quan Ứng sử đô .
五府軍築城。	Năm phủ quân xây thành .
凡戸籍錢榖獄訟總為一路之簿歲季報省以憑󰏲考。	Tất cả hộ tịch , tiền lúa , án tử , án dân , đều làm thành một quản , mỗi năm báo cho tỉnh xem xét .
黄感謝奉命赴鎮。	Hương Cảm , Cảm Mừng đều phụng mệnh đi trấn .
稍有名稱者皆應之。	Ai có chút danh tiếng cũng nên đáp ứng .
江以西一󰅾上自白鶴下至南昌營寨相連舟筏相接。	Từ sông về tây , một dải đất nổi , từ Bạch Hạc xuống đến Nam Xương , doanh trại liền tiếp , thuyền bè cũng liền tiếp .
親提虎旅。	Tự dẫn quân hổ .
明人折屋火攻洞中人被煙火焚烝致死。	Người Minh đốt nhà lửa , người trong động bị khói lửa đốt chết .
十五日帝謁廟是後命文官行禮。	Ngày mười ngũ đế lễ miếu , sau đó mệnh văn quan hành lễ .
阮貴雅落韻出爲附翼縣知縣。	Nguyễn Quý Nhã , lạc vần , ra làm phụ nghiệp huyện Chính huyện .
乞令諭諸将一切停罷。	Xin cho mệnh lệnh cho các tướng đều dừng lại .
念國步之猶屯。	Nhớ nước đang trong cảnh khốn khó .
尚頼元帥統國政清都王以仁厚資濟英䧺志暨親勳文武大臣恊同心力救君親之難拯社稷之危掃蕩莫孽恢復都城内寧外撫近悅遠來。	Còn nhờ nguyên soái , thống quốc chính sáng , đế vương nhờ nhân hậu , trợ giúp anh hùng , chí lớn với thân thân , công lớn văn võ , đại thần cùng một lòng , cứu vua thân khó , cứu xã tắc nguy , quét sạch mọi nghiệt , phục hồi đô thành , trong yên ngoài giữ
斬賊馘千餘級莫将死者數十員。	Chém giặc đầu người nghìn trên , chẳng đem xác người mấy mươi mảnh .
春秋之法君薨嗣君定位於初䘮踰年然後改元。	Pháp xuân thu , vua mất , vua kế thừa định vị trong tháng đầu tiên tang , quá năm mới đổi năm .
諸衛管軍官則府恤軍士練習武藝不可私自差使科歛擾害侵損軍需以為私惠。	Các quan quân chức các quân uyển đều thuộc quyền quản lý của quan phủ , phải chăm sóc cho binh sĩ , luyện tập võ nghệ , không được riêng tư sai sứ , khoa lệ , làm phiền hại , xâm hại nhu cầu quân , để làm ơn riêng .
若犯人窮無所出許以罰錢給被害人送塟。	Nếu phạm người cùng nghèo không cách nào khác , được phạt tiền cho người bị hại để tiêu phí tang mộ .
慰勞三軍。	An ủi ba quân .
又差拔郡公范久生鎮守臨洮諸要路以安興化之民。	Lại sai Bá quận công Phạm , mãi sinh trấn giữ Lâm Thao , các đường quan trọng để yên dân Hưng Hoá .
珝廼謝之以璜領交州爲前部都督。	Lúc ấy , ông từ bỏ chức hầu , được bổ nhiệm làm đô đốc phần trước của Quan hầu .
其車式始於太尉阮黄之所制也。	Xe này là loại xe mới , do Thái vụ Nguỵ Hoàng sáng tạo .
至乂安疾又作。	Yên bình rồi lại bị bệnh .
年深才幹并會試中塲並得除用。	Năm tháng tài năng , đều đỗ thi trung trường , đều được sử dụng .
帝精於禮樂書數曾不是考而叙擾之遂使後世襲為故事踵而行之其失大矣。	Đế tinh ở lễ nhạc , thư số , chẳng phải xét rồi mà tả , nên khiến đời sau nối làm cố hệ , theo mà làm , lỗi lầm lớn thay .
十六日遣御史中丞何甫翰林院知制誥阮如堵御前學生局長梁如鵠等如明謝致祭。	Ngày mười sáu tháng tháng mười hai , sai sứ thừa hành , Hoa Phổ , Nguyễn Như Đỗ , Lương Như Hộc , v.v . cùng với các học sinh trước cung , đến chốn Minh Thành thờ cúng .
黎文休曰一李琢之貪暴𦤶十數年蠻寇之患况甚虐於李琢者乎。	Lê Văn Hiệu nói : “ Một Lý Trác tham bạo , đã mấy chục năm nạn giặc Mân , chưa kể bạo tàn hơn Lý Trác .” .
曰江山有厭勝之術天氣之運聖人之生厭勝有何術乎。	Nói non sông có thuật yêu thích , trời khí có vận sinh , thánh nhân có sinh vật , yêu thích có gì thuật đâu .
且人已降而殺之不祥莫大焉。	Còn người đã giáng mà giết , không lành gì lớn hơn thế .
守度再三固請未𫎇俞𠃔乃謂眾曰凣乘興所在即是朝廷。	Giữ đạo ba lần cầu xin chẳng được , mới bảo chúng nói : nơi nào cũng có triều đình .
王留思之。	Vua lưu ý đến .
武階六品以下文階八九品朝謁服九月。	Bậc võ thất phẩm dưới , bậc văn tám chín phẩm , vào chầu áo chín tháng .
太學生四十八名出身有差。	Trong số sinh viên ở đại học , có bốn mươi tám người được phân loại là xuất thân .
以舌差隊差將巡邉恐取脱州人銀子事𭛁故罷之。	Sát thủy , sát đồn , sát tướng , sát binh , sát quan , sát quân , sát thú , sát dân , sát thói , sát nghề , sát nghiệp , sát nghiệm , sát lời , sát hành , sát tâm , sát tật , sát thể , sát thói , sát nghiệp , sát nghiệm , sát lời , sát hành , sát
十八日節制鄭松督大兵出長安。	Ngày mười tám , tiết chỉ Trịnh Tùng , đốc đại binh ra Trường An .
因為王家臣得王訓導之益材噐絶倫。	Vì nhà vua được hưởng lợi từ việc dạy dỗ của vua nên tài năng vượt khỏi hàng người .
然政事猶用牙印施行新寶俱未用也。	Tuy chính sự vẫn dùng nghiên ấn thực hiện , nhưng bảo mới chưa dùng đến .
󰔻身黑而長有才辨。	Thân đen mà dài , có tài bàn luận .
七日帝親率舟師一千餘艘精兵七十餘萬出新厭𦾔坐二海口樹天子旌旗皷噪而進。	Bảy ngày vua tự dẫn thuyền quân , một ngàn thuyền trên , bảy mươi vạn binh tinh , ra từ Tân Uyên , đặt ở hai bến biển , cột cờ vua , trống chiêng vang dậy mà tiến .
不惟余之家小得安床蓐而爾等之妻孥亦百年之偕老。	Chẳng riêng nhà ta nhỏ , được yên giường gối , mà các ông vợ con cũng trăm năm cùng già .
人人深感大恩。	Người người cảm độc ơn lớn .
從細江縣知縣鄧見素之奏也。	Từ huyện Tí Tiêng , ông Đặng Kiến Tố , quan triều Lý , là người nộp chính sách này .
民命政事簿書獄訟要處置得宜。	Dân mệnh chính sự , bộ sách , sự tố tụng , phải xử lý đúng nơi đúng lúc .
冬十月初七日召進士杜履謙等入應制命作五王帳記。	Tháng mười tháng đầu tháng bảy tháng đông , triệu gọi các đỗ đạt Đỗ Lữ Kiêm , Nguyễn Đức Phong , Lê Trọng Phong , Lê Trọng Phúc , Lê Trọng Thạch vào làm Ngựa Ngũ Vương .
惇典用禮遠奸親賢。	Giữ đạo lệnh , dùng lễ nghĩa , xa người gian , gần người hiền .
時外戚姜种阮伯勝等擅作威福權傾中外民間不得󰁮手動足。	Thời Tô Hiến Tông , họ Tề , họ Càn , họ Nguyễn , Bá Thắng , v.v. thâu quyền , độc một mình làm oai phúc , làm cho dân chúng không được động tay chạm chân .
今年又以疾緩師。	Năm nay lại bị bệnh nên chậm trễ .
五月三日二帝敗賊於長安府斬馘無算。	Ngày ba tháng năm , hai đế đánh bại giặc ở Chương An , chém bóc không đếm xuể .
號令分明軍士奉命整飭部伍。	Hạo lệnh phân minh quân sĩ phụng mệnh sắp xếp bộ tô .
後興孝王討沱江蠻泊白鶴江夜夢神曰前年帝有褒賞之命至是無聞。	Sau đó , Hiếu Vương dẹp giặc Tha Giang , đậu bến Bạch Hạc , đêm mộng thần bảo : “ Năm trước có mệnh vua ban lời khen , đến nay không nghe nói gì nữa .”
夏四月路文律起兵於石室李彬擊破之文律奔哀牢民人巤入佛跡山安岑山洞。	Tháng tư hạ , Lư Văn Lược dẫn quân nổi loạn ở Thạch Thất , Lý Bân đánh tan , Lư Văn Lược chạy đến Âu Lao , dân chúng chạy vào núi Phật tích , núi An Tĩnh , núi Động .
令如捉得暠賞五十人。	Lệnh như bắt được người đáng thưởng năm mươi người .
守度𨿽為宰相而凣事罔不加意。	Giữ đạo lớn làm tể tướng mà việc gì cũng không thêm ý .
春清化府献檳榔一本九莖。	Xuân thanh , quan huyện hiến bình lang một gốc chín cành .
一侵占人田土及伐標拨碣擅立界限者應杖貶若剗削田畔止論罸錢。	Ai xâm chiếm đất ruộng người , cắt bỏ bia đá , dám đặt giới hạn , nên chém phạt , chẳng những phải bị phạt tiền .
不願而自私争認乞還聚者以軍憲論。	Không muốn mà tự tư , tranh nhận là người cầu hồi , xét theo quân pháp .
儂氏遂滅。	Nhà Nùng đã diệt sạch .
少者罔念而作狂老者不死而賊。	Người trẻ không nghĩ mà làm điều ngu ngốc , người già không chết mà làm điều gian trá .
時有諺云欲活入隐林山欲死吳朝做官。	Có lời tục nói : muốn sống vào rừng ẩn , muốn chết làm quan triều Ngô .
以胡宗鷟為翰。	Dùng con chim hồ tông làm bút .
賊兵勢逼二帝潜御小舟行三峙元。	Quân giặc đến gần , hai đế ẩn đi trong thuyền nhỏ , đi đến Tam Chỉ .
前年考試免󰱇多有懷挾代試中者殆萬餘人甚於冗濫。	Năm trước thi đỗ , được miễn thi nhiều , có người mang lòng đại thi , đến thi trung thì gần vạn người , thật là quá dư thừa .
然願在者多願去者少。	Nhưng người còn ở lại thì nhiều , người đi thì ít .
乃多殺戮何以為仁義之師哉。	Lại giết nhiều người , làm sao làm thầy nghĩa nhân được .  .
握符闡珍。	Nắm phù mở ra điều quý .
三月太師鄭檢使榮郡公黄廷愛等領兵鎮守諒山。	Tháng ba Thái sư Trịnh Kiểm sai sứ Vinh Quận công Hoàng Đình Ái v.v. dẫn quân trấn giữ Lãng Sơn .
至是王親扶登殿即皇帝位改元以明年正月爲永治元年。	Đến lúc này , vua thân giúp lên đền , lập ngôi hoàng đế , đổi năm , đổi tháng , đổi tuổi , đổi ngày , đổi tháng , đổi năm , đổi giờ , đổi giây , đổi phút , đổi giờ , đổi ngày , đổi tháng , đổi năm , đổi giờ , đổi phút , đổi giây , đổi tháng , đổi năm , đ
行遣阮有光内密黎懷之宦官五六輩無一人以闔門。	Hành vi của nhà Nguyễn có ánh sáng , trong bí mật nhà Lê , quan hầu năm sáu đời không một người đóng cửa .
賊乘勢四靣合圍。	Giặc tận dụng thế , bốn phía vây quanh .
帝使丁蝮退還其奏不納。	Vua sai Đinh Phạm lui về , báo cáo không được chấp nhận .
𥘉宋亡其人㱕我。	Đời Tống mất , người đó vẫn còn .  Còn ta thì đã chết rồi .
及差官𦤶祭天下各處神祗。	Còn có quan chức thờ cúng trời , thờ cúng các nơi thần thánh .
帝既遣黎少頴等求封凣東關城僞官及良民被脅者悉令送還。	Vua đã sai Lê Thiếu Nhan , Lê Thiếu Nghị , Lê Thiếu Nghĩa , Lê Thiếu Nghiệp , Lê Thiếu Nghịa đi cầu phong ấp Đông Quan thành , giả quan cùng dân lành bị đe dọa đều ra đi .
况臨終之際爲國薦賢不以私恩太后不用其言李氏之不幸也。	Lúc chết , ông bày hiền tài cho nước , không những nhờ ơn riêng , Thái hậu không nghe lời ông , Lý triều không may thay .
况有程子倡之於前而朱子補其未圖於後則其義精矣。	Chính có Tiến Tử dẫn đầu , Chu Tử bổ nối , thì nghĩa thì tinh vi .
秋逆人蘇厚杜崇謀反伏誅。	Thu nghịch người , Tô Hậu , Đỗ Thăng âm phản bị phục chu .
世羙先登騎馬來戦。	Đời khen người đầu tiên lên ngựa đến đánh .
敢有徇私保󰁮年少年浅者該科御史󰱑󰁮奏治罪以懲人臣徇私妄保及僥倖攪擾之弊。	Dám có người tham nhũng , bảo hộ người trẻ , người mới vào nghề , đều phải trải qua việc làm quan cơ sở , bị truy tố , trừng trị , để trừng trị kẻ tham nhũng , người ngại ngùng bảo hộ , người dại dột cố tình .  Làm rối loạn việc nước .
欽㢤慎勿固辝。	Lễ nghi đâu phải cứng nhắc .
該總該社勾勘户婚田土諸訟水路陸路私置巡司巡察衙門。	Có thể làm chức Tổng , có thể làm chức xã , kiểm kê hộ , hôn , đất , nước , các việc kiện tụng , đường nước , đường bộ , riêng dựng quan trạm , quan sát quan toà .
十四日天不雨。	Ngày mười bốn trời không mưa .
旨揮大臣文武百官今後公侯文武等官入朝從人各有分數一品五人二品二人三品一人。	Chiếu gọi đại thần văn võ , bách quan , nay sau công hầu văn võ , các quan vào triều theo người , mỗi người có phần số , một phẩm năm người , hai phẩm hai người , ba phẩm một người .
時上皇自天長府回京師。	Thời Thượng Hoàng tự trời , trở về Kinh sư .
明以熊宗魯任交趾右參議。	Minh với hùng tông , Lỗ được Quan Chấp phải tham nghị .
土人香户王萌等將家小三十九人奉匹叚名香上進。	Người đất , nhà Hương , Vương Mồng , Đằng , tướng gia , ba mươi chín người , tặng một tấm vải , hương thơm trên dâng .
於戲窮冦刲羊無血可󰏲六月之師南陲見豕負塗不待七旬之格。	Há há , giặc cùng , dê xé không máu , nên tháng sáu đánh quân , thấy lợn đông đảo , chẳng đợi tháng bảy đánh giặc .
他日假手於人而不得其死也宜哉。	Ngày sau mượn tay người mà không được cái chết cũng đáng thương thay .
癸亥八年宋元豊六年。	Năm tám Kỷ Hợi , năm sáu Nguyên Phong của nhà Tống .
節制鄭松𭁈大臣文武入内殿朝謁。	Chỉnh trị Trịnh Tùng , Tô Định làm đại thần , văn võ vào trong điện chầu miếu .
入翰林院加一級除監察御史知縣以本品除。	Vào Hàn Lâm Viện thêm một bậc , trừ Kiêm Sát Ngự Sử , biết huyện theo phẩm bản .
令同知阮滿隊長阮雷賫書徃西都古弄二城撤圍以二城未下故也。	Lệnh cho Trương Nhan , Trưởng Doãn Lại mang thư đi Tây Đô , đánh Lãng Thứu , Lãng Nhị Thành , bỏ vây vì hai thành chưa bại .
十一月明遣正使行人司行人程璥來致祭。	Tháng mười một , vua Minh sai sứ lễ , người hành nhân sứ , Trình Kiệt đến thờ cúng .
自春至此不雨。	Từ xuân đến nay không mưa .
人君法天因甲子之運行紀在位之久近從古已然。	Người vua pháp trời , do vận hành của giáp tý , ghi lại việc ở ngôi lâu hay ngắn , từ xưa đã như vậy .
帝日𭁈近習戲於官内大臣欲勸學乃共奏擬以行遣承止阮廌中書侍郎程舜俞等文臣六人隨二三大臣分番入侍經筵。	Ngày đế vua đi chơi , các quan thân cận trong cung cấp , các đại thần muốn khuyên học , cùng chung đề nghị để thực hiện , nghe dừng , Nguyễn Thiệu , Trung thư , Tham lang , Trương Thu , v.v , sáu văn thần theo một , hai , ba đại thần chia nhau vào chầu kinh yên .
兵之引過秋毫無犯民皆草靡降服案堵如故爭持酒糧米給軍。	Quân đánh đến , tó tơi không vi phạm , dân đều nằm xuống , đầu hàng như xưa , tranh nhau mang rượu , lúa cho quân .
路統府府統州州統縣。	Đường thống phủ , phủ thống châu , châu thống huyện .
賜三品以下并在籃京官及扈駕諸軍士諸邑人等錢有差。	Ban ba phẩm dưới trở xuống , cùng các quan ở Lâm Kinh , các quan hộ giáp , các binh sĩ , các dân làng , đều được ban tiền có sắc xếp .
延富閣賞花亭玉花階金蓮池明月橋及御厨大葉船宫内大葉船。	Gác Tiên Phú , đình Xem hoa , thềm hoa ngọc , ao sen vàng , cầu minh nguyệt , cảng Ngự Phu , thuyền lá to , cung nội thuyền lá to .
春以欽聖公主嫁渭龍州牧何彛慶。	Xuân vì thánh công chúa mà kết hôn với vị lão trạng đất Vị Long , thì phúc lành là vô cùng .
臣窃見監生儒生年未至三十充未滿十五年但以會試中塲徃徃僥倖求進有所攪擾不便。	Tôi thấy ngầm rằng người canh sinh người nho sinh tuổi chưa tới ba mươi , thời gian chưa đủ mười lăm năm , chỉ vì hội thi trung trường , thường hay cố tình tìm cách tiến bộ , gây nhiều rối loạn , không tiện lợi .
十四曰謹法度以開太平之治。	Mười bốn nói : cẩn thận phép lệ để mở ra thời thái bình .
以誕日為儀天聖節。	Lấy ngày sinh làm nghi trời thánh tiết .
秋八月試通三教諸科。	Tháng tám thu thi thông ba giáo các khoa .
七日諜報云唆都自清化來。	Bảy ngày tin đồn nói rằng Thô Đô từ thành Thanh Hoá đến .
真天禄平浪上社人。	Trời thực đem lộc cho người xã trên sóng .
周睟日睟音醉周年也子生一歲也英宗廵邊在外家事决扵明宗。	Trời đất đều đẹp , âm thầm mừng năm tháng tròn của Chu .  Con trai sinh ra , một năm tuổi của Tử .  Anh Tông đi tuần biên , việc ngoại gia quyết định ở Minh Tông .
十二月諭太傅阮熾等宗社安危在卿數人矣卿當思之深計之熟奏聞政事朕力疾内决卿等外承之。	Tháng mười hai , dạy Thái phó Nguyễn Xảy v.v. , nói rằng : “ Yên nguy của tông xã , ở mấy người như anh .  Anh nên suy nghĩ sâu , tính toán kỹ , báo đáp chính sự , ta sức đau nội quyết , anh ngoại nối theo .” .
特以演州之人不遵厥化逞行昏暴殘忍小民罪惡貫盈於今不容不討。	Đặc biệt vì dân ở Diễn Châu không theo đạo lý , làm việc hôn bạo , tàn nhẫn , tội ác của dân thường đầy đủ , đến nay không thể không trừ .
群臣貨捷。	Quần thần báo tin thắng .
秋七月申禁衣服過制。	Tháng bảy tháng thu cấm cấn áo quần quá chế độ .
令史官修𢮪吳士連撰大越史記全書十五卷。	Lệnh sử quan tu sửa , sĩ Ngô liên tập , sử Đại Việt sử ký toàn thư mười lăm quyển .
文質對曰太和年間征占熟米迄征盆蛮時經二十六年尚可食也。	Văn chất đối nhau , nói rằng trong thời thái hòa , thuế lúa chín , đến thuế Bồn Mần , đã hai mươi sáu năm , còn có thể ăn được .
宣威將軍武斯宏陣前力戰死之。	Tướng quân nêu uy danh , võ lực lớn , trận đánh , sức chiến , chết vì nước .
帝𫳭小竪阮供。	Vua đem đứa trẻ nhỏ làm tôi của nhà Nguyễn .
元拒之諸將欲戰璜疑斷橋内有伏兵迺别列長㦸於其後。	Nguyên Cấp Chỉ các tướng muốn đánh , Hoàng Nghi ngỡ có binh giấu dưới cầu , nên riêng dựng trụi dài sau lưng .
明早施帳幔請徽兄弟以次入。	Sáng sớm dựng trướng màn mời anh em theo thứ tự vào .
