趙紀.	Kỷ nhà triệu.
初我國送内人阮宗道,阮筭等至金陵.	Trước đây, nước ta đưa bọn nội nhân nguyễn tông đạo, nguyễn toán đến kim lăng, vua minh dùng làm cận thần, đãi ngộ rất hậu.
宗道等言南國僧解建道塲愈於北方僧.	Bọn tông đạo tâu: " tăng nhân nước nam biết dựng đạo tràng giỏi hơn tăng nhân phương bắc ".
秋七月,司徒章肃,國上侯元旦致仕.	Mùa thu, tháng bảy, tư đồ chương túc quốc thượng hầu nguyên đán trí sĩ
歸昆山,寄友僚詩有云:今古興亡真可鍳,諸公何忍諫書稀.	Lui về côn sơn, gửi cho các bạn làm quan bài thơ, có câu rằng: kim cổ hưng vong chân khả giám, chư công hà nhẫn gián thư hy?
太尉莊定王𩖀有詩贈云:我是當年棄物,公非大厦其才.	Thái uý trang định vương ngạc có bài thơ tặng rằng: ngã thị đương niên khí vật, công phi đại hạ kỳ tài.
會取一般老病.	Hội thủ nhất ban lão bệnh, điền viên tảo biện quy lai.
盖季犛時方用事,賢人軍子憫時憂世不得不形於詩𩖀又作國語歇後詩以諷元旦.	Ngạc lại làm bài thơ yết hậu bằng quốc ngữ để châm biếm nguyên đán.
季犛以故宗室仁榮,女黄中公主妻之.	Nguyên đán tính chuyện thông gia để mong tránh mối hoạ sau này, đem con là mộng dữ gửi gắm quý ly, quý ly đem công chúa hoàng trung là con gái của cố tôn thất nhân vinh gả cho dữ.
後,季犛當國,以夢與為東宫判首,夢與弟叔瑤,叔瓊為将軍.	Sau quý ly trị nước, lấy mộng dữ làm đông cung phán thủ, em mộng dữ
次曰台,令儒生以文學教之.	Con thứ tên là thai, sai nho sinh đem văn học dạy cho hai người.
阮應龍教太,阮漢英教台.	Nguyễn ứng long dạy thái, nguyễn hán anh dạy thai.
漢英亦作國語詩效之.	Ứng long nhân gần gũi lả lơi, làm thơ ca quốc ngữ khêu gợi thái, thông dâm với thái, hán anh cũng làm thơ quốc ngữ bắt chước ứng long.
太有娠,應龍迯避.	Thái có thai, ứng long bỏ trốn.
至産日,元旦曰:應龍何在?	Đến ngày thái đẻ, nguyên đán hỏi ứng long ở đâu.
家人對以畏罪去.	Người nhà trả lời là ứng long sợ tội trốn đi rồi.
元旦曰:國治短矣,安知非天使,然未必不為福也.	Nguyên đán nói: " vận nước sắp hết, biết đâu chẳng phải là trời xui nên thế, vị tất không phải là phúc ".
乃召二生來曰:古人有之矣.	Bèn cho gọi hai chàng về bảo rằng: " người xưa cũng đã có chuyện này.
不見文君,相如之事乎?	Không thấy chuyện văn quân với tương như hay sao.
能知相如名傳後世,我之願也.	Nếu làm được như tương như, truyền lại danh tiếng cho đời sau thì đó là điều mong muốn của ta ".
二生深以為德,勤於學問,試各中科.	Đến khi thi, cả hai đều đỗ.
上皇曰:他有富貴之妻以下犯上,廢不用.	Thượng hoàng nói: " bọn chúng có vợ giàu sang, như thế là kẻ dưới mà dám phạm thượng, bỏ không dùng ".
後,漢英官至轉運,應龍至胡朝拨.	Sau hán anh làm quan đến chức chuyển vận.
林學士奉旨.	Lâm học sĩ phụng chỉ.
宗鷟[演州士城人,]年少登科頗有才名.	Tông thốc (người sĩ thành, diễn châu) tuổi trẻ đỗ cao, rất có tài danh.
初,未甚顯,適遇元宵,有道人黎法官者為張燈設席延文客為歡.	Trước đó, thốc chưa được nổi tiếng lắm, gặp tết nguyên tiêu, có đạo nhân là lê pháp quan treo đèn đặt tiệc, mời khách văn chương đến dự làm vui.
宗鷟受簡請題席上賦詩百篇,眾皆環視歎服,自是名震京師以文學為時所重而詩酒無虚日,初為安撫有侵於民.	Từ đấy tiếng dậy kinh sư, vì giỏi văn học nên được người đương thời kính trọng, mà thơ rượu thì không ngày nào không có.
事發,藝宗恠問之.	Trước kia tông thốc làm an phủ, có lấy của dân, việc bị phát giác, nghệ tông thấy làm lạ hỏi ông chuyện đó.
拜謝曰:一子受皇恩全家食天祿.	Tông thốc lạy tạ thưa rằng: " một con chịu ơn vua, cả nhà ăn lộc trời ", vua tha tội cho.
累遷至翰林學士奉旨兼審刑院使.	Sau ông được thăng nhiều lần, đến hàn lâm học sĩ phụng chỉ kiêm thẩm hình viện sứ, thọ hơn tám mươi tuổi, mất tại nhà.
丁卯十一年,[明洪武二十年,]春二月,上皇自葆和宫還京.	Mùa xuân, tháng hai, thượng hoàng từ cung bảo hoà trở về kinh đô.
三月,以黎季犛同平章事,賜釼一把,旗一隻題曰:文武全才君臣同㥁.	Tháng ba, lấy lê quý ly làm đồng bình chương sự, ban cho một thanh gươm, một lá cờ đề tám chữ " văn võ toàn tài, quân thần đồng đức " quý ly làm bài thơ quốc ngữ tạ ơn.
史臣吳士連曰:亂臣賊子之得行其計非一朝一夕之故其所由來漸矣.	Sử thần ngô sĩ liên nói: bọn loạn thần tặc tử mà thực hiện mưu kế của chúng, nguyên nhân không phải là một sớm một chiều.
故聖人必辨之於早而謹履霜之漸焉!	Cho nên, thánh nhân phải nhận biết âm mưu đó từ sớm và thận trọng phòng giữ như giẫm lên sương.
胡氏篡陳非特藝皇不謹其漸而又啓其端也.	Họ hồ cướp ngôi nhà trần chẳng những vì nghệ hoàng không thận trọng trước âm mưu của nó, mà còn vì đã gây ra đầu mối nữa.
戊戌十二年,[十一月以後順宗光泰元年,明洪武二十一年,]夏五月,以陳杜為宫令.	Mậu thìn, năm thứ mười hai, (từ tháng mười một về sau là thuận tông quang thái năm thứ nhất, minh hồng vũ năm thứ hai mươi mốt).
其母再嫁季犛,故有是命.	Đỗ là con thượng vị hầu tông, mẹ đỗ cải giá lấy quý ly, cho nên có lệnh này.
後改姓胡.	Sau đỗ đổi làm họ hồ.
六月,以黎季犛為.	Tháng sáu, lấy lê quý tỳ là
判首知左右班事,内人阮喟知殿内,陳寗知樞𡧸院事.	Phán thủ tri tả hữu ban sự; nội nhân nguyễn vị làm tri điện nội: trần ninh làm tri khu mật viện sự.
入内行遣左司王汝舟致仕,以黎與議代之.	Nhập nội hành khiển tả ty vương nhữ chu trí sĩ, lấy lê dũ nghị lên thay.
秋八月,彗星見西方.	Mùa thu, tháng tám, sao chổi hiện ở phương tây.
帝與太尉𩖀謀曰:上皇寵愛外戚季犛,肆意任用,若不先為之慮後必難制矣.	Vua bàn mưu với thái uý ngạc rằng: " thượng hoàng tin yêu ngoại thích là quý ly, cho hắn mặc sức làm gì thì làm, nếu không lo trước đi thì sau sẽ rất khó chế ngự ".
王汝舟子汝梅是學人泄其謀.	Con vương nhữ chu là hữ mai hầu vua học, nhân tiết lộ mưu đó.
季犛知之,多方勸季犛出大吏山以待變.	Đa phương khuyên quý ly lánh ra núi đại lại để đợi biến động.
一出亍外難以圖存.	Phạm cự luận nói: " không được, một khi đã ra ngoài thì khó lo chuyện sống còn ".
季犛曰:縱無方策我當自尽,不假人手.	Quý ly nói: " nếu không còn phương sách gì thì ta đành tự tử, không để tay kẻ khác giết mình ".
巨論曰:上皇之心,深󰲤帝殺冠服大王之故,帝頗不諧.	Cự luận nói: " thượng hoàng trong lòng vẫn căm vua về việc giết quan phục đại vương, vua rất không hài lòng.
今天下權柄在大人.	Nay quyền bính trong thiên hạ đều ở đại nhân cả
而帝又圖之則上皇之疑滋甚.	Mà vua lại mưu hại ngài thì thượng hoàng lại càng ngờ lắm.
大人冐進叩頭陳其利害必見聽從轉禍為福易如反掌.	Đại nhân hãy liều vào lạy thượng hoàng, bày tỏ lợi hại, thì nhất định thượng hoàng sẽ nghe theo ngài, chuyển hoạ thành phúc, dễ như trở bàn tay.
上皇正嫡聚多,大人若曰:臣聞里諺曰未有賣子而養姪惟見賣姪而養子󰱃幾感寤改位昭定.	Thượng hoàng có nhiều con chính đích, ngài cứ tâu rằng thần nghe ngạn ngữ nói " chưa có ai bán con để nuôi cháu, chỉ thấy bán cháu để nuôi con " may ra thượng hoàng tỉnh ngộ mà đổi lập chiêu định vương là thuận tông.
縱或不聽死未晚也.	Nếu thượng hoàng không nghe thì chết cũng chưa muộn ".
季犛從之𡧸奏如巨論言.	Quý ly nghe theo, bí mật tâu với thượng hoàng như lời cự luận.
上皇深以為然.	Thượng hoàng cho là phải.
冬十月,望月食既.	Mùa đông, tháng mười, ngày rằm, nguyệt thực toàn phần.
十二月,六日,早,上皇假幸安生,令殿後扈衛尋令祗候内人召帝謀國事.	Tháng mười hai, ngày mồng sáu, sáng sớm, thượng hoàng vờ ngự về yên sinh, sai điện hậu hộ vệ, rồi sai chi hậu nội nhân gọi vua tới bàn việc nước.
帝未膳而行,侍候惟二人而以.	Vua chưa kịp ăn, vội đi ngay, chỉ có hai người theo hầu thôi.
既至上皇曰:大王來,即令人引出.	", rồi lập tức sai người đem vua ra giam ở chùa tư phúc
宣内詔曰:昨者睿宗南廵不返用嫡為嗣古之道也.	Tuyên đọc nội chiếu rằng: " trước đây, duệ tông đi tuần phương nam không trở về, lấy con đích để nối ngôi, đó là đạo từ xưa.
然官家踐位以來童心益甚乘德不常親暱群小聽黎亞夫,黎與議譛誣功臣扇摇社稷可降為灵德大王.	Nhưng từ khi quan gia lên ngôi đến nay, lòng dạ trẻ con, giữ đức không thường, gần gũi bọn tiểu nhân, nghe lời lê á phu, lê dữ nghị gièm pha vu hãm công thần, làm lung lay xã tắc, phải giáng làm linh đức đại vương.
然國家不可以無主,神噐不可以久虚,可奉迎昭定入繼大統.	Song quốc gia không thể không có chủ, ngôi báu không thể bỏ trống lâu, nên hãy đón chiêu định vào nối đại thống.
市吿中外咸使聞知.	Bá cáo trong ngoài để mọi người đều biết ".
乃降其子為順德王,舊府軍将督鉄鐮軍阮快,阮雲兒,管鉄甲軍阮訶,黎勒,管鉄鎗軍阮八索,欲以兵劫出.	Các tướng chỉ huy các phủ quân cũ như tướng chỉ huy quân thiết liêm là nguyễn khoái, nguyễn vân nhi, tướng chỉ huy quân thiết giáp là nguyễn kha, lê lặc, tướng chỉ huy quân thiết sang là nguyễn bát sách định đem quân vào cướp lấy vua đem ra.
帝書解甲二字,且戒之曰:莫違父皇旨眾乃止.	Vua viết hai chữ " giải giáp " đưa cho các tướng và răn bảo họ không được trái ý vua cha, các tướng mới thôi.
有󰟸,扶下太陽府縊之.	Lát sau, dìu vua xuống phủ thái dương thắt cổ cho chết.
是,省󰱑故事,同平章以上得坐黑交椅.	Đó, theo lệ cũ của sảnh, đài, từ chức đồng bình chương trở lên được ngồi ghế tựa sơn đen.
時,莊定大王𩖀為太尉黎季犛同平章事知審刑院黎亞夫既遣𩖀去黎季犛椅不許同坐.	Bấy giờ trang định đại vương ngạc làm thái uý, lê quý ly làm đồng bình chương sự.
又𡧸奏帝誅季犛.	Tri thẩm hình viện lê á phu đã bảo ngạc bỏ ghế của lê quý ly đi, không cho ngồi cùng, lại bí mật tâu vua giết quý ly.
亞夫,快,雲兒,訶,八索,勒,及所幸學生劉常皆見殺.	Mưu cơ tiết lộ, đến nỗi thất bại, bọn á phu, khoái, vân nhi, kha, bát sách, lặc và người học sinh được tin yêu là lưu thường đều bị giết cả.
劉常被刑作詩云:殘年四十又餘三,忠爱逢誅死正甘,抱義生前應不忤,暴詩原上更何慚.	Lưu thường khi bị hành hình có làm thơ rằng: tàn niên tứ thập hựu dư tam, trung ái phùng chu tử chính cam.
惟與議流寨頭特與白再授北江路宣撫使,建新二年又以黨死.	Duy có dữ nghị là bị đày ra trại đầu, sau xét không có tội, lại được bổ làm tuyên phủ sứ lộ bắc giang.
與議亞夫之堂兄也.	Dữ nghị là anh họ của á phu.
八索迯匿,禁錮其母始出受刑.	Bát sách chạy trốn, sau
史臣吳士連曰:當時,胡氏氣燄人人皆知其将篡莊定王𩖀為太尉,且藝皇之子見,社稷傾苟能納約,自牖結信於君父乎?	Sử thần ngô sĩ liên nói: khi ấy khí thế của họ hồ đang mạnh, mọi người đều biết là nó sẽ cướp ngôi, trang định vương ngạc là thái uý, lại là con của nghệ hoàng, thấy xã tắc sắp nghiêng đổ, nếu biết hướng vua làm điều phải, gây niềm tin ở vua cha, hiệu lệnh nghiêm ngặt, để nhiều người theo về mình, khiến cho nghệ tông già lẫn phải tỉnh lại.
簡皇之柔懦而立政柄有歸令由上出則胡氏奸情有戢矣.	Giản hoàng nhút nhát phải tự lập, quyền bính về tay hết, mệnh lệnh ban từ trên, thì lòng gian của họ hồ cũng phải tự ngừng lại.
荘定計不出此,亞夫不度其君非剛斷之才,遂勸誅季犛,而為謀不𡧸使之先知.	Trang định không mưu tính đến việc đó, á phu không lường được vu mình chẳng có tài cương đoán, lại khuyên vua giết quý ly, mà cơ mưu không cẩn mật, để cho nó biết trước.
莊定又斷之不早失其機會以至事敗身亡及其軍将之良者.	Trang định lại không sớm quyết đoán, bỏ lỡ cơ hội, đến nỗi công việc thất bại, thân mình bị giết, lại giết lây cả đến những quân tướng tài giỏi, thực đáng than thở biết bao !
或曰:胡氏上得君.	Có người hỏi: họ hồ trên được vua tin,
下主兵,雖元旦之有識,且老於事猶無祭何,况莊定哉!	Dưới nắm binh quyền, dẫu đến nguyên đán là người có kiến thức, lại lão luyện sự đời còn không làm gì được, huống chi là trang định !
曰:觀其内不自安而欲自盡,則季犛制之易耳.	Xin thưa: cứ xem nói trong lòng lo sợ mà định tự tử, thì việc chế ngự quý ly cũng dễ thôi !
先去多方,巨論,以翦其羽翼則勢孤矣.	Trước hết hãy trừ bọn đa phương, cự luận để chặt vây cánh của nó đi, thì thế nó phải cô ngay.
初睿宗后黎氏,靈德之母,黎季犛之從妹也.	Trước đây, bà lê thị, hoàng hậu của duệ tông là mẹ linh đức vương, em họ của quý ly, duệ tông đi đánh phương nam không trở về, bà cắt tóc làm ni cô.
睿宗南征不返,后遂削髮為尼,會藝宗以靈德嗣位,后辭讓不𠃔乃涕泣謂親人曰:吾兒福簿難堪大任以是取禍耳.	Khi duệ tông lập linh đức lên ngôi, hậu từ chối không được, bèn khóc lóc nói với những người thân thích rằng: " con ta phúc bạc, khó lòng gánh vác nổi trách nhiệm lớn, nói phải tai hoạ vì việc đó thôi.
先皇棄世未亡人惟欲死不欲見世事况見子之将危乎?	Tiên hoàng xa lìa cõi thế, kẻ chưa chết này chỉ muốn chết theo, không muốn trông thấy việc đời nữa, huống chi lại phải nhìn thấy con mình sắp bị nguy hiểm nữa ".
后崩二年而靈德.	Bà mất được hai năm thì linh đức
遇害.	Bị hại.
史臣吳士連曰:靈德之立也由藝皇,其廢也亦由藝皇.	Sử thần ngô sĩ liên nói: linh đức được lập lên là do nghê hoàng, bị phế bỏ cũng do nghệ hoàng.
初不聽黎后之辭以義也,終納季犛之譛以私也.	Trước không nghe lời bà hoàng hậu lê thị là vì nghĩa, sau nghe lời gièm của quý ly là vì tư tình.
然則初之立也何其明,而終之廢也何其暗,歟又縊殺之,甚矣!	Mà sau phế bỏ sao mà ngu tối thế !
封太尉𩖀為大王.	Phong thái uý ngạc làm đại vương.
先是,靈德被降,季犛揚言立𩖀為嗣.	Trước đó, linh đức bị giáng, quý ly nói phao là lập ngạc lên nối ngôi.
及事濟𩖀辝季犛乘間曰:太尉能辝大位是大德也.	Đến khi xong công việc, ngạc từ chối không nhận, quý ly nhân dịp ấy tâu rằng: " thái uý biết từ chối ngôi báu, đó là đức lớn ".
上皇然其言.	Thượng hoàng cho lời ấy là phải nên có lệnh này.
二十七月,上皇立少子昭定王顒為皇帝.	Ngày hai mươi bảy, thượng hoàng lập con út là chiêm định vương ngung làm hoàng đế.
顒即位,改元.	Ngung lên ngôi, đổi niên hiệu là
光泰元年,大赦,稱元皇.	Quang thái năm thứ nhất, đại xá, tự xưng là nguyên hoàng.
明遣杜子賢鄔潾邢文博賫龍章來封,而靈德已遇害.	Nhà minh sai đỗ tử hiền, ổ lân, hình văn bác mang sắc rồng sang phong, nhưng linh đức đã bị hại rồi.
前,北使至引入祥符門,惟鄔等由景陽門.	Trước đây sứ phương bắc tới thì dẫn qua cửa tường phù, chỉ có bọn lân thì qua cửa cảnh dương.
順宗皇帝[諱顒,藝宗季子也,在位九年,有奇出家歲餘,季犛殺之,壽二十二.	Tên huý là ngung, là con út của nghệ tông, ở ngôi hơn chín năm xuất gia hơn một năm, bị quý ly giết, thọ hai mươi hai tuổi.
][帝徒擁虚噐,政在權禍及身而不覺.	Vua chỉ ngồi giữ ngôi không, việc nước trong tay quyền thần, tai hoạ đến thân mà không biết, thương thay !
臣己巳光太二年,[明洪武二十二年,]春正月,立季犛長女聖偶為皇后號所居曰皇元殿.	Mùa xuân, tháng giêng, lập thánh ngâu, con gái lớn của quý ly làm hoàng hậu, gọi chỗ ở là điện hoàng nguyên.
二月,塟靈德大王于安排山,命季貔掌其事.	Tháng hai, chôn linh đức đại vương ở núi an bài, sai quý tỳ trông coi việc ấy.
三月,以杜子澄為御史大夫.	Tháng ba, lấy đỗ tử trừng làm ngự sử đại phu.
夏四月,以范巨論為僉書樞𡧸.	Mùa hạ, tháng bốn, lấy phạm cự luận làm thiêm thư khu mật
院事.	Viện sự.
巨論薦其弟范泛,及王可遵,楊章,韓子西,阮崇,阮書,阮景真,並有名德可用,唯杜子滿為最.	Quý ly hỏi thuộc viên khu mật viện người nào có thể dùng được, cự luận tiến cử người em là phạm phiếm cùng vương khả tuân, dương chương, hàn tử tây, nguyễn sùng, nguyễn thư, nguyễn cảnh thân, đều có danh tiếng, đức vọng, có thể dùng được, duy đỗ tử mãn là hơn cả.
五月,以王可遵監懿安神翊軍,楊章監神勇軍.	Tháng năm, lấy vương khả tuân coi quân thần dực ở ý yên, dương chương coi quân thần dũng.
秋八月,清化人阮清稱靈德迯難,梁江民皆響應.	Mùa thu, tháng tám, nguyễn thanh, người thanh hoá tự xưng là linh đức trốn tránh tai nạn.
九月,農貢人阮忌聚眾劫掠,自稱魯王田忌.	Tháng chín, nguyễn kỵ, người nông cống, tụ họp bè lũ đi cướp bóc, tự xưng là lỗ vương điền kỵ.
冬十月,占人㓂清化范古無,命季犛将兵禦之.	Mùa đông, tháng mười, ngời chiêm đến cướp thanh hoá, đánh vào cổ vô, sai quý ly đem quân đi chống giữ.
賊堰上流官軍植樁盤鴉以相對二十日賊伏兵象佯掃寨以㱕.	Ngày hai mươi, giặc phục sẵn quân và voi, rồi giả vờ bỏ doanh trại rút về.
季犛整選取精名為敢死追擊之.	Quý ly lựa lấy quân tinh nhuệ, dũng cảm, làm quân cảm tử, truy kích giặc.
軍開樁出戰.	Quân mở hàng cọc xông ra đánh.
賊乃决堰出象衝之.	Giặc liền phá đập chắn nước, tung voi trận xông ra.
時,精勇已遠,舟師難於泝流因以敗.	Lúc ấy, quân tinh nhuệ dũng cảm đã đi xa rồi, quân thuỷ khó tiến ngược dòng, tiến lên rất khó khăn, vì thế bị thua.
績,右聖翊軍将阮至一作陳廷貴為賊所擒,其餘軍七十人皆𨺻死,季犛留裨将,范可永與賊相持身自遁還.	Tướng chỉ huy quân hữu thánh dực là nguyễn chí (có sách chép là trần đình quý) bị giặc bắt sống, bảy mươi tướng còn lại đều bị chết trận.
阮多方權聖翊軍将.	Nguyễn đa phương tạm chỉ huy quân thánh dực.
是夜,多方與可永謀曰:賊勢如此,我等孤軍難於持𠃔.	Đêm đó, đa phương bàn với khả vĩnh: " thế giặc như vậy, bọn ta cô quân, khó lòng cầm cự được lâu.
若欲𤤻師,賊必乘機躡後.	Nếu rút quân về, giặc nhất định thừa cơ đuổi theo ".
乃下令諸軍盛帳其幟繫大船於樁,令人守更以輕舟宵遁.	Bèn hạ lệnh các quân giăng nhiều cờ xí, buộc thuyền lớn vào cọc, sai người canh giữ, rồi lấy thuyền nhẹ đang đêm trốn chạy.
季犛詣闕請出朱橋戰船以益之.	Quý ly về đến triều đình, xinh phái thêm thuyền chiến châu kiều nhưng thượng hoàng không cho, quý ly do vậy xin thôi nắm quyền cầm quân, không đi đánh nữa.
史臣吳士連曰:季犛身為大将繫國安危而至於失律䘮師.	Sử thần ngô sĩ liên nói: quý ly thân làm đại tướng, có quan hệ tới mối an nguy của cả nước, thế mà để đến nỗi thất trận tan quân, tội ấy rất lớn.
其罪大矣.	Cái lòng vô quân ấy lớn lắm.
不圖後效以贖前罪,乃棄師先歸為避賊計,又不自因請罪如古人之為,無君之心長矣.	Đã không lo dốc sức trận sau để chuộc tội lần trước, lại bỏ quân chuồn về trước để tránh mưu kế của giặc, rồi lại không tự trói mình chịu tội như người xưa vẫn làm.
楚子殺之雖過,然楚日以強威令行也.	Cứ theo quân pháp thì hắn đáng phải tội chết, như trận đánh thành bộc, tử ngọc để vỡ quân, bị vua sở mỗi ngày một mạnh và uy lệnh được thi hành.
藝皇不罪季犛失政刑矣.	Nghệ hoàng không bắt tội quý ly, thế là chính hình đã lầm lỡ rồi.
至於多方,可永以孤軍當強賊而宵遁未必深責.	Còn như đa phương, khả vĩnh vì đem cô quân chống giặc mạnh mà phải ngầm rút chạy thì chưa hẳn phải trách cứ nặng nề.
盖用兵以却敵為功,左次無𠧨,用詭退師,兵家之術也,何傷乎?	Dùng kế lừa giặc để lui quân là thuật của nhà binh, có hại gì đâu?
藝宗不能.	Nghệ tông không biết
用多方耳.	Dùng đa phương đó thôi.
十一月,上皇命陳渴真将龍捷軍出師討賊.	Tháng mười một, thượng hoàng sai trần khát chân chỉ huy quân long tiệp ra quân đánh giặc.
渴真奉命,慷慨涕泣拜辝.	Khát chân vâng mệnh, khảng khái nhỏ nước mắt lạy tạ ra đi.
上皇亦泣,下目送之.	Thượng hoàng cũng khóc, lấy mắt tiễn đưa.
軍𭛁瀘江至黄江已遇賊矣.	Quân xuất phát từ sông lô, đến hoàng giang đã gặp giặc rồi, khát chân quan sát chỗ ấy không thể đánh được, mới lui giữ sông hải triều.
靈德弟元耀欲為靈德報仇,率眾降賊.	Em trai linh đức là nguyên diệu muốn báo thù cho linh đức, đem quân đầu hàng giặc.
以太宰元晫子仁靖王元挺為司徒,舊翰林學士陳蓀為少保,及家臣阮康輔之.	Lấy nhân tĩnh vương nguyên đĩnh, con trai thái tể nguyên trác, làm tư đồ; cựu hàn lâm học sĩ trần tôn làm thiếu bảo cùng gia thần là nguyễn khang làm phụ tá.
阮多方歸自󰔄江,謂己功髙,有德色多毀季犛為不才.	Nguyễn đa phương từ sông ngu về, cho rằng mình có công cao, có ý lên mặt, thường hay chê quý ly là bất tài.
季犛乃譛曰:因聽多方而致敗.	Quý ly liền gièm lại rằng vì nghe đa phương mà đến nỗi thất bại.
乃收多方.	Bèn thu lại số quân do đa phương chỉ huy,
多方猶有驕色,上皇曰:合行小罪以懲之.	Đa phương vẫn còn vẻ kiêu.
季犛曰:多方勇健臣恐北去明國,去占城,放虎遺患,不如殺之.	Quý ly tâu: " đa phương rất gan góc, tráng kiện, thần sợ hắn sẽ trốn sang nước minh phương bắc hay chiêm thành phương nam, thả cọp để lại mối hoạ về sau, chi bằng giết đi là hơn ".
多方歎曰:吳以才致貴,亦以才致死,但恨不死戰陣耳.	Đa phương than rằng: " ta vì có tài nên được giàu sang, cũng vì có tài mà đến nỗi chết, chỉ hận là không được chết ở chiến trận mà thôi ".
史臣吳士連曰:多方黨於胡氏,天其或託此以誅之也.	Sử thần ngô sĩ liên nói: đa phương vào bè với họ hồ, có lẽ trời mượn cớ đó để giết hắn chăng?
可永後為胡氏而殺順宗,亦以黨死.	Khả vĩnh sau vì họ hồ mà giết thuận tông, rồi cũng vì việc bè đảng mà chết.
阿附賊臣者可以監矣.	Những kẻ a dua phụ hoạ với loạn thần hãy lấy đó làm gương !
十二月,天然僧范書温反嘯聚於國威上路,僣稱大號,以古所廬墓人阮宗邁,羅社人阮可行.	Tháng mười hai, nhà sư thiên nhiên là phạm sư ôn làm phản, hô hào dân chúng tụ họp ở lộ quốc oai thượng, tiếm xưng hiệu lớn, lấy nguyễn tông mại người cổ sở, lư mộ; nguyễn khả hành người la xã
為行遣,招集無籍之徒為神奇,勇鬪,無限,等軍犯京師.	Làm hành khiển; chiêu tập những bọn không quê quán, lập các quân hiệu thần kỳ, dũng đấu, vô hạn, đánh vào kinh sư.
二帝幸北江州.	Hai vua sang châu bắc giang.
師温居三日出屯嫩州.	Sư ôn ở kinh sư ba ngày rồi ra đóng quân ở nộn châu.
上皇遣左聖翊軍,黄奉世討平之.	Thượng hoàng sai tướng chỉ huy quân tả thánh dực là hoàng phụng thế đi đánh, dẹp được.
先是,奉世[弘化人,]與占城守将羅皚相持於黄江,至是得命道出蔑江.	Trước đó, phụ thế (người hoằng hoá) cùng thủ tướng chiêm thành la ngai cầm cự nhau ở sông hoàng giang, đến đây được lệnh này.
時冬天水涸浚開水道以出戰艦.	Bấy giờ mùa đông, nước cạn, phải đào khơi dòng chảy cho thuyền chiến đi qua.
一皷遂擒師温,宗邁,可行,皆伏誅.	Đánh một trận, bắt sống được sư ôn, tông mại, khả hành, đều đem giết cả.
其餘脅從一無所問.	Còn những kẻ bị cưỡng bức đi theo thì không hỏi đến người nào.
庚午三年,[明洪武二十三年,]春正月,二十三日,都将陳渴真大敗占城于海潮,󰱐其主制蓬莪.	Mùa xuân, tháng giêng, ngày hai mươi ba, đô tướng trần khát chân đại thắng quân chiêm thành ở hải triều, giết được chúa nó là chế bồng nga.
時,蓬莪與.	Khi ấy, bồng nga cùng với
元耀領戰船百餘艘來觀官軍形勢.	Nguyên diệu dẫn hơn một trăm thuyền chiến đến quan sát tình thế của quan quân.
眾船未會,蓬莪小臣波漏󰏲為蓬莪所責,惧誅,來奔軍营指綠漆船告曰:此國王船也.	Các thuyền giặc chưa tập họp lại, thì có tên tiểu thần của bồng nga là ba lậu kê nhân bị bồng nga trách phạt, sợ bị giết, chạy sang doanh trại quân ta, trỏ vào chiến thuyền sơn xanh bảo rằng đó là thuyền của quốc vương hắn.
渴真令火銃齊着蓬莪貫於船板,而死.	Khát chân liền ra lệnh các cây súng nhất tề nhả đạn, bắn trúng thuyền bồng nga, xuyên suốt ván thuyền, bồng nga chết, người trong thuyền ồn ào kêu khóc.
元耀反取蓬莪馘奔還,官軍龍捷軍上都大隊副范汝勒,頭伍楊昂,遂殺元耀,併取蓬莪馘.	Đại đội phó thượng đô quân long tiệp là phạm nhũ lặc và đầu ngũ là dương ngang liền giết luôn nguyên diệu, lấy cả đầu bồng nga.
賊眾大潰.	Quân giặc tan vỡ.
渴真令軍監黎克謙函其首馘乘船奏捷于平灘行在.	Khát chân sai quân giám lê khát khiêm bỏ đầu giặc vào hòm, đi thuyền về báo tin thắng trận ở hành tại bình than.
時,漏下三皷,上皇睡熟,驚起以為賊范御营.	Bấy giờ đồng hồ đã điểm canh ba, thượng hoàng đang ngủ say, giật mình tỉnh dậy, tưởng là giặc đánh vào ngự doanh.
及聞捷奏云以󰱐蓬莪馘,乃大喜,召群.	Đến khi nghe tin thắng trận, nói là đã lấy được đầu bồng nga thì mừng lắm, cho gọi các quan
百官朝服呼:萬歲.	Các quan mặc triều phục, hô " muôn năm ".
上皇曰:我與蓬莪相持久矣.	Thượng hoàng nói: " ta với bồng nga cầm cự nhau đã lâu, ngày nay mới được gặp nhau, có khác gì hán cao tổ thấy đầu hạng vũ, thiên hạ yên rồi !
羅皚引餘至瀘江上岸,火塟,蓬莪身屍晝夜陸行山脚作架棧道,𤌄飯其上,且行且食全眾以歸,遇,官軍進擊,則駐象撒貨以止之.	La ngai dẫn số quân còn lại đến phía trên bờ sông lô hoả táng xác bồng nga rồi ngày đêm đi bộ men theo chân núi, gác đường san đạo, nấu cơm trên đó, rồi vừa đi vừa ăn, đem cả quân trở về.
是時,乂安人𢙇貳,新平,順化多叛從占,故土哩之人四散游擊莫之能禦.	Bấy giờ, người nghệ an vốn ở hai lòng, còn tân bình, thuận hóc thì phần nhiều làm phản theo chiêm thành, cho nên người địa phương phân tán đánh lén khắp nơi, không ai ngăn được.
