高蠻，一名眞臘，一名高綿。	Cao Man có tên nữa là nước Chân Lạp, lại một tên nữa là nước Cao Miên.
設官治之。〈置將軍一，參贊大臣一，提督、協贊各一，領兵、副領兵各二，兵備道、糧儲道各一，員外郎二，主事三，司務四，八九品書吏各八，未入流書吏六十，教授、訓導十二。〉	Đặt quan để cai trị (đặt 1 Tướng quân, 1 Tham tán đại thần, 1 Đề đốc, 1 Hiệp tán, 2 Lãnh binh, 2 Phó lãnh binh, 1 Viên binh bị đạo, 1 Viên lương trữ đạo, 2 Viên ngoại lang, 3 Chủ sự, 4 Tư vụ, 8 Bát phẩm thư lại, 60 Vị nhập lưu thư lại, 12 Giáo thụ, Huấn đạo).
以張明講爲東閣大學士，封平城伯，領鎭西將軍印；黎大綱爲參贊。尋以楊文豐代之。	Lấy Trương Minh Giảng làm Đông các đại học sĩ, phong là Bình Thành bá, lĩnh ấn Trấn Tây Tướng quân, Lê Đại Cương làm Tham tán, rồi lấy Dương Văn Phong thay.
又於海西、海東、山靜三府別置宣撫使，束蠻兵二十五奇、象牧一奇，發南圻軍流一千餘往屯田。明命十九年冬，匿俺自北尋奔率土民九千餘人、船七十餘艘來歸。	Lại đặt riêng Tuyên phủ sứ ở ba phủ Hải Tây, Hải Đông, Sơn Tĩnh, dồn lính Man làm 25 cơ; 1 cơ tượng mục, phát hơn 1 nghìn tù bị tội quản lưu ở Nam Kỳ đến làm Năm Minh Mạng thứ 19 (1838), mùa đông, Nặc Yểm từ Bắc Tầm Bôn đem thổ dân hơn 9 nghìn người, thuyền hơn 70 chiếc về quy phục ta.
俺乃禛弟也。聞禛死無嗣，率先歸命，冀爲禛嗣。明講密疏，請邀殺之，不許。	Yểm là em Chân, nghe Chân chết không có con nối đến quy thuận trước, mong để làm người nối ngôi của Chân, Minh Giảng mật sớ xin đón giết đi, vua không nghe.
乃請安插其民諸海島及諸曠地，送俺于嘉定拘問，隨解京讞。	Bèn xin đem các dân của Yểm đem về ở các đảo ngoài biển và các chỗ đất bỏ không, đưa Yếm đến Gia Định, giữ lại hỏi, rồi giải về Kinh nghị tội.
明命二十一年，改置鎭西府縣。府十，縣二十三。近鎭西者，由將軍、參贊管攝；海西、海東山靜三處，由宣撫使管轄，而將軍、參贊兼統之，鎭西府泰安、閭安二縣。	Năm Minh Mạng thứ 21, đổi đặt phủ huyện ở Trấn Tây, 10 phủ 23 huyện, những phủ huyện ở gần trấn Tây thì do Tướng quân, Tham tán quản 3 xứ Hải Tây, Hải Đông, Sơn Tĩnh do Tuyên phủ sứ quản hạt, mà Tướng quân, Tham tán kiêm thống trị cả phủ Trấn Tây có 2 huyện là Thái An, Lư An.
宜永府上豐、豐穰二縣，南寧府南盛、南泰、扶南三縣，武功府平徵、其蘇、徵瑞三縣，四府由將軍、參贊管攝海西府海平、輸忠二縣。	Phủ Nghi Hoà có 2 huyện là Thượng Phong, Phong Nhương. Phủ Nam Ninh có 3 huyện là Nam Thịnh, Nam Thái, Phù Nam. Phủ Vũ Công có 3 huyện là Bình Trưng, Kỳ Tô, Trưng Huy, bốn phủ này do Tướng quân tham tán quản nhiếp Phủ Hải Tây có 2 huyện là Hải Bình và Thâu Trung.
寧泰府玉牌、江右、泰盛三縣，二府由海西宣撫使管轄。	Phủ Ninh Thái có 3 huyện là Ngọc Bài, Giang Hữu, Thái Thịnh, hai phủ này do Tuyên phủ sứ Hải Tây quản hạt.
海東府海寧、輯寧二縣，河平府中河、福來二縣，二府由海東宣撫使管轄。	Phủ Hải Đông có hai huyện là Hải Ninh và Tập Ninh. Phủ Hà Binh có hai huyện là Trung Hà và Phục Lai, hai phủ này do Tuyên phủ sứ Hải Đông quản hạt.
山靜府桂林、山東二縣，美林府美村、桃林二縣，二府由山靜宣撫使管轄。	Phủ Sơn Tịnh có hai huyện là Quế Lâm, Sơn Đông. Phủ Mỹ Lâm có hai huyện là Mỹ Thôn, Đào Lâm, 2 phủ này do Tuyên phủ sứ Sơn Tĩnh quản hạt.
更定鎭西兵額，〈原二十五奇，象一奇仍舊。	Đổi định lại ngạch lính ở Trấn Tây (nguyên có 25 cơ lính, 1 cơ voi thì vẫn để như cũ.
餘二十五奇分爲中、前、左、右、後五營。	Còn 25 cơ chia làm 5 doanh Trung, Tiền, Tả, Hữu, Hậu, Trung doanh 5 cơ, biền binh 2695 người.
中營五奇弁兵二千六百九十五人，前營五奇弁兵二千一百十六人，左營五奇弁兵二千五百三十人。	Tiền doanh 5 cơ, biền binh 2116 người. Tả doanh 5 cơ, biền binh 2530 người.
右營五奇弁兵二千二百人。	Hữu doanh 5 cơ, biền binh 2200 người.
後營五奇弁兵二千二百五十五人。凡一萬一千七百九十六人。〉以原設正副領兵管之，壚塸勿土民相率投歸一千二百餘人。	Hậu doanh 5 cơ, biền binh 2255 người, cộng 11796 người), lấy Chánh Phó lãnh binh nguyên đặt trước cai quản.
令移插于鎭西南寧等轄，號曰新民。	Thế dân ở Lò Gò Vật rủ nhau về quy phục đến hơn 1200 người, sai đi an sáp ở các hạt Trấn Tây, Nam Ninh, gọi là dân mới.
是年夏，命官經略鎭西。以黎文德充欽差大臣，尹蘊副之，會同將軍、參贊等，炤全轄江沱潭池各所，量設關津，明定稅額。田土已成界限者，併行量丈。畝高產出素業者，輸本色人數多寡飭改正。	Mùa hạ năm ấy, sai quan đi kinh lược Trấn Tây, cho Lê Văn Đức sung chức Khâm sai đại thần, Doãn Uẩn làm phó, hội đồng với bọn Tướng quân, Tham tán chiểu các số sông ngòi đầm ao trong cơ hạt lượng đặt cửa quan bến đò, định rõ ngạch thuế; ruộng đất đã giới hạn, thì đều đo đạc xem bao nhiêu tượng mẫu sào; nghề nghiệp vốn sản xuất thứ gì, thì nộp thứ ấy; số người chỗ nhiều chỗ ít, sức theo số người mà sửa chữa lại.
改封玉雲爲美林郡主、玉卞爲閭安郡君、玉秋爲輸忠郡君、玉原爲輯寧縣君。	Đổi phong Ngọc Vân làm Mỹ Lâm Quận chúa; Ngọc Biện làm Lư An Quận quân; Ngọc Thu làm Thâu Trung Quận quân; Ngọc Nguyên làm Tập Ninh Huyện quân.
玉卞尋以謀逆，事覺，獲罪。乃封玉雲、玉秋、玉原三人，尋移于嘉定居駐，支俸給之。	Rồi sau Ngọc Biện vì mưu việc trốn bị phát giác ra, phải tội, mới phong Ngọc Vân, Ngọc Thu, Ngọc Nguyên 3 người, rồi đi đến ở Gia Định chi lương bổng cho.
〈初，玉卞母舅名毛在暹，心欲歸順，寄書懇囑。張明講手下楊觀討以事稟講。討乃誑令玉卞密書喚毛回近轄。	(Xưa cậu mẹ Ngọc Biện tên là Mao ở nước Xiêm, lòng muốn quy thuận, gửi thư khẩn thiết dặn thủ hạ của Trương Minh Giảng là Dương Quan Thảo, đem việc bẩm với Giảng, Thảo bèn lừa dối bảo Ngọc Biện mật gọi Mao về hạt gần đấy.
玉卞信之。	Ngọc Biện tin lời.
討遂密報楊文豐、張明講，謂玉卞通暹消息，引拏名毛。及書封回，納與玉卞監查。討又譯查詞，織成重案。玉卞、名毛俱坐死。	Thảo bèn mật bảo với Dương Văn Phong, Trương Minh Giảng là Ngọc Biện thông tin tức cho nước Xiêm, dân bắt tên Mao và phong thư đưa về nộp, cùng với Ngọc Biện giam để tra xét; Thảo lại dịch lời ta, thêu dệt bức thư thành án nặng, Ngọc Biện và tên Mao đều bị tội xử tử).
〉茶龍、壬于、羅堅三人者，眞臘蠻之有名頭目者，常令領兵勦虜，退託不行。	Trà Long, Nhâm Vu, La Kiên 3 người đều là đầu mục Man có danh tiếng ở nước Chân Lạp, thường sai đem binh đi đánh giặc, thoái thác không đi.
及來京祝嘏，戶部問以戶口之數，又不以寔對。	Kịp khi đến Kinh chúc hỗ, Hộ bộ hỏi về số hộ khẩu, lại không trả lời thực, bèn giáng Chưởng vệ Trà Long làm Cai dội, phát đi Hà Nội.
乃降掌衞茶龍爲該隊，發河內；掌衞壬于爲正隊長，發北寧；衞尉羅堅爲隊長，發興安。	Chưởng vệ Nhâm Vu làm Chánh đội trưởng, phát đi Bắc Ninh, Vệ uý La Kiên làm Đội trưởng, phát đi Hưng Yên.
是年秋，鎭西土匪不靜，諸府縣員多爲匪所擾。土酋、土民處處蜂起，攻殺漢民。〈先是，名𧑒、名俺投在虜境，見我勢日彊、暹勢日屈，相與潛謀來歸。	Mùa đông năm ấy, thổ phỉ ở Trấn Tây làm náo động, các viên phủ huyện phần nhiều bị thổ phỉ quấy nhiễu, thổ tù thổ dân, chỗ này chỗ khác, nổi dậy như ong, đánh chết dân Kinh trước đây, tên Dun tên Yểm, đến ở đất giặc, thấy thế ta ngày càng mạnh, thế nước Xiêm ngày càng kém đi, cùng nhau ngầm mưu về quy phục ta.
而名俺最爲狡譎，旣與名𧑒謀歸，又恐事覺。遂將𧑒謀歸之事密告與暹。暹人遂信俺而疑𧑒，而監囚之。	Nhưng tên Yểm rất là giảo quyệt, đã cùng tên Dun mưu về quy phục ta, lại sợ việc phát giác ra, đem việc Dun mưu quy phục ta mật cáo với nước Xiêm, người Xiêm bèn tin Yểm mà ngờ Dun, bắt Dun giam lại.
至是，蠻目因見鎭西捉解名俺監禁，又將玉卞治罪，玉雲等亦移居別處。遂相率煽亂，求援於暹，請名𧑒以王其國。	Đến đây đầu mục người Man nhân thấy Trấn Tây bắt tên Yểm giải để giam cầm, bọn Ngọc Biện trị tội, bọn Ngọc Vân cũng di đi chỗ khác, bèn cùng rủ nhau nổi loạn cầu viện ở nước Xiêm, xin cho tên Dun làm vua nước ấy.
虜長質知引兵前往北尋奔，竝交名𧑒，聽其處置。	Quốc trưởng nước Xiêm sai Chất Tri dẫn quân tiến đến Bắc Tầm Bôn và giao tên Dun cho, để tùy ý xử trí.
質知進逼海西，謀立名𧑒爲蠻長。各處土目、土民率皆響應。	Chất Tri tiến sát đồn Hải Tây, mưu lập tên Dun làm Man trưởng, thổ dân đều ứng cả.
〉事聞，命發南圻六省，以備徵調。	Việc đến tai vua, sai phát quân 6 tỉnh Nam Kỳ đề phòng điều khiển.
又以茶龍、壬于等，或與土民暗通消息，下刑部鞫問。	Lại cho là bọn Trà Long, Nhâm Vu, hoặc có cùng với bọn thổ dân ngầm thông tin tức, giao xuống bộ Hình xét hỏi.
茶龍等請修書寄回，開誘其子弟，使之回頭。	Bọn Trà Long xin làm thư gửi về dỗ bảo con em, khiến cho quay đầu về Vua y cho.
許之。尋以楊文豐署安河總督，黎文德充辦鎭西參贊，尹蘊權充鎭西幇辦，會同將軍捕務。	Rồi sau cho Dương Văn Phong làm Thự An Hà Tổng đốc, Lê Văn Đức làm Sung biện Trấn Tây Tham tán, Doãn Uẩn quyền sung Trấn Tây Bang biện, hội đồng với Tướng quân đi bắt giặc.
帝以鎭西之變，皆邊臣張明講等撫禦乖方之罪。乃降張明講爲兵部侍郎，仍兼將軍事務；楊文豐爲兵部郎中，仍權署總督。	cho là biến loạn ở Trấn Tây, đều là tội của biên thần Trương Minh Giảng vỗ về chống chế không phải phương pháp, bèn giáng Trương Minh Giảng làm Binh bộ Thị lang, vẫn kiêm công việc Tướng quân, Dương Văn Phong làm Binh bộ Lang trung, vẫn quyền Thự tổng đốc.
命催六省兵勇前往鎭西捕務。	Ra lệnh đòi binh dõng 6 tỉnh tiến đến Trấn Tây để đánh bắt giặc.
又以左軍范文典充經略大臣，統制阮進林充參贊大臣，領京兵五衞、南義二奇前往督勦。	Lại lấy Tả quân là Phạm Văn Điển sung Kinh lược đại thần, Thống chế là Nguyễn Tiến Lâm sung Tham tán đại thần, lĩnh 5 vệ kinh binh, 2 cơ Nam Ngãi, tiến đi đốc đánh.
署左副都御史阮公著上疏請行。命充參贊，卽往會勦。	Thự tả phó đô ngự sử là Nguyễn Công Trứ dâng sớ xin đi, cho sung chức Tham tán lập tức đi hội đánh.
是辰，蠻匪嘯援，暹、牢將兵助惡，動以三五萬計，一往海東攻圍沙孫、支貞諸屯堡；一往海西，兵勢甚盛。	Khi ấy, giặc Man cầu cứu viện, nước Xiêm, nước Lào đem quân giúp kẻ làm bậy, kể đến năm ba vạn người. Một toán đến Hải Đông đánh vây các bảo Sa Ôn, Chi Trinh; một toán đến Hải Tây, binh thế rất thịnh.
張明講、黎文德聞得沙孫圍逼，當先進援。而賊徒阻截水路，交戰不利，仍停駐蓮港。	Trương Minh Giảng, Lê Văn Đức nghe thấy Sa Tôn bị vây, nên đến trước để cứu viện, nhưng quân giặc ngăn chặn đường thuỷ, đánh nhau không lợi phải dừng lại đóng ở Liên Cảng.
從段文策計，潛取別路，乘後襲攻，殺賊甚眾，收獲械仗無算。沙孫圍解，暹兵奪氣。乘勝攻破賊屯三十餘所，賊兵遁散。	Theo kế của Đoàn Văn Sách ngầm tìm tranh con đường khác, đánh úp phía sau, giết giặc rất nhiều, thu được khí giới không biết đâu mà kể, giải được vây ở Sa Tôn, quân Xiêm mất khí hăng hái, quân ta nhân thế thẳng đánh phá đồn của giặc hơn 30 sở, quân giặc chạy trốn tan đi cả.
遂將兵轉往海西。	Bèn đem quân chuyển đến Hải Tây.
進至芃龍津次，江道窄狹，登陸前進。	Tiến đến bến Bông Long, đường sông chật hẹp, lên bộ tiến đi.
途見土匪約得千餘，內有一人赼來，大呌：「海西官兵旣與暹目講和，請勿進戰。」張明講不聽，督兵向前。羣匪散走。	Khi đi đường thấy bọn thổ phỉ ước hơn một nghìn người, trong có một người sấn lại kêu to lên rằng: Quan quân Hải Tây đã cùng đầu mục nước Xiêm giảng hoà, xin chớ tiến đánh; Trương Minh Giảng không nghe, đốc quân tiến về phía trước, các thổ phỉ tan chạy cả.
適提督武德忠等自海西來，述稱：該堡被賊兵圍逼，接得暹書，邀來講和。彼等勢在危急，不得已，同來講和。	Vừa gặp bọn Đề đốc là Vũ Đúc Trung, từ Hải Tây đến, thuật lại đồn ấy đã bị quân giặc vây sát, tiếp được thư nước Xiêm đem lại cầu giảng hoà, bọn ấy ở vào tình thế nguy cấp, bất đắc dĩ cùng đến giảng hòa.
暹將質知辭極遜順，臨行，遞交講和書一封，竝分遺彼等黃金各一粒，派兵送回。	Tướng nước Xiêm là Chất Tri nói rất khiêm tốn, tới khi đi, đệ giao một phong thư giảng hoà và chia đưa cho bọn người ấy mỗi người một hạt vàng tốt, phái lính đưa về.
講等聞道：「若此，進止兩難。」遂停兵芃龍津次，以事聞。	Bọn Giảng nghe nói thế, tiến hay dừng đều khó cả, bèn dừng quân ở bến Bông Long, đem việc ấy tâu vua biết.
命張明講復書于質知，如欲講和，須撤兵回，各守境界。	Vua sai Trương Minh Giảng viết thư trả lời cho Chất Tri, nếu muốn giảng hoà, nên rút quân đều giữ giới cõi.
旣而質知退兵，亦無回答。	Rồi sau Chất Tri lui quân, cũng không thư đáp lại.
張明講因此回兵鎭西，修築屯壘自衞。	Trương Minh Giảng nhân thể kéo quân về Trấn Tây sửa đắp đồn luỹ để tự vệ.
紹治元年正月，匪目逆固、逆突等屯聚于壬瀝橋。經略范文典分道進勦。至橋頭，匪夥千餘突出挑戰。	Năm Thiệu Tri thứ 1 (1841), tháng giêng, đầu mục của giặc là bọn nghịch Cổ, nghịch Đật đóng dồn tụ họp ở cầu Nhâm Lạch, Kinh lược là Phạm Văn Điển chia đường tiến đánh; đến đầu cầu, bọn giặc hơn 1 nghìn tên xông ra khiêu chiến.
典獨率兵象過橋，直抵匪壘。匪橫截去路，憑險放射。典兵失利，遂引兵還。	Điển cứ đốc suất lính và voi qua cầu, đến thẳng luỹ giặc, giặc ngăn chặn ngang đường đi, dựa chỗ hiểm bắn ra, quân của Điển đánh không lợi, bèn dẫn quân về.
又有土匪紏夥三萬，圍擾城轄。隆祥總督裴公諠與幇辦尹蘊、協贊高有翼分道鏖戰，卻之。	Lại có toán thổ phỉ họp ba vạn người, vây nhiễu thành hạt, Tổng đốc Long Tường là Bùi Công Huyên cùng Bang biện là Doãn Uẩn, Hiệp tán là Cao Hữu Dực chia đường đánh rất dữ, giặc phải lùi.
諠乃移兵進勦美林餘黨，安蠻一二。二奇管奇樗謙、孫離各詣軍次効用。	Huân bèn di quân tiến đánh bọn còn lại ở Mỹ Lâm, quản cơ 2 cơ An Nam Nhất, Nhị là Hu Khiêm, Tôn Ly đều đến quân thứ xin ra sức làm việc.
樗謙爲向道，進戰，遇匪千餘，擊破之。	Hu Khiêm làm hướng đạo tiến đánh, gặp thổ phỉ hơn 1 nghìn tên đánh phá được.
忽又土匪八千突來，副管奇阮日坫戰歿。	Chốc lại có thổ phỉ 8 nghìn người xông đến, Phó quản cơ là Nguyễn Viết Đi đánh nhau bị chết.
永隆署領兵黎寛猛接援匪始卻，孫離尋亦逸去。	Thự Lãnh binh ở Vĩnh Long là Lê Khoan Mãnh đến tiếp viện, thổ phỉ mới lùi; rồi Tôn Ly cũng trốn đi.
諠乃退回鎭西。	Huyên bèn lui về Trấn Tây.
三月，質知再來，帶將名𧑒前往海西，設立屯札，謀立名𧑒爲蠻長。又潛分其黨于海東、海西、蛇能、山靜各處，煽誘土民滋事。再紏聚蠻眾，分擾永濟、前後江各道。	Tháng 3, Chất Tri lại đến, mang theo tên Dun tiến đến Hải Tây, thiết lập đồn trại, mưu lập Dun làm Man trưởng; lại ngầm chia bè lũ ở các xứ Hải Đông, Hải Tây, Sà Năng, Sơn Tĩnh dỗ dành thể dân sinh sự; lại tụ họp dân Man chia ra quấy nhiễu các đạo Vĩnh Tế, Tiền Giang, Hậu Giang.
土目陳林等煽變于巴川，攻掠永濟。	Thổ Mục là bọn Trần Lâm nổi loạn ở Ba Xuyên, đánh cướp Vĩnh Tế.
楊文豐、阮惟壯等與戰失利。賊勢日益猖獗。	Bọn Dương Văn Phong, Nguyễn Duy Tráng cùng đánh nhau không lợi, thế giặc ngày càng hung hăng.
鎭西張明講等商委裴公諠將兵返回援勦。	Bọn Trương Minh Giảng ở Trấn Tây thường uỷ cho Bùi Công Huyên đem quân trở về viện trợ để dẹp.
又奉簡派阮知方、阮良閑前往會勦。	Lại phụng mệnh chọn phái Nguyễn Tri Phương, Nguyễn Lương Nhàn, tiến đến hội đánh.
知方等進抵巴川，攻破滀臻，燒殺甚眾。仍分兵三道向前夾擊。忽聞後道失利，知方督兵穿過該滀策應，道兵始定。合力交攻，燒破匪滀，生獲匪犯頗多。忽聞永濟河匪徒填塞茶衂處，關報不通，商委阮良閑畱守巴川汛，卽移兵永濟，協與護撫丁文輝進破匪屯，開通河道。仍設柵防截，復回巴川。	Bọn Tri Phương tiến đến Ba Xuyên đánh phá Sóc Trăng, đốt rất nhiều, rồi chia quân làm 3 đạo, hướng về phía trước đánh giáp lại, chợt nghe thấy đạo Hậu quân thua, Tri Phương đốc quân để tiếp ứng, binh đạo ấy mới yên, hợp sức cùng đánh đốt phá súc của giặc, bắt được quân giặc khá nhiều, vụt nghe thấy bọn giặc ở sông Vĩnh Tế điều lấp xứ Trà Mục, quan báo không thông, bèn thương uỷ Nguyễn Lương Nhàn ở lại giữ đồn cửa biển Ba Xuyên, tức thì di quân đến Vĩnh Tế, hợp với Hộ phủ là Đinh Văn Huy tiến đánh phá đồn giặc, mở thông đường sông, rồi cắm rào sách ngăn chặn, lại trở về Ba Xuyên.
適匪徒來擾，卽督兵邀殺。匪眾復奔潰。	Vừa gặp bọn thổ phỉ đến quấy nhiễu, tức thì đốc quân đón giết, quân giặc lại bỏ chạy tan vỡ.
會樂化逆匪師森總共及僞稱駙馬隊，聚眾至七八千，屯據樂化、茶榮，永隆爲之騷動。	Gặp nghịch phỉ ở Lạc Hoá là Sư Sâm và nguỵ xưng Phò mã là Đôi họp quân tổng cộng đến bảy tám nghìn người đóng đồn giữ Lạc Hoá, Trà Vinh, Vĩnh Long vì thế sôi động.
諭令裴公諠帶兵往勦，布政陳宣、知縣黃有光進抵壚芹，爲匪所襲，俱陣死。	Vua dụ sai Bùi Công Huyên đem quân đi đánh. Bố chính là Trần Tuyên, Tri huyện là Hoàng Hữu Quang tiếp đến Lò Cẩn, bị giặc đánh úp, đều chết ở trận.
公諠以不援勦，坐革畱。尋以怯懦冒功，解職交議。	Công Huyên vì không đem quân đến viện trợ đánh giết, phải cách chức lưu nhiệm rồi vì nhút nhát, giả mạo làm có công, phải giải chức, giao bộ nghị tội.
另派阮知方前往勦捕。	Rồi phái cho Nguyễn Tri Phương tiến đến đánh bắt.
知方進至芹蔠，襲擊後江，與阮進林分道進，破匪屯，射殺匪夥甚眾。	Tri Phương tiến đến Cần Chông, đánh úp Hậu Giang, cùng với Nguyễn Tiến Lâm chia đường tiến phá đồn giặc, bắt giết bọn giặc rất nhiều.
迨至進戰吹暹失利，匪徒復于茶句、罷潡、古壘、咸陽等處築屯旅拒。	Kịp khi đến tiến đánh Soài Triêm không lợi, bọn thổ phỉ lại đóng đồn ở các xã Trà Cú, Bãi Đồn, Cổ Luỹ, Hàm Dương để chống cự.
嗣而知方移兵進戰，雖屢攻破匪徒，而彼散此聚，攻東守西，未能屏息。	Rồi sau Tri Phương đem quân tiến đánh; tuy thường đánh phá được bọn giặc nhưng chỗ kia tan, chỗ này họp, đánh đằng Đông thì giữ đằng Tây, chưa thể yên hết được.
鎭西將軍、參贊等，前者分兵勦匪，經已搗破匪屯十二所，乃不能取次勦平，卻執和議，退兵修築屯堡自守，疏請交回玉雲，招誘。	Bọn Tướng quân, Tham tán ở Trấn Tây, trước kia đã từng đánh phá đồn của thổ phỉ 12 chỗ, nhưng không thể lần lượt dẹp yên được, lại giữ lời giảng hoà, lui quân sửa đắp đồn bảo để tự giữ, dâng sớ xin giao Ngọc Vân về để chiêu dụ.
玉雲旣至，飭誘，更無所得。該匪仍行分擾于靜邊、巴川、樂化，各道官兵與戰，間有失利。	Ngọc Vân đến nơi, ra sức dụ, nhưng không được việc gì, bọn thổ phỉ ấy vẫn chia nhau đi quấy nhiễu ở các đạo Tĩnh Biên, Ba Xuyên, Lạc Hoá, quan quân đến đánh có khi bị thua.
諭準張明講仍畱居守鎭西，摘派范文典等乘夜轉回安江，徑往靜邊捕務，開通各處塞路；再向樂化、巴川取次勦平，復回鎭西。	Vua xuống dụ chuẩn cho Trương Minh Giảng vẫn ở lại giữ Trấn Tây, trích phái bọn Phan Văn Điển nhân đêm chuyển về An Giang, đi tắt đến Tĩnh bắt giặc, mở thông đường bị nghẽn ở các xứ; lại về Lạc Hoá, Ba Xuyên lần lượt đánh dẹp rồi lại về Trấn Tây.
阮進林亦帶兵前往巴川、樂化合攻，以淸後路。	Nguyễn Tiến Lâm cũng đem quân tiến đến Ba Xuyên, Lạc Hóa, họp đánh để dẹp yên nẻo sau.
阮公著疏請開釋名俺，送回鎭西招撫。	Nguyễn Công Trứ dâng sớ xin tha cho tên Yểm đưa về Trấn Tây để chiêu dụ vỗ yên.
許之。	Vua y cho.
及名俺回到，招誘，亦不之聽。	Kịp khi Yểm về đến nơi chiêu dụ, bọn thổ phỉ không nghe.
匪徒又常於鎭西林分出沒滋事，在轄土目內應，謀將玉雲掠去。	Bọn thổ phỉ lại thường lén lút ra vào ở miền rừng Trấn Tây để sinh sự. Thổ mục ở hạt ấy làm nội ứng mưu cướp lấy Ngọc Vân đem đi.
阮公閒等覺得，擒捕斬之。	Bọn Nguyễn Công Nhàn dò biết, bắt được chém đi.
張明講請罪，自陳鎭西不可守狀，願全軍轉回安江。	Trương Minh Giảng xin nhận tội, tự mình trình bày về tình trạng Trấn Tây không thể giữ được, xin đem toàn quân chuyển về An Giang.
事下廷議，皆以撤兵養民爲請。帝從之，撤回鎭西官兵，下刑部議處。	Việc giao xuống đình thần bàn, đều xin rút quân nuôi dân, vua theo lời, rút quan quân ở Trấn Tây về, rồi giao xuống bộ Hình nghị xử.
張明講回，抵安江，暴死。	Trương Minh Giảng về đến An Giang thốt nhiên chết ngay.
玉雲、名俺及土目等亦各解回安江，派從官軍招誘。	Ngọc Vân, tên Yểm cùng bọn thổ mục cũng đều giải vây An Giang, phái theo quan quân đi phủ dụ.
仍準阮公著畱安江，協同范文典商辦。	Vẫn chuẩn cho Nguyễn Công Trứ ở An Giang cùng với Phạm Văn Điểm hợp nhau bàn bạc làm việc.
阮公閒帶兵前往樂化，會同阮進林等併力攻勦參都，合戰，破燒匪寨，殺獲甚眾。降黨七千六百名氏，樂化始平。	Nguyễn Công Nhàn thì đem quân tiến đến Lạc Hoá hội đồng với bọn Nguyễn Tiến Lâm góp sức đánh dẹp. Tham tán Đô đốc hợp vào để đánh, phá đốt trại giặc, giết và bắt được rất nhiều, bè lũ giặc vừa trai vừa gái phải đầu hàng 7600 người, Lạc Hoá mới yên.
阮進林、阮知方移兵轉往巴川，進攻布草、茶心各處。匪徒奔回滀參，築屯旅拒。	Nguyễn Tiến Lâm và Nguyễn Tri Phương di quân chuyển đến Ba Xuyên, tiến đánh các xứ Bố Thao, Trà Tâm, bọn giặc chạy đến Súc Sâm, đắp đồn để chống cự.
官兵分道進勦，前後夾攻。裨將阮文黃、阮文伊等當場格鬭，斬殺數多。匪勢日益竆蹙，驚惶四散，或赴火死，或投林死，及相率投首又千餘人。	Quan quân chia đường tiến đánh; phía trước sau đánh giáp lại, bọn tì tướng là Nguyễn Văn Hoàng, Nguyễn Văn Ý đương trường đánh nhau, chém giết số nhiều, thế giặc ngày thêm cùng quẫn, sợ hãi chạy tán đi các ngả, hoặc nhảy vào lửa chết, hoặc chạy vào rừng chết, lại rủ nhau hơn một nghìn người đến thú.
巴川悉平。	Ba Xuyên dẹp yên hết cả.
先是，名𧑒住在龍澳，聞鎭西官兵撤回安江，詞報暹目質知，相率轉往鎭西居住，仍分兵各處擾掠，多被官兵攻破。書回虜長，乞增援兵。	Trước đây, tên Dun trú ở Long Úc, nghe tin quan quân Trấn Tây rút về An Giang, báo cho đầu mục Xiêm là Chất Tri cùng nhau chuyển đến trú ở Trấn Tây, rồi chia quân đi các xứ cướp bóc, phần nhiều bị quan quân đánh phá, gởi thư về cho Quốc trưởng của giặc xin thêm quân viện trợ.
二年春，蠻匪連結暹虜，增派援兵，傾國水陸，分道入寇。水路之虜將名烏舌管將兵船向河僊海口放射。	Năm thứ 2 mùa xuân, bọn Man phỉ liên kết với giặc Xiêm, phái thêm rất nhiều viện binh, quân thuỷ bộ cả nước chia đường vào cướp, tướng của giặc ở đường tên là Ô Thiệt, quản suất binh thuyền hướng vào cửa biển Hà Tiên mà bắn.
陸路之虜連結土匪，自朱巖至鹿角山，設立屯柵，三面巨礮交射。臺壘外矢石散落如雨。河僊報急。	Giặc ở đường bộ liên kết với bọn thổ phỉ, từ Chu Nham đến núi Lộc Giác, thiết lập đồn sách, ba mặt súng lớn giao nhau bắn ra, ngoài đài luỹ, tên đạn rơi xuống như mưa … Tỉnh Hà Tiên báo tin nguy cấp.
卽命段文策等提兵控禦，催督兵船，徑往河僊洋外援勦。	Vua lập tức sai bọn Đoàn Văn Sách mang quân ngăn chống, đốc thúc binh thuyền đi tắt ngoài biển thuộc địa phận Hà Tiên để viện trợ đánh giết.
又遣范文典、阮知方、阮公閒等分道進勦。	Lại sai Phạm Văn Điển, Nguyễn Tri Phương, Nguyễn Công Nhàn chia đường tiến đánh.
黎文德爲總統勦捕軍務，黎文富爲參贊大臣，管領兵船，迅往征勦。	Cho Lê Văn Đức làm Tổng thống tiễu bộ quân vụ, Lê Văn Phú làm Tham tán đại thần, quản lĩnh binh thuyền đi mau đến đánh giết.
大兵未至，段文策按守金嶼臺。	Đại binh chưa đến, Đoàn Văn Sách đóng giữ đài Kim Dữ.
河僊巡撫梁文柳守長壘，各親督弁兵，日夜連發大礮拒擊。	Tuần phủ Hà Tiên là Lương Văn Liễu giữ luỹ đều thân đốc biền binh ngày đêm luôn luôn phát súng lớn chống đánh.
