第八回。	Hồi thứ tám.
加选泰等军功，及颁赏将士银钱有差。	Sau đó, vua lại thăng thưởng quân công cho bọn Tuyển, Thái, và theo thứ bậc mà ban cấp tiền bạc cho các tướng sĩ. Nhân việc này, triều thần lại kiến nghị tâu với vua thăng cho Chỉnh lên tước công một chữ (theo quan chế đời xưa, tước "một chữ" (nhất tự) là cao quý hơn tước có nhiều chữ.
于是朝臣议奏进整爵一字公，开武城军府，铸武城军之印，枢密院属焉。	Ví dụ; Bằng công to hơn Bằng trung công), cho phép mở ra phủ quân Vũ thành, đúc con dấu Vũ thành và để Viện xu mật thống thuộc vào đấy.
整因奏请以其子有攸为营将，领其军，帝许之。	Chỉnh nhân dịp, liền tâu xin cho con trai là Hữu Du làm chức doanh tướng, coi lĩnh toán quân ấy. Vua ưng cho.
自是凡关军务，悉听攸调度。	Từ đó, những việc thuộc về quân sự, Chỉnh đều để cho Du điều khiển lấy.
整开府于邸第之东，高堂甲第，穷极奢侈，使攸居之，效郑王世子出府故事。	Chỉnh lại xây dựng một toà phủ ở phía đông chỗ ở của mình, nhà cửa rất mực lộng lẫy để cho Du ở, theo như lệ "thế tử ra ở phủ riêng" của chúa Trịnh ngày xưa.
其部曲倚势，恣行非法，不问某衙某事，一切行下文书，押用武城军印，无敢违异者。	Bộ hạ của Chỉnh nhân đó cậy thế làm nhiều điều phi pháp. Bất cứ là nha môn nào hay việc gì, hễ đã thấy những giấy tờ đưa đến, có đóng dấu quân Vũ thành, là không ai dám trái lệnh.
朝臣无复纪纲，众情乖离，识者知其必乱，或有谢病去官，寻山海闲净之地，以避之者。	Vì thế, triều đình không còn kỷ cương gì cả, mà lòng người cũng sinh ra chia lìa. Người hiểu biết đều cho là thế nào cũng có loạn. Có người cáo bệnh bỏ quan, tìm chốn nhàn tĩnh ở nơi xó rừng, góc biển để tránh tai vạ.
整亦知不为公论所与，欲借科目正途，收采人材，以买国人之心，而固善后之策。	Chỉnh cũng biết dư luận không ưa gì mình, muốn mượn con đường khoa mục, thu nhặt nhân tài, để mua chuộc lòng người làm chước yên lành về sau.
因谋于平章维藩，奏请仿宋朝十科取士法，特开制科，命文臣三品以上，各举所知，征诣殿廷对策。	Chỉnh bèn bàn với Lê Phiên tâu xin theo phép "kén học trò theo mười khoa" của Tư Mã Quang nhà Tống, đặc cách mở một chế khoa (Chế khoa là khoa thi do nhà vua tự ra đầu bài và tự chấm lấy văn. Nhưng đời sau, những khoa thi mở bất thường cũng đều gọi là chế khoa. - Đời Tống Triết- Tông, Tư Mã Quang xin vua cho đặt mười khoa (10 điều) để làm tiêu chuẩn kén nho sĩ. Mười khoa đó đại để như sau: Có nết; có tiết tháo; có mưu trí và sức khoẻ; thông minh; ngay thẳng; thông kinh sử; học rộng biết nhiều, v.v...). Các quan văn từ tam phẩm trở lên đều phải tiến cử những người mình biết, rồi cho phép họ vào trong sân điện, đối đáp những câu văn sách của nhà vua hỏi.
于是通国名士，莫不精白承庥，已在官使者，亦皆奋勉应召。	Khi ấy, các danh sĩ trong nước ai cũng trau dồi chữ nghĩa và đức hạnh để chờ đợi ơn trên. Cả những người làm quan rồi cũng đều hăng hái ứng cử.
昭统元年丁未春正月也，时有宪副吴蒋焘以廷举贤良方正，上表固辞曰：「今承蛊坏之后，天下之事，可为感叹者，何可胜数？	Bấy giờ là tháng giêng mùa xuân, năm đầu niên hiệu Chiêu Thống (1787). Lúc đó có viên hiến phó là Ngô Tưởng Đào được cử vào khoa "hiền lương phương chính", dâng biểu cố từ như sau: "Hiện nay, nhân sau khi sụp đổ, những việc đáng cảm đáng than trong nước, kể không thể xiết.
岂但一痛二涕三太息而已耶？	Không phải chỉ có "một đau, hai khóc, ba thở dài" (nói theo lời của Giả Nghị trong bài nói về tình hình trị an đời Hán Văn đế) mà thôi.
非有命世之才，谁能干运？	Nếu không có tài hơn đời thì sao có thể xoay chuyển được thời thế.
然奇才奇遇，岂尽由科目出来？	Nhưng những bậc kỳ tài, kỳ ngộ, phải đâu hết thảy đều do khoa cử mà ra.
世若有人，陛下以礼征之，如聘莘访渭，庶几可致！	Đời nếu có người tài, bệ hạ nên dùng lễ mà mời ra như vua Thang mời Y Doãn ở đất Sằn, vua Văn vương thăm Lã Thượng ở sông Vị (Y Doãn là công thần đời nhà Thương, từng cày ruộng ở đất Sằn, vua Thang ba lần đến mời ông mới chịu ra giúp. - Lã Thượng tức Lã Vọng, công thần đời nhà Chu, từng câu cá ở bờ sông Vị, vua Văn vương đi săn bắt gặp, hết sức kính trọng, đón lên xe mời về triều làm quân sư), ngõ hầu mới mời được họ đến.
至如忝叨一职，犹恐不胜，何敢玷斯盛举，以伤圣朝拔用之明乎！」	Còn như thần đây lạm giữ một chức còn sợ chưa nổi, dám đâu làm nhơ đến việc long trọng này, để thương tổn đến sự sáng suốt trong việc cất nhắc nhân tài của thánh triều".
维藩闻之，曰：「何必要异人为？」焘私谓功灿曰：「何谓『何必要异人为？	Lê Phiên nghe bài biểu ấy nói với Công Xán rằng: - Ông ta bảo cần phải có người có tài lạ, là muốn nói nước giặc đang nhòm ngó ở bên ngoài, chẳng bao lâu sẽ có nạn binh đao.
』敌国在外，不日有警，释此不图，却欲开科取士，虚饬太平制度，恐南兵再来，不知当用何策，此正目前之忧也。」	Mình bỏ việc ấy không lo, mà lại đi mở khoa thi kén học trò, để vờ làm ra vẻ thái bình. Sợ khi quân Nam trở lại, không biết dùng chước gì mà chống đỡ? Đó thật là cái lo trước mắt!
是时殿试对策者凡二百余人。	Năm ấy, những kẻ vào điện thi để đối đáp văn sách, có đến hai trăm người.
整欲拔茅连茹，以尽收天下名士，及胪传取合格，惟陈伯览、阮嘉吉二名。	Chỉnh muốn kén chọn cả loạt để thu nhặt danh sĩ trong nước. Nhưng đến khi xướng tên, thì hạng đúng tư cách thì đỗ chỉ có hai người là Trần Bá Lãm và Nguyễn Gia Cát mà thôi.
整意不悦，故是岁冬复请试于五龙楼，取裴杨枥等进士出身凡十五名。	Chỉnh có ý không bằng lòng, cho nên mùa đông năm ấy, Chỉnh lại xin thi hội ở lầu Ngũ phượng, lấy bọn Bùi Dương Lịch vào hạng tiến sĩ, tất cả mười lăm người.
整所亲阮奎名在第四，中外颇有树私之诮。	Nguyễn Khuê là người bà con của Chỉnh, đỗ vào thứ tư, dự luận trong ngoài có ý chê là tư vị.
且说整初自乂安归朝，为帝所倚重，尊臣故相无出于右者。	Nhắc lại, khi Chỉnh ở Nghệ An về triều, được vua trọng dụng, các thân thần, cựu thần của nhà vua chẳng ai được ở trên Chỉnh.
是以动辄得志，不暇以敌国边事为念。	Vì vậy, Chỉnh làm việc gì cũng trôi chảy, không còn lúc nào nghĩ đến tình hình nước địch và công việc ở ngoài biên cương nữa.
时拥兵居外，与整对敌者，西有硕郡东有壤郡，整皆闲视之，每对人辄云：「壤虽胄出将门，然其人粗卤，不闲将略。	Lúc ấy, những người ở ngoài đối địch với Chỉnh, thì phía tây có quận Thạc, phía đông có quận Nhưỡng, Chỉnh đều xem khinh. Mỗi khi chuyện trò với ai, Chỉnh vẫn thường nói: - Nhưỡng tuy là dòng nhà tướng, nhưng là người thô lỗ, không thạo mưu cơ làm tướng.
昔在先公门庑，尝以兄事我。	Xưa kia ở dưới cửa tiên công (chỉ quận Huy), y vẫn coi ta là bậc anh.
中间所周势殊，遂成参商，壤必不敢争我，我亦不忍取壤，且当置之度外。	Về sau vì sự gặp gỡ khác nhau, thành ra mỗi người một ngả. Chắc Nhưỡng không dám tranh giành với ta, mà ta cũng không nỡ đánh nhau với Nhưỡng, hãy để y ra ngoài đã.
至如硕是武将，他只是健斗，而临机应变非其所长，今年老力衰，亦不足畏也。」	Đến như quận Thạc thì chỉ là người dũng mãnh, mà lúc gặp việc cần ứng biến thì lại không phải là giỏi. Vả nay y đã tuổi già sức yếu, nên cũng không đáng sợ nữa.
会有整所亲丽武从山西来，言于整曰：「硕郡前往兴化，招抚藩臣，起冶铸兵，今已回镇。	Vừa lúc ấy, có người thân của Chỉnh là Lệ Vũ ở Sơn Tây về, nói với Chỉnh rằng: - Quận Thạc trước đi Hưng Hoá, chiêu dụ mấy viên quan Mường, mở lò đúc khí giới.
师徒数万，传檄山西土目，各率手下从军，劾日进京。	Hiện nay đồ đảng ở bốn trấn có đến vài vạn, ông ta đang truyền hịch cho các thổ hào trấn Sơn Tây, hẹn ngày đem thủ hạ vào kinh.
又闻先使人带密表来上，相公知之乎？」	Nghe đâu ông ta có sai người đem tờ biểu bí mật dâng lên nhà vua, ông có biết không?
整曰：「知道了！	Chỉnh nói: - Ta biết rồi.
硕表自陈言：「前失律丧师，后复保卫无状，过蒙涵容，再假镇节，使人得补前过，今者小心恋阙，又惧此意不明，不与臣者得以指议，加之恶名，所以踌躇未敢即就。	Trong tờ biểu, quận Thạc trình bày rằng: "Trước đã trái luật làm tan mất quân đội, sau vào bảo vệ kinh thành lại không nên công trạng gì, nhờ hoàng thượng có lòng bao dong, lại cho làm chức trấn thủ để cho bù lại tội xưa. Ngày nay có lòng luyến nhớ cửa khuyết, lại sợ ý ấy chưa được rõ ràng, kẻ không ưa sẽ được thế chỉ trích, đổ cho tiếng xấu, nên còn dùng dằng chưa dám tới ngay...". Hoàng thượng có đưa tờ biểu cho ta xem.
』帝以表示我，我今暗揣硕意，必不敢抵拒，只欲和解，在外久，则情分日隔，惟恐上之见疏，突然来则恐我在朝，祸福亦未可卜，故先以此观朝廷意耳。	Ta đã đoán ngầm được ý của Thạc, chắc y không dám dùng quân sự chống cự lại ta, mà chỉ muốn giảng hoà. Y ở ngoài lâu ngày, tình thế cách trở, đâm ra nghi hoặc, sợ hoàng thượng không tin dùng. Mà đột ngột về kinh, thì lại sợ có ta ở trong triều, chưa biết hoạ phúc thế nào, nên mới dâng trước tờ biểu ấy để dò xem ý tứ của triều đình đó thôi.
我欲奏请降旨召之，因致书与之喻意。	Ta cũng muốn tâu xin hoàng thượng giáng chỉ triệu y, nhân tiện ta gửi cho y một lá thư, nhưng khó kiếm được người xứng đáng để sai đi.
第此行犹难其人，汝既明知情形，当与中使赍书偕往。	Người đã biết rõ tình hình thì nên theo sứ giả của nhà vua mang thư cùng đi.
丽武曰：「惟命。	Lệ Vũ xin vâng lời.
整乃为书遗之。书曰：「将军前往上游，注措边事，浮深履险，跋涉良苦，果欲专制一面，为西陲保障，忝当为题达，听其自便。	Chỉnh bèn viết thư gửi cho quận Thạc, đại lược như sau: "Trước đây tướng quân lên miền thượng du, xếp đặt công việc ngoài bờ cõi, trèo đèo vượt suối, thật là vất vả. Nếu tướng quân có ý chuyên giữ một phương để che chở cho miền tây, thì tôi xin đề đạt ý ấy lên nhà vua, cho phép tướng quân tuỳ ý mà làm.
若以久服戎行，膂力既愆，欲解枢务，忝敢不与之周旋，为将军择一善地以处之，保全功名，为先朝宿将，大丈夫处世，惟行止二者，择之不可不早，将军其图之！」	Nếu tướng quân cho rằng ở trong quân ngũ đã lâu, sức lực suy yếu, muốn nghỉ việc quân cơ, thì tôi dám đâu không giúp đỡ tướng quân chọn một địa vị tốt đẹp để cho tướng quân giữ trọn công danh, làm bậc túc tướng (vị tướng cũ đời trước còn lại) của tiên triều? Kẻ đại trượng phu ở đời chỉ có hai con đường là "hành" và "chỉ", cần phải sơm sớm chọn lấy một. Mong tướng quân tính liệu lấy".
硕初闻召命，下堂拜受，下令将佐点检兵马以待启行。	Lúc mới nghe có mệnh lệnh nhà vua đòi, quận Thạc liền ra ngoài sân để bái nhận và hạ lệnh cho tướng tá kiểm điểm binh mã chờ ngày lên đường.
及发整书，大怒，谓丽武曰：「尔是整私人耶？」	Đến khi mở thư Chỉnh ra, quận Thạc bỗng nổi giận bảo Lệ Vũ: - Mày là người riêng của Chỉnh phải không?
中使曰：「那书鹏公已进呈，经奉御览，使是上所使，非私人也。」	Sứ giả đỡ lời: - Thư này Bằng công đã trình lên hoàng thượng xem; như vậy, người đưa thư tức là do hoàng thượng sai đi, không phải là người riêng.
硕曰：「谚云：『初生之犊，不畏于虎』，整之谓也。	Thạc nói: - Tục ngữ có câu: "Bò con mới đẻ không biết sợ cọp". Chính là bảo hạng người như Nguyễn Hữu Chỉnh đây!
某是武人，不会矫饬，凡事直情径行，有不可意者，惟有剑耳！	Ta là con nhà võ biền, không biết văn hoa che đậy, việc gì cũng cứ thẳng băng mà làm. Điều gì không bằng lòng, chỉ biết có lưỡi gươm mà thôi.
请与诸公说过，整始背尊国而援西人，复贰西人而据本州岛，及不为西人所与，本州岛所容，然后投忱于帝。	Này ta nói cho các ngươi nghe: Nguyễn Hữu Chỉnh trước thì phản bội nước nhà mà giúp Tây Sơn, sau lại ở hai lòng với Tây Sơn mà chiếm giữ đất Nghệ An. Đến khi Tây Sơn không nhìn nhận, người Nghệ An không dong, mới quay về với hoàng thượng.
南衙文臣，被整瞒过，使得挟天子之命以驱策国人。	Các vị văn quan lại bị hắn lừa dối, để cho hắn có thể mượn mệnh lệnh của nhà vua, sai khiến người trong nước.
独仲济敢与之抗，却于大义不明，故整得以执言。	Riêng có Dương Trọng Tế chống cự với hắn, nhưng vì không rõ nghĩa lớn, cho nên hắn có cớ mà nói.
壤郡又与整有故，只得翱翔邯江，不敢越一步，以向京畿而问叛贼之罪。	Quận Nhưỡng lại là bạn quen của hắn, thành ra chỉ bay lượn ở vùng Hàm Giang, không dám vượt lên một bước, tiến về kinh đô mà hỏi tội hắn.
方今誓以讨整为己责者，单某一人。	Hiện nay, riêng ta thề lấy việc đánh Chỉnh làm trách nhiệm của mình.
诸公好归，语整『他惯以谲诈卖弄国人，如何卖弄得某！	Các ông hãy về bảo với Chỉnh rằng: hắn quen dùng thói gian trá, giảo quyệt để lừa dối người trong nước, nhưng lừa dối thế nào được ta đây.
某今奉旨归朝，问整之罪，整能与某战，当出城数里，以便对手，无使震惊宫阙；否则面缚待罪于大兴门外，自有朝廷处分』」。	Ta nay vâng chỉ về triều hỏi tội hắn. Nếu hắn có thể đánh với ta, thì nên ra ngoài thành vài dặm để chọi nhau cho tiện, đừng để kinh động đến cung khuyết. Bằng không thì hắn nên ra chịu tội ở ngoài cửa Đại Hưng, đã có triều đình xử trí.
乃送中使复命，先具出师表，略曰：「臣前奉命出镇，适阮有整自乂安来朝，陛下以整有尊扶之功，委以国政，小人得志，渐蓄异谋，臣愚以为整非纯臣，乃是国贼。	Rồi đó, quận Thạc tiễn sứ giả về kinh, lại viết tờ biểu "xuất sư" dâng lên nhà vua, đại lược nói: "Trước đây, thần vâng mệnh ra trấn Sơn Tây, vừa lúc ấy Nguyễn Hữu Chỉnh từ Nghệ An vào chầu. Bệ hạ cho là Chỉnh có công tôn phò, nên giao việc chính trị trong nước cho hắn. Đứa tiểu nhân đắc chí, dần dà mưu đồ làm việc không hay. Cứ như ý ngu của thần, thì Chỉnh không phải là người bề tôi thuần thục, mà là một đứa tự mưu lợi riêng.
观彼行事之迹，殆如鬼魅；察彼操心之毒，甚于虎狼。	Xem việc hắn làm, giống như ma quỷ; xét bụng hắn nghĩ, độc hơn hùm beo.
伏惟圣明洞烛，许臣制之于始，无使得肆其恶于终，实社稷无疆之休。」	Cúi xin bệ hạ xét rõ, cho phép thần được trị hắn ngay từ lúc đầu, để hắn không thể rông rỡ làm ác về sau, thì thật là phúc cho xã tắc...".
于是硕郡移檄广国诸路，声整罪恶，目为君侧之贼，期即诛整，以清朝廷。	Tiếp đó, quận Thạc đưa tờ hịch đến các lộ Quốc Oai, Quảng Oai, kể rõ tội ác của Chỉnh, gọi Chỉnh là tên giặc ở cạnh nhà vua, nguyền thế nào cũng giết Chỉnh để triều đình được trong sạch.
整闻硕引军来，怒曰：「老贼可杀，不要做世间功名人，要从仲济做乱道鬼。」	Chỉnh nghe tin quận Thạc đem quân đến nổi giận nói: - Tên giặc già này thật đáng giết! Không muốn làm người công danh ở thế gian, lại muốn theo gót thằng Trọng Tế làm con ma phản nghịch ư?
乃入奏，请命部将黎遹帅师拒之，而己自督大军接战。	Rồi Chỉnh vào tâu với vua, xin sai bộ tướng là Lê Duật đem quân đi đánh quận Thạc, còn tự mình đốc suất đội quân lớn theo sau tiếp ứng.
遹至大冯，硕兵适到，才一交锋，遹军不能抵敌，弃甲曳兵而走。	Duật đến làng Đại Phùng (thuộc huyện Đan Phượng, Hà Đông, nay thuộc Hà Nội) thì quân quận Thạc cũng vừa tới đó. Hai bên mới giao chiến được một trận thì quân Duật chống không nổi đã vứt bỏ khí giới mà chạy.
硕子嘉武请乘胜追之，使整后军惊慑，可保全胜。	Con trai quận Thạc là Gia Vũ xin thừa thắng đuổi tràn, khiến hậu quân của Chỉnh kinh sợ, để có thể giữ được toàn thắng.
硕不听曰：「军令晨传，日中抵大冯会食，诸军，嬴饭待歇，而贼奄至，我一麾却之，因此传餐可也。	Quận Thạc không nghe và nói: - Quân lệnh sớm nay đã truyền là đúng trưa họp ăn ở làng Đại Phùng. Các quân lính đang đói mệt, chờ đợi nghỉ ngơi ăn uống, thì quân giặc thình lình kéo đến; ta mới vẫy quân một cái mà đã đánh lui được chúng, bây giờ nên nhân đấy mà truyền cho quân lính ăn cơm là phải.
若复鼓之前驱，日暮抵城，彼毕兵死战，我军饥疲，何以应之？	Nếu lại khua cho họ tiến lên, chiều tối đến kinh thành, giặc tất nhiên dốc hết quân ra liều chết mà đánh, lúc đó quân ta vừa mệt vừa đói, lấy sức đâu mà chống?
兵法曰：『百里趋利，蹶上将，危道也。」	Binh pháp có nói: "Quân đi hàng trăm dặm để kiếm lợi, sẽ què thượng tướng"; đó là con đường nguy hiểm.
且休兵会食，食毕，鼓行而前，逢贼便战，食饱气锐，伺患不克？	Hãy cứ nghỉ quân mà ăn uống, ăn rồi thúc trống tiến lên, gặp giặc là đánh. Ăn no khí mạnh, lo gì không thắng địch?
且吾擒整如捕小儿，何可急用人力，而使军令不信乎？」	Vả lại, ta bắt Chỉnh như bắt trẻ con, có cần gì mà phải gấp vội để cho thất tín với quân lệnh.
乃命鸣金暂止。	Quận Thạc bèn truyền lệnh khua chiêng cho quân tạm nghỉ.
遹走至半路，回顾，知硕郡不追，又恐整至，即收军结阵，复进挑战。	Duật chạy đến nửa đường, ngoảnh lại trông biết là quận Thạc không đuổi; lại sợ Chỉnh đến sẽ bị quở phạt, liền thu quân, dàn thành trận, quay trở lại đánh quận Thạc.
硕军方坐而食，失伍离次，见遹军杀来，不及以应，惊溃四散。	Quân của quận Thạc đang ngồi lên khí giới mà ăn, hàng ngũ lộn xộn chẳng đâu vào đâu. Thấy quân Duật ào đến, quân quận Thạc không kịp đánh lại, sợ hãi, tan vỡ, chạy tứ tung.
硕方坐大冯亭，仓卒上象，手下仅十人，卫象力战，硕在棚上飞枪，杀遹数百人，遹不敢近。	Lúc ấy quận Thạc đang ngồi trên đình Đại Phùng, vội vàng trèo lên mình voi, thủ hạ chỉ còn vài chục người, xúm quanh thân voi, ra sức mà đánh. Quận Thạc ngồi trên bành voi, ném lao giết chết quân Duật chừng vài trăm người. Duật không dám lại gần.
顷之，见整督大军继至，遹即挥军环硕郡队，以长竿搠刺之，硕钩象却走沙中，下象上马，挥刀乱斫，往返如飞。	Chốc lát thấy Chỉnh đem đại quân kéo đến tiếp ứng, Duật liền vẫy quân vây quanh voi của quận Thạc, lấy giáo dài mà đâm. Quận Thạc co voi vào bãi cát, rồi xuống voi nhảy phốc lên ngựa, múa đao chém vung tàn tán, người ngựa qua lại như bay.
嘉武在阵后，跃马大呼，突前奋击，杀伤甚众。	Gia Vũ ở phía sau trận phi ngựa hô tới, xông lên phía trước, lăn xả vào đánh giết, làm bị thương quân địch rất nhiều.
偏将黄登集得散军数百，复来合战。整望见之，恐硕得援，飞马逸走，急挥铁突军四面合围，向硕郡马射之。	Một viên tỳ tướng của quận Thạc là Hoàng Đăng, tập hợp được vài trăm tên lính tản mát, cũng quay trở lại hợp sức mà đánh, Chỉnh trông thấy thế, sợ quận Thạc thoát thân được thì sẽ phi ngựa trốn mất, bèn vẫy quân Thiết đột vây kín bốn mặt, nhắm vào ngựa quận Thạc mà bắn.
马踬，硕郡为遹所获，武登度不能支，俱从上协退走。	Ngựa què, quận Thạc bị Duật bắt sống. Gia Vũ, Hoàng Đăng liệu chừng không thể chống nổi, đều theo lối Thượng Hiệp (tên xã, thuộc Sơn Tây. (Cũng ở gần vùng Đan Phượng)) mà tháo lui.
是役也，硕郡亲率兴化藩臣山西土目，大会两镇之兵，甲仗犀利，一败之后，尽为俘获，无复孑遗，而整之威振天下矣。	Trận này, quận Thạc tự mình đốc suất các phiên thần Hưng Hoá, thổ mục Sơn Tây, lại hợp với quân của cả hai trấn, khí giới rất là sắc bén. Sau khi thua một trận, hết thảy đều bị thu bắt, không còn sót một tý gì. Do đó, oai danh của Chỉnh rung động khắp thiên hạ.
捷至，朝臣入贺，帝勉强而出，私谓吴为翼曰：「硕郡非朕叛臣，硕在，奸雄犹有所畏，不幸死，朕甚悼焉！何贺之有？」	Tin thắng trận về đến kinh thành, các quan vào mừng. Vua Lê miễn cưỡng ra ngự triều, rồi nói riêng với Ngô Vi Quý rằng: - Quận Thạc không phải là bề tôi bạo nghịch của trẫm. Quận Thạc còn sống thì tên gian hùng kia (chỉ Nguyễn Hữu Chỉnh) còn e sợ, nay chẳng may mà chết, trẫm rất thương xót, còn mừng nỗi gì?
已而整班师送硕郡回京，奏议当斩，帝谕之曰：「硕郡义分多而理分少，故名实不副，形迹难明，今战败成擒，法固当死，第念公未来时，仲济纵兵，围逼京城，朕孤立殿中，几有不测之变，若无硕郡，安有今日？	Tiếp đó, Chỉnh rút quân về và giải quận Thạc vào kinh thành tâu xin đem chém. Vua khuyên Chỉnh rằng: - Quận Thạc trọng về phần nghĩa nhiều, mà ít hiểu về phần lý, cho nên danh với thực không xứng với nhau, hình tích khó mà rõ rệt. Nay thua trận bị bắt, phép vẫn nên chém. Nhưng nghĩ lại lúc Trọng Tế thả quân vây bức kinh thành, trẫm đứng chơ vơ một mình trong điện suýt nữa mắc phải tai biến bất trắc; nếu không có quận Thạc, làm gì có ngày nay?
准古八议同一死也，使之殊异，朕心诚有不忍，可改议以存追轸之恩。」	Theo như phép "Bát nghị" (theo sách Chu lễ, hình phạt có "Bát nghị" (tám phép bàn), chia ra tám loại người thân của vua, người có công, người có tài, người quý hiển v.v... để xét xử phân biệt khác nhau mà định cách giảm tội) Lòng trẫm thật không nỡ, nên bài lại để cho tỏ rõ cái ơn nghĩ đến công trạng hồi xưa.
整与硕郡本无宿缣，一战而胜，忿气亦平，复闻宣谕，因请下复议。	Chỉnh đối với quận Thạc từ trước vốn không có hiềm thù gì, nay đánh một trận mà thắng, khí tức cũng đã hả, lại nghe lời vua khuyên dụ, bèn xin giao cho triều đình bàn lại.
御史吴仲圭改议有曰：「专兵拒命，罪固当刑，以功准过，死亦有礼。」	Ngự sử là Ngô Trọng Khuê thảo lời nghị tội khác, trong có câu: "Làm quan chống lại mệnh lệnh của triều đình, tội vẫn đáng chém; nhưng đem công mà bù với tội, thì sự chết cũng nên có lễ...".
遂命于西城外，赐之仰药。	Vua bèn sai đưa quận Thạc ra ngoài cửa Tây, cho uống thuốc độc.
硕郡再拜，饮之而卒。	Quận Thạc lạy hai lạy, rồi uống thuốc độc mà chết.
始硕郡被擒，都中士民，相聚观之，硕曰：「故老将黄冯基的一家父子，死国事者六人，是非自有公论，成败天也！	Lúc quận Thạc mới bị giải vào thành, nhân dân kinh đô xúm lại xem. Quận Thạc nói: - Ta là tên tướng già Hoàng Phùng Cơ đây. Cha con một nhà đã có sáu người chết vì việc nước. Phải, trái đã có công luận.
吾不能杀整，西山必杀之，天道好还，惜不及见耳。」	Thành, bại là bởi lòng trời. Ta không giết được Nguyễn Hữu Chỉnh, thế nào Tây Sơn cũng sẽ giết hắn. Đạo trời báo ứng không bao giờ sai; chỉ tiếc rằng ta không kịp trông thấy mà thôi.
硕死，归葬在山西，军民皆为之坠泪。	Sau khi quận Thạc chết, thi hài được đem về chôn ở Sơn Tây, quân và dân ai cũng chảy nước mắt.
却说整自专执国柄，事权皆自己出，纵肆日甚，众心离叛，文武臣僚，莫不解体。	Lại nói, Nguyễn Hữu Chỉnh nắm hết quyền bính trong nước, việc gì cũng tự tay của y mà ra. Càng ngày y càng lộng hành, lòng người lìa tan, quan văn quan võ, ai cũng chán nản.
奉公守法者，为武城道将士所挠；鲠概言事者，多为整所中伤，祸出不测，往往以言为讳，或谢病解印而去官。	Người nào theo lẽ công, giữ phép nước, đều bị bọn tướng sĩ cơ Vũ thành của Chỉnh quấy nhiễu. Người nào khảng khái dám nói thì nhiều khi bị chúng làm hại, tai hoạ xảy ra bất ngờ không sao mà lường được. Bởi thế, thường thường ai cũng kiêng nói. Cũng có người đã cáo bệnh, trả lại ấn tín, bỏ về nơi làng xóm.
闾里强豪，所在团结，交相劫掠，城外数里，皆为盗薮。	Bọn hào mục gian ác ở đâu thì tụ họp ở đấy, rồi đi cướp bóc lẫn nhau. Ngoài thành vài dặm, đều là hang ổ của bọn trộm cướp.
帝深以为忧，命召故参从裴辉璧问以天下事。	Vua Lê lấy thế làm lo, bèn vời viên tham tụng cũ là Bùi Huy Bích vào triều để hỏi về việc thiên hạ.
璧畏整，一无所言，但谢曰：「臣幸窃一第，经济非才，故郑王擢居政府，兵骄民怨，敌人侵伐，臣无一策匡救，误国之罪，诚无所逃。	Bích sợ Chỉnh không dám nói gì, chỉ từ tạ mà rằng: - Thần may được thi đỗ, nhưng không có tài giúp đời trị nước. Chúa Trịnh xưa cất nhắc thần làm việc trong chính phủ; lính kiêu dân oán, quân giặc lấn cướp, thần không có một chước gì để cứu vãn. Kinh thành bị hãm, chúa soái mắc nạn, cái tội làm lầm lỡ việc nước ấy, thần thật khó lòng mà trốn tránh.
今海宇一统，初政清明，须别求一番人，臣何敢复玷朝廷，以再误天下？	Nay nước nhà đã nhất thống, chính sự ban đầu đang sáng suốt, bệ hạ hãy nên tìm lấy những người tài giỏi khác. Còn như thần đây, thì dám đâu lại làm nhơ đến triều đình, để lỡ việc thiên hạ?
伏乞放归田。」	Cúi xin bệ hạ cho thần được lui về nơi ruộng đồng, làng xóm.
既退，谓所亲曰：「天下乱矣！	Lúc lui ra, Bích bảo riêng với người thân tín rằng: - Thiên hạ sắp loạn mất rồi!
吾亦从此去。」	Từ đây ta cũng bỏ mà đi thôi.
乃挈室而东。	Rồi đó, ông ta đem cả gia quyến dời sang xứ đông.
乂安督同范捴谦亦弃官去，就清漳上游谋举兵勤王，移檄数有整罪，事未集而卒。	Viên đốc đồng trấn Nghệ An là Phạm Huy Khiêm cũng bỏ quan đi lên vùng thượng du huyện Thanh Chương mưu đồ việc khởi quân cần vương. Khiêm có đưa tờ hịch kể tội của Chỉnh, nhưng việc chưa thành thì đã chết (Huy Khiêm (có người đọc là Vĩ Khiêm, tức Phạm Nguyễn Du)).
当途之士，别有一等功名，以拨乱扶衰为己责者，纠合同志，招募义勇，四方豪杰，受旨书赴召者，在在有之。	Bấy giờ, trong bọn sĩ phu tại chức, lại có hạng người khác, nặng lòng công danh, lấy việc dẹp loạn, phò nguy làm trách nhiệm của mình. Họ tụ tập các người đồng chí, chiêu mộ quân lính nghĩa dũng. Hào kiệt bốn phương, khi nhận được chỉ thư, cũng theo lời hiệu triệu mà đến với họ.
