第十五回。	Hồi thứ mười lăm.
自黎帝蒙尘以后，左右周旋，不辞险阻。	Sau khi vua Lê bị nạn, Ban thường quanh quẩn bên cạnh, không từ hiểm nghèo. Đến khi vua Lê chạy sang Trung Quốc.
及北狩不及从驾，即取间道归乂安乡贯，与土豪聚众讨贼，累次败衄。	Ban theo không kịp, bèn đi đường tắt về quê ở Nghệ An, cùng các hào mục địa phương họp quân đánh nhau với Tây Sơn, bị thua mấy trận rồi bị bắt.
为贼所获，守志不屈，乃放之，后卒于升龙。	Ban giữ vững chí cũ, không chịu khuất phục. Quân Tây Sơn bèn thả cho về. Sau Ban chết ở Thăng Long.
名案流落北江林野间，北平命吴任以书招之，案固辞以死自誓，言多矫激。	Trần Danh Án lưu lạc ở miền rừng núi, thôn quê trong xứ Bắc Giang.
吴任惭祚，导西人以兵劫。	Vua Quang Trung sai Ngô Thì Nhậm viết thư vời án.
案神色自若，端坐赋诗，有「此生虽润豺狼豺吻，纵死难为犬彘心」之句。	án cố từ, thề chết không chịu ra, lời lẽ phần nhiều gay gắt. Nhân dịp, Án lại làm bài thơ trả lời Nhậm như sau: Gặp bác đời nay dễ mấy lần, Dung nhan phảng phất mộng luôn gần.
西人又以高官谕之，亦不从，乃止。	Về ai nước ấy thôi đành kệ, Nương trọ, đời nay chỉ biết thân. Song bắc giấu mình còn nhớ Tấn (Điển Song bắc trỏ Đào Tiềm người đời Tấn, vì khi Đào Tiềm cáo quan về nhà, trong một lá thư gửi cho bạn, ông có viết câu "Bắc song cao ngoạ..." (Nằm hóng mát dưới cửa sổ phía bắc) để nói về cái thú ở ẩn. Đào Tiềm là tôi cũ của nhà Tấn, khi Tống cướp nước Tấn, Đào Tiềm viết lách gì cũng vẫn đề niên hiệu của nhà Tấn để tỏ lòng trung nghĩa) Biển Đông thà chết chẳng theo Tần (điển Biển Đông trỏ Lỗ Trọng Liên người nước Tề đời Chiến quốc. Khi Lỗ Trọng Liên sang chơi nước Triệu, gặp lúc nước Tần vây Triệu rất gấp; bấy giờ có sứ nước Nguỵ sang Triệu bàn nên tôn Tần làm hoàng đế thì sẽ khỏi bị vây; Trọng Liên nghe nói, không bằng lòng, gặp sứ Nguỵ bàn lẽ phải trái và nói; nếu Tần xưng đế thì Liên này thà nhảy xuống biển Đông mà chết chứ không chịu làm tôi tớ cho Tần... Lời nói khảng khái ấy của Trọng Liên, quả nhiên đã làm cho quân Tần phải rút lui, không vây Triệu nữa). Người sau bên mộ giơ tay trỏ: Tiến sĩ đời Lê cũ, họ Trần. Nhậm biết không thể khuất phục được án, bèn ngầm sai người đem quân đến hăm doạ. Nhưng Án vẫn ngồi làm thơ, thần sắc như thường, trong có câu rằng: Kiếp này dẫu béo mồm hùm sói, Thà chết không làm bụng chó heo! Quân Tây Sơn lại dỗ cho làm quan to, cuối cùng án vẫn không theo, họ bèn thôi.
光珠与部将收军攻贼，横行东北二镇。	Trần Quang Châu cùng bọn bộ tướng, nhóm quân đánh lại Tây Sơn, ngang dọc trong hai trấn Đông Bắc (Hải Dương và Kinh Bắc).
四五年间，累破西人屯堡，杀其渠帅者甚乡，贼亦为之惊怖。	Khoảng trong bốn năm năm liền, luôn luôn phá vỡ đồn luỹ và giết được rất nhiều tướng tá của Tây Sơn, khiến cho quân Tây Sơn cũng phải khiếp sợ Châu.
后又因中其诡计，为贼所擒，亦不屈而死。	Sau mắc mưu gian, Châu bị quân Tây Sơn bắt sống. Châu cũng không chịu khuất phục, rồi chết (theo các tài liệu lịch sử, thì những cuộc chống đối của đám cựu thần nhà Lê bấy giờ còn có: Dương Đình Tuấn (Bắc Giang). Nguyễn Phủ (Bắc Ninh), Phạm Đình Đạt (Bắc Ninh)... Nhưng cuối cùng cũng đều bị Tây Sơn dẹp tan).
自是以后，列镇惕息，炮火不惊。	Từ đó trở đi, các trấn yên lặng, không phải lo sợ về nạn binh hoả nữa.
北平王既受清帝敕封，以帝制自处，乃立其子光缵为太子，以次子垂为康公，领北边节制水步诸军；三子盘为宣公，领清化督镇总理军民事。	Sau khi nhận sắc phong của vua Thanh, vua Quang Trung bèn tự coi mình như hoàng đế, lập con cả là Quang Toản làm thái tử, con thứ hai là Quang Thuỳ là Khang công, lĩnh chức tiết chế các quân thuỷ bộ miền Bắc, con thứ ba là Quang Bàn làm Tuyên công lĩnh chức đốc trấn Thanh Hóa, Tổng lý mọi việc quân, dân.
诸镇各设镇守一、协镇一，县设分知左右管理二。	Các trấn đều đặt một viên trấn thủ, một viên hiệp trấn. Mỗi huyện đặt một viên phân tri và hai viên tả hữu quản lý để trưng thu binh lương và xử lý việc kiện cáo.
征兵粮，理词讼，立兵制。武有分率，以道统奇，以奇统队，各管束操演。	Lại lập ra binh chế, chia ra các cấp quan võ; lấy đạo thống lĩnh làm cơ, lấy cơ thống lĩnh các đội, để quản thúc và luyện tập cho quân lính.
又命大氵霝江以北，各类开丁籍，照旧例拣兵征庸钱脚米等税，造田定租粟例，分公私三等田以起征。	Các trấn từ sông Gianh ra Bắc đều phải kê khai sổ đinh, chiếu theo lệ cũ kén lính và thu các thứ thuế dung (tức thuế thân, do Trịnh Cương đặt ra), thuế cước. Lập sổ ruộng, định lệ thóc thuế. Chia ruộng công, ruộng tư ra làm ba bậc để thu thuế.
以乂安在国之中，道路适均，且租地在焉，命大征工匠搬运木石砖瓦，修宫府，造楼殿，筑四围土城。	Vua Quang Trung cho rằng Nghệ An ở vào chính giữa nước, đường sá từ Nam ra từ Bắc vào đều vừa bằng nhau, quê tổ tiên mình cũng ở đấy, bèn sai trưng dụng rất nhiều thợ thuyền, chuyên chở gỗ, đá, gạch ngói, để xây dựng cung phủ, lâu đài. Đắp thành đất chung quanh và sai các quân lính đào đá ong ở địa phương để xây thành trong.
督诸道军，掘土产蜂石以砌内城，建三层龙楼太和殿两廊，以备朝贺，号中京凤凰城。又以哀牢国关贡，命乂安督镇阮耀为大总管都督，领象政黎文忠为大司隶，发兵进攻之。	Dựng toà lầu Rồng ba tầng cùng điện Thái Hoà hai dãy hành lang, để phòng dùng đến trong những khi có lễ triều hạ (các quan vào chầu và chúc mừng nhà vua). Thành này được gọi là Phượng Hoàng trung đô hoặc Trung kinh Phượng Hoàng thành (thành này Quang Trung định lập làm nơi đóng đô nên mới gọi là "trung đô" hoặc "trung kinh"; còn tên "Phượng Hoàng" là gọi theo tên ngọn núi ở chỗ xây dựng thành, "tức rú Quyết cạnh đường Bến Thuỷ bây giờ". Khi xây dựng "Phượng Hoàng trung đô", Quang Trung có viết chiếu mời Nguyễn Thiếp ra xem đất.
至其城，哀牢王拒战不敌，遂引众而遁。	Trong tờ chiếu, có đoạn viết như sau: "Nay kinh Phú Xuân thì hình thế cách trở. ở xa trị Bắc Hà, sự thế rất khó khăn. Theo đình thần nghị rằng, chỉ đóng đô ở Nghệ An là độ đường vừa cân, vừa có thể khống chế được trong Nam ngoài Bắc, và sẽ làm cho người tứ phương đến kêu kiện, tiện việc đi về" - Xem thêm chi tiết trong La Sơn phu tử của Hoàng Xuân Hãn). Năm Canh Tuất (1790), nước Ai 015lao chưa chịu tiến cống. Vua Quang Trung bèn sai viên đốc trấn Nghệ An là Nguyễn Quang Diệu (có sách chép Trần Quang Diệu. Việc Quang Trung đánh Lào, thực ra không phải nhằm mục đích chiếm đất, mà chỉ cốt phá tan âm mưu cấu kết giữa Duy Chi và vua Lào) làm chức đại tổng quản, viên đô đốc lĩnh tượng chính là Lê Văn Trung làm chức đại tư lệ xuất quân tiến đánh. Quân Tây Sơn tiến đến đô thành nước Ai Lao, vua Ai Lao chống cự không nổi, đem quân chạy trốn.
耀等入城，尽收金银货宝象马以还。	Bọn Diệu vào thành, thu hết vàng bạc, châu báu, voi ngựa đem về.
北平王自得封以后，益自骄恣，有渺视中国之心。	Sau khi được vua Thanh phong vương, vua Quang Trung càng thêm kiêu căng, có ý xem khinh Trung Quốc.
适有两广乌匪劫掠海滨，清兵追剿，败走南海，投附本国。	Vừa lúc ấy, có giặc Tàu ô (tên gọi chung bọn giặc biển người Trung Hoa bấy giờ, thường đi tàu thuyền ở ven biển Việt Nam để ăn cướp) ở lưỡng Quảng cướp bóc miền ven biển, quân Thanh đuổi đánh, bọn giặc liền chạy xuống vùng Nam Hải và xin quy phục nước Nam.
北平王分赐其渠帅为统兵，使之劫掠，以扰北朝沿海。	Vua Quang Trung bèn cho bọn đầu mục của chúng đều làm chức thống binh, đồng thời lại sai chúng trở lại cướp bóc quấy nhiễu miền duyên hải của Trung Quốc.
自是商舶不通，物货腾贵。	Từ đấy các thuyền buôn bán không thể qua lại giá cả hàng hoá cao vòn vọt.
又纳四川乌匪号天理会者，清督臣畏其强而不敢诘也。	Vua Quang Trung lại dung nạp cả bọn giặc Tàu ô ở Tứ Xuyên gọi là "Thiên địa hội" ("Thiên địa hội" không phải là giặc Tàu ô, mà là một tổ chức bí mật của nhân dân Trung Quốc, nhằm lật đổ triều đình Mãn Thanh, thành lập năm 1674, lúc đầu trung tâm ở vùng Phúc Kiến, sau phát triển khắp nơi trong nước, thâm nhập cả vào các tầng lớp Hoa kiều ở ngoài nước). Tổng đốc nhà Thanh bấy giờ sợ sức mạnh của nước Nam, nên cũng không dám hỏi chi đến.
自是益以清人为易与谋，拣兵畜粮，打造海船。饬令大可载象，与文武诸臣，密有窥觎中国之志。	Qua những việc đó, vua Quang Trung càng cho người Thanh là dễ đánh, bèn tính việc kén chọn quân lính, dành dụm lương thực, đóng tàu biển thật lớn, có thể chở nổi voi, rồi cùng các quan văn võ ngấm ngầm để ý dòm ngó Trung Quốc.
正是：北境恰逢请斗野，南关准议逞雄心。	Thật là: Cõi Bắc vừa xong trường chiến đấu, Ải Nam lại nẩy dạ anh hùng.
未知底事如何，且听后回分解。	Chưa biết việc ấy ra sao? Chờ xem hồi sau phân giải.
