第十七回。	Hồi thứ mười bảy.
先是乾隆六十年乙卯，清帝禅位于皇子第十一王嘉庆即位，尊清帝为太上皇。	Trước đó, từ năm Ất Mão (1795), tức năm thứ 60 niên hiệu Càn Long, vua Thanh đã truyền ngôi cho con thứ 11, tức là vua Gia Khánh. Sau khi lên ngôi, vua Gia Khánh bèn tôn vua Càn Long làm thái thượng hoàng.
追思兄王之嘱，将诛和珅。但为太上皇宠幸，未敢出命诛他。	Bấy giờ vua Gia Khánh nghĩ lại lời dặn của anh, tức là vương thứ sáu, định giết Hoà Khôn, nhưng vì Hoà Khôn là người được thượng hoàng yêu mến, nên vẫn chưa dám hạ lệnh giết.
迨是年春太上皇崩，即命捕和珅赐死，并籍没具家。	Đến mùa xuân năm ấy, thượng hoàng mất, vua Gia Khánh liền sai bắt Hoà Khôn, ép buộc hắn phải tự tử, đồng thời tịch thu hết thảy gia tài của hắn.
和珅既诛，清帝因与侍臣谈及安南故王事，为之悼恤。仍敕召故黎诸臣居之蓝唇厂，厚加恩赐；头发衣服，听其自便。	Sau khi giết Hoà Khôn, nhân tiện bàn đến việc vua cũ của nước Nam, vua Thanh cũng tỏ vẻ thương hại, bèn vời các bề tôi của nhà Lê bị an trí trước kia, cho vào ở trong xưởng Lam thần, ban ơn rất hậu, đầu tóc, quần áo đều cho được tuỳ tiện.
嘉庆八年癸亥，皇朝嘉隆二年也。西贼既平，国朝遣使如清，具表陈情，请封。	Năm Quý Hợi (1803), năm thứ tám niên hiệu Gia Khánh nhà Thanh, tức là năm thứ hai niên hiệu Gia Long ở nước ta; lúc đó đã dẹp yên xong quân Tây Sơn, nhà Nguyễn bèn sai sứ thần sang nhà Thanh, dâng biểu trần tình và xin phong vương.
故黎诸臣闻之，即具禀阁臣，请奉故君太母两殡还葬，阁臣为之题达。	Các bề tôi cũ của nhà Lê nghe tin, liền làm tờ bẩm trình với quan nội các, xin đem linh cữu của vua cũ và thái mẫu về nước an táng. Viên quan nội các đem việc ấy tâu lên.
三年甲子，清帝降旨送故安南王还葬，并许从亡诸臣归国，官给左领员银十两，骁骑号八两；自领员以下，男妇大口人银五两，小口人银三两，各命诸省沿途资送出关。	Năm Giáp Tý (1804), vua Thanh giáng chỉ cho đưa di hài của vua Chiêu Thống về táng ở quê nhà và cho các người bề tôi trốn theo đều được về nước; lại truyền xuất tiền công cấp cho viên tá lãnh mười lạng bạc, viên kiêu kỵ tám láng, còn từ lãnh viên trở xuống thì kể cả đàn ông đàn bà, mỗi người lớn được năm lạng, mỗi người nhỏ được ba lạng; đồng thời bảo các tỉnh dọc đường phải giúp đỡ và tiễn đưa họ ra cửa ải.
以正月启故王殡，见机肉殆尽，独心苗不污，而血色隐隐鲜红。	Tháng giêng năm ấy, các bề tôi mở quan tài vua Lê Chiêu Thống thì thấy da thịt đã nát hết, chỉ có trái tim không nát, mà sắc máu hầu như vẫn còn đỏ tươi.
计自权殡至此，凡十有二年矣。	Tính từ khi quàn đến bây giờ đã mười hai năm.
见者莫不惊异嗟叹，并启太母及元子殡并曰肇文涓遗骸从。	Ai trông thấy cũng đều lấy làm lạ và than thở. Rồi đó, họ lại lượm di hài của thái hậu và con đầu của vua. Cả di hài của Viết Triệu và Văn Quyên cũng được đưa về theo.
秋八月十三日到关，皇妃闻之，即自京北就关上迎殡。	Ngày 13 tháng 8 mùa thu năm ấy, di hài vua Lê đưa về đến cửa ải. Hoàng phi là Nguyễn Thị Kim nghe tin, liền từ Kinh Bắc lên cửa ải để đón linh cữu.
自此绝粒不食，日饮糊一杯，伏侍殡侧，号泣。	Ngay từ hôm ấy, hoàng phi tuyệt thực, mỗi ngày chỉ uống một chén hồ, vật vã bên linh cữu mà khóc lóc.
九月二十三日至升龙，起祭宫于延嗣公第，皇妃又日啜甘蔗数节而已。	Ngày 23 tháng 8 di hài đưa về đến Thăng Long, các quan dựng rạp tế ở nhà Diên tự công. Hằng ngày hoàng phi chỉ nhấm vài đốt mía mà thôi.
十月十二日，众官迁棺。	Ngày 12 tháng 10, các quan thay hài cốt vua Lê sang một chiếc tiểu khác, thấy trái tim vẫn còn y nguyên.
见心苗宛然，奉奠毕，皇妃就案前泣尽哀，谓延嗣公曰：「我忍辱间关，至此十五六年。非无可死之日，第以太后、吾君及元子在此，音问不通，存没未卜，犹少待耳！	Tế xong, hoàng phi đến trước hương án khóc lóc thảm thiết và nói với Diên tự công rằng: - Ta nhẫn nhục vất vả đã mười lăm mười sáu năm trời nay, trong những ngày ấy không phải là không dám chết, chỉ vì thái hậu, vua ta, con ta vẫn ở bên Trung Quốc, âm tín không thông, còn mất không rõ, nên ta còn chờ đợi một chút.
今太后与吾君且崩，而元子亦殒落，灵驾已还故国，吾事毕矣！我当从殉，以陪侍山陵可也。」	Nay thái hậu cùng vua ta đều mất, con ta cũng chết, linh cữu đã về đến nước nhà thế là việc của ta xong rồi, ta phải chết theo để hầu bên lăng tẩm mới phải.
即饮药自尽。	Rồi đó, hoàng phi liền uống thuốc độc tự tử.
闻者莫不怃悼。	Ai nghe tin ấy cũng đều thương xót.
北使在此亦叹奖不已。	Sứ thần Trung Hoa bấy giờ đang ở đấy cũng than thở, ngợi khen mãi.
十三日，再具皇妃衿敛棺椁。二十八日下船，同归清化。	Ngày 13, các quan lại sắm quan khách khâm liệm cho haòng phi, rồi ngày 28 cùng rước xuống thuyền đưa về trấn Thanh Hóa.
十有一月二十四日，奉宁葬故君太母及皇妃元子附于显宗盘石山侧，曰肇、文涓两棺从葬焉。	Ngày 24 tháng 11, các quan làm lễ an táng vua Lê, thái hậu, hoàng phi, con vua ở cạnh lăng vua Hiển tông, trên núi Bàn Thạch (thuộc huyện Thọ Xuân, Thanh Hoá). Hai quan tài của Nguyễn Viết Triệu, Nguyễn Văn Quyên cũng táng theo ở gần đó.
先是回至南关，维康拜别殡所，便从谅山道去。	Trước đây, khi di hài vua Lê đưa về đến ải Nam Quan, Duy Khang bái biệt trước linh cữu rồi đi về nẻo Lạng Sơn.
故京北镇守黎忻，还至清化病卒。	Còn viên trấn thủ cũ của xứ Kinh Bắc là Lê Hân về đến Thanh Hoá thì bị bệnh chết.
其妻北人，奉丧还乂安南塘嫩湖乡贯，求夫族安葬，不复北归；取族子为嗣，守节终身，年八十寿终。	Vợ Hân là người Trung Quốc đưa quan tài chồng về tại quê chồng ở làng Nộn Hồ (tục gọi là làng Non Hồ), huyện Nam Đường, trấn Nghệ An, tìm họ hàng nhà chồng để làm lễ an táng. Rồi nàng ở lại, không về Trung Quốc; lấy người cháu trong họ chồng làm con kế tự giữ tiết trọn đời, đến 80 tuổi mới mất.
其从亡诸臣各回家贯。	Các bề tôi theo vua Lê lúc đó đều về quê quán.
惟郑宪蒙得录用。还乡后，以财色故，为仇家所杀。	Chỉ có Trịnh Hiến lại ra làm quan với nhà Nguyễn; rồi sau về làng, vì việc tài sắc bị kẻ thù giết chết.
自皇妃殉葬后，通国及清人皆以节义目之。	Sau khi hoàng phi đã chết theo vua Lê, người khắp cả nước ta và người Trung Quốc đều khen là bậc tiết nghĩa.
于是北城总镇诚郡公具题达，钦奉褒奖，命于京北良才琵琶乡贯为之立祠。准给田祭，并复其民，以供香火祀事及竖碑敕文，以示旌表云。	Tổng trấn Bắc Thành là Thành quận công (tức Nguyễn Văn Thành) đem việc ấy đề đạt lên. Vua Gia Long bèn hạ chỉ ban khen, sai lập đền ở quê hoàng phi, là xã Tỳ Bà thuộc huyện Lang Tài để thờ; cấp ruộng tế và tha thuế khoá cho dân làng ấy để dùng vào việc đèn nhang thờ cúng: lại sai dựng bia khắc chữ để nêu gương tiết hạnh.
