第十一回。	Hồi thứ mười một.
那文纪顺化人，素有文学，为南河名士。	Kỷ người Thuận Hoá, vốn có văn học, là bậc danh sĩ ở Nam Hà.
景兴丁酉省试解元，戊戍来京会试，本国土夫他亦有接识。	Năm Đinh dậu (1777) niên hiệu Cảnh Hưng, Kỷ thi ở trấn đậu giải nguyên. Năm Mậu tuất (1778), Kỷ tới kinh thi hội, sĩ phu ở Bắc Hà, Kỷ có giao thiệp quen biết ít nhiều.
丙午，北平王据富春城，使人求纪，访以南北事。	Năm Bính ngọ (1786), Bắc bình vương đánh lấy thành Phú Xuân, sai người tìm Kỷ hỏi việc Nam, Bắc.
纪应答如响，与北平王合。王甚器之，置诸帷帐，每事必与之谋，不离左右。	Kỷ đối đáp rất nhanh và rất hợp ý, nên Bắc bình vương rất trọng, cho ở vào chỗ "màn trướng" (nơi ở của bậc tướng soái), việc gì cũng bàn với Kỷ, lúc nào cũng gần bên Kỷ, không mấy khi xa rời.
至是吴任来见纪，具言与约抵牾之状，「恐为所陷，以是不敢复来，非敢逃也，幸为解救。」	Lúc ấy Ngô Thì Nhậm tới gặp Kỷ, nói rõ tình trạng mình xúc phạm tới Ước, sợ bị hãm hại nên không dám đến, chứ không phải dám trốn tránh, rồi nhờ Kỷ giải cứu cho.
纪曰：「闻公奇才，不幸负谤出亡，五六年余，蓄积愈粹。	Kỷ nói: - Nghe ông là bậc kỳ tài, không may bị tiếng gièm pha, trốn tránh hơn năm sáu năm, sự tích luỹ càng thêm tinh tuý.
今为世用，直惟其辰，忝曾以名闻于主公，称其才可大用，幸今主上垂情爱惜。今忝求公，无以约为也。」	Nay ra ứng dụng với đời, chính là hợp thời. Tôi đã đem tên ông trình với chúa thượng khen tài ông có thể dùng làm việc lớn. May mắn nay được chúa thượng rủ lòng yêu mến, đã sai tôi tìm ông, vậy không phải cần gì đến ông Ước!
即引吴任入见北平王：「卿昨不为郑王所容，只身去国，我不至此，安得复见天日？	Tức thì Kỷ đưa Nhậm vào yết kiến Bắc bình vương. Bắc bình vương nói: -Ngày trước, ngươi vì chúa Trịnh không dung, một mình bỏ nước mà đi. Nếu ta không đến đây, ngươi làm sao được thấy bóng mặt trời?
或者天意储才，以为我用，卿宜勉力以图报效可也！」	Có nhẽ đó là ý trời muốn để dành người tài cho ta dùng. Vậy ngươi hãy cố gắng mà lo việc báo đáp, thế là được.
吴任顿首谢。	Ngô Thì Nhậm rập đầu tạ ơn.
北平王顾谓纪曰：「此我再造人也！」当即草制拜为吏部左侍郎，爵晴派侯，命同与文约管领黎朝文武班属。	Bắc bình vương ngoảnh lại bảo Kỷ: - Đây là người do ta gây dựng lại, nên thảo ngay tờ chế phong làm chức tả thị lang bộ Lại, tước Tình phái hầu, cùng với Văn Ước coi tất cả các quan văn võ của nhà Lê.
翌日百官陆续而至，引拜于正中殿。	Hôm sau các quan lục tục kéo đến, lễ quan đưa vào lạy ở điện Chính trung.
北平王悉命升堂，谓曰：「黎嗣皇我所立也。但其为人暗弱，不克负荷。	Bắc bình vương đòi hết lên sảnh đường mà bảo: - Vua Lê do ta lập lên, nhưng là người tối tăm nhu nhược, không thể gánh nổi công việc.
我南还后，遂为阮整所左右，自取败亡，我不取之，终亦为人所取。	Sau khi ta về Nam, liền bị Nguyễn Hữu Chỉnh sai khiến tự rước lấy bại vong, đất nước này dù ta không lấy thì cũng bị người khác lấy mất.
今以崇让公监国，卿等勉留辅之，我实不以北河为利，将复南归。	Nay ta để Sùng nhượng công làm giám quốc, các ngươi hãy cố gắng ở lại giúp đỡ ông ta. Ta thật không muốn lấy Bắc Hà để kiếm lợi, nay mai lại sắp về Nam.
又恐皇嗣与监国相争，是我阶之为乱，故留大司马楚以主兵事，俟四封略定，郎君还耳！」	Nhưng vì sợ tự hoàng tranh giành cùng giám quốc, thành ra ta làm ơn mà lại hoá ra gây loạn cho họ, nên ta phải để viên đại tư mã là Ngô Văn Sở ở lại trông nom việc binh, chờ khi bốn cõi tạm yên, ta sẽ gọi về.
百官拜辞而出，私相语曰：「北平王姑以甘言驾驭，其心非真；文楚拥兵在此，崇让安得有国？	Trăm quan từ giã lui ra, rồi nói riêng với nhau: - Bắc bình vương tạm dùng lời nói ngọt để giá ngự chúng ta, chứ không phải thật bụng. Văn Sở cầm quân ở đây, thì Sùng nhượng công làm gì mà có nước?
动辄掣肘，又何能为？	Hễ cử động gì liền bị họ nắm lấy cánh tay, ông ấy còn làm được chi?
啻之桑寄生焉，附别木之枝条，无着地之根柢，其能久哉？	Ví như cây tầm gửi, bám vào cành cây khác, rễ không bén đất, sống lâu dài làm sao được?
我辈孰能从君以图兴复，否则洁身远遁，毋徒被人卖弄，以自取祸也。」	Chúng ta, người nào có thể đi theo vua lo việc khôi phục thì đi đi, nếu không thì nên ẩn xa cho sạch mình, chớ để cho người ta lừa phỉnh mà rước lấy vạ.
祟让公亦知其然，叹曰：「今我名为监国，实则祠丁。	Sùng nhượng công cũng biết như thế, nên đã phải than rằng: - Ta nay tiếng là làm giám quốc, thật ra chỉ là một ông từ giữ đền.
庙社在此，去则安之，是以甘心而无悔也。」	Nhưng vì miếu xã ở cả đây, bỏ đi thì đi đâu? Thôi thì cũng đành cam lòng như thế, không hối hận gì nữa vậy!
越数日，北平王引众南归，选取文臣潘辉益、阮世历、宁逊、阮伯澜等五六人同署官爵；益为刑部左侍；即瑞岩侯与辰任同挟南游；历、逊、瑜、澜并拜翰林直学士，留随大司马楚居北。	Qua vài ngày, Bắc bình vương dẫn quân về Nam. Trước khi lên đường, vương chọn năm sáu viên văn thần là bọn Phan Huy Ích, Nguyễn Thế Lịch, Ninh Tốn, Nguyễn Bá Lan..., phong cho quan tước: Ích làm chức tả thị lang bộ Hộ, tước Thuỵ nham hầu, được đưa về Nam (bản chữ Hán chép cả Ngô Thì Nhậm cũng được đưa về Nam; đó là chép lầm). Còn bọn Lịch, Tốn, Lan..., thì đều được phong chức hàn lâm trực học sĩ, theo đại tư mã Sở ở lại đất Bắc.
阮俒、潘维藩并已投闲，仍职爵礼部给许文凭，听归田里。	Nguyễn Hoàn và Phan Lê Phiên đều xin về dưỡng nhàn, nhưng vẫn được Bắc bình vương cho giữ nguyên chức tước, và sai bộ Lễ cấp phát giấy tờ cho họ trở về làng xóm.
参从裴辉璧、佥都阮辉濯各已来京，不肯引拜。	Tham tụng là Bùi Huy Bích, thiêm đô là Nguyễn Huy Trạc đều có đến kinh, nhưng không chịu cho dẫn vào lạy chào.
璧复宵遁，濯自尽于御史台。	Rồi đang đêm Bích trốn, còn Trạc thì tự tử ở đài Ngự sử.
其隐遁不出者：副都御史阮廷简，参加政事黎维亶、范廷玙，同枢密院事阮惟洽、范仲烜，添差工番范贵适，都给事中阮廷赐七人而已。	Những người trốn tránh không chịu ra thì có phó đô ngự sử Nguyễn Đình Giản, tham tri chính sự Lê Duy Đản, Phạm Đình Dư, đồng xu mật viện Nguyễn Duy Hạp, Phạm Trọng Huyến, thiêm sai công phiên Phạm Quí Thích, đô cấp sự trung Nguyễn Đình Tứ, tất cả chỉ có bảy người mà thôi (theo Cương mục, thì số người này gồm tám viên, mà có một số tên khác hẳn đây).
却说帝又自良才移驾至灵，诸臣知帝所在，多往从之。	Lại nói, bấy giờ vua Lê đang ở huyện Lang Tài, lại dời đến huyện Chí Linh. Các quan biết chỗ vua ở, nhiều người đến theo.
黎班自峡山将义勇百人来谒，帝见之甚欢，拜御营使锺岳侯。	Lê Ban ở Giáp Sơn (cũng gọi Hiệp Sơn, nay là đất huyện Kinh Môn, Hải Dương (Hải Hưng)) đem một trăm người nghĩa dũng đến yết kiến. Vua mừng lắm, phong cho làm chức ngự doanh sứ, tước trung nhạc hầu.
班密告于帝曰：「臣向归乂安，见人情愤激，深疾西山如仇，多聚山林，共谋起义。	Ban nói kín với vua rằng: - Trước đây, thần về Nghệ An, thấy nhân tình rất là căm phẫn, ghét Tây Sơn như cừu thù, nhiều người đã nhóm họp ở rừng núi để cùng lo việc khởi nghĩa.
诸县父老，闻臣从北还，次第就问乘舆所，欲使其子弟从之，臣因与之俱。	Các bậc phụ lão nghe tin thần ở Bắc vào, đều lần lượt đến hỏi nhà vua ở đâu, muốn cho con em đi theo. Nhân thể, thần mới cùng đi với họ.
途经海门，辄以义告谕，皆愿以船艘过海，约会于荆门洋面。	Dọc đường qua cửa biển, thần lấy điều nghĩa khuyên dụ, nhiều người xin đem thuyền qua biển, hẹn nhau họp ở ngoài khơi phủ Kinh Môn (địa bàn phủ Kinh Môn (Hải Dương) đời Lê rất rộng, gồm cả một số huyện của Quảng Yên và Kiến An hiện nay).
臣近得报，称见船七十余艘，水手三百余人，器甲糇粮具足，不日且至。	Gần đây, thần được tin báo rằng: hiện có chừng hơn bảy chục chiếc thuyền và hơn ba trăm thuỷ thủ, khí giới lương thực đầy đủ, ít hôm nữa sẽ đến.
臣请移驾峡山，诏陈光珠率本道兵扈跸，步兵珠统之，水道臣请自当，二军相为表里，先复海阳以为伫驾之所，北控慈顺，南通太建。	Vậy xin xa giá ngự ra Giáp Sơn, hạ chiếu cho Trần Quang Châu đem quân bản bộ hộ vệ. Quân bộ do Châu thống lĩnh; mặt thuỷ thần xin đảm đương. Hai cánh quân nương tựa lẫn nhau.
由广安一路，可以直抵高平，连至谅山，中兴之机，无出于此。」	Trước hãy khôi phục trấn Hải Dương để làm nơi xa giá tạm nghỉ. Trấn ấy phía bắc có thể khống chế các huyện Từ Sơn, Thuận Thành; phía nam thông với các phủ Thái Bình, Kiến Xương, theo đường Yên Quảng có thể đến thẳng Cao Bằng, và kéo luôn sang vùng Lạng Sơn. Cơ trung hưng không còn cách nào khác nữa.
帝从之，诏以珠为京北道督战。	Vua Lê nghe theo, bèn hạ chiếu cho Châu làm chức đốc chiến ở đạo Kinh Bắc.
师未及进，会有锡壤自海阳表请从军，众闻之，相喧然曰：「壤无状的汉，以其义耶！	Quân chưa kịp tiến, thì vừa gặp lúc Đinh Tích Nhưỡng ở Hải Dương dâng tờ biểu xin theo đi đánh trận. Mọi người nghe tin, nói nhao lên rằng: "Nhưỡng là một thằng chẳng ra làm sao. Bảo là có nghĩa ư?
彼谋挟王家以抗命，始扶端郡公，又从晏都王。	Trước đây hắn đã toan giúp nhà chúa để chống lại mệnh lệnh nhà vua, lúc đầu phò quận Thuỵ, sau lại theo chúa án đô.
端郡不成，晏都又败，彼皆不顾而去，不义莫大焉。	Đến khi quận Thuỵ làm không nên việc và án đô bị thất bại, hắn đều bỏ đi không nhìn.
以其才耶！	Bất nghĩa đến thế là cùng!
彼两次提军拒贼，一败于金洞，一败于梧桐，仅以身免，不死特幸耳！	Bảo là có tài ư? Chính hắn đã hai lần cầm quân chống giặc, thì một lần thua ở Kim Động, một lần thua ở Ngô Đồng, chỉ chạy thoát được cái thân, không chết là may đấy thôi!
看他一生全无气义，又乏战才，徒以将门子，惯挟势气以虐人。	Xem một đời hắn, toàn không có nghĩa khí, lại không có tài chiến đấu, chỉ cậy thế con nhà tướng, quen dùng khí thế đè nén người ta.
初归海阳，纵其部曲暴掠本州岛，人皆以枭獍目之，呼曰贼壤。	Khi hắn mới về Hải Dương, thả bộ hạ cướp bóc trong xứ. Người ta coi hắn là giống diều quạ gian giảo và gọi là giặc Nhưỡng.
诸县豪目，相移书数其罪恶，会于锦江之来格，期以旦日，攻破邯江。	Hào mục các huyện đã viết thư cho nhau kể tội các của hắn. Họ đã họp nhau trong làng Lai Cách, huyện Cẩm Giàng, hẹn nhau đến đánh phá Hàm Giang. Nhưỡng phải lui quân về huyện Bình Giang.
壤敛众退去平均；又乘夜直逼来格，贪杀无算，僵尸蔽野。	Rồi nhân lúc ban đêm, kéo đến làng Lai Cách, giết hại không biết bao nhiêu người mà kể, đến nỗi thây nằm ngổn ngang đầy đồng.
其残忍一至于此，海阳之人与之为仇。	Sự tàn nhẫn của hắn như vậy, nên người Hải Dương ai cũng coi hắn là kẻ thù.
纳壤非徒无益，必失海阳之人心，非计之得也。」	Nay dung nạp hắn, chẳng những vô ích mà còn mất lòng nhân dân Hải Dương; thật là thất sách!".
帝亦素闻壤不为众所容，阴书求降于西山，疑不之许。	Vua Lê cũng từng nghe tin: Nhưỡng bị mọi người không dùng đã ngấm ngầm đưa thư xin hàng Tây Sơn, nên lúc này cũng nghi ngờ không cho Nhưỡng theo đi đánh.
海阳豪目，闻帝东幸，各奉表力请攻壤。	Các hào mục ở trấn Hải Dương nghe tin vua sang xứ đông, đều dâng tờ biểu, quyết xin đánh Nhưỡng.
于是壤大窘，计无祈出，忿然曰：「帝不怜我，我何有于帝！」	Vì thế, Nhưỡng bối rối quá, tính không còn chỗ nào để dung thân liền phát cáu mà nói rằng: - Vua đã không thương ta, ta còn cần gì vị nể vua?
乃使其党陈莲如升龙，密告帝所，请文楚遣兵捕之。	Rồi Nhưỡng sai tên đồ đảng của y là Trần Liên đến Thăng Long ngấm ngầm tố cáo chỗ vua ở, và xin Văn Sở sai quân đi bắt.
莲初闻帝潜寓民家，从者仅六七人，具以告楚。	Ban đầu, Liên nghe tin vua lén lút ở trong nhà dân, chỉ có sáu bảy người theo, bèn báo cho Sở biết.
楚询其详，莲具画来路与所居处，曰：「啻如入寺缚僧，牵之以去耳。」	Sở hỏi cặn kẽ, Liên vẽ rõ đường đi cùng chỗ ở của vua, rồi nói: - Ví như vào chùa trói một lão trọc lôi đi mà thôi!
楚笑曰：「果若汝言，何不牵来与我？复请兵为。」	Sở cười mà rằng: - Nếu quả như lời ngươi nói, sao ngươi không lôi cổ đến đây cho ta, còn xin quân làm gì?
莲曰：「牵之但一卒力耳！但臣等实畏名义，不敢施之。	Liên đáp: - Lôi ông ta đi chẳng qua chỉ một tên lính cũng đủ, nhưng chúng tôi còn sợ danh nghĩa, nên không dám làm.
此固易事而难于对国人，愿察其情。」	Việc ấy cố nhiên là việc dễ, nhưng lại khó đối với người trong nước, xin ngài xét cho chỗ đó!
楚信之，遣兵百人与莲偕往，然不知珠、班二人已在帝所矣。	Sở tin là thật, liền sai một trăm tên lính cùng đi với Liên. Không ngờ lúc ấy, Trần Quang Châu và Lê Ban đã đến chỗ vua ở, và quân lính bảo vệ cũng không ít.
兵卫不少，夜报西山兵峡山而至，珠、班分二道夹击，尽歼之。	Đêm ấy nghe báo quân Tây Sơn vượt núi mà đến, hai người bèn chia hai đường đánh dồn lại, và giết chết sạch.
莲走入匿谷中得脱，报还升龙；楚即大发兵追帝。	Liên chạy trốn vào hang núi được thoát, rồi chạy về Thăng Long báo tin. Văn Sở lập tức cho một đạo quân lớn đi đuổi vua Lê (theo Cương mục, thì Đinh Tích Nhưỡng đã đến vây đánh vua Lê hơn một tháng. Sau có hai người ở Hải Dương là Trần Đĩnh và Hoàng Xuân Tú đến cứu vua, chém giết hai người em của Nhưỡng. Nhưỡng mới phải bỏ chạy).
帝始至峡山，勤王之师尚未毕集，忽闻贼兵将至，壤为乡导，多言壤与贼通，则海阳不可驻矣。	Vua mới đến Giáp Sơn, các đạo quân cần vương còn chưa nhóm họp được hết. Chợt nghe tin quân địch sắp đến, Nhưỡng làm hướng đạo. Mọi người đều run sợ nói nhao nhao lên rằng: "Nhưỡng mà thông đồng với giặc thì Hải Dương không thể ở được".
珠请复还至灵，班请速幸广安，众议纷纭未决。	Châu xin vua lại về huyện Chí Linh. Ban thì xin vua đi Yên Quảng.
适登揆与其子登授以海船自建昌来谒，因言：「至灵山间崎岖径出，嘉平又是平原旷野，我军少力弱，战守皆不便；广安与海阳夹江岐海港，是壤出入门户，彼心既二，此非善地可居；山南土沃民稠，丁壮可以练兵，粟米可以调粮，江流如蛛网然，乘一叶舟，去此适彼，谁得而踪迹之？	Mọi người đang bàn bạc phân vân chưa quyết, thì vừa lúc Trương Đăng Quĩ và người con là Trương Đăng Thụ cưỡi chiếc thuyền biển từ phủ Kiến Xương đến yết kiến vua. Thấy thế, Quĩ bèn nói: - Chí Linh là nơi đồi núi gập ghềnh, tắt ngang sang Gia Bình thì lại là đồng ruộng mênh mông. Ta quân ít sức hèn, đánh hay giữ đều không tiện. Còn Yên Quảng thì lại giáp với Hải Dương, đường sông, vũng biển, đều là cửa ngõ ra vào của Nhưỡng. Hắn đã ăn ở hai lòng, thì đó cũng không phải chỗ yên lành có thể trú ngụ. Trấn Sơn Nam đất tốt dân đông, đinh tráng có thể luyện làm quân lính, thóc gạo có thể trưng làm lương thực, sông ngòi chằng chịt như mạng nhện, cưỡi một chiếc thuyền, bỏ chỗ nọ đến chỗ kia, chẳng ai còn biết lối nào mà tìm.
陛下方潜龙衣，无踰此地为稳。」	Bệ hạ đang lúc như con rồng ẩn bóng, không đâu yên ổn bằng đấy.
帝从揆言，遂决计南幸。	Vua theo lời Quĩ, bèn quyết ý dời về phía nam.
珠、班言皆不听，帝慰劳之，令珠引兵北还，班以海船退归汴山，以待征发。	Còn lời bàn của Châu và Ban thì vua đều không nghe. Rồi đó, vua yên uỷ hai người, sai Châu dẫn quân về Bắc, Ban thì đem thuyền biển lui về Biện Sơn (núi Biện Sơn ở vùng biển huyện Tĩnh Gia, Thanh Hoá), chờ lệnh trưng phát.
由是勤王四散，而乘舆南矣。	Thế là quân cần vương tan tác đi ra bốn phía, còn vua thì đi về phía nam.
帝既南迎，驻跸于真定，以登揆第宅为行在。	Lúc tới nơi, vua đóng ở huyện Chân Định, dùng nhà Đăng Quĩ làm nơi hành tại.
揆引其子弟族人拜见，帝悉授以官爵，令分行县邑，招募义勇，远近莫不回应，咸愿会兵勤王，约日并至，船以千计，兵至数万。	Quĩ đưa con em và người trong họ tới lạy chào, vua đều ban cho quan tước, sai họ chia nhau đi các làng, các huyện chiêu mộ quân nghĩa dũng. Xa gần nô nức hưởng ứng, đều xin họp quân cần vương, hẹn ngày cùng đến, thuyền bè kể có hàng nghìn, quân lính có tới vài vạn.
诸豪目进见，帝亲自慰劳，使登揆分为五道，道置统兵、督战、参军、督饷各一员，东成奇队，以待调发。	Các tay hào mục đều đến, vua tự mình ra yên uỷ họ. Rồi sai Đăng Quĩ chia quân làm năm đạo, trong từng đạo lại đặt ra các chức thống lệnh, đốc chiến, tham quân, đốc hướng mỗi chức một viên, lập thành cơ đội, chờ ngày xuất phát.
内翰黎春洽谓授曰：「军旅大事不可轻率！	Viên nội hàn là Lê Xuân Hạp bảo Đăng Thụ rằng: - Quân lữ là việc lớn, không thể khinh suất.
宜先点兵数，拣强壮以充战士，五十人为一队，五队为奇，五奇为道。	Trước hết nên điểm số quân, kén lấy người cường tráng sung làm chiến sĩ, cứ năm chục người làm một đội, năm đội làm một cơ, năm cơ làm một đạo, do viên thống đạo đốc suất.
统道者率之，余者以备转漕给使令。毋容混杂不精，虚张其数。	Những người còn lại thì để dùng vào việc chuyên chở và sai khiến, chớ để quân lính không tinh nhuệ lẫn lộn vào, tiếng là có số mà vô dụng.
今宜详刻名册，引见拜命，赐以兵符，授之师律。	Nay nên kê rõ danh sách, dẫn vào bái mạng, để nhà vua ban cho binh phù, trao cho quân luật.
统道受命于朝，奇队受节度于统道；用命者重赏，不用命者有显戮。	Viên thống đạo vâng mệnh lệnh triều đình; các cơ đội thì chịu sự tiết chế của viên thống đạo. Người nào tuân theo mệnh lệnh thì có trọng thưởng; người nào không nghe mệnh lệnh thì bị tội chém.
使之有勇知方，而后可以即戎，兵凶战危，非徒为儿戏也。」	Sao cho quân lính đều hăng hái và biết khuôn phép, sau đó mới có thể đưa ra trận mạc. Binh là việc dữ, chiến là việc nguy, không phải là trò trẻ con.
授曰：「今日正急收买人心，事事姑从简易，未可律之以法。」	Thụ nói: - Ngày nay chính là lúc đang cần gấp rút thu phục lòng người, mọi việc hãy tạm giản dị, chưa thể buộc ngay họ vào khuôn phép được!
洽曰：「收得许多人而用之不得，只恐见敌便走，更相践踏，虽多亦奚以为？	Hạp nói: - Thu nạp được nhiều người mà dùng không được chỉ sợ họ thấy giặc là chạy, rồi lại còn giày xéo lẫn nhau nữa, thì dù nhiều cũng chẳng làm gì.
何不思阁老大臣，力赞南幸，公为之子，受命主兵，万一蹉跌，谁之罪也？」	Sao không nghĩ đến việc cụ lớn đại thần nhà ta đã cố sức khuyên nhà vua qua sứ Sơn Nam, ông là con ngài, vâng mệnh cầm quân, vạn nhất mà bị vấp ngã, tội ấy tại ai?
授不从，但呼其豪目，口分派之，而实无载籍可考。	Thụ không nghe, chỉ gọi các hào mục đến mà phân phái bằng miệng, tuyệt nhiên không có sổ sách gì để có thể tra cứu.
迨至差派，茫不能辨。至遍走而问之，无复纪律，揆亦不之知也。	Bởi vậy, đến khi có việc cần sai khiến, Thụ đều lờ mờ không biết đâu mà lần, đến nỗi phải chạy đi hỏi lăng xăng khắp nơi, trong quân ngũ chẳng còn có kỷ luật gì nữa.
呼授问以军事，授曰：「今已齐集，军数甚多，人皆勇于赴敌，原得一战以报效。」	Quĩ cũng không biết, gọi Thụ hỏi về việc quân thì Thụ thưa: - Các đạo nay đã tề tựu, quân số rất nhiều, ai cũng hăng hái đánh giặc. Xin đánh một trận để lập công!
揆以为然，奏请择日出师。	Quĩ cho là phải, tâu xin chọn ngày xuất quân.
帝难之曰：「吾闻善战者，必先虑败而后可以胜人。	Vua có ý ngần ngại mà rằng: - Ta nghe những người giỏi về chiến trận, trước hết phải lo đến việc thua, rồi sau mới thắng được người.
今看之，船尽钓艇渔舡，兵皆市人乌合，以此众战，能保其不败否？	Nay ta xem thuyền bè thì đều là thuyền câu, thuyền chài, quân lính thì đều là những kẻ chợ búa ô hợp, dùng quân ấy mà đánh, có chắc là không bị thua chăng?
重念丧亡之余，与一二臣图惟再造，朕纵不能复社稷，亦须死社稷，誓与敌战，岂惮出师？	Nghĩ đến cái cảnh sau lúc trốn chạy, cùng một và người bề tôi lo việc dựng lại cơ nghiệp, thì trẫm dù không thể khôi phục được xă tắc cũng quyết chết với xã tắc, thề đánh nhau với giặc đến cùng, chớ có sợ gì xuất quân?
但启动出万全，庶无轻骤以取丧败之侮也。」	Nhưng trẫm muốn làm việc gì cũng phải tính kế vạn toàn, ngõ hầu khỏi mang tiếng là vì khinh suất, vội vàng mà chuốc lấy vạ bại vong.
揆顾谓授曰：「圣谕如此，何如？」	Quĩ ngoảnh lại bảo Thụ: - Thánh thượng bảo như vậy, con nghĩ thế nào?
授曰：「今日所恃人心而已。	Thụ nói: - Ngày nay, điều mà mình trông cậy, ấy là lòng người.
人皆仰慕圣德，与敌为仇，伏愿大举一战而尽歼之。	Mọi người ai cũng kính mến ơn đức của thánh thượng, căm thù với giặc, nguyện xin đánh một trận lớn, giết cho hết giặc.
有此人心，何攻不破？	Lòng người như thế, đánh đâu không tan?
制挺可以挞楚，揭竿可以亡秦。	Đẽo cây gậy có thể quật ngã được nước Sở, dựng ngọn tre có thể làm mất nhà Tần (trong sách Mạnh tử, lời Mạnh tử nói với Lương Huệ vương có câu: Chế đình khả dĩ thát Tần, Sở chi kiên giáp lợi binh, nghĩa là đẽo cây gậy có thể đánh bạt giáp bền gươm sắc của quân Tần, Sở.
矧此军船，岂不足以毙敌人？	Theo Bắc sử, cuối đời Tần, Trần Thắng và Ngô Quảng khởi binh, chỉ dùng cây cối làm gươm dáo, dựng ngọn tre lên làm cờ mà đánh bại quân Tần); huống chi số quân này và số thuyền này, há không đủ giết chết quân giặc hay sao?
必欲要步伐素闲，搂橹悉具，则前此硕郡、壤郡百战之将，统领水步诸营，又皆精锐骁勇之士，何亦不能成功而至于溃败耶！	Nếu cứ muốn quân lính quen thạo trận mạc, thuyền bè phải đủ lầu gác, thì trước đây quận Thạc, quận Nhưỡng đều là những viên tướng trải qua trăm trận, lính thuỷ bộ các doanh mà họ thống lĩnh đều là quân tinh nhuệ, hùng dũng, sao cũng không thể thành công mà lại phải tan vỡ?
臣请开船溯流而上，与贼决战，六龙临江，士气百倍，不过五日可复神京，此机不可失也。」	Vậy thần xin thả thuyền ngược dòng mà lên, quyết chiến với giặc. Xe nhà vua tới sông, quân sĩ hăng lên gấp trăm, chẳng qua năm ngày, có thể lấy lại kinh thành. Cơ hội này không nên bỏ lỡ!
会曰：「选以舟师来迎驾。」	Vừa lúc ấy Nguyễn Viết Tuyển đưa binh thuyền đến đón vua.
登揆因劝帝出师。	Nhân thế, Đăng Quĩ khuyên nhà vua cho xuất quân.
初，选以有整同县人，为整部将，与之浮海投西，出危入险，不离左右。	Nguyên trước, Tuyển là người cùng huyện với Hữu Chỉnh, làm bộ tướng của Chỉnh, cùng với Chỉnh vượt biển vào với Tây Sơn, xông pha những nơi nguy hiểm, không hề rời bên cạnh Chỉnh.
及整归国，既得志，荐选于帝，言其才可当一面。	Đến lúc Chỉnh về nước và đắc chí, liền tiến Tuyển với vua, nói là tài Tuyển có thể đương nổi một mặt.
诏以为山南镇守，领步兵五千，战船七十艘。	Vua bèn hạ chiếu cho Tuyển làm trấn thủ trấn Sơn Nam, thống lĩnh năm ngàn lính bộ và bảy chục chiến thuyền.
选善水战，整与西山有隙，恐文任乘虚从海道来，故令选设水军屯于海口大黄江，巡哨海外以侦贼。	Tuyển giỏi về thuỷ chiến, nên khi Chỉnh có hiềm khích với Tây Sơn, sợ Văn Nhậm lợi dụng lúc sơ hở mà đi đường biển đến, Chỉnh bèn sai Tuyển đóng đồn ở cửa biển Đại Hoàng, đem quân đi tuần ngoài biển để dò la tin địch.
及京师溃，整奉帝走北京，选不得闻。	Đến lúc kinh sư tan vỡ, Chỉnh đưa vua chạy sang Kinh Bắc, Tuyển không được biết.
后报至，始自海面仓皇归镇，谋割据以与贼抗。	Sau đó tin báo đến nơi, Tuyển mới lật đật ở biển rút về trấn, mưu đóng giữ đất ấy để chống với địch.
文任攻之不下，及文楚代任，敬招降之，使人往乂安，收选父妻还升龙，令选妻持父书以谕选，且曰：「若不速降，必杀其父。」	Văn Nhậm đã có lần đánh Tuyển, nhưng không hạ được. Đến khi Văn Sở lên thay Nhậm, muốn dỗ Tuyển về hàng, bèn sai người vào Nghệ An, bắt cha và vợ Tuyển ra Thăng Long. Rồi sai vợ Tuyển cầm thư cha Tuyển viết để dụ Tuyển, đồng thời lại đưa tin rằng: "Nếu Tuyển không mau mau đầu hàng, thì sẽ giết cha!".
选见父书泣曰：「人生有三：帝，吾君也；鹏公，吾师也；父命不敢不从。吾师之雠不可不报。	Tuyển lấy thư của cha, khóc và nói: - Đời người có ba đấng bề trên thì hoàng thượng là vua ta, Bằng công là thầy ta; mệnh cha không dám không theo, nhưng thù của vua và thầy không thể không trả.
使降而得奉父以终养，复我邦族，为真福农夫以没世。得此失彼，吾亦甘心。	Giả sử đầu hàng mà được trọn đạo nuôi cha, trở về quê hương họ hàng làm người nông dân huyện Chân Phúc cho hết đời, thì dù được đằng nọ mất đằng kia, ta cũng cam lòng.
但恐落于毒手，并为所害，忠孝俱亏，遗笑千古，为天下之至愚，最是不可也。」	Song chỉ sợ bị lừa dối, rơi vào tay quân độc ác, cả mình ta cũng bị nó giết hại, thì trung hiếu đều hỏng, để tiếng cười cho ngàn đời, làm kẻ ngu dại trong thiên hạ, như thế rất là không nên.
因嘱其妻以谢父。	Rồi đó, Tuyển dặn vợ trở về từ tạ với cha.
选父得报，知其无救己之意，仰天叹曰：「不能求活于子，何用丐生于人？	Cha Tuyển được tin, biết Tuyển không có ý cứu mình, bèn ngửa mặt lên trời mà than rằng: - Đã không có thể cầu sống với con thì còn xin sống với người khác làm gì?
果能为王陵，其母死亦不惜。	Giả sử nó làm được như Vương Lăng (đời Hán, Vương Lăng là một tướng giỏi của Hán Cao tổ; khi Sở Hạng Vũ đánh nhau với Hán, bắt mẹ Vương Lăng, rồi buộc phải viết thư dụ con về hàng, nhưng bà không chịu, tự ấn cổ vào mũi gươm mà chết để cho con một lòng phò Hán), thì dù có chết như bà mẹ Lăng, ta cũng không hối tiếc.
