第六回。	Hồi thứ sáu.
又因说及平婚娶事，谓整曰：「七郎来卿媒得佳妇，偏我独无？」	Rồi nhân nói đến chuyện hôn nhân của Bình, vua Tây Sơn bảo Chỉnh: - Chú hai ra đây, được ngươi làm mối cho cô vợ đẹp; riêng ta lại không ư?
整曰：「恐圣上陋北河女耳！	Chỉnh thưa: - Chỉ sợ thánh thượng chê gái Bắc Hà quê mùa mà thôi.
若圣上包荒，定不难事。」	Nếu như thánh thượng rộng lượng bao dong, thì sự đó cũng chẳng phải là khó!
西山主笑曰：「然则卿尚债我，须早偿之。」	Vua Tây Sơn cười mà rằng: - Thế thì ngươi còn nợ ta đấy, phải trả mau đi nhé!
整见其辞意闲暇，由是放心，乃辞西山主而退。	Chỉnh thấy lời lẽ của vua Tây Sơn có vẻ ung dung thong thả, do đó cũng yên lòng, bèn xin lui về.
十七日西山主密令水步诸军，各各暗行装束，平恐整在外见形生疑，召整入侍，从旦至昏，外从不得入，外信不得通，整茫然无知，入漏始放出，及整回家，人或以语整，整且疑且信，曰：「吾终日对语闲暇，怎有如此狼狈？」	Ngày 17 tháng ấy, vua Tây Sơn bí mật hạ lệnh cho tất cả các quân thuỷ, bộ đều phải sửa soạn hành trang nai nịt gọn gàng. Rồi sợ Chỉnh ở ngoài thấy rõ tình hình sinh nghi, vua Tây Sơn bèn cho đòi Chỉnh vào hầu, giữ chân Chỉnh từ sáng đến tối, người ngoài không được vào, tin ngoài không cho tới. Vì thế nên mọi việc xảy ra ở bên ngoài, Chỉnh đều không biết gì hết. Đến khuya, vua Tây Sơn mới thả cho Chỉnh ra. Kịp đến khi Chỉnh về nhà, người nhà có kẻ báo cho Chỉnh biết việc vua Tây Sơn sắp về, thì Chỉnh còn nửa tin nửa ngờ nói: - Ta suốt ngày ngồi hầu, chuyện trò rất thư thái, làm sao lại có sự lật đật như vậy được?
迨夜二更，西山主密使人叩殿阍辞奏皇上，改日旋师，整不得知。	Đến canh hai đêm ấy, vua Tây Sơn cho người vào gõ cửa điện, ngỏ lời từ biệt hoàng thượng, nói là sớm mai rút quân về Nam. Vậy mà Chỉnh cũng vẫn không biết gì cả.
先是十余日，每夜金鼓喧天，入漏初二更，金鼓声犹点点，三更以后寂然无声，京中每至夜半，疑西兵暗去，及早见军营宛然，是后日以为常，验更鼓亦无所准。	Trước đó hơn mười ngày, đêm nào ở trại quân Nam cũng nổi chiêng trống vang trời, nhưng sang đến đầu canh hai thì chỉ còn thưa thớt vài tiếng, rồi từ canh ba trở đi thì lặng như tờ, không còn tiếng nào nữa. Vì thế, mỗi hôm cứ vào quãng nửa đêm, người trong kinh lại tưởng là quân Tây Sơn ngầm rút đi rồi; nhưng đến sáng ngày mai thì lại thấy doanh trại vẫn y nguyên. Từ đó về sau ai cũng cho là thường, không hề để ý.
西山兵法，夜禁最严，整探子夜不得出，是夜五更初，整探子夜冒禁而行，经斥候数店，且行且听，不闻人声，转步至府，四顾无人，只见残杓破罾，横斜委弃于路上，急赴河津，一望渺然，惟水与天，百万楼船不知从何去了？	Mà tiếng trống canh cũng không còn lấy gì làm chuẩn xác nữa. Phép quân Tây Sơn, lệnh cấm ban đêm rất ngặt. Thám tử của Chỉnh mọi đêm đều không được ra ngoài. Đêm ấy, khoảng đầu canh năm, bọn thám tử của Chỉnh liều mạng xông ra đường không kể gì lệnh cấm; khi vượt qua mấy điếm canh, vừa đi vừa nghe ngóng thì thấy tất cả đều vắng lặng không có tiếng người. Chúng đi vòng đến cửa phủ, ngó khắp bốn phía cũng không thấy có người nào, mà chỉ thấy gáo mẻ nồi vỡ vứt bừa bãi trên đường. Chúng vội vàng đi ra bến sông, thì ở đó chỉ có trời nước mênh mông, hàng trăm vạn lâu thuyền trước đấy, không biết đi đâu hết cả. Lập tức chúng chạy về báo với Chỉnh.
探子回报，整茫然，自料失势，不敢留，水也无船，陆也无兵，窜也无所容，不知从何取路？	Chỉnh được tin ấy, trong bụng cực kỳ hoang mang, tự biết mình đã thất thế, ở lại thì không dám, mà bỏ đi thì cũng dở: đường thuỷ không có thuyền, đường bộ không có quân, muốn trốn không có chỗ trốn, không biết nên đi đường nào.
其家人皆惊惶，整在死生危惧间，犹作戏语曰：「吾行遍四海九州岛，及归灶下时，又被鼠咬足，不怕不怕，吾且留此，看看如何！」	Người nhà Chỉnh khi ấy cũng rất sợ hãi. Nhưng Chỉnh trong lúc sống chết nguy cấp như vậy, vẫn còn dở giọng bông đùa mà rằng: - Ta đã đi khắp bốn biển chín châu, chẳng lẽ khi trở về xó bếp, lại bị chuột chù gặm chân ư? Không sợ! Không sợ! Ta cứ ở đây xem sao?
于是家人稍定，整乃密使人急往箕舍津觅舟，平明觅得得商船一艘，整与手下数十人，行至西龙坞门，都人四出追之，整单刀返逐，都人四散。	Bấy giờ bọn người nhà mới hơi vững dạ. Chỉnh bèn bí mật sai người chạy gấp ra bến Cơ Xá tìm thuyền. Tảng sáng, kiếm được một chiếc thuyền buôn. Chỉnh cùng bọn tay chân độ vài chục người đi đến cửa ô Tây Long thì bị dân chúng ở kinh kỳ từ tứ phía kéo ra đuổi bắt. Chỉnh một mình một đao quay lại đón đánh, mọi người phải chạy tán loạn.
整偷得一条路赴津，放舟顺流，尾南兵望海门而去，资装车马器械，委弃于仙迹寺不可胜计。	Thừa cơ, Chỉnh liền cướp đường chạy xuống bến sông, nhổ neo buông thuyền, thuận dòng xuôi thẳng ra cửa biển để theo quân Nam. Còn ngựa xe, khí giới, đồ đạc, của cải của Chỉnh đều bỏ lại ở chùa Tiên Tích, không biết bao nhiêu mà kể.
平旦有人以事奏闻，上不信，使人验之，果然。	Khi trời sáng rõ, có người đem chuyện đó tâu vơí hoàng thượng, hoàng thượng vẫn không tin.
上骇愕，命召众官入朝，谓曰：「他兄弟尽掠我国而去，以空国而遗我，倘有警急何以制之？」	Sau cho người đi tra xét, mới biết là thật, hoàng thượng hết sức kinh ngạc, vội cho đòi các quan vào triều hỏi rằng: - Anh em hắn cướp hết của nước ta mà đi, để cái nước rỗng không lại đây cho ta, nếu như có việc nguy cấp thì lấy gì mà chống chế?
众官相顾未知所言，左右奏曰：「昨日钦传，今日设朝，今乘舆已驾敢奏闻。」	Các quan ngơ ngác nhìn nhau, chưa biết nên nói thế nào. Chợt viên quan hầu cận tâu rằng: - Hôm qua vâng chỉ truyền sớm nay thiết triều. Bây giờ ngự giá đã cột ngựa rồi, dám xin tâu lại.
上问众官曰：「朝将辍耶？」	Hoàng thượng bèn hỏi các quan: - Phiên chầu này hãy thôi chăng?
众官曰：「皇上出朝，下诏改元，此是大礼，何故而辍？」	Các quan đều nói: Hoàng thượng ra triều để ban chiếu chỉ đổi niên hiệu, đó là việc lớn, sao lại thôi?
上乃出朝，取敕书颁布播告改元，以明年丁未为昭统元年。	Hoàng thượng bèn ra ngự triều, rồi ban tờ sắc công bố việc đổi niên hiệu, lấy năm sau tức năm Đinh mùi (1787) làm năm đầu niên hiệu Chiêu Thống.
敕书内所言，一则曰赖贵国王；二则曰赖贵国上公，语脉皆为西山主尚在之文，又多数郑家之咎。	Trong tờ sắc đó, chỗ nào cũng một rằng nhờ đức vua của quý quốc, hai rằng nhờ thượng công của quý quốc, giọng văn đại để đều là những câu viết trong lúc vua Tây Sơn còn ở kinh sư; vả lại, những chỗ kể tội của họ Trịnh cũng hơi nhiều.
或云：「他既归去，宜尽改之，然仓卒不及，宜仍用之不改。」	Vì thế có người bàn rằng: Nay họ đã về rồi, nên đổi lại hết cả đi! Song trong khi vội vàng không làm kịp, nên lại cứ để như cũ không sửa đổi gì.
朝罢，上命众官会朝堂议事，原来上性英果，久厌王家胁制，又与郑王有不共戴天之，得西山灭郑甚喜。	Tan chầu, hoàng thượng bảo các quan ở lại triều đường họp thêm để bàn việc. Nguyên hoàng thượng là người anh minh, quả quyết, từ lâu vẫn căm tức về việc bị nhà Trịnh chèn ép. Vả hoàng thượng với Thịnh vương lại có mối thù không đội trời chung (đây chỉ vào việc Trịnh Sâm giết Lê Duy Vỹ, tức là cha Lê Duy Kỳ), nên khi được Tây Sơn ra diệt Trịnh, hoàng thượng rất mừng.
端王薨，时上为嗣孙，先帝命上率诸皇子诣平作贺，上谓平曰：「孤有父，而公为复之，此生更无余愿，纵此身没于贵国，亦无所憾！	Lúc Đoan nam vương chết, hoàng thượng đang còn là hoàng tự tôn; tiên đế sai hoàng thượng đem các hoàng tử đến chỗ Bình ở tỏ lời chúc mừng, hoàng thượng đã nói với Bình rằng: - Tôi có thù cha chưa trả, nay ông trả thù thay cho tôi, đời tôi không còn mong gì hơn thế. Nếu thân này có phải chết ở quý quốc, tôi cũng không hề phàn nàn.
况公又为扶立，使得长奉宗社，功德何可名言？」	Huống chi ông còn phò dựng họ Lê, khiến cho được thờ phụng tôn xã lâu dài, công đức ấy thật không nói sao cho xiết.
平曰：「天道好还，先太子遇害，皇孙固宜享太平一统之福。」	Bình đáp: - Đạo trời vẫn hay đền bù. Đấng thái tử xưa bị hại, thì nay hoàng tự tôn cố nhiên là phải được hưởng phúc thái bình, thống nhất.
及先帝崩，上即位，慨然以一统自任，欲因南兵尊扶，自起威势，南兵未归，已阴蓄卫翼，使诸皇亲各归外贯，招集兵马，以备调用，又招延士类，引致帷幄，得文属吴为贵、武桢、阮称等，日夜与之筹划，凡所以备仓卒之计者，靡不算及。	Kịp đến khi tiên đế băng, hoàng thượng lên nối ngôi, liền hăng hái tự gánh lấy việc nhất thống. Lại muốn nhân dịp quân Nam tôn phò, tự mình gây lấy uy thế, cho nên trong khi quân Nam chưa về, hoàng thượng đã nuôi ngầm vây cánh. Ngoài việc sai các hoàng thân ai về quê ngoại của nấy, để chiêu tập binh mã phòng khi dùng đến, hoàng thượng còn cho người tìm kiếm các nho sĩ, mời vào giúp việc cho mình. Về mặt quan văn, lúc ấy đã thu dùng được bọn Ngô Vi Quý, Vũ Trinh, Nguyễn Nễ. Hoàng thượng ngày đêm cùng họ trù tính mọi công việc, ngay cả những mưu kế phải dùng đến trong lúc bối rối bất ngờ, cũng được lo toan chu đáo.
时天下名将硕郡公黄冯基、琏郡公丁锡壤，文臣有勇力者有杨仲济。	Bấy giờ, danh tướng trong thiên hạ thì có Thạc quận công Hoàng Phùng Cơ, Liễn quận công Đinh Tích Nhưỡng. Còn văn thần mà có binh lực mạnh mẽ thì có Dương Trọng Tế (còn có tên là Trọng Khiêm, người xã Lạc Đạo, huyện Gia Lâm, đỗ tiến sĩ).
且说黄冯基自翠霭之败，走归山西，隐晦未出，壤溃师山南归锦江，尽起其族，据海阳镇，其镇初未受兵，城中尚有公粟五囷，壤散以养兵，招得勇士千人，声势大振，水匪名余莲亦以兵属，有众至数万。	Hoàng Phùng Cơ từ khi thua trận ở Thuý ái, phải chạy về Sơn Tây, vẫn còn nấp náu chưa dám ra. Nhưỡng từ khi bị tan đạo quân ở Sơn Nam, liền về Cẩm Giàng, đem hết cả họ hàng ra chiếm luôn lấy trấn Hải Dương. Trấn này lúc trước chưa bị binh đao, trong thành còn có năm vựa thóc công, Nhưỡng bèn đem số thóc ấy ra nuôi quân. Nhờ đó Nhưỡng chiêu mộ được hơn một ngàn dũng sĩ, thanh thế lẫy lừng. Lúc ấy lại có một tên cướp biển là Thiêm Liên, nghe tiếng Nhưỡng cũng đem đồ đảng xin theo, thành ra Nhưỡng có trong tay cả thảy tới vài vạn quân. Hồi Chỉnh mới về kinh sư, đã có viết thư gọi Nhưỡng.
整入京时，以京书招之，原来整与壤同居晔郡门下，素相得，壤为书答整，推托不来，整亦不暇问，壤因得专制一路，日夜治兵，仲济文臣原不知兵，有其兄子杨云性素凶悍，常聚无赖子弟，横行乡邑，人皆畏之。	Nguyên Nhưỡng với Chỉnh đều là môn hạ của quận Việp, hai người vốn ăn ý với nhau. Nhưng khi viết thư trả lời Chỉnh, thì Nhưỡng lại kiếm cớ từ chối không đến, Chỉnh cũng chưa có thì giờ hỏi đến việc ấy. Do đó, Nhưỡng được chuyên giữ một lộ, ngày đêm ra sức luyện tập quân lính. Còn viên văn thần Dương Trọng Tế thì vốn không biết việc binh. Nhưng Tế có Dương Vân là con trai người anh ruột, tính rất hung tợn, vẫn thường tụ tập những phường vô loại, hoành hành ở các làng xóm, ai cũng phải khiếp sợ. Lúc quân Nam ra, Vân ngầm cho gọi thợ rèn đến rèn đúc khí giới. Bình sai người tìm thợ rèn, nhân biết việc đó, bèn cho tróc nã bọn Vân. Vân đóng cổng làng, bắt hết những người của Bình đem giết đi. Trọng Tế cả sợ, bất đắc dĩ mới phải khởi binh, kéo cờ, chiếm cứ huyện Gia Lâm.
	Chỉ trong mười ngày, quân của Tế đã lên trên một vạn.
及南兵出，云阴召铁匠缮治兵器，平使人求铁匠，并捕云党，云闭里门尽杀之，济惧，不得已，乃起兵揭旗，据嘉林县，旬日得众万余，西山游兵击之不下，西山在京时，京中咸言东西两道会兵，不日且至城下，及西山潜师而去，城内虚空，众官议召豪杰保卫皇城，凡有所谙识，皆请旨召之，发旨传一日至十余道，壤与济亦皆被召，上以济文臣，闻命必来，惟壤武人，颇有名望，不重其命，未必能致，乃为敕书召之，辞极温慰，且许以元勋同休等字，使人赍敕至壤，壤读而泣曰：「臣家十八代郡公，国恩不薄，戴覆天地，岂敢背恩？	Quân tuần tiễn của Tây Sơn sang đánh không hạ nổi. Lúc quân Tây Sơn còn ở kinh thành, người trong kinh đồn rằng: hai đạo đông tây đã hợp quân làm một chẳng bao lâu sẽ tới dưới thành. Đến lúc quân Nam lén rút đi, trong thành trống rỗng, các quan bàn nên gọi các hào kiệt vào giữ hoàng thành. Bấy giờ ai có người nào quen biết, đều xin nhà vua ban chỉ đi vời. Trong một ngày, chỉ dụ đưa đi đến hơn mười đạo. Nhưỡng và Tế cũng đều ở trong số những người bị gọi. Hoàng thượng cho rằng Tế là quan văn, nghe mệnh nhà vua tất phải đến ngay; còn Nhưỡng là quan võ, lại có chút tiếng tăm, nếu mời mọc không trịnh trọng, chưa chắc Nhưỡng đã chịu đến. Bởi vậy, hoàng thượng mới sai thảo một tờ sắc, lời lẽ cực kỳ ôn tồn, và trong sắc lại có các lời hứa như "nguyên huân" "đồng hưu", v.v... ("Nguyên huân" là người có công lao cao cả trên hết, "Đồng hưu" là hưởng chung mọi sự tốt lành) Rồi sai người đem sắc đưa cho Nhưỡng. Nhưỡng đọc tờ sắc vừa khóc vừa nói: - Nhà tôi mười tám đời quận công, ơn nước thật cao dày, đội trời đạp đất há dám quên ơn?
臣今尚有三五人相随，亦是蒙我皇家威德。	Nay tôi còn có dăm ba người theo, cũng là nhờ về oai đức của nhà vua.
臣奉诏旨，合当即日赴阙，但臣方打点兵马，整束行装，请假臣三五日，谨当趋朝。」	Bây giờ đã có chiếu mệnh ra đòi, đáng lý tôi phải lập tức đến ngay trước cửa khuyết. Nhưng vì tôi còn đang bận kiểm điểm binh mã, sắm sửa hành trang chưa thể đi được; vậy xin hãy hoãn cho tôi chừng năm ba ngày nữa, tôi sẽ vào triều sau.
乃具奏本，使人随使者至京上进。	Đoạn Nhưỡng thảo tờ tâu và sai người theo sứ giả về kinh dâng vua.
壤未至京，京中沸腾，言壤以水师袭南兵后，擒获无算；又言壤擒得整，断其手足为人彘形，旦夕且送至京；又或言已至京师，人争走观之；一日四五闹，如是者连日，凡闻壤名，莫不震服，想望。	Lúc Nhưỡng chưa đến kinh, người ở đây đồn rầm lên rằng Nhưỡng đem thuỷ binh đánh úp quân Nam, bắt được không biết bao nhiêu mà kể. Lại có tin nói rằng Nhưỡng đã tóm được Chỉnh, chặt hết chân tay làm hình "lợn người", chỉ trong sớm tối sẽ đưa tới kinh. Chợt lại có tin rằng con "lợn người" ấy đã được đưa đến kinh rồi. Thế là người ta tranh nhau đi xem. Một ngày có đến bốn năm lần háo hức, ồn ào lên, và cứ như vậy luôn trong mấy ngày liền. Bởi lẽ đó, hễ ai nghe tên Nhưỡng cũng đều khiếp phục và trông ngóng.
上得壤奏，见壤忠爱溢于言表，大喜，以为壤必可恃，心下少宽。	Hoàng thượng nhận được tờ tâu của Nhưỡng, thấy lời lẽ chan chứa lòng trung vua yêu nước, thì rất mừng, cho rằng Nhưỡng tất là người có thể tin cậy được, nên trong bụng cũng đỡ lo.
却说王家被虏戕其主师而去，其故家遗臣，或惜端王之不善藏匿，而其心未尝绝望于郑也。	Lại nói, sau khi họ Trịnh bị diệt, quân Tây Sơn giết chết Đoan nam vương rồi kéo về Nam, những gia đình quan lại cũ và những bầy tôi còn sống sót ai nấy đều tiếc cho vương không khéo lẩn núp để đến nỗi bị nạn. Lòng họ vẫn còn chưa tuyệt vọng đối với họ Trịnh.
端王元子尚幼，王亲卿郡公郑桥已老，惟琨郡公郑槰、瑞郡公郑棣，皆年外四十，琨郡裕祖之子，为人慈和宽厚，为众所属，圣租晚年，嫡庶纷纭，尝欲使邓氏养为子，奠都王病或不起即立之，更不果，及端王时，骄兵累欲立逼迎于家，琨郡逃入王府，自白于王，而后归第。	Bấy giờ con đầu lòng của Đoan nam vương hãy còn nhỏ, vương thân Khanh quận công Trịnh Kiều thì đã già nua; chỉ còn có Côn quận công Trịnh Bồng và Thuỵ quận công Trịnh Lệ khi ấy đều khoảng bốn mươi tuổi, là có thể đảm đương được công việc. Côn quận công là con trai Dụ tổ (tức Trịnh Giang), tính nết hiền từ khoan hậu, được nhiều người yêu mến. Cuối đời Thịnh vương, vì việc con thứ lôi thôi chúa đã muốn cho Thị Huệ nuôi Côn quận công Trịnh Bồng làm con, để nếu bệnh của vương tử Cán không khỏi, thì sẽ lập Côn quận công làm chúa. Nhưng rốt cuộc ý định ấy vẫn chưa thực hiện được. Đến lúc thế tử Tông lên ngôi, kiêu binh mấy lần muốn phò dựng Côn quận công, họ vào tận nhà để thúc ép và đón rước ông ta, khiến ông ta phải lẩn vào phủ chúa kể rõ đầu đuôi với Đoan nam vương, rồi mới dám về nhà.
瑞郡毅租之子，圣祖之弟，为人明慧机智。	Còn Thuỵ quận công là con trai Nghị tổ (Trịnh Doanh) là em ruột Thánh tổ (Trịnh Sâm), vốn là người khôn ngoan và thông minh.
毅祖时，尝有夺嫡之志，毅祖薨，圣祖立，瑞郡公与其家臣，丁丑科进士范辉基谋为篡逆事，为杨仲济所发觉，圣祖以至亲减死罪囚之。	Lúc Nghị tổ còn sống, quận Thuỵ thường vẫn có ý muốn cướp quyền con cả. Đến khi Nghị tổ mất, Thánh tổ lên làm chúa, quận Thuỵ bèn cùng với một người gia thần là Phạm Huy Cơ, tiến sĩ khoa Đinh sửu (1757) mưu toan việc cướp ngôi. Chẳng may bị Dương Trọng Tế phát giác, Thánh tổ lấy tình anh em ruột thịt tha tội chết cho quận Thuỵ, và bắt giam vào một nơi. Kịp khi Đoan nam vương lên ngôi, vương nghĩ nể mẹ quận Thuỵ là bà dì mẫu của mình, liền thả quận Thuỵ ra khỏi ngục. ít lâu sau, gặp lúc bọn kiêu binh oán giận vương, quận Thuỵ lại thừa cơ cùng với bọn này mưu cướp ngôi của vương. Nhưng việc cũng bị lộ.
端王立，以其姨母之亲赦之，及骄兵怨端王，瑞郡又使骄兵谋夺端王之位而自立，其事又发，太妃以娣子请于王，王曲赦之，琨郡时避居彰德县，一婢一仆沉于民伍，为久隐计，瑞郡时避居文江，与辰忠侯，潜招兵马，俟衅而起。	Mẹ Đoan nam vương vì lẽ quận Thuỵ là con trai của chị ruột mình, nên phải đứng ra cố xin với vương, vương nể lời mẹ, lại tha cho quận Thuỵ. Lúc quân Tây Sơn kéo ra, quận Côn chỉ đem theo một con đòi, một tên đày tớ, lánh vào huyện Chương Đức, lẩn lút trong đám dân gian làm kế ở ẩn lâu dài. Còn quận Thuỵ thì trốn về huyện Văn Giang, cùng với Thần trung hầu (tức Trương Tuân, người xã Như Quỳnh, huyện Văn Giang) ngầm chiêu tập binh mã, hòng có dịp là sẽ nổi lên.
这辰忠侯乃琼瑛太长公主之子，于瑞郡为舅姑之亲，初中进士，历典禁兵，又镇京北。	Thần trung hầu là con trai của công chúa Quỳnh Anh, đối với quận Thuỵ và chỗ con cô con cậu. Thần trung hầu đỗ tạo sĩ, đã từng coi cấm quân, lại từng làm trấn thủ trấn Kinh Bắc.
至是起兵以「勤王」二字揭旗，拥瑞郡渡河，从青池津而上，至西龙宫，时仲济兵应上召适渡河而来，恰与瑞郡兵相遇，仲济初举进士，以脏罢官十余年，及发瑞郡之逆事，乃得复职，至是仲济见瑞郡大惧，乃以其兵降求赎前过，瑞郡命二人驻兵城外，鸣金击鼓，声势大振。	Khi nghe tin quân Tây Sơn đã rút, Thần trung hầu bèn dựng cờ viết hai chữ "cần vương", rước quận Thuỵ qua sông, rồi theo bến Thanh Trì đi thẳng lên cung Tây long. Lúc này, quân của Dương Trọng Tế vâng chỉ hoàng thượng từ Gia Lâm vượt sông sang, tình cờ chạm trán với quân của quận Thuỵ. Nguyên trước kia, Tế mới đỗ tiến sĩ và ra làm quan được ít lâu, thì đã phải bãi chức quan hơn mười năm vì tội ăn của đút; mãi sau nhờ công phát giác việc quận Thuỵ mưu phản, mới được phục chức. Bấy giờ gặp quận Thuỵ, Tế vô cùng sợ hãi, bèn đem quân xin hàng để chuộc lỗi xưa. Quận Thuỵ tức thì sai luôn Tế và Thần trung hầu đóng quân ở ngoài thành, khua chiêng đánh trống, thanh thế rất là lừng lẫy.
上闻辰忠来，翱翔于外，使人召之，辰忠入见，上谓曰：「卿家世名将，起兵入卫，朕已称其忠，卿将兵入城，朕随事任之。」	Khi ấy, hoàng thượng nghe tin Thần trung hầu đang lảng vảng ở bên ngoài, bèn sai người ra gọi vào. Thần trung hầu vào yết kiến, hoàng thượng liền bảo rằng: - Ngươi là danh tướng con nhà dòng, nay dấy quân gìn giữ kinh thành, tấm lòng trung nghĩa ấy trẫm rất ngợi khen. Vậy ngươi cứ mang quân vào, trẫm sẽ tuỳ việc mà dùng.
辰跪奏曰：「四海之内莫非帝臣，陛下垂拱无为，何事兵卫，王家不幸，为蛮兵所戕，正急于兵也。」	Thần trung hầu quỳ tâu: - Ở trong bốn biển, ai chẳng là tôi nhà vua. Bệ hạ khoanh tay rủ áo không làm việc gì, thì còn cần chi binh lính bảo vệ? Duy có nhà chúa chẳng may bị lũ lính mọi làm hại, thì mới cần kíp phải dùng đến binh lính mà thôi!
言讫，拜谢而出。	Nói đoạn, Thần trung hầu lạy tạ đi ra.
上命镇殿将兵迫斩之，左右固谏，乃止。	Hoàng thượng giận, sai quan trấn điện đem quân đuổi chém. Mọi người phải cố sức can ngăn, hoàng thượng mới thôi.
辰自语仲济曰：「从来王家传继，何曾先禀命皇家，往往事定然后奏闻，其敕谕与册封，亦皆夙成，进皇上御览乃递归王府宣行之，便是成命。何事纷纭祈请乎？	Thần trung hầu về nói với Trọng Tế rằng: - Xưa nay nhà chúa truyền ngôi, nối ngôi, có bao giờ phải xin mệnh lệnh nhà vua đâu? Thường thường khi công việc đã làm xong rồi, bấy giờ mới đệ tờ tâu vào triều. Ngay cả những tờ sắc dụ, sách phong, cũng đều do nhà chúa thảo sẵn trước, sau đó đệ lên hoàng thượng ngự lãm qua, rồi đưa trả về phủ chúa để tuyên bố thi hành, thế là thành mệnh (mệnh lệnh của vua làm thành từ trước), cần gì phải xin phép nhà vua cho thêm rắc rối?
乃急整军伍迎瑞郡入城，时日已暮，迨漏下二更始至府，张烛府堂，鸣鼓三通九点，扶瑞郡登坐，两员自分两班拜贺讫，使诸军欢声，乃分兵诸门，及畿内提领斥候诸店，更直一如旧例。	Rồi hai người bèn tức tốc chỉnh đốn hàng ngũ binh lính, rước quận Thuỵ vào thành. Bấy giờ trời đã xẩm tối, chừng đến canh hai mới vào tới phủ. Họ bèn thắp đèn sáng trưng khắp cả phủ, đánh ba hồi chín tiếng trống, rồi phò quận Thuỵ lên ngôi. Thần trung hầu và Trọng Tế tự chia làm hai ban đứng ra lạy mừng. Lạy xong, họ lại bảo các quân sĩ cùng hò reo cho thêm rầm rộ. Sau đó, hai người chia quân đi đóng giữ các cửa thành cùng các điếm canh trong kinh đúng như lệ cũ.
旦日使人召文武诸臣，文臣完郡公泗川侯韬忠侯建川侯练堂侯与进士二三员，方在朝堂，闻名相谓曰：「瑞郡生来已三举事而不成，其人心志如此，定非令器。	Đến sớm mai, họ mới cho người đi gọi các quan văn võ. Các quan văn là Hoàng quận công, Tứ xuyên hầu, Thao đường hầu, Kiến xuyên hầu, Luyện đường hầu, cùng vài ba viên tiến sĩ, khi ấy đang ở trong triều, thấy có giấy đòi, liền bảo nhau rằng: "Quận Thuỵ từ trước đến giờ, đã từng ba lần gây việc mà đều không thành. Con người mà tâm địa như vậy, hẳn không phải là "của quý".
辰忠膏纨子弟，平生只是厌厌夜饮，醉倒一觉红日含山，一日剩得几时应天下事，而更欲为大臣，仲济昔反瑞郡，今复扶瑞郡，亦岂庙堂之君耶？	Thần trung hầu là hạng công tử ăn chơi, bình sinh chỉ biết ban đêm uống rượu say mềm, rồi lăn ra ngủ đến khi mặt trời sắp xuống núi mới dậy. Như thế, trong một ngày còn được mấy giờ để lo việc nước mà còn muốn làm đại thần? Trọng Tế hồi trước phản quận Thuỵ, nay lại theo quận Thuỵ, há cũng là "đồ vật ở chốn miếu đường" được ư?
如此大事，而不上禀帝命，下合众谋，乃俯首瞑目而独行之，岂有成事之理？	(câu này ý nói Trọng Tế không phải là người xứng đáng làm một vị đại thần ở triều đình) Huống chi, một việc lớn lao như vậy, mà trên không xin mệnh lệnh của nhà vua, dưới không thu góp ý kiến của mọi người, chỉ cắm đầu nhắm mắt để tự làm với nhau, lẽ nào lại thành việc được?
皇上英睿刚断，料他辈必不能胁制，不可轻赴，后悔难追！」	Hoàng thượng vốn anh minh, quả quyết, chắc chắn bọn ấy không thể lấn ép được. Chúng ta chớ nên hấp tấp, nhẹ dạ mà đến với họ, kẻo sau này có hối lại cũng không kịp!".
乃使吏复辞于辰忠，仲济曰：「朝臣未得命于皇上，未敢擅诣，请二位长官启王，修本请命，朝臣谨当钦奉皇上命，入侍拜贺。」	Thế rồi, mấy người sai viên thư lại trả lời cho bọn Thần trung hầu và Trọng Tế, đại để như sau: "Các quan trong triều vì chưa vâng mệnh của hoàng thượng, cho nên không dám tự tiện tới phủ chúa. Xin hai quan lớn trình chúa hãy thảo giấy tâu xin mệnh lệnh của hoàng thượng, thì các quan sẽ xin vâng mệnh hoàng thượng sang phủ lạy mừng". Trọng Tế bèn tự ý làm một tờ tâu rằng: "Thần là Trịnh Lệ kính tâu: Nhà thần đời đời nối nghiệp chúa, tôn phò nhà vua. Vừa rồi nhân vì quân mọi vào cướp, tôn miếu nghiêng đổ.
济乃擅奏本曰：「臣郑棣谨奏：臣家世嗣王基，尊扶帝室，顷因蛮兵入寇，宗祀颠倒，幸赖忠臣义士一心翊扶，蛮貊闻风潜遁，臣已于本月初十日入居政府，伏乞颁下敕谕，俾臣得嗣王位，世世尊扶，以保万年，惟帝惟王之业。」	Mây nhờ trung thần nghĩa sĩ một lòng giúp rập, giặc mọi nghe tin, đang đêm phải hốt hoảng chạy trốn. Hôm mồng mười tháng này, thần đã vào ở trong phủ. Vậy cúi xin ban cho sắc dụ, khiến thần được nối ngôi chúa, đời đời tôn phò, để giữ vững lấy cái cơ nghiệp vua, chúa trong ngàn vạn năm". Hoàng thượng coi tờ tâu, cả giận nói: - Nhà Trịnh là kẻ dưới mà dám lấn người trên, nên mới chuốc lấy cái nạn bại vong. Thế mà nay nó lại vẫn đi theo cái vết xe đổ ấy.
上览奏大怒曰：「郑家以下凌上，自取败亡，今复蹈其覆辙，将欺朕年少耶！」	Nó định khinh trẫm ít tuổi hay sao?
