第九回。	Hồi thứ chín.
皇亲一人，特命维礻安，辅行一员，惟卿自择。」	Một vị hoàng thân cùng đi, trẫm đã sai Duy án (Cương mục chép là Duy Hiên), còn một viên phó sứ nữa thì tuỳ ngươi chọn lấy.
公灿毅然请行，曰：「主忧臣辱，臣何敢择，与臣共事，臣之所知吴儒可。」	Xán hăng hái xin đi, và nói: - Vua phải lo thì bề tôi mang nhục; thần đâu dám sợ khó khăn? Trong những người từng làm việc chung với thần mà thần đã biết, thì có Ngô Nho là có thể dùng được.
帝然之，命下，举朝咸称得人。	Vua ưng lời, rồi ban mệnh lệnh xuống. Cả triều đình đều khen là chọn được người xứng đáng.
那维礻安懿宗第六子，帝之从祖叔，为人谨厚雅实，玉忻公主未嫁时，尝以尊行事礻安，可否必问。	Duy án là con thứ sáu của vua ý tông, và là ông chú họ nhà vua. án tính người cẩn thận, nho nhã và trung thực. Công chúa Ngọc Hân khi chưa lấy chồng, vẫn thường tôn kính án, mọi việc nên chăng đều hỏi ý kiến của án.
及归北平王，礻安尝以事来见，北平王亦称其言语进止有度，至是以问安公主，择皇亲可遣者，故以礻安行。	Kịp đến khi công chúa về với Bắc bình vương, án thường nhân có việc tới gặp, Bắc bình vương cũng khen án nói năng lui tới có lễ độ. Lúc đó vì muốn luôn tiện hỏi thăm công chúa, cần chọn người hoàng thân xứng đáng, nên mới sai án đi.
功灿东安安伟人，景兴壬辰科进士，端王亲政，灿以工部左侍郎入侍行参从。	Trần Công Xán, người làng Yên Vỹ, huyện Đông An, đỗ tiến sĩ khoa Nhâm thìn (1772) đời Cảnh Hưng. Hồi Đoan nam vương còn coi giữ việc nước, Xán đang ở chức tả thị lang bộ công, được sung chức hành tham tụng.
丙午之难，西兵逼畿甸，硕郡公兵溃，文武诸臣，接迹宵遁，灿独请王，背城一战，戎服带剑，扈驾于五龙楼。	Trong cuộc biến loạn năm Bính ngọ (1786), quân Tây Sơn tiến sát kinh kỳ, quân quận Thạc tan vỡ, các quan văn vỡ đang đêm đua nhau bỏ trốn, riêng có mình Xán xin với chúa quyết liều một trận sống chết. Xán bận quần áo trận, tay cầm gươm, hộ vệ chúa Trịnh ở lầu Ngũ Long.
及北平王入国，先皇帝令群臣次第参谒。	Lúc Bắc bình vương vào kinh đô, vua Lê trước sai các quan lần lượt tới yết kiến.
见其神气英毅，莫不惊慑失色，灿独进退如常，不失大臣风采。	Thấy thần sắc của Bắc bình vương rực rỡ, nghiêm nghị, ai cũng run sợ, hãi hùng, riêng có Xán là tiến thoái như thường, không mất phong thể của bậc đại thần.
北平王大奇之，数延见，问以北河事，灿随问随答，言如涌泉，无所留难。	Bắc bình vương lấy làm lạ, đã mấy lần mời Xán đến, hỏi việc Bắc Hà. Hỏi đâu Xán đáp luôn đấy, nói như suối chảy, không có chỗ nào ngập ngừng, ấp úng.
不可意者，北平王诘之，反复论辨，亦不少屈。	Có lúc Bắc bình vương cố ý hỏi vặn, nhưng Xán vẫn lật qua lật lại, tranh cãi nhiều lần, không mảy may chịu khuất phục.
北平王谓左军任曰：「我闻北河人才最多，亲来其地，惟见功灿有人色耳。」	Bắc bình vương bảo với tả hữu rằng: "Ta nghe Bắc Hà rất nhiều nhân tài, nay đến tận nơi thì chỉ thấy Trần Công Xán là có khí sắc con người mà thôi!".
其见重有素如此。	Công Xán vốn được Bắc bình vương kính trọng là như vậy.
历授刑部尚书入侍经筵同平章车国重事，立朝梗概，临事应变，济以经术，人皆推之。	Xán đã từng làm thượng thư bộ Hình, được vào chầu ở toà Kinh diên, rồi lĩnh chức đồng bình chương quân quốc trọng sự. Trong triều đình, Xán là người cương trực, gặp việc có tài ứng biến, lại thêm có học thuật, vì vậy ai cũng tôn trọng. Xán lại là thầy học của Chỉnh.
为整业师，整有心里事，不可以告人，未尝不以问灿取决焉，是以请帝遗之。	Mỗi khi Chỉnh có tâm sự gì, không thể nói với người ngoài thì không khi nào không hỏi Xán để quyết định. Vì thế, chuyến này Chỉnh mới xin vua để sai Xán đi.
吴儒富川知止人，初灿以台官知贡举，擢儒乙未科进士，故儒以师礼事之，尝诣其门。	Ngô Nho người làng Tri Chỉ, huyện Phú Xuyên. Trước kia Xán làm đài quan (tức là chức ngự sử) coi việc chấm thi, đã lấy Nho đậu tiến sĩ khoa ất tỵ (1785), nên Nho vẫn theo lễ thầy học mà đối đãi với Xán, thường tới nhà Xán luôn.
灿见儒为人慷慨多大节，不附权势，声气相投，灿颇爱重之，因此使之俱。	Nho thấy Xán là người khảng khái, có khí tiết lớn lao, không thèm xu phụ quyền thế, nên hai bên thanh khí hợp nhau. Xán cũng yêu và trọng Nho, vì thế bảo Nho đi với mình.
儒初闻命入见，灿谓儒曰：「敌国凭陵，边报正紧，今卜其行，未卜其归，某为国大臣，义所当往，死生非所计，公初任，位卑，老母在堂，忠孝不可兼得，试熟思之，不敢强公也。」	Khi Nho mới nghe lệnh ấy, liền vào gặp Xán. Xán bảo Nho rằng: - Nước địch đè lấn, tin báo ngoài bờ cõi đang gấp. Nay chỉ biết ra đi chưa biết ngày về. Tôi là đại thần của nước nhà, nghĩa phải ra đi, sống thác không cần tính đến. Ông mới làm quan, ngôi thứ còn thấp, ở nhà lại có mẹ già. Trung hiếu không thể vẹn cả đôi đường, hãy thử nghĩ cho kỹ, tôi không dám ép ông đâu.
儒曰：「相公受国厚恩，某受相公雅顾，大臣为国当事，士为知己者死，皆义之当然，此外非所知也。」	Nho trả lời: - Tướng công chịu ơn dày của nước, tôi thì chịu ơn trí ngộ cao cả của tướng công. Đại thần gánh việc cho nước nhà, kẻ sĩ chết vì người tri kỷ, đều là nghĩa phải như thế, ngoài ra không biết đến việc gì khác.
灿喜曰：「壮哉！	Xán mừng mà rằng: - Mạnh mẽ thay!
士如是斯可谓达矣。」	Kẻ sĩ như thế đáng gọi là "đạt" vậy.
乃引儒入见帝，赐拜于内殿，问曰：「汝所抱负经学，练达世故，自料此行如问？」	Rồi đem Nho vào yết kiến vua. Vua cho Nho lạy ở nội điện và hỏi: - Nhà ngươi đã ôm ấp kinh luân, từng trải việc đời thử liệu xem chuyến đi này ra sao?
对曰：「仰赖国家鸿福，庙堂远算，事之允济，想亦无难。	Nho tâu: - Ngửa trông phúc lớn của nhà nước và mưu sâu của miếu đường, công việc xong xuôi tưởng cũng không khó.
且此间良臣专对，自当不辱，臣为辅行，但知尽所职耳。」	Vả lại lúc ấy đã có vị lương thần chuyên việc ứng đối, chắc sẽ không để nhục đến mệnh vua. Thần làm người giúp việc chỉ biết làm hết chức phận mà thôi.
帝颔之，即命平章维藩等与鹏公整集议会修国书，略言：「乂安乃是本朝中兴根本之地，与清化为股肱郡，文臣武将多出于此，宿卫之士，亦拣其兵壮充补。	Nhà vua gật đầu, rồi sai quan bình chương Phan Lê Phiên cùng với Bằng công Nguyễn Hữu Chỉnh họp nhau bàn việc thảo quốc thư. Trong thư đại lược nói rằng: " Nghệ An là đất nền móng trong cuộc trung hưng của bản triều, cùng với Thanh Hóa, đều là quận chân tay của nhà nước, quan văn tướng võ phần nhiều ở đó mà ra. Quân lính túc vệ cũng đều kén chọn đinh tráng ở xứ ấy sung vào.
若用其人弃其地，使之乡里隔阻，亲戚离别，求之人情，最为悖戾。	Nếu như dùng người mà bỏ đất, để họ cách trở quê hương, xa lìa thân thích, xét về nhân tình, rất là trái ngược.
贵国王孰信睦邻，推心置腹，想亦无微不烛，况此明明者乎。	Đức vua quý quốc trọng điều tín nghĩa, hoà với láng giềng, "suy bụng ta ra bụng người", chắc rằng không việc nhỏ mọn nào mà không soi thấu, huống chi là việc rõ ràng như thế.
重念贵王初来，本以尊扶为第一义，先帝在御，延之坐榻，执手共话，玉音在耳，何可顿忘？	Nghĩ lại đức vua quý quốc lúc mới ra Bắc, vốn lấy việc tôn phò làm nghĩa thứ nhất. Tiên đế lúc sinh thời, từng mời ngồi trên giường, cầm tay cùng trò chuyện. Tiếng ngọc còn văng vẳng bên tai, vội quên sao được?
及其凭几遗嘱，谆谆以小子冲年为忧，心欲邀贵国之福，可为倚顿。	Kịp đến khi tiên đế tựa ghế trối trăng mọi việc, ân cần lo cho kẻ tiểu tử này tuổi còn trẻ nhỏ, muốn nhờ vào phúc ấm của quý quốc, để làm nơi nương tựa.
近闻遣将出戍乂安，国人疑阻，或以为边臣惹事，非出贵王本意，及接到移文，始知实奉大命，以去秋割地犒师为辞。	Gần đây nghe tin quý quốc sai tướng ra đóng ở Nghệ An, lòng người ngờ vực, có kẻ cho rằng đó là do bọn bề tôi ở biên giới gây việc, không phải bản ý của quý quốc vương. Đến lúc tiếp được bức thư tư ra, mới biết thật là vâng mệnh lệnh của quý quốc vương.
小子新膺历服，末究前因，经饬廷臣，查照割地之约，是指布政明、灵二州，不干乂安界者。	Trong thư vin vào cớ mùa thu năm ngoái bản quốc đã hứa cắt đất khao quân. Kẻ tiểu tử này mới lên ngôi, chưa được rõ nguyên nhân việc trước, đã sai đình thần tra cứu lại cái ước cắt đất, thì là hai châu Bố Chánh, Minh Linh (Bố Chánh nay gồm các huyện Bố Trạch, Quảng Trạch, Tuyên Hoá thuộc Quảng Bình. Minh Linh nay là Vĩnh Linh, Do Linh thuộc Quảng Trị (Bình Trị Thiên)), chứ không liên can gì tới bờ cõi xứ Nghệ An.
那时曾蒙贵谕，果属黎家土地，一寸不取。	Vả lại, hồi đó đã vâng lời quý quốc vương dụ rằng: "Quả là đất đai của nhà Lê, một tấc cũng không lấy".
若犒师以地，不如以币，请计地域，岁入总数，用为犒劳之需，年年送至界上，永为成例，遥惟贵王裁之，以全两国之好，一国幸甚。」	Nay nếu khao quân bằng đất thì không bằng khao quân bằng của. Vậy xin tính số thu nhập hàng năm của đất ấy, dùng làm chi phí khao quân; rồi cứ hàng năm đưa đến biên giới, làm thành định lệ lâu dài. Xa trông quý quốc vương xét cho, để trọn tình hoà hảo của hai nước. Cả nước chúng tôi đều lấy làm may lắm!".
书成进览，帝命出内藏黄金彩缎土绢土布，充馈赆品物，召公灿面谕，敕令赉往。	Thư thảo xong, đệ lên vua xem. Vua sai lấy ở kho nội phủ một số vàng, đoạn màu, và lụa vải thổ sản làm đồ biếu tặng. Rồi vời Trần Công Xán vào trước mặt để dặn dò và giao cho mang đi.
是日起行，百官送至郊外，独鹏公整与灿宿于盛烈寺，灿谓整曰：「北平王险诐难测，此行未必肯听否，但吾既受命，且委曲辨折，以死争之。	Ngay hôm đó, bọn Xán lên đường. Trăm quan đều tiễn chân đến ngoài kinh thành. Riêng Nguyễn Hữu Chỉnh thì cùng Xán ngủ đêm ở chùa Thịnh Liệt. Xán bảo Chỉnh rằng: - Bắc bình vương là người hiểm sâu khó lường, chuyến đi này vị tất ông ta đã nghe theo. Nhưng tôi đã vâng mệnh nhà vua thì cứ liệu chiều biện luận, liều chết mà cãi.
至于防备机宜，吾去后，公可加意勿忽！	Còn công việc phòng bị thì sau khi tôi đi, ông phải chú ý thêm, chớ có sơ suất.
清化沿山地面，速当分屯守险，以防步兵；山南海口，亦各横流植栅，以截舟师。	Dọc theo địa phận miền núi Thanh Hóa, phải gấp rút chia đồn đóng giữ các nơi hiểm yếu đề phòng quân bộ. Cửa biển trong trấn Sơn Nam cũng nên đóng cọc ngang dòng sông, để chặn quân thuỷ.
若彼背约来攻，吾先有以制之，不至临时仓卒。	Nếu họ trái lời hẹn, mà tới đánh, thì ta đã có phòng bị trước, không đến nỗi để việc tới nơi mới hấp tấp.
整曰：「请师第往，无劳过虑，先生辞命，谁不退听，否则弟子之治军旅，亦不下人，万一有变，岂不能一番轰雷掣电，推山倒海，以快吾心，彼虽桀点，亦何能施？」	Chỉnh nói: - Xin thầy cứ đi, không cần phải quá lo. Lời nói của thầy ai chẳng nghe theo? Nếu không thì việc điều khiển quân lính của trò đây cũng chẳng kém ai. Vạn nhất có biến, há lại không làm nổi một trận sấm vang chớp giật, nghiêng biển, lật núi cho sướng bụng hay sao? Họ dù kiệt hiệt, cũng chẳng làm được gì.
灿不以为然。	Xán không cho lời nói của Chỉnh là phải.
及行至琼瑠界首，文任所置屯将，接入检视品物，只许使臣三人，与行价十八人俱，余皆遣还。	Khi sứ thần đến đầu huyện Quỳnh Lưu thì có viên tướng của Võ Văn Nhậm sai ra đóng đồn ở đấy đón vào trong đồn. Xem xét đồ vật xong rồi, y chỉ cho ba viên sứ thần và mười tám người tôi tớ cùng đi, còn bao nhiêu đều bảo về.
比到乂安镇营，任置酒款待，从容问灿曰：「北河文武如老爷者几人？	Đến doanh trấn Nghệ An, Nhậm sai thết tiệc khoản đãi, rồi thong thả hỏi Xán rằng: - Quan văn quan võ ở Bắc Hà như cụ phỏng được mấy người?
黎君委国于贼整，自谓何如？	Vua Lê giao nước cho tên giặc Chỉnh, ý ngài tự nghĩ ra sao?
某今已带领兵牌，早晚直捣升龙，先断整头，次问黎君何以背德纳叛？	Tôi nay đã lĩnh binh phù, sớm tối sẽ kéo thẳng ra Thăng Long, trước chém đầu giặc Chỉnh sau hỏi tội vua Lê sao lại bội ơn dong nạp đứa làm phản?
明告北河士民，使知用兵本意。	Rồi báo cáo rõ ràng với sĩ dân Bắc Hà, cho họ biết tại sao chúng tôi phải dùng quân?
黎君既不能保其国家，并清化以北诸镇，我不之取，他人必取之，乂安蕞尔之地，割与不割，何关存亡？	Vua Lê đã không giữ nổi nước nhà thì các trấn từ Thanh Hóa trở ra, chúng tôi không lấy, người khác cũng sẽ lấy. Nghệ An là một mảnh đất cỏn con, cắt hay không cắt có quan hệ gì đến việc mất còn của nước nhà mà phải đi xa xin xỏ cho mất công trèo non lội suối.
远来祈请，徒苦跋涉，只恐离巢之鸣，到飞归时，无枝可栖耳。」	Tôi chỉ e rằng con chim đã lìa tổ, đến lúc bay về lại không có cành để đậu nữa mà thôi!
灿默然，闻者大恐。	Xán im lặng, mọi người nghe nói đều sợ hãi.
及出，谓儒曰：「西山人行兵如飞，趋利太急，观其去来，倏忽神速，御不可得，追不可及，古来未闻有如此敌者。	Đến lúc trở ra, Xán bảo Nho rằng: - Người Tây Sơn hành binh như bay, tiến quân rất gấp. Xem họ đi lại vùn vụt mau chóng như thần, chống không thể được, đuổi không thể kịp, xưa nay chưa hề nghe có giặc nào như thế.
吾意中远虑，逆防未然，曾于行间嘱鹏公如此如此，不审阿公记否？	Ý tôi đã lo xa, phải đề phòng trước, lúc đi đã dặn ông Bằng phải như thế, như thế, không biết ông ấy có nhớ không?
若少辽缓，不及事耳。」	Nếu hơi chậm trễ, việc sẽ không kịp.
嗟叹良久乃行。	Nói xong, than thở hồi lâu rồi đi.
儒又言于灿曰：「看彼主将，密谋图我，已有定局，年前尊扶，还是假托，豺狼野心，决不可以仁义说。	Nho bèn nói với Xán rằng: - Xem mưu kín của chủ tướng họ, thì việc thôn tính nước mình họ đã sắp đặt sẵn sàng. Việc tôn phù năm trước chẳng qua chỉ là mượn cớ mà thôi. Bọn lang sói vốn sẵn bụng ác, quyết không thể nói bằng nhân nghĩa.
今使轺出境，国城受兵，事势太迫，宜权变以图之，不可胶柱。	Bây giờ xe sứ thần đã ra khỏi bờ cõi, kinh thành sắp bị nạn đinh đao, sự thế quá gấp, phải tính đường quyền biến để làm cho được việc, không nên câu nệ.
且观鹏公自得志以来，黄金横带，气体洋洋，不比曩时咬菜根能做事者。	Vả xem ông Bằng từ khi đắc chí đến nay, đai vàng ngang lưng, bộ dạng nhơn nhơn tự đắc, không còn như hồi trước "nhá rễ cây mà làm nên việc".
窃恐惴惴临戒，必为文任所获，吾皇去留亦未可卜。	Tôi e rằng ông ta lính quýnh ra trận, thế nào cũng bị Võ Văn Nhậm bắt mất. Lúc đó vua ta đi hay ở lại, cũng chưa dám chắc.
吾辈作何筹算，以默运机括，庶可挽回，求以安国家，专之亦无妨。	Chúng ta phải trù tính thế nào để ngấm ngầm xoay lại then máy, may ra mới có thể cứu vãn được. Chỉ cần cho nước được yên, dầu có tự tiện cũng không hề gì.
若徒遵奉原旨，争辨乂安之事，所谓盗既入室，而犹修其藩离，非计之得也。	Nếu cứ vâng chỉ cũ, cố tranh cãi về việc Nghệ An, thì đúng như người ta vẫn nói: "Cướp đã vào nhà còn sửa phên dậu". Như thế thật là thất sách.
请且改易国书以行。」	Vậy xin chữa lại quốc thư để mang đi.
灿曰：「改之如何？」	Xán nói: - Chữa! Chữa như thế nào?
儒曰：「改称『郑氏专国，黎君已无天下，幸赖贵王尊扶，天若祚黎，宫车何至晏驾，嗣孙冲龄，深惟不克负荷，以辱社稷。	Nho nói: - Chữa rằng: "Họ Trịnh chuyên quyền, vua Lê đã không còn nước. May nhờ quý quốc vương tôn phò. Nếu trời còn phù hộ nhà Lê, tiên đế đâu đến nỗi qua đời. Tôi là cháu kế tự còn nhỏ tuổi, nghĩ rằng gánh vác không nổi, để nhục cho xã tắc.
书曰作宾，诗曰有客，皆前代故事，请胙土世袭，以奉尊祧，实顺天命以自存，邀吴眷于无疆也』。	Kinh thư có chữ "làm khách", Kinh thi nói rằng "có khách" (hai câu này đều có nghĩa là muốn nhường nước cho người khác. Ở đây, tỏ ý nhường cả nước cho Tây Sơn, và chỉ xin cắt lại cho một mảnh để vua Lê lấy chỗ thờ cúng tổ tiên mà thôi), đều là việc cũ đời xưa. Kính xin cắt cho một phần đất để được nối đời thờ phụng tổ tiên. Thật là thuận mệnh trời để mà sống còn, cầu lòng thương của trời về dài lâu vậy!".
彼志在取国，无心图我，见此喜心油生，必放使臣回国，分土居之，我因得奉吾国皇上栖于此地，彼既无疑我心，便不复来窥伺，我继此徐图，如少康之纶邑、勾践之会稽，中兴自当有日。	Nếu họ chỉ muốn giữ nước, không có bụng làm hại mình, thấy nói như thế chắc hẳn phải mừng rỡ, thế nào họ cũng thả sứ thần về nước và chia đất cho ta. Nhân thế ta có thể khuyên vua ta hãy tạm ở đất ấy. Họ không có lòng ngờ ta, thì sẽ không đến dòm giỏ nữa. Bấy giờ ta sẽ lo tính dần dần như vua Thiếu Khang ở Luân ấp, vua Câu Tiễn ở Cối Kê, tự nhiên sẽ có ngày trung hưng.
不然彼怒而逞残，吾辈徒为海噬之鬼，固不足言，吾皇羁旅丧亡之余，无尺土为阶，虽有孔明之才，亦难措手矣！」	Nếu không thế, họ đã tức giận mà ra tay hung tàn, thì bọn mình chỉ làm ma biển khơi. Điều đó tuy chẳng đáng kể nhưng vua ta sau khi phiêu bạt, long đong, không còn tấc đất để nương tựa, thì dẫu đến tài như Khổng Minh cũng khó lòng mà trở tay.
灿曰：「不可。	Xán nói: - Không được!
鹏公结发从戎，老于行阵，设若国城受兵，想亦不甚狼狈。	Ông Bằng theo việc quân từ lúc đầu còn để chỏm, là tay lão luyện trong chốn trận mạc, nếu như đô thành mắc nạn binh đao, tưởng cũng không đến nỗi khốn đốn lắm.
两国交争，得失未决，我辈衔命出疆，遽已易书矫诏，非惟获罪于国，若敌人勘得欺罔，亦不容我，为祸更大，贻笑无穷。	Hai nước đánh nhau, chưa biết ai thua ai được. Chúng ta vâng mệnh đi sứ, mới ra khỏi cõi mà đã chữa quốc thư, mạo lời chúa, chẳng những bị tội với nước mình, mà nếu bên địch khám phá ra chỗ lừa dối đó, họ cũng không dong mình; tai vạ càng lớn, tiếng cười không biết bao giờ mới hết.
不如明白行之，事之成败有天在也，我何忧焉！」	Chi bằng cứ minh bạch mà làm, việc thành hay bại là tại ông trời, ta có lo gì.
儒自是不敢复言。	Từ đó Nho không dám nói nữa.
既至富春，陈其品币，谒见，灿奉上国事。	Khi đến Phú Xuân, các sứ thần bày lễ vật vào yết kiến Bắc bình vương. Xán trình quốc thư lên.
北平王看了一遍，掷书于地，厉声曰：「那书是谁人做？	Bắc bình vương xem qua một lượt, rồi vứt xuống đất mà nói to: - Thư này ai làm?
说出全无义理，北河诸人惯以口舌啖人，我非儿子可欺也。」	Nói ra toàn điều vô nghĩa lý. Người Bắc quen dùng lời lẽ để dử người. Ta không phải trẻ con mà lừa dối được đâu!
灿神色不变，从容言曰：「王且息怒，容臣明言，若欲杀臣，请一言以死。」	Xán vẫn không đổi nét mặt, ung dung trả lời: - Xin đại vương hãy bớt giận, để tôi nói rõ. Nếu muốn giết tôi, tôi cũng xin nói một lời rồi chết.
北平王素重灿，改容谓曰：「昔我驾海北出，破升龙灭郑氏，举国震惊，朝野束手，莫敢谁何。	Bắc bình vương vốn trọng Xán, liền đổi nét mặt mà rằng: - Ngày xưa ta vượt biển ra Bắc, phá Thăng Long, diệt họ Trịnh, cả nước khiếp sợ, trong triều ngoài nội đều chịu bó tay, không ai dám làm gì.
此回使据有其国，称帝称王，亦奚不可？	Lúc bấy giờ nếu ta chiếm giữ đất nước, xưng đế, xưng vương, gì mà chả được?
惟我远慕先帝之德，挈土宇而全归之，一统舆图，皆我再造。	Nhưng vì ta xa mến đức của tiên đến, nên đem cả cõi đất nguyên vẹn trả lại ngài. Cơ đồ thống nhất đều do tay ta gây dựng lại.
北朝却以上公制册为报，不知上公是甚名号？	Bắc triều lại dùng chế sách "thượng công" để đền đáp ta. Chẳng biết "thượng công"? là danh hiệu gì?
于我何加？	Đối với ta có thêm được cái gì không?
已而先帝宾天，山陵大礼，我为周旋；嗣王承统，册立大礼，我为主张，今不此之德，纳我叛人，与我争衡，谋争乂安之地，以若所为，人情忍耐得否？	Kịp đến khi tiên đế chầu trời, lễ cả sơn lăng, ta giúp đỡ cho: tự vương nối ngôi, lễ lớn sách lập, ta chủ trương cho. Nay không cảm ơn những việc của ta làm, lại chứa chấp kẻ phản ta, chống cự với ta, mưu đồ dành lại đất Nghệ An. Xử sự như thế, nhân tình có ai nín nhịn được không?
我已派出兵马二万，使左军武文任领之，直抵升龙，馘贼整父子以献。	Ta đã phái ra hai vạn binh mã, sai tả quân Võ Văn Nhậm thống lĩnh, thẳng tới Thăng Long, chặt đầu cha con giặc Chỉnh về dâng.
自料整闻我军出，必挟嗣孙以走，不知锋镝之下，玉石不分，嗣孙得保无恙否？	Chắc rằng khi Chỉnh nghe tin quân ta kéo ra, thế nào cũng kèm tự tôn bỏ chạy. Bấy giờ ở dưới gươm đao, ngọc đá lẫn lộn, không biết tự tôn có giữ được yên lành hay không?
国人反以归恐于我！」	Nếu có làm sao, người trong nước lại qui oán về ta thì thật phiền.
灿对曰：「昔黎太祖平吴开国，功德如天，圣尊躬致太平，光前裕后。	Xán thưa: - Xưa đức Lê Thái tổ dẹp yên quân Ngô, mở mang nước nhà, công đức như trời. Vua Thánh tông tự mình làm nên thái bình, rạng danh đời trước, mở rộng về sau.
石碑以北，大岭以南，共惟臣庶，罔不尊亲，垂及百年。	Từ núi Thạch Bi ra bắc, từ dẫy Đại Lĩnh (Thạch Bi ở Quảng Nam (Quảng Nam Đà Nẵng) Đại Lĩnh ở Khánh Hoà (Phú Khánh)) vào nam, đều làm tôi làm dân, ai ai cũng phải tôn kính, trải qua hàng trăm năm.
莫氏亻替干，国情咸愤，先王纠合同志，复立黎氏，郑氏继之，亦以扶黎为名，故能号令四方，人皆回应。	Họ Mạc tiếm ngôi, cả nước đều giận. Đấng tiên vương hội họp những người đồng chí, dựng lại họ Lê. Họ Trịnh nối theo cũng vì có công phò Lê, cho nên mới sai bảo được bốn phương, và được mọi người hưởng ứng.
数世以来，虽云胁制，而正朔所在，锺虞不迁，天下固黎之天下，大王一驾，直抵京城，虽日威声有截，亦惟尊扶大义，人所信服，不然入人之国，安得若是容易？	Từ mấy đời nay, chúa Trịnh tuy là hiếp chế vua Lê, nhưng chính sóc không đổi thay, chuông khánh vẫn ở đấy (Chính sóc là ngày mùng 1 tháng giêng; xưa các vua sáng nghiệp khi lên ngôi thường đổi chính sóc, đây mượn ý đó để nói đến quyền vua. Chuông khánh (nguyên văn là chuông và giá khánh) là những đồ thờ của nhà vua; đây ý nói miếu đường của nhà vua vẫn tồn tại), thiên hạ vẫn là thiên hạ của nhà Lê. Đại vương ruổi xe một mạch, thẳng đến kinh thành, tuy rằng oai danh đã vang dậy khắp nơi, nhưng cũng do lấy nghĩa cả tôn phò, khiến người ta tin phục, mới được như vậy. Nếu không, việc vào nước người ta, đâu có dễ dàng như thế.
先帝一见王，礼貌极隆，公爵册命，继而封王，自是本朝故典，非酬答之不加，不可以是见薄。	Tiên đế thoạt thấy đại vương, tiếp đãi rất là long trọng. Trước ban sách mệnh làm tước công, rồi sau sẽ phong vương, đó là điển cũ của bản triều, không phải trả ơn không hậu, chớ nên thấy như thế mà cho là bạc.
三百余年之国，上帝享之，人心戴之，大王挈土宇而全归之，乃所以顺天意副人望，未可以是为德。	Một nước đã trải hơn ba trăm năm, trời cao chứng giám, lòng người tôn sùng. Đại vương đem cả cõi đất trả lại nguyên vẹn, là thể thuận ý trời, chiều lòng dân, chưa có thể lấy đấy làm ơn.
先帝临崩，皇上继立，事事皆先禀白，大王不为之主而谁主之，理到那里住不得，臣不敢云云，以誉美而献谀也。	Tiên đế mất đi, hoàng thượng nối ngôi, mọi việc đều bẩm trước với đại vương. Đại vương không làm chủ thì ai làm chủ nữa. Lý đã đến thế, đừng cũng chẳng được. Tôi không dám khen ngợi để dâng lời ton hót.
大军南还，阮有整尾从，大王留之乂安，何以指之为叛？	Đại quân về Nam, Nguyễn Hữu Chỉnh đuổi theo, đại vương để hắn ở lại Nghệ An, sao lại bảo hắn làm phản?
乂安故辖，本朝守其封土，何以名之曰争？	Nghệ An vốn là đất cũ của bản triều, bản triều phải giữ lấy bờ cõi, sao lại nói là tranh giành?
王派出兵马，以聘问来，本朝例有迎接，否则昔人有言『大国有征伐之兵，小国有备御之固』。	Đại vương phái binh mã ra, nếu là để thăm hỏi, bản triều đã có lễ nghênh tiếp. Bằng không, thì như người xưa đã nói: "Nước lớn có quân đánh dẹp, nước nhỏ có cách chống giữ".
臣已越境，事非敢知。	Tôi nay đã ra khỏi cõi, việc ấy không còn dám biết đến.
臣国嗣皇天既命之为君，帝王有真，锋镝亦有所择，王请勿忧。	Tự hoàng của nước tôi, trời đã sai làm vua, đế vương có chân mệnh, gươm đao cũng phải lựa chọn, đại vương chớ có lo.
王顺而行之，兴衰继绝，以定黎国，臣民孰不戴之功若德，又何怨焉？	Nếu như đại vương cứ thuận lẽ trời mà làm, gây lại nước đã suy, nối lại họ đã dứt, để cho nước của nhà họ Lê được yên ổn, thì những người làm tôi làm dân trong cả nước ai chẳng cảm đội công đức, còn có oán gì?
不然世变事殊，非愚臣之愚所能逆睹也。」	Nhược bằng làm trái lại, thì sự thế thay đổi khác thường, tôi đây ngu dại, không thể nào mà thấy trước được.
反复论辨，一无所屈。	Xán cứ cãi đi cãi lại mãi, không chịu khuất phục một lời nào.
日向暮，北平王曰：「第出就馆，再三思之。」	Đến lúc trời sắp tối, Bắc bình vương bảo: - Hãy ra nhà trọ mà nghĩ đi nghĩ lại cho kỹ!
灿曰：「三思反惑，一死便足。」	Xán nói: - Nghĩ lắm luẩn quẩn lại dễ lầm lẫn, một chết là xong!
北平王怒，命锢之于狱，分送礻安儒等，各于别所监之。	Bắc bình vương nổi giận, sai đem giam Xán vào ngục. Bọn án và Nho cũng đều bị chia ra giam ở các nơi khác.
灿既就狱，言笑如常。北平王使人侦之，见灿书监所云：「违德有三，纵未能之，愿学，小心无二，行其素也何尤。」	Xán vào ngục, cười nói như thường, Bắc bình vương sai người đến dò, thấy Xán viết ở chỗ giam đôi câu đối như sau: Đạt đức hữu tam, túng vị năng chi, nguyện học. Tiểu tâm vô nhị, hành kỳ tố dã, hà vưu? (Nghĩa là: Đạt đức có ba, dù chẳng làm nên xin học. Giữ lòng như một, noi theo chí cũ, oán gì?)
