第二回。	Hồi thứ hai.
杨太妃使其娣郡夫人杨氏哀诉子晖郡曰：「妾家妹官嫔杨氏与王季子遥致辞叩拜长官阁下：季子有罪，废黜是甘，但今地嫌势逼，不胜危惧，万望长官垂怜，曲为保全，再生之德，刻骨铭心。」	Mẹ thế tử là thái phi họ Dương nhờ người chị là quận phu nhân họ Dương kêu van với quận Huy rằng: - Em thiếp là cung tần Dương thị mỗ và con út chúa là vương tử mỗ xin gửi lời lạy trình quan lớn xét cho: Đứa con út đó có tội, gạt bỏ là phải, không dám phàn nàn. Nhưng nay nó ở vào cảnh ngộ hiềm nghi, tình thế cấp bách, khôn xiết nguy hiểm sợ hãi. Vậy muôn vàn lần mong mỏi quan lớn hãy rủ lòng thương, che chở cho nó được toàn vẹn; công ơn cứu sống của ngài, mẹ con nó xin ghi xương tạc dạ.
晖郡泣答曰：「仆事先王，最承恩遇，义为君臣，恩犹父子。	Quận Huy vừa khóc vừa trả lời: - Tôi thờ tiên chúa, được chịu ơn huệ đã nhiều, nghĩa tuy là vua tôi, nhưng tình là cha con.
季子，吾王之子也。仆有何心，愿天地殛之！	Thế tử cũ cũng là con của chúa tôi, tôi có lòng nào, thì xin trời đất tru diệt.
夫人归为仆致辞，遥拜王子与贵嫔帏次，请且放怀，仆周旋其间，保无他虞。」	Phu nhân trở về, cho tôi gửi lời trình trước màn tang của vương tử và quý cung tần rằng, xin cứ yên lòng, tôi sẽ hết sức giúp đỡ, không có điều gì phải lo ngại.
自是密饬四队，令监制从宽，家臣旧人遂得出入通行，无苛祭者。	Rồi Huy bí mật sức cho bốn đội quan quân, ra lệnh phải lỏng lẻo bớt trong việc giam giữ thế tử. Từ đó các gia thần và các người thân tin cũ của thế tử mới được ra vào dễ dàng, không ai xét hỏi.
世子有膳夫誉武，为人有心机，言语明辨。	Thế tử có người đầu bếp tên là Dự Vũ, vốn là người cơ trí, nói năng rành mạch.
世子尝问外间人情何如？誉武曰：「先王废嫡立少，人皆忿疾，军情为甚。	Một hôm, thế tử hỏi bên ngoài lòng người ra sao, Dự Vũ đáp: - Nhà chúa bỏ con cả lập con út, thiên hạ đều căm ghét, nhất là quân lính lại càng bất bình lắm.
顷者新王袭位，照故事颁赐诸军缗钱有差，诸军沸腾，有不肯受赐，晖郡为旨谕严戢，只得勉强听从，而心怀不平。」	Hôm nọ trong khi tân chúa lên ngôi, theo lệ có ban tiền bạc cho các quân sĩ, nhưng trong quân nhao nhao, có kẻ không chịu nhận tiền ấy. Sau, quận Huy phải ra lệnh nghiêm cấm, họ mới miễn cưỡng nghe theo, mà trong lòng vẫn còn hậm hực.
世子心中暗喜，谋于家臣小竖嘉寿。	Thế tử mừng thầm, đem chuyện ấy bàn với một viên gia thần tên là Gia Thọ.
寿、嘉林钵场人，亦有智识。言于世子曰：「人情如此，能以义动，使一心尊扶，则大业定矣。」	Thọ người làng Bát Tràng, huyện Gia Lâm, cũng là kẻ tinh khôn; hắn nói với thế tử: - Lòng người như thế, nếu lấy nghĩa khí mà khích động, khiến cho họ một lòng tôn phù, thì việc lớn ắt thành.
世子大喜，乃使誉武为酒肴，邀诸亲军卞吏宴饮，而告之曰：「世子无罪，被邓氏孽妇蛊惑先王，诬构陷害，以夺其位。	Thế tử mừng lắm, bèn sai Dự Vũ làm cơm rượu, mời bọn biện lại trong đám thân quân tới đánh chén, rồi nói với họ rằng: - Thế tử chẳng có tội gì, nhưng bị mụ đàn bà ác nghiệt họ Đặng làm mê hoặc tiên chúa, vu tội hãm hại thế tử để cướp ngôi.
晖郡素有反志，利王子杆幼冲易制，与之附和，成其废立之事，而已自为辅，以售其僣夺之谋。	Còn quận Huy vốn có chí phản nghịch, lợi dụng vương tử Cán bé dại dễ kiềm chế, nên hắn mới vào hùa với mụ mà gây ra việc bỏ người này lập người kia, để hắn làm phụ chính cho tiện cái mưu cướp nước của mình.
今王抱恙危剧，变在旦夕，不知王家基业，谁人主之。	Nay tân chúa bị bệnh nặng, sự nguy biến chỉ trong sớm tối. Không biết rồi đây cơ nghiệp nhà chúa sẽ do ai làm chủ?
三军皆汤沐之邑，应义之兵，为国爪牙，素坏忠义，倘念王家二百年养育之恩，常一心翊扶，奠宁王室，或者天相其成，铁券丹书，留传万代。」	Ba quân đều là người ở đất "thang mộc" ("thang mộc" nghĩa là tắm gội. Đất "thang mộc" là đất thiên tử phong cho các chư hầu, để làm nơi cung đốn việc tắm gội hoặc nơi ăn ngủ trước khi vào chầu. Do đó, đất "thang mộc" cũng dùng để trỏ chung đất quê hương của vua chúa. ở đây đất "thang mộc" trỏ vào Thanh Hoá, đất quê hương của vua Lê.) và là binh lính ứng nghĩa, làm nanh vuốt của nhà nước, ai cũng sẵn lòng trung nghĩa. Nếu anh em còn nghĩ đến cái ơn của nhà chúa nuôi nấng trong hai trăm năm, thì hãy nên một lòng giúp đỡ nhà chúa. Mai đây nếu trời cho xong việc, tất nhiên sẽ có sách son, khoán sắt (văn thư viết bằng son, khoán ước chế bằng sắt, ban cho bầy tôi có công để tỏ ý cùng được hưởng phú quí lâu dài với nhà vua) lưu truyền muôn đời.
众咸曰：「臣等皆有此心，但未知王子意下如何？	Mọi người đều nói: - Chúng tôi vẫn có bụng đó, nhưng chưa biết ý vương tử ra sao.
恐到那时，或有惊动，又谓臣等惹事。	Sợ đến lúc ấy nhỡ có điều gì kinh động, người lại quở trách chúng tôi gây việc.
今王子既开此意，这事定是不难。」	Nay vương tử đã ngỏ ý cho biết như thế, thì việc này chắc không khó gì.
乃私相通报，齐会于看山寺。	Sau đó, họ bèn ngầm đi báo cho nhau, hẹn ngày tụ họp ở chùa Khán Sơn (chùa Khán Sơn xưa ở trên trái núi đất gần khu vực vườn Bách Thảo Hà Nội, chùa bị phá từ cuối đời Cảnh hưng).
诸军赴会，说起这事，莫不奋发。	Lúc quân lính đến hội họp, bàn về việc ấy không ai là không hăng hái.
但慑晖郡声势，未知起事如何稳当。	Nhưng họ còn sợ thanh thế quận Huy, nên chưa biết khởi sự như thế nào cho ổn thoả.
正商议间，一人奋然言曰：「但恐军心不齐耳！	Giữa lúc đang bàn bạc như thế, thì bỗng một người đứng phắt lên nói: - Chỉ sợ anh em không cùng một bụng thôi.
如使三军一心，不过乘朝奠礼毕，打府堂鼓一通为号，趁来拽他脚，倒跌于阶下，一跌便了。」	Chứ nếu ba quân đồng lòng, thì bất quá chỉ thừa dịp cúng cơm sáng xong (theo tang lễ xưa, người chết khi chưa chôn thì gia đình mỗi ngày cúng hai lần cơm), đánh một hồi trống trong phủ làm hiệu, rồi kéo ùa cả vào, nắm cẳng hắn, vứt chỏng gọng xuống dưới thềm một cái là xong thôi mà!
众皆欢声应之。视之，则捷宝队卞吏朋武也。	Mọi người đều reo mừng hưởng ứng, và cùng nhìn về phía kẻ mới nói, thì ra đó là viên biện lại của đội Tiệp bảo (đội thân binh hầu hạ) tên là Bằng Vũ.
这朋武乂安处清障县人，其先祖为中兴功臣，中间荫尽寒微，邑人顶替为另，其人短小，清秀如儒生，既隶本队，以识字得为卞吏。	Gã Bằng Vũ này là người huyện Thanh Chương, xứ Nghệ An, ông cha vốn là công thần đời Lê trung hưng. Về sau tập ấm (đây dịch theo hai chữ ấm tận. Trong chế độ phong kiến, những kẻ làm quan, tuỳ theo thứ bực, con cháu đều được nối nghiệp làm quan gọi là tập ấm; đến lúc nào không được hưởng tập ấm nữa thì gọi là ấm tận) đã hết, con cháu trở nên nghèo nàn. Bằng Vũ được người làng thuê đi lính thay. Gã người thấp bé, thanh nhã như dáng học trò. Sau khi vào đội Tiệp bảo, nhờ biết dăm ba chữ, gã được làm chân biện lại.
在京常为人做状词，为刁唆之黠。	ở kinh, gã thường làm mướn đơn kiện cho người ta, vẫn lừng tiếng là tay điêu toa trong việc xui nguyên giục bị.
至是首唱其议，众推为谋主，请朋先击鼓以率三军。	Lúc này Bằng Vũ thủ xướng ra lời bàn đó, cả bọn liền bầu ngay gã làm chủ mưu, giao cho gã đánh trống trước để thúc giục ba quân.
朋毅然当之，因相与歃血为誓，但不预定日期，只闻朋武鼓号，便各到来作事。	Bằng Vũ mạnh bạo nhận lời. Rồi cả bọn cùng nhau uống máu ăn thề. Nhưng họ không dự định ngày nào, chỉ hẹn nhau hễ nghe hiệu trống của Bằng Vũ thì cùng kéo đến để khởi sự.
密谋已定，有罗山安全人裴弼直知之，弼直乃乂安名士，时他以员外即逸任，居国舅炎郡公门下，即以其谋言于炎郡之子照岭伯，使之入伙，以规此功而已。	Mưu toan bí mật đã bàn định xong.
自为媒引，乃赴会谓诸军曰：「这事系是甚大，须凭国舅启知圣母，领旨而行。	Chợt lại có người nói: - Việc này hết sức quan hệ. Nên nhờ quốc cữu tâu với thánh mẫu, xin lĩnh ý chỉ của thánh mẫu mà làm.
万一晖郡识破，犹得密令执言，明白行之，方是万全之策。」	Vạn nhất quận Huy có biết, mình còn có mật lệnh làm cớ để mà nói, tỏ rằng mình vẫn làm việc minh bạch. Như thế mới là kế vạn toàn!
诸军原不须策旨，但见国舅有人在会，却之恐露，且听得有理，乃相与就见炎郡。	Người ấy là Bùi Bật Trực, quán làng An Toàn, huyện La Sơn, một tay danh sĩ xứ Nghệ. Bật Trực trước đã từng làm chức viên ngoại lang, hồi này vì bị mất quan vẫn nương nhờ ở trong nhà quốc cữu Viêm quận công (Viêm quận công Nguyễn Trọng Viêm là em mẹ Trịnh Sâm, do đó gọi là quốc cữu). Khi bọn biện lại hẹn quân sĩ đến tụ tập ở chùa Khán Sơn, Bật Trực cũng đã nghe phong thanh. Gã liền đem mưu mô của bọn quân sĩ nói nhỏ với Chiếu Lĩnh Bá (tức Nguyễn Trọng Chiếu), con Viêm quận công, và khuyên nên nhập bọn để hớt lấy công ấy. Còn bản thân gã thì đứng ra làm người manh mối giữa Chiếu Lĩnh Bá và bọn quân sĩ. Vì thế, nên gã mới đến dự cuộc họp để nói với bọn họ như vậy. Quân sĩ vốn không cần chỉ của thánh mẫu, nhưng thấy người nhà quốc cữu cũng có mặt trong cuộc hội họp, khước từ sẽ lộ chuyện. Vả lại, lời của Bật Trực nghe cũng có lý, họ bèn cùng đi với Bật Trực đến gặp quận Viêm.
诸军未至，照岭先以其事言于其父。	Lúc quân sĩ chưa đến, Chiếu Lĩnh Bá đã đem chuyện nói trước với cha.
其父为人庸常，闻此大事，惊曰：「彼卒徒粗卤轻率为之耳！何得干预。	Cha hắn ta vốn là người tầm thường, nghe thấy chuyện đó thì sợ lắm, bèn nói: - Lũ lính tráng này là đồ thô lỗ, khinh suất nên mới làm việc ấy: mình can dự vào làm gì?
王子还为王，某人为之，我亦不失为前朝国舅。	"Con vua thì lại làm vua". Ai làm chúa ta cũng vẫn không mất cái chân là quốc cữu tiền triều.
今反求功，纵成也，富贵不加多。万一败露，无葬地也。」	Nay lại muốn cầu công trạng, nếu việc thành, ta không thể giàu sang hơn thế này nữa; mà ngộ nhỡ công việc vỡ lở, hẳn là chết không có đất chôn!
其子曰：「他等约议已成，事在必发，发得在必济，拒之，枉错了一好机会，纵大人富贵已满，岂不当使儿等及时做功名，儿业已许他，拒也亦不得。」	Chiếu Lĩnh Bá đáp: - Bọn họ bàn bạc, ước hẹn với nhau đã đâu vào đấy rồi. Thế nào nay mai họ cũng ra tay, mà đã ra tay là phải xong việc. Cự tuyệt họ tức là bỏ uổng cơ hội. Vả chăng sự giàu sang của cha dẫu đã đầy đủ rồi thật, nhưng cha cũng nên để cho chúng con nhân dịp này mà lập công danh. Hơn nữa con đã trót hứa với họ, bây giờ dù có muốn thoái thác cũng không thể được.
有顷，诸军齐至，炎郡不得已出见，谓曰：「诸军且有心为国，小职敢有何心？	Một lát quân sĩ kéo đến. Quận Viêm bất đắc dĩ phải ra tiếp. Sau khi nghe họ nói, quận Viêm trả lời: - Các anh em còn có lòng vì nước, tôi đây há lại dám có bụng dạ nào khác.
但当就家侄副知兵番阮兼家，教伊员入禀圣母，伊员职知舍史，出入黉宫，人无疑讶，小职自当附语启闻。」	Có điều anh em muốn xin ý chỉ của thánh mẫu, thì nên đến nhà cháu tôi là viên phó tri binh phiên Nguyễn Kiêm mà bảo viên ấy vào bẩm với thánh mẫu. Viên ấy giữ chức tri lệnh sử, nên ra vào cung Huỳnh người ta sẽ không nghi ngờ. Còn tôi, tôi cũng xin gửi lời trình thêm với thánh mẫu nữa.
诸军乃至兼家。	Quân sĩ nghe lời, lại kéo cả sang nhà Nguyễn Kiêm.
兼又素性怯，闻诸军言，惶恐力辞。	Kiêm vốn là hạng hèn nhát, nghe quân sĩ nói thì hoảng hốt chối đây đẩy.
诸军曰：「这事已禀知国舅，如此如此。」	Nhưng bọn người vẫn cố nèo: - Việc này cũng đã bẩm với quốc cữu và Người đã dạy như thế.
乃逼兼就炎郡家，受密语入启圣母。	Rồi họ thúc ép Kiêm phải đến nhà quận Viêm để nhận lời dặn mà vào tâu với thánh mẫu.
原来废长立少，圣母心所不喜，一得此谋正中其意，但未脱妇人气味，恐这事或败露，祸连国舅，欲阴诱晖郡使季子摄位，免其生变，且思七辅之臣，惟完郡公师傅，又是阮兼妇翁，其心可信，且老儒多智，亦可与谋。	Nguyên việc bỏ con lớn lập con nhỏ, thánh mẫu vốn không hài lòng, vì vậy khi được nghe mưu toan ấy, thánh mẫu đã thấy hợp ý ngay. Nhưng dẫu sao cũng chưa thoát khỏi chí khí đàn bà, thánh mẫu sợ nhỡ công việc bại lộ, quốc cữu sẽ bị vạ lây; nên muốn hãy ngầm dỗ dành quận Huy để hắn đưa thế tử Tông lên quyền ngôi chúa cho khỏi sinh biến. Lại nghĩ trong bọn bảy tên phụ chính, chỉ có quận Hoàn vừa là thầy học của chúa trước vừa là bố vợ Kiêm, bụng dạ có thể tin được, mà lại là bậc lão nho có nhiều mưu trí, có thể cùng bàn mọi việc với ông ta.
乃命阮兼一面报诸军迟来数日；一面谋于完郡。	Thánh mẫu bèn bảo Nguyễn Kiêm một mặt báo cho bọn quân sĩ hãy chậm khởi sự lại vài ngày, còn một mặt thì tới bàn mưu với quận Hoàn.
常郡曰：「诸军为此惹起许多事来，圣母睿断，实社稷之福。	Quận Hoàn nói: - Nếu ba quân làm như thế, tất sẽ gây ra rất nhiều việc lôi thôi. Nay thánh mẫu quyết đoán sáng suốt như vậy, thực là phúc cho xã tắc.
老臣智不越此，但请以圣旨谕晖郡，老夫当从中赞成。」阮兼复命。	Lão thần đây cũng không thể nghĩ hơn thế được. Nhưng xin thánh mẫu hãy hạ chỉ dụ quận Huy, còn tôi ở trong sẽ nói thêm vào. Kiêm đem lời ấy tâu với thánh mẫu.
圣母乃使人告晖郡曰：「今新王抱恙，国内危疑，将军倘念社稷为重，当从权，许季子摄政，以安人心。	Thánh mẫu bèn sai người bảo quận Huy rằng: "Nay tân chúa bị đau, trong nước đang lo lắng, nghi ngờ. Tướng quân nếu còn coi xã tắc là trọng thì, hãy nên tạm để cho vương tử Tông lên quyền ngôi chúa để yên lòng người.
待新王长成，复还政退休，终守臣节，将军宜以此意白宣妃，仍使季子事宣妃为养母，而以将军为阿保，幸为斡旋。」	Đợi khi nào tân chúa trưởng thành, vương tử Tông sẽ lại trao trả chính quyền và lui về giữ trọn đạo làm tôi. Tướng quân nên đem ý đó bày tỏ với Tuyên phi và để vương tử Tông nhận Tuyên phi làm mẹ nuôi, lấy tướng quân làm a bảo. Mong rằng tướng quân hãy hết sức giúp đỡ cho được chu toàn!".
晖郡答曰：「小臣履遥拜圣母，圣母念及社稷至计，小臣敢不惟命，但此事非先王本意，臣受先王托孤，丁宁付嘱。	Quận Huy đáp lại rằng: "Lý tôi gửi lạy dưới cửa thánh mẫu. Thánh mẫu đã lo đến việc lớn của xã tắc, tôi đâu dám chẳng vâng mệnh. Nhưng có điều việc này không phải ý của tiên vương. Tôi được tiên vương trao gửi con bồ côi, ngài đã dặn dò rất cặn kẽ.
今梓宫在殡，骤改其命，臣心有所不安，请置为后图。	Nay tử cung (quan tài của vua chúa) còn quàn tại đây mà đã thay đổi mệnh ngài, lòng tôi tự thấy không yên. Vậy chuyện này xin hãy để liệu sau.
且先王无别子，惟新王与季子耳，如新王弗克负荷，季子定当次及，实时以正相承，岂不甚美？	Vả tiên vương cũng không còn người con nào khác, chỉ có tân chúa và vương tử Tông mà thôi. Nếu tân chúa không gánh vác nổi công việc, thì sau đó tất là phải đến vương tử Tông.
何须急遽，为此反常之事。	Lúc đó vương tử Tông cứ việc đường hoàng mà thay thế, há chẳng tốt đẹp hơn sao, cần gì phải vội vã hấp tấp, làm việc trái với lẽ thường như vậy?
夫危者久自安，疑者久自信，愿圣母宽怀。」	Còn như kẻ lo lắng, thì lâu rồi họ khắc yên lòng; kẻ nghi ngờ, lâu rồi họ khắc tin tưởng. Dám xin thánh mẫu cứ yên tâm... ".
使者出，未踰阈，晖郡曰：「这事虽打死我也不听。」	Sứ giả ra chưa khỏi cửa, quận Huy đã hằn học: - Việc này dẫu có đánh chết ta cũng chẳng nghe!
使者复命。	Sứ giả về thuật với thánh mẫu.
圣母知晖郡志不可夺，复告阮兼，兼恐事泄祸及，再谋完郡。	Thánh mẫu biết chí của Huy không thể lay chuyển, bèn đem lời Huy nói lại với Nguyễn Kiêm. Kiêm sợ việc lộ, vạ lây, lại đến bàn với quận Hoàn.
完郡曰：「今事势如此，且听三军所为，会有佥知兵番陈有求，东山万禄人，本社兵以事告他，他性喜事，又善为文。	Quận Hoàn nói: - Bây giờ sự thế đã như vậy, thôi thì mặc cho ba quân họ muốn làm gì thì làm! Tình cờ có một tên lính ở xã Vạn Lộc, huyện Động Sơn, đem các công việc báo với người cùng làng làm viên thiêm tri binh phiên Trần Hữu Cầu.
即撰三军扶正檄文，阴粘通衢。	Cầu vốn tính hiếu sự, lại giỏi làm văn, tức thì soạn ngay bài hịch Ba quân phò chính, rồi ngầm đem dán ở khắp các đường phố.
由是畿内喧哗，此谋发露。	Do đó, trong kinh kỳ nôn nao cả lên.
朋武以为势不得住，决以次日举事，不必启知圣母，时壬寅十月二十四日也。	Thấy chuyện đã vỡ lở như vậy, bọn Bằng Vũ cho là thế không thể đừng được, bèn quyết định ngay ngày hôm sau khởi sự, không cần phải tâu với thánh mẫu. Hôm ấy là ngày 24 tháng 10 năm Nhâm Dần (1782).
是先，晖郡知祸将发，肆言于朝曰：「来日有变，臣且死，但臣死亦须有三五人命相随。」	Bấy giờ quận Huy cũng biết tai hoạ sắp xảy ra, liền nói toạc ra ở trong triều rằng: - Ngày mai có biến, tôi sẽ chết. Nhưng tôi chết cũng phải có dăm ba mạng đi theo.
众官曰：「岂有此事？」	Các quan nói: - Lẽ nào lại có chuyện ấy?
晖郡乃自出一启，称辉伯启，言炎郡潜谋不轨，曰：「请官究治之。」	Quận Huy bèn đưa ra một tờ khải nói là Huy Bá tố cáo quận Viêm đang âm mưu làm phản và xin các quan hãy tra xét để trừng trị.
会日暮，晖郡家人或劝晖郡挟新王潜遁，召外兵以捕奸；或劝晖郡引义士入府堂自卫。晖郡曰：「从来习俗多好浮言，未必真有此事。	Gặp lúc trời sắp tối, người nhà quận Huy có kẻ khuyên hắn nên bế tân chúa đi trốn, rồi gọi quân bên ngoài vào bắt bọn gian; có kẻ khuyên hắn nên đưa nghĩa sỹ vào trong phủ để tự vệ... Nhưng quận Huy đều gạt đi mà rằng: - Xưa nay thói đời vẫn hay phao nhảm, chưa chắc việc đó đã có thật.
纵有之，徐当究出，终不能遁。	Mà dù có đi nữa thì cứ để thong thả rồi cũng tra ra, chúng nó trốn đi đằng nào được.
倘急不可治，吾受先王命，死生以之，何事怆惶。」	Nếu việc quá gấp không thể trị nổi bọn chúng, thì ta đây vâng mệnh của đấng tiên vương, sống thác cũng cam, cần gì mà phải hốt hoảng!
是夕，晖郡宿府中，只带仆随如常，略无设备。	Đêm ấy quận Huy ngủ ở trong phủ, cũng chỉ đem theo vài người hầu như mọi ngày, không hề phòng bị gì hết.
明日朝奠礼毕，百官方退朝，朋武鸣府堂鼓三通九点，众官相顾骇愕，晖郡使人闭阁门缚朋政，将斩之。	Sáng mai, lễ cúng cơm bữa sáng vừa xong, các quan đang sắp lui trào, Bằng Vũ vào trong phủ, đánh luôn ba hồi chín tiếng trống. Các quan ngơ ngác nhìn nhau. Quận Huy sai người đóng chặt cửa các, bắt trói Bằng Vũ đem chém.
朋武既就缚，垂忠侯谓晖郡曰：「彼为此谋，定非一人，若遽斩朋武，奸党漏网，不若付下监锢穷查，以绝乱荄。」	Khi Bằng Vũ đã bị trói rồi, Thuỳ trung hầu bảo quận Huy rằng: - Bọn chúng lập mưu này không phải chỉ có một đứa, nếu chém Bằng Vũ thì đảng gian sẽ lọt lưới hết. Chi bằng hãy giam nó lại, để tra xét thêm cho tiệt hết mầm loạn.
晖郡以为然，于是朋武免死。	Quận Huy cho là phải, thế là Bằng Vũ không bị giết chết.
却说诸军闻得鼓声，人人踊跃，各持兵器，争入府中。	Lại nói, quân lính nghe thấy tiếng trống tức thì người nào cũng nhảy nhót hăng hái, cùng cầm binh khí xô lấn nhau mà vào trong phủ.
时阁门已闭，诸军在外不得入，啖声动天地。	Lúc ấy cửa các đã đóng, quân lính ở bên ngoài không vào được, họ cứ đứng hò reo quát tháo long trời lở đất.
晖郡呼珠郡告之曰：「舅职掌兵番，如何不知戒戢？」	Quận Huy gọi quận Châu ra bảo: - Cậu (Quận Châu là bà con họ ngoại của chúa Trịnh, do đó gọi là cậu) giữ chức binh phiên, làm sao không biết răn đe chúng nó?
珠郡惶恐，唯唯而出。	Quận Châu sợ hãi, vâng dạ mà ra.
晖郡自作启云：「小臣履谨启，臣受先王付托，保辅王上，今三军为变，震惊宫阙，臣请受王命提兵诛之，克则王之灵也；如其不克，臣以一死见先王于地下。」	Quận Huy tự làm tờ khải rằng: "Lý tôi kính khải như sau: Tôi được tiên vương giao cho giúp đỡ nhà chúa. Nay đám ba quân nổi loạn, làm cho kinh khuyết náo động. Tôi xin vâng lĩnh mệnh chúa đem quân giết chúng. Nếu dẹp được, ấy là nhờ về oai linh của chúa, nhược bằng không dẹp được, tôi cũng xin liều chết để xuống ra mắt tiên vương ở dưới âm cung".
启成，授出纳进呈，仍请王宝剑讨贼。	Khải làm xong, quận Huy giao cho quan xuất nạp dâng trình, và xin lấy thanh bảo kiếm của chúa để ra đánh giặc.
宝剑出，晖郡跪受，即传车驾御象出战。	Khi bảo kiếm đưa tới, quận Huy quỳ gối lĩnh nhận, rồi lập tức truyền lấy voi để ra trận.
珠郡立于阁门内之左窦，隔墙谕诸军曰：「军有礼法，今梓宫在殡，不可喧腾，有所欲言，第归具启，其当为之题达。」	Lúc ấy quận Châu đang đứng ở phía trái trong cửa các, cách quân lính một bức tường, lên tiếng dụ họ rằng: - Làm lính phải biết lễ phép. Nay tử cung còn quàn ở đây, các người không được làm ồn ào như vậy. Nếu có điều gì muốn nói, cứ về viết một tờ khải đem lại, ta sẽ trình bày giúp.
诸军厉声曰：「舅亦从晖郡反耶？	Quân lính thét lớn: - Cậu cũng định theo quận Huy làm phản à?
舅不即开阁门，诸军锤墙而入，舅便为薤粉矣！」	Nếu cậu không mở ngay cửa ra, chúng tôi trèo tường mà vào, thì xác cậu sẽ nát như cám!
珠郡恐惧开门，诸军连肩而入。	Quận Châu run sợ, phải mở cửa. Quân lính chen vai xông vào.
晖郡挺剑上象出府堂中庭，挥诸军曰：「尔三军各归其所，无得喧闹，我斩汝头！」	Quận Huy chống kiếm lên voi, cưỡi ra giữa sân phủ, trỏ ba quân quát: - Bớ ba quân! các người phải đâu về đấy ngay, không được làm ầm ỹ, ta sẽ chém đầu chúng mày!
诸军素慑晖郡，见象凛然，皆坐听命，不敢出声，亦不敢犯。	Quân lính vốn sợ Huy, thấy hắn cưỡi voi, lại càng khiếp đảm, đều ngồi sụp xuống nghe lệnh, không dám lên tiếng, cũng không dám xông tới.
有顷，坐者皆起，转逼象前，晖郡象头向前而触之，诸军避象牙，旋象而趋，各以兵器剌斫之，或取府堂瓮瓦乱抛之，象卷鼻而吼，不敢触。	Nhưng chỉ được một lát, bao nhiêu người đang ngồi lại nhao nhao đứng dậy, kéo ập vào trước đầu voi. Voi vươn đầu ra húc, quân lính chạy quanh chân voi để tránh cặp ngà. Rồi họ lấy khí giới đâm chém túi bụi, có kẻ cạy gạch ngói ở phủ ném ra tới tấp, voi co vòi mà gầm không dám húc nữa.
晖郡挽弓，弓弦绝；引铳纳弹，火绝。	Quận Huy giương cung định bắn, chẳng may cung bị đứt dây; lại vớ lấy súng để nạp đạn, nhưng mồi lửa tịt không cháy.
诸军持长钩，钩下象奴而斩之，象却，诸军围象脚，晖郡以短稍放下刺之，伤数人，诸军至者益密。	Quân lính thừa dịp dùng luôn câu liêm lôi viên quản tượng xuống đất mà chém. Voi bước lùi trở lại. Quân lính xúm đến vây kín dưới chân voi. Quận Huy lấy mũi lao phóng xuống, làm bị thương vài người. Quân lính hăng máu kéo đến càng đông.
又有一团军从宣武门入，按象后，象立不能动，乃钩下晖郡，乱殴杀之，刳其腹，取其肝而食之，拽尸弃于宣武门外。	Lại có một toán ở cửa Tuyên vũ xông vào, đứng chắn ở đằng sau voi, khiến voi phải đứng im không thể nhúc nhích. Họ bèn dùng câu liêm móc cổ quận Huy kéo xuống, rồi đánh đấm túi bụi giết chết ngay tại chỗ. Sau đó, họ phanh bụng quận Huy lấy gan ăn sống, còn thây chết thì lôi ra ngoài cửa Tuyên vũ.
晖郡亲弟选一首号铿武侯，闻变驰赴府堂，行至报天寺门，诸军喝止，以街衢砖石碎其头，投尸于水军湖。	Em ruột quận Huy là Lý vũ hầu Hoàng Lương nghe tin có biến, vội vàng chạy bổ vào phủ đường. Nhưng mới đi đến cửa chùa Báo Thiên thì bị quân lính quát đứng lại, rồi họ vớ luôn gạch đá trên đường đập cho vỡ đầu và vứt xác xuống hồ Thuỷ Quân (Hồ Hoàn Kiếm bây giờ).
晖郡兄弟既死，诸军欢声如雷，共扶世子升府堂，戴于肩上，诸军环立欢呼，请坐益高，使天下咸睹龙颜，以孚喜悦。	Anh em quận Huy chết rồi, quân lính vui mừng reo hò như sấm. Họ kéo nhau vào nhà Tả Xuyên phò thế tử Tông lên phủ đường. Họ kiệu thế tử lên vai, rồi đứng xúm chung quanh, gào lên vui sướng: - Xin ngồi cao thêm nữa để thiên hạ đều được thấy mặt rồng, cho thoả lòng vui của mọi người!
时仓卒无有几榻，权取制禄馔盘为座几，八人负于肩上，时时举首捧盘加于头上。	Trong lúc gấp vội không có kỷ sập, họ phải dùng tạm chiếc mâm vẫn bày cỗ lộc làm ghế, đặt thế tử ngồi lên, rồi tám người kề vai vào khiêng.
手倦复降于肩，肩倦复升于头。	Chốc chốc họ lại nâng bổng chiếc mâm lên trên đầu mà đội; đầu mỏi lại hạ xuống vai, rồi vai mỏi lại nâng lên đầu.
升升降降，势如蹴球，似捧塑佛。	Cứ thế lên lên xuống xuống y như người ta giỡn quả cầu hoặc rước pho tượng phật.
一回高出众，又一回抚掌欢呼，庙坊街市闾阎贩卖之徒，莫不争立看王，府庭如市。	Mỗi lần thế tử được nhô lên cao, quân lính lại vỗ tay reo hò vang lên một chặp. Những kẻ buôn bán ở các phố phường, chợ búa đều tranh nhau kéo đến xem chúa, sân phủ đông như họp chợ.
珠郡以豹尾旗麾于庭中，鸣金收军，一鼓余方定。	Quận Châu phải đem ngọn cờ đuôi báo phất ở giữa sân, rồi khua chiêng thu quân, mãi đến hơn một trống canh mới yên.
先是连日阴暗，至是日，天色晴明，天下以为太平王者之象，道路奔走，咸曰：「吾王立矣。」	Mấy hôm trước, ngày nào trời cũng u ám. Hôm ấy tự dưng bầu trời lại trong sáng, mọi người đều cho đó là cái điềm thái bình, thánh chúa. Kẻ qua người lại trên đường đều hý hửng nói: "Chúa ta lập rồi!".
