第十回。	Hồi thứ mười.
王闭眼合手徐答曰：「老僧出家投禅，何预世事，公等勿错认，却于寂静中，弄出许多烦恼，天下谁帝谁王，自有真命，老僧只会一瓶一钵，卓锡沙门，做如来徒弟耳！」	Nếu như thiên hạ vô sự, bọn chúng tôi làm gì được trông thấy chúa. Chẳng may nhà nước có nạn, xe chúa phải tới nơi biên ải, thần dân ai chẳng đau lòng. Lúc này chính là dịp cho kẻ trung thần nghĩa sĩ ra tài linh luân. Vậy chúng tôi xin rước chúa về ở Đoàn Thành (tức thành trấn Lạng Sơn), xướng nghĩa cả, để lo việc hưng phục. Trông nhờ vào phúc hồng của chúa, thành được công lớn thì may chăng lũ tù trưởng nhỏ mọn ở xứ mọi rợ này được dự vào hàng cuối ở vân đài (Vân Đài: Đài cao chạm mây, nơi vua Minh đế nhà Hán sai vẽ hình 28 người công thần), ấy là ý nguyện của chúng tôi. Nhà sư nhắm mắt chắp tay, khoan thai trả lời: - Sư già này xuất gia theo Phật, không can dự gì đến việc đời. Các ông chớ có nhận lầm, khiến cho đương lúc yên lặng, lại sinh ra bao nhiêu nỗi phiền não. Trong thiên hạ, ai là vua, ai là chúa, đã có mệnh trời; sư già này chỉ biết một lọ một bát, tu hành ở cửa thiền, làm môn đồ đức Phật Như lai mà thôi.
虔亦对曰：「臣虽未得侍王府，而游学京师日，窃常仰盼威颜，国人且有此心，王亦不可推却，臣闻王业艰难，非安坐可做，是以汉光头发为白，先王髀肉皆消，近者桂坞沛下之危，亦是睢水滹沱之役，惟其不沮不挫，卒成大业，未闻堂堂王者，退作闲僧也，请王思之。」	Vũ Kiền lúc ấy cũng thưa rằng: - Thần tuy chưa được vào chầu phủ chúa, nhưng khi du học ở kinh sư cũng đã từng trông trộm dung nhan của chúa. Người trong nước còn có lòng ấy, chúa cũng không nên từ chối. Thần nghe nói, nghiệp vương phải khó nhọc, không thể ngồi yên mà làm nên được. Bởi vậy, Quang Võ đã phải bạc cả tóc đầu, Tiên chúa (Quang Võ là vua đầu nhà Đông- Hán. Tiên chúa tức Lưu Bị, là vua nhà Thục đời Tam quốc) thì phải mòn hết thịt vế. Những cơn nguy hiểm ở Quế ổ và Bái Hạ gần đây, cũng giống việc Tuy Thuỷ, Hô Đà đời Hán (theo Hán thư, sau khi Hán vương là Lưu Bang vào chiếm Bành Thành, Sở vương là Hạng Võ đem quân trở về, phá tan quân Hán trên sông Tuy Thuỷ và vây Hán vương ba vòng, may gặp có gió lớn nổi lên, thổi tan quân Sở, Hán vương mới chạy thoát. Cũng theo Hán thư: Khi vua Quang Võ đi đến trạm Khúc Dương, phía sau có quân Lương Vang theo đuổi, mọi người đều kinh sợ, Quang Võ cho người đi dò đường thì họ nói, trước mặt có sông Hô Đà nước chảy mạnh lắm, không thể qua được. Quang Võ lại bảo Vương Bá đi xem lại. Vương Bá e quân lính hoảng sợ, bèn nói dối là ở sông băng giá đóng rất chắc, có thể đi qua được.
王位下曰：「黍虽麦秀，触目皆感，我非木石，安得不悲，然尽吾之力，不可与天争，故隐忍以自存，安敢妄图而再误。」	Quang Võ bèn bảo Bá hộ vệ mình qua sông, nhưng mới qua được mấy người thì băng đã tan. ở đây, mượn hai điển này để nói làm nên nghiệp lớn thế nào cũng phải trải qua nhiều gian nan, nguy hiểm thì mới đi tới thành công), chỉ vì không nản chí, không ngã lòng, rốt cuộc họ đã làm nên nghiệp lớn. Thần chưa từng bao giờ thấy ai đường đường là một vị vương giả mà lại lui về làm nhà sư nhàn hạ. Xin chúa hãy nghĩ lại! Nhà sư khóc và nói: - Cái cảnh "Thử ly" "Mạch tú" ("Thử ly" là một bài thơ trong Kinh Thi nói về cảnh cung điện nhà Chu bị tan hoang thành ra ruộng lúa. "Mạch Tú" là bài hát của Cơ tử nói về việc nhà Thương mất nước, cung điện thành ruộng cấy lúa mạch. - ở đây chỉ cảnh tang thương của họ Trịnh) ở đâu cũng đều cảm động. Ta không phải là loài gỗ đá, sao không căm hờn. Nhưng đã biết sức của ta, mà vẫn không thể dành được với trời, nên đành phải nín nhịn để giữ lấy mình, đâu còn dám làm càn để lại lầm lẫn lần nữa?
王既露出本色，遂为众所挟，敕下点兵、征粮、骥陈等皆庸才，不能严戢手下，肆行非法，民不堪命，遂作乱，杀骥陈而逐王，王奔右陇，自是晦迹山林，一国之人不复知王所在矣！	Chúa đã nói lộ bản tướng, liền bị mọi người vin lấy mà bắt buộc phải truyền sắc lệnh ra để điểm quân, thu lương. Bọn Ký và Trần đều là kẻ tầm thường, không nghiêm cấm nổi thủ hạ, để chúng làm bừa những việc phi pháp. Nhân dân không thể chịu đựng được, họ bèn nổi lên làm loạn, giết bọn Ký và Trần, rồi đuổi chúa đi. Chúa chạy về đất Hữu Lũng (nay thuộc Lạng Sơn) rồi từ đó nấp náu trong chốn núi rừng, cả nước không còn thấy mặt chúa ở đâu nữa.
郑自太王检受封，传至盛王森，凡八叶而肇乱，又端南王楷，晏都王槰而王祀绝，前后合二百四十二年。	Họ Trịnh từ Thái vương là Trịnh Kiểm thụ phong, truyền đến Thịnh vương là Trịnh Sâm, vừa được tám đời thì xảy ra biến loạn. Rồi đến Đoan nam vương là Trịnh Khải, án đô vương là Trịnh Bồng thì nghiệp chúa hết. Tất cả trước sau gồm 243 năm (theo Lịch triều hiến chương lại chí thì tất cả là 248 năm, gồm 11 đời chúa, kể từ Trịnh Kiểm năm Kỷ hợi (1539) đến Trịnh Bồng năm Bính ngọ (1786)).
按发迹祖地记曰：「非帝非羁，权倾天下，八代传家，萧墙起祸。」	Xét trong địa ký chép về đất phát tích của tổ tiên họ Trịnh có lời đoán rằng: "Chẳng đế chẳng bá, quyền nghiêng thiên hạ, truyền được tám đời, trong nhà dấy vạ".
兴亡之理，虽属人事，而自有数云。	Xem thế đủ biết, cái lý hưng vong tuy là việc của người, mà cũng tự có số mệnh vậy.
却说阮整，自引西人入国之后，国人怨之，深入骨髓，及狼狈而归，留于乂安，一州之人自甘心焉。	Lại nói sau khi Chỉnh đưa Tây Sơn vào nước, dân chúng oán Chỉnh thấu đến xương tuỷ. Lúc Chỉnh tất tả chạy về Nghệ An, người cả một xứ ai cũng muốn giết Chỉnh cho hả dạ.
幸得帝有召命，遂以起兵入卫而免。	May được vua Lê có chỉ vời, Chỉnh bèn lấy việc dấy quân ra bảo vệ nhà vua mà thoát khỏi tai nạn.
帝推心委用，故中外之人敢怨而不敢言，文武故臣奔逃于外，各有起兵以诛整为名，整挟帝以号令通国，专弄威福，大兴军旅，以去其谋己者。	Rồi Chỉnh lại được nhà vua mở lòng tin dùng, cho nên mọi người trong ngoài chỉ dám oán mà không dám nói. Các quan văn võ trước kia chạy trốn ra ngoài, đều dấy quân và lên tiếng giết Chỉnh. Chỉnh mượn nhà vua để sai khiến cả nước, tự tiện làm oai làm phúc, luôn luôn đem quân đi trừ khử những người muốn làm hại mình.
已而擒仲济、杀冯基，穷兵以攻晏都王，使之奔播，不敢归国，其所行率多悖乱之事，而动辄得志，无敢谁何。	Thế rồi, bắt Trọng Tế, giết Phùng Cơ, đem quân đánh mãi án đô vương, làm cho vương phải chạy trốn lang thang không dám về kinh. Việc Chỉnh làm phần nhiều là càn bậy, nhưng đụng đâu là thắng đấy, nên chẳng ai biết làm thế nào.
以是整、虔愈肆，自以为一世之人皆莫己若，至以儿子视帝，左之右之，无复忌惮，意中尚有难者，独北平王而已。	Vì thế, Chỉnh càng ngày càng làm lắm điều bạo ngược, Chỉnh tự cho rằng người đời chẳng ai bằng mình. Thậm chí Chỉnh coi nhà vua như đứa trẻ con, khi bảo làm thế này, khi bảo làm thế kia, không còn kiêng sợ gì cả. Bụng Chỉnh còn e dè, chỉ một Bắc bình vương mà thôi.
整常私谓所亲曰：「北平王南河雄杰，我亦不让，他谲胜于我，我智胜于他，年前曾与他共事，今日姑让一着，俟国中稍定，然后专意南方，此回便可与他一场兵车大会，去了一梗，那横山以南复归本国疆土，陈平章南行议疆。	Chỉnh thường nói riêng với người thân tín rằng: - Bắc bình vương là người anh hùng hào kiệt ở miền Nam ta cũng không thua. Hắn quỷ quyệt hơn ta, nhưng ta khôn ngoan hơn hắn. Năm trước ta từng cộng sự với hắn, nên ngày nay hãy nhường hắn một nước cờ, đợi khi trong nước tạm yên, ta sẽ chuyên tâm lo việc phương Nam. Lúc đó ta có thể tập hợp binh mã, cùng hắn giao phong trong một trận lớn lao.
乂安之地，纵不得已让他，亦是璧马赂虞，关中予羽之故智，所谓将欲取之，必姑与之，非众人之所能识也。	Đã trừ khử được vật ngăn trở rồi, thì từ dải đèo Ngang trở về Nam, lại là bờ cõi của nước nhà. Nay Trần bình chương vào Nam bàn việc bờ cõi, dù bất đắc dĩ mà phải nhường đất Nghệ An cho họ, thì cũng như cái mưu khôn xưa nước Tấn đem ngọc bích và ngựa tốt đút cho nước Ngu, Hán Cao tổ đem đất Quan Trung nhường cho Hạng Vũ đấy thôi (thời Xuân thu, nước Tấn lấy ngựa hay và ngọc quý đút lót cho nước Ngu để mượn đường sang đánh nước Quắc; đến khi diệt được nước Quắc rồi, Tấn liền quay lại diệt luôn cả nước Ngu, thu lại ngựa và ngọc đã biếu việc Hán Cao tổ cũng tương tự, tạm nhường đất Quan Trung cho Hạng Vũ rồi sau lại lấy lại). Đúng như lời sách xưa đã nói: "Định lấy của nó hãy tạm cho nó" (câu này nguyên văn chữ Hán là "Tương dục thủ chi tất cô dữ chi" Trong Đạo đức kinh của Lão Tử cũng có câu tương tự là: "Tương dục đoạt chi, tất cô dữ chi" (muốn chiếm đoạt của nó, hãy tạm cho nó). Có thể tác giả dẫn câu này là thoát thai từ câu của Lão Tử). Điều đó người thường không thể biết được!
故乂安之事，币重而言甘，苟求可以无事，一番委曲尽以心事嘱陈公，谓此行必弭兵事，不复以边谋兵务为意。	Vì thế, đối với việc Nghệ An, Chỉnh mới dùng lễ vật nhiều, lời nói ngọt, mong sao cho được vô sự; lại đem hết những điều uỷ khúc trong lòng mà dặn dò Trần Công Xán. Chỉnh cho rằng chuyến đi ấy thế nào cũng dẹp yên được việc binh đao, nên không còn để ý đến việc quân lương và việc bờ cõi nữa.
一不知北平王取整之心，初非一日，但藏机太深，而整不之觉也。	Không ngờ rằng Bắc bình vương lập tâm bắt Chỉnh đã lâu, nhưng cơ mưu giấu kín quá nên Chỉnh không biết.
人或有言边境事，亦皆指为好事臆度，道路讹传，而不之信也。	Hoặc có người nhắc đến việc biên cương thì Chỉnh cũng xem thường, cho là kẻ hiếu sự đoán mò hay cho là tin đồn nhảm ngoài đường sá mà thôi.
及使部死于海，朝士多以为言，此是北平王恐泄南河兵争事，而阴杀之，内变既宁，必将图我者，整亦不以为然。至是北平王与西王讲和而归，大会诸将语之曰：「阮整既以死之人，我再为之画出眉目，今彼翱翔北河，扶黎王以号令一国，不思报我之德，又图反噬，谋争乂安，设重镇以效郑王南侵故事，此贼可杀，不识点检得几个兵马，能堪与我一战否！」	Tới lúc sứ bộ chết đắm ở biển, nhiều người trong triều bảo đó là do Bắc bình vương sợ lộ việc tranh chấp ở miền Nam mà giết ngầm đi, khi nội biến đã yên, thế nào họ cũng sẽ mưu đồ đánh ta; Chỉnh cũng vẫn không cho là phải... Sau khi Bắc bình vương đã hoà với vua Tây Sơn (theo các tài liệu lịch sử, thì hai anh em Nguyễn Nhạc, Nguyễn Huệ giảng hoà với nhau ở thành Qui Nhơn (Nghĩa Bình) liền trở về Phú Xuân mở đại hội các tướng mà bảo họ rằng: "Nguyễn Chỉnh là người đã chết, ta lại vẽ mặt vẽ mày cho. Nay hắn bay nhảy ở Bắc Hà, phò vua Lê để sai khiến cả nước. Đã không lo đền đáp ơn ta mà còn định cắn lại, mưu đồ giành đất Nghệ An, đặt làm một trấn quan trọng, để bắt chước việc chúa Trịnh xâm lấn phương Nam ngày xưa. Thằng giặc ấy thật đáng giết. Không biết hắn đã sắp sẵn được bao nhiêu binh mã, có thể đánh nhau với ta được một trận hay không?"
即命吴文楚、潘文璘等，领军往乂安与文任同会谋北侵，随以文任领节制印，诸将皆属焉。	Tức thì, Bắc bình vương sai bọn Ngô Văn Sở, Phan Văn Lân, kéo quân ra Nghệ An, họp cùng Võ Văn Nhậm tính việc đánh dẹp phương Bắc. Tiếp đó lại cho Võ Văn Nhậm lĩnh ấn tiết chế, các tướng đều phải ở dưới quyền.
布置已定，促令进兵，丁未多十一月也。	Khi sắp đặt đã xong, Bắc bình vương hạ lệnh giục họ tiến quân. Bấy giờ đúng vào tháng mười một mùa đông năm Đinh vị (1787).
任过土山，清化镇守黎遹不敢拒战，敛兵退保贞江，飞马告急，一日九至，京畿骚然，人情崩溃，争提挈出城以避之，市廛皆掩扉撤业，衢路亦鲜有人行，台省之中，独有职守者在焉。	Khi Văn Nhậm kéo quân qua Thổ Sơn, trấn thủ Thanh Hóa là Lê Duật không dám chống cự, rút quân lui giữ Trinh Giang (sông Trinh Giang thuộc xã Trinh Sơn, huyện Hoằng Hoá, Thanh Hoá), rồi cho người phi ngựa về kinh cáo cấp. Tin cáo cấp một ngày đến chín lần, làm cho kinh thành nhao lên, nhân tình tan rã, vội vàng mang xách, bồng bế nhau ra ngoài thành để trốn tránh: phố phường đều đóng cửa thôi buôn bán đường sá cũng ít người đi lại, trong chốn đài sảnh chỉ còn người có chức vụ ở lại mà thôi.
帝命百官同会整第，议战守之宜，整曰：「秦师压境，谢安谈笑自如；契丹深入，寇准饮博自若。	Vua Lê sai các quan cùng họp ở dinh của Chỉnh để bàn cách đánh giữ. Chỉnh nói: - Đời nhà Tấn, khi quân nhà Tần ập đến bờ cõi, Tạ An vẫn cười nói như thường; đời Tống, khi quân Khiết Đan vào sâu trong nước, Khấu Chuẩn vẫn điềm nhiên như không.
大臣只须镇静，不可先自挠乱，徒摇众心，遹职在守土，见贼不敢不告，然他亦是才将，文任未必生吞得他，且贞江青厥江深水寒，虽有千兵万马，未易急涉，战守机宜，自有定局，何事仓皇？」	Các vị đại thần, cần phải trấn tĩnh, không nên tự mình bối rối trước, chỉ tổ làm cho lung lay lòng người. Chức trách của Lê Duật là giữ đất đai, thấy giặc đến không thể không báo cáo, nhưng y cũng là một tay tướng giỏi. Võ Văn Nhậm vị tất đã dễ dàng nuốt sống được y. Vả chăng, sông Trinh Giang, sông Thanh Quyết (sông Thanh Quyết tức khúc sông Đáy thuộc huyện Gia Viễn, Ninh Bình (Hà Nam Ninh)), sông sâu nước lạnh, dù có thiên binh vạn mã chưa dễ đã vượt qua được một cách yên ổn. Công việc đánh hay giữ, đã có định cục, làm gì mà phải luống cuống.
副都御史阮廷简曰：「清化汤沐之邑，累朝陵寝所在，今西人来侵，静嘉全境，已被陷没，绍天河中，皆为战场，社稷危如一发，公为国元臣，兵柄在手，定局如何，试一分明说出，卑职等各尽肤浅之见，以与公图回天下，事非一家之私，何不与人言之！	Quan phó đô ngự sử là Nguyễn Đình Giản nói: - Thanh Hóa là đất "thang mộc", lăng tẩm mấy triều đều ở đấy. Nay người Tây Sơn tới đánh, cả vùng Tĩnh Gia đã bị chiếm mất, còn các vùng Thiệu Thiên, Hà Trung đều thành chiến trường, xã tắc nguy như treo trên sợi tóc. Ông làm vị quan đầu triều, binh quyền ở trong tay, định cục thế nào, thử nói ra cho rõ ràng, để chúng tôi đều đem hết ý kiến nông cạn, cùng ông lo liệu. Việc thiên hạ không phải là chuyện riêng một nhà, sao không nói cho mọi người đều biết?
昔元人笑宋曰：『待尔家议论谐，则我已渡河矣！	Ngày xưa người Nguyên cười người Tống rằng: "Đợi khi chúng bay bàn bạc ổn thoả thì ta đã qua sông rồi".
』今不早为之计，待敌到缠桥坞门，假使谢寇再生，看他得镇静否？」	Nay không lo liệu cho sớm, chờ khi quân giặc đã đến ô Cầu Dền thì giả sử Tạ An, Khấu Chuẩn (Tạ An, người đời Tấn, làm Đại đô đốc, có tài chỉ huy, đã cứu nguy cho kinh đô trong lúc đang bị hàng trăm vạn quân Bồ Kiên uy hiếp. - Khấu Chuẩn, người đời Tống, khi quân Khiết Đan xâm phạm bờ cõi, được vua Chân Tông giao cho chỉ huy quân sự, ông đã dùng kế buộc địch phải rút về nước) có sống lại, họ cũng không thể trấn tĩnh được!
宁逊阮伯澜等皆曰：「御史言是也。」	Ninh Tốn và Nguyễn Bá Lan (có bản chép Nguyễn Nhuận) cũng đều nói: - Quan ngự sử nói rất đúng.
整平生惯以口舌御人，人亦畏其势焰，不敢与之争辩，至是贼信骤至，方寸正坏，又为简所折，未知所答，平章维藩曰：「不须多言，贼来惟战耳！	Ngày thường Chỉnh quen dùng miệng lưỡi để lấn át người ta, người ta cũng sợ khí thế của y, nên không dám tranh cãi lại. Nhưng lúc ấy, tin tức về quân địch gấp rút đưa đến, trong bụng rối beng, lại bị Giản bẻ, nên Chỉnh chưa biết trả lời ra sao. Quan bình chương Phan Lê Phiên nói: - Không cần nói nhiều, quân giặc đến chỉ có đánh mà thôi.
公之麾下谁可将者，请奏帝行之，枢密给兵牌，度支给军饷，即于今日引拜，明日启行，不可缓也。」	Bộ hạ của ông, người nào có thể làm tướng, xin tâu với hoàng thượng cho làm tướng; toà Xu mật sẽ cấp binh bài, toà Độ chi sẽ cấp lương thực, ngày nay vào bái mạng, ngày mai tức tốc lên đường, không thể chậm trễ!
整曰：「本意亦正如是，所谓静镇者，亦在是耳。」	Chỉnh nói: - Ý tôi cũng vậy, nói trấn tĩnh là nghĩa như thế!
乃奏以阮如泰为统领，宁逊参赞军务，帅师与遹御贼于清化。	Chỉnh liền tâu vua cho Nguyễn Như Thái làm thống lĩnh, Ninh Tốn làm tham tán quân vụ, đem quân cùng họp với Duật, chống địch ở trấn Thanh Hóa.
且说遹屯贞江，任使人报曰：「明日大军过河，汝能战，列阵以待；不能战，可及早来降。」	Lại nói, Duật đóng quân ở Trinh Giang, Nhậm bèn sai người đến báo rằng: - Ngày mai đại quân qua sông, ngươi dám đánh nhau thì bày trận chờ đợi. Nếu không có thể đánh nhau thì mau mau tới đầu hàng.
时任军贞江之南，先使文楚领兵沿山西行，潜渡漆马江以袭遹后，遹不之觉，是夜敛众宵奔，次日至高陇，已见楚兵在此，众皆惊溃四散，遹为乱兵所杀，器械军需尽为贼所获。	Lúc đó Nhậm đóng quân ở phía nam Trinh Giang, trước tiên sai Ngô Văn Sở đem quân men theo chân núi đi về phía tây, cất lẻn qua sông Tất Mã, đánh úp phía sau quân Duật. Duật không hề biết, tối hôm ấy rút quân chạy cả đêm; hôm sau tới Cao Lũng, đã thấy quân Sở ở đấy, quân Duật sợ hãi, chạy tan tác ra tứ phía. Duật bị quân Sở giết chết. Khí giới, lương thực, hết thảy đều bị địch thu lượm.
泰军至珠遹，闻遹败死，急呼宁逊共议，逊曰：「兵法曰：『争山者胜，据险者固。	Quân Nguyễn Như Thái đi đến Châu Cầu (nay là thị xã Phủ Lý, Hà Nam (Hà Nam Ninh)), nghe tin Duật đã thua và chết, vội gọi Ninh Tốn cùng bàn, Tốn nói: - Binh pháp dạy rằng: "Tranh được núi thì thắng, giữ chỗ hiểm thì vững".
』清化内外，三迭其限界也，天造地设，最为险要，宜急进兵守之，毋使敌得先占，则长安以北，犹为我有。	Giữa Thanh Hóa nội và Thanh Hóa ngoại có núi Tam Điệp (tục gọi là núi Ba Dội, ở chỗ giáp giới giữa Thanh Hoá và Ninh Bình ngày nay) ngăn cách, ấy là chỗ trời đất xây dựng, rất là hiểm yếu. Ta nên tiến quân gấp để giữ lấy, chớ để quân giặc chiếm trước. Được như vậy thì từ Trường Yên (tên phủ, sau đổi là Yên Khánh, thuộc Ninh Bình (Hà Nam Ninh)) về bắc còn là của mình.
若三迭不守，山南一路康庄，平原旷野，恐难与敌争锋，国事不可为耳。」	Nếu núi Tam Điệp mà mất, thì lộ Nam Sơn thênh thang với những cánh đồng bằng phẳng rộng rãi, e khó tranh nhau với giặc, việc nước sẽ không thể làm thế nào được nữa.
泰然之，即整军乘夜兼程而进，黎明渡军涧口，闻任军已过三迭。	Thái cho là phải, lập tức chỉnh đốn đội ngũ, đang đêm gấp rút tiến quân.
璘将选锋军前屯多枚，相去仅数里许耳。	Mờ sáng, quân Thái qua sông Giản Khẩu (tức sông Gián, cũng thuộc Ninh Bình (Hà Nam Ninh)) thì nghe tin quân Nhậm đã vượt qua núi Tam Điệp, Phan Văn Lân đã đem quân tuyển phong đóng ở Hàm Mai (có sách chép là Đa Mai), cách đấy chỉ có vài dặm. Thái vỗ ngực kêu to mấy tiếng, rồi đem quân bày trận trên bờ sông Giản để chờ địch. Quân Tây Sơn đến, chia hai ngả đánh kẹp vào.
泰抚膺大呼，乃阻涧列阵以待之，贼至分道出击，泰孤军无援，力战自旦至日中，矢弹俱尽，前徒倒戈降于贼，泰度不能支，与其属数千飞马北走，贼兵追射尽杀之，宁逊走匿于民家获免。	Quân Thái lẻ loi không có quân cứu viện, cố sức đánh nhau từ sáng đến trưa, tên đạn đều hết sạch. Bọn lính ở đằng trước trở giáo hàng địch. Thái biết thế không thể chống nổi, bèn cùng vài chục người bộ thuộc, phi ngựa chạy về phía bắc. Quân địch đuổi theo, bắn chết hết. Ninh Tốn chạy trốn vào nhà dân, được thoát nạn.
文任既胜，即引军前进。	Văn Nhậm đã thắng trận, tức thì dẫn quân tiến lên.
报至，整方食，仓皇投箸，起入室中，急召有攸，谓曰：「我战将只有四人，遹、泰不幸死矣！	Chỉnh đang ăn thì tin báo đến nơi, luống cuống vứt đũa, chạy vội vào nhà, gọi Hữu Du và bảo: - Chiến tướng của ta chỉ có bốn người. Thái và Duật chẳng may chết rồi.
选在山南，铄在京北，征之不及，势头甚迫，我不得不自将，汝宜大具兵实，与我偕行，父子之兵，一心庶几可济。」	Tuyển ở Sơn Nam, Thước ở Kinh Bắc, gọi về không kịp. Tình thế gấp rút ta phải tự ra cầm quân. Con nên sắp đủ binh lính, lương thực, cùng đi với ta. Quân cha, con cùng dốc một lòng mới có thể nên việc được.
攸曰：「语有之，事父能竭其力，事君能致其身，儿请先往，与贼一场大斗，不敢以贼遗君父，大人第徐行督战，看儿取武文任头来。」	Du nói: - Sách có câu: "Thờ cha phải hết sức, thờ vua phải liều mình". Con xin đi trước, đánh với giặc một trận lớn, không dám để cho vua và cha phải lo vì giặc. Cha cứ đi thong thả mà đốc thúc việc chiến trận, con sẽ lấy đầu thằng Võ Văn Nhậm đem về cho cha xem.
整将起出，其爱姬牵其裾曰：「妾闻朝廷百官，皆挈其妻子先避，台省皆空，大官又出讨贼，将士偕行，妾独留此，何以堪处，愿得一肩舆随之。」	Lúc Chỉnh sắp ra đi, người hầu yêu nắm vạt áo của y mà nói: - Thiếp nghe đâu các quan trong triều đều đã đem vợ con đi trốn trước rồi, đài sảnh hiện bỏ không tất cả. Bây giờ quan lớn lại ra đánh giặc, tướng sĩ cũng đều theo đi hết, riêng thiếp ở đây một mình, chịu làm sao được? Vậy xin cho thiếp một chiếc kiệu nhỏ để thiếp đi theo quan lớn.
整曰：「矢石之间，非巾国所宜往，无徒乱人心曲也。」	Chỉnh nói: - Trong vòng tên đạn, không phải nơi đàn bà nên đi, đừng làm cho người ta thêm rối ruột nữa!
乃自诣阙奏请出师。	Rồi Chỉnh tự mình vào cung điện tâu xin xuất quân.
帝御勤政殿宣旨，授整以节钺，谕之曰：「朕倚公长城，此行国家安危所系，切勿轻敌浪战，相机而动，敏奏肤公，以慰朕怀。」	Vua bèn ngự ra điện Cần chánh, truyền chỉ ban tiết việt (tức "phù tiết" và "phủ việt". Phù tiết: vật làm tin, thường làm bằng thanh tre viết chữ vào đó, rồi chẻ đôi mỗi người giữ một nửa, sau kháp lại để làm tin. Cũng có khi làm bằng vàng, ngọc hoặc gỗ... Phủ việt: lưỡi búa. Đời xưa khi đại tướng ra trận được vua ban tiết việt để trao quyền hạn và làm tin) cho Chỉnh và dụ rằng: - Trẫm dựa vào ông như dựa bức trường thành. Chuyến đi này quan hệ đến sự an nguy của nhà nước. Nhất thiết chớ có khinh giặc đánh tràn, phải tuỳ cơ mà làm, mau đưa tin thắng trận về để yên lòng trẫm!
对曰：「臣素知敌情，武文任勇而无谋，为偏裨则有余，为主将则不足，他平日素惮臣，今见臣来，必不敢与之对，臣但以气压，不待战而后胜也。	Chỉnh tâu: - Thần đã biết rõ tình hình của giặc. Võ Văn Nhậm mạnh mà không có mưu khôn, làm tỳ tướng thì dư sức, mà làm chủ tướng thì không đủ tài. Ngày thường hắn vẫn sợ thần, nay thấy thần, nay thấy thần đến, chắc là không dám chống chọi. Thần chỉ lấy khí thế mà đè nén, không cần phải đánh cũng thắng.
此行不出五日，当有驿书奏捷，请宽圣虑。」	Chuyến đi này, không quá năm ngày, sẽ có thư trạm tâu tin thắng trận, xin bệ hạ chớ lo!
拜辞而出，帝亲送至端门外，敕皇亲百官饯之于郊，师至黄枚，使有攸领五锐奇军先行。	Tâu xong, Chỉnh bái từ mà ra. Vua Lê thân hành tiễn đến ngoài cửa Đoan môn, rồi sai các hoàng thân và trăm quan tiễn đưa ra ngoài kinh thành. Chỉnh đem quân đến trạm Hoàng Mai (nay thuộc ngoại thành Hà Nội), sai Hữu Du lĩnh các đội quân của cơ Ngũ nhuệ đi trước.
攸至青厥江筑土垒，沿江北岸，分屯固守。	Du đi đến sông Thanh Quyết, liền đắp luỹ đất chạy theo bờ sông, chia đồn mà cố thủ.
时天气寒冽，军士露宿，团三聚五，烧柴对燎。	Lúc bấy giờ, khí trời rét buốt, quân lính của Du đêm ngủ giữa trời, túm năm tụm ba đốt củi để sưởi.
贼游兵于火光中望见之，还报文任，命分兵乘桴直渡江渚，潜穿垒，引铳射之，视火为的，发无不中。	Quân đi tuần của địch trông vào ánh lửa, thấy rõ tất cả, bèn về báo với Văn Nhậm. Nhậm cho quân cưỡi bè, sang thẳng bãi sông, ngầm bắn xuyên qua các khe hở trên bờ luỹ, nhắm chỗ có lửa làm đích, bắn phát nào trúng phát ấy.
垒中惊乱自溃，攸敛军退守珠桥，所存什之二三，不敢迎战，亦不敢走还，且退且止，以待后军。	Quân ở trong luỹ hoảng sợ, bối rối, tự nhiên tan vỡ, Du rút quân về giữ Châu Cầu. Quân sĩ mười phần chỉ còn hai ba, không dám đón đánh, cũng không dám chạy về, phải vừa lui vừa dừng để đợi hậu quân (sự kiện này, Cương mục chép hơi khác; thuyền súng đạn của Du đậu ở bờ bắc sông, không phòng bị gì: nửa đêm quân Tây Sơn ngầm bơi sang, buộc thừng vào các thuyền của Du, rồi kéo về phía bờ nam, tước đoạt hết súng đạn do đó Du thua...). Lại nói, Chỉnh đem quân đến trạm Bình Vọng (tục gọi làng Bằng, thuộc Thường Tín, Hà Đông (Hà Sơn Bình)), tạm dừng lại nghỉ.
且说整至平望暂歇，忽见南风飘飘，有黑云一片，横亘西南来，整坐桥中，披书占之，繇曰：「国有大敌，元戎败绩。」	Chợt thấy gió nam thổi vù vù, có đám mây đen chạy suốt từ tây nam đến. Chỉnh ngồi trong kiệu, giở sách bói ra xem, vừa gặp một quẻ, có lời đoán rằng: "Nước có giặc lớn, nguyên nhung thua trận", Chỉnh tỏ ý buồn rầu, đang lúc trầm ngâm nghĩ ngợi, thình lình lại có đàn ong rừng vo vo bay đến, đua nhau đốt vào cổ Chỉnh.
整意闷闷，正在沉思间，适有狂蜂个个飞来，尾虿于喉边，忽惊起坠下，猛想皆属凶兆，徘徊不欲进，俄见攸军败星散而还，言我军已溃，贼兵追蹑且至矣！	Chỉnh giật mình ngã xuống, sực nghĩ toàn là điềm gở, chần chừ không muốn tiến quân. Chốc lát, thấy quân bại trận của Du tan tác chạy về nói: - Quân ta đã vỡ, quân giặc đuổi theo sắp sửa đến nơi!
