第七回。	Hồi thứ bảy.
奎峰侯乂安人，常得其邑人传言整易守之状，乃启王，请命珰仍镇守，使其益为督视，仍召乂安散兵与所在豪目土民，以击整，王许之。	Bấy giờ, ở kinh đô có Khuê phong hầu là người Nghệ An, thường được người làng cho biết Chỉnh hiện đang ở vào tình thế rất dễ bắt. Khuê phong hầu liền đem việc đó tâu trình với án đô vương; rồi xin cho Đương trung hầu ra làm trấn thủ như cũ, lại xin cử con là Phan Huy Ích làm chức đốc thị, và viên trấn thủ Thanh Hóa là Mãn trung hầu (tức Lê Trung Nghĩa, người xã An Hoạch, huyện Đông Sơn, Thanh Hoá) sung chức tham lĩnh, thu nhặt các tàn binh ở Thanh Hóa đem vào Nghệ An, rồi lại triệu tập binh xứ Nghệ và các hào mục, thổ dân sở tại để đánh Chỉnh.
益领命而行，谓人曰：「且立看我取乂安，致整头来，夺郡公印！」	án đô vương bằng lòng. Lúc lĩnh mệnh lên đường, Ích hung hăn nói với mọi người rằng: - Các ông hãy chờ đó, để tôi vào xứ Nghệ lấy đầu Hữu Chỉnh về cướp ấn quận công cho mà coi!
又使其手下作军鼓曰：「要大可容人，教我鼓前军趋取得整时，锁鼓纳整致之阙下。」	Ích lại còn sai bọn thủ hạ làm chiếc trống trận và dặn: - Phải làm cho rõ lớn, có thể chứa được người vào trong, để khi ta thúc đội tiền quân xông vào bắt được Chỉnh rồi, thì sẽ chọc thủng mặt trống, nhét hắn vào đó mà khiêng về dưới cửa khuyết.
益出军之日，人以为功可待。	Ngày Ích xuất quân, ai cũng cho rằng sự thành công có thể đứng mà chờ đợi.
整在乂安，初闻晏都王立，戏作翻语曰：「晏都还是妒安」，妒安盖俗语也，谓欲安不得也！	Hồi Chỉnh ở Nghệ An, lúc nghe tin án đô vương mới lên ngôi, bèn đặt câu nói lái mà đùa rằng: "yến đô là đố yên" (âm Hán đọc án đô hay yến đô đều được). Ý Chỉnh muốn bảo: nhà chúa có muốn yên cũng không thể yên được.
及闻在京诸散兵毕集，奇伍如故，又闻王使潘辉益来征，乃驰封入富春，言硕壤再立郑，据国以谋复譬，请援兵以御之。	Kịp đến lúc nghe tin ở kinh thành các tàn quân đã họp thành cơ ngũ như cũ, lại nghe tin án đô vương đã sai người vào đánh mình; Chỉnh bèn viết thư báo gấp vào Phú Xuân, nói là Thạc, Nhưỡng lại lập họ Trịnh, định chiếm cứ đất nước để báo thù xưa, xin cho quân cứu viện ra để chống nhau với chúng.
平得书，使其左军提兵直出。	Bình được thư ấy, tức thì sai viên tả quân đem binh ra ngay.
整又驰封于壤，历述一段情谊，且言今整既与西山相绝，乂安界接顺化，南兵不时兵来，请留整以当一面，向平后，如能为整保全，整亦早归朝廷。	Cùng lúc ấy, Chỉnh lại viết thư cho Đinh Tích Nhưỡng. Trước hết Chỉnh nhắc lại tình xưa nghĩa cũ; rồi nói rằng mình hiện đã đoạn tuyệt với Tây Sơn, xứ Nghệ An tiếp giáp xứ Thuận Hoá, chưa biết quân Nam sẽ ra đánh lúc nào. Tiếp theo, Chỉnh xin hãy cho ở đó để đương lấy một mặt: sau khi bình yên rồi, nếu Nhưỡng có thể bảo toàn cho Chỉnh, thì chẳng bao lâu, Chỉnh cũng sẽ về triều.
壤得封，召整婿超武谓曰：「吾兄与叔，同居先公之门，先公待之如子，兄能为先公复乂，叔独无状，愧兄多矣！	Nhưỡng coi thư xong, liền gọi con rể của Chỉnh là Siêu Vũ vào dinh mà bảo rằng: - Ông anh với chú trước đây cùng ở trong cửa cụ Huy, cụ lớn đều coi như con đẻ. Chẳng may cụ lớn bị nạn, ông anh đã trả thù được cho ngài; riêng chú chẳng có công trạng gì, chú thẹn với ông anh nhiều lắm.
第兄义则尽矣，而忠则未至也。	Song ông anh ta, nói về nghĩa thời đã đủ rồi, mà nói về trung thời hãy còn chưa trọn.
今叔挟王室，整基图，兄既请留镇乂安，叔敢不相徇，但兄不可欺叔，翻然突来，虽然有叔在此，纵兄欲来也，叔亦不听，君归可致此意。」	Nay chú phò nhà chúa, dựng lại cơ đồ; ông anh đã ngỏ ý muốn đóng giữ trấn Nghệ An lẽ đâu chú dám chẳng chiều ý? Nhưng ông anh chớ có lừa ta, rồi mà bất thình lình nổi dậy kéo quân về... Tuy nhiên, chú cũng nói thế thôi, chứ chú còn ở đây, thì dù ông anh có muốn về chú cũng chẳng nghe đâu. Anh về phải thưa lại ý chú như thế nhé!
由是整之事，壤不以为意。	Từ đó, Nhưỡng không để ý gì đến việc Chỉnh nữa.
时王日谋专权，或谓壤曰：「今大敌始去，边境未宁，整贼在乂安，势日强大，及今人心思奋，请王亲御征之，灭右军，驱远边，复乂安旧界，此亦不下先王中兴之功。	Bấy giờ án đô vương đang ngày ngày mưu sự chuyên quyền, không nghĩ gì đến các việc khác. Có người thấy vậy, nói với Nhưỡng rằng: - Hiện nay giặc dữ mới đi, bờ cõi còn chưa yên ổn, mà giặc Chỉnh ở Nghệ An thế lực càng ngày càng lớn mạnh. Nhân trong lúc này lòng người đang phấn chấn, hãy xin chúa ngự giá thân chinh để diệt hữu quân, đuổi Chiêu Viễn, lấy lại bờ cõi cũ của đất Nghệ An; thì như vậy cũng chẳng kém gì cái công dựng nghiệp trung hưng của các bậc tiên vương.
立功而归，大权自然到手，何必区区争陈朽之迹，而置寇于度外。	Khi đã lập công mà về, quyền lớn tự nhiên sẽ vào tay. Cần gì chúa cứ phải quẩn quanh tranh giành những chuyện cũ rích, mà bỏ quân giặc không lo nghĩ đến?
万一整军再来，将何以御之？」	Vạn nhất Chỉnh lại đem binh ra, thì lúc ấy lấy gì mà chống chọi?
壤亦默然。	Nhưng Nhưỡng chỉ làm thinh.
整又使其兄监生阮班见帝，密请镇守乂安之命，帝问班以整以军情，班大张声势以奏之，帝喜曰：「此事右军曾面请于朕，朕亦已面许之。	Giữa khi ấy Chỉnh lại sai anh ruột là giám sinh Nguyễn Ban lẻn ra kinh đô yết kiến hoàng thượng, để xin mệnh làm trấn thủ Nghệ An. Hoàng thượng liền hỏi kín Ban về tình hình quân lính của Chỉnh. Ban được thể, nói thêm lên để phô trương thanh thế cho Chỉnh. Hoàng thượng mừng lắm, bèn nói rằng: Việc ấy, trước mặt trẫm hữu quân đã từng tâu xin, mà trẫm cũng đã hứa cho rồi.
今又再请，当付下行敕，尔可留以俟命。」	Nay lại xin nữa thì sẽ làm cho tờ sắc ban xuống. Vậy ngươi hãy ở đó mà đợi mệnh!
左右劝帝曰：「右军远王近，未知后头胜负如何？	Các quan tả hữu thấy thế, khuyên nhà vua rằng: - Hữu quân ở xa mà chúa thì gần. Chưa biết sau này hai bên thua được ra sao?
若出此命，而右军事败，则王有辞矣！」	Nếu như mệnh này ban ra, mà việc của hữu quân không thành, thì chúa sẽ có cớ mà nói.
帝从之，未敢出命。	Hoàng thượng nghe theo, bèn thôi không dám hạ mệnh cho Chỉnh.
班忙归，矫称有帝诏敕，以整为乂安镇守开中权军营加爵鹏岭侯，将兵入卫。	Ban lật đật ra về, nói dối là đã có sắc của vua cho Chỉnh làm trấn thủ Nghệ An, được mở dinh quân Trung Hùng, thăng tước Bằng lĩnh hầu, đồng thời khiến Chỉnh phải đem quân về bảo vệ kinh sư.
整拜命为檄，号召豪目，收集散卒。	Chỉnh cũng vờ làm lễ bái mệnh, rồi truyền hịch đi kêu gọi các hào mục và thu thập các quân lính tản mát trong vùng.
于是豪目更相语曰：「彼诚可恶而实受帝命，吾若拒之，是与朝廷拒命，彼执以为言，何能逃罪？」	Do đó, các tay hào mục đều bảo nhau: - Hắn dẫu đáng ghét thật, nhưng nay đã chịu mệnh vua, nếu chống lại hắn tức là chống mệnh triều đình, hắn sẽ vin vào cớ đó mà nói, thì mình khó tránh khỏi tội.
乃舍珰忠而从整。旬日，得兵数万。	Rồi họ bỏ Đương trung hầu mà theo Chỉnh chỉ trong khoảng mươi ngày, Chỉnh đã thu nhặt được hàng vạn quân.
以其亲眷阮奎为视师，置四突四成军号，以奉敕保卫为名，刻日进发，部伍齐整，号令严肃。	Chỉnh bèn cho người bà con là Nguyễn Kim Khuê làm chức thị sư, đặt ra những hiệu quân Tứ đột, Tứ thành, lấy danh nghĩa là vâng sắc tôn phò nhà vua mà hẹn ngày xuất quân. Quân của Chỉnh tuy mới mộ, song đội ngũ chỉnh tề, hiệu lệnh nghiêm túc.
帝方恨壤胁制，日望整来，密下手诏，趣令即日就道，整大会师，而告之曰：「丁锡壤杨仲济等拥兵居京，阴谋不轨，忝受密旨归朝，以清君侧之贼，尚其同心戮力，以共捍帝于艰。」	Bấy giờ ở kinh sư hoàng thượng đang tức vì bị bọn Nhưỡng ăn hiếp, nên ngày đêm chỉ mong Chỉnh kéo quân ra. Hoàng thượng bèn ngầm ban xuống một tờ chiếu giục Chỉnh tức khắc lên đường. Chỉnh nhận được mệnh, vội hội họp đông đủ quân sĩ, rồi tuyên cáo với mọi người rằng: - Bọn Đinh Tích Nhưỡng và Dương Trọng Tế cầm quân ở kinh sư, ngầm mưu làm việc phản nghịch. Ta nay vâng mật chỉ đem quân về triều, để quét cho sạch lũ giặc bên cạnh nhà vua.
师渡琼瑠之黄枚津，遇参领满忠侯，督视潘辉益受晏都王命，募清华土兵以击整，整使铁骑铁突迎战之，战于玉山，满忠兵败闘死，益为其所获，整数其党壤叛帝之罪，且曰：「闻君造鼓甚大，锁之可容人否？」	Vậy các ngươi phải nên chung lòng gắng sức để cùng giúp nhà vua trong lúc khó khăn. Khi quân Chỉnh qua bến Hoàng Mai ở huyện Quỳnh Lưu, thì gặp tham lĩnh Mãn trung hầu và đốc thị Phan Huy Ích, hai người vâng mệnh chúa án đô vào mộ lính Thanh Hóa đánh Chỉnh. Chỉnh lập tức sai đội thiết kỵ bất thình lình đón đánh. Hai bên giao chiến ở địa phận Ngọc Sơn (một huyện giáp liền với Quỳnh Lưu. Nay là huyện Tĩnh Gia, Thanh Hoá). Kết quả, Mãn trung hầu bị thua, chết tại trận, còn Phan Huy Ích thì bị bắt sống. Chỉnh mắng Ích về những tội vào bè với Nhưỡng làm phản nhà vua, rồi hỏi: - Nghe nói nhà ngươi làm cái trống lớn lắm, chọc thủng mặt trống có thể chứa được người phải không?
益惶恐谢罪，阮奎与益有故，力为救解，整笑曰：「儒生大言，杀益亦无益也。」	Ích run sợ mà xin lỗi. Nguyễn Kim Khuê vì chỗ quen biết nên hết sức cứu gỡ cho Ích. Chỉnh cười khẩy mà rằng: - Hừ! Cái bộ thầy đồ nói khoác, giết cũng vô ích.
乃赦之，挟之偕行。	Đoạn Chỉnh tha cho Ích và bắt phải đi theo mình.
整既得胜，声势大振，报至京，晏都王召壤谋之。	Sau khi Chỉnh thắng được trận ấy, thanh thế càng lừng lẫy. Tin báo đến tai án đô vương, vương liền cho đòi Nhưỡng vào phủ để bàn cách chống cự.
时帝降密旨，令海阳诸豪攻破邯江，丁锡，壤不得已，力求领海阳广安二镇，自率部兵东归，两洪荆策士民素恶壤残暴。	Lúc này, hoàng thượng đã hạ mật chỉ sai các hào kiệt vùng Hải Dương đánh phá đất Hàm Giang để diệt trừ họ Đinh. Nhưỡng bất đắc dĩ phải cố xin được lĩnh chức trấn thủ hai trấn Hải Dương và Yên Quảng. Rồi Nhưỡng tự đem bộ hạ kéo về miền đông. Dân chúng các hạt Thượng Hồng, Hạ Hồng, Kinh Môn, Nam Sách vốn ghét Nhưỡng là kẻ tàn bạo, nên khi được mật chỉ của nhà vua, họ rất mừng.
及得帝旨，大喜，所在团结，移檄数壤之罪恶，四面围薄镇城，壤力不能制，夜溃围走，退保邯江。	Lập tức họ họp nhau thành từng đoàn, đưa hịch kể tội ác của Nhưỡng, rồi bốn mặt ào ào kéo đến, vây kín thành trấn. Nhưỡng liệu sức mình không ngăn nổi, bèn lừa lúc ban đêm, phá vỡ vòng vây, chạy về giữ Hàm Giang.
京中传言壤被东人杀了，右军整亦旦夕且至，京城必为战场，一日之间，虚惊乱走者数四，人情大骇，城中搬运提挈，争回乡邑，不可禁制。	Khi ấy, ở kinh kỳ người ta đồn rằng Nhưỡng đã bị dân xứ đông giết chết, chỉ trong sớm tối hữu quân Nguyễn Hữu Chỉnh sẽ đến nơi, kinh sư ắt thành bãi chiến trường. Trong một ngày, người ta nhốn nháo bỏ chạy đến ba bốn lần. Lòng người nơm nớp lo sợ. Dân chúng trong thành khuân chuyển đồ đạc, dắt già bế trẻ, tranh nhau chạy trốn về các vùng thôn quê; quan quân ngăn cấm cũng không được.
硕郡公知事不可为，私谓部曲曰：「帝王交恶，国事无主，丁壤既去，阮整将来，吾老师在此，非计之得也！	Quận Thạc biết sự thế không thể làm gì được nữa, liền bàn riêng với bộ hạ rằng: - Vua chúa thù ghét nhau, việc nước không có chủ. Quận Liễn đã đi mất rồi mà giặc Chỉnh lại sắp đến, ta đóng mãi ở đây, thật là thất sách.
不如退守山西，据上游之地，固根本之势，蓄威养锐，徐观天下之事，待时而发，将来必有奇功，诸公皆我麾下，鞭弭周旋，勉思奋力，行师之际，务在平定安集，切戒丁壤所至残暴，自取东人之叛。」	Chi bằng rút về Sơn Tây, chiếm cứ miền thượng du, giữ vững thế căn bản, bảo tồn lấy lực lượng, ung dung xem việc thiên hạ, chờ cơ hội mà nổi dậy, sau này ắt phải ký công. Các ngươi đều ở dưới cờ của ta, roi cung giong ruổi, phải nên gắng sức. Trong lúc trẩy quân, cần phải đánh dẹp trộm cướp, làm cho dân chúng ăn ở yên ổn, chứ đừng có bắt chước quận Liễn, đi đâu làm việc tàn bạo ở đó, khiến cho dân chúng xứ đông đều phản lại mình.
众曰：「敢不惟将令是听！」	Bọn thủ hạ đều nói: - Chúng tôi đâu dám chẳng nghe theo tướng lệnh?
乃敛众西归。	Quận Thạc liền thu quân trở về xứ Đoài (tức Sơn Tây). Thế là quận Liễn đi, quận Thạc lại đi nốt, kinh sư khi ấy thành ra một nơi trống rỗng. Hoàng thượng truyền cho các hoàng thân đốc thúc những lính đã mộ được đêm ngày tuần phòng, canh giữ cung điện. Còn ở bên phủ chúa thì chỉ có viên quyền phủ sự Bùi Nhuận, viên hành tham tụng Mai Thế Uông và viên bồi tụng Dương Trọng Tế, hàng ngày ngồi trong phủ đường thảo giấy bắt lính, thu lương. Nhưng các phủ huyện không một ai chịu làm theo.
时壤硕皆去，京城空虚，帝敕皇亲拣所募兵日夜戒严，防守殿内，在王府者惟权府事裴时润行参从枚世汪陪从杨仲济坐府堂中，行文书催督兵粮，州县卒无应者，所遣军吏出城，才过村邑，便为其所殴褫，赤身奔归，晏都王大以为忧，谓仲济曰：「大事去矣！	Người của phủ chúa sai đi, qua các thôn ấp đều bị dân quê đánh đập, lột quần áo, chỉ còn cái mình trần chạy về. Chúa án đô thấy vậy rất lo, nói với Trọng Tế: - Việc lớn hỏng mất rồi! Nếu không phải người có tài như Thiếu Khang, Thần My (Thiếu Khang là chắt vua Hạ Vũ; Thần My là bề tôi của Thiếu Khang. Lúc nhà Hạ bị bọn Hậu Nghệ, Hàn Sác cướp mất nước, Thiếu Khang và Thần My đã khôi phục được) thì không thể cứu vãn được tình thế.
非少康、臣靡之才，不能挽回，我不自揣量，业已为王，卿过于忠诚，业已辅我，今阅贼整之来，势头猛裂，谚曰：『骑虎之势，不得下』，欲了事者非卿不可！」	Ta không tự lượng sức mình, trót đã làm chúa. Nhà ngươi quá đỗi trung thành, trót đã giúp ta. Nay giặc Chỉnh sắp kéo ra, thế lực cực kỳ mạnh mẽ. Tục ngữ có nói: "ở vào thế cưỡi hổ không thể xuống được". Muốn cho xong việc này, phi nhà ngươi không còn ai.
乃以济为清华镇守，率兵御之。	Rồi chúa bèn sai Tế làm chức trấn thủ Thanh Hóa, đem quân chống nhau với Chỉnh.
济不得已押命。	Tế bất đắc dĩ phải xin vâng mệnh.
然闻人说整，气魄已先夺矣！	Nhưng khi nghe người ta nói đến tên Chỉnh thì Tế đã mất cả hồn vía.
师出缠桥，驻二日不发，王使人趣之，乃行。	Kéo quân ra đến ô Cầu Dền, Tế còn trùng trình đóng ở đó hai ngày, chưa chịu lên đường. Sau chúa phải cho người đến giục, Tế mới chịu đi.
才至平望，闻整已渡青厥江，济大惊曰：「除非董天王再世，孰能与彼对手？	Quân Tế vừa mới đến làng Bình Vọng (tức làng Bằng, Thường Tín, Hà Đông (Hà Sơn Bình)), thì có tin báo Chỉnh đã vượt sông Thanh Quyết, Tế giật mình mà rằng: Trừ phi có Phù Đổng thiên vương sống lại, còn ai có thể địch nổi với hắn? Quận Liễn, quận Thạc thật là biết thời cơ.
壤、硕可谓知几，悔我读书中人，反不若武弁之智，兹已晚矣！」	Tiếc thay ta là kẻ đọc sách biết chữ mà lại không bằng mưu trí của bọn võ biền! Bây giờ nghĩ lại thì đã muộn mất rồi!
即收众取路渡青池津，不及见王，直走京北，启请于王，求领京北镇守，召募豪目，以图再举。	Liền đó, Tế thu quân qua bến Thanh Trì, không kịp vào gặp án đô vương nữa. Chạy một mạch thẳng sang vùng Kinh Bắc, rồi Tế mới sai người về dâng tờ khải, xin án đô vương cho lĩnh chức trấn thủ Kinh Bắc, để chiêu mộ hào mục ở đó mà mưu đồ cuộc nổi dậy khác.
王见启，惶恐无措，如失左右手，召时润，润已挈室宵遁；召世汪，汪已谢病归第；王恸哭曰：「我初不幸生王家，后复为群小所误，早知如此，宁作彰德老僧，卓锡沙门之为愈也！」	Chúa án đô thấy tờ khải của Tế, sợ hãi luống cuống như mất cả hai cánh tay, lập tức cho gọi Bùi Nhuận. Nhưng Bùi Nhuận đã đem cả gia quyến trốn đi từ ban đêm rồi. Chúa lại cho đòi Sỹ Uông. Uông cũng thác bệnh xin về nhà riêng. Chúa khóc mếu nói: - Ta chẳng may đẻ ra ở nhà chúa, lại bị một lũ tiểu nhân làm cho lầm lỡ. Nếu sớm biết thế này, thà cứ ở Chương Đức làm ông sư già, chống cây thiền trượng (gậy của nhà sư) ở dưới cửa chiền mà lại hoá hay!
顾左右曰：「今将安之？」	Rồi chúa ngoảnh lại hỏi bọn tả hữu: - Bây giờ nên đi đâu?
有桂阳族人进曰：「请王且镇静，诣宫庙告变，收先王神主，听臣先去河觅舟，俟夜扈王北渡，归于臣乡。	Có người trong họ quê ở huyện Quế Dương tâu rằng: - Xin chúa cứ trấn tĩnh, hãy vào nhà Thái miếu làm lễ cáo biến, thu xếp thân chủ của tiền vương, để tôi ra sông tìm thuyền, chờ đến đêm khuya, tôi xin phò chúa qua sông sang bắc, đi về làng tôi.
臣家世为将典兵，慈山豪目皆出门庑，臣以忠义唱之，一呼无不应者，丁锡壤在锦江为左臂，杨仲济在嘉林为右臂，黄冯基在山西为外应，王驻跸桂阳号召勤王之师，画珥河之险以固守，整虽黠，岂敢北渡与我争锋？	Nhà tôi đã trải mấy đời làm tướng cầm quân, hào mục vùng Từ Sơn đều ở trong cửa mà ra, nếu tôi lấy điều trung nghĩa mà kêu gọi, chắc hẳn không ai là không theo. Đinh Tích Nhưỡng ở Cẩm Giàng làm cánh tay trái; Dương Trọng Tế ở Gia Lâm làm cánh tay phải; Hoàng Phùng Cơ ở Sơn Tây làm ngoại ứng; còn chúa cứ việc đóng tại huyện Quế Dương mà hiệu triệu quân cần vương, đồng thời dựa vào thế hiểm của sông Nhị Hà để cố thủ. Chỉnh tuy hung tợn, há dám sang sông đánh nhau cùng ta?
王请勿忧。」	Xin chúa đừng lo!
王喜曰：「或者天未亡郑，以子畀我！	Chúa mừng rỡ mà rằng: - Có lẽ trời chưa nỡ làm mất họ Trịnh, nên mới đem ngươi mà ban cho ta.
果如其言，社稷之福也！」	Nếu quả như lời ngươi nói, thật là phúc lớn cho xã tắc vậy!
	Đồng hồ (đây là đồng hồ ngày xưa: người ta dùng một cái bình đựng nước có khắc từng độ, và có lỗ cho nước nhỏ giọt dần dần, rồi cứ xem mực nước mà biết giờ giấc) nhỏ giọt xuống đến trống canh ba.
迨漏下二鼓，王乃北幸，驺仆才数十人，清乂散卒、亲军无一人从者。	án đô vương bèn lẻn sang bắc, quan quân theo hầu chỉ chừng vài chục người. Tàn binh Thanh Nghệ ở trong bốn đội quân thị vệ không một tên nào đi theo.
旦日帝始知王夜去，密使人放火，尽焚王府，烟焰冲天，十余日不灭，二百年楼台宫阙崇朝一炬，可怜焦土，远近闻之，莫不悯王而甚帝者！	Sớm hôm sau, hoàng thượng mới biết là án đô vương đã trốn đi lúc ban đêm tức thì ngầm sai người phóng hoả đốt hết phủ chúa. Khi phủ cháy, khói lửa bốc lên ngút trời, hơn mười ngày chưa tắt. Thế là hai trăm năm lâu đài cung khuyết huy hoàng bỗng chốc đã thành ra bãi đất cháy đen! Xa gần nghe thấy tin đó, ai cũng thương chúa và trách vua làm quá đáng.
时丙午十二月初八日也。	Hôm ấy nhằm ngày mồng 8 tháng chạp năm Bính Ngọ (1786).
且说阮有整师渡青厥，先遗黎珏奉表言：「臣钦旨提兵入卫，谨于前月出师，比至玉山，黎忠义潘辉益敢与拒战，臣麾铁骑蹂之，斩忠义，获辉益，遥伏天威，士气百倍，清华以北，所在士民莫不欢迎。	Lại nói, khi qua khỏi sông Thanh Quyết, Chỉnh trước hết cho ngay bộ hạ là Lê Giốc đem biểu tới dâng nhà vua. Trong biểu đại ý nói rằng: "Thần vâng chỉ kéo quân vào bảo vệ kinh sư, đã kính cẩn xuất quân từ tháng trước. Khi tới huyện Ngọc Sơn, Lê Trung Nghĩa (tức Mãn trung hầu) và Phan Huy Ích dám ra chống cự, thần vẫy toán thiết kỵ tiến đánh, chém chết Trung Nghĩa, bắt sống Huy Ích. Nhờ về oai trời, lòng hăng hái của quân sĩ tăng lên gấp trăm lần. Từ Thanh Hoá trở ra Bắc, thần đi tới đâu dân chúng vui mừng đón rước tới đó.
谨奉宣示威德，使之案堵，臣躬亲甲胄，梦想钧韶，下情无任恋阙之至。	Đến chỗ nào thần cùng đều kính cẩn tuyên bố oai đức của nhà vua, khiến cho đâu đấy đều yên nghiệp làm ăn. Thần nay thân mang giáp trụ, hồn mơ tưởng quân thiều (khúc nhạc của vua Thuấn. ở đây mượn để chỉ vào nhà vua), tấc lòng khôn xiết nhớ mong cửa khuyết.
上览表大悦，问以乂安情状，珏具以实对。	Hoàng thượng xem xong tờ biểu, mừng lắm, liền hỏi thăm về tình trạng khi ở trấn Nghệ An, Giốc cứ thực mà tâu.
上曰：「可谓善权。」以珏为内翰院供奉使签书枢密院事营左威奇。	Hoàng thượng khen Chỉnh đã khéo quyền biến; rồi phong cho Giốc làm chức nội hàn viện cung phụng sứ thiêm thư khu mật viện sự, trông coi cơ Tả oai.
整至盛烈，上命廷臣郊迎，整入朝，赐见于中和殿，上慰劳之。	Khi Chỉnh tới làng Thịnh Liệt, hoàng thượng sai các quan triều ra ngoài cửa ô đón tiếp. Lúc Chỉnh vào triều hoàng thượng cho ra mắt ở điện Trung Hoà và ân cần an uỷ.
整进曰：「近日骄兵起变，大臣蒙难，臣时领兵居外，不为郑主所容，至于亡身去国。	Chỉnh tâu rằng: - Gần đây, kiêu binh làm loạn, đại thần (chỉ quận Huy) gặp nạn, thần bấy giờ đang cầm quân ở ngoài, vì chúa Trịnh không dong, nên phải bỏ nước trốn đi.
臣深惟乱本于纲常紊舛，冠履倒置。	Thần đã nghĩ kỹ, nguồn gốc của sự rối loạn ấy, là do cương thường sai trái, mũ dép đảo lộn mà ra.
庚申、辛酉年间，国人之忠烈者，盖常以是发愤，或挟皇亲而唱义；或据郡邑以召兵，事虽不成，义声已振，人同此心，非臣徒为身谋构此衅隙，臣以义动人，重整基图，欲明君臣之分，顺天地之理，其于郑主何仇，天若悔祸，人能改过，岂非国家之福！	Khoảng năm Canh Thân (1740), Tân Dậu (1741), những kẻ trung nghĩa trong nước đều căm tức về chuyện ấy, người thì phò hoàng thân mà nổi dậy, người thì giữ quận ấp mà mộ binh. Công việc của họ tuy không thành, nhưng cái tiếng nghĩa khí cũng đã lan rộng. Coi đó đủ biết, người ta ai cũng chung một bụng ấy, không phải thần vì mưu riêng của thân mình mà gây ra hiềm khích. Vả chăng thần lấy điều nghĩa mà cảm động lòng người, là cốt để chỉnh đốn lại cơ đồ nhà vua, làm sáng tỏ đạo quân thần cho hợp với lẽ trời đất. Chớ còn đối với chúa Trịnh, thần có thù oán gì đâu? Nay nếu lòng trời đã hối việc gieo hoạ, mọi người đều biết sửa lỗi lầm; đó há chẳng phải là phúc lớn của nước nhà sao?
先帝悯臣此心，钦蒙温谕，臣不胜感激，国人不知臣者反以为罪，复谋蹈于覆辙，必欲甘心于臣，以挠陛下初政，伏惟烛微虑远，何所不照，臣非敢媒人之孽，蔽己之过，知臣者君，望赐昭鉴。」	Tiên đế thương tấm lòng ấy của thần, đã dùng những lời lẽ ôn tồn để dụ thần, thần thật cảm kích khôn xiết. Vậy mà người trong nước, những kẻ không hiểu thần, lại cho thần là có tội. Họ muốn mưu đồ bước theo vết xe đã đổ, rắp tâm giết chết thần để quấy rối chính sự buổi đầu của bệ hạ. Cúi xin bệ hạ xét kỹ lo xa, không có điều gì là không soi đến. Thần chẳng dám đổ vạ cho người để che lỗi của mình. Người xưa đã nói: "Biết tôi là vua". Mong ở lượng trên soi xét.
上曰：「朕已知之，今辅朕平乱略，致太平者，惟卿是赖。」	Hoàng thượng nói: - Trẫm đã biết rồi! Ngày nay giúp trẫm dẹp yên loạn lạc, làm cho nước được thái bình, chỉ nhờ nhà người mà thôi!
乃加整平章军国重事，封鹏忠公，所亲阮奎子阮攸并封侯典兵，同属相府部曲将士，升职有差。	Rồi đó, hoàng thượng thăng cho Chỉnh làm chức bình chương quân quốc trọng sự, tước Bằng trung công. Một người thân cận với Chỉnh là Nguyễn Kim Khuê và con trai Chỉnh là Nguyễn Hữu Du đều được phong tước hầu, được cầm quân và cùng thuộc vào trong tướng phủ. Ngoài ra, bao nhiêu bộ hạ, tướng sĩ của Chỉnh, cũng đều được theo thứ bậc mà thăng chức tất cả.
初整之归乂安也，文臣阮廷简在朝，极言整援外兵破宗国之罪，请以讨整为己任，以殄国贼，誓不与之俱生，公议壮之而不之许。	Khi Chỉnh mới chạy về Nghệ An, trong triều có viên quan văn là Nguyễn Đình Giản, thường vẫn nói mãi về tội Chỉnh dắt quân nước ngoài về phá nước nhà; lại xin gánh vác việc đánh Chỉnh để giết tên giặc của nước, và thề không cùng sống với Chỉnh. Bấy giờ triều đình cũng cho là người hăng hái, nhưng không dám chuẩn y lời xin của Giản.
那简弘化永治人，己丑科进士，性质直刚抗，好攻人之过，虽贵近亲故，未尝不面斥其非，无所回避，人皆以直许之。	Viên quan Nguyễn Đình Giản ấy, người làng Vĩnh Trị, huyện Hoằng Hoá, đỗ tiến sĩ khoa Kỷ Sửu (1769), là người chất phác, cương trực, hay công kích lỗi lầm của người khác. Kẻ có lỗi dẫu là bậc quyền quý, là bạn bè gần gũi hay là bà con thân thuộc, Giản cũng đều vạch lỗi ngay trước mặt, không hề kiêng nể.
至是整来，简奉命往山西招谕未还，众私相议曰：「简闻之必不归，归必不屈，将与黄冯基合谋以图整，简若归朝，整必不容，将阴陷以事杀之而后已。	Bởi vậy mọi người đều khen Giản là thẳng thắn. Đến lúc Chỉnh vào kinh, thì Giản đang vâng mệnh đi chiêu dụ ở trấn Sơn Tây chưa về. Các quan bàn riêng với nhau: Giản chắc không về, mà có về chắc cũng không chịu khuất phục, nhất định Giản sẽ lập mưu với Hoàng Phùng Cơ để diệt Chỉnh. Nếu Giản về triều, chắc Chỉnh sẽ không dung, thế nào Chỉnh cũng ngầm kiếm cớ để giết Giản.
二者未知如何？」	Hai sự việc ấy không biết rồi sẽ ra sao?
阮奎闻之，以问整曰：「简何如人？」	Kim Khuê nghe được những lời bàn ấy, bèn hỏi Chỉnh: - Ông cho Nguyễn Đình Giản là hạng người như thế nào?
