第三回。	Hồi thứ ba.
王圣母素厚太子，见皇孙归，恐太子失位，使人阳召皇孙入侍黉宫，阴送珥河沉之，以钢床逼皇孙行过莲湖，皇孙号呼于辋中，为更兵禁住，辋夫及随人四散，皇孙得免。	Thấy hoàng tôn về, bà ta sợ thái tử Cận mất ngôi, liền sai người giả vờ mời hoàng tôn vào chầu ở cung Huỳnh, để lừa bắt hoàng tôn đem dìm xuống sông Nhĩ Hà. Lúc hoàng tôn vào cung, bà ta cho tay chân bức hoàng tôn phải nằm lên cáng rồi bí mật khiêng đi. Khi qua hồ Sen. hoàng tôn nằm trong cáng kêu gào ầm ĩ: lính canh nghe tiếng, quát phải đứng lại. Phu cáng và tên đi theo bỏ chạy tứ tung, nhân đó hoàng tôn được thoát nạn (theo Cương mục thì hơi khác; bà nội Tông sai hoạn quan Liêm Tăng ép Kỳ tới chầu hầu, để bí mật giết chết. Kỳ chối không được, vừa khóc vừa đi.
于是三军喧腾，要究出谋害皇孙者而杀之，太子预闻其故，入侍王府，乘舆置于府堂门外，诸军怒曰：「天子可幸求耶？	Do đó, quân lính phát hiện được la hét đòi tra ra kẻ thủ mưu. Họ tìm Liêm Tăng không thấy, có ý ngờ cho Cận chủ mưu). Bấy giờ ba quân ồn ào nhốn nháo, muốn tra ra kẻ mưu hại hoàng tôn để bắt mà giết đi. Thái tử Cận nghe được chuyện đó, liền vào phủ hầu chúa. Thấy kiệu thái tử để ở ngoài cửa phủ, quân lính đều tức giận nói: "Ngôi vua lại có thể cầu may mà được à?
母留此教他得便奔走，为不等事。」	Để chi cái của này để hắn tiện đường chạy chọt làm những việc bậy bạ!"
乃击碎之。	Rồi họ phá tan chiếc kiệu.
太子恐惧，微服潜回。	Thái tử Cận hoảng sợ phải ăn mặc giả làm thường dân mà lẻn về cung.
王知这事衅由慈宫，乃谕三军，令勿喧闹。	Chúa biết việc đó là do ở nơi bà mình gây ra, bèn dụ quân lính không nên làm ồn ào.
即令廷议立皇孙正位东宫，以安三军之情，逼令太子让位，降封崇让公。	Rồi lập tức sai triều đình bàn định việc dựng hoàng tôn Kỳ lên ngôi đông cung, cho được yên lòng ba quân. Chúa ép thái tử Cận phải nhường ngôi và giáng phong làm Sùng nhượng công.
皇孙即为皇嗣孙，上命置讲官，蒙养之功日就月将。	Thế là hoàng tôn Lê Duy Kỳ được lên ngôi làm hoàng tự tôn. Hoàng thượng liền sai đặt ra các giảng quan để trông nom việc học hành. Công phu dạy dỗ ấy, ngày tháng thêm nhiều mãi.
由是贤圣仁孝，闻于中外，诸军遂有尊扶受禅之谋。	Do đó cái tiếng thánh hiền nhân hiếu của hoàng tôn được đồn vang khắp cả trong ngoài. Cũng do đó mà quân lính mới có cái mưu tôn phò cho hoàng tôn lên làm vua.
至是允奎发其事，虽究出无状，而王心终亦疑之。	Đến khi Doãn Khuê tố cáo, tuy tra xét không thấy có bằng chứng gì, nhưng cuối cùng chúa cũng vẫn ngờ.
一日诸军相会以迎回皇孙之功，奏白皇上，希求恩赐。	Một hôm, quân lính họp nhau, đem việc đón rước hoàng tôn ở nhà giam ra tâu lên hoàng thượng, để kể công và xin được ban ơn.
皇上许入拜于万寿庭，宣旨慰劳，令左番吏使攻莲湖鱼，以鲭鱼烩宴诸军，而徐议赏格。	Hoàng thượng cho ba quân vào lạy ở sân điện Vạn thọ, tuyên chỉ uý lạo họ. Rồi truyền cho viên tả phiên lại sai người đánh cá hồ Sen lên, chọn lấy cá trắm làm gỏi thết đãi cả bọn. Sau đó mới từ từ bàn đến cách thưởng công cho họ.
诸军会宴殿上，有人驰告于王，王召国师国舅，谓曰：「骄兵尊扶之谋，扑不可灭，今彼辈方会于殿上，为之奈何何？」	Lúc quân lính ngồi dự yến tiệc ở trên điện, có kẻ chạy đi báo tin với chúa. Chúa cho đòi ngay quốc sư Nguyễn Khản, quốc cữu Dương Khuông vào phủ và bảo: - Cái mưu mô tôn phò của bọn kiêu binh thật là giập không thể tắt được! Hiện giờ chúng nó đang tụ họp trên điện nhà vua. Vậy ta nên làm thế nào?
国师请捕而诛之。	Quốc sư Nguyễn Khản đáp: - Xin cho bắt mà giết đi!
乃命仍一首号沾武侯将风云兵来捕。	Chúa bèn sai viên đầu hiệu đội Nhưng nhất là Triêm vũ hầu (tên là Nguyễn Triêm) đem đội quân Phong vân đến vây bắt.
这沾武侯安朗富华人，试中造士，仪状雄伟，胆敢有力。	Gã Triêm vũ hầu này người làng Phú Hoa, huyện Yên Lãng, thi đỗ tạo sĩ, dáng người hùng vĩ, có can đảm lại có sức khoẻ.
既衔命，提剑出府门，按剑以手摹其刃曰：「利哉剑！	Sau khi vâng mệnh chúa, Triêm vũ hầu liền xách gươm đi thẳng ra ngoài cửa phủ, rồi tuốt gươm ra, lấy tay gại gại vào lưỡi gươm mà nói: "Gươm sắc lắm!
利哉剑！	Gươm sắc lắm!
好斫骄兵头。」	Chém được đầu kiêu binh đây!".
乃引兵就殿上聚宴处围之。	Tiếp đó gã dẫn quân xông thẳng lên trên điện, vây lấy chỗ bọn kiêu binh đang tụ họp ăn uống.
诸军方宴，闻有兵来拿，四下逃窜，擒得七人送归府堂。	Ba quân đang mải mê chè chén, thấy có lính đến vây bắt thì đều hoảng hốt bỏ chạy tán loạn. Triêm vũ hầu và đội quân Phong vân đuổi bắt được bảy tên, đem giải về phủ chúa.
王命立召百官议处，百官齐集，将七人问状，七人具以实对，并无别谋。	Chúa lập tức cho với các quan tới để bàn cách xử trí. Các quan tới đông đủ, đem cả bảy tên ra tra hỏi. Bảy tên cứ thực tình khai hết, không có âm mưu gì khác cả.
众议皆回护者，元舅独毅然曰：「不须问某状，只惯会不悛，定当处斩，更有何议论。	Các quan họp bàn đều có ý che chở cho họ. Riêng nguyên cữu Dương Khuông lại quả quyết mà rằng: - Không phải hỏi tội trạng nào cả! Chỉ cái thói hay tụ họp mà không chừa cũng đáng xử chém rồi, còn phải bàn bạc làm gì nữa?
彼恃众而骄，不可一时尽杀，但犯者不容便了。	Bọn chúng cứ cậy đông người mà ngông nghênh, không thể một lúc giết cho hết được. Nhưng hễ đứa nào phạm tội thì quyết không dung tha.
譬如一握箸，劲不可折，特扳其一二而折之，久久即尽。	Ví như cả bó đũa thì không thể nào bẻ gãy được, nhưng nếu cứ rút riêng một hai chiếc ra mà bẻ, thì lâu dần rồi cũng phải gãy hết.
前日斩四人，曾不见向谁人责偿也。」	Hôm nọ chém bốn đứa đó, thế là chịu chết bốn đứa, có thấy chúng bắt đền được ai đâu?
国师曰：「国舅之言，深有理，诸官按律行之。」	Quốc sư Nguyễn Khản cũng nói thêm: - Lời bàn của quốc cữu thực là có lý. Các quan cứ nên theo luật mà thi hành.
乃按偷入皇城之律，并议处枭。	Các quan bèn chiểu theo điều luật "vào trộm hoàng thành" mà xử cả bảy tên vào tội bêu đầu.
条上，王命即日处决，于是中外相传称快，时景兴甲辰二月十五日也。	Tờ khải dâng lên, chúa sai đem tội phạm ra chém ngay hôm đó. Trong triều ngoài phố, ai cũng lấy làm hể hả. Bữa ấy nhằm ngày 15 tháng thái tử năm Nhâm Thìn, niên hiệu Cảnh Hưng (1772).
七人既死，诸军各怀忿怨，相聚谋曰：「今日有此朝廷，使其君臣得安享富贵，我等之力，不以为德，反以为仇，动辄裁抑。	Sau vụ bảy kiêu binh bị giết chết, ba quân thẩy đều đem lòng oán giận. Họ lại họp nhau bàn bạc. Một người trong bọn nói: - Ngày nay được có triều đình này, khiến cho chúa tôi ngồi yên mà hưởng phú quí, đều là do công sức của chúng mình cả. Thế mà, họ chẳng ơn thì chớ, lại còn cho là kẻ thù, động một tí là bị đè nén.
我若姑息忍耐，使彼折箸之计成，吾等无噍类矣！」	Nếu chúng ta cứ chần chừ nín nhịn mãi, khiến cho cái mưu "bẻ đũa" của họ thành được, thì rồi bọn mình sẽ không còn người nào sống sót đâu!
有曰：「吾等不会折，惟会打矣！	Một người khác lại nói: - Chúng ta không biết bẻ, chỉ biết "đả" thôi!
快着每人一拳，送他辈从晖郡去，看他还折得么？」	Mau mau mỗi người một đấm, đưa ngay chúng đi theo quận Huy, xem chúng nó có còn bẻ được nữa hay không?
乃相约次日退朝举事。	Rồi họ hẹn nhau đến hôm sau, vào lúc tan chầu thì sẽ khởi sự.
有人以其谋密告诸员，诸员且疑且信。	Có kẻ đem việc đó mật báo với các quan trong triều. Các quan nửa ngờ, nửa tin.
次早，国舅与沾武潜入府中，国师闭门居第，不敢造朝。	Sớm hôm sau, quốc cữu Dương Khuông và Triêm vũ hầu đi lén vào trong phủ. Còn quốc sư Nguyễn Khản thì đóng cửa nằm nhà, không dám vào triều.
朝退，众军分兵围其营捕之，入国舅沾武家不见，立破其家。	Tan chầu, quân lính chia nhau đi bủa vây các dinh thự. Vào nhà Dương Khuông và Triêm vũ hầu, không thấy hai người, quân lính tức thì hò nhau phá nhà.
顷刻皆为平地。	Chỉ trong chốc lát, cả hai dinh đó đều bị san thành đất bằng.
惟国师家有手下北客人，素善剑术，他闻变，提剑出门捍之。	Riêng ở dinh quốc sư Dương Khuông, có một thủ hạ là người khách phương Bắc (chỉ người Trung Quốc lúc bấy giờ), vốn rất giỏi thuật đánh kiếm. Nghe tin có biến, hắn vội tuốt gươm ra đứng giữ ở cổng.
诸军见北客样，疑有许多剑客，不敢入。	Quân lính nom bộ dạng người khách phương Bắc ngờ ở trong còn nhiều tay kiếm khách khác, nên không dám vào.
久之，出出入入，只这一人，遂逼入门。	Nhưng lâu lâu, họ thấy ra ra vào vào vẫn chỉ có một hắn ta; tức thì cả bọn liền sấn ngay vào sát cổng.
客提剑之，伤数人，众军齐入，斫为肉泥，遂入其营。	Người khách múa gươm ra đánh, chém bị thương vài người, quân lính kéo ùa vào, vằm hắn ra nát như bùn.
国师已改服，从间路走射场坞门去了。	Rồi họ xông thẳng vào trong dinh; lúc ấy Khản đã thay đổi quần áo, theo đường tắt chạy ra cửa ô Trường Bắn mà trốn đi rồi.
诸军破其家，王闻国师营有人捍御，以为有备可保无事，命一号官军直来分解。	Quân lính lập tức phá tan dinh của Khản. Chúa nghe tin dinh thự của quốc sư Nguyễn Khản có người canh giữ, cho rằng Khản đã phòng bị, chắc không việc gì; bèn sai một hiệu quân đến ngay đó để phân giải.
至则国师已逃，其营破荡将尽，诸军再归告王曰：「国师提兵出外作乱，请追蹑之。」	Nhưng lúc quan quân tới nơi thì Khản đã bỏ trốn, dinh thự đã bị phá gần hết. Sau đó, đám kiêu binh lại kéo về phủ bảo với chúa rằng: - Quốc sư mang quân ra ngoài làm loạn, xin chúa cho người đuổi theo!
王使侍臣佥知兵番湍忠侯将兵追之，密令徐徐而行。	Chúa bất đắc dĩ phải sai viên thị thần là thiêm tri binh phiên Thoan trung hầu đem quân đuổi theo Khản; nhưng lại dặn ngầm là cứ đi từ từ để cho Khản chạy thoát.
湍追至纸桥坞门外，不及而还。	Thoan trung hầu đuổi đến ô Cầu Giấy không theo kịp Khản, lại quay trở về.
诸军怒湍不力，又破湍家，湍亦逃去。	Quân lính giận Thoan trung hầu không chịu đem hết sức ra đuổi, liền kéo đến nhà phá luôn nhà hắn ta. Thoan trung hầu cũng phải chạy trốn nốt.
诸军不见这三员，意甚愤愤，知国舅与沾武匿在府中，乃分道遮截府门，而相率入府堂，要王出这二人。	Quân lính không bắt được ba viên quan ấy, lấy làm căm tức lắm. Sau khi dò biết quốc cữu Dương Khuông và Triêm vũ hầu lẩn trốn trong phủ chúa, họ bèn chia nhau chắn kín cửa phủ, rồi cho một toán xông vào bên trong, đòi chúa phải đưa hai viên ấy ra cho họ.
王诈曰：「不见。」	Chúa nói dối rằng: - Không thấy ai trong này cả!
众军曰：「他逃入府中已有人见知，现记时刻而王犹抵赖耶？	Quân lính đều nhao nhao: - Chúng trốn vào phủ, đã có người trông thấy rõ ràng. Người ta còn nhớ cả giờ chúng đi vào nữa, thế nhà chúa còn chối à?
古者岂有停止王者。」	Xưa nay há lại có chuyện vua chúa chứa giặc ở trong cung bao giờ?
杨太圮泣谕诸军曰：「未亡人幸赖三军扶立王上，得至于此。	Dương thái phi vừa khóc vừa dỗ dành các quân lính rằng: - Cái thân goá bụa may nhờ có ba quân phò chúa mới được như thế này!
今只有一弟愿诸军饶他性命，以全骨肉之恩。」	Nay chỉ còn có một đứa em, xin ba quân hãy tha mạng nó, để cho được trọn vẹn cái ơn xương thịt.
众厉声曰：「饶阿舅性命，前日彼七人死，谁饶？	Đám kiêu binh thét lên: - Tha mạng cậu ấy à! Thế hôm nọ bảy mạng người chết, ai tha?
若固匿之，立见宫阙为灰！这也不和？」	Nếu còn cố giấu, cung khuyết sẽ ra tro ngay lập tức, cái đó chắc cũng không hay ho gì!
太妃坐于地下，合手将拜。	Thái phi bèn ngồi sụp xuống đất, chắp hai tay lại vái lạy, van xin.
诸军又曰：「不说与妇人，只问王耳！」	Các quân lính lại nói: - Không nói chuyện với đàn bà. Chỉ hỏi nhà chúa thôi!
王曰：「如此相逼，宁勿立为王！」	Chúa nói: - Bức bách nhau thế này, thà đừng lập làm chúa còn hơn!
请军曰：「以为王欲，故立之，不欲，谁强？」	Quân lính nói: - Tưởng rằng muốn làm chúa nên mới lập, chớ nếu không muốn thì có ai ép?
一人从而言曰：「饶舌若是！	Một người nữa hùa theo nói: - Bẻm mép thế!
且下却座陛，别扶瑞郡公来则了矣！」	Thôi, hãy xuống khỏi bệ đi! Chúng tôi mời Thuỵ quận công đến là khắc yên chuyện.
王惶恐不敢作声。	Chúa hoảng sợ, không dám ho he gì nữa.
会日暮，诸军各散，曰：「他譬如捕鱼，水深则鱼藏，来日决水令涸，看他能飞上天耶！」	Lúc bấy giờ đã sắp tối, bọn quân lính đều tản ra về, và họ còn nói thêm: - Bắt chúng nó cũng ví như bắt cá. Nước sâu thì cá còn lặn; đến mai tháo cho cạn nước, xem chúng nó có thể bay lên trời được không?
是夜诸军防守府门甚密。	Đêm ấy, kiêu binh canh giữ cửa phủ rất chặt chẽ.
王与太妃谋曰：「他如此势头不可以空言讲解，须以厚币赂他，庶几可济！	Chúa bàn với thái phi rằng: - Khí thế của chúng như vậy, không thể dùng lời nói suông mà giảng giải được đâu.
不然，更设计策。」太妃曰：「闻有仍卞吏耎寿，为人狡猾，诸军有所谋多取决于他。」	Cần phải mất nhiều của đấm mõm cho chúng nó, may ra mới xong, nếu không, thì phải xoay kế khác... Thái phi đáp: - Nghe nói có tên Nhuyến Thọ, biện lại đội Nhưng Nhất là một đứa giảo quyệt, bọn kiêu binh làm gì cũng phải hỏi mưu nó.
旦日王使人谕耎寿，以货赂为意，令他主其事，许银一万两，钱三万贯，纵他所为，不问其出入。	Sáng mai, chúa bèn cho người ra dụ Thọ, ngỏ ý đút lót, bảo Thọ hễ nhận thu xếp việc này, sẽ giao một vạn lạng bạc, ba vạn quan tiền, cho y mặc sức muốn làm gì thì làm, không cần hỏi đến.
且曰：一事济之后，更有重赏。」	Lại hứa thêm rằng: "Nếu làm xong việc, sẽ còn có trọng thưởng nữa".
耎寿心已许可，犹作难色曰：「他万人万口，难与言语，动出货赂意，便生嫌疑，倘有一二人横说，怒气冲撞，敞腰还堪得几掌。」	Nhuyến Thọ trong bụng đã ưng, nhưng còn làm bộ khó khăn mà rằng: - Bọn họ muôn người muôn miệng, khó mà nói năng được với họ. Vả chăng, hễ đã ngỏ ý đút lót thì thế nào họ cũng sinh ngờ vực. Rồi ngộ nhỡ lúc ấy lại có một vài người bàn ngang vào nữa, làm cho cơn giận của họ bốc lên, thì lưng tôi phỏng chịu được mấy đấm?
使者固要之，耎曰：「既如此，容臣择其老点者数十人，与之心输情合，与臣倡和，或这数十人别有所请，随王商量，臣请自勾当，至若公共银钱，待这时众军齐集，出自王言，臣与这数十人从旁倡和，则事可成矣！」	Người của chúa sai đến vẫn cố kèo nài. Nhuyến Thọ ngần ngừ đáp: - Nếu vậy để tôi lựa chọn lấy mấy chục người hung hăng, táo tợn nhất, đem tình thực ra bàn với họ, rồi bảo họ phụ hoạ thêm với tôi. Nhưng khi bàn bạc, giả sử mấy chục người này có đòi thêm điều gì, thì tuỳ nhà chúa thương lượng lấy; tôi chỉ xin đứng ra làm kẻ dàn xếp mà thôi. Còn như cái khoản tiền bạc công cộng kia, cũng xin đợi đến lúc quân lính tập hợp đông đủ đã. Bấy giờ nhà chúa sẽ tự ngỏ lời trước; tôi và mấy chục người này ở bên cạnh hùa thêm vào, như thế việc mới có thể thành được!
使者言于王，王许之，私送他银一千南，使之分发。	Người ấy về nói lại với chúa. Chúa bằng lòng, liền sai đưa riêng Nhuyến Thọ một ngàn lạng bạc để hắn phân phát.
晡时，诸军复相会，入逼府中，王与太妃再出慰谕，诸军曰：「何事腾口，只要入禁中遍索诸府堂，把枕发拽出来，问他握中箸，还能折得几个？」	Gần chiều, quân lính lại tụ họp và tiến sát vào tận trong phủ. Chúa và thái phi lại phải ra dỗ dành. Bọn lính nói: - Việc gì mà phải lắm mồm! Cứ vào trong cửa cấm lùng khắp toà phủ, rồi túm búi tóc lôi ra, hỏi hắn xem cái nắm đũa ấy còn có thể bẻ được mấy chiếc nữa?
王曰：「诸军何快于是，徒污手耳！	Chúa nói: - Ba quân làm như vậy thì có sướng gì, chẳng qua chỉ thêm bẩn tay mà thôi!
寡人有不腆微物若干，具遁犒赏诸军回心，饶两个微命。」	Nay quả nhân có chút quà mọn là một vạn lạng bạc, ba vạn quan tiền, xin đưa để khao thưởng ba quân, mong ba quân hãy nghĩ lại mà tha thứ cho hai cái mạng nhỏ bé đó!
诸军曰：「王独惜此二人，行看府堂皆不可保，臣等何取此数银钱。」	Đám kiêu binh đáp: - Chúa còn tiếc hai người đó, rồi sẽ thấy phủ đường cũng không giữ được đâu. Bọn tôi cần gì số tiền bạc ấy!
正喧腾间，耎寿出次言曰：「堂堂王者，既如此卑屈，诸军不可尽辞。」	Giữa lúc họ đang nhao nhao, Nhuyến Thọ bỗng vượt lên phía trước và nói: - Nhà chúa là bề trên đã phải chịu nhũn như vậy; các anh em không nên ăn nói cạn tàu ráo máng quá!
这数十人各各附和，毕竟卒徒，孰不贪利。	Tiếp đó bọn mấy chục người kia cũng mỗi người một câu phụ hoạ thêm vào.
遂降心，言于王曰：「既如此，太妃亲弟姑且饶之，沾武中天人，臣等请每人一片肉为酒肴，便即散去。」	Rút cục lính tráng ai chẳng hám lợi, họ bèn dịu giọng mà rằng: - Đã thế, thì hãy tha cho em ruột thái phi. Còn Triêm vũ hầu là người giữa trời, bọn tôi phải xin mỗi người một miếng thịt để nhắm rượu, rồi sẽ tan về ngay tức khắc. Nếu không, thì dẫu có số tiền ấy cũng chẳng làm cho ba quân nguôi giận được.
王曰：「赦须全赦，何分彼此。」	Chúa nói: - Tha thì tha cả. Sao còn tách bạch người nọ người kia?
诸军曰：「王若迟回，曲蔽沾武，臣等血入心时，连国舅也不免。」	Quân lính nói: - Nhà chúa nếu còn quanh co che chở cho Triêm vũ hầu; bọn tôi khi "máu đã nhập tim" (do câu tục ngữ: "Máu nhập tim, nhà lim cũng nhỏ"), thì ngay cả quốc cữu cũng không tha nữa!
这沾武自前日入府，匿于麟阁上，以双剑自卫，心自念诸军若不听王调停，直入捉他，他便于梯上斫众兵三五人头，不肯独死。	Nguyên hôm trước Triêm vũ hầu trốn vào phủ, lẩn ở trên gác Kỳ lân, vẫn dùng đôi kiếm để giữ mình. Trong lúc bọn quân lính đòi giết, Triêm vũ hầu bụng bảo dạ: "Nếu chúng không nghe nhà chúa điều đình, mà cứ xông vào bắt ta, thì phải đứng trên thang chém lấy dăm ba cái đầu của bọn chúng, chứ ta không chịu chết một mình!".
至是事迫，王使人谕曰：「今社稷危如一发，王不复能相隐蔽，将军且为勿惜一死，使王室奠安，万世之功也。」	Đến lúc này việc đã gấp quá, chúa bèn sai người đến dỗ Triêm vũ hầu rằng: "Bây giờ xã tắc nguy nan như treo trên sợi tóc, nhà chúa không thể cố giấu tướng quân được nữa. Vậy xin tướng quân hãy vì chúa chớ tiếc cái chết, để cho nhà chúa được yên. Đó là công muôn đời của tướng quân!"
沾武不得已，下梯见王曰：「死便死，臣请双手双剑与他大斗一场，快杀数百人，以少泄王怒。」	Triêm vũ hầu bất đắc dĩ phải trèo thang xuống ra mắt chúa mà nói: - Chết thì chết, thần xin hai tay hai kiếm tung hoành với chúng nó một trận, giết gọn lấy vài trăm đứa, cho hả bớt cơn giận của nhà chúa!
王曰：「如此徒惊动太妃，寡人亦不自保。」	Chúa nói: - Như thế chỉ làm cho thái phi kinh sợ, mà quả nhân cũng chẳng được yên nào!
沾武投剑于地曰：「如此没事，臣枉死矣。」	Triêm vũ hầu quẳng hai thanh gươm xuống đất nói: - Bó tay mà chịu như thế, thần đành chết uổng vậy!
王泣与之别，约沾武死后，给田千顷为世业，褒封福神，以十邑为祀事民。	Chúa khóc mà từ biệt Triêm vũ hầu. Rồi lại hứa với Triêm vũ hầu rằng, sau khi y chết, sẽ cấp cho một ngàn khoảnh ruộng làm của nối đời và phong cho làm phúc thần, bắt dân mười làng thờ cúng.
沾武曰：「只为王死，何事希求爵禄。	Triêm vũ hầu đáp: - Thần chỉ vì chúa mà chết, đâu phải cầu mong tước lộc?
愿王奋发干纲，转乱为治，臣死骨不朽矣。」	Xin chúa hãy ra sức tăng thêm uy quyền, xoay loạn làm trị, thì thần dẫu chết, xương vẫn không mục nát!
王乃手书忠义壮烈大王六字赐之。	Chúa bèn tự tay viết sáu chữ: "Trung nghĩa tráng liệt đại vương" đưa cho Triêm vũ hầu.
沾武跪受，环其纸而吞之。	Triêm vũ hầu quì xuống nhận mảnh giấy đó, vê tròn, nuốt vào bụng, rồi lạy tạ chúa mà đi ra.
拜谢而出，过小笔店，诸军拽之曰：「尔利剑毕竟如何？」	Khi qua điếm Tiểu bút, Triêm vũ hầu bị đám kiêu binh lôi kéo và hỏi: - Gươm sắc của mày bây giờ như thế nào?
沾武曰：「我不能以此剑斫尔辈头者，奉王命也，为社稷也，将来还有他人来斫尔辈头，不久便见。」	Triêm vũ hầu đáp: - Tao không thể dùng thanh gươm đó chém đầu chúng bay là theo mệnh chúa và vì xã tắc đó thôi. Nhưng mà, chẳng lâu gì đâu, tao chết rồi, sẽ có người khác đến chặt đầu lũ chúng bay. Đến lúc ấy, chúng bay sẽ biết gươm có sắc hay không!
诸军与殴之，沾武曰：「此禁地，不可！	Quân lính xúm vào toan đánh Triêm vũ hầu, gã cản lại mà rằng: - Đây là nơi nghiêm cấm, không được hành hung.
容我出府门外稳坐，任尔辈为之。」	Hãy để tao ra khỏi cửa phủ, ngồi yên đâu đấy, rồi tha hồ cho chúng bay muốn làm gì tao thì làm.
沾武徐步至石桥边，从容安坐。坐定曰：「好为之！」	Đoạn gã bước khoan thai đến bên cạnh cầu đá, tìm chỗ, ung dung ngồi xuống và bảo bọn quân lính: - Nào, bây giờ chúng bay làm gì tao thì làm đi!
众以砖石击其头，流血被面，沾武坐而不动，以袖拭面。	Đám kiêu binh lấy gạch đá đập mãi vào đầu Triêm vũ hầu khiến máu chảy đầy mặt.
笑曰：「吾不复应博举，犹试肝胆，怪哉。」	Nhưng gã vẫn ngồi yên không cựa, khẽ lấy tay áo lau mặt, rồi vừa cười vừa nói: - Bây giờ tao không thi đấu võ, nhưng vẫn còn thi can đảm! Thế mới lạ chứ!
一人从后以长枪刺之，遂死。	Ngay đó, một tên lính đứng sau cầm giáo đâm thọc vào lưng gã, gã mới chết.
沾武既死，诸军怒犹未已，迫王追理前案，王不得已，付下廷议，国师、国舅皆罢职为民。	Triêm vũ hầu chết rồi; quân lính vẫn chưa hết giận, lại vào buộc chúa phải xử lại vụ án vừa qua. Chúa bất đắc dĩ phải giao việc đó xuống cho triều đình bàn định. Quốc sư, quốc cữu đều bị bãi chức làm dân thường.
坐斩七人，皆偿其死命。	Bảy tên lình bị chém ngày trước đều được đền mạng.
自是诸军益甚骄肆，街衢中栏手而行，公侯皆回车避之。	Từ đó, kiêu binh lại càng ngông nghênh tợn. Tại các đường phố, họ cứ dăng tay nhau mà đi. Các vị công hầu gặp họ đều phải quay xe tránh sang lối khác.
却说国师初复职为山西镇守，既入相，使其弟<王田〉岳侯阮亻罔代领，至是仓卒出城，以独杠辋着两人抬出去，望山西路走。	Lại nói, Nguyễn Khản lúc mới phục chức, được làm trấn thủ Sơn Tây; đến khi vào làm tể tướng thì cho em ruột là Điền nhạc hầu Nguyễn Cương (Cương mục chép là Nguyễn Điều. Có sách lại chép Nguyễn Điền) ra thay. Hôm ấy, Khản lật đật trốn ra ngoài thành, dùng võng một đòn bắt hai người khiêng đi, nhằm hướng Sơn Tây mà chạy.
至镇，其弟出迎，问故，国师曰：「谚言：『军不治』果然。」	Tới trấn, Cương ra đón vào trong dinh và hỏi duyên cớ. Khản đáp: - Tục ngữ nói: "Quân bất trị". Thật là đúng lắm!
因具说来历。	Rồi Khản đem đầu đuôi câu chuyện kể hết cho Cương nghe.
其弟曰：「今事既如此，兄将奈何？」	Cương nói: - Bây giờ việc đã như thế, anh định đối phó ra sao?
国师为人疏旷，无心机，笑曰：「除是鬼神之术，系见他私会，即来为祟，使他腹痛肠裂，如大圣之与黄眉，没处摸捉，庶有所恐，若人力，则无奈矣。」	Khản vốn là hạng người xuềnh xoàng, không có cơ mưu, nghe em hỏi liền cười và đáp: - Trừ ra có thuật quỷ thần, hễ thấy chúng nó họp nhau, tức thì theo đến mà ám ảnh, làm cho chúng nó đau bụng nứt ruột, như Tề thiên đại thánh bóp Hoàng My (Điển này lấy ở truyện Tây du), không biết đằng nào mà lần nữa, hoạ may chúng nó mới sợ. Chứ còn sức người thì không làm sao được!
其弟多机智，谓国师曰：「弟有一术，可令他尽死。」	Cương là kẻ có nhiều mưu mẹo khôn ngoan, liền nói với Khản: - Tôi có một mẹo, có thể khiến cho chúng nó chết ráo.
国师曰：「计将安出。」	Khản hỏi: - Mẹo như thế nào?
弟曰：「今四镇之民，怨他入骨，以诛骄兵为名，一呼莫不回应。	Cương đáp: - Ngày nay dân trong bốn trấn (Sơn Nam, Sơn Tây, Kinh Bắc, Hải Dương. Thời Lê, 4 trấn ở chung quanh kinh đô này được gọi là kinh trấn hay kinh lộ, là những nơi che chở cho kinh đô; ngoài kinh trấn lại có 9 phiên trấn hay phiên lộ như Cao Bằng, Lạng Sơn, Tuyên Quangv.v... là phên giậu che chở cho các kinh trấn) đang oán ghét chúng nó đến xương tuỷ; nếu ai lấy danh nghĩa diệt kiêu binh để kêu gọi, thì chỉ cần hô một tiếng, không người nào là không hưởng ứng.
本镇地处上游，其民淳厚易使。	Trấn này ở về miền thượng du, dân chúng thuần hậu dễ bảo.
兄前镇兴化，土酋皆其旧属，宣光藩目演郡公，富甲天下，前年注误，兄曾庇护，素得其心，以纸书招之，必为之用。	Trước kia anh làm trấn thủ Hưng Hoá, các tù trưởng địa phương đều là thuộc hạ của anh, anh bảo chắc họ phải nghe. Trên vùng Tuyên Quang, phiên mục Diễn quận công (tức Hoàng Văn Đồng giữ Mỏ đồng Tụ Long, Tuyên Quang) giàu có nhất thiên hạ, năm xưa có tội được anh cứu giúp, ông ta hẳn còn nhớ ơn; nếu viết thư lên rủ, thế nào ông ấy chả theo.
山南镇硕郡公，百战之将，素号『无敌』。	ở trấn Sơn Nam, quận Thạc (tức Hoàng Phùng Cơ) là tướng đánh trăm trận, vốn nổi tiếng là bậc vô địch.
京北镇辰忠侯，海阳镇亭派侯，亦皆智术。	Rồi ở trấn Kinh Bắc thì Thần trung hầu (tức Trương Tuân), ở trấn Hải Dương thì Thái đình hầu (tức Trịnh Tự Quyền), đều là những tay có mưu trí.
