第十三回。	Hồi thứ mười ba.
越五日，诸道兵毕集，大阅于河洲。	Qua năm ngày, các đạo quân đều kéo đến đầy đủ, cùng dự cuộc duyệt lớn ở bãi sông.
楚乃下令步兵各具糇粮以待差派，属将邓文真先督水军东下，分派已毕。	Rồi đó, Sở hạ lệnh cho quân bộ sắp sẵn lương khô để chờ sai phái. Trước hết, Sở cho thuộc tướng là Đặng Văn Chân đốc suất lính thuỷ đi xuống phía đông.
及晡时，阮贵衙、阮廷宽等自关上走还，言此行到关为清候吏所遏止，不得达。现今清师已过南关，前锋步骑进屯凤眼地界矣！	Cắt đặt vừa xong, thì trời sập tối, chợt thấy bọn Nguyễn Quí Nha, Nguyễn Đình Khoan từ trên ải Nam Quan chạy về nói rằng: khi họ đến Nam Quan, bị bọn lính canh cửa ải của nhà Thanh ngăn chặn không cho sang; hiện nay quân Thanh đã qua Nam Quan, quân bộ và quân kỵ của đội tiền phong đã tiến đến địa phận huyện Phượng Nhãn và đóng tại đó.
楚即会诸将谋引退，璘曰：「兵不以众，国不以大。	Sở liền họp các tướng, định rút lui. Phan Văn Lân nói: - Quân không cứ nhiều, nước không cứ lớn.
今为将握兵居外，敌来未曾接战，但被虚名恐喝，遽尔退缩，何以将为？	Nay ta làm tướng cầm quân ở ngoài, giặc đến chưa từng đón đánh, chỉ mới nghe tiếng doạ hão đã vội rút lui, thì còn làm tướng làm gì nữa?
请以精卒一千，直至月德江与他鏖战一阵，看他有甚么气势，南人与北人孰强？	Tôi xin đem một ngàn quân tinh nhuệ, đến thẳng sông Như Nguyệt, đánh nhau với chúng một trận, xem khí thế của chúng ra sao và người Nam với người Thanh ai khoẻ hơn ai, để cho chúng biết rằng bọn ta cũng không phải là hèn nhát.
使他明知我亦不怯，是亦先人有夺人之胜算也。」	Đó cũng là sự tính toán tất thắng trước dùng thanh thế của mình để đè bẹp bên địch vậy!
楚亦以为然，璘于是驱兵北渡，夜漏下三鼓至月德江南岸。闻孙总督师已次三层山，属天气寒洌，璘驱兵渡江挑战。	Sở cũng cho là phải. Lân bèn đem quân qua sông đi sang phía bắc. Canh ba tới bờ phía nam sông Như Nguyệt, nghe tin quân của Tôn Sỹ Nghị đã đóng ở núi Tam Tằng. Lúc ấy tiết trời giá rét, lân kéo quân qua sông thách đánh.
将士素惮璘威，冒寒乱波。	Tướng sĩ vốn sợ oai của Lân, phải liều với khí lạnh mà lội bừa xuống nước.
至江心冻，不能过者皆溺死；其及带者，为清逻卒所歼。	Ra đến giữa sông, những kẻ cóng quá không thể qua được, đều bị chết đuối. Còn những kẻ vào tới được bờ cũng đều bị quân Thanh giết chết.
璘度不能战，即挥兵退走。	Lân liệu chừng không thể giao chiến được nữa, liền vẫy quân chạy lui.
余党溃败，逃入民问，民皆捕之，以献于清师。	Đám quân tan vỡ trốn vào các làng, đều bị dân chúng bắt nộp cho quân Thanh.
璘单骑走回，楚大惊，秘其败不令人知，令下诸军肃队而行。	Lân chỉ trơ một mình một ngựa mà chạy về. Sở sợ quá, giấu kín việc bại trận không cho ai biết, rồi truyền lệnh cho các đạo quân nghiêm chỉnh đội ngũ mà đi.
日中已过辐川，人始知之。	Đúng giữa trưa, đi qua Phú Xuyên (thuộc Hà Đông (Hà Sơn Bình)), người ta mới biết là Sở rút quân.
次日至安谟，沿三迭山麓分屯，直至海岸，水陆联络以自固。	Hôm sau tới huyện Yên Mô (thuộc Ninh Bình (Hà Nam Ninh)), Sở sai chia quân đóng đồn dọc theo ven núi Tam Điệp, thẳng đến bờ biển, hai mặt thuỷ bộ liên lạc với nhau để cố thủ.
且说初帝潜栖北谅间，闻孙总督移辙本国，刻日到关，即密令召四方义士、文武诺臣闻之，亦各晓谕地方豪目，纠合乡兵。	Trước đó, vua Lê đang lẩn lút ở vùng Kinh Bắc, Lạng Sơn, nghe tin Tôn Sỹ Nghị đưa hịch sang nước Nam và hẹn ngày đến cửa ải, nhà vua bèn bí mật sai người đi gọi nghĩa sĩ bốn phương. Các quan văn võ nghe tin, cũng đều khuyên bảo hào mục các địa phương, nhóm họp hương binh để chờ đợi.
先遣黎惟亶赉书上关，候总督行辕参谒，具以国情禀白；且言嗣君适撄寒疾，不堪进道，请于谅山镇城等候。	Rồi đó, vua sai Lê Duy Đản đem thư lên cửa ải để yết kiến Tôn Sỹ Nghị, bẩm rõ tình hình trong nước với Nghị và nói rằng: Tự quân vừa bị cảm hàn, không thể đi đường, xin chờ đón ở trấn thành Lạng Sơn.
及闻西兵退，帝始敕诸道，勒王兵同诣行在。帝合拣其饶勇者一千，克御营宿卫；余各率所属兵丁，结成队伍，分派诸镇。	Đến khi nghe tin quân Tây Sơn rút lui, vua mới truyền cho các đạo quân cần vương đều tới nơi hành tại; rồi kén lấy hạng khoẻ mạnh một ngàn người sung làm quân túc vệ ở doanh vua; còn bao nhiêu thì giao cho các tướng lập thành đội ngũ, ai đem bộ thuộc của người nấy chia giữ các trấn.
令陈光珠领京北镇，阮道领海阳镇，黄素义领山南镇，黄冯赐领山西镇，皆拜命之莅。	Trần Quang Châu lĩnh trấn Kinh Bắc. Nguyễn Đạo lĩnh trấn Hải Dương. Hoàng Tố Nghĩa lĩnh trấn Sơn Nam. Hoàng Phùng Tứ lĩnh trấn Sơn Tây. Mọi người đều vâng mệnh đi tới lỵ sở.
独朱仍留行营扈，珠请移驾京北，缮修城堡，营筑茅舍，以待清兵。	Riêng Trần Quang Châu thì ở lại hành doanh bảo vệ xa giá. Châu xin dời xe vua về trấn Kinh Bắc, sửa sang thành luỹ, xây dựng nhà cửa để chờ quân Thanh.
帝从之，复命平章范廷玙、参知武桢等，赉请安帖，前往和乐，明言国城之四镇现已派兵分行经略，搜捕贼徒之潜匿者；并具不腆土宜，牛十头，酒百壶，奉为犒师品物，仰惟赏牧；又通饬沿途诸县界首耆老，各社民，以迎王师。	Vua nghe lời. Đoạn nhà vua lại sai bọn binh chương Phạm Đình Dữ, tham tri Vũ Trinh đem thiếp thỉnh an lên đất Hoà Lạc gặp Sỹ Nghị, nói rõ: Hiện nay đã phái quân chia đi kinh lược bốn trấn ở ngoài đô thành, lùng bắt bọn giặc lẻn trốn ở các nơi. Xin đưa một số thổ sản nhỏ mọn là mười con trâu, một trăm vò rượu, làm lễ khao quân, ngước trông thu nhận cho. Vua lại truyền phải sức cho các kỳ lão và các xã dân mấy huyện ven đường, sửa soạn đón rước quân Thanh.
大军南行，一路顺达，及至三层山屯住。	Đại quân của Sỹ Nghị đi sang phương Nam, dọc đường đều thuận lợi thông suốt.
其夜文璘虽欲肆恶，又为寒冻所伤，不战自溃。	Kịp khi tới núi Tam Tằng đóng quân lại, đến đêm, tuy Phan Văn Lân định quấy rối, nhưng bị giá rét làm cho thương tổn, nên Nghị chưa đánh mà quân Lân đã tan.
文楚亦饮兵宵遁去了多时，无人敢梗之者。	Ngô Văn Sở nghe tin cũng thu quân bỏ chạy cả đêm từ lâu rồi. Thế là trên đường tiến quân không còn ai dám ngăn trở Nghị.
毅于是全无戒心，具有骄色，一见武桢，问曰：「大兵出关时，先腾檄播告。敌人惊惶，抱头鼠窜。	Do đó, Nghị không hề lo sợ mà lại có vẻ kiêu căng. Mới thấy Vũ Trinh, y liền hỏi: - Lúc đại binh ra cửa ải, trước hết đã có đưa hịch sang bá cáo, quân giặc sợ hãi đã ôm đầu chạy trốn.
想该国之臣若民，孰不勉自激昂，仰赖天威，图歼国贼，不日奏功。何乃一味懦弱，许彼得以干净行走。	Nghĩ rằng thần dân bên ấy, ai lại không phấn chấn nổi dậy? Dựa vào oai trời mà lo giết giặc nước, chẳng mấy chốc sẽ có thể thành công, sao cứ một mực nhu nhược, để chúng được chạy trốn một cách rảnh rang?
今大兵已抵国界，滥无报效，尚为国有人耶！」	Bây giờ đại binh đã đến địa giới nước mình mà các người vẫn tuyệt nhiên không làm nên công trạng gì. Như thế, còn gọi là nước có người được chăng?
桢曰：「小国不能自谋，始至叩关求援。	Trinh nói: - Nước nhỏ này tự mình không thể làm được việc, mới đến nỗi phải gõ cửa ải cầu cứu.
力若能制，尚何敢烦大兵。	Nếu sức của chúng tôi có thể chế ngự được chúng thì đâu dám phiền đến đại binh?
今蒙以此见罪，其何说之辞，请以敌情言之。	Nay cụ lớn lấy điều đó quở trách, tôi còn biết nói làm sao? Xin thưa về tình hình của giặc.
阮岳生长西山，凭其巢窟，阮惠老于行阵，拥有强兵，南返以来，兄弟相攻，岳居西山，惠据顺化，各自称雄，自帝自王。	Nguyễn Nhạc sinh trưởng ở vùng Tây Sơn, có sào huyệt hiểm yếu để nương tựa. Nguyễn Huệ là tay lão luyện về trận mạc, lại nắm giữ đội quân hùng mạnh. Từ khi kéo quân về Nam, anh em chúng đánh lẫn nhau. Nhạc ở Tây Sơn, Huệ chiếm Thuận Hoá, ai nấy tự xưng hùng, kẻ đế, người vương.
其在本国城者，彼党吴文楚、潘文璘辈，耳闻天兵来，未知虚实，姑且敛众以避。	Còn ở quốc thành của nước tôi, chỉ có đồ đảng của chúng là bọn Ngô Văn Sở, Phan Văn Lân mà thôi. Được tin thiên binh đến, bọn chúng chưa biết hư thực thế nào, nên hãy thu quân tạm lánh.
但闻屯据三迭画，自长安以南，妄图再北。	Nhưng nghe đâu bọn chúng đóng quân chặn ở núi Tam Điệp, ngăn hẳn từ đất Trường Yên (tên phủ, thuộc Ninh Bình, giáp liền với Thanh Hoá) về Nam, mưu đồ lại tiến ra đất Bắc lần nữa.
一个偏裨，犹然桀黠，况大酋耶？	Một tên tỳ tướng, còn kiệt hiệt như thế, huống chi tên đại tù trưởng của chúng?
若不一番大用兵力，如何生捕得他。	Nếu không dùng đạo binh thật lớn mà đánh, làm sao có thể bắt sống được chúng?
小国丧亡之后，兵将军弱，恐未易辨。	Nước tôi sau khi loạn lạc tan tác, tướng ít quân hèn, sợ rằng khó lòng làm xong việc.
惟上宪威灵振薄，蛮酋来威，小国之所望也。」	Nhờ oai linh lừng lẫy của cụ lớn, tên tù trưởng mọi rợ sợ oai phải đến hàng, đó là điều mong mỏi của nước nhỏ này.
毅笑曰：「尔国久被残，神气沮丧，故动以虎狼相怵。	Nghị cười mà rằng: - Nước ngươi vì bị tàn ngược đã lâu, mất cả tinh thần khí khái, nên động một tý là đem hùm sói doạ nhau.
自我视之，若犬羊然。一使人以绳系其颈而牵之，定无难也。	Theo ta xem xét thì chúng chỉ như hạng trâu dê, sai một người đem thừng buộc lấy cổ mà lôi về, hẳn cũng không khó gì.
俟我军至罗城，唾手立辨，尔第观之。」	Đợi khi quân ta đến La Thành, nhổ bãi nước bọt xoa tay là làm xong việc. Ngươi hãy chờ mà xem!
及至京北镇，帝亲率群臣谒见，毅慰谕之曰：「贵嗣多年蒙国大难，奉大皇帝矜怜，命本督提兵护送毋妻归国。	Lúc Nghị tới trấn Kinh Bắc, vua Lê tự đem các quan đến chào, Nghị yên uỷ rằng: - Quý tự ("Quý tự" là người nối nghiệp tôn quý, đây trỏ Chiêu Thống) mắc phải nạn lớn đã nhiều năm, nhờ đức đại hoàng đế thương xót, sai bản chức đem quân hộ tống mẹ và vợ ngài về nước.
此来为之经理，先矜贼党务尽，然后整规模为长远计，千妥万妥而后班师，勿复以国事为忧也。」	Chuyến này sang đây, giúp việc kinh lý, trước hết cần bắt cho hết đảng giặc, rồi sau chỉnh đốn quy mô, làm kế lâu dài. Bao giờ mọi việc đều muôn ngàn lần ổn thoả rồi, bấy giờ mới rút quân, xin chớ lo gì về việc nước nữa.
帝曰：「伏蒙大皇帝如天之德，不可名言。	Vua Lê nói: - Đội ơn đại hoàng đế, đức cả như trời, không sao hình dung được cho hết.
仰惟上宪屈临，俾下邦获贴丧带之辉，副斗山之仰，欣戴之情，感佩为无既矣！」	Lại nhờ cụ lớn hạ mình tới đây, khiến cho nước chúng tôi được thấy ánh sáng của áo cừu, đai ngọc, được thoả lòng ngửa trông sao Bắc Đẩu, núi Thái Sơn. Mối tình vui mừng, kính mến, không sao kể xiết!
因请毅入营驻节，毅曰：「此去国城不远，宜即来，不可逗遛。」	Rồi nhà vua mời Nghị vào dinh nghỉ tạm. Nghị nói: - Đây cách quốc thành không xa, cần đi ngay, không nên dùng dằng.
遂令发锐九声，肃队而行。	Nghị liền sai bắn chín phát súng và nghiêm chỉnh đội ngũ mà đi.
暮至珥河北岸，帝请先渡入城，命于敬天殿前，供具帷帐，请督部居之。毅不可，曰：「此非大将行营，军事多有不便。」	Chập tối, đến bờ bắc sông Nhĩ Hà, vua Lê xin qua sông vào kinh thành trước, rồi sai sắm sửa giường màn ở điện Kính Thiên, mời Nghị vào ở, Nghị không ưng, nói: - Chỗ ấy không phải là hành doanh của đại tướng, đối với việc quân có nhiều điều bất tiện.
乃于河之南北岸沙中广漠虚，分屯驻马，命于河中造浮桥以通往来。	Đoạn Nghị truyền lệnh chia quân đóng ở nơi quang đãng trong hai bãi cát phía bờ nam và bờ bắc sông Nhĩ Hà; lại sai bắc cầu phao trên mặt sông để tiện đi lại.
时戊申十有一月二十一日也。	Hôm ấy nhằm ngày 11 tháng 11 năm Mậu thân (1788).
翌日，帝亲诣毅所等候。	Hôm sau, vua thân hành đến chờ đón ở doanh của Nghị.
毅令于敬天殿盛陈仪仗，敕百官陪侍。	Nghị sai người bày biện nghi trượng rất long trọng ở điện Kính Thiên, rồi truyền cho trăm quan tới hầu.
帝服裘冕，跪于庭，毅率僚属奉宣清帝敕书，封帝为安南国王，其制文略曰：「披一十三道之提封，原非利其土地；溯三百余年之职贡，能不念夫祖宗。」	Vua Lê đội mũ miện, mặc áo cổn quỳ ở giữa sân. Nghị dẫn bọn liêu thuộc đến, rồi tuyên đọc tờ sắc của hoàng đế nhà Thanh phong cho vua Lê làm An Nam quốc vương. Trong tờ chế phong vương, đại lược nói rằng: "Chia ra cõi bờ mười ba đạo, không phải tham gì đất đai này; đã lo chức cống ba trăm năm, há chẳng nghĩ đến tổ tông trước?...".
受封礼成，乃循例修谢恩表，望阙遥拜，请毅发递。	Xong lễ thụ phong, vua bèn theo lệ thảo tờ biểu tạ ơn, xa trông cửa khuyết mà lạy tạ, rồi nhờ Nghị cho đệ tờ biểu đi.
毅许之。	Nghị nhận lời.
帝虽已受封，然行下文书并用乾隆年号。	Tuy vua Lê đã được phong Vương, nhưng giấy tờ đưa đi các nơi, đều dùng niên hiệu Càn Long.
以有毅在，不敢以昭统纪元。	Vì có Nghị ở đấy nên không dám dùng niên hiệu Chiêu Thống.
朝参之暇，辄诣毅营候听军国机务。	Ngày ngày sau buổi chầu, vua lại tới chờ ở doanh của Nghị để nghe truyền việc quân, việc nước.
帝乘马先行，黎璘乘马陪后，护卒仅数十人而已。	Vua cưỡi ngựa đi trước, Lê Quýnh cưỡi ngựa đi sau, quân lính hộ vệ chỉ vài chục người.
都人有不知其为帝者。	Người trong kinh có kẻ không biết là vua.
或有知之，私相语曰：「我南国自有帝王以来，未见有如此卑屈者，名虽为帝而号纪乾隆，事关总督，其与内属何异？」	Hoặc có người biết, thì họ nói riêng với nhau rằng: "Nước Nam ta từ khi có đế, có vương tới nay, chưa thấy bao giờ có ông vua luồn cúi đê hèn như thế. Tiếng là làm vua, nhưng niên hiệu thì viết là Càn Long, việc gì cũng do viên tổng đốc, có khác gì phụ thuộc vào Trung Quốc?".
毅亦崔岸自尊。帝来谒，或不与相见，但于铃阁下传称：「无军国事，且还宫休谒。」	Nghị cũng ngông nghênh tự cho mình là tôn quý; có lúc vua tới yết kiến, y không buồn tiếp, chỉ cho người đứng ở dưới linh các truyền bảo: "Hôm nay không có việc quân, việc nước gì. Hãy về cung yên nghỉ!".
其酬接礼意，最为简薄。	Lễ ý và sự thù tiếp của y đối với nhà vua hết sức sơ sài như vậy.
又多纵军士肆行非法。	Còn đối với quân lính, thì y lại hay dung túng cho chúng mặc sức làm điều phi pháp.
先是北人寓居城都之河口坊，与京北之陕舍庸、山南之宪营，殆万余人。	Trước kia, người Trung Hoa ngụ cư ở các nơi như phường Hà Khẩu (khu vực phố Hàng Buồm, Hà Nội bây giờ) ở đô thành, phố Cơ Xá ở trấn Kinh Bắc và phố Hiến Doanh (nay là Hưng Yên (Hải Hưng)) ở trấn Sơn Nam có tới hơn vạn người.
至是皆来附从军屯，或别立柳营邸店。	Đến lúc ấy, bọn họ đều đến bám theo các đồn quân của Nghị, hoặc lập riêng ra điếm Liễu để.
该等晓达国音，谙知土俗，因此乘势多方诬陷善良，抑夺富户，甚至市廛衢路之中，攘货渔色，无所忌惮，环畿之民，往往苦之。	Bọn họ thông thạo tiếng nước Nam, am hiểu phong tục tập quán nước Nam; do đó, họ liền nhân cơ hội kiếm mọi cách vu hãm những người lương thiện, áp bức cướp bóc những nhà giàu có, thậm chí giữa chợ, giữa đường cũng cướp giật của cải, hãm hiếp đàn bà, không còn kiêng sợ gì cả. Nhân dân ở quanh kinh kỳ luôn luôn bị khổ sở với bọn họ.
帝虽知其弊，而业已请他来，惟恐因此取忤，难于发言。	Vua Lê tuy biết sự tệ hại ấy, nhưng đã trót mời quân Thanh sang, chỉ sợ vì việc đó mà làm mếch lòng chúng, nên cũng khó ăn khó nói.
毅非不知其情而亦听其所为，略不少戢者。	Nghị cũng không phải không biết tình trạng như vậy, song cũng mặc cho bọn ấy tha hồ làm bậy, không hề ngăn cấm gì hết.
且说帝自还都后，文武诸臣之播越者，陆续皆来拜贺。	Lại nói, từ khi vua Lê trở về kinh thành, các quan văn võ trước kia phiêu bạt đều lục tục kéo đến lạy mừng. Vua bèn ban thưởng cho những người đã từng theo đi trốn, hoặc những người có công giúp đỡ.
乃赏从亡翊戴功，加范廷玙为吏部尚书，平章事阮辉宿同平章事，黎惟亶、武桢参知政事，阮廷简兵部尚书知枢密院事，阮惟洽朱允励同知枢密院事，陈名案副都御史，黎辉瑨，范贵适户部变支，黎春洽、吴为贵同知兵政，黎亻冏军中尉督，赐爵郡公；领诸道勒王之师，从孙都督幕府，辨理戎务。	Phong cho Phạm Đình Dữ làm thượng thư bộ Lại, kiêm bình chương sự, Nguyễn Huy Túc làm đồng bình chương sự, Lê Duy Đản, Vũ Trinh đều làm tham trí chính sự, Nguyễn Đình Giản làm thượng thư bộ binh, kiêm tri xu mật viện sự, Nguyễn Duy Hiệp, Chu Doãn Lệ làm đồng tri xu mật viện sự, Trần Danh án làm phó đô ngự sử, Lê Huy Tấn, Phạm Quí Thích làm độ chi bộ Hộ, Lê Xuân Hạp, Ngô Vi Quí làm đồng tri binh chính, Lê Quýnh làm quân trung uý đốc, tước quận công, lĩnh quân cần vương theo Tôn Sỹ Nghị lo liệu và xử trí việc quân.
其余内外臣僚各就本衙供如故。	Ngoài ra, các quan liêu trong ngoài đều về các dinh thự làm việc như cũ.
京北宪副吴蒋焘以老病辞不就职，上疏曰：「天造方屯，下图再见天日，实社稷无强之庥。	Viên phó hiến ở trấn Kinh Bắc là Ngô Tưởng Đào lấy cớ già ốm, từ chối không nhận chức, và dâng sớ nói rằng: "Vận trời đang lúc gian truân, không ngờ lại được thấy bóng mặt trời, thật là cái phúc vô cùng của xã tắc.
臣窃惟兵贵神速，机有可乘。	Thần trộm nghĩ rằng: Việc binh cốt phải mau chóng.
何必专委外兵，动淹旬日。	Nếu cơ hội có thể làm được, hà tất việc gì cũng cứ giao phó cho quân nước ngoài để đến nỗi dềnh dàng ngày tháng.
方今诸路勒王，孰不愿效其尺寸？	Hiện nay quân cần vương các lộ, ai không muốn hết lòng hết sức lập công ít nhiều?
敌兵甫退，即以大兵蹑之，疾雷不及掩耳，狂狡不暇为谋。	Nhân khi quân giặc vừa rút lui, ta nên lập tức đem đại binh đuổi sát gót, như tiếng sét chớp nhoáng không kịp bịt tai, bọn ngông cuồng giảo quyệt kia ắt chẳng còn thì giờ để mưu tính.
清乂二处闻之，亦必回应。	Hai xứ Thanh, Nghệ nghe tin, chắc cũng sẽ hưởng ứng.
惠阻横山之南，楚、璘孤军在此，形格势禁，不能相通，不出十日可以成矜。	Nguyễn Huệ bị ngăn cách ở phía nam Hoành Sơn. Sở và Lân chơ vơ ở đấy, hình thế cách trở, không liên lạc được với nhau; không ngoài mười ngày ta có thể bắt được bọn chúng.
彼之羽翼既剪，则其巢穴亦可取次夷襄矣！	Vây cánh của chúng đã bị cắt đứt thì sào huyệt của chúng cũng có thể lần lượt bị san bằng.
臣愚以为中兴之机正在于是，不可失也。」	Thần ngu dại cho rằng cái cơ trung hưng chính là ở lúc này, không thể bỏ qua".
疏入，帝以示枢密院廷简等，皆以为然。	Tờ sớ ấy đưa tới, vua trao cho bọn Nguyễn Đình Giản xem, ai cũng cho là phải.
独黎亻冏抗言曰：「我力弗敌。	Riêng Lê Quýnh chống lại mà rằng: - Sức mình không địch nổi, mới phải cầu cứu.
至于请援，督部行营在兵，事不先禀白，而辄行之事，济则已，万一蹉跌，恐以误军机诿我，还师关上，坐观所为，则大事去矣！	Hành doanh quan đốc bộ còn ở đây, việc quân mình không bẩm trước, lại tự tiện mà làm, việc xong thì thôi, vạn nhất bị vấp ngã, họ sẽ đổ cho ta làm lỡ quân cơ, rồi rút quân về cửa ải, ngồi xem mình làm; như vậy việc lớn sẽ hỏng mất.
臣请先来禀白，自其指授方略，使之与我共事，更为两得。」	Chi bằng để thần đến trình bày trước, xin họ chỉ bảo phương lược và hợp sức với mình, như thế là được cả hai việc.
帝以然，乃诣毅言之，毅曰：「何事仓皇，此犹探囊取物耳！	Vua cho là phải. Quýnh bèn đến dinh Nghị, nói về việc đó. Nghị trả lời: - Việc gì mà phải vội vã như vậy?
早来则早取之，晚来则晚取之。	Ví như thò tay lấy đồ vật ở trong túi, đến sớm lấy sớm, đến muộn lấy muộn đó mà thôi.
今岁聿云暮，大军远来，正可闲暇，无当急战。	Bây giờ đã sắp hết năm, đại quân xa xôi tới đây, cần phải nghỉ ngơi, không nên đánh vội.
敌瘦我正肥，使自来送肉耳！	Giặc gầy mà ta đang béo, hãy để chúng tự đến nộp thịt.
该国既以为请，宜量自都城以南，约六十里，分置屯兵三处。此亦远斥候，防不虞意也。	Nhưng, nếu nước ngươi đã có lời xin như thế, thì hãy nên tính tự đô thành về nam chứng sáu chục dặm, chia làm ba nơi mà đóng quân; đó chính cũng là cách canh gác từ xa để đề phòng bất trắc vậy.
候开年进兵取之未晚。」	Còn đối với bọn giặc, thì các ngươi cứ chờ đến đầu năm mới ta sẽ cho trẩy quân tiến đánh cũng chưa muộn!
乃命于青廉之月厥江北岸、维先之日早、青池之玉洄，各筑土垒，派兵守之。	Sau đó, Nghị sai đắp luỹ đất, một ở bờ bắc sông Nguyệt Quyết, huyện Thanh Liêm, một ở làng Nhật Tảo huyện Duy Tiên, một ở làng Ngọc Hồi, huyện Thanh Trì rồi chia quân ra mà đóng giữ.
自是帝惟倚毅为重，诸臣亦无一人以出师复雠为言者。	Từ bấy giờ trở đi, vua Lê chỉ lấy Nghị làm chỗ dựa vững chắc nhất. Còn các quan thì cũng không ai nói năng gì đến chuyện xuất quân phục thù nữa.
黎亻冏日事酒色，丝恩发怨，无不报之。	Lê Quýnh suốt ngày say mê tửu sắc; ân oán riêng dù bằng cái tơ, sợi tóc cũng đều đền báo không hề sót.
献言于帝曰：「曩者车驾蒙尘，皇亲及朝士多有幸灾乐祸，输情与敌，甘心为其鹰犬以图富贵。逆理背义，莫此为甚。	Quýnh lại còn xui vua rằng: - Trước đây lúc nhà vua gặp nạn, hoàng thân và bọn quan trong triều, nhiều kẻ lấy tai hoạ làm điều may mắn, vui mừng, khai hết tình hình với giặc, cam tâm làm chó săn, chim mồi cho chúng để mưu đồ giàu sang, ngược đạo lý, trái nhân nghĩa, không gì hơn thế.
臣请明正其罪，使天下晓然，共知名分纲常之不可紊乱。	Thần xin được trị tội bọn đó, để thiên hạ biết rằng danh phận cương thường không thể rối loạn.
此亦当务之急，不可含容搁过，使善恶无辨。」	Đó cũng là việc cần kíp, không nên dung túng bỏ qua, khiến cho kẻ ác, người thiện không có gì phân biệt.
帝以为然，敕下廷议，咸奏称去年刑部尚书平章事陈公灿奉使不屈，为贼所害，宴可嘉悯，乞遣官谕祭于其家，存问诸子。	Vua cho là phải, bèn giao cho các quan đình thần họp bàn. Mọi người đều tâu, năm ngoái thượng thư bộ Hình kiêm bình chương Trần Côn Xán đi xứ Tây Sơn, vì không chịu khuất phục, bị địch giết hại, thật là đáng thương; xin cho quan về tế tại nhà và thăm viếng các người con.
其祭文有曰：「倒诲摧山之大节，与秋霜烈日而争严。忠君爱国之小心，遇错节盘根而益显。」盖御书之字也。	Vua nghe lời, bèn tự tay thảo bài văn tế, trong có câu: "Tiết lớn nghiêng non lật biển, cùng sương thu nắng lửa tranh hơn; lòng son yêu nước trung vua, gặp đốt rắn rễ chùm càng tỏ".
又论叛国从贼罪：帝出亡时，宣光镇守范如璲执送皇弟维袖于贼，驸马尉阮彭引贼兵追寻帝所在，按律要斩；吴任、潘辉益委身从贼，领授职爵，并黜为民，回籍受差；阮俒、潘惟藩屈膝贼庭，张登揆从驾不果，并贬为司训；阮贵衙、陈伯览、武辉瑨等作书称崇让公监国事，为贼希求缓师，俱下狱，阮伯宽以武弁老讷无知，免罪。	Lại bàn sang đến tội của bọn phản nước theo Tây Sơn: Lúc vua đi trốn, trấn thủ Tuyên Quang là Phạm Như toại bắt em vua là Duy Tụ đem nộp cho địch; phò mã uý Nguyễn Bành dẫn quân địch đuổi tìm chỗ vua ở; theo luật phải tội chém ngang lưng; Ngô Thì Nhậm, Phan Huy Ích đem thân theo địch, lại nhận chức tước của chúng, đều truất làm dân, về làng gánh vác sai dịch; Nguyễn Hoàn, Phan Lê Phiên quì gối ở sân địch; Trương Đăng Quĩ đi theo xe vua, giữa đường bỏ dở, đều bị giáng làm chức tư huấn; Nguyễn Quí Nha, Trần Bá Lãm, Vũ Huy Tấn, viết thư mạo xưng là giám quốc Sùng nhượng công, để mong xin hoãn binh cho địch, đều bị hạ ngục; Nguyễn Bá Khoan vì là kẻ võ biền, lại già nua, dốt nát không biết gì, nên được miễn tội.
亻冏闻衙始自高平回，金银盈载，使人索取黄金二十两，明言于帝。	Bấy giờ Quýnh nghe nói Nha mới ở Cao Bằng về, vàng bạc đầy xe, bèn sai người đòi lấy hai chục lạng vàng, rồi nói rõ cho vua biết.
帝笑曰：「裒多益寡，惟尔所为，无妨也。」	Vua cười mà bảo rằng: - Bớt chỗ nhiều để bù chỗ ít, mặc ngươi làm chi thì làm, không hề gì!
又皇叔三人与贼相通，又嫁以女。帝密令人刖其足，投于宫井。	Ngoài ra, có ba người chú vua liên lạc với Tây Sơn, lại gả con gái cho họ, đều bị vua ngầm sai người bắt đem chặt chân, rồi vất xuống cái giếng ở trong cung (theo Cương mục thì Chiêu Thống còn sai mổ bụng cả một tôn nữ đang có mang, vì người con gái này đã lấy viên tướng Tây Sơn. Do đó, lòng người dần dần ngờ vực, không nhất trí).
会皇太后自高平还至京，见帝好修恩仇，所为乖度，大恚曰：「我跋涉劳苦，请得兵来。	Kịp khi ấy, thái hậu ở Cao Bằng về, vừa tới kinh, thấy vua chỉ thích làm những việc báo ân báo oán trái với phép thường như vậy, bèn nổi giận nói: - Ta phải trèo đèo lội suối khó nhọc vất vả, mới xin được quân sang đây... Phỏng chừng nhà nước chịu được mấy phen ơn, thù phá hoại như thế?
国家能堪几番恩仇破壤，率此而行，何能治天下，老妇还为亡人矣！」	Nếu cứ cách ấy mà làm thì trị sao được thiên hạ? Gái già này lại đến làm đứa lưu vong mất thôi!
号泣不肯入宫。	Rồi thái hậu gào khóc, không chịu vào cung.
