第八十一回急兄仇张飞遇害雪弟恨先主兴兵	HỒI 81 Vội báo thù, Trương Phi bị hại; Mong rửa hận, tiên chủ cất quân
兴得了父亲的青龙偃月刀，却将潘璋首级，擐于马项之下，辞了老人，就骑了潘璋的马，望本营而来。	Quan Hưng lấy lại được thanh long đao của Quan Công khi xưa, treo đầu Phan Chương vào cổ ngựa, rồi từ tạ ông già, cỡi ngựa của Phan Chương về trại.
老人自将潘璋之尸拖出烧化。	Còn thây của Phan Chương thì ông già đem thiêu ra tro.
且说关兴行无数里，忽听得人言马嘶，一彪军来到；为首一将，乃潘璋部将马忠也。	Quan Hưng đi chưa được vài dặm, bỗng nghe có tiếng người nói ngựa kêu, rồi một toán quân kéo đến, tướng đi đầu chính là Mã Trung, bộ tướng của Phan Chương.
忠见兴杀了主将潘璋，将首级擐于马项之下，青龙刀又被兴得了，勃然大怒，纵马来取关兴。	Mã Trung thấy Quan Hưng giết mất chủ tướng mình, treo đầu dưới cổ ngựa, mà thanh long đao cũng mất, liền nổi giận đùng đùng, tế ngựa xông vào đánh.
兴见马忠是害父仇人，气冲牛斗，举青龙刀望忠便砍。	Hưng thấy Mã Trung chính là thằng hại cha mình, cơn giận ở đâu bốc lên ngùn ngụt, khoa thanh long đao chém xuống.
忠部下三百军并力上前，一声喊起，将关兴围在垓心。	Bộ hạ của Mã Trung ba trăm người, xúm cả lại, vây bọc lấy Quan Hưng.
兴力孤势危。 忽见西北上一彪军杀来，乃是张苞。	Hưng thế đã nao núng, may đâu ở mé tây bắc, Trương Bào vừa dẫn một toán quân đến.
马忠见救兵到来，慌忙引军自退。	Mã Trung thấy có quân cứu, vội vàng rút chạy.
关兴、张苞一处赶来。	Hưng, Bào hai người thừa thế đuổi theo.
赶不数里，前面糜芳、傅士仁引兵来寻马忠。	Chưa được vài dặm, lại gặp My Phương, Phó Sĩ Nhân dẫn quân đến tìm Mã Trung.
两军相合，混战一处。	Hai bên đánh nhau lộn bậy một hồi.
苞、兴二人兵少，慌忙撤退，回至猇亭，来见先主，献上首级，具言此事。	Hưng, Bào ít quân phải tháo lui. Hai tướng cùng về Hào Đình ra mắt tiên chủ, dâng đầu Phan Chương, và thuật lại chuyện đó.
先主惊异，赏犒三军。	Tiên chủ mừng rỡ, cho là chuyện lạ, khao thưởng cho ba quân.
却说马忠回见韩当、周泰，收聚败军，各分头守把。	Mã Trung trở về, ra mắt Hàn Đương, Chu Thái rồi thu nhặt bại quân, chia đường ra giữ các nơi.
军士中伤者不计其数。	Quân sĩ bị thương không biết bao nhiêu mà kể.
马忠引傅士仁、糜芳于江渚屯扎。	Mã Trung đem Phó Sĩ Nhân, My Phương ra đóng đồn tại bến sông.
当夜三更，军士皆哭声不止。	Canh ba đêm ấy, chỗ nào cũng nghe tiếng quân sĩ khóc lóc.
糜芳暗听之，有一夥军言曰：“我等皆是荆州之兵，被吕蒙诡计送了主公性命，今刘皇叔御驾亲征，东吴早晚休矣。	My Phương lẻn ra nghe trộm, thì thấy một bọn quân sĩ bàn với nhau rằng: "Chúng ta đều là quân Kinh Châu cả, bị Lã Mông đánh lừa, hại mất chúa công. Nay Lưu Hoàng Thúc ngự giá sang đánh, Đông Ngô nay mai tất hỏng mất.
所恨者，糜芳、傅士仁也。	Xét ra ngài chỉ giận có My Phương, Phó Sĩ Nhân mà thôi.
我等何不杀此二贼，去蜀营投降？ 功劳不小。”	Chúng ta sao không giết quách hai thằng ấy, đem đến trại Thục mà đầu hàng, chắc được công to!".
又一夥军言曰：“不要性急，等个空儿，便就下手。”	Lại nghe thấy một bọn nữa nói: "Việc ấy chớ nên hấp tấp, đợi lúc nào thuận tiện, chúng ta sẽ thừa cơ mà sửa ngay đi! ".
糜芳听毕，大惊，遂与傅士仁商议曰：“军心变动，我二人性命难保。	My Phương nghe xong kinh hãi lắm, bàn với Phó Sĩ Nhân rằng: - Bụng quân sinh biến cả rồi, hai chúng ta chưa biết sống chết thế nào đây?
今蜀主所恨者马忠耳；何不杀了他，将首级去献蜀主，告称：我等不得已而降吴，今知御驾前来，特地诣营请罪。”	Nay Thục chủ chỉ còn giận có Mã Trung, chúng ta nên giết phăng nó đi, đem đầu đến dâng, kêu rằng bọn ta bất đắc dĩ phải hàng Ngô, nghe tin ngự giá đến đây, xin lại chịu tội.
仁曰：“不可。 去必有祸。”	Sĩ Nhân nói: - Không nên đi, đi tất chết!
芳曰：“蜀主宽仁厚德：目今阿斗太子是我外甥，彼但念我国戚之情，必不肯加害。”	Phương nói: - Thục chủ là người nhân đức, vả lại A Đẩu thái tử là cháu ngoại ta, hắn nghĩ đến tình thân thích, tất không nỡ hại.
二人计较已定，先备了马。 三更时分，入帐刺杀马忠，将首级割了，二人带数十骑，径投猇亭而来。	Hai người bàn định đâu đấy, sắm sửa ngựa trước; đang lúc canh ba, vào trướng đâm chết Mã Trung, cắt lấy đầu, rồi dẫn vài mươi tên kỵ mã, đi tắt sang Hào Đình.
伏路军人先引见张南、冯习，具说其事。	Quân canh đường đưa vào ra mắt Trương Nam, Phùng Tập trước, kể hết tình đầu.
次日，到御营中来见先主，献上马忠首级，哭告于前曰：“臣等实无反心；被吕蒙诡计，称言关公已亡，赚开城门，臣等不得已而降。	Hôm sau đến ngự doanh, vào lạy tiên chủ, dâng đầu Mã Trung lên, khóc mà kêu rằng: - Chúng tôi quả thật không có bụng làm phản, lỡ mắc mưu Lã Mông nói Quan Công đã mất, lừa cho chúng tôi mở cửa thành. Chúng tôi bất đắc dĩ phải hàng.
今闻圣驾前来，特杀此贼。 以雪陛下之恨。 伏乞陛下恕臣等之罪。”	Nay nghe thánh giá đến đây, nên chúng tôi giết thằng giặc này, để hả cái tức giận của bệ hạ, xin bệ hạ tha tội cho.
先主大怒曰：“朕自离成都许多时，你两个如何不来请罪？	Tiên chủ nổi giận, mắng rằng: - Trẫm từ Thành Đô ra đây đã lâu, hai chúng bây sao không đến thú tội?
今日势危，故来巧言，欲全性命！	Nay thế đã nguy cấp, mới đến nói khéo để cầu thoát chết có phải không?
朕若饶你，至九泉之下，有何面目见关公乎！”	Nếu trẫm tha cho chúng bay, khi xuống suối vàng, còn mặt mũi nào trông thấy Quan Công nữa!
言讫，令关兴在御营中，设关公灵位。 先主亲捧马忠首级，诣前祭祀。	Nói đoạn, sai Quan Hưng thiết ngay linh vị Quan Công ở trong dinh, tiên chủ thân dâng đầu Mã Trung lên cúng tế.
又令关兴将糜芳、傅士仁剥去衣服，跪于灵前，亲自用刀剐之，以祭关公。	Lại sai Quan Hưng đem My Phương, Phó Sĩ Nhân lột sạch quần áo, bắt ngồi quỳ trước linh vị, rồi cầm dao xẻo từng miếng thịt để tế Quan Công.
忽张苞上帐哭拜于前曰：“二伯父仇人皆已诛戮；臣父冤仇，何日可报？”	Bỗng Trương Bào bước ra, lạy thụp xuống đất, khóc mà kêu rằng: - Kẻ thù của bác hai đã giết được cả rồi, còn thù của cha cháu, bao giờ mới trả xong?
先主曰：“贤侄勿忧。	Tiên chủ nói: - Cháu chớ lo!
朕当削平江南，杀尽吴狗，务擒二贼，与汝亲自醢之，以祭汝父。	Trẫm còn san phẳng cả Giang Nam, giết hết chó Ngô, kỳ bắt cho được hai thằng giặc ấy, để cháu đem muối thịt chúng nó tế cha cháu, mới nghe kia.
“苞泣谢而退。	Bào khóc, lạy tạ trở ra.
此时先主威声大震，江南之人尽皆胆裂，日夜号哭。	Bấy giờ oai danh của tiên chủ lừng lẫy xa gần, người Giang Nam ai cũng hết vía, kêu khóc đêm ngày.
韩当、周泰大惊，急奏吴王，具言糜芳、傅士仁杀了马忠，去归蜀帝，亦被蜀帝杀了。 孙权心怯，遂聚文武商议。	Hàn Đương, Chu Thái khiếp sợ lắm, sai người về báo với Tôn Quyền, Quyền cả kinh, tụ văn võ lại bàn bạc.
步骘奏曰：“蜀主所恨者，乃吕蒙、潘璋、马忠、糜芳、傅士仁也。 今此数人皆亡，独有范疆、张达二人，现在东吴。 何不擒此二人，并张飞首级，遣使送还，交与荆州，送归夫人，上表求和，再会前情，共图灭魏，则蜀兵自退矣。”	Bộ Trắc tâu rằng: - Thục chủ chỉ căm hờn bọn Lã Mông, Phan Chương, Mã Trung, My Phương, Phó Sĩ Nhân mà thôi, nay mấy người ấy mất cả rồi, còn lại có Phạm Cương, Trương Đạt, hai người hiện ở Đông Ngô, ta nên bắt đem trả Thục cùng với đầu lâu Trương Phi, trao lại Kinh Châu, đưa phu nhân về, dâng biểu cầu hòa, kết tình hiếu cũ, để mà đồng tâm diệt Ngụy, như thế tự nhiên quân Thục phải rút về.
权从其言，遂具沉香木匣，盛贮飞首，绑缚范疆、张达，囚于槛车之内，令程秉为使，赍国书，望猇亭而来。	Tôn Quyền nghe lời, sai đóng một cái hòm bằng gỗ trầm hương, bỏ đầu Trương Phi vào, trói Phạm Cương, Trương Đạt giam trong cũi, sai Trình Bỉnh đi sứ mang quốc thư đến Hào Đình.
却说先主欲发兵前进。 忽近臣奏曰：“东吴遣使送张车骑之首，并囚范疆、张达二贼至。”	Bấy giờ, tiên chủ sắp kéo quân đi, chợt có cận thần vào tâu rằng: - Đông ngô sai sứ đem trả đầu Trương xa kỵ cùng hai tên giặc Phạm Cương và Trương Đạt.
先主两手加额曰：“此天之所赐，亦由三弟之灵也！	Tiên chủ giơ hai tay lên trán nói: - Đó là trời cho, mà cũng là em thứ ba trẫm khôn thiêng, run rủi ra thế đấy!
“即令张苞设飞灵位。	Lập tức sai Trương Bào để linh vị Trương Phi để tế.
先主见张飞首级在匣中面不改色，放声大哭。	Tiên chủ trông thấy đầu lâu Trương Phi ở trong hòm, mặt mũi vẫn như thuở sống, liền khóc ầm lên.
张苞自仗利刀，将范疆、张达万剐凌迟，祭父之灵。	Trương Bào cầm dao sắc, đem Phạm Cương, Trương Đạt xẻo từng miếng thịt để tế vong hồn cha.
祭毕，先主怒气不息，定要灭吴。	Tế xong rồi, tiên chủ vẫn chưa nguôi giận, nhất quyết diệt được Ngô mới nghe.
马良奏曰：“仇人尽戳，其恨可雪矣。 吴大夫程秉到此，欲还荆州，送回夫人，永结盟好，共图灭魏，伏候圣旨。”	Mã Lương tâu rằng: - Kẻ thù ta đã giết hết rồi, bụng giận cũng đã hả, đại phu nước Ngô là Trình Bỉnh đến đây, xin nộp trả Kinh Châu, và đưa phu nhân về, kết hiếu với nhau, để cùng đánh Ngụy, xin bệ hạ giáng chỉ cho.
先主怒曰：“朕切齿仇人，乃孙权也。	Tiên chủ giận nói: - Kẻ thù không đội trời chung với ta là Tôn Quyền kia.
今若与之连和，是负二弟当日之盟矣。	Nếu bằng giảng hòa, thì ra phụ lời thề với hai em trẫm khi trước.
今先灭吴，次灭魏。”	Nay trẫm định trước diệt Ngô, sau diệt Ngụy.
便欲斩来使，以绝吴情。	Nói rồi muốn chém sứ giả để tuyệt tình với nước Ngô.
多官苦告方免。	Các quan cố sức can ngăn mới thôi.
程秉抱头鼠窜，回奏吴主曰：“蜀不从讲和，誓欲先灭东吴，然后伐魏。	Trình Bỉnh được thoát, ôm đầu lủi thủi trở về, tâu với Ngô vương rằng: - Thục chủ không nghe giảng hòa, nhất định đánh. Ngô trước, rồi đánh Ngụy sau.
众臣苦谏不听，如之奈何？ “	Các bầy tôi can mãi không nghe, không biết làm thế nào bây giờ?
权大惊，举止失措。	Tôn Quyền kinh hãi, luống cuống cả lên.
阚泽出班奏曰：“现有擎天之柱，如何不用耶？”	Hám Trạch bước ra tâu rằng: - Hiện nay có một cái cột chống được trời, làm sao lại không dùng đến?
权急问何人。 泽曰：“昔日东吴大事，全任周郎；后鲁子敬代之；子敬亡后，决于吕子明；今子明虽丧，现有陆伯言在荆州。	Quyền vội hỏi người nào, Trạch tâu rằng: - Khi xưa các việc to ở Đông Ngô đều trông cậy vào Chu Lang, Chu Lang mất rồi thì có Lỗ Tử Kính thay chân, Tử Kính mất lại có Lã Tử Minh. Nay Tử Minh tuy đã mất, hiện có Lục Bá Ngôn ở Kinh Châu, người ấy tuy là học trò nhưng có tài hùng lược.
此人名虽儒生，实有雄才，大略，以臣论之，不在周郎之下；前破关公，其谋皆出于伯言。	Cứ như ý tôi thì tài y chẳng kém gì tài Chu Lang. Khi trước phá được Quan Công, mưu mô do tự hắn cả.
主上若能用之，破蜀必矣。	Chúa thượng nếu dùng hắn, thì chắc phá được quân Thục.
如或有失，臣愿与同罪。”	Nhược bằng có lầm lỡ điều gì, tôi xin cùng chịu tội với hắn.
权曰：“非德润之言，孤几误大事。”	Quyền nói: - Giá không có lời Đức Nhuận thì Cô suýt nữa lỡ mất việc to!
张昭曰：“陆逊乃一书生耳，非刘备敌手；恐不可用。”	Trương Chiêu nói: - Lục Tốn là một người học trò, không phải đối thủ với Lưu Bị, chớ có nên dùng!
顾雍亦曰：“陆逊年幼望轻，恐诸公不服；若不服则生祸乱，必误大事。”	Cố Ung cũng nói: - Lục Tốn tuổi còn trẻ, danh tiếng chưa có, tôi e các tướng không phục; đã không phục, tất sinh loạn, chắc hẳn lỡ mất việc to.
来骘亦曰：“逊才堪治郡耳；若托以大事，非其宜也。”	Bộ Trắc cũng nói: - Tài Lục Tốn chỉ trị được một quận mà thôi, nếu trao cho việc lớn chắc khó mà đương nổi.
阚泽大呼曰：“若不用陆伯言，则东吴休矣！	Hám trạch kêu to lên rằng: - Nếu không dùng Lục Bá Ngôn thì Đông Ngô hỏng mất.
臣愿以全家保之！”	Tôi xin đem cả nhà tôi để đảm bảo cho hắn.
权曰：“孤亦素知陆伯言乃奇才也！ 孤意已决，卿等勿言。”	Quyền nói: - Cô cũng vẫn biết Lục Bá Ngôn là người kỳ tài, ý Cô đã quyết, các ngươi đừng nhiều lời nữa!
于是命召陆逊。	Bèn sai đòi Lục Tốn đến.
逊本名陆议，后改名逊，字伯言，乃吴郡吴人也；汉城门校尉陆纡之孙，九江都尉陆骏之子；身长八尺，面如美玉；官领镇西将军。	Tốn nguyên tên là Lục Nghị, sau mới đổi ra Tốn, tự là Bá Ngôn, quê ở Ngô Quận, cháu quan thành môn hiệu úy Lục Chữ, con quan Cửu Giang đô úy Lục Tuấn. Tốn mình dài tám thước, mặt đẹp như ngọc, hiện đang làm trấn tây tướng quân.
当下奉召而至，参拜毕，权曰：“今蜀兵临境，孤特命卿总督军马，以破刘备。”	Khi ấy, Tốn phụng mệnh đến chầu, Tốn lạy xong, Quyền nói rằng: - Nay quân Thục kéo đến bờ cõi, Cô muốn sai ngươi tổng đốc cả quân mã, để ra phá Lưu Bị.
逊曰：“江东文武，皆大王故旧之臣；臣年幼无才，安能制之？”	Tốn tâu rằng: - Các quan văn võ ở Giang Đông, toàn là cựu thần của đại vương cả. Tôi tuổi còn nhỏ, lại không có tài, sai bảo làm sao được!
权曰：“阚德润以全家保卿，孤亦素知卿才。	Quyền nói: - Hàm Đức Nhuận đem cả nhà ra bảo đảm cho ngươi, mà Cô cũng đã biết tài ngươi gánh nổi việc.
今拜卿为大都督，卿勿推辞。”	Nay phong cho ngươi làm đại đô đốc, ngươi chớ từ nữa.
逊曰：“倘文武不服，何如？”	Tốn nói: - Nếu văn võ không phục, thì làm thế nào?
权取所佩剑与之曰：“如有不听号令者，先斩后奏。”	Quyền lập tức rút thanh đao đang đeo trao cho Lục Tốn và dặn rằng: - Trong văn võ, nếu ai không tuân lệnh cho ngươi chém trước tâu sau.
逊曰：“荷蒙重托，敢不拜命；但乞大王于来日会聚众官，然后赐臣。”	Tốn nói: - Đội ơn đại vương ủy thác việc lớn, tôi đâu dám từ chối mãi, nhưng xin đại vương để đến ngày mai, hội cả các quan lại, rồi sẽ trao cho.
阚泽曰：“古之命将，必筑坛会众，赐白旄黄钺、印绶兵符，然后威行令肃。	Hám Trạch nói: - Phép ngày xưa sai tướng, tất phải đắp đàn, hội cả chúng lại, ban cho cờ mao trắng, lưỡi việt vàng, binh phù tướng ấn, có thế thì uy mới hành, lệnh mới nghiêm.
今大王宜遵此礼，择日筑坛，拜伯言为大都督，假节钺，则众人自无不服矣。”	Nay đại vương nên theo lễ ấy, chọn ngày đắp đàn, phong Bá Ngôn làm đại đô đốc, giao cho tiết việt, thì mọi người phải phục cả.
权从之，命人连夜筑坛完备，大会百官，请陆逊登坛，拜为大都督、右护军镇西将军，进封娄候，赐以宝剑印绶，令掌六郡八十一州兼荆楚诸路军马。	Quyền nghe lời, sai người ngày đêm đắp đàn, xong hội cả trăm quan, mời Lục Tốn lên đàn, phong làm đại đô đốc, hữu hộ quân trấn tây tướng quân, ban cho bảo kiếm ấn thụ, coi cả công việc trong sáu quận tám mươi mốt châu, kiêm lĩnh các đạo quân mã Kinh Sở.
吴王嘱之曰：“阃以内，孤主之；阃以外，将军制之。”	Ngô vương dặn rằng: - Tự cửa khổn trở vào, thì Cô làm chủ, tự cửa khổn trở ra, mặc tướng quân trông nom!
逊领命下坛，令徐盛、丁奉为护卫，即日出师；一面调诸路军马，水陆并进。	Lục Tốn lĩnh mệnh xuống đàn, sai Từ Thịnh, Định Phụng làm hộ vệ, ngay hôm ấy cất quân đi. Một mặt, điều các lộ quân mã thủy bộ cùng tiến.
文书到猇亭，韩当、周泰大惊曰：“主上如何以一书生总兵耶？”	Văn thư đưa đến Hào Đình, Hàn Đương và Chu Thái cả sợ nói: - Tại sao chúa thượng lại dùng một anh thư sinh làm tổng binh thế?
比及逊至，众皆不服。	Khi Tốn tới, không ai chịu phục.
逊升帐议事，众人勉强参贺。	Tốn ra trướng bàn việc, mọi người miễn cưỡng đến chào mừng.
逊曰：“主上命吾为大将，督军破蜀。	Tốn nói: - Chúa thượng cho ta làm đại tướng, đốc quân phá Thục.
军有常法，公等各宜遵守。	Việc quân có phép tắc, các ông phải tuân theo.
违者王法无亲，勿致后悔。”	Nếu làm trái thì phép vua không có nể ai cả, đừng để hối về sau.
众皆默然。	Ai nấy nín lặng.
周泰曰：“目今安东将军孙桓，乃主上之侄，现困于彝陵城中，内无粮草，外无救兵；请都督早施良策，救出孙桓，以安主上之心。”	Chu Thái nói: - Hiện nay, An Đông tướng quân Tôn Hoàn là cháu chúa thượng, đang bị khốn ở Di Lăng, trong không lương thảo, ngoài chẳng cứu binh. Xin đô đốc mau dùng kế hay để cứu về cho yên lòng chúa thượng.
逊曰：“吾素知孙安东深得军心，必能坚守，不必救之。	Tốn nói: - Ta vốn biết Tôn An Đông rất được lòng quân sĩ, chẳc hẳn giữ vững được, không cần phải cứu chữa nữa.
待吾破蜀后，彼自出矣。”	Đợi khi nào ta phá xong Thục thì ông ấy sẽ thoát thôi.
众皆暗笑而退。	Mọi người cười thầm, lui ra.
韩当谓周泰曰：“命此孺子为将，东吴休矣！	Hàn Đương bảo Chu Thái rằng: - Sai đồ nhãi con này làm tướng thì Đông Ngô nguy mất.
公见彼所行乎？”	Ông thấy việc làm của hắn chưa?
泰曰：“吾聊以言试之，早无一计，安能破蜀也！”	Thái nói: - Tôi mấy lần dùng lời thử hắn, nhưng không thấy hắn có mưu kế gì. Phá sao được Thục?
次日，陆逊传下号令，教诸将各处关防，牢守隘口，不许轻敌。	Hôm sau, Tốn truyền lệnh cho các tướng canh phòng các nơi, giữ vững quan ải, không được khinh địch.
众皆笑其懦，不肯坚守。	Ai nấy đều cười là nhát, không chịu nghe theo.
次日，陆逊升帐唤诸将曰：“吾钦承王命，总督诸军，昨已三令五申，令汝等各处坚守；俱不遵吾令，何也？”	Tốn liền ra trướng gọi các tướng vào bảo rằng: - Ta vâng mệnh chúa thượng, tổng đốc quân mã, hôm qua đã hạ lệnh năm lần bảy lượt, sai các ngươi phải giữ vững các nơi. Tại sao không tuân lệnh ta?
韩当曰：“吾自从孙将军平定江南，经数百战；其余诸将，或从讨逆将军，或从当今大王，皆披坚执锐，出生入死之士。	Hàn Đương nói: - Từ khi tôi theo Tôn tướng quân bình định Giang Nam đến giờ, xông pha hàng trăm trận; các tướng khác người thì theo Thảo nghịch tướng quân trước kia, người thì theo đại vương ngày nay, đều mặc giáp cầm gươm ra sống vào chết cả.
今主上命公为大都督，令退蜀兵，宜早定计，调拨军马，分头征进，以图大事；乃只令坚守勿战，岂欲待天自杀贼耶？	Nay chúa công cử ông làm đại đô đốc để cự quân Thục, ông nên nhanh chóng lập mẹo, sai quân chia đường ra đánh dẹp, để đồ việc to mới phải; thế mà ông lại chỉ bắt giữ vững không ra đánh, phải chăng ông để trời giết đỡ giặc cho hay sao?
吾非贪生怕死之人，奈何使吾等堕其锐气？”	Chúng tôi đây có phải là người tham sống sợ chết đâu, sao ông lại làm nhụt cả nhuệ khí của ta đi thế?
于是帐下诸将，皆应声而言曰：“韩将军之言是也。 吾等情愿决一死战！”	Các tướng thấy vậy ồ cả lên rằng: - Hàn tướng quân nói phải lắm, chúng tôi xin liều một trận sống mái với giặc.
陆逊听毕，掣剑在手，厉声曰：“仆虽一介书生，今蒙主上托以重任者，以吾有尺寸可取，能忍辱负重故也。	Lục Tốn nghe xong, rút gươm ra cầm lăm lăm trong tay, quát to lên rằng: - Ta tuy là một kẻ học trò, nhưng được đội ơn chúa thượng, giao phó cho việc lớn, vì ta cũng có một chút dùng được, nghĩa là ta biết nhịn nhục, chịu đựng nặng nề.
汝等只各守隘口，牢把险要，不许妄动，如违令者皆斩！”	Các ngươi phải giữ vững các cửa ải và nơi hiểm yếu, không được làm bừa; hễ trái lệnh ta chém đầu đó.
众皆愤愤而退。	Các tướng nét mặt hầm hầm lui ra.
却说先主自猇亭布列军马，直至川口，接连七百里，前后四十营寨，昼则旌旗蔽日，夜则火光耀天。	Lại nói, tiên chủ dàn bày quân mã từ Hào Đình đến mãi cửa Xuyên, liên tiếp nhau bảy trăm dặm, trước sau cả thảy bốn mươi dinh trại. Ban ngày tinh kỳ rợp đất tối đến đèn đuốc rực trời.
忽细作报说：“东吴用陆逊为大都督，总制军马。	Chợt có mật thám về báo rằng: - Đông Ngô dùng Lục Tốn làm đại đô đốc, tổng chế cả quân mã.
逊令诸将各守险要不出。”	Tốn sai các tướng giữ vững các nơi hiểm yếu, không cho ra đánh nhau.
先主问曰：“陆逊何如人也？’	Tiên chủ hỏi: - Lục Tốn là người thế nào?
马良奏曰：“逊虽东吴一书生，然年幼多才，深有谋略；前袭荆州，皆系此人之诡计。”	Mã Lương tâu rằng: - Lục Tốn tuy là một anh học trò ở Đông Ngô nhưng ít tuổi mà lắm tài, mưu mô sâu sắc, khi trước Đông Ngô đánh úp lấy Kinh Châu, cũng là nhờ quỷ kế của hắn cả.
先主大怒曰：“竖子诡计，损朕二弟，今当擒之！” 便传令进兵。	Tiên chủ nổi giận nói: - Thằng nhãi con mưu mẹo gian dối, hại mất em thứ hai trẫm, nay phải bắt lấy nó mới được!
马良谏曰：“陆逊之才，不亚周郎，未可轻敌。”	Mã Lương can rằng: - Tài của Lục Tốn không kém gì Chu Du, chớ nên khinh địch.
先主曰：“朕用兵老矣，岂反不如一黄口孺子耶！”	Tiên chủ nói: - Trẫm cầm quân đã già đời rồi, lại không bằng một thằng ranh con miệng còn hôi sữa ấy sao?
遂亲领前军，攻打诸处关津隘口。	Liền dẫn tiền quân, đánh các nơi cửa ải.
韩当见先主兵来，差人投知陆逊。	Hàn Đương thấy tiên chủ dẫn quân đến, sai người vào báo với Lục Tốn.
逊恐韩当妄动，急飞马自来观看，正见韩当立马于山上；远望蜀兵漫山遍野而来，军中隐隐有黄罗盖伞。	Tốn sợ Đông khinh động chăng, vội vàng phi ngựa đến xem, thấy Hàn Đương cưỡi ngựa đứng trên núi, nhìn xem quân Thục kéo đến bạt ngàn, trong quân thấp thoáng có tán vóc lọng vàng.
韩当接着陆逊，并马而观。	Hàn Đương tiếp đón Lục Tốn, sóng ngựa đứng coi.
当指曰：“军中必有刘备，吾欲击之。”	Đương trỏ tay, nói: - Trong đám quân này tất có Lưu Bị, tôi muốn xuống đánh xem sao.
逊曰：“刘备举兵东下，连胜十余阵，锐气正盛；今只乘高守险，不可轻出，出则不利。	Tốn nói: - Lưu Bị từ khi cất quân sang đông, được luôn mươi trận, nhuệ khí đang thịnh lắm. Nay ta chỉ nên ngồi cao thủ hiểm, chớ nên đánh, nếu đánh chắc là bất lợi.
但宜奖励将士，广布守御之策，以观其变。	Hãy nên khuyên bảo tướng sĩ, tìm nhiều cách mà giữ gìn cho vững, để xem bên kia rồi ra thế nào.
今彼驰骋于平原广野之间，正自得志；我坚守不出，彼求战不得，必移屯于山林树木间。 吾当以奇计胜之。”	Bọn họ rong ruổi ở giữa đồng bằng, đang lúc đắc chí, ta giữ vững không ra, họ muốn đánh không được, tất phải dời đồn vào đóng trong rừng rậm, bấy giờ ta sẽ dùng mưu lạ mà phá là được.
韩当口虽应诺，心中只是不服，先主使前队搦战，辱骂百端。	Hàn Đương tuy ngoài miệng vâng lời, nhưng trong bụng vẫn không phục. Tiên chủ sai tiền đội đến khiêu chiến, chửi bới sỉ nhục trăm chiều.
逊令塞耳休听，不许出迎，亲自遍历诸关隘口，抚慰将士，皆令坚守。	Tốn sai bịt tai lại không nghe, mà cũng nhất định không cho ra đánh. Lại đi khắp nơi quan ải, khuyên dụ tướng sĩ, đóng giữ vững vàng.
先主见吴军不出，心中焦躁。	Tiên chủ thấy quân Ngô không ra, ruột nóng bồn chồn.
马良曰：“陆逊深有谋略。 今陛下远来攻战，自春历夏；彼之不出，欲待我军之变也。 愿陛下察之。”	Mã Lương tâu rằng: - Lục Tốn mưu mô sâu sắc, bệ hạ từ xa lại đây qua xuân sang hạ, thế mà quân kia nhất định không ra là có ý chờ quân ta sinh biến đó, xin bệ hạ xét kỹ mà xem!
先主曰：“彼有何谋？ 但怯敌耳。 向者数败，今安敢再出！”	Tiên chủ nói: - Nó còn có mưu mẹo gì, chẳng qua khiếp sợ đó thôi, đã thua mãi rồi, còn dám ra gì nữa!
先锋冯习奏曰：“即今天气炎热，军屯于赤火之中，取水深为不便。”	Tiên phong là Phùng Tập vào tâu rằng: - Hiện nay trời nắng chang chang, quân ta đóng cả ở trong lò lửa đỏ, đường lấy nước nôi rất là bất tiện.
先主遂命各营，皆移于山林茂盛之地，近溪傍涧；待过夏到秋，并力进兵。	Tiên chủ sai dời dinh trại vào đóng các nơi cây cối um tùm, men theo chỗ có khe suối, đợi qua hạ sang thu, rồi sẽ gộp sức lại mà tiến.
冯习遂奉旨，将诸寨皆移于林木阴密之处。	Bọn Phùng Tập vâng lệnh, dời dinh trại vào các nơi rừng rú.
马良奏曰：“我军若动，倘吴兵骤至，如之奈何？”	Mã Lương tâu rằng: - Nếu quân ta rục rịch, quân Ngô kéo ùa đến, thì làm thế nào?
先主曰：“朕令吴班引万余弱兵，近吴寨平地屯住；朕亲选八千精兵，伏于山谷之中。	Tiên chủ nói: - Trẫm sai Ngô Ban dẫn hơn vạn quân già yếu, đóng đồn sát trại Ngô, trẫm thì dẫn tám nghìn tinh binh, phục ở trong hang núi.
若陆逊知朕移营，必乘势来击，却令吴班诈败；逊若追来，朕引兵突出，断其归路，小子可擒矣。”	Lục Tốn thấy trẫm dời trại, tất thừa thế lại đánh, trẫm sai Ngô Ban giả thua chạy, nếu hắn đuổi theo, trẫm dẫn phục binh ra chận đường về chắc bắt được thằng ranh con ấy!
文武皆贺曰：“陛下神机妙算，诸臣不及也！”	Các quan văn võ cùng mừng, nói: - Bệ hạ thần cơ diệu toán như thế, chúng tôi quả thực không bằng.
马良曰：“近闻诸葛丞相在东川点看各处隘口，恐魏兵入寇。	Mã Lương nói: Gần đây nghe Gia Cát thừa tướng ở Đông Xuyên, coi xét các nơi, phòng quân Ngụy vào cướp.
陛下何不将各营移居之地，画成图本，问于丞相？”	Bệ hạ sao không cho vẽ địa đồ các dinh trại, đem hỏi thừa tướng xem làm sao.
