平原君赵胜者，赵之诸公子也。	Bình Nguyên quân Triệu Thắng Bình Nguyên quân Triệu Thắng là một trong các công tử của nước Triệu.
虞卿未返，秦使者已 在赵矣。	Ngu khanh chưa về, sứ Tần đã đến Triệu.
楼缓闻之，亡去。	Lâu Hoãn nghe tin, trốn đi.
赵於是封虞卿以一城。	Triệu phân phong cho Ngu khanh một thành.
赵孝成王召虞卿谋。	Hiếu Thành vương triệu Ngu khanh đến bàn.
过平原君， 平原君曰：“原卿之论从也。”	Ngu khanh qua chỗ Bình Nguyên quân, Bình Nguyên quân nói: “Xin ngài bàn về hợp tung.”
虞卿入见王。 王曰：“魏请为 从。”	Ngu khanh vào yết kiến Triệu vương, Triệu vương nói: “Ngụy đề nghị hợp tung.”
对曰：“魏过。”	Ngu khanh đáp: “Ngụy sai rồi.”
王曰：“寡人固未之许。”	Triệu vương nói: “Quả nhân vẫn chưa đồng ý.”
对 曰：“王过。”	Ngu khanh nói: “Đại vương sai rồi.”
王曰：“魏请从，卿曰魏过，寡人未之许，又曰寡人 过，然则从终不可乎？”	Triệu vương hỏi: “Ngụy xin hợp tung, khanh nói Ngụy sai, quả nhân chưa đồng ý, lại nói quả nhân sai, rốt cuộc không thể hợp tung chăng?”
对曰：“臣闻小国之与大国从事也，有利则 大国受其福，有败则小国受其祸。今魏以小国请其祸，而王以大国辞 其福，臣故曰王过，魏亦过。窃以为从便。”	Ngu khanh đáp: “Thần nghe nói nước nhỏ hợp tung với nước lớn, thắng lợi thì nước lớn được phúc, thất bại thì nước nhỏ chịu họa. Nay Ngụy là nước nhỏ mà xin cái họa, đại vương là nước lớn mà từ chối phúc, nên thần nói đại vương sai, Ngụy cũng sai. Thần trộm cho hợp tung là có lợi.”
王曰：“善。”	Triệu vương nói: “Phải.”
乃合魏 为从。	Bèn hợp tung với Ngụy.
虞卿既以魏齐之故，不重万户侯卿相之印，与魏齐间行，卒去 赵，困於梁。	Ngu khanh vì Ngụy Tề nên không coi trọng tước phong vạn hộ, ấn hầu khanh tướng, lén đi cùng Ngụy Tề, cuối cùng bỏ Triệu, bị khốn ở Lương.
魏齐已死，不得意，乃著书， 上采春秋，下观近世，曰 节义、称号、揣摩、政谋，凡八篇。 以刺讥国家得失，世传之曰虞氏 春秋。	Ngụy Tề chết, Ngu khanh bất đắc chí, bèn viết sách, trên chọn nhặt từ Xuân Thu, dưới quan sát các đời gần, đặt tên Tiết nghĩa, Xưng hiệu, Sủy ma, Chính mưu, gồm tám thiên, nhằm phê phán điều được mất của quốc gia, người đời lưu truyền, gọi là Ngu thị xuân thu.
太史公曰：平原君，翩翩浊世之佳公子也，然未睹大体。	Thái sử công bàn rằng: Bình Nguyên quân là vị công tử tốt, phong lưu phiêu thoát giữa đời ô trọc, nhưng chưa thấy rõ đại thể.
鄙语 曰“利令智昏”，平原君贪冯亭邪说，使赵陷长平兵四十馀万众，邯 郸几亡。	Tục ngữ nói: “Lợi khiến trí mờ.” Bình Nguyên quân tham theo tà thuyết của Phùng Đình, khiến hơn bốn mươi vạn quân Triệu bị chôn sống ở Trường Bình, Hàm Đan suýt mất.
及不忍魏齐，卒困於大 梁，庸夫且知其不可，况贤人乎？ 然虞卿非穷愁，亦不能著书以自见 於後世云。 翩翩公子，天下奇器。 笑姬从戮，义士增气。	Khi không đành lòng việc của Ngụy Tề, cuối cùng bị khốn ở Đại Lương, kẻ tầm thường còn biết không thể, huống nữa bậc hiền nhân?
李同战死，封其父 为李侯。	Lý Đồng chết trận, cha được phong làm Lý hầu.
应侯果显郑硃以示天下贺 战胜者，终不肯媾。	Quả nhiên Ứng hầu tiếp đãi Trịnh Chu nồng hậu, để người mừng chiến thắng trong thiên hạ biết, cuối cùng không chịu giảng hòa.
虞卿料事揣情，为赵画策，何其工也！	Ngu khanh liệu việc xét tình, lập kế cho Triệu, sao mà khéo thế.
