孝文皇帝，高祖中子也。	Hiếu Văn hoàng đế là con giữa của Cao tổ.
匈奴去，发中尉 材官属卫将军军长安。	Hung Nô rút quân, sáp nhập quân thiện chiến của Trung úy vào quân của Vệ tướng quân, đóng Trường An.
辛卯，帝自甘泉之高奴，因幸太原，见故群臣，皆赐之。	Ngày Tân Mão, vua từ Cam Tuyền tới Cao Nô, nhân qua Thái Nguyên, gặp các bề tôi trước đây, đều ban thưởng.
留游太原十馀日。	Ở lại Thái Nguyên chơi hơn mười ngày.
济北王兴居闻帝之代，欲往击胡，乃反，发兵欲袭荥阳。	Tế Bắc vương Hưng Cư nghe tin vua đến đất Đại, định tới đánh giặc Hồ, liền quay trở lại, cất quân hàng đánh úp Huỳnh Dương.
於是诏 罢丞相兵，遣棘蒲侯陈武为大将军，将十万往击之。	Thế rồi vua xuống chiếu bãi quân thừa tướng, sai Các Bồ hầu Trần Vũ làm đại tướng quân, cầm mười vạn quân tới đánh.
祁侯贺 为 将军，军荥阳。	Kỳ hầu Tăng Hạ làm tướng quân, đóng ở Huỳnh Dương.
七月辛亥，帝自太原至长安。	Ngày Tân Hợi, tháng Bảy, vua từ Thái Nguyên tới Trường An.
乃诏有司曰：“济北王 背德反上，诖误吏民，为大逆。济北吏民兵未至先自定，及以军地邑 降者，皆赦之，复官爵。与王兴居去来，亦赦之。”	Bèn ban chiếu cho các quan hữu ty nói: “Tế Bắc vương trái đức phản vua, làm liên lụy quan dân, là kẻ đại nghịch. Quan dân Tế Bắc khi đại quân chưa tới đã tự ổn định trước và những ai đem quân, đất, ấp đầu hàng thì đều tha cho, khôi phục quan tước. Những ai qua lại với Tế Bắc vương Hưng Cư cũng tha cho.”
八月， 破济北军，虏其王。	Tháng Tám, phá quân Tế Bắc, bắt Tế Bắc vương.
赦济北诸吏民与王反者。	Tha cho quan dân Tế Bắc làm phản cùng vương đất ấy.
六年，有司言淮南王长废先帝法，不听天子诏，居处毋度，出入 拟於天子，擅为法令，与棘蒲侯太子奇谋反，遣人使闽越及匈奴，发 其兵，欲以危宗庙社稷。	Năm thứ sáu, quan hữu ty nói Hoài Nam vương Lưu Trường phế bỏ pháp độ của tiên đế, không vâng chiếu của thiên tử, cư xử không chừng mực, ra vào đều bắt chước thiên tử, tự đặt pháp lệnh, cùng con cả của Cức Bồ hầu là Trần Kỳ mưu phản, phái người xúi Mân Việt và Hung Nô dấy binh, hòng làm nguy đến tông miếu xã tắc.
群臣议，皆曰“长当弃市”帝不忍致法於 王，赦其罪，废勿王。	Bầy tôi cùng bàn, đều nói rằng: “Trường đáng phải đem bêu chợ”. Vua không nỡ trị Hoài Nam vương, bèn tha tội, phế tước vương.
群臣请处王蜀严道、邛都， 帝许之。	Bầy tôi xin đày vương tới Nghiêm Đạo, Cung Đô đất Thục, vua bằng lòng.
长未到处所，行病死，上怜之。	Trường chưa tới nơi lưu đây, trên đường ốm chết, vua thương xót.
後十六年，追尊淮南 王长谥为厉王，立其子三人为淮南王、衡山 王、庐江王。	Mười sáu năm sau, truy tôn thụy hiệu Hoài Nam vương Trường là Lệ vương, lập ba người con trai của ông ta làm Hoài Nam vương, Hằng Sơn vương, Lư Giang vương.
十三年夏，上曰：“盖闻天道祸自怨起而福繇德兴。百官之非， 宜由朕躬。今祕祝之官移过于下， 以彰吾之不德，朕甚不取。其除之。”	Mùa hạ, năm thứ mười ba, vua nói: “Thường nghe đạo trời, họa bởi oán thành, phúc vì đức tạo. Lỗi của trăm quan, nên do trẫm gánh. Nay quan Bí chúc đổ vạ bề tôi, khiến sự ít đức của trẫm thêm rõ rệt, trẫm rất không tán thành. Phải bỏ đi!”
太仓公将行会逮， 骂其女曰：“生子不生男，有缓急非有益也！”	Thái Thương công sắp bị bắt đi, liền mắng con gái rằng: “Sinh con chẳng được con trai, khi có việc cấp bách chẳng được ích gì!”
其少女缇萦 自伤泣，乃随其父至长安，上书曰：“妾父为 吏，齐中皆称其廉平，今坐法当刑。妾伤夫死者不可复生，刑者不可 复属，虽复欲改过自新，其道无由也。妾原没入为官婢，赎父刑罪， 使得自新。”	Con gái nhỏ của ông ta là Đề Oanh đau lòng khóc, bèn theo bố tôi Trường An, dâng thư nói: “Cha thiếp làm quan, người Tề đều khen liêm khiết, công bằng, nay phạm pháp chịu hình. Thiếp đau lòng bởi lẽ người chết không thể sống lại, người chịu cực hình không thể như xưa, dù muốn sửa sai đổi mới, cũng không có cách nào làm được. Thiếp nguyện xin làm nô tỳ nhà quan, chuộc tội cực hình của cha, khiến người được sửa sai.”
书奏天子，天子怜悲其意，乃下诏曰：“盖闻有虞氏之 时，画衣冠异章服以为僇， 而民 不犯。何则？至治也。今法有肉刑三， 而奸不止，其咎安在？非乃朕德薄 而教不明欤？吾甚自愧。故夫驯道不纯而愚民陷焉。诗曰‘恺悌君 子，民之父母’。今人有过，教未施而刑加焉？或欲改行为善而道毋 由也。朕甚怜之。夫刑至断支体，刻肌肤，终身不息，何其楚痛而不 德也，岂称为民父母之意哉！其除肉刑。”	Thư tấu lên thiên tử, thiên tử thương cho tấm lòng cô gái, bèn xuống chiều nói: “Thường nghe, thời họ Hữu Ngu, cho người phạm tội vận quần áo vẽ hình kỳ dị để làm nhục, nên dân không phạm. Vì sao? Do chính trị sáng suốt tột cùng vậy. Nay luật có ba kiểu nhục hình mà gian trá vẫn không dứt, lỗi ấy ở đâu? Chẳng phải do đức của trẫm mỏng mà nền giáo hóa chưa sáng tỏ ru? Ta rất lấy làm thẹn. Cho nên phép dạy không chuẩn thì ngu dân còn mắc. Kinh Thi nói: Quân tử dễ gần, làm cha mẹ dân. Nay người có lỗi, chưa dạy dỗ mà đã xử bằng cực hình, có người muốn sửa sai làm việc thiện mà chẳng có đường nào. Trẫm rất thương. Ôi cực hình đến mức chặt cơ thể, trổ da thịt, suốt đời không yên, sao lại đau đớn và thất đức đến thế! Há xứng làm cha mẹ dân sao! Phải bỏ nhục hình!”
上曰：“农，天下之本，务莫大焉。今勤身从事而有租税之赋， 是为本末者毋以异， 其於劝农之道未备。其除田之租税。”	Vua nói: “Nghề nông là gốc của thiên hạ, không có việc nào quan trọng hơn. Nay chăm chỉ làm lụng mà vẫn chịu tố thuế, ấy là khiến cho gốc ngon không lấy gì làm phân biệt. Chứng tỏ phép khuyến nông còn chưa đủ. Phải bỏ thuế ruộng?”
上乃遣三将军军陇西、北 地、上郡，中尉周舍为卫将军，郎中令张武为车骑将军，军渭北，车 千乘，骑卒十万。	Vua bèn sai ba vị tướng quân đóng ở Lũng Tây, Bắc Địa, Thượng Quận. Trung úy Chu Xá làm Vệ tướng quân, Lang trung lệnh Trương Vũ làm Xa kỵ tướng quân, đóng ở Vị Bắc, xe nghìn cỗ, kỵ binh mười vạn.
帝亲自劳军，勒兵申教令，赐军吏卒。	Vua đích thân thăm quan, chỉnh đốn đội ngũ, tuyên bố chiếu lệnh, ban thưởng cho binh lính.
帝欲自将击 匈奴，群臣谏，皆不听。	Vua muốn tự cầm quân đánh Hung Nô, bầy tôi can ngăn, nhưng đều không nghe.
皇太后固要帝， 帝乃止。	Hoàng thái hậu cố ngăn vua, vua mới thôi.
於是以东阳侯张相如为大将军，成侯赤 为内史，栾布为将军，击匈奴。	Thế rồi cho Đông Dương hầu Trương Tương Như làm đại tướng quân, Thành hầu Xích làm nội sử, Loan Bố làm tướng quân, đánh Hung Nô.
春，上曰：“朕获执牺牲珪币以事上帝宗庙，十四年于今，历日 长，以不敏不明而久抚临天下，朕甚自愧。其广增诸祀墠场珪币。昔 先王远施不求其报，望祀不祈其福，右贤左戚， 先民後己，至明之极 也。今吾闻祠官祝釐， 皆归福朕躬，不为百姓，朕甚愧之。夫以朕 不德，而躬享独美其福，百姓不与焉，是重吾不德。其令祠官致敬， 毋有所祈。”	Mùa xuân, vua nói: “Trẫm được bưng vật tế, ngọc khuê, vải lụa đem thời thượng đế, tông miếu, đã mười bốn năm đến nay, thời gian đằng đẵng, không giỏi giang sáng suốt mà trông nom thiên hạ lâu dài, trẫm rất hổ thẹn. Hãy tăng thêm các đàn tế và ngọc lụa. Xưa tiên vương vỗ về phương xa không màng báo đáp, cử hành tế vọng không xin phúc lộc, cất nhắc hiền tài, hạn chế thân thích, nghĩ dân trước, lo minh sau, sáng suốt tột cùng vậy. Nay trẫm nghe quan tế tự cầu cúng, đều xin ban phúc cho mình trẫm, không vì trăm họ, trẫm rất hổ thẹn. Ôi trẫm ít đức mà mình trẫm riêng hưởng phúc trời, trăm họ không dự phần, ấy là làm nặng thêm sự ít đức của trẫm. Hãy sai quan tế tự dốc lòng thành kính, không được cầu xin cho mình trẫm nữa!”
是时北平侯张苍为丞相，方明律历。	Bấy giờ Bắc Bình hầu Trương Thương làm thừa tướng, vừa định rõ luật lịch.
天子 下其事与丞相议。	Thiên tử giao việc này cho thừa tướng bàn bạc.
丞相推以为今水德，始明正十月上黑事，以为其言 非是，请罢之。	Thừa tướng suy tính, cho rằng nay là thủy đức, bắt đầu đặt tháng Mười làm tháng Giêng, chuộng màu đen, cho rằng lời của Công Tôn Thần không đúng, xin bỏ đi.
十五年，黄龙见成纪，天子乃复 召鲁公孙臣，以为博士，申明土德事。	Năm thứ mười lăm, rồng vàng hiện ở Thành Kỷ, thiên tử bèn cho vời lại Công Tôn Thần nước Lỗ, cho làm Bác sĩ, nói rõ về thổ đức.
於是上乃下诏曰：“有异物之 神见于成纪，无害於民，岁以有年。朕亲郊祀上帝诸神。礼官议，毋 讳以劳朕。”	Thế rồi vua bèn xuống chiếu rằng: “Có dị vật thần kỳ hiện ra ở Thành Kỷ, không hại đến dân, năm nay sẽ được mùa. Trẫm đích thân ra ngoại ô tế thượng đế cùng các thần. Các quan coi lễ nhạc hãy bàn bạc, đừng sợ trẫm mệt mà kiêng dè.”
有司礼官皆 曰：“古者天子夏躬亲礼祀上帝於郊，故曰郊。”	Các quan lễ nhạc hữu ty đều nói: “Thời xưa, mùa hè, thiên tử đích thân cúng tế thượng đế ở ngoại ô, cho nên gọi là tế Giao.”
於是天子始幸雍， 郊见五帝，以孟夏四月答礼焉。	Thế rồi thiên tử bắt đầu hạ giá tới đất Ung, tế Ngũ đế, lấy tháng Tư đầu hạ để đáp lễ.
十七年，得玉杯，刻曰“人主 延寿”。	Năm thứ mười bảy, có được chén ngọc, khắc chữ “Nhân Chủ Diên Thọ” (đấng quân chủ kéo dài tuổi thọ).
於是天子始更为元年， 令天下大酺。	Thiên tử liền đổi làm năm đầu tiên, lệnh cho thiên hạ ăn uống linh đình.
其岁，新垣平事觉，夷三族。	Năm ấy, việc lừa gạt của Tân Hoàn Bình bị phát giác, tru di ba họ.
後二年，上曰：“朕既不明，不能远德，是以使方外之国或不宁 息。夫四荒之外不安其生， 封畿之内勤劳不处，二者之咎，皆自於朕之德薄而不能远 达也。间者累年，匈奴并暴边境，多杀吏民，边臣兵吏又不能谕吾内 志，以重吾不德也。夫久结难连兵，中外之国将何以自宁？今朕夙兴 夜寐，勤劳天下，忧苦万民，为之怛惕不安，未尝一日忘於心，故遣 使者冠盖相望，结轶於道， 以谕朕意於单于。今单于反古之道，计 社稷之安，便万民之利，亲与朕俱弃细过，偕之大道，结兄弟之义， 以全天下元元之民。 和亲已定，始于今年。”	Năm Hậu nguyên thứ hai, vua nói: “Trẫm vốn không sáng suốt, không thể ban ơn xa, bởi vậy khiến nước ở ngoài cối không yên. trong đất phong Ngoài miền hoang viên, sinh sống không yên, cương, cần cù vẫn khổ, hai lỗi này đều do đức trẫm mỏng, không thể đạt tới phương xa vậy. Mấy năm gần đây, Hung Nô liên tiếp phạm biên cương, giết nhiều quan dân, đại thần cùng quan quân biên ải lại không thể hiểu suy nghĩ trong lòng trẫm, cho nên làm nặng lỗi ít đức của trẫm. Xét nhẽ, lâu ngày kết oán, không ngớt đao binh, các nước trong ngoài làm sao yên ổn? Nay trẫm thức khuya dậy sớm, chăm việc thiên hạ, thấu nỗi khổ dân, vì vậy sốt sắng không yên, chưa từng một ngày quên bẵng trong lòng, cho nên sai phái sứ giả, nóc xe nối tiếp, vết bánh đan xen, để tuyên dụ ý trẫm với Thiền vu. Nay Thiền vu quay lại phép xưa, lo cho xã tắc yên bình, ngẫm cho muôn dân, tiện lợi, đích thân cùng trẫm bỏ qua lỗi nhỏ, đi tới đạo lớn, kết nghĩa anh em, bảo toàn cho dân lành trong thiên hạ. Mối hòa thân đã định, bắt đầu từ năm nay.”
後六年冬，匈奴三万人入上郡，三万人入云中。	Mùa đông, năm Hậu nguyên thứ sáu Hung Nô có ba vạn người xâm nhập Thượng Quận, ba vạn người xâm nhập Vân Trung.
以中大夫令勉 为车骑将军，军 飞狐；故楚相苏意为将 军，军句注； 将军张武屯北地；河内守周亚夫为将军，居细柳； 宗正刘礼为 将军，居霸上；祝兹侯军棘 门： 以备胡。	Cho Trung đại phu Lệnh Miễn làm Xa kỵ tướng quân, đóng ở Phi Hồ; thừa tướng nước Sở trước đây là Tô Ý làm tướng quân, đóng ở Câu Chú; tướng quân Trường Vũ đóng đồn ở Bắc Địa; quận thủ Hà Nội là Chu Á Phu làm tướng quân, trú ở Tế Liễu; Tông chính Lưu Lễ làm tướng quân, trú ở Bá Thượng; Chúc Tư hầu đóng ở Các Môn, để phòng bị người Hồ.
数月，胡人去，亦 罢。	Mấy tháng sau, người Hồ bỏ đi, các quân cũng rút về.
天下旱，蝗。	Thiên hạ hạn hán, có nạn côn trùng.
孝文帝从代来，即位二十三年，宫室苑囿狗马服御无所增益，有 不便，辄弛以利民。	Hiếu Văn đế từ đất Đại tới, ở ngôi hai mươi ba năm, cung thất, vườn tược, chó ngựa, trang phục, xe cộ không có thứ nào tăng thêm, có việc không tiện liền nới lỏng để lợi cho dân.
上曰：“百金中民十家之产，吾奉先帝宫室，常恐羞之，何以台 为！”	Vua nói: “Trăm cân vàng bằng tài sản của mười hộ dân trung bình, ta vâng dùng cung thất của tiến đế, thường sợ làm điều hổ thẹn, đâu cần đài cao làm gì!”
上常衣綈衣，所幸慎夫 人，令衣不得曳地，帏帐不得文绣，以示敦朴，为天下先。	Vua thường mặc áo sợi thô, người được sủng ái là Thận phu nhân, lệnh cho áo mặc không được chấm đất, màn trướng không được thêu hoa văn, để tỏ vẻ chất phác, đi đầu thiên hạ.
治霸陵皆 以瓦器，不得以金银铜锡为饰，不治坟，欲为省，毋烦民。	Sửa Bá lăng đều dùng đồ đất nung, không cho dùng vàng bạc đồng thiếc trang sức, không sửa mồ mả, nhằm tiết kiệm, không phiền dân.
南越王尉 佗自立为武帝，然上召贵尉佗兄弟，以德报之，佗遂去帝称臣。	Nam Việt vương Úy Đà tự lập làm Vũ đế, song vua cho vời anh em của Úy Đà, khiến họ được vẻ vang, dùng đức để đáp lại, Úy Đà liền bỏ đế hiệu, xưng thần.
与匈 奴和亲，匈奴背约入盗，然令边备守，不发兵深入，恶烦苦百姓。	Hòa thân với Hung Nô, Hung Nô bội ước vào quấy, song lệnh cho biên ải phòng thủ, không dấy quấn thâm nhập Hung Nô, không muốn phiền khổ đến trăm họ.
吴 王诈病不朝，就赐几杖。	Ngô vương giả ốm không chầu, liền ban bàn và gậy chống.
群臣如张武等受赂遗金钱， 觉，上乃发御府金钱赐之，以愧其心，弗下吏。	Bầy tôi như bọn Trương Vũ nhận tiền vàng hối lộ, sau khi phát giác, vua bèn phát tiền vàng trong ngự phủ ban cho, để lòng chúng hổ thẹn, không trị tội.
专务以德化民，是以 海内殷富，兴於礼义。	Ngài chuyên vào việc dùng đức để cảm hóa dân, bởi vậy thiên hạ giàu có, lễ nghĩa thịnh hành.
後七年六月己亥，帝崩於未央宫。	Ngày Kỷ Hợi, tháng Sáu, năm Hậu nguyên thứ bảy, hoàng để băng ở cung Vị Ương.
遗 诏曰：“朕闻盖天下万物之萌生，靡不有死。死者天地之理，物之自 然者，奚可甚哀。当今之时，世咸嘉生而恶死，厚葬以破业，重服以 伤生，吾甚不取。且朕既不德，无以佐百姓；今崩，又使重服久临， 以离寒暑之数，哀人之父子，伤长幼之志，损其饮食，绝鬼神之祭 祀，以重吾不德也，谓天下何！朕获保宗庙，以眇眇之身讬于天下君 王之上，二十有馀年矣。赖天地之灵，社稷之福，方内安宁， 靡有兵革。 朕既不敏，常畏过行，以羞先帝之遗 德；维年之久长，惧于不终。今乃幸以天年，得复供养于高庙。朕之 不明与嘉之，其奚哀悲 之有！其令天下吏民，令到出临三日，皆释服。毋禁取妇嫁女祠祀饮 酒食肉者。自当给丧事服临者，皆无践。 绖带无过三寸，毋布车及兵器， 毋 发民男女哭临宫殿。宫殿中当临者，皆以旦夕各十五举声，礼毕罢。 非旦夕临时，禁毋得擅哭。已下，服大红十五日， 小红十四日，纤七日，释服。 佗不在令中 者，皆以此令比率从事。布告天下，使明知朕意。霸陵山川因其故， 毋有所改。归夫 人以下至少使。”	Di chiếu viết: “Trẫm nghe, muôn vật trong thiên hạ sinh ra, không giống nào không chết. Chết là lẽ thường của trời đất, là điều tự nhiên của muôn loài, sao phải quá đau buồn! Như lúc này, người đời đều ham sống mà sợ chết, chôn cất linh đình đến tan hoang sản nghiệp, coi nặng tang tế đến tổn hại sinh linh, trẫm rất không tán thành. Vả trẫm đã ít đức, không có gì giúp đỡ cho trăm họ, nay băng, lại khiến trăm họ phải gánh đại tang, khóc lóc ròng rã, hứng chịu cơn nóng rát, khiến cha con đau buồn, già trẻ suy sụp, hại đường ăn uống, tổn việc thờ cúng quỷ thần, để rồi làm nặng thêm sự ít đức của trẫm, trẫm phải ăn nói với thiên hạ ra sao? Trẫm được giữ tông miếu, đem tấm thân nhỏ mọn đặt trên các quân vương trong thiên hạ, đã được hai mươi năm có lẻ. Cây linh khí của đất trời, phúc lành của xã tắc, trong cõi yên bình, không còn chiến sự. Trẫm đã chẳng giỏi, thường e làm sai, luống thẹn với di đức của tiên đế, năm dài tháng đẵng, sợ không trọn vẹn. Nay lại may được hưởng tuổi trời, còn được cúng tế trong Cao miếu, trẫm vốn không sáng, vậy đủ tốt rồi, sao còn đau buồn gì nữa! Trẫm lệnh cho quan dân thiên hạ, phúng viếng ba ngày xong xuôi, đều cởi bỏ tang phục. Chớ cấm việc lấy vợ, gả con, cúng tế, uống rượu, ăn thịt. Nhà có việc hiếu, mặc đồ tang khóc lóc đều không được đi đất. Đai áo trở không quá ba tấc, chớ phủ vải lên xe cộ, binh khí. Chớ để trai gái khóc lóc trước cung điện. Những người phải khóc tế trong cung đều chỉ được khóc mười lăm tiếng vào hai buổi sớm tối, lễ xong thì thôi. Không phải thời giờ sớm tối cho khác, cẩm không được tự ý khóc lóc. Chôn cất xong, đại công chịu tang mười lăm ngày, tiểu công chịu tang mười bốn ngày, ty ma chịu tang bảy ngày, sau đó bỏ tang phục. Ngoài ra, những việc không có trong chiếu lệnh, cũng đều chiếu theo lệnh này mà làm. Hãy bá cáo thiên hạ, khiến ai nấy hiểu rõ ý trẫm. Núi sông ở Bá lăng giữ nguyên như cũ, không được thay đổi. Cho phi tần từ Phu nhân trở xuống tới Thiếu sử được trở về!”
令中尉亚夫为车骑将军， 属国悍 为将屯将军， 郎中令武为复土将军， 发近县见卒万六千人，发内史卒万五千人， 藏郭穿复土属将军武。	Lệnh cho Trung úy Á Phu làm Xa kỵ tướng quân, Thuộc quốc Hãn làm Tướng đồn tướng quân, Lang trung lệnh Trương Vũ làm Phục Thổ tướng quân, chiêu mộ binh lính ở các huyện lân cận một vạn sáu ngàn người, chiêu mộ quân Nội sử một vạn năm ngàn người. An táng quan quách, đào lấp đất giao cho tướng quân Trương Vũ đảm nhiệm.
乙巳， 群臣皆顿首上尊号曰孝文皇帝。	Ngày Ất Tỵ, bầy tôi đều dập đầu dâng tôn hiệu là Hiếu Văn hoàng đế.
太子即位于高庙。	Thái tử lên ngôi ở Cao miếu.
丁未，袭号曰皇帝。	Ngày Đinh Mùi, nối vị hiệu xưng là hoàng đế.
孝景皇帝元年十月，制诏御史：“盖闻古者祖有功而宗有德， 制礼乐各有由。闻歌者，所以发德也；舞者，所以明功 也。高庙酎， 奏武德、 文始、五行之舞。 孝惠庙酎，奏文始、五行之舞。孝文皇帝临天下，通关梁， 不异远方。除 诽谤，去肉刑，赏赐长老，收恤孤独，以育群生。减嗜欲，不受献， 不私其利也。罪人不帑， 不诛无罪。除刑，出美人，重绝人之世。朕既不 敏，不能识。此皆上古之所不及，而孝文皇帝亲行之。德厚侔天地， 利泽施四海，靡不获福焉。明象乎日月， 而庙乐不称。朕甚惧焉。其为孝文皇帝庙为昭德之舞， 以明休德。 然后祖宗之功德著於竹帛，施于万世，永永无穷，朕甚嘉之。其与丞 相、列侯、中二千石、礼官具为礼仪奏。”	Hiếu Cảnh hoàng đế năm đầu tiên, tháng Mười, xuống chiếu cho Ngự sử: “Thường nghe, ngày xưa vua có công sáng lập gọi là tổ, vua có đức trị vì gọi là tông, đặt định lễ nhạc đều có căn cứ. Nghe nói, hát là để tán dương đức độ, múa là để làm rõ công lao. Tế Cao miếu dùng rượu nặng, tấu điệu múa Vũ đức, Văn thủy, Ngũ hành. Tế miếu Hiếu Huệ dùng rượu nặng, tấu điệu múa Văn Thủy, Ngũ hành. Hiếu Văn hoàng đế trị thiên hạ, cho thông cửa ải, cầu cống, không phân biệt phương xa. Bỏ tội phỉ báng, xóa nhục hình, ban thưởng người già cả, nhận nuôi kẻ côi cút, vỗ về sinh linh. Giảm ham muốn, không nhận cống, không màng tư lợi vậy. Không trị tội liên đới, không giết người vô tội. Bỏ phạt thiến, thả mỹ nhân, coi trọng việc tuyệt tự. Trẫm vốn không giỏi, không thể biết được. Những điều này thời thượng cổ đều không ai sánh bằng, mà Hiếu Văn hoàng đế tự mình làm được. Đức ngài sánh ngang trời đất, ơn huệ ban khắp bốn biển, không ai không hưởng phúc. Ngài sáng suốt tựa nhật nguyệt mà lễ nhạc dùng trong miếu không tương xứng, trẫm rất lo sợ. Hãy chế điệu múa Chiêu đức dành cho Hiếu Văn hoàng đế, để nêu rõ đức lớn của ngài. Về sau, đem công đức của tổ tông viết lên tre lụa, truyền cho muôn đời, vĩnh viễn vô tận, trẫm rất hài lòng. Hãy cùng thừa tướng, liệt hầu, quan lại lĩnh lương hai ngàn thạch và quan chấp lễ đặt đủ lễ nghi, tâu cho trẫm biết!”
丞相臣嘉等言：“陛下永 思孝道，立昭德之舞以明孝文皇帝之盛德。皆臣嘉等愚所不及。臣谨 议：世功莫大於高皇帝，德莫盛於孝文皇帝，高皇庙宜为帝者太祖之 庙，孝文皇帝庙宜为帝者太宗之庙。天子宜世世献祖宗之庙。郡国诸 侯宜各为孝文皇帝立太宗之庙。诸侯王列侯使者侍祠天子，岁献祖宗 之庙。 请著之竹帛，宣布天下。”	Đám thừa tướng Gia nói: “Bệ hạ luôn nghĩ đến đạo hiếu, đặt điệu múa Chiêu đức để làm sáng đức lớn của Hiếu Văn hoàng đế, ấy đều là điều bạn thân ngu muội không nghĩ tới. Thần xin bàn rằng: công lao ở đời không ai lớn bằng Cao hoàng đế, đức độ không ai giàu bằng Hiểu Văn hoàng đế, miếu Cao hoàng đáng làm miếu Thái tổ, miếu Hiếu Văn hoàng để đáng làm miếu Thái tông. Thiên tử phải đời đời hiến tế miếu tổ tông. Quận quốc chư hầu ai nấy đều phải lập miếu Thái tông cho Hiếu Văn hoàng đế. Các sứ giả của chư hầu, vương, liệt hầu phải theo tới bồi tế cùng thiên tử, hằng năm hiến tế miếu tổ tông. Hãy viết những điều này lên tre lụa, tuyên bố khắp thiên hạ.”
制 曰：“可。”	Lời chế viết: “Được!”
汉兴，至孝文四十有馀载，德至盛也。	Nhà Hán nổi lên, tới thời Hiếu Văn trải hơn bốn mươi năm, đức rất thịnh vậy.
呜呼，岂不仁哉！	Than ôi! Há chẳng phải là Nhân đó sao!
举功行 赏，诸民里赐牛酒。	Luận công ban thưởng, các xóm được ban trâu, rượu.
复晋阳中都民 三岁。	Miễn thuế và lao dịch cho dân ở Tấn Dương, Trung Đô ba năm.
五月，齐太仓令淳于公有罪 当刑，诏狱逮徙系长安。 太仓公无男，有女五人。	Tháng Năm, Thái thường lệnh nước Tề là Thuần Vu công có tội phải chịu cực hình, xuống chiếu lệnh cho ngục lại bắt chuyển về cầm tù tại Trường An Thái Thương công không có con trai, có năm cô con gái.
鲁人公孙臣上书陈终始传五 德事， 言方今土德时，土德应黄龙见，当改正朔服色制度。	Công Tôn Thần người nước Lễ dâng thư kể đầu đuôi việc năm đức nối truyền, nói rằng nay đương buổi thổ đức, thổ đức hẳn có rồng vàng hiện, nên đổi lịch pháp, màu áo, chế độ.
赵人新垣平以望气见，因说上设立渭 阳五庙。 欲出周鼎，当有玉英见。	Người nước Triệu là Tân Hoàn Bình dựa vào thuật xem khí cầu kiến, nhân đó khuyên vua lập miếu Ngũ đế tại Vị Dương, hòng tìm đỉnh nhà Chu, ắt có ngọc báu xuất hiện.
十六年，上亲郊见渭阳五帝庙，亦以夏答礼而尚赤。	Năm thứ mười sáu, vua đích tế Giao ở miếu Ngũ đế tại Vị Dương, cũng đáp lễ vào mùa hạ, chuộng màu đỏ.
帝加惠：令诸侯毋入贡，弛山泽， 减诸服御狗马，损郎吏员，发仓庾 以振 贫民，民得卖爵。	Vua gia ơn: lệnh chư hầu không phải vào cống, mở núi đầm, giảm bớt quần áo, chó ngựa, xe cộ, rút số lượng quan viên, phát chẩn kho đụn để cứu dân nghèo, dân được phép bạn tước vị.
太史公曰：孔子言“必世然後仁。 善人之治国百年，亦可以胜残去 杀”。 诚哉是 言！	Thái sư công bàn rằng: Khổng Tử nói “phải qua một đời (ba mươi năm) mới thi hành được điều Nhân. Người thiện trị nước trăm năm, cũng có thể thắng bạo tàn, dẹp giết chóc” Lời ấy thật đúng thay!
十四年冬，匈奴谋入边为寇，攻朝(cid:0)塞，杀北地都尉卬。	Năm thứ mười bốn, mùa đông, Hung Nô âm mưu xâm nhập biên cảnh làm loạn, đánh ải Triều Na, giết Đô úy quận Bắc Địa là Ngang.
匈奴遁走。	Hung Nô trốn chạy.
群臣如袁盎等称说虽切，常假借用之。	Bầy tôi như bọn Viên Áng lời lẽ tuy chối, nhưng vẫn thu dùng.
