吴太伯， 太伯弟仲雍， 皆周太王之子， 而王季历之兄也。	Ngô Thái bá và em trai là Trọng Ung, đều là con của Chu Thái vương và là anh của vua Quý Lịch.
二十三年十一月丁卯，越败吴。	Ngày Đinh Mão tháng Mười một năm thứ hai mươi ba, nước Việt đánh bại nước Ngô.
吴王曰：“孤老矣，不能事君王也。吾悔不用子胥之 言，自令陷此。”	Ngô vương nói: “Ta già rồi, không thể thờ quân vương được nữa. Ta hối hận vì không nghe lời Tử Tư, tự khiến mình sa vào cảnh này.”
遂自刭死。	Đoạn cắt cổ chết.
季札封於延陵， 故号曰延陵季 子。	Quý Trát được phong ở Diên Lăng, vì vậy hiệu là Diên Lăng Quý tử.
歌王。 曰：“美哉，思而不惧，其周之东 乎？”	Hát “Vượng phong”, [nghe xong, Quý Trát] nói: “Đẹp đẽ thay, suy tư mà không sợ sệt, là nhạc sau hồi nhà Chu rời sang đông ư?”
歌郑。 曰：“其细已甚，民不堪也，是其先亡乎？”	Hát “Trịnh phong”, [nghe xong, Quý Trát] nói: “Quá ư nhỏ nhặt, dân không chịu thấu, là nước sẽ mất đầu tiên ư?”
歌豳。 曰：“美哉，荡荡乎，乐而不淫， 其周公之东乎？”	Hát “Bân phong”, [nghe xong, QuýTrát] nói: “Đẹp đẽ thay, thảnh thơi thay, vui mà không dâm, là nhạc lúc Chu công đông chinh chăng?”
歌唐。 曰：“思深哉，其有陶唐氏之遗风乎？不然，何 忧之远也？ 非令德之後，谁能若是！”	Hát “Đường phong”, [nghe xong, Quý Trát] nói: “Nghĩ sâu xa thay, còn di phong của họ Đào Đường chăng? Bằng không sao suy tư sâu xa tới vậy? Phi hậu duệ của bậc có đức lớn, ai được như thế?”
歌陈。 曰：“国无主，其能久 乎？”	Hát “Trần phong”, [nghe xong, Quý Trát] nói: “Nước không vua, sao có thể lâu dài được đây?”
歌小 雅。 曰：“美哉，思而不 贰，怨而不言， 其周德之衰乎？ 犹有先王之遗民也。”	Hát “Tiểu nhã”, [nghe xong, Quý Trát] nói: “Đẹp đẽ thay, suy tư mà chẳng hai lòng, oán hận mà chẳng nói ra, là đức nhà Chu nhỏ chăng? Do hãy còn cái tình dân cũ của tiên vương.”
见舞韶护者， 曰：“圣人之弘也， 犹有惭德，圣人之难也！”	Xem múa “Thiều hộ”, [Quý Trát] nói: “Thánh nhân lớn lao thay, nhưng dường có chỗ còn thắc thỏm, làm thánh nhân khó thế đấy!”
见舞大夏， 曰：“美哉，勤而不德！非 禹其谁能及之？”	Xem múa “Đại Hạ”, Quý Trát nói: “Đẹp đẽ thay, chăm chỉ mà không khoe khoang, không phải Vũ thì ai làm được thế?”
见舞招箾， 曰：“德至矣哉，大矣， 如天之无不焘也， 如地之无不载也，虽甚盛德，无以加矣。观止矣， 若有他乐，吾不敢观。”	Xem múa “Chiêu sóc”, Quý Trát] nói “Đức đến cực điểm thay, lớn lao thay, như trời cao, không gì không che phủ, như đất dày, không gì không gánh chở, dẫu thêm đức tốt cũng không biết thêm vào đâu. Xem thế là đủ, dẫu thêm nhạc khác, ta cũng chẳng dám xem nữa.”
谓子产曰：“郑之执政侈，难 将至矣，政必及子。子为政，慎以礼。 不然，郑国将败。”	Bảo Tử Sản rằng: “Người cầm quyền nước Trịnh xa hoa, họa nạn sắp đến đấy, chính sự nhất định về tay ngài. Ngài nắm quyền chính, phải thận trọng tuân theo lễ pháp. Bằng không nước Trịnh sẽ suy vong.”
自卫如晋，将舍於宿， 闻锺声， 曰：“异哉！吾闻之，辩而不德，必加於戮。 夫子获罪 於君以在此， 惧犹不足，而又可以畔乎？ 夫子之在此，犹燕 之巢于幕也。君在殡而可以乐乎？”	[Quý Trát] từ nước Vệ sang nước Tấn, định vào ở trọ trong ấp Thích, chợt nghe thấy tiếng chuông, bèn nói: “Quái lạ! Ta từng nghe, khéo biện bác mà không có đức hạnh, nhất định phải chịu hình phạt. Phu tử (Tôn Văn tử) đắc tội với quốc quân vậy mà vẫn còn ở đây, sợ hãi chưa xiết, mà còn có thể làm nhạc được sao? Phu tử ở ấp Thích khác nào tổ én trên mành vậy. Quốc quân (Vệ Hiến công) còn quàn ở đó, mà có thể làm nhạc được chăng?”
適晋，说赵文子、韩宣子、 魏献子曰：“晋国其萃於三家乎！”	[Quý Trát] đến nước Tấn, nói với Triệu Văn tử, Hàn Tuyên tử, Nguỵ Hiến tử rằng: “Vận mệnh nước Tấn sẽ tập trung trong tay ba nhà đấy!”
徐君好季札剑，口弗敢言。	Từ quân thích kiếm của Quý Trát, nhưng chưa dám mở lời.
从者曰：“徐君已死，尚谁予乎？”	Tùy tòng hỏi: “Từ quân đã chết, ngài còn để lại tặng ai?”
季子曰：“不 然。始吾心已许之，岂以死倍吾心哉！”	Quý tử đáp: “Không phải thế. Trước đây, ta đã thầm hứa sẽ tặng kiếm, há vì ông ấy đã mất mà làm trái lòng mình sao?”
季札让，逃去。	Quý Trát từ chối, rồi bỏ trốn.
告专诸 曰：“不索何获！我真王嗣，当 立，吾欲求之。季子虽至，不吾废也。”	Rồi nói với Chuyên Chư rằng: “Không tìm làm sao có được! Ta mới thực là người thừa kế vương vị, đáng lý phải được lên ngôi, ta muốn đạt được điều đó. Quý tử dẫu có trở về cũng không phế ta đâu.”
季子至，曰：“苟先君无废祀，民人无废主，社稷有奉，乃吾君 也。吾敢谁怨乎？哀死事生，以待天命。 非我生乱，立者从之，先人之道也。”	Quý tử về đến, nói rằng: “Nếu việc tế tự tiên quân không bị bỏ phế, ngôi chúa của dân chúng không bị bỏ trống, [thì ai] thờ phụng đàn xã đàn tắc, người đó chính là quốc quân của ta vậy. Ta dám oán ai đây? Xót người đã mất, thờ người còn sống, đặng đợi mệnh trời. Ta không dấy loạn, ai lên ngôi thì theo, đó là đạo lý của các bậc tiền nhân vậy.”
复 命，哭僚墓， 复位而待。	Liền hồi báo việc đi sứ, khóc trước mộ Liêu, trở về giữ chức đợi lệnh [Quang].
光谋欲入郢，将军孙武曰：“民劳，未可，待之。”	Quang mưu đánh vào đất Dĩnh, Tướng quân Tôn Vũ nói: “Dân còn vất vả, chưa thể đánh được, hãy đợi thêm đã.”
楚告 急秦，秦遣兵救楚击吴，吴师败。	Nước Sở cấp báo với nước Tần, Tần sai quân cứu Sở, đánh Ngô, quân Ngô thua.
吴师观之，越因伐吴，败之姑苏， 伤吴王阖 庐指，军卻七里。	Quân Ngô đang mải trông, quân Việt thừa cơ tấn công quân Ngô, đánh bại quân Ngô ở đất Cô Tô, làm Ngô vương Hạp Lư bị thương ở ngón tay, quân phải lùi bảy dặm.
对曰： “不敢！”	Đáp rằng: “Không dám!”
太宰嚭曰：“可胜而不能居 也。”	Thái tể Phỉ nói rằng: “Có thể thắng được nhưng không thể ở lại.”
太史公曰：孔子言“太伯可谓至德矣，三以天下让，民无得而称 焉”。	Thái sử công bàn rằng: Khổng tử nói: “Thái bá khá gọi là bậc chí đức vậy, ba lần nhường thiên hạ, mà dân không biết để xưng tụng.”
延陵季子之仁心，慕义无穷， 见微而知清浊。	Lòng nhân của Diên Lăng Quý tử, mến mộ đạo nghĩa vô cùng, xem điều nhỏ nhặt mà biết chuyện đục trong.
歌 邶、鄘、卫。 曰：“美哉，渊乎， 忧而不困者也。 吾闻卫康叔、武公之德如是，是其卫风乎？”	Hát “Bội phong”, “Dung phong”, “Vệ phong”, [nghe xong, Quý Trát] nói: “Đẹp đẽ thay, sâu xa thay, lo âu mà không khốn quẫn. Ta nghe đức hạnh của Vệ Khang thúc, Vũ công cũng giống như thế, đây là Vệ Phong ư?”
歌齐。 曰：“美哉，泱泱乎大风也哉。 表东海 者，其太公乎？国未可量也。”	Hát “Tề phong”, [nghe xong, Quý Trát] nói: “Đẹp đẽ thay, sâu thẳm mênh mông thay, thực là khuôn phép của nước lớn. Người là mẫu mực của miền Đông Hải, chính là Thái công đó chăng? Vận nước chưa thể lường hết được.”
歌魏。 曰：“美哉，沨沨 乎，大而■， 俭而易，行以德辅，此则盟主也。”	Hát “Ngụy phong”, [nghe xong, Quý Trát] nói: “Đẹp đẽ thay, uyển chuyển thay, rộng rãi mà biết ước thúc, khiêm hòa mà vẫn giản đơn, nhờ đức hạnh bổ trợ để thi hành, đó hẳn là bậc minh chủ vậy.”
歌大雅。 曰：“广 哉，熙熙乎，曲而有直体， 其文王之德乎？”	Hát “Đại nhã”, [nghe xong, Quý Trát] nói: “Rộng lớn thay, nhuần nhị thay, ngữ khí uyển chuyển mà vẫn cương chính, là đức của Văn lương chăng?”
见舞象箾、南籥者， 曰：“美哉，犹有 感。”	Xem múa “Tượng sóc”, “Nam thược”, [Quý Trát] nói: “Đẹp đẽ thay, nhưng vẫn chứa niềm hoài hận.”
见舞大武， 曰：“美哉，周之盛也其若此乎？”	Xem múa “Đại vũ”, [Quý Trát] nói: “Đẹp đẽ thay, sự hưng thịnh của nhà Chu đại để giống thế chăng?”
见子产，如旧交。	[Quý Trát] gặp Tử Sản, như gặp lại bạn cũ.
说蘧瑗、史狗、史 䲡、公子荆、公叔发、公子朝曰：“卫多君子，未有患也。”	[Quý Trát] bảo Cừ Viện, Sử Cẩu, Sử Thu, công tử Kinh, Công Thúc Phát, công tử Triều rằng: “Nước Vệ nhiều quân tử, chưa có gì đáng lo.”
九年，吴王阖庐请伍子胥、孙武曰：“始子之言郢未可入，今果 如何？”	Năm thứ chín, Ngô vương Hạp Lư thỉnh triệu Ngũ Tử Tư và Tôn Vũ đến hỏi rằng: “Trước đây, các ông bảo chưa thể tiến đánh vào đất Dĩnh, nay thì thế nào?”
阖庐使立太子夫差，谓曰：“尔而忘句践杀汝父乎？”	Hạp Lư truyền lập Thái tử Phù Sai, bảo rằng: “Mày có dám quên việc Câu Tiễn giết cha mày không?”
至缯，召鲁哀公而徵百 牢。	[Ngô vương] đến đất Tăng, triệu Lỗ Ai công đến đòi cung ứng cỗ Bách lao.
说晏平仲曰：“子速纳邑与政。 无邑无政，乃免於难。齐国之政 将有所归；未得所归，难未息也。”	[Quý Trát] nói với Yến Bình Trọng rằng: “Ngài mau giao nộp ấp phong và quyền chức. Không ấp không quyền, mới mong thoát nạn. Quyền chính nước Tề sắp quy về một mối; chưa về một mối, họa nạn chưa dứt vậy.”
光惧，袭楚，复得王舟而还。	Quang sợ, đánh úp nước Sở, đoạt lại được chiến thuyền của tiên vương rồi về.
於是伍员知光有他志， 乃求勇士专诸， 见之光。	Vì vậy, Ngũ Viên biết Quang có chí khác (muốn tiếm ngôi), bèn tìm dũng sĩ là Chuyên Chư, ra mắt Quang.
子胥谏曰：“越王句践食不重味，衣不重采，吊死问疾，且欲有 所用其众。此人不死，必为吴患。今越在腹心疾而王不先，而务齐， 不亦谬乎！”	Tử Tư can rằng: “Việt vương Câu Tiễn ăn không hai vị, mặc không hai màu, điếu viếng người chết, thăm nom kẻ ốm, ý muốn huy động dân chúng. Người này không chết, tất trở thành mối lo của nước Ngô. Nay nước Việt là bệnh trong phủ tạng mà nhà vua không lo trước, lại lo chuyện nước Tề, chẳng cũng sai lầm hay sao?”
谏曰：“越在腹 心，今得志於齐，犹石田，无所用。且 盘庚之诰有颠越勿遗， 商之以兴。”	Can rằng: “Nước Việt [là mối lo] trong tim trong bụng, nay ta được đắc chí ở đất Tề, cũng giống như mảnh ruộng đá sỏi vậy, không dùng được vào việc gì. Hơn nữa, thiên “Bàn Canh chi cáo” có câu “Kẻ ngông cuồng vượt lễ thì chớ lưu lại, nhà Thương nhờ thế mới hưng thịnh.”
呜呼，又何其闳览博物君子也！	Ôi, sao mà bậc quân tử ấy lại hiểu biết sự vật rộng lớn đến thế!
光喜， 乃客伍子胥。	Quang mừng rỡ, bèn đối đãi với Ngũ Tử Tư như khách.
四月丙子， 光伏甲士於窟室， 而谒王僚饮。	Ngày Bính Tý tháng Tư, Quang giấu giáp sĩ ở dưới hầm, rồi mời Ngô vương Liêu đến dự yến tiệc.
手匕首刺王僚，铍交於匈， 遂弑王僚。	[Sau đó Chuyên Chư] tay nắm chủy thủ đâm Ngô vương Liêu, [tuy Chuyên Chư cũng bị] đâm vào bụng, nhưng vẫn giết được Ngô vương Liêu.
楚亦发兵拒吴，夹水陈。	Nước Sở cũng phát quân chống cự quân Ngô, bày trận hai bên bờ sông.
越使死士挑战， 三行造吴师，呼，自刭。	Nước Việt sai dũng sĩ cảm tử khiêu chiến, dàn thành ba hàng đến trước quân Ngô, hét lên rồi tự cắt cổ.
公子光详为 足疾，入于窟室， 使专诸置匕首 於炙鱼之中以进食。	Công tử Quang vờ đau chân, đi xuống dưới hầm, rồi sai Chuyên Chư giấu chảy thủ vào bụng cá nướng rồi dâng món ăn.
夫(cid:0)曰：“王 已属臣兵，兵以利为上，尚何待焉？”	Phù Khái nói: “Đại vương đã giao quân cho thần, việc quân lấy lại làm đầu, còn đợi gì nữa?”
子胥、 伯嚭鞭平王之尸以报父雠。	Tử Tư, Bá Phỉ dùng roi đánh vào thây của Bình vương để báo thù cho cha.
习战射，常以报 越为志。	Tập trận bắn cung, luôn nuôi chí báo thù nước Việt.
吴王阖庐弟夫(cid:0)欲战，阖庐弗许。	Em trai của Ngô vương Hạp Lư là Phù Khái muốn đánh, Hạp Lư không cho.
阖庐弟夫(cid:0)见秦越交败吴，吴王留 楚不去，夫(cid:0)亡归吴而自立为吴王。	Em trai Hạp Lư là Phù Khái thấy quân Tần, quân Việt thay nhau đánh bại quân Ngô, Ngô vương còn lưu lại Sở không về, Phù Khái trốn về Ngô rồi tự lập làm Ngô vương.
楚昭王乃得以九月复入郢，而封夫(cid:0)於堂谿，为堂谿 氏。	Sở Chiêu vương đến tháng Chín mới về lại được Dĩnh đô, đoạn phong Phù Khái đất Đường Khê, đó là Đường Khê thị.
乙酉， 越五千人与吴战。	Ngày Ất Dậu, năm nghìn quân Việt đánh với quân Ngô.
