吕太后者， 高祖微时妃也， 生孝惠帝、女鲁元太 后。	Lã thái hậu là vợ của Cao tổ khi còn hàn vi, sinh ra Hiếu Huệ đế, con gái là Lỗ Nguyên thái hậu.
赵王禄、梁王产各将兵居南北军，皆吕氏之人。	Triệu vương Lộc, Lương vương Sản mỗi người cầm quân đóng ở hai cảnh nam bắc, đều là người họ Lã.
曲周侯郦商老病，其子寄与吕禄 善。	Khúc Chu hầu Lịch Thương già ốm, con là Ký có quan hệ tốt với Lã Lộc.
绛侯乃与丞相陈平谋，使人劫郦商。 令其子寄往绐说吕禄 曰：“高帝与吕后共定天下，刘氏所立九王， 吕氏所立三王， 皆大臣之议，事已布告诸侯，诸侯皆以 为宜。今太后崩，帝少，而足下佩赵王印，不急之国守籓，乃为上 将，将兵留此，为大臣诸侯所疑。足下何不归印，以兵属太尉？请梁 王归相国印，与大臣盟而之国，齐兵必罢，大臣得安，足下高枕而王 千里，此万世之利也。”	Giáng hầu bèn cùng thừa tướng Trần Bình bàn mưu, sai người ép Lịch Thương bắt con là Ký tới lừa Lã Lộc nói rằng: “Cao đế và Lã hậu cùng bình định thiên hạ, chín vương họ Lưu được lập, ba vương họ Lã được lập, đều qua đại thần bàn bạc, việc xong xuôi bả cáo chư hầu, chư hầu đều cho là thích hợp. Nay thái hậu băng, vua còn nhỏ, túc hạ đeo ấn Triệu vương, không gấp về nước giữ đất phong, lại làm thượng tướng, cầm quân ở đây, khiến đại thần và chư hầu nghi ngờ. Túc hạ sao không giao ấn tướng, đem quân giao cho Thái úy, xin Lương vương trả ấn tướng quốc, cùng đại thần giao hẹn về nước, quân Tề ắt rút, đại thần được yên, túc hạ kê cao gối mà cai trị ngàn dặm, ấy là cái lợi muôn đời vậy.”
吕禄信然其计，欲归将印，以兵属太尉。	Lã Lộc tin theo kế ấy, muốn trả ấn tưởng, đem quân giao cho Thái úy.
使 人报吕产及诸吕老人，或以为便，或曰不便，计犹豫未有所决。	Sai người báo với Lã Sản và người già họ Lã, có người cho là lợi, có người cho là không lợi, bàn bạc chần chừ chưa quyết.
过其姑吕嬃，嬃大怒，曰：“若为将而弃军， 吕氏今无处矣。”	Một hôm ghé qua nhà cô là Lã Tu, Tu cả giận, nói: “Mày làm tướng mà bỏ quân, họ Lã từ rày không có chỗ nào dung nữa rồi.”
乃悉出珠玉宝 器散堂下，曰：“毋为他人守也” 左丞相食其免。	Đoạn đem tất cả ngọc ngà châu báu rải xuống sân, nói: “Chớ giữ cho kẻ khác.” Tả thừa tướng Tự Cơ miễn chức.
八月庚申旦，平阳侯窋行御史大夫事，见相国产计事。	Tháng Tám, ngày Canh Thân, sáng sớm, Bình Dương hầu Truất làm thay việc của Ngự sử đại phu, gặp tướng quốc Sản bàn việc.
郎中令贾 寿使从齐来，因数产曰：“王不蚤之国，今虽欲行，尚可得邪？”	Sứ giả của Lang trung lệnh Giả Thọ từ Tề trở về, nhân đó trách Sản nói: “Vương không sớm tới nước phong, nay dù muốn đi, liệu còn được không?”
具 以灌婴与齐楚合从，欲诛诸吕告产，乃趣产急入宫。	Bèn đem hết việc Quán Anh cùng Tề, Sở liên hợp, muốn giết họ Lã nói với Sản, rồi giục Sản gấp vào cung.
平阳侯颇闻其 语，乃驰告丞相、太尉。	Bình Dương hầu nghe được lời này, bèn ruổi ngựa tới báo thừa tướng, thái úy.
太尉欲入北军，不得入。	Thái úy muốn vào quân doanh phía bắc, nhưng không được.
吕禄以为郦兄 不欺己，遂解印属典客，而以兵授太尉。	Lã Lộc cho rằng Lịch Ký không lừa mình, bèn cởi ấn đưa cho viên điển khách, đem binh quyền trao cho thái úy.
太 尉将之入军门，行令军中曰：“为吕氏右襢，为刘氏左襢。”	Thái úy cầm ấn tướng vào cửa quân, lệnh cho ba quân rằng: “Ai theo họ Lã thì để lộ vai phải, theo họ Lưu để lộ vai trái?”
军中皆 左衤亶为刘氏。	Toàn quân đều để lộ vai trái theo họ Lưu.
平阳侯闻之，以吕产谋告丞相平，丞相平乃召硃虚 侯佐太尉。	Bình Dương hầu nghe tin, liền đem âm mưu của Lã Sản báo với thừa tướng Bình, thừa tường Bình bèn cho vời Chu Hư hầu tới giúp thái úy.
令平阳侯告卫尉：“毋入相国产殿 门。”	Sai Bình Dương hầu nói với vệ úy: “Chớ cho tướng quốc Sản vào cửa điện!”
太尉尚恐不胜诸吕，未敢讼言 诛之， 乃遣硃虚侯谓曰：“急入宫卫帝。”	Thái úy cũng lo không thắng nổi họ Lã, nên chưa dám nói trắng việc giết họ, bèn sai Chu Hư hầu tới bảo rằng: “Mau vào cung bảo vệ hoàng đế.”
日餔时，遂击产。	Khi trời sẩm tối liền đánh Sản.
产 走，天风大起，以故其从官乱，莫敢斗。	Sản bỏ chạy. Trời nổi gió to, bởi vậy đám tùy tòng của Sản hỗn loạn, không ai dám đấu.
太尉起，拜贺硃虚侯曰：“所患独吕产，今已诛，天 下定矣。”	Thái úy đứng dậy, lạy mừng Chu Hư hầu nói: “Chỉ lo Lữ Sản mà thôi, nay đã giết hắn, thiên hạ yên định rồi!”
遂遣人分部悉捕诸吕男女，无少长皆斩之。	Đoạn sai người chia ra lùng bắt tất cả trai gái họ Lã, bất luận già trẻ đều chém.
使人诛燕王吕通，而废鲁王偃。	Sai người giết Yên vương Lã Thông, phế Lỗ vương Yển.
壬戌，以帝太傅食 其复为左丞相。	Ngày Nhâm Tuất, cho thái phó của vua là Tự Cơ phục lại chức Tả thừa tướng.
戊辰，徙济川王王梁，立赵幽王子遂为赵王。	Ngày Mậu Thìn, dời Tế Xuyên vương tới cai trị đất Lương, lập con của Triệu U vương là Toại làm Triệu vương.
遣硃虚 侯章以诛诸吕氏事告齐王，令罢兵。	Phái Chu Hư hầu Lưu Chương đem việc giết họ Lã báo với Tề vương, ra lệnh rút quân.
诸大臣相与阴谋曰：“少帝及梁、淮阳、常山王，皆非真孝惠子 也。吕后以计诈名他人子，杀其母，养後宫，令孝惠子之，立以为 後，及诸王，以彊吕氏。今皆已夷灭诸吕，而置所立，即长用事，吾 属无类矣。不如视诸王最贤者立之。”	Các đại thần cùng ngầm bàn nhau: “Thiếu đế cùng Lương vương, Hoài Dương Vương, Thường Sơn vương đều không phải con ruột của Hiếu Huệ. Là hậu dùng kế, lấy con kẻ khác mạo danh, rồi giết mẹ chúng, đem nuôi ở hậu cung, bắt Hiếu Huệ nhận làm con, lập lên nối dõi, phong vương, để họ Lã thêm mạnh. Nay đều đã giết sạch họ Lã mà để họ ở yên, sau lớn lên cầm quyền, bọn ta ắt không sống sót. Chẳng bằng xem trong các vương, thấy ai giỏi nhất thì lập!”
或言“齐悼惠王高帝长子，今 其適子为齐王，推本言之，高帝適长孙，可立也”。	Có người nói: “Tề Điệu Huệ vương là con trưởng của Cao đến nay con dòng đích của ông ta là Tề vương, xét gốc gác mà nói là cháu đích tôn của Cao đế, có thể lập.”
大臣皆曰：“吕 氏以外家恶而几危宗庙，乱功臣今齐王母家驷，驷钧，恶人也。即立 齐王，则复为吕氏。”	Đại thần đều nói: “Họ Lã là ngoại thích, song độc ác, suýt nguy đến tông miếu, loạn tới công thần. Nay nhà mẹ của Tề vương họ Tứ. Tứ Quân là người ác. Nếu lập Tề vương sẽ lại giống họ Lã.”
欲立淮南王，以为少，母家又恶。	Lại muốn lập Hoài Nam vương, song nghĩ còn nhỏ, nhà mẹ đẻ cũng ác.
乃曰：“代 王方今高帝见子，最长，仁孝宽厚。太后家薄氏谨良。且立长故顺， 以仁孝闻於天下，便。”	Đoạn bàn rằng: “Đại vương nay là người con lớn nhất của Cao để hiện còn. Ngài nhân hậu, hiếu thảo, khoan dung. Nhà thái hậu họ Bạc cẩn mực, lương thiện. Vả lại lập con lớn là đúng, lòng nhân hiếu của ngài lại nổi tiếng thiên hạ, rất hợp.”
乃相与共阴使人召代王。	Thế rồi cùng ngầm sai người tới đón Đại vương.
代王使人辞谢。	Đại vương sai người tạ từ.
後九月 晦日己酉，至长 安，舍代邸。	Ngày Kỷ Tỵ là ngày cuối tháng Chín nhuận, tới Trường An, ngụ ở cung riêng của Đại vương.
大臣皆往谒，奉天子玺上代王，共尊立为天子。	Đại thần đều tới yết kiến, dâng ngọc tỷ thiên tử lên cho Đại vương, cùng suy tôn làm thiên tử.
代王数 让，群臣固请，然後听。	Đại vương mấy lần từ chối, quần thần cố nài, sau mới nghe.
东牟侯兴居曰：“诛吕氏吾无功，请得除宫。”	Đông Mâu hầu Hưng Cư nói: “Việc giết họ Lã, tôi không có công, xin được dọn cung!”
乃与太仆汝阴侯 滕公入宫，前谓少帝曰：“足下非刘氏，不当立。”	Đoạn cùng thái bộc Nhữ Âm hầu Đằng công vào cung, tới trước Thiếu đế nói: “Ngài không phải họ Lưu, không xứng ở ngôi!”
少帝曰：“欲将我安之乎？”	Thiếu để nói: “Định đem ta đi đâu?”
乃奉天子法驾， 迎代王於邸。	Rồi dùng xa giá của thiên tử tới đón Đại vương ở cung riêng.
报曰：“宫谨除。”	Báo rằng: “Cung đã dọn xong.”
有谒者十人持戟卫端门，曰：“天子在也，足下何为者而 入？”	Có mười tên yết giả cầm kích giữ cổng Đoan môn, nói: “Thiên tử ở đây, túc hạ là ai mà vào.”
代王乃谓太尉。	Đại vương bèn bảo thái úy.
太尉往谕，谒者十人皆掊兵而去。	Thái úy tới nói, mười tên yết giả đều buông binh khí rời đi.
代王遂入而 听政。	Đại vương bèn vào cung, chấp chính.
夜，有司分部诛灭梁、淮阳、常山王及少帝於邸。	Đương đêm, các quan hữu ty chia nhau tiêu diệt Lương Vương, Hoài Dương Vương, Thường Sơn vương và Thiếu đế ở các cung riêng.
代王立为天子。	Đại vương được lập làm thiên tử.
二十三年崩，谥为孝文皇帝。	Năm thứ hai mươi ba thì băng, thụy hiệu là Hiếu Văn hoàng đế.
太史公曰：孝惠皇帝、高后之时，黎民得离战国之苦，君臣俱欲 休息乎无为，故惠帝垂拱，高后女主称制，政不出房户，天下晏然。 刑罚罕用，罪人是希。 民务稼穑，衣食滋殖。 高祖犹微，吕氏作妃。	Thái sử công bàn rằng: Thời Hiếu Huệ hoàng đế và Cao hậu, dân chúng thoát được nỗi khổ chiến tranh, vua tôi đều muốn nghỉ ngơi trong sự “vô vi, cho nên Huệ đế chắp tay rủ áo. Cao hậu là nữ chúa, nắm quyền xưng chế, song việc chính sự không ra khỏi cửa, thiên hạ vẫn bình yên. Hình phạt ít dùng, tội nhân thưa ít. Dân chăm cày cấy, cơm áo dồi dào. Tức Triệu Ấn Vương Như Ý, Triệu U vương Hữu, Triệu vướng Khôi.
太后遂 断戚夫人手足，去眼，煇耳，饮瘖药，使居厕中，命曰“人彘”。	Thái hậu bèn cho chặt chân tay của Thích phu nhân, móc mắt, hun tai, bắt uống thuốc câm, cho ở trong nhà xí, gọi là “lợn người”.
丞相曰：“何 解？”	Thừa tướng nói: “Duyên do thế nào?”
吕氏权由此起。	Quyền lực của họ Lã nổi lên từ đây.
九月辛丑，葬。	Ngày Tân Sửu, tháng Chín, an táng vua.
王陵遂病免归。	Vương Lăng liền cáo bệnh xin về.
群臣皆顿首言：“皇太后为天下齐民计所以安宗庙社稷甚 深，群臣顿首奉诏。”	Quần thần đều dập đầu nói: “Hoàng thái hậu lo tính cho thiên hạ muôn dân, để ổn định tông miếu xã tắc thật sâu sắc. Chúng thần xin dập đầu vững chiếu?”
己丑，日食，昼晦。	Ngày Kỷ Sửu, nhật thực, ban ngày tối om.
王悲，六月即自杀。	Vương đau buồn, tháng Sáu thì tự sát.
高后遂病掖伤。	Cao hậu liền đổ bệnh, đau ở nách.
语在齐王语中。	Chuyện này chép trong Tề vương (thế gia). tướng quốc không nghe.
吕禄、吕产欲发乱关中，内惮绛侯、硃虚等，外畏齐、楚兵，又 恐灌婴畔之，欲待灌婴兵与齐合而发，犹豫未决。	Lã Lộc, Lã Sản muốn dấy loạn ở Quan Trung, nhưng bên trong lo bọn Giáng hầu, Chu Hư, bên ngoài sợ quân Tề, Sở, lại e Quán Anh làm phản, muốn đợi quân Quán Anh và quân Tề đánh nhau rồi phát động, nên do dự chưa quyết.
太尉绛侯勃不得入军中主兵。	Thái úy Giáng hầu Chu Bột không được vào quân doanh làm chủ binh quyền.
吕禄 信郦寄，时与出游猎。	Lã Lộc tin Lịch Ký, thường cùng ra ngoài săn bắn.
襄平侯通尚符节。 乃令持节 矫内太尉北军。	Tương Bình hầu Thông giữ phù tiết, bèn sai ông ta mang phù tiết giả mệnh vua đưa thái úy vào quân doanh phía bắc.
太尉复令郦寄与典客刘揭 先说吕禄曰：“帝使太尉守北军，欲足 下之国，急归将印辞去，不然，祸且起。”	Thái úy lại sai phái Lịch Kỳ cùng điển khách Lưu Yết, trước từng thuyết phục Lã Lộc, bảo rằng: “Hoàng đế sai thái úy giữ đạo quân phía bắc, muốn túc hạ về nước phong, gấp trả ấn tướng rồi rời khỏi đây, bằng không tai họa sẽ ập tới.”
太尉行至，将军吕禄亦已解上将印去，太尉遂将北 军。	Thái úy tới nơi, tướng quân Lã Lộc cũng đã cởi ấn thượng tướng bỏ đi. Thái úy bèn thống lĩnh đạo quân phía bắc.
然尚有南军。	Song vẫn còn đạo quân phía nam.
太尉令硃虚侯监军门。	Thái úy lệnh cho Chu Hư hầu trông cửa quân.
吕产不知吕禄已去北军，乃入未央宫，欲为乱，殿门弗得入， 裴回往来。	Lã Sản không biết Lã Lộc đã bỏ đạo quân phía bắc, bèn vào cung Vị Ương, muốn làm loạn, song không vào được cửa điện, cứ đi đi lại lại.
硃虚侯请卒， 太尉予卒千馀人。	Chu Hư hầu xin quân, thái úy cho hơn nghìn lính.
入未央宫门，遂见产廷中。	Vào cửa cung Vị Ương thì thấy Sản ở bên trong.
逐产，杀之郎中府吏厕中。	Chu Hư hầu đuổi theo Sản, giết hắn ở trong nhà xí của những viên lại trong phủ Lang trung.
硃虚侯已杀产，帝命谒者持节劳硃虚侯。	Chu Hư hầu giết Sản xong, vua sai yết giả cầm phù tiết tới khen Chu Hư hầu.
还，驰入 北军，报太尉。	Trở ra, liền ruổi ngựa vào quân doanh phía bắc, báo thái úy.
辛酉，捕斩吕 禄，而笞杀吕嬃。	Ngày Tân Dậu bắt chém Lã Lộc, dùng roi đánh chết Lã Tu.
灌婴兵亦罢荥阳而归。	Quân của Quản Anh cũng rút khỏi Huỳnh Dương trở về.
有数人不肯去兵，宦者令张泽 谕告，亦去兵。	Có vài người không chịu buông, tổng thái giám Trương Trạch nói rõ, họ mới buông vũ khí.
滕公乃召乘舆车载少帝出。	Đằng công bèn gọi xe chở Thiếu đế ra.
滕公 曰“出就舍。”	Đằng công nói: “Ra ngoài ở.”
代王即夕入未 央宫。	Đại vương đương đêm vào cung Vị Ương.
其群臣或窃馈，辄捕论之，赵王饿，乃歌 曰：“诸吕用事兮刘氏危，迫胁王侯兮彊授我妃。我妃既妒兮诬我以 恶，谗女乱国兮上曾不寤。我无忠臣兮何故弃国？自决中野兮苍天举 直！于嗟不可悔兮宁蚤自财。为王 而饿死兮谁者怜之！吕氏绝理兮讬天报仇。”	Quần thần có người trộm cho ăn, liền bắt hỏi tội. Triệu vương đói, bèn hát rằng: “Họ Lã chuyên quyền chừ họ Lưu nguy. Bức hiếp vương hầu chừ ép ta lấy phi. Phi ta đã ghen chừ còn vu tội dữ. Gièm pha loạn nước chừ trên không xét rõ. Chẳng có trung thần chừ sao ta mất nước? Kết liễu giữa đồng chí trời xanh chính trực! Than ôi hối chẳng kịp chừ thà sớm tự sát! Làm vua mà chết đói chứ ai người thương xót! Họ Lã ngang ngược chủ nhờ trời báo thù.”
再 反，然後乘六乘传。	Sứ giả đi lại hai lần, rồi ngài mới ngồi xe sáu cỗ lên đường.
硃虚侯欲夺节信，谒者 不肯，硃虚侯则从与载，因节信驰走，斩长乐卫尉吕更始。	Chu Hư hầu muốn đoạt phù tiết, yết giả không chịu, Chu Hư hầu bèn theo ngồi cùng xe, nhân có phù tiết mà phi ngựa chạy, chém viên vệ úy cung Trường Lạc là Lã Canh Thủy.
乃顾麾左右执戟 者掊兵罢去。	Bèn quay lại ra hiệu cho vệ sĩ cầm kích ở hai bên buông vũ khí rời đi.
