微子开者， 殷帝 乙之首子而帝纣之庶兄也。	Vị tử Khai là con đầu của đế Ất nhà Ân và là anh thứ của vua Trụ.
武王封纣子武庚禄父以续殷祀，使管叔、蔡叔傅相之。	Vũ vương phong cho con của vua Trụ là Vũ Canh Lộc Phủ để nối việc thờ tự nhà Ân, sai Quản thúc, Sái thúc phò tá [Vũ Canh].
其诗曰：“麦秀渐渐兮，禾黍油油。 彼狡僮兮，不与我好兮！”	Lời thơ viết: “Bông mạch nhọn nhọn chừ, lúa mùa xanh mướt. Trẻ giảo hoạt kia chừ, không tốt với ta chừ!”
戴公二十九年，周幽王为犬戎所杀，秦始列为诸侯。	Đái công năm thứ hai mươi chín, Chu U vương bị Khuyển Nhung giết, nước Tần bắt đầu được liệt vào hàng chư hầu.
和亦三让而受之。	Hòa cũng ba lần thoái thác rồi mới nhận.
穆公九年，病，召大司马孔父谓曰：“先君宣公舍太子与夷而立 我，我不敢忘。我死，必立与夷也。”	Mục công năm thứ chín, bị ốm, triệu Đại tư mã Khổng Phủ đến bảo rằng: “Tiên quân Tuyên công bỏ Thái tử Dữ Di mà lập ta lên ngôi, ta không dám quên. Ta chết đi, nhất định phải lập Dữ Di.”
宋许之，与伐郑，至东门而 还。	Nước Tống đồng ý, cùng [nước Vệ] thảo phạt nước Trịnh, kéo đến cửa đông rồi rút.
二年，郑伐宋，以报东门之役。	Năm thứ hai, nước Trịnh thảo phạt nước Tống, để báo thù việc nước Tống tiến quân đến cửa đông.
督利 孔父妻，乃使人宣言国中曰：“殇公即位十年耳，而十一战， 民苦不堪，皆孔父为之，我且杀孔父以宁民。”	Đốc muốn chiếm đoạt vợ của Khổng Phủ, bèn sai người rêu rao trong nước rằng: “Thương công lên ngôi mười năm, mà đánh nhau mười một lần, dân khổ không chịu thấu, đều do Khổng Phủ gây nên, ta sẽ giết Khổng Phủ để dân được yên.”
是岁，鲁弑其君 隐公。	Năm đó, người Lỗ giết vua nước mình là Ẩn công.
九年，执郑之祭仲，要以立突为郑君。	Năm thứ chín, bắt Sái Trọng nước Trịnh, yêu cầu lập Đột làm Trịnh quân.
此言乃公子子鱼教湣公也。	Những lời đó là do công tử Tử Ngư dạy Mẫn công vậy.
十一年秋，湣公与南宫万猎，因 博争行，湣公怒，辱之，曰：“始吾敬若；今若，鲁虏也。”	Mùa thu năm thứ mười một, Mẫn công cùng Nam Cung Vạn đi săn, nhân đó hai người đánh cờ, [Vạn] tranh nước đi, Mẫn công giận, sỉ nhục Nam Cung Vạn, rằng: “Ban đầu ta kính trọng ngươi; nay ngươi chỉ là tên tù binh của nước Lỗ thôi.”
万有 力，病此言，遂以局杀湣公于蒙泽。	Vạn vốn là người có dũng lực, căm hận những lời đó, bèn dùng bàn cờ giết chết Mẫn công ở Mông Trạch.
因杀太宰华督，乃更 立公子游为君。	[Nam Cung Vạn] nhân đó giết Thái tổ Hoa Đốc, rồi đổi lập công tử Du làm vua.
诸公子饹萧，公子御说饹亳。	Các công tử khác chạy sang ấp Tiêu, công tử Ngự Duyệt chạy sang ấp Hào.
宋人请以赂陈。	Người Tống xin đem của cải hối lộ nước Trần.
陈人使妇人饮之醇酒， 以 革裹之，归宋。	Người Trần liền sai phụ nữ dụ dỗ rồi chuốc rượu ngon cho Vạn, [sau khi Vạn đã say, họ liền] lấy bao da gói lại, trả về cho nước Tống.
公曰：“君子不困人於(cid:0) 戹，不鼓不成列。”	Tương công nói: “Người quân tử không thừa cơ lúc người nguy nan, không thúc trống đánh khi địch chưa bày trận xong.”
三年，倍楚盟亲晋，以有德於文公也。 四 年，楚成王伐宋，宋告急於晋。	Thành công năm thứ nhất, Tấn Văn Công lên ngôi. Năm thứ ba, [nước Tống] phản bội minh ước với nước Sở, kết thân với nước Tấn, vì từng có ân đức với Tấn Văn công. Năm thứ tư, Sở Thành vương thảo phạt nước Tống, Tống Thành công cấp báo với nước Tấn.
成公弟御杀太子及大 司马公孙固而自立为君。	Em trai của Thành công là Ngự giết Thái tử cùng Đại tư mã của nước Tống là cháu của Tống Trang công là Cố rồi tự lập làm vua.
宋 人共杀君御而立成公少子杵臼， 是为昭公。	Người Tống cùng giết vua nước mình là Ngự rồi lập con nhỏ của Thành công là Chủ Cữu lên ngôi, đó là Chiêu công.
七年，楚庄王即位。	Năm thứ bảy, Sở Trang vương lên ngôi.
九年，昭公无道，国人不附。	Năm thứ chín, Chiêu công vô đạo, người trong nước không theo.
华元之将 战，杀羊以食士，其御羊羹不及，故怨，驰入郑 军，故宋师败，得囚华元。	Khi Hoa Nguyên làm tướng đánh trận, giết dê cho quân sĩ ăn, tên đánh xe ngay đến canh thịt dê cũng không được ăn, nên oán [Hoa Nguyên], phóng xe vào trong quân Trịnh, cho nên quân Tống thua trận, [quân Trịnh] bắt được Hoa Nguyên rồi bỏ tù.
郑伯降楚，楚复释之。	Trịnh bá đầu hàng nước Sở, nước Sở lại giải vây.
十六年，楚使过宋，宋有前仇，执楚使。	Năm thứ mười sáu, nước Sở sai sứ sang nước Tống, trước đây nước Tống vốn có thù [với nước Sở], [nên mới] bắt giữ sứ giả nước Sở.
始厚葬。	Bắt đầu hậu táng cho người chết.
君子讥华元不臣矣。	Người quân tử chê Hoa Nguyên không xứng phận bề tôi.
二十五年，孔子过宋，宋司马 桓魋恶之，欲杀孔子，孔子微服去。	Năm thứ hai mươi lăm, Khổng tử sang nước Tống, Tư mã nước Tống là Hoàn Đồi ghét Khổng tử, muốn giết, Khổng tử cải trang mặc trang phục dân thường rồi ra đi.
景公杀昭公父纠， 故昭公怨杀太子而自立。	Cảnh công giết cha của Chiêu công là Củ, cho nên Chiêu công oán rồi giết Thái tử, tự lập làm vua.
襄公之时，修行仁义，欲为盟主。	Thời Tương công, tu chỉnh thực hành nhân nghĩa, muốn làm minh chủ.
宋公稽卒，子丁公申立。 丁公申卒，子 湣公共立。	Tống công Kê chết, con là Đinh công Thân lên thay. Đinh công Thân chết, con là Mẫn công Cung lên thay.
湣公共卒，弟炀公熙立。	Mẫn công Cung chết, em là Dương công Hy lên thay.
厉公卒，子釐公举立。	Lệ công chết, con là Hy công Cử lên thay.
釐公十七年，周厉王出奔彘。	Hy công năm thứ mười bảy, Chu Lệ vương chạy ra đất Trệ.
二十八年，釐公卒，子惠公琤立。	Năm thứ hai mươi tám, Hy công chết, con là Huệ công Kiến lên thay.
惠公四年，周宣王即位。	Huệ công năm thứ tư, Chu Tuyên vương lên ngôi.
三十年，惠公卒，子哀公立。	Năm thứ ba mươi, Huệ công chết, con là Ai công lên ngôi.
哀公元年 卒，子戴公立。	Ai công năm thứ nhất thì chết, con là Đái công lên thay.
三十四年，戴公卒，子武公司空立。	Năm thứ ba mươi tư, Đái công chết, con là Vũ công Tư Không lên ngôi.
武公生女为鲁惠公夫人，生鲁 桓公。	Con gái của Vũ công làm phu nhân của Lỗ Huệ công, sinh ra Lỗ Hoàn công.
十八年，武公卒，子宣公力立。	Năm thứ mười tám, Vũ công chết, con là Tuyên công Lực lên ngôi.
宣公卒，弟 和立，是为穆公。	Tuyên công chết, em là Hòa lên thay, đó là Mục công.
於是穆公使冯出居于 郑。	Thế rồi Mục công sai Phùng ra ở đất Trịnh.
八月庚辰，穆公卒，兄宣公子与夷立，是为殇公。	Ngày Canh Thìn, tháng Tám, Mục công chết, lập con của anh trai là Tuyên công tên là Dữ Di lên thay, đó là Thương công.
其後诸侯数来侵伐。	Sau đó, chư hầu nhiều lần đến xâm phạt nước Tống.
十年，华督攻杀孔父，取其妻。	Năm thứ mười, Hoa Đốc đánh giết Khổng Phủ, cướp lấy vợ của Khổng Phủ.
庄公元年，华督为相。	Trang công năm thứ nhất, Hoa Đốc làm Tướng quốc.
十九年，庄公卒，子湣公捷立。	Năm thứ mười chín, Trang công chết, con là Mẫn công Tiệp lên thay.
湣公七年，齐桓公即位。	Mẫn công năm thứ bảy, Tề Hoàn công lên ngôi.
九年，宋水，鲁使臧文仲往吊水。	Năm thứ chín, nước Tống bị lũ lụt, nước Lỗ sai Tang Văn Trọng sang hỏi thăm về thủy tai.
十年夏，宋伐鲁，战於乘丘， 鲁生虏宋南宫万。	Mùa hạ, năm thứ mười, nước Tống thảo phạt nước Lỗ, giao chiến ở Thừa Khâu, nước Lỗ bắt sống Nam Cung Vạn nước Tống.
宋人请万，万归宋。	Người Tống đề nghị [nước Lỗ] thả Vạn, Vạn được trở về nước Tống.
冬，萧及宋之诸公子共击杀南宫牛，弑宋新君游而立湣公弟御 说，是为桓公。	Mùa đông năm ấy, [đại phu của] ấp Tiêu và các công tử nước Tống cùng đánh giết Nam Cung Ngưu, giết vua mới của nước Tống là Du rồi lập em của Mẫn công là Ngự Duyệt lên ngôi, đó là Hoàn công.
桓公二年，诸侯伐宋，至郊而去。	Hoàn công năm thứ hai, chư hầu thảo phạt nước Tống, kéo đến bên ngoài thành rồi rút đi.
三年，齐桓公始霸。	Năm thứ ba, Tề Hoàn công bắt đầu xưng bá.
文公女弟为桓公夫人。	Em gái của Văn công là phu nhân của Hoàn công.
秦穆公 即位。	Tần Mục công lên ngôi.
三十年，桓公病，太子兹甫让其庶兄目夷为嗣。	Năm thứ ba mươi, Hoàn công ốm, Thái tử Tư Phủ nhường cho anh thứ là Mục Di làm người thừa tự.
三十一年春，桓公卒，太子兹甫立，是为襄公。	Mùa xuân năm thứ ba mươi mốt, Hoàn công chết, Thái tử Tư Phủ lên thay, đó là Tương công.
未葬，而齐桓公会诸侯于葵丘，襄公往会。	Chưa an táng [Tống Hoàn công], mà Tề Hoàn công lại hội họp chư hầu ở Quỳ Khâu, Tương công đến hội kiến.
八年，齐桓公卒，宋欲为盟会。	Năm thứ tám, Tề Hoàn công chết, nước Tống muốn chủ trì hội minh.
十二年春，宋襄公为鹿上之盟， 以求诸侯於楚， 楚人许之。	Mùa xuân năm thứ mười hai, Tống Tương công hội minh ở Lộc Thượng, nhằm đề nghị nước Sở thuyết phục chư hầu [ủng hộ mình], người Sở đồng ý.
秋，诸侯会 宋公盟于盂。	Mùa thu, chư hầu hội minh với Tống công ở đất Vu.
於是楚执宋襄公以伐宋。	Thế rồi nước Sở bắt Tống Tương công để thảo phạt nước Tống.
十三年夏，宋伐郑。	Mùa hạ năm thứ mười ba, nước Tống thảo phạt nước Trịnh.
宋师大败，襄公伤股。	Quân Tống đại bại, Tương công bị thương ở bắp đùi.
是年，晋公子重耳过宋，襄公以伤於楚，欲得晋援，厚礼重耳以马 二十乘。	Năm đó, công tử nước Tấn là Trùng Nhĩ qua nước Tống, Tương công bị quân Sở đánh bị thương, muốn được nước Tấn chi viện, mới dùng hậu lễ tiếp đãi Trùng Nhĩ, tặng tám mươi con ngựa.
十四年夏，襄公病伤於泓而竟卒， 成公元年，晋文公即位。	Mùa hạ năm thứ mười bốn, Tương công phát bệnh do vết thương trong trận chiến ở sông Hoằng, cuối cùng bị chết, con là Thành công Vương Thần lên thay.
五年，晋文公救宋，楚兵去。	Năm thứ năm, Tấn Văn công cứu nước Tống, quân Sở rút đi.
九年， 晋文公卒。	Năm thứ chín, Tấn Văn công chết.
十六年，秦穆公 卒。	Năm thứ mười sáu, Tần Mục công chết.
十七年，成公卒。	Năm thứ mười bảy, Thành công chết.
昭公弟鲍革 贤而下士。	Em của Chiêu công là Bão Cách, hiền năng lại khiêm hạ với kẻ sĩ.
文公元年，晋率诸侯伐宋，责以弑君。	Văn công năm thứ nhất, nước Tấn thống lãnh chư hầu thảo phạt nước Tống, khiển trách tội giết vua.
二年， 昭公子因文公母弟须与武、缪、戴、庄、桓之族为乱，文公尽诛之， 出武、缪之族。	Năm thứ hai, con trai Chiêu công dựa vào người em cùng mẹ với Văn công là Tu, cùng các tộc Vũ, Mậu, Đái, Trang, Hoàn làm loạn, Văn công giết hết bọn họ, trục xuất người của tộc Vũ và Mậu [ra khỏi nước Tống].
四年春，楚命郑伐宋。	Mùa xuân năm thứ tư, nước Sở mệnh cho nước Trịnh thảo phạt nước Tống.
宋使华元将，郑败宋，囚华元。	Tống Văn công sai Hoa Nguyên làm tướng, nước Trịnh đánh bại nước Tống, bỏ tù Hoa Nguyên.
九月，楚庄王围宋。	Tháng Chín, Sở Trang vương bao vây nước Tống.
十七 年，楚以围宋五月不解，宋城中急，无食，华元乃夜私见楚将子反。	Năm thứ mười bảy, nước Sở bao vây nước Tống năm tháng không giải vây, trong thành nước Tống nguy cấp, không có thức ăn, Hoa Nguyên bèn nhân ban đêm ra gặp riêng tướng nước Sở là Tử Phản.
平公三年，楚共王拔宋之彭城，以封宋左师鱼石。	Bình công năm thứ ba, Sở Cung vương đánh hạ Bành Thành của nước Tống, đem [Bành Thành] phong cho Tả sư nước Tống là Ngư Thạch.
四年，诸侯共诛 鱼石，而归彭城於宋。	Năm thứ tư, chư hầu cùng nhau tru diệt Ngư Thạch, rồi đem trả Bành Thành về cho nước Tống.
十年， 元公毋信，诈杀诸公子，大夫华、向氏作乱。 楚平王太子建来饹，见 诸华氏相攻乱，建去如郑。	Năm thứ mười, Nguyên công không thủ tín, lừa giết các công tử, Đại phu họ Hoa, họ Hướng làm loạn, Thái tử của Sở Bình vương là Kiến chạy sang [nước Tống], thấy người họ Hoa tấn công làm loạn, Kiến bỏ sang nước Trịnh.
十五年，元公为鲁昭公避季氏居外，为之 求入鲁，行道卒，子景公头曼立。	Năm thứ mười lăm, Nguyên công [gặp được] Lỗ Chiêu công [khi Chiêu công] tránh họ Quý thị phải ra ở ngoài, mới xin cho Chiêu công về nước Lỗ, đi trên đường thì Nguyên công chết, con là Cảnh công Đầu Vạn lên thay.
景公十六年，鲁阳虎来饹，已复去。	Cảnh công năm thứ mười sáu, Dương Hổ nước Lỗ chạy sang [nước Tống], sau đó lại ra đi.
三十年，曹倍宋，又倍晋，宋伐 曹，晋不救，遂灭曹有之。	Năm thứ ba mươi, nước Tào bội ước với nước Tống, lại bội ước với nước Tấn, nước Tống thảo phạt nước Tào, nước Tấn không cứu [nước Tào], [nước Tống] bèn diệt nước Tào rồi chiếm lấy đất.
三十六年，齐田常弑简公。	Năm thứ ba mươi sáu, Điền Thường nước Tề giết Giản công.
景公忧之。	Cảnh công lo lắng về việc đó.
六十四年，景公卒。	Năm thứ sáu mươi tư, Cảnh công chết.
昭公父公孙纠，纠父公子珰 秦，珰秦即元公少子也。	Cha của Chiêu công là Công tôn Củ, cha của Củ là công tử Đoan Tần, Đoan Tần chính là con út của Nguyên công.
昭公四十七年卒，子悼公购由立。	Chiêu công năm thứ bốn mươi bảy thì chết, con là Điệu công Cấu Do lên thay.
悼公八年卒，子休公田立。	Điệu công năm thứ tám thì chết, con là Hưu công Điền lên thay.
剔成四十一年，剔成 弟偃攻袭剔成，剔成败奔齐，偃自立为宋君。	Dịch Thành năm thứ bốn mươi mốt, em Dịch Thành là Yển tập kích Dịch Thành, Dịch Thành thua chạy sang nước Tề, Yển tự lập làm Tống quân.
王偃立四十七年，齐湣王与 魏、楚伐宋，杀王偃，遂灭宋而三分其地。	Vương Yển tại vị đến năm thứ bốn mươi bảy, Tề Mẫn vương cùng nước Ngụy và nước Sở thảo phạt nước Tống, giết Vương Yển, rồi diệt nước Tống, chia đất Tống làm ba phần.
九年，大司马孔父嘉妻好，出，道遇太宰华督， 督说，目而观之。	Năm thứ chín, người vợ của Đại tư mã Khổng Phú Gia rất đỗi xinh đẹp, ra ngoài, trên đường đi gặp Thái tể Hoa Đốc, Đốc [thấy nàng thì] yêu thích, mắt nhìn chằm chằm.
臧文仲善此言。	Tang Văn Trọng tán dương những lời đó.
万搏 牧，牧齿著门阖死。	Vạn đánh nhau với Mục, Mục bị vập răng vào cổng rồi chết.
万弟南宫牛将兵 围亳。	Em của Vạn là Nam Cung Ngưu đem quân bao vây ấp Hào.
宋万饹陈。	Nam Cung Vạn nước Tống chạy sang nước Trần.
秋，楚伐宋以救郑。	Mùa thu, nước Sở thảo phạt nước Tống để cứu nước Trịnh.
楚成王已救郑，郑享之；去而取郑二姬以归。	Sau khi Sở Thành vương cứu nước Trịnh, nước Trịnh mở tiệc khoản đãi; lúc [Sở Thành vương] ra đi, còn lấy hai cơ thiếp ở nước Trịnh mang về.
昭公出 猎，夫人王姬使卫伯攻杀昭公杵臼。	Chiêu công ra ngoài đi săn, phu nhân Vương cơ sai Vệ Bá đánh giết Chiêu công Chử Cữu.
宋以兵车百乘文马四百匹 赎华 元。	Nước Tống đem trăm cỗ binh xa, bốn trăm con ngựa được trang sức đẹp để chuộc Hoa Nguyên.
未尽入，华元亡归宋。	[Ngựa và xe] còn chưa đưa hết sang nước Trịnh, Hoa Nguyên đã trốn về nước Tống.
共公十年，华元善楚将子重，又善晋将栾书，两盟晋楚。	Cung công năm thứ mười, Hoa Nguyên thân với tướng quân nước Sở là Tử Trọng, lại thân với tướng nước Tấn là Loan Thư, kết minh với hai nước Tấn, Sở.
司马唐山攻杀太子肥，欲杀华 元，华元饹晋，鱼石止之，至河乃还， 诛唐山。	Tư mã Đường Sơn đánh giết Thái tử Phì, muốn giết Hoa Nguyên, Hoa Nguyên chạy sang nước Tấn, Ngư Thạch ngăn lại, đến Hoàng Hà bèn trở về, giết Đường Sơn.
东败齐，取五城；南败楚，取地三百里；西败魏军，乃与齐、魏为敌 国。	Phía đông đánh bại nước Tề, chiếm được năm thành; phía nam đánh bại nước Sở, chiếm được ba trăm dặm đất; phía tây đánh bại quân Ngụy, bèn trở thành nước đối địch với nước Tề và nước Ngụy.
襄公七年，宋地霣星如雨，与雨偕下； 六鶂退蜚， 风疾也。	Tương công năm thứ bảy, ở đất Tống sao sa như mưa, cùng mưa trút xuống; chim nghịch phải bay lùi, gió thổi rất mạnh.
昭公四年，宋败长翟缘斯於长丘。	Chiêu công năm thứ tư, nước Tống đánh bại Duyên Tư của tộc Trường Địch tại Trường Khâu.
冬，会于亳，以释宋 公。	Mùa đông, hội minh ở đất Hào, rồi thả Tống công.
十一年，楚太子商臣弑其父成王代立。	Năm thứ mười một, Thái tử nước Sở là Thương Thần giết vua cha là Thành vương rồi lên thay.
元公三年，楚公子弃疾弑灵王，自立为平王。	Nguyên công năm thứ ba, công tử nước Sở là Khí Tật giết Linh vương, rồi tự lên ngôi, đó là Bình vương.
休公田二十 三年卒，子辟公辟兵立。	Hưu công Điền năm thứ hai mươi ba thì chết, con là Tích công Tích Binh lên thay.
辟公三年卒，子剔成立。	Tích công năm thứ ba thì chết, con là Dịch Thành lên thay.
冬，十一月，襄公与楚成王战于泓。	Mùa đông, tháng Mười một, Tương công giao chiến với Sở Thành vương ở bên sông Hoằng.
十三年， 共公卒。	Năm thứ mười ba, Cung công chết.
八年，宋火。	Năm thứ tám, nước Tống bị hỏa tai.
