魏之先，毕公高之後也。	Tổ tiên nước Ngụy là hậu duệ của Tất công Cao.
中旗冯琴 而对曰：“王之料天下过矣。当晋六卿之时，知氏最彊，灭范、 中行，又率韩、魏之兵以围赵襄子於晋阳，决晋水以灌晋阳之城， 不湛者三版。知伯行 水，魏桓子御，韩康子为参乘。知伯曰：‘吾始不知水之可以亡人之 国也，乃今知之。’汾水可以灌安邑， 绛水可以灌平阳。 魏桓子肘韩康 子，韩康子履魏桓子，肘足接於车上，而知氏地分，身死国亡，为天 下笑。今秦兵虽彊，不能过知氏；韩、魏虽弱，尚贤其在晋阳之下 也。此方其用肘足之时也，原王之勿易也！”	Trung Kỳ dựa đàn đáp rằng: “Đại vương tính việc thiên hạ sai rồi. Khi Lục khanh nắm quyền nước Tấn, Trí bá mạnh nhất, diệt họ Phạm và họ Trung Hàng, lại thống lãnh quân Hàn và Ngụy bao vây Triệu Tương tử ở Tấn Dương, khơi nước Tấn Thủy để nhấn chìm thành Tấn Dương, chỉ chỗ nào trong thành cao ba bản mới không bị lụt. Trí bá chỉ huy quân khơi dòng, Ngụy Hoàn tử điều khiển chiến xa, Hàn Khang tử làm Tham thừa. Trí bá nói: 'Ban đầu ta không biết nước sông có thể diệt nước người, nay mới biết điều đó.' Phần Thủy có thể nhấn chìm An Ấp, Giáng Thủy có thể xối vào Bình Dương. Ngụy Hoàn tử hích tay Hàn Khang tử, Hàn Khang tử giẫm chân Ngụy Hoàn tử, hích tay giẫm chân làm ám hiệu trên xe mà đất của Trí bá bị chia, thân chết nước mất, bị thiên hạ chê cười. Nay quân Tần tuy hùng mạnh, cũng không thể hơn Trí bá; Hàn và Ngụy dẫu yếu, vẫn giỏi hơn kẻ dưới thành Tấn Dương kia. Lúc họ đang giẫm chân hích tay, xin đại vương chớ coi thường!”
於是 秦王恐。	Thế là Tần vương sợ.
魏人有唐雎者，年九十馀矣，谓魏王曰：“老臣请 西说秦王，令兵先臣出。”	Nước Ngụy có người tên là Đường Thư, đã hơn chín mươi tuổi, nói với Ngụy vương rằng: “Lão thần xin sang tây du thuyết Tần vương, khiến họ đem quân đến trước khi thần về.”
魏王再拜，遂约车而遣之。	Ngụy vương vái hai vái, bèn đóng xe phái đi.
秦王曰：“丈人芒然乃远至此，甚苦矣！夫魏之来求救数矣， 寡人知魏之急已。”	Tần vương nói: “Cụ tuổi cao mắt mờ lại từ xa đến đây, vất vả quá! Xét lẽ, nước Ngụy đến cầu cứu ta nhiều lần, quả nhân biết sự nguy cấp của Ngụy rồi.”
唐雎对曰：“大王已知魏之急而救不发者，臣窃 以为用策之臣无任矣。夫魏，一万乘之国也，然所以西面而事秦，称 东籓，受冠带，祠春秋者，以秦之彊足以为与也。 今齐、楚之兵已合於魏郊矣，而秦救不发，亦将赖其未急 也。使之大急，彼且割地而约从，王尚何救焉？必待其急而救之，是 失一东籓之魏而彊二敌之齐、楚，则王何利焉？”	Đường Thư đáp rằng: “Đại vương đã biết sự nguy cấp của Ngụy vậy mà không phát binh cứu viện, thần trộm cho bề tôi dâng kế sách này là kẻ bất tài. Ngụy là nước vạn cỗ xe, nhưng sở dĩ quay mặt về tây thờ Tần, xưng là phên giậu phía đông, nhận mũ đai, xuân thu cung hiến lễ phẩm, vì cho rằng sự hùng cường của Tần đủ để liên kết. Nay quân Tề và Sở hợp nhau ở ngoài thành nước Ngụy mà quân cứu viện của Tần không xuất phát, lại còn cho là chưa nguy cấp. Giả sử quá cấp bách thì Ngụy đã cắt đất rồi hợp tung, đại vương còn cứu gì nữa? Nhất định phải đợi Ngụy nguy cấp mới cứu, đó là để mất Ngụy phên giậu phía đông mà làm mạnh cho hai nước địch Tề, Sở, vậy thì đại vương được lợi gì?”
於是秦昭王遽为发 兵救魏。	Thế là Tần Chiêu vương vội phát binh cứu viện Ngụy.
魏氏复定。	Nước Ngụy lại được yên.
赵使人谓魏王曰：“为我杀范痤，吾请献七十里之地。”	Nước Triệu sai người nói với Ngụy vương rằng: “Hãy giết Phạm Tòa cho tôi, tôi xin hiến bảy mươi dặm đất.”
魏王 曰：“诺。”	Ngụy vương nói: “Được.”
使吏捕之，围而未杀。	Sai quan lại bắt Phạm Tòa, bao vây nhưng chưa giết.
今韩氏以一女子奉一弱主，内有大乱，外交彊秦魏之兵，王以为 不亡乎？ 韩亡，秦有郑地，与大梁鄴， 王以为安乎？ 王欲得故地，今负彊秦之亲，王以为利乎？ 秦非无事之国也，韩亡之後必将更事，更事必就易与利，就易与 利必不伐楚与赵矣。	Tòa nhân đó dâng thư lên Tín Lăng quân rằng: “Tòa vốn là Tướng quốc bị miễn chức của Ngụy, nước Triệu dùng đất để giết Tòa mà Ngụy vương nghe theo, nếu Tần hùng mạnh cũng muốn theo cách đó với Triệu thì ngài làm thế nào?”
二十六年，秦昭王卒。	Năm thứ hai mươi sáu, Tần Chiêu vương chết.
魏太子 增质於秦，秦怒，欲囚魏太子增。	Thái tử nước Ngụy là Tăng làm con tin ở Tần, Tần giận, định bỏ tù Thái tử Tăng.
或为增谓秦王 曰：“公孙喜固 谓魏相曰‘请以魏疾击秦，秦王怒，必囚增。魏王又怒，击秦，秦必 伤’。今王囚增，是喜之计中也。故不若贵增而合魏，以疑之於齐、 韩。”	Có người vì Tăng nói với Tần vương rằng: “Công Tôn Hỷ từng nói với Tướng quốc nước Ngụy rằng 'Xin kíp đem quân Ngụy đánh Tần, Tần vương giận, ắt bỏ tù Tăng. Ngụy vương cũng sẽ giận, tấn công Tần, Tần ắt làm thương hại đến Thái tử.' Nay đại vương bỏ tù Tăng, là trúng kế của Hỷ rồi. Cho nên chẳng bằng tôn quý Tăng rồi liên kết với Ngụy, để khiến Tề và Hàn nghi hoặc.”
三十一年，秦王政初立。	Năm thứ ba mươi mốt, Tần vương là chính mới lên ngôi.
三十四年，安釐王卒，太子增立，是为景湣王。	Năm thứ ba mươi tư, An Ly vương chết, Thái tử Tăng lên thay, đó là Cảnh Mẫn vương.
三年，秦拔我汲。	Năm thứ ba, Tần hạ được ấp Cấp của Ngụy.
十五年，景湣王 卒，子王假立。	Năm thứ mười lăm, Cảnh Mẫn vương chết, con là Ngụy vương Giả lên thay.
三年，秦灌大梁，虏王假，遂灭魏以 为郡县。	Năm thứ ba, quân Tần khơi nước trút vào Đại Lương, bắt sống Ngụy vương Giả, rồi diệt nước Ngụy, lập thành quận huyện.
太史公曰：吾適故大梁之墟，墟中人曰：“秦之破梁，引河沟而 灌大梁，三月城坏，王请降，遂灭魏。” 说者皆曰魏以不用信陵君 故，国削弱至於亡，余以为不然。 天方令秦平海内，其业未成，魏虽 得阿衡之佐，曷益乎？ 毕公之苗，因国为姓。	Thái sử công bàn rằng: Ta đến gò Đại Lương xưa, người ở gò ấy nói: “Tần đánh phá Đại Lương, dẫn nước Hà Câu cho xối vào Đại Lương, ba tháng thì thành lở, Ngụy vương xin hàng, bèn diệt nước Ngụy.”
子击逢文侯之师田 子方於朝歌，引车避，下谒。	Tử Kích gặp thầy của Văn hầu là Điền Tử Phương tại Triều Ca, cho xe tránh đường, không xuống bái kiến.
田子方不为礼。	Điền Tử Phương không làm theo lễ.
子击因问曰：“富贵者 骄人乎？且贫贱者骄人乎？”	Tử Kích nhân đó hỏi rằng: “Người giàu sang có được kiêu ngạo với người khác không? Kẻ nghèo hèn có được kiêu ngạo với người khác không?”
子击不怿而去。	Tử Kích không hài lòng, rồi đi.
西攻秦， 至郑而还，筑雒阴、合阳。	[Quân Ngụy] sang phía tây đánh Tần, đến Trịnh rồi rút về, xây thành ở Lạc Âm và Hợp Dương.
魏文侯谓李克曰：“先生尝教寡人曰‘家贫则思良妻，国乱则思 良相’。今所置非成则璜，二子何 如？”	Ngụy Văn hầu hỏi Lý Khắc rằng: “Tiên sinh từng dạy quả nhân rằng: 'Nhà nghèo thì nghĩ đến vợ hiền, nước loạn thì nghĩ đến tướng giỏi.’ Nay xếp đặt [chức Tướng quốc] không phải Thành thì là Hoàng, hai người này thế nào?”
李克曰：“君不察故也。 居视其所亲，富视其所与，达视其所举，穷视其所不为，贫视其所不 取，五者足以定之矣，何待克哉！”	Lý Khắc nói: “Vì nhà vua không chú ý quan sát thôi. Ngày thường xem những người họ thân, lúc giàu xem những người họ giao du, lúc hiển đạt xem người nào được họ cất nhắc, lúc cùng quẫn xem những điều họ không làm, lúc nghèo khó xem những thứ gì họ không lấy, xem đủ năm cái đó thì xác định được [ai làm Tướng quốc] rồi, cần gì phải đợi Khắc [nói ra nữa]!”
翟璜忿然作色 曰：“以耳目之所睹记，臣何负於魏成子？西河之守，臣之所进也。 君内以鄴为忧，臣进西门豹。君谋欲伐中山，臣进乐羊。中山以拔， 无使守之，臣进先生。君之子无傅，臣进屈侯鲋。臣何以负於魏成 子！”	Địch Hoàng giận biến sắc nói: “Dựa vào những việc tai nghe mắt thấy, tôi nào kém Ngụy Thành tử? Thái thú Tây Hà là do tôi tiến cử. Trong nước, chỗ nhà vua lo là thành Nghiệp, tôi tiến cử Tây Môn Báo. Nhà vua mưu tính định đánh Trung Sơn, tôi tiến cử Nhạc Dương, nhờ đó hạ được Trung Sơn, không chọn được người giữ Trung Sơn, tôi tiến cử tiên sinh. Con của nhà vua không có thầy rèn cặp, tôi tiến cử Khuất hầu Phụ. Tôi nào kém cạnh gì Ngụy Thành tử!”
李克曰：“且子之言克於子之君者，岂将比周以求大官哉？君 问而置相‘非成则璜，二子何如’？克对曰：‘君不察故也。居视其 所亲，富视其所与，达视其所举，穷视其所不为，贫视其所不取，五 者足以定之矣，何待克哉！’是以知魏成子之为相也。且子安得与魏 成子比乎？魏成子以食禄千锺，什九在外，什一在内，是以东得卜子 夏、田子方、段干木。此三人者，君皆师之。子之所进五人者，君皆 臣之。子恶得与魏成子比也？”	Lý Khắc nói: “Theo lời ngài, ngài tiến cử Khắc này cho vua của ngài, há định kết bè đảng đặng mong làm đại quan ư? Nhà vua hỏi để chọn người làm Tướng quốc, cho 'không phải Thành thì là Hoàng, hai người này thế nào?'. Khắc đáp rằng: 'Vì nhà vua không chú ý quan sát thôi. Ngày thường xem những người họ thân, lúc giàu xem những người họ giao du, lúc hiển đạt xem người nào được họ cất nhắc, lúc cùng quẫn xem những điều họ không làm, lúc nghèo khó xem những thứ gì họ không lấy, xem đủ năm cái đó thì xác định được [ai làm Tướng quốc] rồi, cần gì phải đợi Khắc [nói ra nữa]!' Vì thế nên biết Ngụy Thành tử sẽ làm Tướng quốc. Hơn nữa, ngài sao so được với Ngụy Thành tử? Ngụy Thành tử đem bổng lộc ngàn chung, chín phần cấp cho bên ngoài, chỉ một phần dùng trong nhà, cho nên phía đông có được Bốc tử Hạ, Điện tử Phương, Đoàn Can Mộc. Ba người này đều được nhà vua tôn làm thầy. Năm người do ngài tiến cử, nhà vua đều coi là bề tôi thôi. Ngài sao so được với Ngụy Thành tử?”
使 吴起伐齐，至灵丘。	Sai Ngô Khởi đánh Tề, tiến đến Linh Khâu.
惠王之所以身不死，国不分者，二家谋 不和也。	Huệ vương nhờ đó không bị giết, nước không bị chia, do hai nhà [Triệu và Hàn] mưu tính không giống nhau vậy.
二年，魏败韩于马陵，败赵于怀。 三年，齐败我观。	Năm thứ hai, Ngụy đánh bại Hàn ở Mã Lăng, đánh bại Triệu ở ấp Hoài. Năm thứ ba, Tề đánh bại Ngụy ở ấp Quán.
为秦所败。	Bị Tần đánh bại.
与秦战少梁，虏我将公孙痤， 取庞。	Giao chiến với Tần ở Thiếu Lương, Tần bắt sống được tướng Ngụy là Công Tôn Tòa, chiếm được thành Bàng.
十五年，鲁、卫、宋、郑君来朝。	Năm thứ mười lăm, vua các nước Lỗ, Vệ, Tống, Trịnh vào triều kiến.
十七年，与秦战元里，秦取我少梁。	Năm thứ mười bảy, giao chiến với Tần ở Nguyên Lý, Tần chiếm được Thiếu Lương của Ngụy.
围赵邯郸。	[Ngụy] bao vây Hàm Đan nước Triệu.
筑长城，塞固阳。	Xây Trường thành, dựng quan ải ở Cố Dương.
太子曰：“可得闻乎？”	Thái tử hỏi: “Có thể được nghe chăng?”
曰：“太子自 将攻齐，大胜并莒， 则富不过有魏，贵不益为王。若战不胜齐，则万世无 魏矣。此臣之百战百胜之术也。”	Nói tiếp: “Thái tử đích thân thống lãnh quân đội đánh Tề, đại thắng rồi chiếm đất Cử, giàu chẳng qua chỉ có nước Ngụy, sang chẳng qua chỉ làm vương. Nếu đánh không thắng Tề thì muôn đời không có nước Ngụy. Đó là cái thuật trăm đánh trăm thắng của thần vậy.”
梁惠王曰：“寡人不佞，兵三折於外，太子虏，上将死，国以空 虚，以羞先君宗庙社稷，寡人甚丑之，叟不远千里， 辱幸至弊邑之廷，将何利吾 国？”	Lương Huệ vương hỏi: “Quả nhân kém cỏi, quân đội ba lần bị bẻ gãy ở bên ngoài, Thái tử bị bắt làm tù binh, Thượng tướng bị chết, đất nước trống không, khiến tông miếu xã tắc của tiên vương phải hổ nhục, quả nhân rất xấu hổ về những việc đó. Cụ không quản ngàn dặm đường xa, nhọc mình hạ cố đến sân đình tệ ấp, có điều gì làm lợi cho nước ta chăng?”
五年，秦败我龙贾军四万五千于雕阴， 围我焦、曲沃。	Năm thứ năm, Tần đánh bại bốn vạn năm nghìn quân của Long Giả nước Ngụy ở Điêu Âm, bao vây ấp Tiêu và Khúc Ốc nước Ngụy.
予 秦河西之地。	Nước Ngụy cắt đất Hà Tây cho Tần.
秦取我汾 阴、皮氏、焦。	Tần chiếm được Phần Âm, Bì Thị và ấp Tiêu của Ngụy.
七年，魏尽入 上郡于秦。	Năm thứ bảy, Ngụy nhập hết Thượng Quận vào Tần.
秦降我蒲阳。	Tần hạ được ấp Bồ Dương của Ngụy.
八年， 秦归我焦、曲沃。	Năm thứ tám, Tần trả lại ấp Tiêu và Khúc Ốc cho Ngụy.
诸侯执政与秦相张仪会齧桑。	Đại thần chấp chính của chư hầu hội kiến với Tướng quốc Trương Nghi nước Tần tại Khiết Tang.
秦 取我曲沃、平周。	Tần chiếm Khúc Ốc và Bình Chu của Ngụy.
哀王元年，五国共攻秦，不胜而去。	Ai vương năm thứ nhất, năm nước cùng đánh Tần, không thắng rồi rút.
二年，齐败我观津。	Năm thứ hai, Tề đánh bại Ngụy ở Quan Tân.
五年，秦使樗里子 伐取我曲沃，走犀首岸门。	Năm thứ năm, Tần sai Sư Lý tử đánh chiếm được Khúc Ốc của Ngụy, đuổi Tê thủ Ngạn Môn.
魏相田需死，楚害张仪、犀首、薛公。	Tướng quốc nước Ngụy là Điền Nhu chết, nước Sở e ngại Trương Nghi, Tê thủ, Tiết công.
楚相昭鱼 谓苏代曰：“田需死，吾恐张仪、犀首、薛公有一人 相魏者也。”	Tướng quốc nước Sở là Chiêu Ngư bảo Tô Đại rằng: “Điền Nhu chết, ta sợ Trương Nghi, Tê thủ, Tiết công có một người sẽ làm Tướng quốc nước Ngụy.”
代曰：“然相者欲谁而君便之？”	Đại nói: “Vậy muốn ai làm Tướng quốc thì có lợi cho ngài?”
秦来伐我皮氏，未拔而解。	Tần kéo đến đánh Bì Thị nước Ngụy, chưa hạ được thì giải vây.
秦予我蒲反。	Tần trả lại Bồ Bản cho Ngụy.
` 二十一年， 与齐、韩共败秦军函谷。	Năm thứ hai mươi mốt, cùng Tề, Hàn đánh bại quân Tần ở Hàm Cốc.
昭王元年，秦拔我襄城。	Chiêu vương năm thứ nhất, Tần hạ được Tương Thành nước Ngụy.
三年，佐韩攻 秦，秦将白起败我军伊阙二十四万。	Năm thứ ba, giúp Hàn đánh Tần, tướng Tần là Bạch Khởi đánh bại hai mươi tư vạn quân Ngụy ở Y Khuyết.
六年，予秦河东地方四百里。	Năm thứ sáu, Ngụy cắt bốn trăm dặm vuông đất ở Hà Đông cho Tần.
八 年，秦昭王为西帝，齐湣王为东帝，月馀，皆复称王归帝。	Năm thứ tám, Tần Chiêu vương xưng là Tây đế, Tề Mẫn vương xưng là Đông đế, được hơn tháng, đều bỏ đế hiệu, xưng vương như trước.
九年，秦 拔我新垣、曲阳之城。	Năm thứ chín, Tần hạ các thành Tân Viên, Khúc Dương của Ngụy.
兵到大梁，去。	Quân Tần kéo đến Đại Lương, rồi rút.
安釐王元年，秦拔我两城。	An Ly vương năm thứ nhất, Tần hạ được hai thành của Ngụy.
二年，又拔我二城，军大梁下，韩来 救，予秦温以和。	Năm thứ hai, lại hạ được hai thành của Ngụy, kéo quân đến dưới thành Đại Lương, quân Hàn đến cứu, cắt ấp Ôn cho Tần để cầu hòa.
苏代谓魏王曰：“欲玺者段干子也，欲地者 秦也。今王使欲地者制玺，使欲玺者制地，魏氏地不尽则不知已。且 夫以地事秦，譬犹抱薪救火，薪不尽，火不灭。”	Tô Đại nói với Ngụy vương rằng: “Người muốn được ấn tín là Đoàn Can tử, kẻ muốn được đất là Tần. Nay đại vương khiến kẻ muốn được đất khống chế ấn tín, khiến kẻ muốn được ấn tín khống chế đất đai, đất Ngụy chưa hết thì chưa chịu thôi. Hơn nữa, đem đất thờ Tần, cũng giống ôm củi đi cứu hỏa, củi chưa hết thì lửa chưa chịu tắt.”
齐、楚相约而攻魏，魏使人求救於秦，冠盖相望也，而秦救不 至。	Tề và Sở hẹn nhau rồi cùng tấn công Ngụy, Ngụy sai người cầu cứu nước Tần, sứ giả liên tục được phái đi, mà quân cứu viện của Tần không đến.
唐雎到，入见 秦王。	Đường Thư đến, vào yết kiến Tần vương.
痤因上屋骑危， 谓使者 曰：“与其以死痤市，不如以生痤市。有如痤死，赵不予王地，则王 将柰何？故不若与先定割地，然後杀痤。” 魏王曰：“善。” 痤因上 书信陵君曰：“痤，故魏之免相也，赵以地杀痤而魏王听之，有如彊 秦亦将袭赵之欲，则君且柰何？” 信陵君言於王而出之。	Tòa nhân đó lên mái nhà, ngồi trên nóc, nói với sứ giả rằng: “Việc giết Tòa để trao đổi, chẳng bằng để Tòa sống mà trao đổi. Nếu Tòa chết rồi mà Triệu không cắt đất cho nhà vua thì nhà vua phải làm sao? Cho nên chẳng bằng trước tiên định việc cắt đất rồi sau hãy giết Tòa.”
若道河外，倍大梁， 右上蔡、召陵， 与楚兵决於陈郊，秦又不敢。 故曰秦必不伐楚与赵矣，又不攻卫 与齐矣。 夫韩亡之後，兵出之日，非魏无攻已。 秦固有怀、茅、 邢丘， 城 垝津 以临河内，河内共、汲。	Ngụy vương vì được Tần cứu viện nên muốn thân với Tần rồi đánh Hàn để lấy lại đất cũ.
秦乃在河西晋， 去梁千里，而祸若是矣，又况於使秦无韩，有郑地，无河山而阑之， 无周韩而间之，去大梁百里，祸必由此矣。 异日者，从之不成也，楚、魏疑而韩不可得 也。 今韩受兵三年，秦桡之以讲， 识亡不听， 投质於赵，请为天下雁行顿刃，楚、赵必集兵，皆识 秦之欲无穷也，非尽亡天下之国而臣海内，必不休矣。 是故臣原以从 事王，王速受楚赵 之约，而挟韩之质以存韩， 而求故地，韩必效之。	Vô Kỵ nói với Ngụy vương rằng: “Tần và Nhung, Địch phong tục giống nhau, có dạ hùm sói, tham lam hám lợi, không thủ tín, không biết lễ nghĩa đức hạnh. Nếu có lợi thì chẳng màng anh em thân thích, như cầm thú vậy, đó là điều thiên hạ đều biết, không hề có sự thi ơn tích đức. Cho nên mẹ là Thái hậu vì lo buồn mà chết; cậu là Nhương hầu, công lao không ai lớn bằng, rốt cuộc bị xua đuổi; hai người em vô tội đều bị tước mất nước phong. Tần đối với thân thích còn thế, huống chi với nước cừu thù? Nay đại vương với Tần cùng đánh Hàn thì càng tiến gần đến tai họa nước Tần, thần rất nghi hoặc việc đó. Đại vương không biết đó là không sáng suốt, quần thần không ai tâu trình đó là bất trung. Nay nước Hàn cậy một người phụ nữ phụng sự một vị chúa thơ trẻ, trong có đại loạn, ngoài giao chiến với quân binh Tần, Ngụy hùng mạnh, đại vương cho là không bị diệt ư? Nước Hàn diệt vong, Tần có đất Trịnh, gần với Đại Lương, đại vương cho là sẽ được yên ư? Đại vương muốn có đất cũ, nay trông cậy vào sự thân thiết với Tần hùng mạnh, đại vương cho là có lợi chăng? Tần không phải nước ưa bình an vô sự, sau khi Hàn diệt vong ắt sẽ lại gây chuyện, gây chuyện ắt phải nhắm vào chỗ dễ dàng và có lợi, nhắm vào chỗ dễ dàng và có lợi nhất định không đánh Sở và Triệu. Tại sao thế? Xét lẽ, vượt núi băng sông Hà, cắt đứt Thượng Đảng nước Hàn rồi tấn công Triệu hùng mạnh, đó là giẫm vào vết xe thất bại Yên Dự, nhất định Tần không làm thế. Nếu theo đường Hà Nội, quay lưng vào thành Nghiệp và Triều Ca, chặn dòng sông Chương sông Phủ, cùng quân Triệu khơi nước vào ngoại thành Hàm Đan, đó là họa của Trí bá, Tần cũng không dám. Đánh Sở, theo đường Thiệp Cốc, đi ba nghìn dặm, rồi tấn công cửa ải Manh Ách, đường đi quá xa, chỗ đánh quá khó, Tần cũng không làm đâu. Nếu theo đường Hà Ngoại, quay lưng vào Đại Lương, bên phải có Thượng Sái, Thiệu Lăng, khơi nước sông vào ngoài thành Trần để giao chiến với Sở, Tần cũng không dám. Cho nên nói Tần nhất định không đánh Sở và Triệu, lại cũng không tấn công Vệ và Tề. Xét lẽ, sau khi nước Hàn diệt vong, ngày xuất quân, ngoài Ngụy thì không đánh vào đâu khác. Tần vốn có ấp Hoài, ấp Mao, Hình Khâu, xây thành ở Quỷ Tân để áp sát Hà Nội, ấp Cung và ấp Cấp ở Hà Nội ắt nguy; có đất Trịnh, được Viên Ung, khơi nước Huỳnh Trạch nhấn chìm Đại Lương, Đại Lương ắt bị diệt vong. Sứ thần của đại vương sai đi mắc sai lầm, nói xấu An Lăng thị với vua Tần, Tần muốn giết An Lăng thị lâu rồi. Diệp Dương và Côn Dương nước Tần đều gần Vũ Dương, nghe sứ giả nói xấu An Lăng thị, sẽ nghe theo rồi diệt An Lăng thị, vòng qua phía bắc Vũ Dương, từ phía đông áp sát ấp Hứa, Nam Quốc của Ngụy ắt nguy, nước Ngụy không nguy hại ư? Xét lẽ, giận Hàn, không thích An Lăng thị là phải; không lo Tần, không tiếc Nam Quốc là sai vậy. Một ngày kia, Tần ở khu vực nước Tấn tại Hà Tây, cách Đại Lương nghìn dặm, có Hoàng Hà và núi cao ngăn trở, có nước Chu và nước Hàn ở giữa. Từ khi dụng binh ở Lâm Hướng đến nay, Tần bảy lần đánh Ngụy, năm lần vào trong Phố Điền của Ngụy, thành ấp biên cương đều bị đánh hạ, Văn Đài bị đổ, Thùy Đô bị thiêu, cây rừng bị đốn, hươu nai chết hết, còn đất nước liên tục bị bao vây. Lại ruổi dài lên phía bắc Đại Lương, phía đông đến ngoài ấp Đào thành Vệ, phía bắc lên đất Giám ở Đông Bình. Đất đai bị mất vì Tần có núi nam núi bắc, Hà Ngoại, Hà Nội, mấy chục huyện lớn, mấy trăm đô ấp lớn. Tần bèn ở đất Tấn tại Hà Tây, cách Đại Lương nghìn dặm mà tai hại đến như thế đấy. Huống chi để Tần diệt Hàn, có đất Trịnh, không bị Hoàng Hà và núi cao ngáng trở, không còn bị ngăn cách bởi nước Chu nước Hàn, cách Đại Lương trăm dặm, họa ắt từ đó mà ra. Ngày nọ, hợp tung bất thành, Sở và Ngụy nghi ngờ nhau còn Hàn thì không được tham gia. Nay Hàn ba năm bị chiến tranh, Tần muốn Hàn phải khuất phục rồi giảng hòa, Hàn biết làm thế sẽ diệt vong nên không nghe, gửi con tin sang Triệu, đề nghị vì thiên hạ chư hầu liên kết lại, Sở và Triệu ắt tập hợp quân binh, đều biết ham muốn của Tần là vô cùng, không thôn tính hết các nước trong thiên hạ rồi khiến bốn bể thành bề tôi, nhất định không thôi. Vì thế thần xin đem việc hợp tung để nói với đại vương, đại vương hãy kíp tiếp nhận minh ước của Sở và Triệu, rồi tiếp nhận con tin của Hàn để bảo tồn Hàn, đòi lại đất cũ đã mất, Hàn nhất định sẽ dốc sức. Như thế sĩ dân không phải vất vả mà lấy lại được đất cũ, công lao lớn hơn nhiều việc cùng Tần đánh Hàn, mà lại không chịu cái họa ở gần Tần hùng mạnh. Xét lẽ, bảo tồn Hàn, giữ yên Ngụy mà được lợi cho thiên hạ, đó cũng chính là thiên thời của đại vương. Khai thông đường Thượng Đảng của Hàn đến ấp Cung ấp Ninh, khiến có đường ra An Thành, ra vào phải nộp thuế, thế là Ngụy dùng Thượng Đảng của Hàn để làm vật bảo đảm. Nay những thuế khóa đó cũng đủ để làm giàu cho nước. Hàn ắt cảm ơn đức của Ngụy, yêu Ngụy, trọng Ngụy, nể sợ Ngụy, Hàn nhất định không dám phản Ngụy, như thế Hàn chính là huyện của Ngụy vậy. Ngụy được Hàn, coi đó như huyện của mình, thì Vệ, Đại Lương, Hà Ngoại ắt được yên ổn. Nay không bảo tồn Hàn thì Đông Chu, Tây Chu và An Lăng ắt nguy; Sở và Triệu bị đại phá, Vệ và Tề rất sợ hãi, không lâu nữa thiên hạ sẽ hướng về tây mà rong ruổi vào chầu Tần rồi xưng thần.”
无忌因留赵。	Vô Kỵ nhân đó ở lại Triệu.
三十年，无忌归魏，率五国兵攻秦，败之河外，走蒙骜。	Năm thứ ba mươi, Vô Kỵ trở về Ngụy, thống lĩnh quân năm nước tấn công Tần, đánh bại quân Tần ở Hà Ngoại, đuổi Mông Ngao chạy.
景湣王元年，秦拔我二十城，以为秦东郡。	Cảnh Mẫn vương năm thứ nhất, Tần hạ được hai mươi thành của Ngụy, lập làm Đông Quận của Tần.
二年，秦拔我朝歌。	Năm thứ hai, Tần hạ được Triều Ca của Ngụy.
五 年，秦拔我垣、蒲阳、衍。	Năm thứ năm, Tần hạ được ấp Viên, Bồ Dương, ấp Diễn của Ngụy.
王假元年，燕太子丹使荆轲刺秦王，秦王觉之。	Ngụy vương Giả năm thứ nhất, Thái tử nước Yên là Đan sai Kinh Kha hành thích Tần vương, Tần vương phát giác việc đó.
任西门豹守鄴，而河内 称治。	Giao cho Tây Môn Báo giữ thành Nghiệp, nhờ thế vùng Hà Nội được tiếng khen là yên trị.
李克对曰：“臣闻之，卑不谋尊，疏不谋戚。臣在阙门之外， 不敢当命。”	Lý Khắc đáp: “Thần nghe nói, [người địa vị] thấp hèn không bàn việc của người địa vị cao sang, người quan hệ xa không bàn việc của người thân thích. Thần ngoài cung, không dám tuân mệnh.”
败秦于注。	Đánh bại Tần ở thành Chú.
赵请救于齐，齐使田忌、孙膑救赵，败魏桂陵。	Triệu xin Tề cứu, Tề sai Điền Kỳ, Tôn Tẫn giải cứu Triệu, đánh bại quân Ngụy Quế Lăng.
过外黄，外黄徐子 谓太子曰：“臣有百战百胜之 术。”	Kéo quân qua Ngoại Hoàng, Từ tử ở Ngoại Hoàng nói với Thái tử rằng: “Tôi có thuật trăm đánh trăm thắng.”
客曰：“太子虽欲还，不得矣。彼劝太子战攻，欲啜汁者众。 太子虽欲还，恐不得 矣。”	Khách nói: “Dẫu Thái tử muốn về cũng không được. Lời đó là khuyên Thái tử ra sức tiến đánh, muốn cho nhiều người nhân cơ hội lập công. Thái tử dẫu muốn về, e cũng không thể được.”
太子果与齐人 战，败於马陵。	Rốt cuộc Thái tử giao chiến với người Tề, thua trận ở Mã Lăng.
见卫君曰：“请罢魏兵，免成陵君可 乎？”	Như Nhĩ yết kiến Vệ quân, nói: “Xin khiến Ngụy bãi binh, rồi miễn chức của Thành Lăng quân được chăng?”
魏王听其说， 罢其兵，免成陵君，终身不见。	Ngụy vương nghe lời Như Nhĩ, bèn bãi binh, bãi miễn Thành Long quân, suốt đời không gặp lại nữa.
张仪、魏章皆归 于魏。	Trương Nghi, Ngụy Chương đều trở về Ngụy.
