屈原者，名平，楚之同姓也。 为楚怀王左徒。	Khuất Nguyên Khuất Nguyên tên là Bình, cùng họ vua Sở, làm chức Tả đồ thời Sở Hoài vương.
吴廷尉为河南守，闻其秀才， 召置门下，甚幸 爱。	Ngô Đình úy lúc làm Thái thú Hà Nam, nghe danh ông tài giỏi, triệu làm môn hạ, rất được yêu quý.
是时贾生年二十馀，最为少。	Bấy giờ Giả sinh hơn hai mươi tuổi, là người trẻ nhất [trong các Bác sĩ].
孝 文帝初即位，谦让未遑也。	Hiếu Văn đế mới lên ngôi, tỏ ra khiêm nhượng, chưa thi hành ngay.
贾生为长沙王太傅 三年，有鸮飞入贾生舍， 止于坐隅。	Giả sinh làm Thái phó cho Trường Sa vương được ba năm, có con quạ bay vào nhà Giả sinh, đậu ở góc nhà.
贪夫徇财兮，烈士徇名； 夸者死权兮， 品庶冯生。	Tham phù tuẫn tài hề, liệt sĩ tuẫn danh; Khoa giả tử quyền hề, phẩm thứ phùng sinh.
造讬湘流兮，敬吊先生。 遭世罔极 兮，乃陨厥身。	Tháo thác Tương lưu hề, kính điếu tiên sinh. Tào thế võng cực hề, nãi vẫn quyết thân.
鸾凤伏窜兮， 鸱枭翱翔。	Loan phượng phục thoán hề, si kiêu cao tường.
阘茸尊显兮， 谗谀得志；贤圣逆曳兮，方正倒植。 世谓伯夷贪兮，谓盗跖 廉； 莫邪为顿兮， 铅刀为銛。	Tháp nhung tôn hiển hề, sàm du đắc chí; Hiền thánh nghịch duệ hề, phương chính đảo thực. Thế vị Bá Di tham hề, vị Đạo Chích liêm; Mạc da vị đốn hề, diên đao vi tiêm.
斡弃 周鼎兮宝康瓠， 腾驾罢牛兮骖蹇驴， 骥垂两耳兮服盐车。	Oát khí Chu đỉnh hề, bảo khang hồ, Đằng giá bãi ngưu hề, tham kiển lư; Ký thùy lưỡng nhĩ hề, phục diêm xa.
袭九渊之神龙兮， 沕深潜以自珍。	Tập cửu uyên chi thần long hề, Vật thêm tiềm dĩ tự trân.
形气转续兮，变化而嬗。	Hình khí chuyển tục hề, biến hóa nhi thiện.
祸兮福所倚，福兮祸所伏； 忧喜聚门兮，吉凶同域。	Họa hề phúc sở ỷ, phúc hề họa sở phục; Ưu hỉ tụ môn hề, cát hung đồng vực.
斯游遂 成兮，卒被五刑；傅说胥靡兮， 乃相武丁。	Tư du toại thành hề, tốt bị ngũ hình; Phó Duyệt tà mị hề, nãi tướng Vũ Đinh.
水激则旱 兮，矢激则远。	Thủy kích tắc hạn hề, thỉ kích tắc viễn.
万物回薄兮，振荡相 转。	Vạn vật hồi bạc hề, chẩn đãng tương chuyển.
大专槃物兮， 坱轧无垠。	Đại chuyên bán vật hề, dưỡng loát vô ngân.
合散消息兮， 安有常则； 千变万化兮，未始有极。	Hợp tán tiêu tức hề, an hữu thường tắc; Thiên biến vạn hóa hề, vị thủy hữu cực.
云蒸雨降兮，错缪相纷。	Vân chưng vũ giáng hề, thác mậu tương phân.
孝文帝方受釐， 坐 宣室。	Hiếu Văn đế đang thụ lộc tế thần, ngồi ở điện Tuyên Thất [để tiếp kiến].
