张耳者，大梁人也。 其少时， 及魏公子毋忌为客。	Trương Nhĩ, người ở Đại Lương, lúc còn trẻ, làm môn khách của công tử Vô Kỵ nước Ngụy.
张耳败走，念诸侯无可归者，曰：“汉王与我有旧故， 而项羽又彊，立我，我欲之 楚。”	Trương Nhĩ thua chạy, nghĩ chư hầu không ai có thể theo về, nói: “Hán vương với ta có quen biết cũ, còn Hạng Vũ lại mạnh, lập ta làm vương, ta muốn sang Sở.”
甘公 曰： “汉王之入关，五星聚东井。东井者，秦分也。先至必霸。楚 虽彊，後必属汉。”	Cam công nói: “Hán vương vào Quan Trung, ngũ tinh hội tụ ở Đông Tỉnh. Đông Tỉnh là địa phận nước Tần vậy. Đến trước ắt làm bá chủ. Sở tuy mạnh, sau ắt thuộc Hán.”
故耳走汉。	Vì thế Nhĩ chạy sang Hán.
张耳谒汉王，汉王厚遇之。	Trương Nhĩ yết kiến Hán vương, được Hán vương rất hậu đãi.
陈馀已败张耳，皆复收赵地，迎赵王於代，复为赵王。	Sau khi Trần Dư đánh bại Trương Nhĩ, thu hết đất Triệu, đón Triệu vương ở đất Đại về làm Triệu vương.
赵王德陈 馀，立以为代王。	Triệu vương chịu ơn Trần Dư, lập Dư làm Đại vương.
陈馀为赵王弱，国初定，不之国，留傅赵王，而使 夏说以相国守代。	Trần Dư cho là Triệu vương yếu thế, nước mới yên định, không ở nước phong, lưu lại phò tá Triệu vương, rồi sai Hạ Duyệt lấy thân phận Tướng quốc giữ đất Đại.
汉二年，东击楚，使使告赵，欲与俱。	Hán vương năm thứ hai, sang đông đánh Sở, sai sứ báo cho nước Triệu, muốn Triệu cùng đi.
陈馀曰：“汉杀张耳乃 从。”	Trần Dư nói: “Hán giết Trương Nhĩ, tôi sẽ theo.”
於是汉王求人类张耳者斩之，持其头遗陈馀。	Thế là Hán vương tìm người giống Trương Nhĩ đem chém, mang đầu đến cho Trần Dư.
陈馀乃遣兵助 汉。	Trần Dư bèn sai quân giúp Hán.
汉之败於彭城西，陈馀亦复觉张耳不死，即背汉。	Quân Hán thua ở phía tây Bành Thành, Trần Dư cũng lại biết việc Trương Nhĩ chưa chết, liền phản lại Hán.
汉三年，韩信已定魏地，遣张耳与韩信击破赵井陉， 斩陈馀泜水上， 追杀赵王歇襄国。	Hán vương năm thứ ba, sau khi Hàn Tín bình định đất Ngụy, sai Trương Nhi cùng Hàn Tín đánh phá Tỉnh Hình của Triệu, chém Trần Dư trên sông Trì Thủy, đuổi giết Triệu vương Yết ở Tương Quốc.
汉立张耳为赵王。	Hán lập Trương Nhĩ làm Triệu vương.
汉五年，张耳薨，谥为景王。	Hán vương năm thứ năm, Trương Nhĩ chết, thụy là Cảnh vương.
子敖嗣 立为赵王。	Con là Ngao nối dõi, lập làm Triệu vương.
高祖长女鲁元公主为赵王敖后。	Con gái lớn của Cao tổ là công chúa Lỗ Nguyên làm hoàng hậu của Triệu vương Ngao.
汉七年，高祖从平城过赵，赵王朝夕袒韝蔽， 自上食，礼甚卑，有子婿礼。	Hán Cao tổ năm thứ bảy, Cao tổ từ Bình Thành qua Triệu, Triệu vương sớm tối lộ cả áo trong, tự dâng tiến đồ ăn, lễ tiết rất khiêm hạ, đúng lễ phận con rể.
赵相贯高、赵午等年六十 馀， 故张耳客也。 生平为气，乃怒曰：“吾王孱王也！”	Tướng quốc nước Triệu là bọn Quán Cao, Triệu Ngọ trên sáu mươi tuổi, vốn là khách của Trương Nhĩ, bình sinh khí khái, bèn nổi giận nói: “Vua ta là vua nhu nhược vậy?”
说王曰：“夫天 下豪桀并起，能者先立。今王事高祖甚恭，而高祖无礼，请为王杀 之！”	Nói với Triệu vương: “Hào kiệt thiên hạ đều nổi dậy, ai tài năng thì lập trước. Nay đại vương thờ Cao tổ rất cung kính, mà Cao tổ vô lễ, xin vì đại vương giết ông ta?”
张敖齧其指出血， 曰：“君何言之误！且先人亡国，赖高祖得复国，德流子孙，秋豪皆 高祖力也。原君无复出口。”	Trương Ngao cắn ngón tay bật máu, nói: “Sao ông nói lời trái đạo thế! Vả tiên nhân mất nước, nhờ Cao tổ lấy lại được, đức truyền con cháu, mảy may đều sức của Cao tổ vậy. Xin ông đừng nói nữa.”
贯高、赵午等十馀人皆相谓曰：“乃吾 等非也。吾王长者，不倍德。且吾等义不辱，今怨高祖辱我王，故欲 杀之，何乃汙王为乎？令事 成归王，事败独身坐耳。”	Bọn Quán Cao, Triệu Ngọ hơn chục người đều bảo nhau: “Là bọn ta sai rồi. Vua ta là bậc trưởng giả, không bội phản ân đức đâu. Bọn ta lại vì nghĩa không chịu nhục, nay oán Cao tổ làm nhục vua ta, nên muốn giết đi, há để vẩn đục đến vua ư? Việc thành thì quy công về vua, việc bại thì riêng mình chịu tội.”
汉八年，上从东垣还，过赵，贯高等乃壁人柏人， 要之置厕。	Hán Cao tổ năm thứ tám, hoàng thượng từ Đông Viên về, qua Triệu, bọn Quán Cao bèn lánh tại Bách Nhân, núp bên tường định đánh.
上 过欲宿，心动问曰：“县名为何？”	Hoàng thượng qua đây muốn nghỉ lại, trong lòng máy động, hỏi rằng: “Huyện này gọi là gì?”
曰：“柏人。” “柏人者，迫於 人也！”	Đáp: “Huyện Bách Nhân.” Nói: “Bách Nhân là bị người bức bách.”
不宿而去。	Liền không ngủ lại, ra đi.
汉九年，贯高怨家知其谋，乃上变告之。	Hán Cao tổ năm thứ chín, có nhà oán Quán Cao biết mưu đó, bèn báo việc lên.
於是上皆并逮捕赵王、 贯高等。	Thế là hoàng thượng bắt hết Triệu vương cùng bọn Quán Cao.
十馀人皆争自刭，贯高独怒骂曰：“谁令公为之？今王实无 谋，而并捕王；公等皆死，谁白王不反者！”	Hơn mười người đều tranh nhau cắt cổ tự tử, riêng Quán Cao giận mắng: “Ai khiến các ông làm thế? Nay đại vương thực sự không dự mưu mà vẫn bị bắt; các ông chết cả, ai thanh minh là đại vương không làm phản?”
乃轞车胶致， 与王诣长安。	Bèn vào xe bưng kín, cùng Triệu vương lên Trường An.
治张敖 之罪。	Trị tội bọn Trương Ngao.
上乃诏赵群臣宾客有敢从王皆族。	Hoàng thượng hạ chiếu cho bề tôi, tân khách nước Triệu ai theo Triệu vương bị giết cả họ.
贯高与客孟舒等十馀人，皆 自髡钳，为王家奴，从来。	Quán Cao cùng bọn khách Mạnh Thư trên chục người, đều tự cắt tóc mang xiềng, làm gia nô cho Triệu vương, theo đến kinh đô.
贯高至，对狱，曰：“独吾属为之，王实 不知。”	Quán Cao đến, trả lời ngục quan, rằng: “Riêng tôi làm việc ấy, đại vương thực không biết gì.”
吏治榜笞数千，刺剟， 身无可击者，终不复言。	Pháp quan đánh mấy nghìn gậy, nung sắt áp người, toàn thân không còn chỗ nào để đánh, trước sau không chịu nói khác.
吕后数言张王以鲁 元公主故，不宜有此。	Lã hậu nhiều lần nói Trương vương lấy công chúa Lỗ Nguyên, chắc không làm việc ấy.
上怒曰：“使张敖据天下，岂少而女乎！”	Hoàng thượng giận nói: “Giả sử Trương Ngao chiếm cả thiên hạ, há bỏ qua con gái bà ư?”
不 听。	Không nghe.
廷尉以贯高事辞闻，上曰：“壮士！谁知者，以私问之。”	Đình úy đem việc của Quán Cao tâu lên, Hoàng thượng nói: “[Quả là] tráng sĩ. Ai biết y, hãy dùng tình riêng hỏi xem.”
中大夫泄公曰：“臣之邑子，素知之。此固 赵国立名义不侵为然诺者也。”	Trung đại phu Tiết Công nói: “Thần cùng ấp, vốn biết ông ta. Ông ta vốn lập danh nghĩa ở Triệu, sẽ không nuốt lời vậy.”
仰视 曰：“泄公邪？”	Cao ngẩng lên hỏi: “Tiết công à?”
泄公劳苦如生平驩，与语，问张王果有计谋不。	Tiết công ân cần hỏi nỗi vất vả khốn khổ, vui vẻ như lúc bình sinh, cùng chuyện trò, hỏi Trương vương có mưu kế gì không.
高 曰：“人情宁不各爱其父母妻子乎？今吾三族皆以论死，岂以王易吾 亲哉！顾为王实不反，独吾等为之。”	Cao nói: “Tình người có ai không yêu cha mẹ vợ con mình? Nay tôi ba họ đều bị tội chết, há đem vua đổi lấy người thân chăng? Vốn nhà vua thực sự không làm phản, chỉ bọn tôi làm thôi.”
具道本指所以为者王不知状。	Nói rõ chủ ý của mình, cho là vua không biết việc đó.
於是泄公入，具以报，上乃赦赵王。	Thế rồi Tiết công vào triều, báo lại đầy đủ, hoàng thượng bèn xá tội cho Triệu vương.
上贤贯高为人能立然诺，使泄公具告之，曰：“张王已出。”	Hoàng thượng cho Quán Cao hiền năng thủ tên, sai Tiết công báo mọi việc, rằng: “Trượng vương đã được thả.”
贯高喜曰：“吾王审出乎？”	Quán Cao mừng nói: “Vua tôi được tha rồi ư?”
泄公曰：“然。”	Tiết công đáp: “Phải.”
泄公 曰：“上多足下，故赦足下。”	Tiết công nói: “Hoàng thượng khen túc hạ, cho nên xá tội cho.”
贯高曰：“所以不死一身无馀者，白 张王不反也。今王已出，吾责已塞，死不恨矣。且人臣有篡杀之名， 何面目复事上哉！纵上不杀我，我不愧於心乎？”	Quán Cao nói: “Tôi sở dĩ không chết, vì muốn minh oan Trương vương không làm phản. Nay nhà vua đã được thả, trách nhiệm của tôi hoàn thành, chết không ân hận. Vả lại làm tôi mang tiếng giết vua cướp ngôi, còn mặt mũi nào phụng sự Hoàng thượng. Nếu hoàng thượng không giết, lòng tôi chẳng hổ thẹn ư?”
乃仰绝肮，遂死。	Bèn ngẩng đầu cắt yết hầu, rồi chết.
当此之时，名闻天下。	Đương khi ấy, tên tuổi Quán Cao vang lừng thiên hạ.
张敖已出，以尚鲁元公主故，封为宣平侯。	Trương Ngao được tha, do lấy công chúa Lỗ Nguyên, được phong làm Tuyên Bình hầu.
於是上贤张王诸客，以钳奴从张 王入关，无不为诸侯相、郡守者。	Thế rồi Hoàng thượng khen tân khách của Trương vương hiền năng, những người đeo xiềng làm nô lệ theo Trương Vương vào Quan Trung, không ai không được làm Tướng quốc hay Quận thú ở chư hầu.
及孝惠、高后、文帝、孝景时，张 王客子孙皆得为二千石。	Đến thời Hiếu Huệ đế, Cao hậu, Văn đế, Hiếu Cảnh đế, con cháu các tân khách đều được làm quan hai nghìn thạch.
张敖，高后六年薨。	Trương Ngao mất năm Cao hậu thứ sáu.
子偃为鲁元王。	Con trai Ngao là Yển làm Lỗ Nguyên vương.
高后崩，诸吕无道，大臣诛之，而废鲁元王及 乐昌侯、信诸侯。	Cao hậu băng hà, người họ Lã vô đạo, đại thần giết đi, rồi phế Lỗ Nguyên vương cùng Lạc Xương hầu, Tín Đô hầu.
太史公曰：张耳、陈馀，世传所称贤者；其宾客厮役，莫非天下 俊桀，所居国无不取卿相者。	Thái sử công bàn rằng: Trương Nhĩ, Trần Dư, đời truyền tụng là hiền năng, tân khách người làm của họ, không ai không phải tuấn kiệt trong thiên hạ, không ai không được chọn làm khanh tướng tại các nước họ sống.
及据国争 权，卒相灭亡，何乡者相慕用之诚，後相倍之戾也！	Khi chiếm được nước liền tranh quyền, để rồi cùng bị diệt vong, sao ban đầu ngưỡng mộ tin nhau, sau lại bội phản nhau tàn tệ đến thế!
岂非以势利交 哉？	Há chẳng phải giao du chỉ vì thế và lợi thôi ư?
名誉虽高，宾客虽盛，所 由殆与大伯、延陵季子异矣。 张耳、陈馀，天下豪俊。 忘年羁旅，刎颈相信。 耳围钜 鹿，馀兵不进。	Danh tiếng tuy cao, tân khách tuy nhiều, song cách họ làm lại khác xa Thái Bá và Diên Lăng Quý tử vậy.
乃引兵东北击范阳。	Bèn dẫn quân sang đông bắc đánh Phạm Dương.
武信君从其计，因使蒯通赐范 阳令侯印。	Vũ Tín quân theo kế đó, nhân đấy sai Khoái Thông ban cho Huyện lệnh Phạm Dương ấn phong hầu.
李良已定常山，还报，赵王复使良略太原。	Lý Lương bình định xong Thường Sơn, về báo tin, Triệu vương lại sai Lương chiếm Thái Nguyên.
邯郸不知，竟杀武臣、 邵骚。	Hàm Đan không hay biết, Lương đã giết Vũ Thần, Thiệu Tao.
章邯引兵至邯郸，皆徙其民河内，夷其城郭。	Chương Hàm dẫn quân tới Hàm Đan, dời hết dân đến Hà Nội, san phẳng thành quách.
章邯引 兵解，诸侯军乃敢击围钜鹿秦军，遂虏王离。	Chương Hàm dẫn quân giải vây, quân chư hầu mới dám đánh Tần đang bao vây Cự Lộc, bắt sống Vương Ly.
汉王亦 还定三秦，方围章邯废丘。	Hán vương cũng về bình định Tam Tần, đương bao vây Chương Hàm ở Phế Khưu.
元王弱，兄弟少，乃封张敖他姬子二人：寿 为乐昌侯， 侈为信都侯。	Nguyên vương yếu, anh em ít, bèn phong hai con của người vợ khác Trương Ngao là Thọ làm Lạc Xương hầu và Xỉ làm Tín Đô hầu.
孝文帝即位，复封故鲁元王偃为南宫侯，续张氏。	Hiếu Văn đế lên ngôi, lại phong Lỗ Nguyên vương là Yển làm Nam Cung hầu, nối tiếp họ Trương.
李良进兵击陈馀，陈馀败李良，李良走归章邯。	Lý Lương tiến quân đánh Trần Dư, bị Dư đánh bại, Lương chạy về theo Chương Hàm.
章邯军 钜鹿南棘原，筑甬道属河，饷王离。	Quân Chương Hàm đóng ở Cúc Nguyên phía nam Cự Lộc, đắp đường thông đến Hoàng Hà, tiếp lương cho Vương Ly.
项羽兵数绝章邯甬道，王离军乏食， 项羽悉引兵渡河，遂破章邯。	Quân của Hạng Vũ mấy lần cắt đứt đường hào của Chương Hàm, khiến quân Vương Ly thiếu lương, Hạng Vũ đem hết quân vượt Hoàng Hà, phá được Chương Hàm.
信都更名襄国。	Tín Đô đổi tên là Tương Quốc.
以母吕后女故，吕后封为鲁元王。	Do mẹ Yển là con gái Lã hậu, Lã hậu phong làm Lỗ Nguyên vương.
