舞阳侯樊哙者， 沛人也。 以屠狗为事， 与高祖俱隐。	Phàn Khoái Vũ Dương hầu Phàn Khoái, người huyện Bái, làm nghề thịt chó, ẩn cư cùng Cao tổ.
大臣诛诸 吕、吕须婘属，因诛伉。	Đại thần giết người họ Lã cùng thân thuộc Lã Tu, nhân đó giết Kháng.
六岁，侯家舍人得罪他广，怨之，乃上 书曰：“荒侯市人病不能为人，令其夫人与其弟 乱而生他广，他广实非荒侯子，不当代後。”	Được sáu năm, xá nhân trong nhà đắc tội với Tha Quảng, oán Quảng, dâng thư nói: “Hoang hầu Thị Nhân bị bệnh không được như người thường, khiến phu nhân dâm loạn với em trai sinh ra Tha Quảng, Tha Quảng kỳ thực không phải con Hoang hầu, không xứng được thừa kế.”
陈胜起时，商聚少年东 西略人，得数千。	Khi Trần Thắng nổi lên, Thương tụ tập thanh niên, đôn đáo ép buộc, được mấy nghìn người.
沛公略地至陈留，六月馀， 商以将卒四千人属 沛公於岐。	Bái công chiếm đất đến Trần Lưu, hơn sáu tháng sau, Thương đem quân tướng bốn nghìn người theo Bái Công tại đất Kỳ.
别将攻旬关， 定汉 中。	Riêng cầm quân đánh Tuân Quan, bình định Hán Trung.
破雍将军焉氏， 周类军栒邑， 苏駔军於泥阳。	Phá tướng quân của Ung vương là Yên Chi, phá quân Chu Loại ở Tuân Ấp, phá quân Tô Tảng ở Nê Dương.
项羽既已死，汉王为帝。	Hạng Vũ đã chết, Hán vương lên ngôi hoàng đế.
以右丞相别定上谷， 因攻代，受赵相国印。	Lấy danh nghĩa Hữu thừa tướng bình định Thượng Cốc, nhân đó đánh đất Đại, được nhận ấn Tướng quốc nước Triệu.
以右丞相赵相国别与绛侯等定代、雁门， 得代丞相程纵、守相郭同、将军已下至六百石十九人。	Lấy thân phận Hữu thừa tướng, Tướng quốc nước Triệu, cùng bọn Giáng hầu bình định đất Đại, Nhạn Môn, bắt được Thừa tướng Trình Tung, Thủ tướng Quách Đồng, cùng các tướng quân trở xuống đến quan sáu trăm thạch của Đại gồm mười chín người.
以右丞相击陈豨，残东垣。	Lấy danh Hữu thừa tướng đánh Trần Hy, san phẳng Đông Viên.
及高后崩，大臣欲诛诸吕，吕禄为将军，军於北军，太尉勃不得 入北军，於是乃使人劫郦商，令其子况绐吕禄， 吕禄信之，故与出游，而太尉勃乃得入据北军，遂诛诸吕。	Đến khi Cao hậu băng, đại thần định giết người họ Lã, Lã Lộc làm tướng quân, đóng ở bắc quân, Thái úy Bột không được vào bắc quân, vì thế sai người bắt Lịch Thương, sai con Thương là Huống lừa Lã Lộc, Lã Lộc tin Huống, nên cùng du ngoạn, Thái úy Bột vào khống chế được bắc quân, giết người họ Lã.
是岁商卒，谥为景侯。	Năm ấy Thương chết, thụy là Cảnh hầu.
天下称郦况卖交也。	Thiên hạ cho Lịch Huống bán đứng bạn bè.
得俞侯栾 布自平齐来，乃下赵城，灭赵，王自杀，除国。	Được Du hầu là Loan Bố, sau khi bình định Tề đến giúp, mới hạ được thành Triệu, diệt Triệu, Triệu vương tự sát, phế nước phong.
孝景中二年，寄欲取 平原君为夫人，景帝怒，下寄 吏，有罪，夺侯。	Hiếu Cảnh đế niên hiệu Trung Nguyên năm thứ hai, Ký muốn lấy Bình Nguyên quân làm phu nhân, Cảnh đế giận, giao Ký cho pháp quan xử, có tội, bỏ tước hầu.
缪靖侯卒，子康侯遂成立。	Mâu Tĩnh hầu chết, con là Khang hầu Toại Thành thay.
遂成卒，子怀侯世宗立。	Toại Thành chết, con là Hoài hầu Thế Tông thay.
世宗卒，子侯终根立，为太常，坐法，国除。	Thế Tông chết, con là Chung Căn lên thay, làm Thái thường, nhân phạm pháp, nước phong bị bãi.
高祖时为亭长，重坐伤 人，告故不伤婴，婴 证之。	Bấy giờ Cao tổ làm Đình trưởng, đánh người bị thương tội càng nặng, nói không làm Anh bị thương, Anh làm chứng.
汉王败，不利， 驰去。	Hán vương thua, bất lợi, vội rút lui.
见孝惠、鲁元，载之。	Thấy Hiếu Huệ đế, Lỗ Nguyên, đưa lên xe.
汉王急，马罢，虏在後，常蹶两兒 欲弃之，婴常 收，竟载之，徐行面雍树乃驰。	Hán vương nguy cấp, ngựa không chạy, địch ở ngay sau, định đạp hai con nhỏ vứt bỏ, Anh giữ lại, rồi chở đi, bước thong thả rồi ôm chặt lũ trẻ phóng nhanh.
汉王怒，行欲斩 婴者十馀，卒得脱，而致孝惠、鲁元於丰。	Hán vương giận, trên đường hơn chục lần định chém Anh, cuối cùng thoát được, đưa Hiếu Huệ đế, Lỗ Nguyên đến đất Phong.
汉王既至荥阳，收散兵，复振，赐婴食祈阳。	Hán vương đến Huỳnh Dương, thu tàn quân, khôi phục sĩ khí. Ban Anh thực ấp tại Kỳ Dương.
复常奉车从击项 籍，追至陈，卒定楚，至鲁，益食兹氏。	Lại từng đem chiến xa theo đánh Hạng Tịch, đuổi đến đất Trần, bình định được Sở, đến Lỗ, thêm thực ấp ở Tư Thị.
汉王立为帝。	Hán vương lên ngôi hoàng đế.
明年，从至 陈，取楚王信。	Năm sau, theo đến đất Trần, bắt được Sở vương Tín.
以太仆从击代，至武泉、 云中，益食千户。	Lấy danh nghĩa Thái bộc theo đánh đất Đại, tới Vũ Tuyền, Vân Trung, thêm thực ấp nghìn hộ.
以太仆击陈豨、黥布军，陷陈卻敌，益食千户，定食汝阴六千 九百户，除前所食。	Lấy danh nghĩa Thái bộc theo đánh quân Trần Hy, Kinh Bố, xung trận đẩy lui địch, thêm thực ấp nghìn hộ, định thực ấp sáu nghìn chín trăm hộ ở Nhữ Âm, bỏ đất phong cũ.
孝惠帝及 高后德婴之脱孝惠、鲁元於下邑之间也，乃赐婴县 北第第一，曰“近我”，以尊异之。	Hiếu Huệ đế cùng Cao hậu cảm ân đức Anh vì cứu Hiếu Huệ đế và Lỗ Nguyên trên đường Hạ Ấp, bèn tặng Anh ngôi nhà tốt nhất phía bắc cung điện, tên là “Cận ngã” (gần ta), để tỏ ý tôn trọng đặc biệt.
子夷侯灶立，七年 卒。	Con là Di hầu Táo lên thay, bảy năm thì chết.
子侯颇尚平阳公主。	Con Tứ là Phả lấy công chúa Bình Dương.
立十九岁，元鼎 二年，坐与父御婢奸罪，自杀，国除。	Kế vị được mười chín năm, đến năm Nguyên Đỉnh thứ hai, thông gian với tỷ nữ của cha, tự sát, nước phong bị phế.
沛公立为汉王，拜婴为郎中，从入汉中，十月，拜为中谒者。	Bái công được lập làm Hán vương, phong Anh làm Lang trung, theo vào Hán Trung, tháng Mười, phong làm Trung yết giả.
楚骑来众，汉王乃择军中可为骑将者，皆推故秦 骑士重泉人 李必、骆甲 习骑兵，今为校尉，可为 骑将。	Quân kỵ nước Sở đến phía đông, Hán vương bèn chọn người làm tướng kỵ binh trong quân, thảy cho kỵ sĩ Tần trước đây là Lý Tất và Lạc Giáp người Trùng Tuyền đều quen kỵ binh, đang làm Hiệu úy, có thể làm tướng quân kỵ.
汉王欲拜之，必、甲曰：“臣故秦民，恐军不信臣，臣原得大 王左右善骑者傅之。”	Hán vương muốn phong cho, Tất, Giáp nói: “Chúng thần vốn là dân Tần, sợ quân lính không tin, xin đại vương lấy người thân cận giỏi kỵ binh để chúng thần làm trợ thủ.”
灌婴虽 少，然数力战，乃拜灌婴为中大夫，令李必、骆甲为左右校尉，将郎 中骑兵击楚骑於荥阳东，大破之。	Quán Anh tuy trẻ, nhưng nhiều lần dốc sức chiến đấu, bèn phong Quán Anh làm Trung đại phu, lệnh Lý Tất, Lạc Giáp làm Tả hữu hiệu úy, đem Lang trung kỵ binh đánh quân kỵ nước Sở ở đông Huỳnh Dương, cả phá được.
受诏别击楚军後，绝其饷道，起阳 武至襄邑。	Nhận chiếu một mình đánh phía sau quân Sở, cắt đường tải lương, từ Dương Vũ đến Tương Ấp.
以骑渡 河南，送汉王到雒阳，使北迎相国韩信军於邯郸。	Đem quân kỵ vượt sang phía nam Hoàng Hà, đưa Hán vương đến Lạc Dương, Hán vương sai lên bắc đón quân của Tướng quốc Hàn Tín ở chỗ Chương Hàm.
以御史大夫受诏将郎中骑兵东属相国 韩信，击破齐军於历下，所将卒虏车骑将军华毋伤及将吏四十六人。	Lấy thân phận Ngự sử đại phu nhận chiếu dẫn Lang trung kỵ binh sang phía đông chịu sự chỉ huy của Tướng quốc Hàn Tín, đánh phá quân Tề dưới thành Lịch, tướng sĩ bắt được Xa kỵ tướng quân Hoa Vô Thương cùng bốn mươi sáu tướng lại.
追齐相田横至嬴、博，破其骑，所将卒斩 骑将一人，生得骑将四人。	Truy đuổi Tướng quốc Điền Hoành của Tề đến đất Doanh, đất Bác, phá được kỵ binh, tướng sĩ chém được một viên Kỵ tướng, bắt sống bốn viên Kỵ tướng khác.
攻下嬴、博，破齐将军田吸於千乘，所将 卒斩吸。	Đánh hạ đất Doanh, đất Bác, phá tướng quân Điền Hấp nước Tề ở Thiên Thừa, tướng sĩ chém được Hấp.
东从韩信攻龙且、留公旋於高密， 卒斩龙且，生 得右司马、连尹各一人，楼烦将十人，身生得亚将周兰。	Sang đông theo Hàn Tín đánh Long Thư, Lưu Công Tuyền ở Cao Mật, lính chém được Long Thư, bắt sống một viên Hữu tư mã, một viên Liên doãn cùng mười viên tướng Lâu Phiền, đích thân bắt sống Á tướng Chu Lan.
齐地已定，韩信自立为齐王，使婴别将击楚将公杲於鲁北，破 之。	Đất Tề đã bình định, Hàn Tín tự lập làm Tề vương, sai Anh một mình đánh tướng nước Sở là Công Cảo ở bắc nước Lỗ, phá được.
度淮，尽降其城邑，至广陵。	Vượt sông Hoài, hàng phục hết các thành ấp, kéo đến Quảng Lăng.
攻苦、谯，复得亚将周 兰。	Tấn công đất Hộ và Tiêu, bắt được Á tướng Chu Lan.
与汉王会颐乡。	Cùng Hán vương hội quân ở Di Hương.
项籍败垓下去也，婴以御史大夫受诏将车骑别追项籍至东城， 之。	Hạng Tịch thua ở Cai Hạ, rút chạy, Anh lấy danh nghĩa Ngự sử đại phu nhận chiếu cầm quân xa kỵ đuổi Hạng Tịch đến Đông Thành, phá được.
降左右司马各一人，卒万二千人，尽得其军将吏。	Hàng phục Tả hữu tư mã mỗi chức một viên, lính một vạn hai nghìn, bắt hết tướng lại trong quân Sở.
汉王立为皇帝，赐益婴邑三千户。	Hán vương lên ngôi hoàng đế, ban thêm cho Anh ấp phong ba nghìn hộ.
其秋，以车骑将军从击破燕王 臧荼。	Mùa thu năm ấy, Anh với danh nghĩa Xa kỵ tướng quân theo đánh phá Yên vương Tang Đồ.
明年，从至陈，取楚王信。	Năm sau, theo đến đất Trần, bắt Sở vương Tín.
还，剖符，世世勿绝，食颍阴二千 五百户，号曰颍阴侯。	Rút về, ban phù tiết, đời đời nối tước, hưởng thực ấp hai nghìn năm trăm hộ tại Dĩnh Âm, hiệu là Dĩnh Âm hầu.
以车骑将军从击反韩王信於代，至马邑，受诏别降楼烦以北六 县，斩代左相，破胡骑於武泉北。	Lấy thân phận Xa kỵ tướng quân theo đánh Hàn vương Tín làm phản ở đất Đại, đến Mã Ấp, nhận chiếu một mình đi hàng phục sáu huyện ở bắc Lâu Phiền, chém Tả tướng nước Đại, phá kỵ binh người Hồ ở bắc Vũ Tuyền.
受诏并将燕、赵、齐、梁、楚车骑，击破胡骑於硰石。	Nhận chiếu cùng quân xa kỵ các nước Yên, Triệu, Tề, Lương, Sở, đánh phá kỵ binh người Hồ tại Sa Thạch.
婴身生得左司马一 人，所将卒斩其小将十人，追北至淮上。	Anh đích thân bắt sống một viên Tả tư mã, quân tướng chém được mười viên tiểu tướng, truy đuổi lên phía bắc đến phía trên sông Hoài.
布已破， 高帝归，定令婴食颖阴五千户，除前所食邑。	Bố đã bị phá, Cao đế trở về, định thực ấp năm nghìn hộ cho Anh ở Dĩnh Âm, bỏ ấp phong trước đây.
太后崩，吕 禄等以赵王自置为将军，军长安，为乱。	Thái hậu băng, bọn Lã Lộc lấy danh nghĩa Triệu vương tự lập làm tướng quân, đóng ở Trường An, làm loạn.
齐哀王闻之，举兵西，且入 诛不当为王者。	Tề Ai vương nghe tin, cất quân sang phía tây, chuẩn bị vào giết kẻ tự phong vương.
婴 行至荥阳，乃与绛侯等谋，因屯兵荥阳，风齐王以诛吕氏事， 齐兵止不前。	Anh đi đến Huỳnh Dương, bèn mưu cùng bọn Giáng hầu, nhân đó đóng đồn binh ở Huỳnh Dương, phao tin cho Tề vương việc giết họ Lã, quân Tề dừng không tiến nữa.
绛侯等既诛诸吕，齐王罢兵归，婴亦罢兵自 荥阳归，与绛侯、陈平共立代王为孝文皇帝。	Bọn Giáng hầu đã giết người họ Lã, Tề vương bãi binh về, Anh cũng bãi binh từ Huỳnh Dương trở về, cùng Giáng hầu, Trần Bình lập Đại vương làm Hiếu Văn hoàng đế.
孝文皇帝於是益封婴三 千户，赐黄金千斤，拜为太尉。	Hiếu Văn hoàng đế lại phong thêm cho Anh ba nghìn hộ, ban nghìn cân vàng, thăng làm Thái úy.
是岁，匈奴大入 北地、上郡，令丞相婴将骑八万五千往击匈奴。	Năm ấy, đại quân Hung Nô vào Bắc Địa, Thượng Quận, phái Thừa tướng Anh dẫn tám vạn năm nghìn quân kỵ đi đánh Hung Nô.
匈奴去，济北王反， 诏乃罢婴之兵。	Hung Nô rút lui, Tế Bắc vương làm phản, hạ chiếu cho Anh bãi binh.
後岁馀，婴以丞相卒，谥曰懿侯。	Hơn năm sau, Thừa tướng Anh chết, thụy là Ý hầu.
从高帝攻 反燕王臧荼，虏荼，定燕地。	Yên vương Tang Đồ làm phản, Khoái theo Cao để đến đánh, bắt sống Đồ, bình định đất Yên.
其後燕王卢绾反，哙以相国击卢绾， 破其丞相抵蓟南，定燕 地，凡县十八，乡邑五十一。	Về sau, Yên vương Lư Oản làm phản, Khoái lấy danh nghĩa Tướng quốc đánh Lư Oản, phá được Thừa tướng Để của Oản ở nam đất Kế, bình định mười tám huyện, năm mươi mốt hương ấp đất Yên.
哙以吕后女弟吕须为妇，生子伉，故其比诸将最亲。	Khoái lấy em gái Lã hậu là Lã Tu làm vợ, sinh con là Kháng, cho nên so với các tướng, Khoái là người thân thiết với hoàng thất nhất.
先黥布反时，高祖尝病甚，恶见人，卧禁中，诏户者无得入群 臣。	Trước đây, khi Kình Bố làm phản, Cao tổ từng ốm nặng, ghét gặp người khác, nằm trong cung cấm, hạ chiếu quân hộ vệ không cho bề tôi vào.
其後卢绾反，高帝使哙以相国击燕。	Về sau Lư Oản làm phản, Cao đế sai Khoái lấy danh nghĩa Tướng quốc đánh Yên.
陈平畏吕 后，执哙诣长安。	Trần Bình sợ Lã hậu, bắt Khoái đem về Trường An.
伉代侯九岁，高后崩。	Kháng thay tước hầu được chín năm, Cao hậu băng.
子他广代侯。	Con là Tha Quảng thay tước hầu.
孝景中六年， 他广夺侯为庶人，国除。	Hiếu Cảnh đế niên hiệu Trung Nguyên năm thứ sáu, Tha Quảng bị truất tước hầu phế thành thứ dân, nước phong cũng mất.
以陇西都尉 从击项籍军五月，出钜野，与锺离眛战，疾斗，受梁相国印，益食邑 四千户。	Với danh nghĩa Đô úy Lũng Tây theo đánh quân Hạng Tịch trong năm tháng, ra Cự Dã, giao chiến với Chung Ly Muội, đánh gấp, nhận ấn Tướng quốc nước Lương, thêm thực ấp bốn nghìn hộ.
商事孝惠、高后时，商病，不治。	Khi Thương thờ Hiếu Huệ đế, Cao hậu, Thương bị bệnh, không xử lý việc.
其子寄，字况，与吕禄 善。	Con Thương là Kỷ, tự là Huống, thân với Lã Lộc.
子寄代侯。	Con là Ký được thay tước hầu.
景帝乃以商他子坚封为缪侯， 续郦 氏後。	Cảnh đế bèn lấy con khác của Thương là Kiên phong làm Mục hầu, nối dòng họ Lịch.
婴已而试补县吏，与高祖相爱。	Anh được bổ làm huyện lại, thân thiết với Cao tổ.
後狱覆， 婴坐高祖系岁馀，掠笞数百，终 以是脱高祖。	Sau khi thẩm án, Anh bị Cao tổ làm liên lụy ngồi tù hơn năm, bị đánh mấy trăm roi, Cao tổ nhờ thế thoát tội.
其秋，燕王臧荼反，婴以太仆从击荼。	Mùa thu năm ấy, Yên vương Tang Đồ làm phản, Anh lấy danh nghĩa Thái bộc theo đánh Đồ.
孝惠帝崩，以太仆事高后。	Hiếu Huệ đế băng hà, Anh lấy thân phận Thái bộc thờ Cao hậu.
高后 崩，代王之来，婴以太仆与东牟侯入清宫，废少帝，以天子法驾迎代 王代邸，与大臣共立为孝文皇帝，复为太仆。	Cao hậu băng, Đại vương đến, Anh lấy thân phận Thái bộc cùng Đông Mâu hầu vào thanh trừng trong cung, phế Thiếu đế, đem xe thiên tử đón Đại vương là Đại, cùng đại thần lập làm Hiếu Văn hoàng đế, lại làm Thái bộc.
婴自破布归，高帝崩，婴以列侯事孝惠帝及吕太后。	Anh sau khi phá Kình Bố về, Cao đế băng, lấy thân phận liệt hầu thờ Hiếu Huệ đế cùng Lã thái hậu.
三岁，绛侯勃免相就国，婴为丞相，罢太尉官。	Ba năm sau, Giáng hầu Bột bị bãi chức Thừa tướng về nước phong, Anh làm Thừa tướng, thôi chức Thái úy.
元光三年，天子封 灌婴孙贤为临汝侯，续灌氏後，八岁，坐行赇有罪，国除。	Niên hiệu Nguyên Quang năm thứ ba, thiên tử phong cháu nội Quán Anh là Hiền làm Lâm Nhữ hầu, nối tước họ Quán. Được tám năm, bị mắc tội hối lộ, phế nước phong.
太史公曰：吾適丰沛，问其遗老，观故萧、曹、樊哙、滕公之 家，及其素，异哉所闻！	Thái sử công bàn rằng: Ta đến huyện Phong, huyện Bái, hỏi các phụ lão ở đó, xem nhà cũ của Tiểu Hà, Tào Tham, Phàn Khoái, Đằng công, công việc họ làm, khác hẳn điều được nghe!
高帝使使厚遗阏氏，冒顿开围一角。 高帝出欲驰，婴固徐行， 弩皆持满外向，卒得脱。	Cao đế sai sứ tặng hậu lễ cho Yên chi, Mạo Đốn giải vây một góc, Cao đế ra khỏi, muốn chạy nhanh, Anh cố ý đi chậm, cung nỏ đều giơ lên nhắm ra ngoài, cuối cùng thoát được.
方其鼓刀屠狗卖缯之时，岂自知附骥之尾， 垂名汉廷，德流子孙哉？ 余与他广通，为言高祖功臣之兴时若此云。 圣贤影响，云蒸龙变。 屠狗贩缯，攻城野战。	Lúc họ thịt chó, bán tơ, há có biết sau sẽ theo đuổi ngựa ký, lưu danh với nhà Hán, đức truyền con cháu ư?
