魏其侯窦婴者，孝文后从兄子也。	Ngụy Kỳ hầu Đậu Anh là con trai anh họ bên ngoại của Hiếu Văn đế.
馀皆莫敢对。	Còn lại đều không ai dám nói.
即罢起入，上食太后。	Liền bãi triều, vào cung dâng đồ ăn cho Thái hậu.
太后亦已使人候伺，具以告太后。	Thái hậu cũng đã sai người nghe ngóng, về nói lại mọi chuyện.
太后 怒，不食，曰：“今我在也，而人皆藉吾弟， 令我百岁後，皆鱼肉之矣。且帝宁能为石人邪！ 此特帝在，即录录，设百 岁後，是属宁有可信者乎？”	Thái hậu giận, không ăn, nói: “Nay ta còn sống mà người ta cùng chà đạp anh em ta, sau khi ta trăm tuổi, ắt đều coi ông ta như cá như thịt. Hơn nữa lẽ nào Hoàng đế lại là phỗng đá! Nay Hoàng đế còn đây mà họ a dua phụ họa nhau, giả sử sau khi Hoàng đế trăm tuổi, những người ấy còn có ai đáng tin cậy không?”
上谢曰：“俱宗 室外家，故廷辩之。不然，此一 狱吏所决耳。”	Hoàng thượng đáp: “Họ đều là họ ngoại của hoàng tộc, nên triều đình mới bàn nghị, nếu không, việc này chỉ cần viên ngục lại cũng đủ phán quyết rồi.”
是时郎中令石建为上别言两人事。	Bấy giờ tang trung lệnh là Thạch Kiến nói riêng về từng người với Hoàng thượng.
韩御史良久谓丞相曰：“君何不自喜？ 夫魏其毁君，君当免冠解印绶归，曰‘臣以肺腑幸得待 罪，固非其任，魏其言皆是’。如此，上必多君有让，不废君。魏其 必内愧，杜门齰舌自杀。今人 毁君，君亦毁人，譬如贾竖女子争言，何其无大体也！”	Hồi lâu Hàn ngự sử nói với Thừa tướng: “Sao ngài không cảm thấy vui? Bởi lẽ Ngụy Kỳ hủy báng ngài, ngài nên bỏ mũ, treo ấn mà về, nói: 'Thần là tâm phúc, may được đợi tội, vốn không xứng với chức vị, Ngụy Kỳ nói đều đúng cả.' Như thế, Hoàng thượng ắt khen là biết nhường nhịn, không phế truất ngài. Ngụy Kỳ hẳn trong lòng tự thấy hổ thẹn, đóng cửa cắn lưỡi tự sát. Nay người ta hủy báng, ngài cũng hủy báng lại, ví như đám đàn bà con trẻ buôn bán tranh cãi nhau, sao mà không biết đại thể đến thế?”
武安谢罪 曰：“争时急，不知出此。”	Vũ An tạ lỗi, nói: “Lúc tranh luận gấp quá, không nghĩ ra cách ấy.”
於是上使御史簿责魏其所言灌夫，颇不雠， 欺谩。 劾系都司 空。	Thế rồi Hoàng thượng sai Ngự sử dựa vào sổ sách xét những lời Ngụy Kỳ nói về Quán Phu, nhiều chỗ khác nhau, nên bị cho là lừa dối nhà vua, bị đàn hặc rồi trói giam trong ngục Đô tư không.
孝景时，魏其常受遗诏，曰“事有不便，以便宜论上”。	Thời Hiếu Cảnh đế, Ngụy Kỳ từng nhận di chiếu, nói: “Có việc gì bất tiện, tùy nghi tâu lên Hoàng thượng.”
及系，灌夫罪至族，事日急，诸公莫敢复明言於上。	Đến khi bị giam, Quán Phu phạm tội đến mức bị giết cả họ, việc ngày càng cấp bách, các quan không ai dám nói lại cho rõ với Hoàng thượng.
魏其乃使昆弟子 上书言之，幸得复召见。	Ngụy Kỳ bèn sai con em dâng thư nói về việc nhận di chiếu, mong được triệu kiến lần nữa.
诏书独藏魏其家，家丞封。	Chiếu thư được cất ở nhà Ngụy Kỳ, gia thần đóng ấn niêm phong.
五年十 月， 悉论灌夫及 家属。	Tháng Mười năm [Nguyên Quang] thứ năm, luận tội Quán Phu và gia thuộc.
魏其良久乃闻，闻即恚，病痱， 不食欲死。	Mãi sau Ngụy Kỳ mới biết chuyện, nghe xong cả giận, bị bệnh phong, không ăn định chết.
或闻上无意杀魏其，魏其复食，治病，议定不死矣。	Có người nghe nói Hoàng thượng không có ý giết Ngụy Kỳ, Ngụy Kỳ ăn trở lại, khỏi bệnh, quyết định không xử Ngụy Kỳ tội chết.
乃有蜚语为恶言闻上，故以十 二月晦 论弃市渭城。	Lại có lời đồn xấu đến tai vua, nên đến cuối tháng Mười hai, Ngụy Kỳ bị luận tội chém ở chợ tại Vị Thành.
其春，武安侯病， 专呼服谢罪。	Mùa xuân, Vũ An hầu ốm, chỉ gào lớn xin tạ tội.
使巫视鬼者视之，见魏其、灌夫共守，欲杀之。	Bèn sai đồng cốt đến xem quỷ thế nào, thầy đồng thấy Ngụy Kỳ và Quán Phu đang giằng giữ nhau, muốn giết Vũ An hầu.
元朔三年，武安侯坐衣襜褕 入宫，不敬。	Năm Nguyên Sóc thứ ba, Vũ An hầu mặc quần áo ngắn vào cung, mắc tội bất kính.
淮南王安谋反觉，治。	Hoài Nam vương là An mưu phản, bị phát giác, trị tội.
王前朝，武安 侯为太尉，时迎王至霸上，谓王曰：“上未有太子，大王最贤，高祖 孙，即宫车晏驾，非大王立当谁哉！”	Hoài Nam vương lần trước vào triều kiến, Vũ An hầu làm Thái úy, khi đến Bá Thượng nghinh đón Hoài Nam vương có nói với Hoài Nam vương rằng: “Hoàng thượng chưa có Thái tử, đại vương là hiền năng nhất, là cháu nội của Cao tổ, nếu Hoàng thượng bằng hà, không phải đại vương lên ngôi thì còn ai nữa!”
淮南王大喜，厚遗金财物。	Hoài Nam vương cả mừng, tặng Vũ An hầu rất nhiều vàng và lễ vật.
上 自魏其时不直武安，特为太后故耳。	Hoàng thượng từ việc của Ngụy Kỳ không cho Vũ An là phải, chỉ vì Thái hậu mà thôi.
及闻淮南王金事，上曰：“使武安 侯在者，族矣。”	Đến khi nghe việc Hoài Nam vương đút lót vàng, Hoàng thượng nói: “Giả sử Vũ An hầu còn sống, sẽ giết cả họ.”
太史公曰：魏其、武安皆以外戚重，灌夫用一时决筴而名显。	Thái sử công bàn rằng: Ngụy Kỳ, Vũ An đều dựa vào thân phận ngoại thích, được quyền cao chức trọng, Quán Phu dùng quyết sách nhất thời mà nổi danh.
魏 其之举以吴楚，武安之贵在日月之际。	Ngụy Kỳ được cất nhắc từ loạn Ngô, Sở, Vũ An hiển quý nhờ khoảng mặt trời mặt trăng.
然魏其诚不知时变，灌夫无术 而不逊，两人相翼，乃成祸乱。	Nhưng Ngụy Kỳ thực không biết biến đổi theo thời, Quán Phu vô học lại không biết nhún nhường, hai người che chắn cho nhau, rồi thành tai họa.
迁怒及人，命亦不延。	Giận lây sang người, mệnh mình cũng không được lâu.
魏其、武安俱好儒术，推毂赵绾为御史大夫， 王臧为郎中令。	Ngụy Kỳ, Vũ An đều thích Nho thuật, tiến cử Triệu Oản làm Ngự sử đại phu, Vương Tang làm Lang trung lệnh.
武安由此滋骄，治宅甲诸第。	Vũ An từ đấy càng thêm kiêu căng, sửa nhà to đẹp nhất các phủ đệ.
夫创少瘳，又复请将军曰：“吾 益知吴壁中曲折，请复往。”	Vết thương của Phu dần lành miệng, lại thỉnh cầu với tướng quân rằng: “Tôi rất thông thạo các chỗ quanh co trong phòng lũy quân Ngô, xin cho đi lần nữa.”
灌夫家居虽富，然失势，卿相侍中宾客益衰。	Quán Phu ở nhà, tuy giàu có nhưng thất thế, các khanh tướng, Thị trung, tân khách ngày càng thưa dần.
及魏其侯失势，亦 欲倚灌夫引绳批根生平慕之後弃之者。	Đến khi Ngụy Kỳ hầu thất thế, cũng muốn dựa vào Quán Phu, coi đó như khuôn phép để phê phán, khiển trách những người trước ngưỡng mộ mà sau quay lưng với mình.
武安许诺。	Vũ An đồng ý.
魏其与其夫人益市牛酒，夜洒埽，早帐 具至旦。	Ngụy Kỳ hầu cùng phu nhân mua nhiều thịt bò và rượu, ban đêm vẩy nước quét dọn, chuẩn bị yến tiệc từ tờ mờ đến tận sáng.
丞相特前戏许灌夫，殊无意往。	Thừa tướng bữa trước chỉ đùa Quán Phu, kỳ thực không có ý đi.
及夫至门，丞相尚卧。	Khi Phu tới cổng, Thừa tướng hãy còn nằm trên giường.
武安鄂谢曰：“吾昨日 醉，忽忘与仲孺言。”	Vũ An kinh ngạc tạ lỗi rằng: “Hôm qua ta say, chợt quên lời đã nói với Trọng Nhụ.”
乃驾往，又徐行，灌夫愈益怒。	Bèn lên xe đến, nhưng lại đi thong thả, Quán Phu càng thêm giận.
灌夫闻，怒，骂籍福。	Quán Phu nghe chuyện, giận, mắng Tịch Phúc.
饮酒酣，武安起为寿， 坐皆避席伏。	Uống rượu ngà ngà, Vũ An dậy chúc thọ, mọi người ngồi đó đều rời chiếu lạy.
已魏其侯为寿，独故人避席耳，馀半膝席。	Sau Ngụy Kỳ chúc rượu, chỉ có bạn cũ rời chiếu lạy, quá nửa quỳ ở chiếu.
灌夫不 悦。 起行酒，至武安，武安膝席曰：“不能满觞。”	Quán Phu không vui, đứng dậy mời rượu, đến Vũ An, Vũ An quỳ ở chiếu nói: “Không thể uống chén đầy được.”
行酒次至临汝侯， 临汝侯方与程不识耳语，又不避席。	Mời rượu theo thứ tự, đến Lâm Nhữ hầu, Lâm Nhữ hầu đang ghé tai nói chuyện với Trình Bất Thức, lại không rời khỏi chiếu.
夫无所发怒，乃骂临 汝侯曰：“生平毁程不识不直一钱，今日长者为寿，乃效女兒呫嗫耳 语！”	Phu không có chỗ trút giận, bèn mắng Lâm Nhữ hầu rằng: “Ngày thường chê Trình Bất Thức không đáng một xu, nay trưởng giả chúc rượu, lại bắt chước đàn bà con gái thầm thì vào tai nhau thế à?”
武安谓灌夫曰：“程李俱东西宫卫尉， 今众辱程将军，仲孺独不为李将 军地乎？”	Vũ An nói với Quán Phu: “Trình tướng quân, Lý tướng quân đều là Vệ úy ở đông cung và tây cung, nay sỉ nhục Trình tướng quân trước mặt mọi người, lẽ nào Trọng Nhụ không giữ thể diện cho Lý tướng quân ư?”
武安遂怒 曰：“此吾骄灌夫罪。”	Vũ An liền nổi giận nói: “Đây là tội ta để Quán Phu kiêu căng.”
乃令骑留灌夫。	Bèn sai kỵ sĩ giữ Quán Phu lại.
灌夫欲出不得。	Quán Phu muốn đi cũng không được.
武安吏皆为耳目，诸灌氏皆亡 匿，夫系，遂不得告言武安阴事。	Thuộc lại của Vũ An đều là tai mắt của ông ta, người họ Quán đều phải trốn tránh, Phu bị trói, không sao tố cáo những bí mật của Vũ An được.
魏其锐身为救灌夫。	Ngụy Kỳ đích thân ra mặt cứu Quán Phu.
武安又盛毁灌夫所为横恣，罪逆不道。	Vũ An lại ra sức bới móc việc Quán Phu hoành hành ngang ngược, đại nghịch bất đạo.
上怒内史 曰：“公平生数言魏其、武安长短，今日廷论，局趣效辕下驹， 吾并斩若属 矣。”	Hoàng thượng giận Nội sử, nói: “Ông thường ngày nhiều lần nói chỗ hay chỗ dở của Ngụy Kỳ và Vũ An, nay bàn luận giữa triều đình, lại như con ngựa non ở càng xe, ta sẽ chém luôn các ngươi.”
武安已罢朝，出止车门，召韩御史大夫载，怒曰：“与长孺共一 老秃翁，何为首鼠两端？”	Vũ An đã dự chầu xong, ra ngoài, dừng xe ngoài cổng cung, gọi Hàn ngự sử đại phu lên ngồi cùng xe, giận nói: “Cùng Trường Nhụ đối phó một lão trọc già, sao phải do dự nước đôi thế?”
书奏上，而案尚书大行无遗诏。	Thư tâu lên Hoàng thượng, nhưng xem kỹ trong thư không có di chiếu.
武安负贵而好权，杯酒责望，陷彼两 贤。	Vũ An cậy địa vị hiển quý mà thích quyền lực, chỉ vì chén rượu mà trách oán, hãm hại hai người hiền năng.
众庶不载，竟被恶言。	Mọi người không giúp đỡ, rốt cuộc mang tiếng ác.
田园极膏腴，而市买郡县器物相属於道。	Ruộng vườn cực màu mỡ, xe đi mua bán vật dụng ở các quận huyện cũng nối nhau trên đường.
前堂罗锺鼓，立曲 旃； 後房妇女以百数。	Trước nhà bày chuông trống, dựng cờ cán cong dài, có hàng trăm phòng phía sau dành cho hầu thiếp.
颍川兒乃歌之曰：“颍水 清，灌氏宁；颍水浊，灌氏族。”	Trẻ con ở Dĩnh Xuyên hát rằng: “Dĩnh Thủy trong xanh, họ Quán yên lành; Dĩnh Thủy vẩn đục, họ Quán diệt tộc.”
灌夫曰：“今日斩头陷 匈，何知程李 乎！”	Quán Phu nói: “Nay chém đầu mổ bụng còn không quan tâm, đâu cần biết Trình với Lý nào!”
遂按其前事，遣吏分曹逐捕诸 灌氏支属，皆得弃市罪。	Rồi tra xét những việc trước đây, sai tiểu lại chia nhau truy bắt thân thuộc họ Quán, đều kết tội chém đầu thị chúng.
乃劾魏其矫先帝诏，罪当弃市。	Bèn khép Ngụy Kỳ vào tội giả di chiếu tiên đế, tội đáng chém đầu ngoài chợ.
呜呼哀哉！	Hỡi ơi thương thay!
