郑桓公友者，周厉王少子而宣王庶弟也。	Trịnh Hoàn công tên là Hữu, là con út của Chu Lệ vương, em dòng thứ của [Chu] Tuyên vương.
庄王曰：“所为伐，伐 不服也。今已服，尚何求乎？”	Trang vương nói: “Sở dĩ xuất quân thảo phạt là thảo phạt kẻ không thần phục. Nay họ đã phục, còn mong gì nữa?”
晋闻楚之伐郑，发兵救郑。	Tấn nghe tin Sở đánh Trịnh, phát binh cứu Trịnh.
晋将率或欲渡，或欲还，卒渡 河。	Tướng Tấn có người muốn vượt sông, có người muốn về, cuối cùng vượt Hoàng Hà.
庄王闻，还击晋。	Trang vương nghe tin, quay lại đánh Tấn.
郑反助楚，大破晋军於河上。	Trịnh trở mặt giúp Sở, đại phá quân Tấn ở trên sông Hoàng Hà.
十年，晋来伐 郑，以其反晋而亲楚也。	Năm thứ mười, Tấn sang đánh Trịnh vì Trịnh phản lại Tấn để kết thân với Sở.
十一年，楚庄王伐宋，宋告急于晋。	Năm thứ mười một, Sở Trang vương đánh nước Tống, Tống cấp báo với nước Tấn.
晋景公欲发兵救宋，伯宗谏 晋君曰：“天方开楚，未可伐也。”	Tấn Cảnh công định phát binh cứu Tống, Bá Tông can Tấn quân rằng: “Trời đang khai mở cho Sở, chưa thể đánh được.”
过郑，郑与楚亲，乃执解扬而献楚。	Qua nước Trịnh, Trịnh và Sở kết thân, Trịnh bèn bắt Giải Dương dâng cho Sở.
遂负楚约而致其晋君命曰：“晋方悉国兵以救宋， 宋虽急，慎毋降楚，晋兵今至矣！”	Giải Dương bèn phụ ước với Sở mà theo lệnh của Tấn quân rằng: “Tấn đang huy động hết quân trong nước để cứu nước Tống, Tống dẫu nguy cấp cũng thận trọng chớ hàng Sở, quân Tấn hôm nay đến nơi rồi!”
楚庄王大怒，将杀之。	Sở Trang vương cả giận, định giết Giải Dương.
解扬 曰：“君能制命为义，臣能承命为信。受吾君命以出，有死无 陨。”	Giải Dương nói: “Nhà vua hạ lệnh phải theo nghĩa, bề tôi thừa lệnh phải thủ tín. Nhận mệnh vua tôi ra đi, có chết cũng không từ bỏ.”
庄王曰：“若之许我，已而背之， 其信安在？”	Trang vương hỏi: “Ngươi đã đồng ý với ta, rồi lại phản bội, thế thì thủ tín ở đâu?”
解扬曰：“所以许王，欲以成吾君命也。”	Giải Dương đáp: “Sở dĩ đồng ý với nhà vua là muốn hoàn thành quân mệnh thôi.”
将死，顾谓 楚军曰：“为人臣无忘尽忠得死者！”	Sắp chết, quay lại nói với quân Sở: “Làm bề tôi đừng quên tận trung dẫu là phải chết!”
楚王诸弟皆谏王赦之，於是赦 解扬使归。	Các em của Sở vương đều can Sở vương, xin tha cho Giải Dương, thế là Sở vương xá tội của Giải Dương rồi cho về.
晋爵之为上卿。	Nước Tấn ban tước [cho Giải Dương] đến bậc Thượng khanh.
十八年，襄公卒，子悼公晞 立。	Năm thứ mười tám, Tương công chết, con là Điệu công Bí lên thay.
悼公元年，鄦公恶郑於 楚，悼公使弟睔於楚自讼。	Điệu công năm thứ nhất, Hứa Công nói xấu Trịnh với Sở, Điệu công sai em trai là Cổn sang Sở tự biện bác.
讼不直，楚囚睔。	Biện bác quanh co, Sở bỏ tù Cổn.
於是郑悼 公来与晋平，遂亲。	Thế là Trịnh Điệu công sang nghị hòa với Tấn, rồi kết thân.
睔私於楚子反，子反言归睔於郑。	Cổn có quan hệ riêng với Tử Phản nước Sở, Tử Phản nói cho Cổn về Trịnh.
二年，楚伐郑，晋兵来救。	Năm thứ hai, Sở đánh Trịnh, quân Tấn đến cứu.
是岁，悼公卒，立其弟睔，是为成 公。	Năm này, Điệu công chết, lập em là Cổn lên thay, đó là Thành công.
成公三年，楚共王曰“郑成公孤有德焉”，使人来与盟。	Thành công năm thứ ba, Sở Cung vương nói: “Cô đây có ân đức với Trịnh Thành công”, sai người sang cùng kết minh.
秋，成公朝晋，晋曰“郑私平於楚”，执之。	Mùa thu, Thành công vào triều kiến nước Tấn, Tấn nói: “Trịnh ngầm hòa hiếu với Sở”, bắt Thành công.
四 年春，郑患晋围，公子如乃立成公庶兄繻 为君。 其四月，晋闻郑立君，乃归成公。	Mùa xuân năm thứ tư, Trịnh sợ Tấn bao vây, công tử Như bèn lập anh ngành thứ của Thành công là Tu làm vua. Tháng Tư năm đó, Tấn nghe tin Trịnh lập vua mới, bèn thả Thành công về.
郑人闻成 公归，亦杀君繻，迎成公。	Người Trịnh hay tin Thành công về, cũng giết Tu, đón Thành công.
晋兵去。	Quân Tấn rút.
十年，背晋盟，盟於楚。	Năm thứ mười, bội minh với Tấn, kết minh với Sở.
晋厉公怒，发兵伐郑。	Tấn Lệ công giận, phát binh đánh Trịnh.
楚共王救郑。	Sở Cung vương cứu Trịnh.
十三年，晋悼公伐 郑，兵於洧上。	Năm thứ mười ba, Tấn Điệu công đánh Trịnh, đóng quân ở Vị Thượng.
郑城守，晋亦去。	Trịnh dựa vào thành phòng giữ, quân Tấn cũng rút.
十四年，成公卒，子恽立。 是为釐 公。	Năm thứ mười bốn, Thành công chết, con là Uẩn lên thay, đó là Hy công.
釐公五年，郑相子驷朝釐公，釐公不礼。	Hy công năm thứ năm, Tướng quốc nước Trịnh là Tử Tứ vào chầu Hy công, Hy công không dùng đúng lễ tiếp đãi.
子驷怒，使厨人药杀釐 公，赴诸侯曰“釐公暴病 卒”。	Tử Tứ giận, sai đầu bếp đầu độc giết Hy công, các phó với chư hầu rằng “Hy công bị bạo bệnh chết”.
立釐公子嘉，嘉时年五岁，是为简公。	Lập con của Hy công là Gia, lúc đó Gia mới năm tuổi, đó là Giản công.
简公元年，诸公子谋欲诛相子驷，子驷觉之，反尽诛诸公子。	Giản công năm thứ nhất, các công tử bàn mưu định giết Tướng quốc Tử Tứ, Tử Tứ phát giác được, quay lại giết hết các công tử.
二 年，晋伐郑，郑与盟，晋去。	Năm thứ hai, Tấn đánh Trịnh, Trịnh kết minh ước với Tấn, Tấn rút về.
冬，又与楚盟。	Mùa đông, lại kết minh ước với Sở.
子驷畏诛，故两亲晋、 楚。	Tử Tứ sợ bị giết, nên kết thân với cả Tấn và Sở.
三年，相子驷欲自立为君，公子子孔使尉止杀相子驷而代之。	Năm thứ ba, Tướng quốc Tử Tứ định tự lập làm vua, công tử Tử Khổng sai Úy Chỉ giết Tướng quốc Tử Tứ rồi lên thay chức.
子 孔又欲自立。	Tử Khổng lại định tự lập.
子产曰：“子驷为不可，诛之，今又效之，是乱无时息 也。”	Tử Sản nói: “Tử Tứ làm việc không thể làm, giết ông ta, nay lại bắt chước theo ông ta, thế thì loạn chẳng bao giờ dứt vậy.”
於是子孔从之而相郑简公。	Thế là Tử Khổng nghe theo rồi phò tá Trịnh Giản công.
四年，晋怒郑与楚盟，伐郑，郑与盟。	Năm thứ tư, Tấn giận Trịnh kết minh với Sở nên đánh Trịnh, Trịnh kết minh ước với Tấn.
楚共王救郑，败晋兵。	Sở Cung vương cứu Trịnh, đánh bại quân Tấn.
简 公欲与晋平，楚又囚郑使者。	Giản công định giảng hòa với Tấn, Sở lại bỏ tù sứ giả nước Trịnh.
十二年，简公怒相子孔专国权，诛之，而以子产为卿。	Năm thứ mười hai, Giản công giận Tướng quốc Tử Khổng chuyên quyền chính sự trong nước, giết Tử Khổng, rồi phong Tử Sản làm quan khanh.
十九年， 简公如晋请卫君还，而封子产以六邑。	Năm thứ mười chín, Giản công sang Tấn xin cho vua Vệ về nước, rồi phân phong cho Tử Sản sáu ấp.
子 产让，受其三邑。	Tử Sản từ chối, chỉ nhận ba ấp.
二十二年，吴使延陵季子於郑，见子产如旧交，谓 子产曰：“郑之执政者侈，难将至，政将及子。子为政，必以礼；不 然，郑将败。”	Năm thứ hai mươi hai, nước Ngô sai Diên Lăng Quý tử sang Trịnh, gặp Tử Sản mà như gặp bạn cũ, bảo Tử Sản rằng: “Người chấp chính nước Trịnh xa xỉ, họa nạn sẽ kéo đến, chính sự sẽ rơi vào tay ngài. Ngài thi hành chính sự ắt dùng lễ; nếu không, Trịnh sẽ suy bại.”
二十三年，诸公子争宠相杀，又欲杀 子产。	Năm thứ hai mươi ba, các công tử tranh sủng nên tàn sát lẫn nhau, lại định giết Tử Sản.
公子或谏曰：“子产仁人，郑所以存者子产也，勿杀！”	Trong các công tử có người can rằng: “Tử Sản là người có đức nhân, Trịnh sở dĩ còn là nhờ Tử Sản vậy, chớ giết!”
二十五年，郑使子产於晋，问平公疾。	Năm thứ hai mươi lăm, Trịnh sai Tử Sản sang nước Tấn hỏi thăm bệnh tình của Bình công.
平公曰：“卜而曰实沈、 台骀为祟，史官莫知，敢问？”	Bình công hỏi: “Bói quẻ cho hay [bệnh do] Thực Thẩm và Đài Thai tác quái, nhưng sử quan không ai biết [là gì], dám xin hỏi ngài?”
对曰：“高辛氏有二子，长曰阏伯， 季曰实沈，居旷林，不相能也，日操干戈 以相征伐。后帝弗臧，迁阏伯 于商丘，主辰， 商人是因，故辰为商星。 迁 实沈于大夏，主参， 唐人是因，服事夏、商， 其季世曰唐叔虞。 ”当武王邑姜方娠大叔，梦帝谓 己：‘余命而子曰虞， 乃与之唐，属之参而蕃育其子孙。 ’及生有 文在其掌曰‘虞’，遂以命之。 及成王灭唐而国大叔焉。 故参为晋 星。”	Tử Sản đáp: “Cao Tân thị có hai con, trưởng là Át bá, út là Thực Thẩm, ở nơi rừng rộng, không dung được nhau, suốt ngày cầm mộc cầm qua đánh nhau. Đế Nghiêu cho họ không tốt, bèn đầy Át bá ra Thương Khâu, chủ về sao Thần, người đất Thương dựa vào ông ta, cho nên Thần là sao ứng với đất Thương; đày Thực Thẩm ra Đại Hạ, chủ về sao Sâm, người đất Đường dựa vào ông ta, phụng sự nhà Hạ nhà Thương, đời cuối [của đất Đường] là Đường thúc Ngu. Bấy giờ đúng lúc vợ Vũ vương là Ấp Khương đang mang thai Đại thúc, mộng thấy thượng đế nói với mình rằng: 'Ta đặt tên con ngươi là Ngu, lại ban cho đất Đường, thuộc về sao Sâm, khiến con cháu về sau sinh sôi đông đúc.' Đến khi sinh con có chữ 'Ngu’ ở bàn tay, bèn lấy chữ đó đặt tên cho con. Tới khi Thành vương diệt đất Đường, đem nước đó phân phong cho Đại thúc. Cho nên sao Sâm là sao ứng với địa phận nước Tấn. Từ đó mà xét, Thực Thẩm là thần sao Sâm vậy. Xưa kia, Kim Thiên thị có con cháu là Muội, là trưởng quan của các thủy quan, sinh ra Doãn Cách và Đài Thai. Đài Thai khéo kế thừa chức nghiệp của cha, khơi thông sông Phần và sông Thao, đắp đập ngăn chằm lớn, cư trú ở Thái Nguyên. Hoàng đế [Chuyên Húc] khen ngợi Đài Thai, phong đất Phần Xuyên để dựng nước. Các nước Thẩm, Tự, Nhục, Hoàng chính là các nước lo tế tự ông ta. Nay, Tấn làm chủ vùng Phần Xuyên rồi diệt các nước đó. Từ đó mà xét, Đài Thai là thần của sông Phần và sông Thao vậy. Thế nhưng hai thần đó không hại đến nhà vua. Thần của núi sông gây hụt hay hạn thì tế thần [để cầu xin]; thần về mặt trời, mặt trăng và tinh tú gây tuyết sương mưa gió không đúng thời tiết thì tế thần [để cầu xin]; như bệnh của nhà vua, là do ăn uống, buồn, vui và nữ sắc gây nên vậy.”
平公及叔乡曰：“善，博物君子 也！”	Bình công và Thúc Hướng nói: “Phải lắm, thực là bậc quân tử quảng bá vậy!”
二十七年夏，郑简公朝晋。	Mùa hạ năm thứ hai mươi bảy, Trịnh Giản công triều kiến nước Tấn.
冬，畏楚灵王之彊，又朝楚，子产 从。	Đến mùa đông, sợ sự hùng cường của Sở Linh vương, lại sang triều kiến nước Sở, Tử Sản đi theo.
二十八年，郑君病，使子产会诸侯，与楚灵王盟於申，诛齐庆 封。	Năm thứ hai mươi tám, Trịnh quân ốm, sai Tử Sản hội kiến chư hầu, cùng Sở Linh vương kết minh ước ở ấp Thân, [Sở vương] giết Khánh Phong nước Tề.
三十六年，简公卒，子定公宁立。	Năm thứ ba mươi sáu, Giản công chết, con là Định công Ninh lên thay.
秋，定公朝晋昭公。	Mùa thu, Định công triều kiến Tấn Chiêu công.
定公元年，楚公子弃疾弑其君灵王而自立，为平王。	Định công năm thứ nhất, công tử Khí Tật nước Sở giết vua nước mình là Linh vương rồi tự lập, đó là Bình vương.
欲行德诸 侯。 归灵王所侵郑地于郑。	[Bình vương] muốn thi hành ân đức với chư hầu nên trả lại các đất của nước Trịnh đã bị Linh vương xâm chiếm cho Trịnh.
四年，晋昭公卒，其六卿彊，公室卑。	Năm thứ tư, Tấn Chiêu công chết, thế lực các quan Lục khanh hùng mạnh, tông thất nước Tấn suy yếu.
子产谓韩宣子曰：“为政 必以德，毋忘所以立。”	Tử Sản nói với Hàn Tuyên tử rằng: “Làm chính sự ắt phải dùng đức, đừng quên gốc của việc dựng nước.”
六年，郑火，公欲禳之。	Năm thứ sáu, Trịnh bị hỏa tai, Định công định cầu đảo.
子产曰：“不如修德。”	Tử Sản nói: “Chẳng bằng sửa đức.”
八年，楚太子建来奔。	Năm thứ tám, Thái tử nước Sở là Kiến chạy sang.
十年，太子建与晋谋袭郑。	Năm thứ mười, Thái tử Kiến cùng Tấn âm mưu đánh úp nước Trịnh.
十一年，定公如晋。	Năm thứ mười một, Định công sang Tấn.
晋与郑谋，诛周乱臣，入敬王于周。	Tấn và Trịnh bàn mưu, giết các loạn thần nhà Chu, đưa Kính vương về triều Chu.
十三年，定公卒，子献公虿立。	Năm thứ mười ba, Định công chết, con là Hiến công Mại lên thay.
献公十三年卒，子声公胜立。	Hiến công đến năm thứ mười ba thì chết, con là Thanh công Thắng lên thay.
声公五年，郑相子产卒， 郑人皆哭泣，悲之如亡亲戚。	Thanh công năm thứ năm, Tướng quốc nước Trịnh là Tử Sản chết, người Trịnh đều khóc, đau buồn như mất người thân thích.
子产者，郑成公少子也。 为 人仁爱人，事君忠厚。	Tử Sản là con út của Trịnh Thành công, là người có lòng nhân, yêu người, thờ vua giữ lòng trung hậu.
孔子尝过郑，与子产如兄弟云。	Khổng tử từng qua nước Trịnh, đối đãi với Tử Sản như anh em.
及闻子产死， 孔子为泣曰：“古之遗爱也！”	Đến khi nghe tin Tử Sản chết, Khổng tử khóc nói: “[Tử Sản chính là người] nhân ái thời xưa còn lại vậy!”
八年，晋范、中行氏反晋，告急於郑，郑救之。	Năm thứ tám, họ Phạm và họ Trung Hàng ở Tấn phản lại nhà Tấn, cấp báo với Trịnh, Trịnh cứu viện họ.
晋伐郑，败郑军 於铁。	Tấn đánh Trịnh, đánh bại quân Trịnh ở đất Thiết.
十四年，宋景公灭曹。	Năm thứ mười bốn, Tống Cảnh công diệt nước Tào.
二十年，齐田常弑其君简公，而常相於 齐。	Năm thứ hai mươi, Điền Thường nước Tề giết vua nước mình là Giản công, rồi Thường làm Tướng quốc nước Tề.
二十二年，楚惠王灭陈。	Năm thứ hai mươi hai, Sở Huệ vương diệt nước Trần.
孔子卒。	Khổng tử chết.
三十六年，晋知伯伐郑，取九邑。	Năm thứ ba mươi sáu, Trí bá nước Tấn đánh Trịnh, chiếm chín ấp.
三十七年，声公卒，子哀公易立。	Năm thứ ba mươi bảy, Thanh công chết, con là Ai công Dịch lên thay.
哀公八 年，郑人弑哀公而立声公弟丑，是为共公。	Ai công năm thứ tám, người Trịnh giết Ai công rồi lập em Thanh công là Sửu, đó là Cung Công.
共公三年，三晋灭知伯。	Cung công năm thứ ba, Tam Tấn diệt Trí bá.
三十一年，共公卒，子幽公已立。	Năm thứ ba mươi mốt, Cung công chết, con là U công Dĩ lên thay.
幽公元年，韩武子伐郑，杀幽公。	U công năm thứ nhất, Hàn Vũ tử đánh Trịnh, giết U công.
郑人立幽公弟骀，是为繻公。	Người Trịnh lập em trai U công là Thai, đó là Tu công.
繻公十五年，韩景侯伐郑，取雍丘。	Tu công năm thứ mười lăm, Hàn Cảnh hầu đánh Trịnh, chiếm Ung Khâu.
郑城京。	Trịnh xây đắp thành ở ấp Kinh.
二十年， 韩、赵、魏列为诸侯。	Năm thứ hai mươi, Hàn, Triệu và Ngụy được liệt vào hàng chư hầu.
二十三年，郑围韩之阳翟。	Năm thứ hai mươi ba, Trịnh bao vây Dương Địch nước Hàn.
二十五年，郑君杀其相子阳。	Năm thứ hai mươi lăm, Trịnh quân giết Tướng quốc Tử Dương.
二十七，子阳之党共弑繻公骀而立 幽公弟乙为君，是为郑君。	Năm thứ hai mươi bảy, bè đảng của Tử Dương cùng giết Tu công Thai rồi lập em trai U công là Ất làm vua, đó là Trịnh quân.
郑君乙立二年，郑负黍反，复归韩。	Trịnh quân Ất lên ngôi được hai năm, người ấp Phụ Thử nước Trịnh làm phản, rồi lại theo Hàn.
十一年，韩伐郑，取阳城。	Năm thứ mười một, Hàn đánh Trịnh, chiếm Dương Thành.
二十一年，韩哀侯灭郑，并其国。	Năm thứ hai mươi mốt, Hàn Ai hầu diệt Trịnh, chiếm lấy nước.
太史公曰：语有之，“以权利合者，权利尽而交疏”，甫瑕是 也。	Thái sử công bàn rằng: Có câu rằng, “Kẻ kết hợp với nhau vì quyền và lợi, quyền và lợi hết thì giao tình cũng nhạt”, Phủ Hà chính là như thế.
甫瑕虽以劫杀郑子内厉公，厉公终背而杀之，此与晋之里克何 异？	Phủ Hà dẫu uy hiếp rồi giết Trịnh tử, đưa Lệ công về nước, cuối cùng Lệ công trở mặt giết Phủ Hà, thế thì khác nào Lý Khắc nước Tấn?
变所从来，亦多故矣！	Biến loạn phát sinh, nguyên do thực lắm!
庄公发兵伐 段，段走。	Trong công phát binh thảo phạt Đoạn, Đoạn bỏ chạy.
伐京，京人畔段，段出走鄢。	Đánh đất Kinh, người đất Kinh phản bội Đoạn, [Đoạn] chạy ra ấp Yên.
鄢溃， 段出奔共。	Ấp Yên vỡ, Đoạn chạy sang nước Cung.
庄公与 祭仲、 高渠弥 发兵自救，王师大败。	Trang công cùng Sái Trọng, Cao Cừ Di phát binh tự cứu, quân của Chu vương đại bại.
夜令祭仲问王疾。	Ban đêm, [Trang công] sai Sái Trọng thăm hỏi vết thương của Chu vương.
庄公又娶宋雍氏女， 生厉公突。	Trang công lại lấy người con gái họ Ung nước Tống, sinh Lệ công Đột.
祭仲许宋，与宋盟。	Sái Trọng đồng ý với Tống, cùng Tống kết minh.
昭公忽闻祭仲以宋要立其弟突，九月丁亥，忽出奔卫。	Chiêu công Hốt nghe tin Sái Trọng theo yêu cầu của Tống lập em mình là Đột, ngày Đinh Hợi tháng Chín, Hốt chạy sang Vệ.
厉公患之，阴使其婿雍纠欲杀祭仲。	Lệ công lo sợ về việc đó, ngầm sai con rể của Sái Trọng là Ung Củ định giết Sái Trọng.
女乃 告祭仲，祭仲反杀雍纠，戮之於市。	Người con gái liền cáo giác với Sái Trọng, Sái Trọng bèn giết Ung Củ, phanh thây ngoài chợ.
及昭公即位，惧其杀己，冬十月辛 卯，渠弥与昭公出猎，射杀昭公於野。	Đến khi Chiêu công lên ngôi, [Cừ Di] sợ Chiêu công giết mình, ngày Tân Mão tháng Mười mùa đông, Cừ Di cùng Chiêu công ra ngoài đi săn, [Cừ Di] bắn giết Chiêu công ngoài đồng.
子亹元年七月，齐襄公会诸侯於首止， 郑子亹往会，高 渠弥相，从，祭仲称疾不行。	Tháng Bảy năm Tử Vỉ thứ nhất, Tề Tương công hội chư hầu ở Thủ Chỉ, Tử Vỉ nước Trịnh đến hội họp, Cao Cừ Di phụ tá, đi theo, Sái Trọng thác bệnh không đi.
六月甲子，假杀郑子及其二子 而迎厉公突，突自栎复入即位。	Ngày Giáp Tý tháng Sáu, Giả giết Trịnh tử cùng hai người con, rồi đón Lệ công Đột, Đột từ ấp Lịch lại về lên ngôi.
遂自杀。	Bèn tự sát.
文公弗听。	Văn công không nghe.
乃自杀。	[Chiêm] liền tự sát.
华元杀羊食士，不与其御羊斟，怒以驰 郑，郑囚华元。	Hoa Nguyên giết dê cho quân sĩ ăn, nhưng không cho người đánh xe là Dương Châm, [Dương Châm] giận rồi phóng xe vào quân Trịnh, người Trịnh bắt bỏ tù Hoa Nguyên.
宋赎华元，元亦亡去。	Tống chuộc Hoa Nguyên, Nguyên cũng bỏ trốn.
晋使赵穿以兵伐郑。	Tấn sai Triệu Xuyên đem quân đánh Trịnh.
襄公元年，楚怒郑受宋赂纵华元，伐郑。	Tương công năm thứ nhất, Sở giận Trịnh nhận hối lộ của Tống rồi thả Hoa Nguyên, bèn đánh Trịnh.
其 来持两端，故迟，比至河，楚兵已去。	Tấn tiến quân nhưng do dự nước đôi, cố ý chậm chạp, đến Hoàng Hà thì quân Sở rút rồi.
楚王厚赐与 约，使反其言，令宋趣降，三要乃许。	Sở vương ban tặng trọng hậu rồi giao ước, sai nói ngược những gì Tấn nói, khiến Tống mau chóng đầu hàng, mấy lần uy hiếp Giải Dương mới đồng ý.
使栾书伐郑。	Sai Loan Thư đánh Trịnh.
郑杀建，建子 胜奔吴。	Trịnh giết Kiến, con trai của Kiến là Thắng chạy sang nước Ngô.
当 是时，晋六卿彊，侵夺郑，郑遂弱。	Lúc đó, quan Lục khanh nước Tấn hùng mạnh, xâm chiếm Trịnh, Trịnh trở nên suy yếu.
十六年，郑伐韩，败韩兵於负黍。	Năm thứ mười sáu, Trịnh đánh Hàn, đánh bại quân Hàn ở Phụ Thử.
祝聸射中王臂。	Chúc Đam bắn trúng cánh tay Chu vương.
乃止。	Bèn thôi.
亦执突以求赂焉。	Cũng bắt Đột để đòi hối lộ.
祭仲迎昭公忽，六月 乙亥，复入郑，即位。	Sái Trọng đón Chiêu công Hốt về, ngày Ất Hợi tháng Sáu, [Chiêu công] lại về Trịnh, lên ngôi vua.
晋 楚战鄢陵，楚兵败，晋射伤楚共王目，俱罢而去。	Tấn và Sở giao chiến ở Yên Lăng, quân Sở thua, quân Tấn bắn khiến Sở Cung vương bị thương ở mắt, rồi đều bãi binh rút về.
乃 止。	Bèn thôi.
乃求壮士得霍人解扬，字子虎， 诓楚，令宋毋降。	Bèn tìm tráng sĩ, tìm được Giải Dương người đất Hoắc, tự là Tử Hổ, đi lừa nước Sở, bảo nước Tống không đầu hàng.
於是楚登解扬楼车， 令呼宋。	Thế là Sở cho Giải Dương lên lâu xa, sai nói lớn cho Tống biết.
守节如荀息，身死而不能存奚齐。	Thủ tiết như Tuân Tức, bản thân phải chết mà không thể bảo tồn cho Hề Tề.
