太公望吕尚者，东海上人。	Thái công Vọng Lã Thượng, là bậc thượng nhân ở vùng Đông Hải.
顷公元年，楚庄王彊，伐陈；二年，围郑，郑伯降，已复国郑 伯。	Khoảnh công năm đầu, Sở Trang vương mạnh lên, chinh phạt nước Trần; năm thứ hai, bao vây nước Trịnh, Trịnh bá đầu hàng, sau lại cho khôi phục nước cho Trịnh bá.
郤克上，夫人笑 之。	Khích Khắc bước lên điện, phu nhân bật cười.
十年春，齐伐鲁、卫。	Mùa xuân năm thứ mười, nước Tề chinh phạt nước Lỗ, nước Vệ.
顷公曰：“驰之，破晋军会食。”	Khoảnh công nói: “Phóng ngựa sang trận địch, phá quân Tấn rồi sẽ cùng nhau ăn uống.”
丑 父曰：“代君死而见僇，後人臣无忠其君者矣。”	Sửu Phủ nói: “Chết thay cho vua mà lại bị giết, về sau kẻ làm bề tôi chẳng ai còn dám trung với vua nữa.”
对曰：“叔子，齐君母。齐君母亦犹晋君母， 子安置之？且子以义伐而以暴为後，其可乎？”	Đáp rằng: “Con gái của Đồng Thúc chính là mẹ của Tề quân. Mẹ của Tề quân cũng như mẹ của Tấn quân, ngài định sắp đặt thế nào? Huống hồ ngài dựa vào nghĩa để chinh phạt vậy mà sau lại muốn làm việc bạo ngược, thế có được không?”
於是乃许，令反鲁、 卫之侵地。	Vì vậy [nước Tấn] mới đồng ý [nhận đồ quý báu], rồi sai trả lại các đất đã cướp của nước Lỗ, nước Vệ.
竟顷公卒，百姓附，诸侯不犯。	Cho tới khi Khoảnh công chết, trăm họ đều thân gần, chư hầu không đến xâm phạm.
十七年，顷公卒，子灵公环立。	Năm thứ mười bảy, Khoảnh công chết, con là Linh Công Hoàn lên thay.
灵公九年，晋栾书弑其君厉公。	Linh công năm thứ chín, Loạn Thư nước Tấn giết vua nước mình là Lệ công.
十九年，立子光为太子，高厚傅之，令会诸侯盟於锺离。	Năm thứ mười chín, [nước Tề] lập công tử Quang làm Thái tử, cho Cao Hậu phụ tá [Quang], rồi lệnh [hai người] hội minh với chư hầu đất Chung Ly.
二十七年，晋使中行献子伐 齐。	Năm thứ hai mươi bảy, nước Tấn sai Trung Hàng Hiến tử chinh phạt nước Tề.
曰：“君亦无勇矣！”	[Yến Anh quở] rằng: “Vua mà chả có chút dũng khí nào?”
二十八年，初，灵公取鲁女，生子光，以为太子。	Năm thứ hai mươi tám, hồi trước, Linh công lấy người con gái nước Lỗ, sinh ra con là Quang, cho làm Thái tử.
戎姬嬖，仲姬生子牙，属之戎姬。 戎姬请以为太子，公许之。	Nhung cơ Vốn hèn kém mà được vua sủng ái, Trọng cơ sinh con trai là Nha, gửi gắm cho Nhung cơ. Nhung cơ xin [Linh công cho Nha] làm Thái tử, Linh công nghe theo.
仲姬 曰：“不可。光之立，列於诸侯矣， 今无故废之，君必悔之。”	Trọng cơ nói: “Không được. [Nhà vua đã] lập Quang [làm Thái tử], liệt vào hàng chư hầu rồi, nay vô cớ phế đi, nhà vua tất phải hối hận.”
公曰：“在我耳。”	Linh công nói: “Tất cả do ở ta thôi.”
遂东太子光， 使高厚傅牙为太子。	Đoạn dời Thái tử Quang sang phía đông, sai Cao Hậu phò tá Nha làm Thái tử.
灵公疾，崔杼迎故 太子光而立之，是为庄公。	Linh công ốm, Thôi Trữ bèn đón Thái tử Quang trước đây rồi lập làm vua, đó là Trang công.
晏婴、田文子谏，公弗听。	Yến Anh, Điền Văn tử can gián, nhưng Trang công không nghe.
待者 曰：“不可。”	Thị tòng [thấy thế] nói rằng: “Không được.”
公逾墙，射中公股，公反坠，遂 弑之。	Trang công trèo qua tường, bị bắn tên trúng vào đùi, Trang công rơi trở lại, bèn bị giết.
门开而入，枕公尸而 哭，三踊而出。	Cổng mở rồi đi vào, gối lên thây Trang công mà khóc, nhảy lên ba lần rồi đi ra.
人谓崔杼：“必杀之。”	Có người bảo Thôi Trữ: “Phải giết hắn đi.”
崔杼曰：“民之望也，舍之 得民。”	Thôi Trữ nói: “Người đó được dân chúng trọng vọng, tha cho hắn để được lòng dân.”
景公母，鲁叔孙宣伯女也。	Mẹ của Cảnh công là con gái của Thúc Tôn Tuyên bá nước Lỗ.
景公立，以崔杼为右 相，庆封为左相。	Cảnh công lên ngôi, lấy Thôi Trữ làm Hữu tướng, Khánh Phong làm Tả tướng.
二相恐乱起，乃与国人盟曰：“不与崔庆者 死！”	Hai Tướng quốc sợ nội loạn nổi lên, bèn cùng người trong nước thề rằng: “Ai không theo Thôi, Khánh thì chết!”
晏子仰天曰：“婴所不唯忠於君利社稷者是从！”	Yến tử ngẩng nhìn trời cao, nói: “Anh này không làm được, chỉ theo người trung với vua, làm lợi cho xã tắc mà thôi!”
庆 封欲杀晏子，崔杼曰：“忠臣也，舍之。”	Khánh Phong muốn giết Yến tử, Thôi Trữ bảo: “Đó là trung thần, tha cho ông ta đi.”
齐太史书曰“崔杼弑庄 公”，崔杼杀之。	Quan Thái sử nước Tề chép rằng: “Thôi Trữ thí Trang công.” Thôi Trữ bèn giết đi.
景公元年，初，崔杼生子成及彊，其母死，取东郭女，生明。	Cảnh công năm đầu, hồi trước, Thôi Trữ sinh được con trai là Thành và Cương, người mẹ của chúng chết, [Thôi Trữ] mới lấy người đàn bà họ Đông Quách, sinh ra Minh.
东 郭女使其前夫子无咎与其弟偃 相崔氏。	Người đàn bà họ Đông Quách bắt con trai của chồng trước là Vô Cữu và em trai là Yển phò tá họ Thôi.
成有罪，二 相急治之，立明为太子。	Thành mắc tội, hai người [Vô Cữu và Yển] vội trị tội, lập Minh làm con đích.
成请老於崔，崔杼许之，二相弗听， 曰：“崔，宗邑，不可。”	Thành xin sống đến già ở ấp Thôi, Thôi Trữ đồng ý, nhưng hai người kia không nghe, nói: “Thôi là ấp của tổ tông, không được.”
庆封与崔杼有郤，欲其败也。	Khánh Phong và Thôi Trữ có hiềm khích, muốn trừ khử lẫn nhau.
庆封曰：“请 为子诛之。”	Khánh Phong bảo rằng: “Ta xin vì ngài mà giết chúng đi.”
崔杼毋归， 亦自杀。	Thôi Trữ không còn chỗ nào để về, cũng tự sát.
庆封为相国，专权。	Khánh Phong làm Tướng quốc, chuyên quyền.
三年十月，庆封出猎。	Tháng Mười năm thứ ba, Khánh Phong ra ngoài đi săn.
田文子谓桓子曰：“乱将作。”	Điền Văn tử bảo Hoàn tử rằng: “Sắp có loạn rồi.”
吴与之硃方，聚其族而居之，富於在 齐。	Nước Ngô ban cho Khánh Phong đất Chu Phương, nhóm họp người trong họ để ở, giàu có còn hơn khi ở nước Tề.
九年，景公使晏婴之晋，与叔向私语曰：“齐政卒归田氏。田氏 虽无大德，以公权私，有德於民，民爱之。”	Năm thứ chín, Cảnh công sai Yến Anh đi sứ nước Tấn, [Yến Anh] nói riêng với Thúc Hướng rằng: “Chính sự nước Tề rốt cuộc sẽ về tay họ Điền. Họ Điền tuy không có đức lớn nhưng đem việc công để mưu cầu cho việc nhà, có ơn đức với dân, được dân quý mến.”
十二年，景公如晋，见 平公，欲与伐燕。	Năm thứ mười hai, Cảnh công sang nước Tấn, gặp Bình công, muốn cùng chinh phạt nước Yên.
十八年，公复如晋，见昭公。	Năm thứ mười tám, Cảnh công lại đến nước Tấn, gặp Chiêu công.
三十一年，鲁昭公辟季氏难，奔齐。	Năm thứ ba mươi mốt, Lỗ Chiêu công tránh họa nạn họ Quý, chạy sang nước Tề.
三十二年，彗星见。	Năm thứ ba mươi hai, sao chổi xuất hiện.
晏子曰：“臣笑群臣谀 甚。”	Yến tử tâu rằng: “Thần cười vì quần thần rất đỗi xu phụ.”
景公曰：“彗星出东北，当齐分野，寡人以为忧。”	Cảnh công bảo: “Sao chổi xuất hiện ở góc đông bắc, nhằm phân dã nước Tề, quả nhân lấy đó làm lo lắng.”
公曰：“可禳否？”	Cảnh công hỏi: “Có phải làm lễ giải trừ không?”
四十二年，吴王阖闾伐楚，入郢。	Năm thứ bốn mươi hai, Ngô vương Hạp Lư chinh phạt nước Sở, tiến vào Dĩnh đô.
四十七年，鲁阳虎攻其君，不胜，奔齐，请齐伐鲁。	Năm thứ bốn mươi bảy, Dương Hổ nước Lỗ tấn công vua nước mình, không thắng được, bỏ chạy sang nước Tề, xin nước Tề tiến đánh nước Lỗ.
鲍子谏景 公，乃囚阳虎。	Bão tử can ngăn Cảnh công, đoạn cầm tù Dương Hổ.
阳虎得亡，奔晋。	Dương Hổ trốn được, chạy sang nước Tấn.
四十八年，与鲁定公好会夹谷。	Năm thứ bốn mươi tám, [Cảnh công] hội minh hữu hảo với Lỗ Định công ở Giáp Cốc.
景公惭，乃归鲁侵地以谢，而 罢去。	Cảnh công cả thẹn, đoạn phải trả lại các vùng đất đã chiếm của nước Lỗ để tạ lỗi, rồi bãi hội ra về.
是岁，晏婴卒。	Năm ấy, Yến Anh chết.
五十五年，范、中行反其君於晋，晋攻之急，来请粟。	Năm thứ năm mươi lăm, họ Phạm, họ Trung Hàng phản lại vua nước mình ở nước Tấn, bị vua Tấn đánh rất gấp, liền chạy đến [nước Tề] xin thóc.
五十八年夏，景公夫人燕姬適子死。	Năm thứ năm mươi tám, mùa hạ, con đích phu nhân Yên cơ của Cảnh công chết.
景公宠妾芮姬生子荼， 荼少，其母贱，无行，诸 大夫恐其为嗣，乃言原择诸子长贤者为太子。	Thiếp yêu của Cảnh công là Nhuế cơ sinh con trai là Thư, Thư còn nhỏ, mẹ Thư lại xuất thân thấp hèn, không có đức hạnh, các đại phu sợ [nhà vua sẽ chọn] Thư là người nối ngôi, mới thuyết phục chọn người lớn tuổi, hiền đức trong các công tử để làm Thái tử.
景公老，恶言嗣事，又 爱荼母，欲立之，惮发之口，乃谓诸大夫曰：“为乐耳，国何患无君 乎？”	Cảnh công già, ghét nhắc đến chuyện nối dõi, lại yêu mẹ của Thư, muốn lập Thư, nhưng lại sợ phải mở miệng nói ra điều đó, bèn bảo các đại phu rằng: “Hãy vui lên, sao phải lo nước không có vua?”
秋，景公病，命国惠子、高昭子 立少子荼为太子，逐群公子，迁之莱。	Mùa thu, Cảnh công ốm, truyền mệnh cho Quốc Huệ tử, Cao Chiêu tử lập con nhỏ là Thư lên làm Thái tử, đuổi các công tử, bắt dời đến ấp Lai.
景公卒， 太子荼立，是为晏孺子。	Cảnh công chết đi, Thái tử Thư lên ngôi, đó là Yến Nhụ tử.
冬，未葬，而群公子畏诛，皆出亡。	Mùa đông, chưa táng [Cảnh công], nhưng các công tử sợ bị giết, đều bỏ trốn.
荼诸异母兄公子寿、驹、黔奔卫， 公子駔、 阳生奔鲁。	Các công tử là anh khác mẹ của Thư là Thọ, Câu, Kiềm chạy sang nước Vệ; công tử Tư, Dương Sinh chạy sang nước Lỗ.
莱人歌之曰：“景 公死乎弗与埋，三军事乎弗与谋， 师乎师乎，胡党之乎？”	Người nước Lai hát rằng: “Cảnh công chết chừ chửa dự tang, ba quân đại sự chừ lấy ai bàn; các con chừ, các con chừ, đồ đảng đều tan?”
晏孺子元年春，田乞伪事高、国者，每朝，乞骖乘，言曰：“子 得君，大夫皆自危，欲谋作乱。”	Mùa xuân năm Yến Nhụ tử thứ nhất, Điền Khất giả cách phụng sự họ Cao, họ Quốc, mỗi lần vào chầu, Khất đều [ngồi ở vị trí] Tham thừa [bên phải xe], nói rằng: “Ngài được nhà vua yêu, các đại phu đều lo sợ, muốn mưu làm loạn đấy.”
又谓诸大夫曰：“高昭子可畏，及 未发，先之。”	Rồi lại bảo các đại phu rằng: “Cao Chiêu tử đáng lo, nên [thừa lúc hắn] chưa dấy loạn, phải ra tay trước.”
大夫从之。	Các đại phu đều nghe theo.
昭子闻之，与国惠子救公。	Chiêu tử nghe tin, cùng Quốc Huệ tử đến cứu Yến Nhụ tử.
公师败，田乞之徒追之，国惠 子奔莒，遂反杀高昭子。	Quân của Yến Nhụ tử thua, đồ đảng của Điền Khất đuổi theo, Quốc Huệ tử chạy sang nước Cử, [đồ đảng của Điền Khất] bèn quay lại giết Cao Chiêu tử.
田 乞败二相，乃使人之鲁召公子阳生。	Điền Khất đánh bại hai Tướng quốc, đoạn sai người sang nước Lỗ triệu vời công tử Dương Sinh.
将与大夫盟而立之，鲍牧醉，乞诬大夫曰：“吾与鲍牧谋共立阳 生。”	[Điền Khất] định cùng các đại phu uống máu ăn thề rồi lập Dương Sinh lên ngôi, [thấy] Bão Mục say rượu, Khất liền lừa các đại phu rằng: “Ta và Bão Mục cùng mưu lập Dương Sinh.”
鲍牧怒曰：“子忘景公之命乎？”	Bão Mục nổi giận quát: “Ngài quên di mệnh của Cảnh công rồi sao?”
诸大夫相视欲悔，阳生前， 顿首曰：“可则立之，否则已。”	Các đại phu nhìn nhau ra chiều hối hận, Dương Sinh tiến lên trước, dập đầu nói: “Đáng lập thì lập, không đáng lập thì thôi.”
乃与盟，立阳生，是为悼公。	Đoạn cùng thề, lập Dương Sinh lên ngôi, đó là Điệu công.
芮 子故贱而孺子少，故无权，国人轻之。	Nhuế tử vốn xuất thân hèn hạ mà Nhụ tử còn nhỏ, vì vậy không có quyền thế, người trong nước đều rẻ rúng.
初，阳生亡在鲁，季康子以其妹妻之。	Hồi trước, Dương Sinh trốn ở nước Lỗ, Quý Khang tử đem em gái của mình gả cho [Dương Sinh].
鲍子与悼公有郤，不善。	Bão tử và Điệu Công có hiềm khích, không thân thiết nhau.
齐人败之，吴师 乃去。	Người Tề đánh bại, quân Ngô bèn rút.
齐人共立 悼公子壬，是为简公。	Người Tề cùng đồng thuận lập con của Điệu công là Nhâm lên ngôi, đó là Giản công.
简公四年春，初，简公与父阳生俱在鲁也，监止有宠焉。	Mùa xuân năm Giản công thứ tư, hồi trước, Giản công cùng cha là Dương Sinh đều ở nước Lỗ, [khi ấy] Giám Chỉ được sủng ái.
御鞅 言简公曰：“田、监不可并也，君其择焉。”	Ngự Ưởng mới bảo Giản công rằng: “Điền, Giám không thể đứng cùng nhau, nhà vua nên lựa chọn.”
初，田豹欲为子我 臣，使公孙言豹， 豹有丧而止。 後卒以为臣， 幸於子我。	Trước đây, Điền Báo muốn làm gia thần của Tử Ngã, mới nhờ Công Tôn giới thiệu Báo [với Tử Ngã], sau Báo có tang nên lại thôi. Việc tang xong xuôi, [Tử Ngã] dùng Báo làm gia thần, [Báo] được Tử Ngã yêu mến.
子我谓曰：“吾尽逐田氏而立 女，可乎？”	Tử Ngã bảo rằng: “Ta muốn đuổi hết ngành họ Điền đi để lập ngươi [lên làm trưởng tộc], được không?”
子行曰：“彼得君，弗先，必祸子。”	Tử Hàng bảo [Điền Thành tử] rằng: “Hắn được vua yêu, nếu không ra tay trước thì họa ắt đến ngài.”
子行舍於公宫。	Tử Hàng vào ở trong cung của Giản công [để làm nội gián].
宦者御之， 子行杀宦者。	Đám hoạn quan [đem quân] ngăn lại, Tử Hàng giết đám hoạn quan.
公与妇人饮酒於檀台， 成子迁诸寝。	Giản công cùng thị thiếp đang uống rượu ở Đàn Đài, Thành tử muốn chuyển Giản công cùng thị thiếp trở vào tẩm cung.
公执戈将 击之，太史子馀 曰：“非不利也，将除害也。”	Giản công cầm qua định đâm [vì ngờ Thành tử có ý làm loạn], quan Thái sử là Tử Dư nói: “Ông ấy không làm việc bất lợi, sắp trừ hại [cho nhà vua] đấy.”
成子出舍于库，闻公犹怒，将 出，曰：“何所无君！”	Thành tử rời khỏi tẩm cung ra ở nhà kho, nghe nói Giản công còn giận, muốn bỏ trốn, bảo rằng: “Chỗ nào mà không có vua!”
子行拔剑 曰：“需，事之贼也。谁非田宗？ 所不杀子者有如田宗。”	Tử Hàng tuốt kiếm rồi nói rằng: “Lần lữa là kẻ thù của công việc vậy. Ai không phải là dòng dõi Điền thị chứ? [Nếu ông trốn đi], ta không giết ông thì không phải với tông tộc Điền thị.”
田氏追之。	Điền thị [Thành tử] đuổi theo.
成子将杀大陆子方， 田逆请而免之。	Thành tử muốn giết Đại Lục Tử Phương, Điền Nghịch cầu xin [Thành tử] mới tha cho.
以公命 取车於道，出雍门。	Tử Phương viện dùng lệnh của Giản công để chặn lấy xe trên đường, ra khỏi Ung Môn.
田豹与之车，弗受，曰：“逆为余请，豹与余车，余 有私焉。事子我而有私於其雠，何以见鲁、卫之士？”	Điền Báo liền cấp xe cho, [Tử Phương] không nhận, nói: “Điền Nghịch cầu xin hộ ta, Điền Báo cấp xe cho ta, [như vậy là] ta có ý riêng với các người. Ta thờ Tử Ngã mà lại có ý riêng với kẻ thù [của Tử Ngã], còn mặt mũi nào nhìn kẻ sĩ nước Lỗ, nước Vệ nữa?”
公曰：“余蚤从御鞅言，不及此。”	Giản công bảo: “Ta sớm nghe lời Ngự Ưởng, đã không ra nông nỗi này.”
田常乃立简公弟骜， 是为平公。	Điền Thường bèn lập em của Giản công là Ngạo lên làm vua, đó là Bình công.
平公即位，田常相之，专齐之政，割齐安平以东为田 氏封邑。	Bình công lên ngôi, Điền Thường làm Tướng quốc, thao túng chính sự nước Tề, cắt đất nước Tề từ ấp An Bình về phía đông làm ấp phong cho Điền thị.
平公八年，越灭吴。	Bình công năm thứ tám, nước Việt diệt nước Ngô.
二十五年卒，子宣公积立。 宣公五十一年卒，子康公贷立。	Năm thứ hai mươi lăm, [Bình công] chết, con là Tuyên công Tích lên ngôi. Tuyên công năm thứ năm mươi mốt thì chết, con là Khang công Thắc lên ngôi.
康公二年，韩、魏、赵始列为诸侯。	Khang công năm thứ hai, nước Hàn, nước Ngụy, nước Triệu bắt đầu được liệt vào hàng chư hầu.
十九年，田常曾孙田和始为 诸侯，迁康公海滨。	Năm thứ mười chín, chắt của Điền Thường là Điền Hòa bắt đầu được liệt vào hàng chư hầu, đày Khang công đến bãi biển.
二十六年，康公卒，吕氏遂绝其祀。	Năm thứ hai mươi sáu, Khang công chết, Lã thị liền bị dứt việc tế tự.
田氏卒有齐国，为齐威王， 彊於天下。	Điền thị rốt cuộc có được nước Tề, làm Tề Uy vương, là nước hùng mạnh trong thiên hạ.
太史公曰：吾適齐，自泰山属之琅邪，北被于海，膏壤二千里， 其民阔达多匿知，其天性也。	Thái sử công bàn rằng: Ta sang nước Tề, từ Thái Sơn liền đến Lang Da, phía bắc tiếp đến biển, đất đai phì nhiêu hai nghìn dặm, người dân khoáng đạt, tài trí bên trong không hiển lộ rõ ra bên ngoài, đó là thiên tính của họ vậy.
以太公之圣，建国本，桓公之盛，修善 政，以为诸侯会盟，称伯，不亦宜乎？	Nhờ sự thánh minh của Thái công, xây dựng gốc của nước, sự thịnh trị của Hoàn công, sửa sang chính sự tốt đẹp, mới họp được chư hầu để hội minh, xưng bá, chẳng hợp lẽ lắm sao?
师 行，师尚父 左杖黄钺，右把白旄以誓，曰：“苍兕苍兕， 总尔 众庶，与尔舟楫，後至者斩！”	Lúc phát binh, Thượng phụ [Lã Thượng] tay trái nắm búa vàng, tay phải cầm cờ mao trắng mà thề rằng: “Thương hủy, Thương hủy, hãy tập hợp quân binh của các ngươi, cấp cho thuyền và mái chèo, kẻ nào đến chậm sẽ bị chém đầu?”
纣反走，登鹿台，遂追斩纣。	Trụ vương quay đầu bỏ chạy, lên Lộc Đài, Vũ vương bèn cho đuổi theo chém chết vua Trụ.
明日，武王立于社，群公奉明水， 卫康叔封布采席， 师尚父牵牲，史佚策祝，以告神讨纣之 罪。	Ngày hôm sau, Vũ vương đứng trước đàn xã, quần thần dâng nước tinh khiết, Vệ Khang thúc là Phong trải chiếu hoa, Sư Thượng phụ dắt các con vật tế, Thái sử Dật đọc lời khấn cáo, cẩn cáo với thần minh tội trạng của vua Trụ.
散鹿台之钱，发钜桥之粟，以振贫民。	Chia tiền bạc trong Lộc Đài, phát thóc gạo trong Cự Kiều để chẩn tế dân nghèo.
封比干墓，释箕子囚。	Tôn cao mộ của Tỷ Can, thả Cơ tử khỏi ngục tù.
迁 九鼎，脩周政，与天下更始。	Dời chín đỉnh, sửa sang chính trị nhà Chu, cùng cả thiên hạ đổi mới.
师尚父谋居多。	Phần lớn đều nhờ mưu của Sư Thượng phụ.
莱侯 来伐，与之争营丘。	Lai hầu đến đánh, tranh giành Doanh Khâu với Thái công.
及周成王少时，管蔡作乱，淮夷 畔周，乃使召康公 命太公曰：“东至海，西至河，南至穆陵，北至无棣， 五侯九伯，实得征之。”	Nhằm lúc Chu Thành vương còn nhỏ, Quản thúc, Sái thúc làm loạn, các tộc rợ vùng Hoài Phố phản lại nhà Chu, Vũ vương bèn sai Thiệu Khang công truyền mệnh cho Thái công rằng: “Đông đến biển lớn, tây đến Hoàng Hà, nam đến Mục Lăng, bắc đến Vô Lệ, năm hầu chín bá, Sư Thượng phụ đều được chinh phạt.”
齐由此得征伐，为大国。 都营丘。	Nhân thế nước Tề được quyền chinh phạt, trở thành nước [chư hầu] lớn, đóng đô ở Doanh Khâu.
郑使太子忽来救齐，齐欲妻之。	Nước Trịnh sai Thái tử Hốt đến cứu nước Tề, nước Tề muốn gả con gái cho [Hốt].
齐襄公故尝私通鲁夫人。	Tề Tương công vốn từng tư thông với Lỗ phu nhân.
十二年，初，襄公使连称、管至父戍葵丘， 瓜时而往，及瓜而代。	Năm thứ mười hai, hồi đầu, Tương công sai Liên Xứng, Quản Chí Phủ đóng quân doanh ở đất Quỳ Khâu, hẹn mùa dưa [tháng Bảy] thì lên đường, đến mùa dưa sau thì được đổi phiên.
公惧， 坠车伤足，失屦。	Tương công sợ hãi, ngã xuống xe, bị thương ở chân, rơi mất chiếc giày.
而无知、连称、管至父等闻公伤，乃遂率其众袭宫。	Bọn Vô Tri, Liên Xứng, Quản Chí Phủ hay tin Tương công bị thương, bèn dẫn quân đánh úp vào trong cung.
茀反与宫中及公之幸臣攻无知等，不 胜，皆死。	Phất ngược lại cùng người trong cung và những sủng thần tấn công bọn Vô Tri, không thắng được, đều chết cả.
初，襄公之醉杀鲁桓公，通其夫人，杀诛数不当，淫於妇人，数 欺大臣，群弟恐祸及，故次弟纠奔鲁。	Hồi trước, Tương công chuốc say rồi giết Lỗ Hoàn công, tư thông với phu nhân của Lỗ Hoàn công, giết nhiều kẻ vô tội, dâm loạn với phụ nữ, nhiều lần khinh khi đại thần, các em trai đều sợ tai vạ đến mình, thế nên em thứ là Củ chạy sang nước Lỗ.
管仲、召忽傅 之。	Quản Trọng, Thiệu Hốt phò tá công tử Củ.
鲁闻无知死，亦 发兵送公子纠，而使管仲别将兵遮莒道，射中小白带钩。	Nước Lỗ nghe tin Vô Tri chết, cũng sai quân đưa công tử Củ về nước, rồi sai Quản Trọng dẫn cánh quân khác chặn đường nước Cử, bắn trúng cái móc trên dây lưng của Tiểu Bạch.
鲁送纠者行益迟，六日至齐，则小白已入，高傒立 之，是为桓公。	Nước Lỗ đưa đoàn của công tử Củ đi chậm lại, sáu ngày mới tới nước Tề thì Tiểu Bạch đã vào trước, Cao Hề lập Tiểu Bạch, đó là Hoàn công.
秋，与鲁战于乾时， 鲁兵败走，齐兵 掩绝鲁归道。	Mùa thu, giao chiến với nước Lỗ ở đất Càn Thì, quân Lỗ thua chạy, quân Tề chặn đứng đường về của nước Lỗ.
齐遗鲁书曰：“子纠兄弟，弗忍诛，请鲁自杀之。召 忽、管仲雠也，请得而甘心醢之。不然，将围鲁。”	Nước Tề gửi thư cho nước Lỗ, bảo: “công tử Củ là anh em, không nỡ ra tay giết, mong người Lỗ tự giết Củ đi. Thiệu Hốt, Quản Trọng là kẻ thù, muốn bắt được để băm vằm bọn chúng cho hả dạ. Nếu không nghe, [nước Tề] sẽ bao vây nước Lỗ.”
鲁人患之，遂杀 子纠于笙渎。	Người nước Lỗ lo lắng về việc đó, bèn giết công tử Củ ở đất Sênh Đậu.
召忽自杀，管仲请囚。	Thiệu Hốt tự sát, Quản Trọng xin làm tù nhân.
桓公之立，发 兵攻鲁，心欲杀管仲。	Hoàn công lên ngôi, đem quân tấn Công nước Lỗ, định bụng giết Quản Trọng.
乃详为召 管仲欲甘心，实欲用之。	[Hoàn công] bèn giả cách triệu Quản Trọng [để băm vằm] cho hả dạ, kỳ thực là muốn trọng dụng ông ta.
桓公既得管仲，与鲍叔、隰朋、 高傒修齐国政，连五家之兵， 伸轻重鱼盐之利， 以 赡贫穷，禄贤能，齐人皆说。	Hoàn công đã có được Quản Trọng, cùng Bão Thúc, Thấp Bằng, Cao Hề sửa sang chính sự nước Tề, liên kết quân binh của năm nhà, thiết lập nguồn lợi của [kế sách] “Khinh trọng”, đánh cá và nấu muối, để chẩn cứu kẻ bần cùng, ban bổng lộc cho bậc hiền tài, người nước Tề đều vui mừng.
鲁庄公请献遂邑以平， 桓公许，与鲁会柯而盟。	Lỗ Trang cũng xin hiến ấp Toại để cầu hòa, Hoàn công nhận lời, cùng Lễ gặp mặt ở đất Kha rồi kết minh ước.
已而曹沬去匕首，北面就臣位。	Xong, Tào Mạt mới bỏ chủy thủ, lùi về vị trí bề tôi, quay mặt về hướng bắc.
桓公後悔，欲无与鲁地而杀曹沬。	Sau đó Hoàn công hối hận, không muốn trả đất cho nước Lỗ mà lại muốn giết Tào Mạt.
管 仲曰：“夫劫许之而倍信杀之， 愈一小快耳，而弃信於诸侯，失天下之援，不可。”	Quản Trọng nói: “Ôi, bị uy hiếp nên đã nhận lời thế mà lại bội tín đi giết [Tào Mạt], thỏa được niềm vui nhỏ mọn nhất thời vậy mà thất tín với chư hầu, mất đi sự ủng hộ của thiên hạ, không được.”
齐桓公救燕，遂 伐山戎，至于孤竹而还。	Tề Hoàn công cứu nước Yên, bèn chinh phạt tộc Sơn Nhung, đến tận Cô Trúc mới rút về.
於是分沟割燕君所至与 燕，命燕君复修召公之政，纳贡于周，如成康之时。	Thế là [Tề Hoàn công] cho chia ngòi cắt chỗ đất vua nước Yên đã vào để cho nước Yên, bảo vua nước Yên tu sửa, phục hồi nền chính sự của Thiệu công, nạp cống cho nhà Chu, giống như thời Thành Khang.
哀姜淫於鲁公子庆 父，庆父弑湣公，哀姜欲立庆父，鲁人更立釐公。	Ai Khương thông dâm với công tử nước Lỗ là Khánh Phủ, Khánh Phủ giết Mẫn công, Ai Khương muốn lập Khánh Phủ lên ngôi, người Lỗ lại lập Hy công.
管仲对 曰：“昔召康公命我先君太公曰：‘五侯九伯，若实征之，以夹辅周 室。’赐我先君 履，东至海，西至河，南至穆陵，北至 无棣。楚贡包茅不入，王祭不具， 是以来 责。昭王南征不复，是以来问。”	Quản Trọng đáp rằng: “Xưa Thiệu Khang công truyền mệnh cho tiên quân Thái công của ta rằng: 'Năm hầu chín bá, thấy được quyền chinh phạt, để giúp phò vương thất nhà Chu.' Ban cho tiên quân của ta cương giới, phía đông đến biển, tây đến Hoàng Hà, nam đến Mục Lăng, bắc đến Vô Lệ. Sở không cống cỏ bao mao, khiến đồ tế của thiên tử không đầy đủ, cho nên đến để trách cứ. Chiêu vương nam chinh không trở về, cho nên đến để chất vấn.”
夏，楚王使屈完将兵扞齐，齐师退次召陵。	Mùa hạ, Sở vương sai Khuất Hoàn đem quân chống cự lại quân Tề, quân Tề lui về đóng quân ở Thiệu Lăng.
桓公矜屈完以其众。	Hoàn công tự khoe khoang quân mình đông với Khuất Hoàn.
秋，齐伐陈。	Mùa thu, nước Tề chinh phạt nước Trần.
周襄王使宰孔赐桓公文武胙、彤弓矢、大路， 命无拜。	Chu Tương vương sai Tể Khổng ban cho Hoàn công thịt tế vua Văn vương, Vũ vương, cung tên màu đỏ và xe lớn, miễn việc quỳ lạy.
桓公欲许之，管仲 曰“不可”，乃下拜受赐。	Hoàn công định chấp nhận, Quản Trọng bảo: “Không được”, bèn lui xuống quỳ lạy nhận ban thưởng.
秋，复会诸 侯於葵丘，益有骄色。 周使宰孔会。	Mùa thu, [Tề Hoàn công] lại hội họp chư hầu ở Quỳ Khâu, ngày càng có vẻ kiêu ngạo, nhà Chu sai Tể Khổng đến họp.
