周公旦者，周武王弟也。	Chu công Đán là em trai Chu Vũ vương.
季友以庄公命命牙待於针巫氏， 使针季劫饮叔牙以鸩， 曰：“饮此则有後奉祀；不然，死且无後。”	Quý Hữu dùng lệnh của Trang công để sai Thúc Nha đợi ở nhà Châm Vu thị, sai Châm Quý ép Thúc Nha uống rượu độc, nói: “Uống rượu này thì có người đời sau phụng thờ tế tự, nếu không, chết sẽ vô hậu.”
牙遂 饮鸩而死，鲁立其子为叔孙氏。	Nha bèn uống rượu độc rồi chết, nước Lỗ lập con của Thúc Nha làm Thúc Tôn thị.
八月癸亥，庄公卒，季友竟立子斑为君，如庄公命。	Ngày Quý Hợi tháng Tám, Trang công chết, rốt cuộc Quý Hữu lập Tử Ban làm vua, đúng theo di mệnh của Trang công.
及庄公卒而季友立斑， 十月己未，庆父使圉人荦杀鲁公子斑於党氏。	Đến khi Trang công chết đi, Quý Hữu lập Ban lên thay, [nhưng] ngày Kỷ Mùi tháng Mười, Khánh Phủ sai người nuôi ngựa là Lạc giết công tử Ban nước Lỗ ở nhà Đảng thị.
庆父竟立庄公子 开，是为湣公。	Rốt cuộc Khánh Phủ lập con của Trang công là Khai lên thay, đó là Mẫn công.
庆父使卜齮袭杀湣公於武闱。	Khánh Phủ sai Bốc Ỷ tập kích giết Mẫn công ở Vũ vi.
季友闻之，自陈与湣公弟申如 邾，请鲁求内之。	Quý Hữu nghe tin ấy, từ nước Trần cùng em trai Mẫn công là Thân đến nước Chu, đề nghị người nước Lỗ cho mình về nước.
於是季友奉子申 入，立之，是为釐公。	Thế là Quý Hữu theo Tử Thân về nước, [Tử Thân] lên làm vua, đó là Hy công.
釐公亦庄公少子。	Hy cũng là con út của Trang công.
季友以赂如莒求庆 父，庆父归，使人杀庆父，庆父请奔，弗听，乃使大夫奚斯行哭而 往。	Quý Hữu đem đồ hối lộ đến nước Cử để đòi Khánh Phủ, Khánh Phủ trở về, [Quý Hữu] sai người giết Khánh Phủ, Khánh Phủ xin ra đi, [Quý Hữu] không nghe, [Khánh Phủ] bèn sai đại phu Hề Tư đi [cầu xin], [Hề Tư] khóc trở về.
庆父闻奚斯音，乃自杀。	Khánh Phủ nghe thấy tiếng Hề Tư khóc, bèn tự sát.
齐桓公闻哀姜与庆父乱以危鲁，及召之 邾而杀之，以其尸归，戮之鲁。	Tề Hoàn công nghe tin Ai Khương và Khánh Phủ dâm loạn gây nguy hại cho nước Lỗ, bèn triệu Ai Khương đang ở nước Chu về rồi giết đi, đem xác [Ai Khương] về, phanh thấy ở nước Lỗ.
鲁釐公请而葬之。	Lỗ Hy công đề nghị đem chôn.
季友之将生也， 父鲁桓公使人卜之，曰：“男也，其名曰‘友’，间于两社，为公室 辅。 季友亡，则鲁不昌。”	Khi sắp sinh Quý Hữu, cha là Lỗ Hoàn công sai người bói quẻ, [thầy bói] nói: “Con trai, tên là Hữu, giữa hai đàn xã, là người phò tá tông thất. Quý Hữu chết thì nước Lỗ không còn hưng thịnh nữa.”
及生，有文在掌曰“友”，遂以名之， 号为成季。	Đến khi sinh, có chữ “Hữu” ở lòng bàn tay, liền lấy đó đặt tên, hiệu là Thành Quý.
其後为季氏，庆父後为孟氏也。	Hậu duệ của Thành Quý là Quý thị, còn hậu duệ của Khánh Phủ là Mạnh thị vậy.
釐公元年，以汶阳鄪封季友。	Hy công năm thứ nhất, đem ấp Phí và [ruộng] Vấn Dương phong cho Quý Hữu.
九年，晋里克杀其君奚齐、卓子。	Năm thứ chín, Lý Khắc nước Tấn giết vua nước mình là Hề Tề và Trác Tử.
十七年，齐桓公卒。	Năm thứ mười bảy, Tề Hoàn công chết.
二十四年，晋文公即位。	Năm thứ hai mươi tư, Tấn Văn công lên ngôi.
三十三年，釐公卒，子兴立，是为文公。	Năm thứ ba mươi ba, Hy công chết, con là Hưng lên thay, đó là Văn công.
文公元年，楚太子商臣弑其父成王，代立。	Văn công năm thứ nhất, Thái tử nước Sở là Thương Thần giết vua cha là Thành vương, lên thay.
三年，文公朝晋襄 父。	Năm thứ ba, Văn công triều kiến Tấn Tướng công.
十一年十月甲午，鲁败翟于咸，获长翟 乔如，富父终甥舂其喉，以戈杀之， 埋其首於子驹之门， 以命宣伯。	Ngày Giáp Ngọ, tháng Mười, năm thứ mười một, nước Lỗ đánh bại quân nước Địch ở đất Hàm, bắt được Kiều Như của tộc Trường Địch, Phú Phủ Chung Sanh dùng qua đâm vào yết hầu, giết chết Kiều Như, chôn thủ cấp ở cửa Tử Câu, lấy [tên của Kiều Như] đặt tên con là Tuyên Bá.
晋之灭路， 获乔如弟棼如。	Nước Tấn diệt nước Lộ, bắt được người em trai [đầu] của Kiều Như là Phần Như.
齐惠公二年，鄋瞒伐齐，齐王子城父获其弟荣 如，埋其首於北门。	Tề Huệ công năm thứ hai, Sưu Man tấn công nước Tề, vương tử nước Tề là Thành Phủ bắt [giết] được người em trai [thứ hai của] Kiều Như là Vinh Như, chôn thủ cấp cửa bắc.
卫人获其 季弟简如。	Người Vệ bắt được người em út của Kiều Như là Giản Như.
十五年，季文子使於晋。	Năm thứ mười lăm, Quý Văn tử đi sứ nước Tấn.
十八年二月，文公卒。	Tháng Hai năm thứ mười tám, Văn công chết.
俀私事襄仲， 襄仲欲立之，叔仲曰不可。	Đồng ngấm ngầm phụng sự Tương Trọng, Tương Trọng muốn lập Đồng lên ngôi, Thúc Trọng nói: “Không thể được.”
冬十 月，襄仲杀子恶及视而立俀，是为宣公。	Tháng Mười mùa đông, Tương Trọng giết Tử Ác và Thị rồi lập Đồng lên ngôi, đó là Tuyên công.
宣公俀十二年，楚庄王彊，围郑。	Tuyên công Đồng năm thứ mười hai, Sở Trang vương lớn mạnh, bao vây nước Trịnh.
郑伯降，复国之。	Trịnh bá đầu hàng, rồi lại khôi phục nước cho.
十八年，宣公卒，子成公黑肱立， 是为成公。	Năm thứ mười tám, Tuyên công chết, con là Hắc Quăng lên ngôi, đó là Thành công.
季文子曰：“使我杀適立庶失大援 者， 襄仲。”	Quý Văn tử nói: “Người sai khiến ta phải giết đích lập thứ, mất đi sự chi viện lớn, là Tương Trọng.”
襄仲立宣公，公孙归父有宠。	Tương Trọng lập Tuyên công lên ngôi, Công Tôn Quy Phủ được sủng ái.
宣公欲去三桓，与晋谋伐三桓。 会宣公卒，季文子怨之，归父 奔齐。	Tuyên công muốn trừ khử Tam Hoàn, cùng nước Tấn mưu phạt Tam Hoàn. Gặp đúng lúc Tuyên công chết, Quý Văn tử oán Tương Trọng, Quy Phủ phải chạy sang nước Tề.
成公二年春，齐伐取我隆。	Mùa xuân năm Thành công thứ hai, nước Tề đánh chiếm được ấp Long của nước Lỗ.
四 年，成公如晋，晋景公不敬鲁。	Năm thứ tư, Thành công sang nước Tấn, Tấn Cảnh công bất kính với vua Lỗ.
十 年，成公如晋。	Năm thứ mười, Thành công sang nước Tấn.
晋景公卒，因留成公送葬，鲁讳之。	Tấn Cảnh công chết, nhân đó [nước Tấn] giữ Thành công lại để đưa [Cảnh công đi] an táng, nước Lỗ giấu nhẹm việc này.
十六年，宣伯告晋，欲诛季文子。	Năm thứ mười sáu, Tuyên bá báo cho nước Tấn biết ý định giết Quý Văn tử.
文子有义，晋人弗许。	Văn tử có đạo nghĩa, người Tấn không đồng ý.
十八年，成公卒，子午立，是为襄公。	Năm thứ mười tám, Thành công chết, con là Ngọ lên thay, đó là Tương công.
是时襄公三岁也。	Bấy giờ Tương công mới ba tuổi.
襄公元年，晋立悼公。	Tương công năm đầu, nước Tấn lập Điệu công làm vua.
四年，襄公 朝晋。	Năm thứ tư, Tương công triều kiến vua Tấn.
五年，季文子卒。	Năm thứ năm, Quý Văn tử chết.
君子曰：“季文子廉忠矣。”	Người quân tử nói: “Quý Văn tử là người liêm khiết trung thành vậy.”
九年，与晋伐郑。	Năm thứ chín, [nước Lỗ] cùng nước Tấn đánh nước Trịnh.
晋悼公冠襄公於卫， 季武子从，相行礼。	Tấn Điệu công làm lễ đội mũ cho Tương công ở nước Vệ, Quý Vũ tử đi theo, giúp việc thực hiện các nghi lễ.
十一年，三桓氏分为三军。	Năm thứ mười một, Tam Hoàn thị chia làm ba quân.
十二年，朝晋。	Năm thứ mười hai, triều kiến vua Tấn.
十六年，晋平公即位。 二十一年，朝晋平公。	Năm thứ mười sáu, Tấn Bình công lên ngôi. Năm thứ hai mươi mốt, triều kiến Tấn Bình công.
二十二年，孔丘生。	Năm thứ hai mươi hai, Khổng Khâu sinh.
二十五年，齐崔杼弑其君庄公，立其弟景公。	Năm thứ hai mươi lăm, Thôi Trữ nước Tề giết vua nước mình là Trang công, lập em của Trang công lên ngôi, đó là Cảnh công.
二十九年，吴延陵季子使鲁，问周乐，尽知其意，鲁人敬焉。	Năm thứ hai mươi chín, Diên Lăng Quý tử nước Ngô đi sứ sang nước Lỗ, hỏi về nhạc nhà Chu, hiểu hết nghĩa lý các khúc nhạc, người nước Lỗ kính trọng ông ta.
三十一年六月，襄公卒。	Tháng Sáu năm thứ ba mươi mốt, Tương công chết.
其九月，太子卒。	Tháng Chín năm này, Thái tử chết.
鲁人立齐归之子裯为 君， 是为昭公。	Người Lỗ lập con trai của Tề Quy là Trù làm vua, đó là Chiêu công.
昭公年十九，犹有童心。	Chiêu công năm mười chín tuổi, tâm tính vẫn như trẻ con.
穆叔不欲立，曰：“太子 死，有母弟可立，不即立长。 年钧择贤，义钧则卜之。 今裯非適嗣，且又居丧意不在戚而有喜色，若果立，必为季 氏忧。”	Mục Thúc vốn không muốn lập [Trù], nói: “Thái tử chết đi, có thể lập em cùng mẹ, nếu không thì lập trưởng [của ngành thứ]. Nếu tuổi ngang nhau thì chọn người hiền, đạo nghĩa ngang nhau thì bói quẻ quyết định. Nay Trù không phải con đích nối dòng, vả lại cư tang mà không có ý thương xót, còn có vẻ vui mừng, nếu quả thực được lập, ắt thành mối lo của Quý thị.”
季武子弗听，卒立之。	Quý Vũ tử không nghe, rốt cuộc vẫn lập Trù làm vua.
君子曰：“是不终也。”	Bậc quân tử nói: “Người này không có kết cục trọn vẹn vậy.”
昭公三年，朝晋至河，晋平公谢还之，鲁耻焉。	Chiêu công năm thứ ba, triều kiến nước Tấn, [khi mới] đến sông Hoàng Hà, Tấn Bình công đã từ tạ rồi [bảo Chiêu công] về, nước Lỗ lấy làm hổ thẹn.
七年，季武子卒。	Năm thứ bảy, Quý Vũ tử chết.
八年，楚灵王就章华 台，召昭公。	Năm thứ tám, Sở Linh vương dựng xong đài Chương Hoa, triệu Chiêu công tới.
十二年，朝晋至河，晋平 公谢还之。	Năm thứ mười hai, triều kiến vua Tấn, [khi mới] đến sông Hoàng Hà, Tấn Bình công đã từ tạ rồi bảo Chiêu công về.
十三年，楚公子弃疾弑其君灵王，代立。	Năm thứ mười ba, công tử Khí Tật nước Sở giết vua nước mình là Linh vương, rồi lên thay.
十五年，朝晋， 晋留之葬晋昭公，鲁耻之。	Năm thứ mười lăm, triều kiến nước Tấn, nước Tấn giữ lại để an táng Tấn Chiêu công, nước Lỗ lấy làm hổ thẹn về việc đó.
二十年，齐景公与晏子狩竟，因入鲁问 礼。	Năm thứ hai mươi, Tề Cảnh công và Yến tử đi săn ở biên giới, nhân đó vào nước Lỗ hỏi về lễ.
二十一年，朝晋至河，晋谢还之。	Năm thứ hai mươi mốt, triều kiến vua Tấn, [khi mới] đến sông Hoàng Hà, vua Tấn đã từ tạ rồi [bảo Chiêu công] về.
季平子怒，囚臧 氏老。	Quý Bình tử tức giận, giam gia thần nhà họ Tang.
臧、郈氏以难告昭公。	Họ Tang và họ Hậu đem họa nạn đó báo Với Chiêu Công.
昭 公九月戊戌伐季氏，遂入。	Ngày Mậu Tuất tháng Chín, Chiêu công tiến đánh họ Quý, tiến vào lãnh địa.
平子登台请曰：“君以谗不察臣罪，诛 之，请迁沂上。”	Bình tử lên đài đề nghị rằng: “Nhà vua nghe lời gièm pha, không xét tội của thần, đến để giết thần, vậy xin cho thần được lưu đày đến vùng trên sông Nghi.”
请囚於鄪，弗许。	[Bình tử] xin bị giam ở đất Phí, [Chiêu công] không cho.
子家驹曰：“君其许 之。政自季氏久矣，为徒者众，众将合谋。”	Tử Gia Câu nói: “Nhà vua hãy đồng ý đi! Chính sự trong tay họ Quý đã lâu, bè đảng đông đúc, sẽ hợp lại để mưu tính đấy.”
郈氏曰：“必杀 之。”	Họ Hậu nói: “Nhất định phải giết đi.”
叔孙氏之臣戾谓其众曰：“无季氏与有，孰 利？”	Gia thần của họ Thúc Tôn là Lệ hỏi đồng đảng rằng: “Không có họ Quý với có họ Quý, đằng nào lợi hơn?”
皆曰：“无季氏是无叔孙氏。”	Đồng đảng đều đáp: “Không có họ Quý thì không có họ Thúc Tôn.”
戾曰：“然，救季氏！”	Lệ đáp: “Phải, hãy cứu họ Quý!”
三家共伐公，公遂奔。	Ba nhà [Quý Tôn, Thúc Tôn, Mạnh Tôn] cùng đánh Chiêu công, Chiêu công liền tháo chạy.
己亥，公 至于齐。	Ngày Kỷ Hợi, Chiêu công đến nước Tề.
齐景公曰：“请致千社待君。”	Tề Cảnh công nói: “Xin đem nghìn xã tiếp đãi ngài.”
子家曰：“弃周公之业而臣 於齐，可乎？”	Tử Gia nói: “Bỏ cơ nghiệp của Chu công để làm bề tôi nước Tề, liệu được không?”
子家曰：“齐景公无信，不如早之晋。”	Tử Gia nói: “Tề Cảnh công vốn không có tín nghĩa, chi bằng hãy sớm qua nước Tấn.”
弗 从。 叔孙见公还，见平子，平子顿首。	[Chiêu công] không nghe, Thúc Tôn [sang nước Tề] trông thấy Chiêu công, trở về nước Lỗ, [Thúc Tôn] gặp Bình tử, Bình tử khấu đầu.
初欲迎昭公，孟孙、季孙後 悔，乃止。	[Thúc Tôn] ban đầu muốn nghênh đón Chiêu công trở về, nhưng rồi họ Mạnh Tôn, Quý Tôn sợ sau này sẽ phải hối hận, bèn thôi.
二十六年春，齐伐鲁，取郓而居昭公焉。	Mùa xuân năm thứ hai mươi sáu, nước Tề đánh nước Lỗ, chiếm được ấp Vận rồi cho Chiêu công ở đó.
子将言於齐侯曰：“群臣不 能事鲁君，有异焉。宋元公为鲁如晋，求 内之，道卒。叔孙昭子 求内其君，无病而死。不知天弃鲁乎？抑鲁君有罪于鬼神 也？原君且待。”	Vì thế Tử Tương mới nói với Tề hầu rằng: “Quần thần không thể phụng sự Lỗ quân, có điều gì kỳ quái chăng? Tống Nguyên công vì nước Lỗ mà Sang nước Tấn, thỉnh cầu nước Tấn đua Lỗ quân về, [để rồi bị] chết trên đường đi. Thúc Tôn Chiêu tử xin đưa vua mình về nước, rồi không bệnh mà chết. Không rõ trời bỏ nước Lỗ ư? Hay là Lỗ quân có tội với quỷ thần? Xin nhà vua hãy đợi xem sao.”
齐景公从之。	Tề Cảnh công nghe theo.
二十八年，昭公如晋，求入。	Năm thứ hai mươi tám, Chiêu công sang xin nước Tấn giúp đỡ để về nước.
二十九年，昭公如郓。	Năm thứ hai mươi chín, Chiêu công đến ấp Vận.
三十一年，晋欲内昭公，召季平 子。	Năm thứ ba mươi mốt, nước Tấn muốn đưa Chiêu Công về, bèn triệu kiến Quý Bình tử.
六卿为言 曰：“晋欲内昭公，众不从。”	Lục khanh nói giúp rằng: “Nước Tấn muốn đưa Chiêu công về, nhưng dân chúng không chịu.”
三十二年，昭公卒於乾侯。	Năm thứ ba mươi hai, Chiêu công chết ở Càn Hầu.
鲁人共立昭公弟宋为君，是为定公。	Người Lỗ cùng lập em trai Chiêu công là Tống lên làm vua, đó là Định công.
定公立，赵简子问史墨曰：“季 氏亡乎？”	Định công lên ngôi, Triệu Giản tử hỏi quan sử là Mặc rằng: “Họ Quý có bị diệt vong không?”
史墨对曰：“不亡。季友有大功於鲁，受鄪为上卿，至于 文子、武子，世增其业。鲁文公卒，东门遂 杀適立庶，鲁君於是失国政。政在季氏，於 今四君矣。民不知君，何以得国！是以为君慎器与名，不可以假 人。”	Quan sử Mặc đáp rằng: “Không bị diệt vong. Quý Hữu có công lớn với nước Lỗ, được phân phong ấp Phí làm tới chức Thượng khanh, đến Văn tử, Vũ tử, đời đời cơ nghiệp tăng thêm. Lỗ Văn công chết, Đông Môn Toại giết đích lập thứ, thế là vua Lỗ mất quyền bính. Quyền chính trong tay họ Quý, đến nay trải bốn đời vua rồi. Dân không biết đến vua, làm sao mà được nước! Bởi vậy làm vua phải thận trọng với các đồ xa mã, phục sức và tước hiệu, không được khinh suất trao cho người khác.”
定公五年，季平子卒。	Định công năm thứ năm, Quý Bình tử chết.
阳虎私怒，囚季桓子，与盟，乃舍之。	Dương Hổ vì oán hận cá nhân mà nổi giận, bắt giam Quý Hoàn tử, buộc cùng lập minh ước rồi mới thả.
七 年，齐伐我，取郓，以为鲁阳虎邑以从政。	Năm thứ bảy, nước Tề đánh nước Lỗ, chiếm ấp Vận, lấy làm ấp [phong cho] Dương Hổ, để [Dương Hổ] xử lý chính sự.
十年，定公与齐景公会於夹谷，孔子行相事。	Năm thứ mười, Lỗ Định công và Tề Cảnh công hội minh ở Giáp Cốc, Khổng tử đi theo giúp việc.
十二年，使 仲由毁三桓城，收其甲兵。	Năm thứ mười hai, sai Trọng Do phá hủy thành trì của Tam Hoàn, thu lấy giáp binh.
孟氏不肯堕 城，伐之，不克而止。	Họ Mạnh không chịu phá thành, đem quân đánh [họ Mạnh], không hạ được nên thôi.
十五年，定公卒，子将立，是为哀公。	Năm thứ mười lăm, Định công chết, con là Tướng lên thay, đó là Ai công.
哀公五年，齐景公卒。	Ai công năm thứ năm, Tề Cảnh công chết.
七年，吴王夫差彊，伐齐，至缯，徵百牢於鲁。	Năm thứ bảy, Ngô vương Phù Sai mạnh lên, đánh nước Tề, đến đất Tăng, đòi nước Lỗ cung ứng cỗ Bách lao.
季康子使子贡说 吴王及太宰嚭，以礼诎之。	Quý Khang tử sai Tử Cống sang thuyết phục Ngô vương cùng Thái tể Bá Phỉ, dùng lễ để bác đi.
吴王曰：“我文身，不足责礼。”	Ngô vương nói: “Ta xăm mình, không thể dùng lễ mà căn dặn được.”
八年，吴为邹伐鲁，至城下，盟而去。	Năm thứ tám, nước Ngô vì nước Trâu nên tiến đánh nước Lỗ, kéo đến dưới thành, kết minh rồi về.
齐伐我，取三邑。	Nước Tề đánh nước Lỗ, chiếm được ba ấp.
十年， 伐齐南边。	Năm thứ mười, tiến đánh biên giới phía nam nước Tề.
十一年，齐伐鲁。	Năm thứ mười một, nước Tề đánh nước Lỗ.
季氏用厓有有功，思孔子，孔子自卫归 鲁。	Họ Quý dùng Nhiễm Hữu, lập được công tích, nhớ đến Khổng tử, Khổng tử từ nước Vệ trở về nước Lỗ.
十四年，齐田常弑其君简公於袪州。	Năm thứ mười bốn, Điền Thường nước Tề giết vua nước mình là Giản công ở Từ Châu.
孔子请伐之，哀公不听。	Khổng tử đề nghị thảo phạt Điền Thường, Ai công không nghe.
十 五年，使子服景伯、子贡为介，適齐，齐归我侵地。	Năm thứ mười lăm, phái Tử Phục Cảnh bá làm sứ thần, Tử Cống làm phó sang nước Tề, nước Tề trả các đất đã chiếm của nước Lỗ.
十六年，孔子卒。	Năm thứ mười sáu, Khổng tử chết.
二十二年，越王句践灭吴王夫差。	Năm thứ hai mươi hai, Việt vương Câu Tiễn diệt Ngô vương Phù Sai.
二十七年春，季康子卒。	Mùa xuân năm thứ hai mươi bảy, Quý Khang tử chết.
对曰：“不知也。”	Đáp rằng: “Không biết.”
公欲以越伐三桓。	Ai cũng muốn dùng người Việt để đánh Tam Hoàn.
三桓攻公，公奔 于卫，去如邹，遂如越。	Tam Hoàn tấn công Ai công, Ai công chạy sang nước Vệ, lại sang nước Trâu, rồi sang nước Việt.
国人迎哀公复归，卒于有山氏。 子宁立，是为悼公。	Người trong nước đón Ai công trở về, rồi chết ở nhà họ Hữu Sơn, con là Ninh lên thay, đó là Điệu công.
悼公之时，三桓胜，鲁如小侯，卑於三桓之家。	Thời Điệu Công, Tam Hoàn thắng thế, nước Lỗ giống như chư hầu nhỏ, còn kém hơn gia tộc của Tam Hoàn.
十三年，三晋灭智伯，分其地有之。	Năm thứ mười ba, Tam Tấn tiêu diệt Trí bá, chia nhau đất đai chiếm được của Trí bá.
三十七年，悼公卒， 子嘉立，是为元公。 元公二 十一年卒，子显立，是为穆 公。	Năm thứ ba mươi bảy, Điệu công chết, con là Gia lên thay, đó là Nguyên công. Nguyên công năm thứ hai mươi mốt thì chết, con là Hiển lên thay, đó là Mục Công.
穆公三十三年卒， 子奋立，是为共公。	Mục công năm thứ ba mươi ba thì chết, con là Phấn lên thay, đó là Cung công.
共公二十二年卒， 子屯立，是为康公。	Cung công năm thứ hai mươi hai thì chết, con là Truân lên thay, đó là Khang công.
康公九年卒，子匽 立，是为景公。	Khang công năm thứ chín thì chết, con là Yển lên thay, đó là Cảnh công.
景公二十九年卒， 子叔立，是为平公。	Cảnh công năm thứ hai mươi chín thì chết, con là Thúc lên thay, đó là Bình công.
是时六国皆称王。	Bấy giờ sáu nước đều xưng vương.
平公十二年，秦惠王卒。	Bình công năm thứ mười hai, Tần Huệ vương chết.
二十年，平公卒， 子贾立，是为文公。	Năm thứ hai mươi, Bình công chết, con là Giả lên thay, đó là Văn công.
文公年，楚怀王死于秦。	Năm Văn công thứ nhất, Sở Hoài vương chết ở nước Tần.
二十三年， 文公卒，子雠立，是为顷 公。	Năm thứ hai mươi ba, Văn công chết, con là Thù lên thay, đó là Khoảnh công.
顷公二年，秦拔楚之郢， 楚顷王东徙于陈。	Khoảnh công năm thứ hai, Tần hạ được Dĩnh đô nước Sở, Sở Khoảnh vương sang đông dời đến ấp Trần.
十九年，楚伐我，取徐州。	Năm thứ mười chín, nước Sở đánh nước Lỗ, chiếm được Từ Châu.
二十四年，楚考烈王 伐灭鲁。	Năm thứ hai mươi tư, Khảo Liệt vương nước Sở đánh diệt nước Lỗ.
顷公亡，迁於下邑， 为家人，鲁 绝祀。	Khoảnh công chạy trốn, trốn đến một ấp nhỏ ngoài nước, trở thành dân thường, nước Lỗ chấm dứt tế tự.
顷公卒于柯。	Khoảnh công chết ở ấp Kha.
鲁起周公至顷公，凡三十四世。	Nước Lỗ từ Chu công đến Khoảnh công, cả thảy ba mươi tư đời.
太史公曰：余闻孔子称曰“甚矣鲁道之衰也！洙泗之间龂龂如 也”。	Thái sử công bàn rằng: Ta nghe Khổng tử nói rằng: “Đạo của nước Lỗ suy bại quá chừng! Giữa khoảng sông Thù sông Tứ mà còn lấn lướt nhau đến như thế.”
观庆父及叔牙闵公之际，何其乱也？	Xem giữa Khánh Phủ với Thúc Nha, Mẫn công, sao loạn đến thế?
武王既没，成王幼孤。 周公摄政，负扆据图。 及还臣 列，北面歔如。 元子封鲁，少昊之墟。	Nào việc của Ẩn công, Hoàn công; nào việc Tương Trọng giết đích lập thứ, ba nhà [Mạnh Tôn, Thúc Tôn, Quý Tôn] quay mặt về bắc làm bề tôi thế mà lại đích thân tấn công Chiêu công, khiến Chiêu công phải chạy trốn.
周公喜，开籥，乃见书遇吉。	Chu công mừng, lại đích thân mở khóa lấy sách bói quẻ ra coi, thấy sách cũng ghi lời bói tốt lành.
周 公藏其策金縢匮中， 诫守者勿敢言。	Chu công đem cất thẻ ghi lời khấn vào hộp Kim đằng, răn bảo người cất giữ không được nói cho ai biết.
诸侯咸服宗周。	Chư hầu đều quy phục nhà Chu.
周公卒後，秋未穫，暴风雷，禾尽偃，大木尽拔。	Sau khi Chu công mất, mùa thu lúa còn chưa gặt, trời nổi gió lớn sấm rền, lúa đều đổ rạp, cây lớn bật gốc.
王出郊，天乃雨，反风，禾尽 起。	Thành vương ra ngoại thành tế giao, trời bèn đổ mưa, gió thổi ngược lại, lúa thảy lại dựng lên.
於是伯禽率师伐之於肸，作 肸誓， 曰：“陈尔甲胄，无敢不善。无敢伤牿。 马牛其风，臣妾逋逃， 勿敢越逐，敬 复之。 无敢寇攘，逾墙垣。 鲁人三郊三隧， 歭尔刍茭、糗粮、桢榦， 无敢不逮。我 甲戌筑而征徐戎，无敢 不及，有大刑。”	Thế là Bá Cầm dẫn quân chinh phạt chúng ở đất Bí, làm bài “Bí thệ”, viết rằng: “Các ngươi hãy bày giáp trụ, đừng làm điều chẳng lành. [Các ngươi] chớ làm tổn thương trâu ngựa trong chuồng trại. [Nhìn thấy] trâu ngựa chạy đi, đầy tớ con hầu bỏ trốn, chớ có rượt đuổi, sẽ có kẻ cung kính dẫn về thôi. Đừng có cướp bóc, trèo tường [trộm cắp]. Người Lỗ ở ba mặt, hãy dự trữ rơm cỏ, lương khô, ván cọc, đừng để thiếu. Ta định ngày Giáp Tuất sẽ xây thành đắp ụ, chinh phạt tộc Từ Nhung, không được vắng mặt, trái lệnh sẽ xử đại hình.”
懿公九年，懿公兄括之子伯御与鲁人攻弑 懿公，而立伯御为君。	Ý công năm thứ chín, con trai người anh của Ý công là Bá Ngự cùng người Lỗ đánh giết Ý công, rồi lập Bá Ngự làm vua.
秦始列为诸侯。	Nước Tần bắt đầu được liệt vào hàng chư hầu.
初，惠公適夫人无子，公贱妾 声子生子息。	Trước đây, phu nhân của Huệ công không có con, tiện thiếp của Huệ công là Thanh Tử sinh con là Tức.
宋女至而好，惠公夺而自妻之。	Người con gái nước Tống đến [nước Lỗ], [nàng ta] xinh đẹp, Huệ công liền cướp đoạt rồi tự lấy làm vợ.
子允许诺。	Tử Doãn đồng ý.
公怒夫人，夫人以告齐侯。	Hoàn công giận phu nhân, phu nhân đem việc đó nói với Tề hầu.
鲁人告于齐曰：“寡君畏君之威，不敢 宁居，来脩好礼。礼成而不反，无所归咎，请得彭生除丑於诸 侯。”	Người Lỗ báo cho nước Tề rằng: “Vua nước tôi sợ uy của ngài, không dám ở yên [trong nước], đến làm lễ giao hảo. Lễ xong mà không trở về, không biết đổ lỗi cho ai, xin giao Bành Sinh để xóa tiếng xấu với chư hầu.”
齐人杀彭生以说鲁。	Người Tề giết Bành Sinh để làm đẹp lòng nước Lỗ.
三十二年，初，庄公筑台临党氏， 见孟女， 说而爱之，许立为夫人，割臂以 盟。	Năm thứ ba mươi hai, ban đầu, Trang công dựng đài gần nhà Đảng thị, thấy nàng Mạnh nữ, thích rồi yêu nàng, hứa lập làm phu nhân, cắt vào tay để thề.
哀姜娣 曰叔姜，生子开。	Em gái Ai Khương là Thúc Khương sinh con trai là Khai.
庄公患叔牙 欲立庆父，退而问季友。	Trang công e Thúc Nha muốn lập Khánh Phủ, [sau khi Thúc Nha] lui về [Trang công] bèn hỏi Quý Hữu.
湣公二年，庆父与哀姜通益甚。	Mẫn công năm thứ hai, Khánh Phủ và Ai Khương tư thông ngày càng nhiều.
哀姜与庆父谋杀湣公而立庆父。	Ai Khương cùng Khánh Phủ mưu giết Mẫn công để Khánh Phủ lên thay.
鲁人欲诛庆父。	Người Lỗ muốn giết Khánh Phủ.
庆父恐，奔莒。	Khánh Phủ lo sợ, chạy sang nước Cử.
初，宋武公之世，鄋瞒伐宋， 司徒皇父帅师御之，以败翟于长丘，获 长翟缘斯。	Trước đây, vào thời Tống Vũ công, Sưu Man tấn công nước Tống, Tư đồ Hoàng Phủ quân chống địch, nhờ đó đánh bại người Địch ở Trường Khâu, bắt được Duyên Tư của tộc Trường Địch.
襄仲请齐惠公，惠公新立，欲亲鲁，许之。	Tương Trọng bèn thỉnh cầu Tề Huệ công, Huệ công mới lên ngôi, muốn kết thân với nước Lỗ, đồng ý.
哀姜归齐，哭而过巿， 曰：“天乎！襄仲为不道，杀適立庶！”	Ai Khương trở về nước Tề, khóc đi qua chợ, nói: “Trời ơi! Tương Trọng làm việc vô đạo, giết con đích lập con thứ!”
巿人皆哭，鲁人 谓之“哀姜”。	Người trong chợ đều khóc, người Lỗ gọi nàng là “Ai Khương”.
