匈奴，其先祖夏后氏之苗裔也，曰淳维。	Hung Nô, tiên tổ là con cháu của họ Hạ Hậu, gọi là Thuần Duy.
秦 穆公得由余，西戎八国服於秦，故自陇以西有绵诸、 绲戎、 翟、镕之戎， 岐、梁山、泾、漆之北有义渠、 大荔、 乌氏、 朐衍之戎。	Tần Mục Công có được Do Dư, tám nước Tây Nhung thần phục nước Tần, do đó từ đất Lũng về phía tây có các tộc người Nhung là Miên Chư, Côn Nhung, Địch, Nguyên; từ đất Kỳ, Lương Sơn, Kinh, Tất về phía bắc có các tộc Nhung Nghĩa Cừ, Đại Lệ, Ô Chi, Hu Diễn.
自是之後百有馀年，晋悼公使魏绛和戎翟，戎翟朝晋。	Hơn trăm năm sau, Tấn Điệu công sai Ngụy Giáng giảng hòa với Nhung địch, Nhung địch vào chầu nhà Tấn.
後百有馀 年，赵襄子逾句注 而破并代以临胡貉。	Hơn trăm năm sau, Triệu Tương tử vượt qua Câu Chú đánh phá và thôn tính nước Đại rồi kéo đến Hồ Mạch.
惠王击魏，魏尽入 西河及上郡于秦。	Huệ vương đánh Ngụy, Ngụy sáp nhập Tây Hà cùng Thượng Quận vào Tần.
宣太后诈而杀义渠戎王於甘泉， 遂起兵伐残义渠。	Tuyên thái hậu lừa rồi giết vua Nghĩa Cừ ở Cam Tuyền, rồi dấy binh đánh diệt Nghĩa Cừ.
其 後燕有贤将秦开，为质於胡，胡甚信之。	Sau đó, nước Yên có tướng giỏi là Tần Khai, làm con tin ở Hồ, người Hồ rất tin tưởng.
归而袭破走东胡，东胡卻千 馀里。	Sau khi Tần Khai về nước, đem quân đánh úp, đuổi đến Đông Hồ, người Đông Hồ lui hơn nghìn dặm.
与荆轲刺秦王秦舞阳者，开之孙也。	Vũ Dương, người theo Kinh Kha hành thích Tần Thủy hoàng chính là cháu nội của Khai vậy.
燕亦筑长城，自造阳 至襄平。	Nước Yên cũng đắp trường thành, đoạn từ Tạo Dương đến Tương Bình.
当是之时，冠带战国七，而三国边於匈奴。	Lúc đó, trong bảy nước thời Chiến quốc vượt trội về chế độ mũ đai, chỉ có ba nước giáp giới Hung Nô.
後秦灭六国，而始皇帝 使蒙恬将十万之众北击胡，悉收河南地。	Sau, Tần diệt sáu nước, Thủy hoàng sai Mông Điềm mang mười vạn quân lên phía bắc đánh Hung Nô, thu hết đất Hà Nam.
又度河 据阳山北假中。	Lại vượt qua sông Hoàng Hà chiếm lấy khu vực Bắc Giả vùng Dương Sơn.
当是之时，东胡彊而月氏盛。	Bấy giờ, Đông Hồ mạnh mà Nguyệt Chi hưng thịnh.
十馀年而蒙恬死，诸侯畔秦，中国扰乱，诸秦所徙適戍边者皆复去， 於是匈奴得宽，复稍度河南与中国界於故塞。	Hơn mười năm sau, Mông Điềm chết, chư hầu phản lại Tần, Trung nguyên loạn lạc, dân vùng biên bị Tần đày ra đều bỏ đi, do đó Hung Nô được rảnh tay, lại dần dần vượt sông Hoàng Hà xác lập biên giới phía nam với Trung nguyên như trước.
後有所爱阏氏， 生少子， 而单于欲废冒顿而立少子，乃使冒顿质於月氏。	Sau, Thiền vu lại sủng ái Yên chi khác, sinh ra con bé, Thiền vu muốn phế Mặc Đốn để lập con nhỏ lên làm thái tử, bèn sai Mặc Đốn đi làm con tin ở tộc Nguyệt Chi.
冒顿既质於月氏，而 头曼急击月氏。	Mặc Đốn đến làm con tin ở Nguyệt Chi, Đầu Man liền tấn công Nguyệt Chi.
月氏欲杀冒顿，冒顿盗其善马，骑之亡归。	Nguyệt Chi định giết Mặc Đốn, Mặc Đốn trộm được ngựa tốt, cưỡi ngựa trốn về.
冒顿既立，是时东胡彊盛， 闻冒顿杀父自立，乃使使谓冒顿，欲得头曼时有千里马。	Sau khi Mặc Đốn lên ngôi, bấy giờ Đông Hồ hùng mạnh, nghe tin Mặc Đốn giết cha tự lập, bèn sai sứ đến nói với Mặc Đốn, muốn xin ngựa thiên lý của Đầu Man.
遂与之千里马。 居顷之，东胡以为冒顿畏之， 乃使使谓冒顿，欲得单于一阏氏。	Bèn cho Đông Hồ ngựa thiên lý. Một thời gian sau, Đông Hồ cho là Mặc Đốn sợ mình, liền sai sứ nói với Mặc Đốn, muốn được một Yên chi của Thiền vu.
遂取所爱阏氏予东胡。	Bèn lấy một nàng Yên chi sủng ái cho Đông Hồ.
东胡王愈益骄，西侵。	Vua Đông Hồ càng thêm kiêu, đi xâm lấn phía tây.
於是冒顿大怒曰：“地者， 国之本也，柰何予之！”	Thế là Mặc Đốn cả giận nói: “Đất đai là gốc của quốc gia, sao lại cho chúng!”
冒顿上马，令国中有 後者斩，遂东袭击东胡。	Mặc Đốn lên ngựa, lệnh cho trong nước ai lui lại phía sau thì chém, rồi sang phía đông đánh úp Đông Hồ.
东胡初轻冒顿，不为备。	Đông Hồ ban đầu khinh thường Mặc Đốn, không phòng bị.
及冒顿以兵至， 击，大破灭东胡王，而虏其民人及畜产。	Đến khi Mặc Đốn đem quân tới đánh, cả phá và giết vua Đông Hồ, bắt dân Đông Hồ cùng súc vật, của cải.
既归，西击走月氏，南并楼 烦、白羊河南王。	Rồi rút về, sang tây đánh đuổi Nguyệt Chi, xuống nam chiếm Lâu Phiền, Bạch Dương Hà Nam vương.
是时汉兵与项羽相距，中国罢於兵 革，以故冒顿得自彊，控弦之士三十馀万。	Bấy giờ quân Hán đang cầm cự với Hạng Vũ, Trung nguyên mỏi mệt vì chiến tranh, do đó Mặc Đốn có cơ hội tự lớn mạnh, quân cung nỏ có đến hơn ba mươi vạn.
自淳维以至头曼千有馀岁，时大时小，别散分离，尚矣，其世传 不可得而次云。	Từ Thuần Duy đến Đầu Man hơn nghìn năm, lúc lớn lúc nhỏ, lúc tan lúc lìa, quá xa, các đài truyền nhau không thể biết được thứ tự.
然至冒顿而匈奴最彊大，尽服从北夷，而南与中国为 敌国，其世传国官号乃可得而记云。	Nhưng đến Mặc Đốn thì Hung Nô lớn mạnh nhất, thu phục hết tộc người di ở phương bắc, thành nước đối địch Trung nguyên ở phía nam, các đời truyền nhau, danh hiệu các chức quan của Hung Nô, có thể chép lại được.
诸大臣皆世官。	Các đại thần đều đời đời tập ấm.
而单于朝出营，拜日之始生，夕拜月。	Còn Thiền vu thì buổi sáng ra khỏi doanh, vái lạy mặt trời lên, buổi tối vái lạy trăng.
後北服浑庾、屈射、丁零、 鬲昆、薪犁之国。	Về sau, Hung Nô phía bắc chế phục các nước Hồn Dữu, Khuất Xạ, Đinh Linh, Cách Côn, Tân Lê.
是时汉初定中国，徙韩王信於代，都马邑。	Bấy giờ nhà Hán mới bình định Trung nguyên, dời Hàn vương Tín đến nước Đại, đóng đô ở Mã Ấp.
高祖崩，孝惠、吕太后时，汉初定，故匈奴以骄。	Cao đế băng hà, thời Hiếu Huệ đế, Lã thái hậu, nhà Hán mới yên định, vì thế Hung Nô càng lộng hành.
高后欲击之， 诸将曰：“以高帝贤武，然尚困於平城。”	Cao hậu định đánh Hung Nô, các tướng nói: “Giỏi võ bị như Cao đế, còn bị vây khốn ở Bình Thành.”
於是高 后乃止，复与匈奴和亲。	Thế là Cao hậu bèn thôi, lại giảng hòa thân thiết với Hung Nô.
至孝文帝初立，复修和亲之事。 其三年五月，匈奴右贤王入居河 南地，侵盗上郡葆塞蛮夷，杀略人民。	Đến khi Hiếu Văn đế mới lên ngôi, lại tái thiết quan hệ hòa thân với Hung Nô, tháng Năm năm thứ ba thời Hiếu Văn đế, Hữu hiền vương của Hung Nô vào chiếm đất Hà Nam, xâm lấn cướp bóc người man di ở biên giới Thượng Quận, giết chóc dân chúng.
右贤王走出 塞。	Hữu hiền vương chạy khỏi biên giới.
文帝幸太原。	Văn đế đến Thái Nguyên.
是时济北王反，文帝归，罢丞相击胡之兵。	Bấy giờ Tế Bắc vương làm phản, Văn đế bèn trở về, đình chỉ quân đánh Hồ của Thừa tướng.
说不欲行，汉彊使之。	Duyệt không muốn đi, nhà Hán ép phải đi.
单于留塞内月馀乃去，汉逐出塞即还，不能 有所杀。	Thiền vu đóng lại trong biên giới hơn một tháng rồi rút, quân Hán đuổi ra khỏi biên giới rồi rút về, không giết được địch.
既立，孝文皇帝复 与匈奴和亲。	Quân Thần mới lên, Hiếu Văn đế lại hòa thân với Hung Nô.
而中行说复事之。	Còn Trung Hàng Duyệt lại tiếp tục phụng sự Thiền vu.
後岁馀，孝文帝崩，孝景帝立，而赵王遂 乃阴使人於匈奴。	Hơn mấy năm sau, Hiếu Văn đế băng hà, Hiếu Cảnh đế lên ngôi, Triệu vương Toại bèn ngầm sai người sang Hung Nô.
终孝景时，时小入盗边，无大寇。	Hết thời Hiếu Cảnh đế, có lúc Hung Nô vào cướp vặt ở biên giới, không có đánh cướp lớn.
单于信之，而贪马邑财 物，乃以十万骑入武州塞。	Thiền vu tin theo, tham của cải Mã Ấp, liền đem mười vạn quân kỵ xâm phạm biên ải Vũ Châu.
是时雁门尉 史行 徼，见寇，葆此亭，知汉兵谋，单于得，欲杀之， 尉史乃告单于汉兵所居。	Bấy giờ viên Uý sử Nhạn Môn đi tuần, thấy giặc cướp, liền giữ nơi tuần phòng, biết mưu kế quân Hán, Thiền vu bắt được, định giết, Uý sử liền nói với Hung Nô chỗ quân Hán mai phục.
单于大惊曰：“吾固 疑之。”	Thiền vu cả sợ nói: “Ta vốn đã ngờ việc đó.”
自是之後，匈奴绝 和亲，攻当路塞，往往入盗於汉边，不 可胜数。	Sau đó, Hung Nô cắt đứt hòa thân, đánh các biên ải trọng yếu, thường vào cướp ở biên giới nhà Hán, nhiều không kể xiết.
将军卫青 出上谷，至茏城，得胡首虏七百人。	Tướng quân Vệ Thanh ra Thượng Cốc, đến Long Thành, bắt giết được bảy trăm người Hung Nô.
公孙贺出云中，无所得。	Công Tôn Hạ ra Vân Trung, không được gì.
李广出雁门，为胡所败，而匈奴生得 广，广後得亡归。	Lý Quảng ra Nhạn Môn, bị giặc Hồ đánh bại, Hung Nô bắt sống được Quảng, sau đó Quảng trốn thoát về.
其明年秋，匈奴二万骑 入汉，杀辽西太守，略二千馀人。	Mùa thu năm sau, Hung Nô đem hai vạn kỵ binh vào đất Hán, giết Thái thú Liêu Tây, bắt hơn hai nghìn người.
其明年，卫青复出云中以西至陇西，击胡之楼 烦、白羊王於河南，得胡首虏数千，牛羊百馀万。	Năm sau, Vệ Thanh lại ra Vân Trung, theo hướng tây đến Lũng Tây, tấn công Lâu Phiền và Bạch Dương vương của giặc Hồ tại Hà Nam, bắt giết được mấy nghìn giặc Hồ cùng hơn trăm vạn bò dê.
於是汉遂取河南 地，筑朔方，复缮故秦时蒙恬所为塞，因河为固。	Nhà Hán liền chiếm đất Hà Nam, xây thành Sóc Phương, tu sửa biên ải do Mông Điềm thời Tần xây đắp, dựa vào sông Hà gia cố biên giới.
是岁，汉之元朔二年也。	Năm ấy là năm Nguyên Sóc thứ hai triều Hán.
其明年，匈奴又复复入代 郡、定襄、 上郡，各三万骑，杀略数千人。	Năm sau, Hung Nô lại vào Đại Quận, Định Tương, Thượng Quận, mỗi nơi ba vạn quân kỵ, bắt giết mấy nghìn người.
匈奴右贤王怨汉 夺之河南地而筑朔方，数为寇，盗边，及入河南，侵扰朔方，杀略吏 民其众。	Hữu hiền vương của Hung Nô oán nhà Hán cướp đất Hà Nam rồi xây thành Sóc Phương, nhiều lần đánh cướp, xâm phạm biên giới, vào tận Hà Nam, xâm nhiễu Sóc Phương, bắt giết rất nhiều quan dân.
其明年春，汉以卫青为大将军，将六将军，十馀万人，出朔方、 高阙击胡。	Mùa xuân năm sau, nhà Hán phong Vệ Thanh làm đại tướng quân, thống lãnh sáu tướng quân, dẫn hơn mười vạn quân ra Sóc Phương, Cao Khuyết đánh giặc Hồ.
右贤王以为汉兵不能至，饮酒醉，汉兵出塞六七百里，夜 围右贤王。	Hữu hiền vương cho là quân Hán không thể đến, uống rượu say, quân Hán ra khỏi biên giới sáu bảy trăm dặm, đương đêm bao vây Hữu hiền vương.
汉得右贤王 众男女万五千人，裨小王十馀人。	Quân Hán bắt được bộ thuộc trai gái của Hữu hiền vương một vạn năm nghìn người cùng hơn chục Tỳ tiểu vương.
其 明年，胡骑万人入上谷，杀数百人。	Năm sau, một vạn quân kỵ người Hồ vào Thượng Cốc, giết mấy trăm người.
其秋，单于怒浑邪王、休屠王居西方为汉所杀虏数万人，欲召诛 之。	Mùa thu năm ấy, Thiền vu giận Hồn Da vương và Hưu Chư vương ở phía tây bị quân Hán bắt giết được mấy vạn người, định triệu về giết cả hai.
於是汉已得浑邪王，则陇西、北地、河西益少胡寇，徙关东贫 民处所夺匈奴河南、新秦中 以实之，而减北地以西戍 卒半。	Nhà Hán thu phục được Hồn Da vương, do đó các đất Lũng Tây, Bắc Địa, Hà Tây ít khi bị người Hồ đánh cướp, nhà Hán liền chuyển dân nghèo ở Quan Đông đến sống ở các vùng chiếm được của Hung Nô là Hà Nam và Tân Tần Trung, giảm được nửa số lính thú từ Bắc Địa sang tây.
汉兵夜追不得。	Quân Hán ban đêm truy đuổi nhưng không bắt được.
真单于复得其众，而 右谷蠡王乃去其单于号，复为右谷蠡王。	Thiền vu đích thực lại gặp được quân mình, còn Hữu lộc lãi vương bỏ danh hiệu Thiền vu, lại làm Hữu lộc lãi vương.
汉度河自朔方以西至令居， 往往通渠置田，官吏卒五六万人，稍蚕食，地接匈奴 以北。	Quân Hán vượt sông Hà, từ Sóc Phương sang tây đến Lệnh Cư, thường khơi thông kênh ngòi, khai khẩn ruộng đất, quan lại sĩ tốt năm sáu vạn người, lan dần như tằm ăn rỗi, địa bàn tiếp liền mạn bắc Hung Nô.
单于闻敞计，大怒，留之不遣。	Thiền vu nghe kế của Sưởng, cả giận, giữ không cho về.
数岁，伊稚斜单于立十三年死，子乌维立为单于。	Mấy năm sau, Thiền vu Y Trĩ Tà tại vị được mười ba năm thì chết, con trai là Ô Duy lên làm Thiền vu.
是岁，汉元鼎 三年也。	Năm ấy là năm Nguyên Đỉnh thứ ba triều Hán.
乌维单于立，而汉天子始出巡郡县。	Thiền vu Ô Duy lên ngôi, còn thiên tử nhà Hán bắt đầu tuần sát các quận huyện.
是时天子巡边，至朔方，勒兵十八万骑以见武节，而使郭吉风告 单于。	Bấy giờ, thiên tử tuần thú biên giới, đến Sóc Phương, huy động mười tám vạn quân kỵ để tỏ uy vũ, rồi sai Quách Cát dùng lời khéo báo cho Thiền vu.
汉又西通 月氏、大夏， 又以公主妻乌孙 王，以分匈奴西方之援国。	Nhà Hán lại hướng về tây đến Nguyệt Chi, Đại Hạ, lại đem Công chúa gả cho Ô Tôn vương, nhằm chia cách các nước tiếp viện cho Hung Nô ở phía tây.
单于欲召入，不肯去节，单于乃坐穹庐外见杨信。	Thiền vu định triệu vào, Dương Tín không chịu bỏ cờ tiết, Thiền vu ngồi trong trại tiếp kiến, còn Dương Tín ở bên ngoài.
杨 信既见单于，说曰：“即欲和亲，以单于太子为质於汉。”	Dương Tín gặp Thiền vu, nói: “Nếu muốn hòa thân, phải cho Thái tử của Thiền vu sang nhà Hán làm con tin.”
单于以为 汉杀吾贵使者，乃留路充国不归。	Thiền vu cho là nhà Hán giết quý sứ của mình, bèn giữ Lộ Sung Quốc không cho về.
乌维单于立十岁而死，子乌师庐立为单于。	Thiền vu Ô Duy lên ngôi được mười năm thì chết, con là Ô Sư Lư lên làm Thiền vu.
是岁元封六年也。	Ấy là năm Nguyên Phong thứ sáu.
自此之後，单于益 西北，左方兵直云中，右方直酒泉、燉煌郡。	Từ đó về sau, Thiền vu ngày càng rời lên phía tây bắc, quân đội ở mạn trái tiếp giáp với Vân Trung, mạn phải tiếp giáp quận Tửu Tuyền, Đôn Hoàng.
兒单于立，汉使两使者，一吊单于，一吊右贤王，欲以乖其国。	Nhi thiền vu lên ngôi, nhà Hán sai hai sứ sang, một là điều tang Thiền vu, một là điều tang Hữu hiền vương, muốn nhân đó ly gián Hung Nô.
单于怒而尽留汉使。	Thiền vu giận rồi giữ cả hai sứ giả nhà Hán.
左大都尉欲杀单于，使人间告汉曰：“我欲杀单于降 汉，汉远，即兵来迎我，我即发。”	Tả đại đô úy muốn giết Thiền vu, sai người lẻn sang báo nhà Hán rằng: “Tôi muốn giết Thiền vu để hàng Hán, nhà Hán xa, mau đem quân đến đón tôi, tôi sẽ hành sự ngay.”
初，汉闻此言，故筑受降城，犹 以为远。	Ban đầu, nhà Hán nghe tin ấy, cho nên đắp thành Thụ Hàng, nhưng lại cho đường sá xa xôi.
其明年春，汉使浞野侯破奴将二万馀骑出朔方西北二千馀里，期 至浚稽山而还。	Mùa xuân năm sau, nhà Hán sai Trác Dã hầu là Phá Nô đem hơn hai vạn quân kỵ ra khỏi Sóc Phương theo hướng tây bắc hơn hai nghìn dặm, hẹn đến núi Tuấn Kê thì về.
浞野侯既至期而还，左大 都尉欲发而觉，单于诛之，发左方兵击浞野。	Trác Dã hầu đến rồi theo hẹn rút về, Tả đại đô úy định hành sự liền bị phát giác, bị Thiền vu giết, phát động quân mé tả đánh Trác Dã hầu.
军中郭纵为护，维王为 渠，相与谋曰：“及诸校尉畏亡将军而诛之，莫相劝 归。”	Trong quân, Quách Tung làm Hộ quân, Duy Vương thống lãnh hàng quân Hung Nô, cùng bàn mưu rằng: “Ngay đến các Hiệu úy đều sợ để mất tướng quân sẽ bị giết, không ai khuyên nhau trở về.”
是岁太初三年 也。	Đó là năm Thái Sơ thứ ba.
是岁，贰师 将军破大宛，斩其王而还。	Năm ấy, Nhị sư tướng quân phá được Đại Uyển, chém vua nước ấy rồi về.
汉既诛大宛，威震外国。	Nhà Hán đã diệt Đại Uyển, uy thế rúng động cõi ngoài.
天子意欲遂困胡，乃下诏曰：“高皇帝 遗朕平城之忧，高后时单于书绝悖逆。昔齐襄公复九世之雠，春秋大 之。” 是岁太初四 年也。	Thiên tử có ý tiến quân vây khốn Hung Nô, bèn hạ chiếu rằng: “Cao hoàng đế để lại cho trẫm nỗi lo ở Bình Thành, thời Cao hậu Thiền vu đưa thư đến lời lẽ ngang ngược. Xưa, Tề Tương công phục thù chín đời, sách Xuân thu coi là trọng đại” Đó là năm Thái Sơ thứ tư.
且鞮侯单于既立，尽归汉使之不降者。	Thiền vu Tư Đê hầu lên ngôi, cho tất thảy sứ giả nhà Hán không chịu hàng trở về.
路充国等得归。	Bọn Lộ Sung Quốc được về.
单于初 立，恐汉袭之，乃自谓“我兒子，安敢望汉天子！汉天子，我丈人行 也”。	Thiền vu mới lên ngôi, sợ nhà Hán đánh úp, bèn đánh tiếng rằng: “Ta là đứa trẻ, đâu dám sánh với thiên tử nhà Hán! Thiên tử nhà Hán là hàng trưởng thượng của ta vậy.”
其明年，浞野侯破奴得亡归汉。	Năm sau, Trác Dã hầu Phá Nô trốn thoát về Hán.
汉 兵物故什六七。	Quân Hán hao tổn đến sáu bảy phần.
後二岁，复使贰师将军将六万骑，步兵十万，出朔方。	Hai năm sau, lại sai Nhị sư tướng quân đem sáu vạn kỵ binh, mười vạn bộ binh, ra Sóc Phương.
贰 师乃解而引归，与单于连战十馀日。	Nhị sư bèn giải vây rồi đem quân về, đánh nhau với Thiền vu liên tiếp hơn mười ngày.
而置云中、雁门、代郡。	Rồi đặt các đất Vân Trung, Nhạn Môn, Đại Quận.
置上谷、渔阳、右北平、辽西、辽东郡以拒 胡。	Đặt các quận Thượng Cốc, Ngư Dương, Hữu Bắc Bình, Liêu Tây, Liêu Đông, để chống người Hồ.
而通直道，自 九原至云阳， 因边山险巉谿谷可缮者治之，起临洮至辽东万馀 里。	Lại khai thông trực đạo, từ Cửu Nguyên đến Vân Dương, dựa vào khe lũng hiểm trở ở vùng núi non biên giới, chỗ nào làm được đường thì làm, từ Lâm Thao đến Liêu Đông, dài trên vạn dặm.
单于有太子名冒顿。	Thiền vu có thái tử tên là Mặc Đốn.
高帝 自将兵往击之。	Cao đế đích thân đem quân đánh Hung Nô.
汉使樊哙往击之，复拔代、 雁门、云中郡县，不出塞。	Nhà Hán sai Phan Khoái đến đánh, chiếm lại được các quận huyện ở đất Đại, Nhạn Môn, Vân Trung, không ra khỏi biên tái.
书至，汉议击与和亲孰便。	Thư gửi đến, nhà Hán bàn bạc xem nên đánh hay hòa.
使奇兵入烧回中宫， 候骑至雍甘泉。	Sai kỵ binh vào đốt cung Hồi Trung, sai thám mã đến cung Cam Tuyền ở Ung Châu.
於是汉使三将军军屯北地，代屯句注，赵屯飞狐口，缘 边亦各坚守以备胡寇。	Thế là nhà Hán sai ba tướng quân đồn quân ở Bắc Địa, ở Câu Chú của nước Đại, ở cửa Phi Hồ của Triệu, men theo biên giới cũng giữ vững, phòng bị giặc Hồ vào cướp.
胡骑入代句注边，烽火通於甘泉、长安。	Quân kỵ giặc Hồ vào biên giới Câu Chú nước Đại, lửa báo đến tận Cam Tuyền, Trường An.
吴楚反，欲与赵合谋入边。	Ngô, Sở làm phản, định cùng Triệu hợp mưu xâm phạm biên giới.
是时匈奴亦来入代郡、雁 门，杀略数百人。	Khi đó Hung Nô cũng xâm phạm vào Đại Quận và Nhạn Môn, bắt giết mấy trăm người.
单于爱 之，详许甘言，为遣其太子入汉为质，以求和亲。	Thiền vu quý Ô, và hứa ngon ngọt, rồi sai Thái tử vào nhà Hán làm con tin, để xin hòa thân.
是时汉东拔秽貉、朝鲜以为郡， 而西置酒泉郡以鬲绝胡与羌通之路。	Bấy giờ nhà Hán phía đông chiếm Uế Lạc, Triều Tiên, lập làm quận, phía tây đặt quận Tửu Tuyền để chặn đứt đường thông giữa người Hồ và người Khương.
王乌归报汉，汉为单 于筑邸于长安。	Vương Ô về báo, nhà Hán xây phủ cho Thiền vu ở Trường An.
居顷之，复以鸣镝自射其爱 妻，左右或颇恐，不敢射，冒顿又复斩之。	Không lâu sau, lại dùng loại tên đó bắn người vợ yêu của mình, tả hữu có kẻ sợ sệt, không dám bắn, Mặc Đốn lại chém kẻ đó.
於是冒顿知其左右皆可用。 从其父单于 头曼猎，以鸣镝射头曼，其左右亦皆随鸣镝而射杀单于头曼，遂尽诛 其後母与弟及大臣不听从者。	Mặc Đốn biết tả hữu đã có thể dùng được, liền theo cha là Thiền vu Đầu Man đi săn, dùng loại tên đó bắn Đầu Man, tùy tùng cũng dùng tên ấy bắn chết Thiền vu Đầu Man, rồi giết hết các vợ kế và em trai Đầu Man cùng các đại thần không nghe theo mình.
冒顿问群 臣，群臣皆曰：“千里马，匈奴宝马也，勿与。”	Mặc Đốn hỏi quần thần, quần thần đều nói: “Ngựa thiên lý là ngựa quý của Hung Nô, chớ cho.”
冒顿复问左右，左右皆怒曰：“东 胡无道，乃求阏氏！请击之。”	Mặc Đốn lại hỏi cận thần, quần thần đều giận nói: “Đông Hồ vô đạo, dám đòi Yên chi! Xin đánh chúng.”
东胡使使谓冒顿曰：“匈奴所与 我界瓯脱外弃地，匈奴非能至也，吾欲有之。”	Đông Hồ sai sứ bảo với Mặc Đốn rằng: “Phía ngoài đồn quân ở biên giới Hung Nô và nước tôi là đất bỏ đi, Hung Nô không thể đến đó, ta muốn có vùng đất ấy.”
悉复收秦所使蒙恬 所夺匈奴地者，与汉关故河南塞，至朝(cid:0)、肤施， 遂侵燕、代。	Thu hết đất đai từng bị nhà Tần sai Mông Điềm chiếm của Hung Nô, lấy Hà Nam làm ranh giới với nhà Hán như trước đây, đến tận Triều Na, Phu Thi, rồi xâm chiếm Yên, Đại.
置左右贤王，左右谷蠡王， 左右大将，左右大都尉，左右大当户，左右 骨都侯。	Đặt chức Tả, Hữu hiền vương; Tả, Hữu lộc lãi vương; Tả, Hữu đại tướng; Tả, Hữu đại đô úy; Tả, Hữu đại dương hộ; Tả, Hữu cốt đô hầu.
匈奴谓贤曰“屠耆”，故常以 太子为左屠耆王。	Hung Nô gọi người hiền là “Đồ kỳ”, cho nên thường lấy Thái tử làm Tả đồ kỳ vương.
而左右贤王、左右谷蠡王最为大，左右骨都 侯辅政。	Còn Tả, Hữu hiền vương; Tả, Hữu lộc lãi vương là lớn nhất; Tả, Hữu cốt đồ hầu làm phụ chính.
岁正月，诸长小会单于庭，祠。	Tháng Giêng hằng năm, các thủ lĩnh hội tụ với quy mô nhỏ tại vương đình của Thiền vu, cử hành lễ tế.
高帝先至平城， 步兵未尽到，冒顿纵精兵四十万骑围高帝於白登， 七日，汉兵中外不 得相救饷。	Cao đế đi trước đến Bình Thành, quân bộ chưa đến được hết, Mặc Đốn tung tinh binh gồm bốn mươi vạn kỵ binh bao vây Cao đế ở Bạch Đằng, bảy ngày liền, quân Hán trong ngoài không tiếp tế được quân lương.
高帝乃使使间厚遗 阏氏，阏氏乃谓冒顿曰：“两主不相困。今得汉地，而单于终非能居 之也。且汉王亦有神，单于察之。”	Cao đế bèn sai sứ ngầm tặng hậu lễ cho Yên chi, Yên chi liền nói với Mặc Đốn: “Hai chúa không thể làm nguy khốn nhau. Nay được đất nhà Hán, Thiền vu cũng không thể ở được. Và lại Hán vương cũng có thần phò trợ, Thiền vu hãy xét kỹ cho.”
是时匈奴以汉将众往降，故冒顿常往来侵 盗代地。	Bấy giờ Hung Nô vì có nhiều tướng nhà Hán sang hàng nên Mặc Đốn thường qua lại xâm lấn cướp bóc đất Đại.
後燕王卢 绾反，率其党数千人降匈奴，往来苦上谷以东。	Sau, Yên vương Lư Oản làm phản, đem mấy nghìn bè đảng sang hàng Hung Nô, qua lại làm khổ dân từ Thượng Cốc sang đông.
於是孝文帝诏丞相灌婴发车骑 八万五千，诣高奴，击右贤王。	Hiếu Văn đế liền triệu Thừa tướng Quân Anh đem tám vạn năm nghìn quân xa kỵ đến Cao Nô đánh Hữu hiền vương.
