赵氏之先，与秦共祖。	Tổ tiên họ Triệu cùng gốc với nước Tần.
八年，拔魏黄城。	Năm thứ tám, hạ được Hoàng Thành của Ngụy.
九年，伐齐。	Năm thứ chín, đánh Tề.
齐伐燕，赵 救燕。	Tề đánh Yên, Triệu cứu viện Yên.
十年，与中山战于房子。	Năm thứ mười, cùng Trung Sơn giao chiến ở huyện Phòng Tử.
十一年，魏、韩、赵共灭晋，分其地。	Năm thứ mười một, Ngụy, Hàn và Triệu cùng diệt nước Tấn, chia nhau đất Tấn.
伐中山，又战於中人。	[Triệu] đánh Trung Sơn, lại giao chiến ở đình Trung Nhân.
十二年，敬侯 卒，子成侯种立。	Năm thứ mười hai, Kính hầu chết, con là Thành hầu Chủng lên ngôi.
成侯元年，公子胜与成侯争立，为乱。	Thành hầu năm thứ nhất, công tử Thắng tranh ngôi với Thành hầu, làm loạn.
二年六月，雨雪。	Tháng Sáu năm thứ hai, mưa tuyết.
三年， 太戊午为相。	Năm thứ ba, Thái Mậu Ngọ làm Tướng quốc.
伐卫，取乡邑七十 三。	[Triệu] đánh nước Vệ, chiếm bảy mươi ba hương ấp.
四年，与秦战高安， 败之。	Năm thứ tư, cùng Tần giao chiến ở Cao An, đánh bại quân Tần.
五年，伐齐于鄄。	Năm thứ năm, đánh huyện Quyên Thành của Tề.
攻郑，败之，以与韩，韩与我长子。	[Triệu] tấn công nước Trịnh, đánh bại quân Trịnh, đem đất chiếm được cắt cho Hàn, Hàn cắt cho Triệu đất Trưởng Tử.
六 年，中山筑长城。	Năm thứ sáu, Trung Sơn đắp Trường thành.
伐魏，败狝泽， 围魏惠王。	Đánh Ngụy, đánh bại quân Ngụy ở Trọc Trạch, bao vây Ngụy Huệ vương.
七年，侵齐，至 长城。	Năm thứ bảy, xâm chiếm nước Tề, kéo đến Trường thành.
与韩攻 周。	Cùng Hàn đánh nhà Chu.
八年，与韩分周以为两。	Năm thứ tám, cùng Hàn chia nhà Chu làm hai.
九年，与齐战阿下。	Năm thứ chín, cùng Tề giao chiến dưới thành Đông A.
十 年，攻卫，取甄。 十一年，秦攻魏，赵救之石阿。	Năm thứ mười, đánh nước Vệ, chiếm đất Quyên. Năm thứ mười một, Tần đánh nước Ngụy, Triệu cứu viện nước Ngụy tại Thạch A.
十二年，秦攻魏少梁， 赵救之。	Năm thứ mười hai, Tần đánh Thiếu Lương của Ngụy, nước Triệu cứu viện.
十三年，秦献公使庶长国伐魏少梁，虏其太子、 痤。	Năm thứ mười ba, Tần Hiến công sai Thứ trưởng Quốc đánh Thiếu Lương nước Ngụy, bắt sống Thái tử nước Ngụy là Tọa.
成侯 与韩昭侯遇上党。	Thành hầu cùng Hàn Chiêu hầu gặp nhau ở Thượng Đảng.
十四年，与韩攻秦。	Năm thứ mười bốn, cùng Hàn đánh Tần.
十五年，助魏攻齐。	Năm thứ mười lăm, giúp Ngụy đánh Tề.
十六年，与韩、魏分晋，封晋君以端氏。	Năm thứ mười sáu, cùng Hàn và Ngụy chia nước Tấn, phân phong cho Tấn quân ấp Đoan Thị.
十七年，成侯与魏惠王遇葛孽。	Năm thứ mười bảy, Thành hầu cùng Ngụy Huệ vương gặp nhau ở Cát Nghiệt.
十九年，与齐、宋会平陆， 与燕会阿。	Năm thứ mười chín, cùng Tề và Tống hội kiến Bình Lăng, cùng Yên hội kiến ở ấp A.
二十年， 魏献荣椽，因以为檀台。	Năm thứ hai mươi, nước Ngụy hiến gỗ làm đòn tay, lấy gỗ đó làm Đàn Đài.
二十一年，魏围我邯郸。	Năm thứ hai mươi mốt, Ngụy vây Hàm Đan nước Triệu.
二十二年，魏惠王拔我 邯郸，齐亦败魏於桂陵。	Năm thứ hai mươi hai, Ngụy Huệ vương hạ được Hàm Đan nước Triệu, Tề cũng đánh bại quân Ngụy ở Quế Lăng.
二十四年，魏归我邯郸，与魏盟漳水上。	Năm thứ hai mươi tư, Ngụy trả lại Hàm Đan cho Triệu, [Triệu] cùng Ngụy kết minh ước trên sông Chương Thủy.
秦 攻我蔺。	Tần tấn công đất Lận nước Triệu.
二十五年，成侯卒。	Năm thứ hai mươi lăm, Thành hầu chết.
公子緤与太子肃侯争 立，緤败，亡奔韩。	Công tử Tiết cùng Thái tử Túc hầu tranh ngôi vị, công tử Tiết thua, chạy trốn sang nước Hàn.
二年，与魏惠王遇於阴晋。	Năm thứ hai, cùng gặp Ngụy Huệ vương ở Âm Tấn.
三年，公子范袭邯郸，不胜而死。	Năm thứ ba, công tử Phạm đánh úp Hàm Đan, thua trận rồi chết.
四年，朝天子。	Năm thứ tư, vào chầu thiên tử.
六年，攻齐， 拔高唐。	Năm thứ sáu, tấn công nước Tề, hạ được Cao Đường.
七年，公子刻攻魏首垣。	Năm thứ bảy, công tử Khắc tấn công đất Thủ Viên của Ngụy.
十一年，秦孝公 使商君伐魏，虏其将公子卬。	Năm thứ mười một, Tần Hiếu công sai Thương quân đánh Ngụy, bắt sống tướng nước Ngụy là công tử Ngang.
赵伐魏。	Triệu đánh Ngụy.
十二年，秦孝公卒，商君死。	Năm thứ mười hai, Tần Hiếu công chết, Thương quân chết.
十五年，起寿陵。	Năm thứ mười lăm, khởi công xây dựng Thọ Lăng.
魏惠王卒。	Nguy Huệ vương chết.
十六年，肃侯游大陵， 出於鹿门， 大戊午 扣马曰：“耕事方急，一日不作，百日不 食。”	Năm thứ mười sáu, Túc hầu du ngoạn Đại Lăng, ra từ cửa Lộc Môn, Đại Mậu Ngọ dắt ngựa, nói: “Việc canh nông đang gấp, một ngày không làm, trăm ngày không ăn.”
肃侯下车谢。	Túc hầu xuống xe bái tạ.
十七年，围魏黄，不克。	Năm thứ mười bảy, bao vây thành Hoàng của Ngụy, không hạ được.
筑长城。	Xây dựng Trường thành.
十八年，齐、魏伐我，我决河水灌之，兵去。	Năm thứ mười tám, Tề và Ngụy đánh Triệu, Triệu tháo nước Hoàng Hà vào quân địch, [Tề và Ngụy] rút quân.
二十二年，张仪相 秦。	Năm thứ hai mươi hai, Trương Nghi làm Tướng quốc nước Tần.
赵疵与秦战，败，秦杀疵河西，取我蔺、离石。	Triệu Tì giao chiến với quân Tần, thua, Tần giết Tì ở Hà Tây, chiếm ấp Lận và Ly Thạch của Triệu.
二十三年，韩举 与齐、魏战，死于桑丘。	Năm thứ hai mươi ba, Hàn Cử giao chiến với quân Tề và Ngụy, chết ở Tang Khâu.
二十四年，肃侯卒。	Năm thứ hai mươi tư, Túc hầu chết.
秦、楚、燕、齐、魏出锐师各万人来会葬。	Tần, Sở, Yên, Tề, Ngụy mỗi nước đem một vạn quân tinh nhuệ đến tham gia an táng.
子武灵王立。	Con của Túc hầu là Vũ Linh vương lên ngôi.
梁襄王与太子嗣，韩宣王与太子仓来朝信宫。	Lương Tương vương cùng Thái tử Tự, Hàn Tuyên vương cùng Thái tử Thưởng tới triều bái ở Tín Cung.
三年，城鄗。	Năm thứ ba, xây dựng Hạo thành.
四年，与韩会于区鼠。	Năm thứ tư, cùng Hàn hội kiến tại Khu Thử.
五年，娶韩 女为夫人。	Năm thứ năm, [Vũ Linh vương] cưới người con gái nước Hàn làm phu nhân.
八年，韩击秦，不胜而去。	Năm thứ tám, Hàn tập kích Tần, không thắng, rồi rút quân.
五国相王，赵独否，曰：“无其实， 敢处其名乎！”	Năm nước cùng xưng vương, riêng Triệu không xưng vương, nói: “Không có thực chất, dám dự vào cái danh đó ư!”
令国人谓已曰“君”。	Lệnh cho người trong nước gọi mình là “quân”.
九年，与韩、魏共击秦，秦败我，斩首八万级。	Năm thứ chín, cùng Hàn, Ngụy đánh Tần, Tần đánh bại liên quân, chém tám vạn thủ cấp.
十年，秦取我中都 及西阳。	Năm thứ mười, Tần chiếm Trung Đô cùng Tây Dương của Triệu.
齐破燕。	Tề phá Yên.
燕相子之为君，君反 为臣。	Tướng quốc nước Yên là Tử Chi làm vua, vua ngược lại làm bề tôi.
十一年，王召公子职於韩，立以为燕王， ”使乐池送之。	Năm thứ mười một, Vũ Linh vương triệu Công tử Chức ở Hàn về, lập làm Yên vương, sai Nhạc Trì đưa công tử về nước.
十三年，秦拔我 蔺，虏将军赵庄。	Năm thứ mười ba, Tần hạ ấp Lận của Triệu, bắt sống tướng quân Triệu Trang.
楚、魏王来，过邯 郸。	Sở vương và Ngụy vương đến, đi qua Hàm Đan.
十四年，赵何攻魏。	Năm thứ mười bốn, Triệu Hà đánh Ngụy.
十六年，秦惠王卒。	Năm thứ mười sáu, Tần Huệ vương chết.
王游大陵。	Vũ Linh vương du ngoạn Đại Lăng.
异日，王饮酒乐，数言所梦，想见其状。	Ngày khác, Vũ Linh vương uống rượu mua vui, nhiều lần nhắc lại giấc mộng nọ, muốn thấy hình dáng cô gái đó.
孟姚甚有宠於王，是为惠后。	Mạnh Diêu được Vũ Linh vương rất sủng ái, đó là Huệ hậu.
十七年，王出九门， 为野台， 以望齐、中山之境。	Năm thứ mười bảy, Vũ Linh vương ra Cửu Môn, xây dựng Dã Đài, dùng đài đó trông sang biên cảnh nước Tề và Trung Sơn.
十八年，秦武王与孟说举龙文赤鼎，绝膑 而死。	Năm thứ mười tám, Tần Vũ vương cùng Mạnh Duyệt nâng Long văn xích đỉnh, vỡ xương bánh chè rồi chết.
赵王使代相赵固迎公子稷於燕，送归，立为 秦王，是为昭王。	Triệu vương sai Tướng quốc nước Đại là Triệu Cố nghênh đón công tử Tắc ở Yên, đưa về nước, lập làm Tần vương, đó là Chiêu vương.
召肥义与议天下，五日而毕。	Triệu Phì Nghĩa đến cùng bàn nghị việc thiên hạ, năm ngày mới bàn xong.
王北略 中山之地，至於房子，遂之代，北至无穷，西至河， 登黄华之上。	Vũ Linh vương lên phía bắc chiếm đất của nước Trung Sơn, tiến đến Phòng Tử, rồi đến đất Đại, phía bắc lên tới Vô Cùng, phía tây đến Hoàng Hà, lên trên đỉnh Hoàng Hoa.
使者以报。 王曰：“吾固闻叔之疾也，我将自往请 之。”	Sứ giả về báo lại, Vũ Linh vương nói: “Ta vốn nghe chú ta bị ốm, ta sẽ đích thân đến đề nghị.”
明日，服而朝。	Hôm sau, [công tử Thành] mặc y phục vào triều.
赵文、赵造、周袑、赵 俊皆谏止王毋胡服，如故法便。	Triệu Văn, Triệu Tạo, Chu Thiệu, Triệu Tuấn đều can Vũ Linh vương không nên mặc trang phục người Hồ, giữ quy định cũ cho thuận tiện.
二十年，王略中山地，至宁葭； 西略胡地，至榆中。	Năm thứ hai mươi, Vũ Linh vương chiếm đất của nước Trung Sơn, đến Ninh Gia; phía tây chiếm đất của người Hồ, đến Du Trung.
林胡王献马。	Vua Lâm Hồ dâng biếu ngựa.
归，使楼缓 之秦，仇液之韩，王贲之楚，富丁之魏，赵爵之齐。	[Vũ Linh vương] trở về, sai Lâu Hoãn đi sứ nước Tần, Cừu Dịch đi sứ nước Hàn, Vương Bôn đi sứ sang Sở, Phú Đinh đi sứ sang Ngụy, Triệu Tước đi sứ sang Tề.
二十一年，攻中山。	Năm thứ hai mươi mốt, đánh nước Trung Sơn.
赵袑为右军，许钧为左军，公子章为中军， 王并将之。 牛翦将车骑，赵希并将胡、代。	Triệu Thiệu làm Hữu quân, Hứa Quân làm Tả quân, công tử Chương làm Trung quân, Vũ Linh vương thống lãnh ba cánh quân. Ngưu Tiễn thống lãnh quân xa kỵ, Triệu Hy thống lĩnh quân người Hồ và quân đất Đại.
赵与之陉， 合军曲阳， 攻取丹丘、 华阳、 鸱之塞。	Triệu Hy cùng chư quân theo đường cửa ải hội quân ở Khúc Dương, đánh chiếm biên ải Đan Khâu, Hoa Dương, Si.
中山献四邑和，王许之，罢兵。	Trung Sơn dâng bốn ấp để cầu hòa, Vũ Linh vương đồng ý, bãi binh.
二十三年，攻中山。	Năm thứ hai mươi ba, đánh Trung Sơn.
二 十五年，惠后卒。	Năm thứ hai mươi lăm, Huệ hậu chết.
使周袑胡服傅王子何。	Sai Chu Thiệu mặc trang phục người Hồ phụ tá cho Vương tử Hà.
二十六 年，复攻中山，攘地北至燕、代，西至云中、九原。	Năm thứ hai mươi sáu, lại đánh Trung Sơn, cướp đất phía bắc đến nước Yên và đất Đại, phía tây đến Vân Trung và Cửu Nguyên.
二十七年五月戊申，大朝於东宫，传国，立王子何以为王。	Ngày Mậu Thân tháng Năm năm thứ hai mươi bảy, cử hành đại lễ thiết triều tại Đông cung, truyền quốc, lập Vương tử Hà làm vương.
大夫悉为臣，肥义为相国，并傅王。	Các đại phu đều xưng thần, Phì Nghĩa làm Tướng quốc, đồng thời làm sư phó cho vua.
是为惠文王。	Đó là Huệ Văn vương.
武灵王自号为主父。	Vũ Linh vương tự xưng hiệu là Chủ Phụ.
秦昭王不知，已而怪其状 甚伟，非人臣之度，使人逐之，而主父驰已脱关矣。	Tần Chiêu vương không biết, sau đó lấy làm lạ vì sứ giả rất khôi vĩ, không phải khí độ của kẻ bề tôi, sai người đuổi theo thì Chủ Phụ đã phóng ngựa thoát khỏi quan ải.
审问之，乃主父 也。	Hỏi xét kỹ càng, mới hay đó là Chủ Phụ.
秦人大惊。	Người Tần hết sức kinh ngạc.
主父所以入秦者，欲自略地形，因观秦王之为人也。	Sở dĩ Chủ Phụ sang Tần là muốn tự mình xem xét địa hình, nhân đó xem Tần vương là người thế nào.
惠文王二年，主父 行新地，遂出代，西遇楼烦王於西河而致其兵。	Huệ Văn vương năm thứ hai, Chủ Phụ đi tuần sát vùng đất mới, liền ra khỏi đất Đại, sang phía tây gặp Lâu Phiền vương ở Tây Hà rồi mộ quân của ông ta.
三年，灭中山，迁其王於肤施。	Năm thứ ba, diệt nước Trung Sơn, đày vua Trung Sơn ra Phu Thi.
李兑曰：“诺，子勉之矣！吾见子已今年耳。”	Lý Đoài nói: “Vâng, ngài hãy gắng lên! Tôi chỉ được gặp ngài năm này thôi.”
李 兑数见公子成，以备田不礼之事。	Lý Đoài nhiều lần bái kiến công tử Thành, để phòng bị việc [làm loạn] của Điền Bất Lễ.
见其长子章劚然也，反北面为臣，诎於其弟，心怜之， 於是乃欲分赵而王章於代，计未决而辍。	Thấy con trưởng là Chương có vẻ khiên cưỡng, quay mặt về bắc xưng thần, hạ mình trước em, lòng thấy thương, thế nên định chia nước Triệu rồi cho Chương làm vua đất Đại, kế hoạch chưa quyết sau bèn gác lại.
肥义先入，杀之。	Phì Nghĩa vào trước, bị giết.
高信即 与王战。	Cao Tín liền kết hợp với Triệu vương cùng giao chiến [với quân làm loạn].
公子成与李兑自国至，乃起四邑之兵入距难，杀公子章及田 不礼，灭其党贼而定王室。	Công tử Thành cùng Lý Đoài từ quốc đô đến, bèn huy động quân của bốn ấp vào chống quân làm loạn, giết công tử Chương cùng Điền Bất Lễ, diệt hết bè đảng làm loạn rồi ổn định lại vương thất.
乃遂围主父。	Bèn tiếp tục bao vây Chủ Phụ.
是时王少，成、兑专政，畏诛，故围主父。	Bấy giờ Triệu vương còn nhỏ, công tử Thành và Lý Đoài chuyên quyền chính sự, lo sợ bị giết, cho nên bao vây Chủ Phụ.
主父初以长子章为太 子，後得吴娃，爱之，为不出者数岁，生子何，乃废太子章而立何为 王。	Ban đầu Chủ Phụ lấy con trưởng là Chương làm Thái tử, sau khi có được nàng Ngô Oa, sủng ái nàng, vì thế mấy năm trời không ra ngoài, sinh được Hà, bèn phế Thái tử Chương rồi lập Hà làm vương.
五年，与燕鄚、易。	[Huệ Văn vương] năm thứ năm, cắt ấp Mạc và ấp Dịch cho nước Yên.
八年，城 南行唐。	Năm thứ tám, xây thành ở Nam Hành Đường.
九年，赵梁将，与齐合军攻韩，至鲁关下。	Năm thứ chín, Triệu Lương làm Tướng quân, hợp quân với Tề đánh Hàn, kéo đến dưới Lỗ Quan.
及十 年，秦自置为西帝。	Đến năm thứ mười, Tần tự xưng là Tây đế.
十一年，董叔与魏氏伐宋，得河阳於魏。	Năm thứ mười một, Đổng Thúc và họ Ngụy đánh Tống, chiếm được Hà Dương của Ngụy.
秦取梗 阳。	Tần chiếm Ngạnh Dương [nước Triệu].
十二年，赵梁将 攻齐。	Năm thứ mười hai, Triệu Lương đem quân đánh Tề.
十三年，韩徐为将，攻齐。	Năm thứ mười ba, Hàn Từ làm Tướng quân, tấn công Tề.
公主死。	Công chúa chết.
十四年，相国乐毅将赵、秦、韩、魏、燕攻齐， 取灵丘。	Năm thứ mười bốn, Tướng quốc Nhạc Nghị cầm quân Triệu, Tần, Hàn, Ngụy, Yên tấn công nước Tề, chiếm được Linh Khâu.
与秦会中阳。	Cùng Tần hội kiến ở Trung Dương.
十五年，燕昭王来见。	Năm thứ mười lăm, Yên Chiêu vương đến hội kiến.
赵与韩、 魏、秦共击齐，齐王败走，燕独深入，取临菑。	Triệu và Hàn, Ngụy, Tần cùng đánh Tề, Tề vương thua chạy, riêng quân Yên tiến sâu vào Tề, chiếm được Lâm Truy.
十六年，秦复与赵数击齐，齐人患之。	Năm thứ mười sáu, Tần lại cùng Triệu nhiều lần đánh Tề, người Tề lấy làm lo sợ.
且齐之所以伐者，以事王也；天 下属行， 以谋王也。 燕秦之约成而兵出有日矣。 五国三分王之地， 齐倍五国之约而殉王之患， 西兵以禁彊秦，秦废帝请服， 反巠分、 先俞於赵。 齐 之事王，宜为上佼，而今乃抵罪， 臣恐天下後事王者之不敢自必也。	Rồi Tần oán Triệu không cùng mình đánh Tề, liền đánh Triệu, hạ được hai thành của Triệu.
王与燕王遇。 廉颇将，攻齐昔阳， 取之。 十七年，乐毅将赵师攻魏伯阳。 而秦怨赵不与己击 齐，伐赵，拔我两城。	Triệu vương lại đến Đông Dương nước Vệ, khơi nước sông Hoàng Hà, đánh họ Ngụy.
魏厓来相赵。	Ngụy Nhiễm sang Triệu làm Tướng quốc.
十九 年，秦取我二城。	Năm thứ mười chín, Tần chiếm được hai thành của Triệu.
赵奢将，攻齐麦丘，取之。	Triệu Xa làm tướng, tấn công Mạch Khâu của Tề, chiếm được.
二十年，廉颇将，攻齐。	Năm thứ hai mươi, Liêm Pha làm tướng, đánh Tề.
王与秦昭王遇西河外。	Triệu vương cùng Tần Chiêu vương hội kiến ở phía ngoài Tây Hà.
二十一年，赵徙漳水武平西。	Năm thứ hai mươi mốt, Triệu dời dòng chảy sông Chương Thủy sang phía tây Vũ Bình.
二十二年，大 疫。	Năm thứ hai mươi hai, có đại dịch.
置公子丹为太子。	Lập công tử Đan làm Thái tử.
二十三年，楼昌将，攻魏几， 不 能取。	Năm thứ hai mươi ba, Lâu Xương làm tướng, tấn công ấp Kỳ nước Ngụy, không thể chiếm được.
十二月，廉颇将，攻几，取之。	Tháng Mười Hai, Liêm Pha làm tướng, tấn công ấp Kỳ, chiếm được.
二十四年，廉颇将，攻魏房 子，拔之，因城而还。	Năm thứ hai mươi tư, Liêm Pha làm tướng, tấn công Phòng Tử nước Ngụy, hạ được, nhân đó xây thành rồi rút quân về.
又攻安阳，取之。	Lại đánh An Dương, chiếm được.
二 十五年，燕周将，攻昌城、 高唐，取 之。	Năm thứ hai mươi lăm, Yên Chu làm tướng, tấn công Xương Thành và Cao Đường, chiếm được.
与魏共击秦。	Cùng quân Ngụy đánh Tần.
秦将白起破我华阳， 得一将军。	Tướng Tần là Bạch Khởi phá quân Triệu ở Hoa Dương, bắt được một tướng quân.
二十六年，取东胡欧代地。	Năm thứ hai mươi sáu, chiếm được phần đất Đại bị Đông Hồ xâm chiếm.
二十八年，蔺相如伐齐，至平邑。	Năm thứ hai mươi tám, Lận Tương Như đánh Tề, kéo đến Bình Ấp.
罢城北九门大城。	Dừng việc xây thành lớn tại Cửu Môn ở phía bắc.
燕将成 安君公孙操弑其王。	Tướng nước Yên là Thành An quân Công Tôn Tháo giết vua nước mình.
二十九年，秦、韩相攻，而围阏与。	Năm hai mươi chín, Tần và Hàn đánh nhau, rồi bao vây Yên Dự.
赵使赵奢将，击秦，大破秦军阏与下，赐号为马服 君。	Nước Triệu sai Triệu Xa làm tướng, đánh Tần, cả phá quân Tần dưới thành Yên Dự, được ban hiệu là Mã Phục quân.
三十三年，惠文王卒，太子丹立，是为孝成王。	Năm thứ ba mươi ba, Huệ Văn vương chết, Thái tử Đan lên ngôi, đó là Hiếu Thành vương.
孝成王元年，秦伐我，拔三城。	Hiếu Thành vương năm thứ nhất, nước Tần tấn công nước Triệu, hạ được ba thành.
赵 王新立，太后用事，秦急攻之。	Triệu vương mới lên ngôi, Thái hậu chấp chính, Tần ráo riết tấn công.
赵氏求救於齐，齐曰：“必以长安君 为质，兵乃出。”	Họ Triệu cầu cứu nước Tề, Tề nói: “Nhất định phải đưa Trường An quân sang làm con tin mới xuất binh.”
曰：“恃粥耳。”	Đáp: “Ăn cháo thôi.”
对曰：“甚於妇人。”	Đáp rằng: “Hơn cả đàn bà.”
太后曰：“然。”	Thái hậu đáp: “Phải.”
左师公曰：“今三世以前，至於赵 主之子孙为侯者，其继有在者乎？”	Tả sư Công nói tiếp: “Nay tính về ba đời trước, đến con cháu của chúa nước Triệu được phong hầu, người kế thừa có còn ai tại vị không?”
曰：“无有。”	Đáp: “Không còn.”
太后曰：“诺，恣 君之所使之。”	Thái hậu nói: “Phải, tùy ông sai khiến nó vậy.”
於是为长安君约车百乘，质於齐，齐兵乃出。	Thế rồi chuẩn bị trăm cỗ xe cho Trường An quân sang làm con tin nước Tề, Tề bèn phát binh.
齐安平君 田单将赵师而攻燕中阳， 拔之。	An Bình quân Điền Đan nước Tề thống lĩnh quân Triệu tấn công Trung Dương nước Yên, hạ được.
又攻韩注人， 拔之。	Lại tấn công vào Chú Nhân nước Hàn, hạ được.
二年，惠文后卒。	Năm thứ hai, Hoàng hậu, vợ Huệ Văn vương chết.
四年，王梦衣偏裻之衣， 乘飞龙上天，不至而坠，见金玉之 积如山。	Năm thứ tư, Triệu vương mộng thấy mình mặc áo bên trái và bên phải hai màu khác nhau, cưỡi rồng bay lên trời, chưa đến nơi thì rơi xuống, thấy vàng ngọc chất như núi.
後三日，韩氏上党守冯亭使者至，曰：“韩不能守上党，入之於 秦。其吏民皆安为赵，不欲为秦。有城市邑十七，原再拜入之赵，财 王所以赐吏民。”	Ba ngày sau, sứ giả của Thú tướng Phùng Đình ở Thượng Đảng nước Hàn đến nói: “Nước Hàn không thể giữ được Thượng Đảng, sẽ phải sáp nhập Thượng Đảng vào Tần. Quan lại dân chúng ở đó đều muốn quy thuận Triệu, không muốn quy phụ Tần. [Thượng Đảng] có mười bảy thành ấp, xin vái hai vái rồi nhập vào Triệu, xin đại vương quyết định để đáp ứng ý nguyện của quan dân.”
王 曰：“善。”	Triệu vương nói: “Phải lắm.”
七月，廉颇免而赵括代将。	Tháng Bảy, Liêm Pha bị miễn chức rồi Triệu Quát cầm quân thay.
秦人围赵括，赵括以军降，卒四十馀 万皆阬之。	Người Tần bao vây Triệu Quát, Triệu Quát đem quân đầu hàng, rốt cuộc hơn bốn mươi vạn [quân Triệu] đều bị chôn sống.
王还，不听秦，秦围邯郸。	Hiếu Thành vương trở về, không chấp nhận yêu cầu của Tần, Tần bao vây Hàm Đan.
还，楚来救，及魏公子无忌亦来救， 秦围邯郸乃解。	Trở về, Sở đem quân đến cứu, công tử nước Ngụy là Vô Kỵ cũng đến cứu viện, quân Tần đang bao vây Hàm Đan bèn giải vây.
十年，燕攻昌壮， 五月拔之。	Năm thứ mười, nước Yên tấn công Xương Tráng, tháng Năm hạ được Xương Tráng.
赵将乐乘、庆舍攻秦信梁军，破之。	Tướng Triệu là Nhạc Thừa, Khánh Xá tấn công quân của Tín Lương nước Tần, phá được.
太子死。	Thái tử chết.
而 秦攻西周，拔之。	Còn Tần tấn công Tây Chu, hạ được.
十一年，城元氏， 县上原。	Năm thứ mười một, xây thành ở Nguyên Thị, lập huyện Thượng Nguyên.
十二年，邯郸廥烧。	Năm thứ mười hai, kho cỏ ở Hàm Đan bị hỏa hoạn.
十四年，平原君赵胜死。	Năm thứ mười bốn, Bình Nguyên quân Triệu Thắng chết.
十五年，以尉文封相国廉颇为信平君。	Năm thứ mười lăm, lấy ấp Ủy Văn phong cho Tướng quốc Liêm Pha làm Tín Bình quân.
王召昌国君乐间而问之。	Yên vương triệu Xương Quốc quân Nhạc Can đến hỏi về việc đó.
对曰：“赵，四战之国也， 其民习兵，伐之不可。”	[Nhạc Can] đáp rằng: “Triệu là nước bốn bề đều phải giao chiến với địch, dân quen việc binh, không thể đánh được.”
王曰：“吾以众伐寡，二而伐一，可 乎？”	Yên vương hỏi: “Ta lấy đông đánh ít, đem hai chọi một, có được không?”
王曰：“吾即以五而伐一，可乎？”	Yên vương hỏi: “Thế thì ta lấy năm chọi một, có được không?”
燕王大怒。	Yên vương cả giận.
燕卒起二军，车二千乘， 栗腹将而攻鄗，卿秦将而攻代。	Rốt cuộc nước Yên huy động hai cánh quân, hai nghìn chiến xa, Lật Phúc cầm quân tấn công ấp Hạo, Khanh Tần cầm quân tấn công đất Đại.
廉颇为赵将， 破杀栗腹，虏卿秦、乐间。	Liêm Pha làm tướng nước Triệu, phá quân Yên, giết Lật Phúc, bắt sống Khanh Tần, Nhạc Can.
十六年，廉颇围燕。	Năm thứ mười sáu, Liêm Pha bao vây nước Yên.
以乐乘为武襄君。	Phong Nhạc Thừa làm Vũ Tướng quân.
二十年，秦王政初立。	Năm thứ hai mươi, Tần vương là Chính mới lên ngôi.
秦拔我晋阳。	Tần hạ được Tấn Dương nước Triệu.
二十一年，孝成王卒。	Năm thứ hai mươi mốt, Hiếu Thành vương chết.
廉颇将，攻繁阳， 取之。	Liêm Pha làm tướng, tấn công Phồn Dương, chiếm được.
使乐乘代之，廉颇攻乐乘，乐乘走，廉 颇亡入魏。	Sai Nhạc Thừa thay Liêm Pha, Liêm Pha tấn công Nhạc Thừa, Nhạc Thừa chạy, Liêm Pha trốn sang Ngụy.
子偃立，是为悼襄王。	Con [Hiếu Thành vương] là Yển lên ngôi, đó là Điệu Tương vương.
悼襄王元年，大备 魏。	Điệu Tương vương năm thứ nhất, cử hành lễ lớn [để giao hảo] với Ngụy.
欲通平邑、中牟之道，不成。	Định thông đường Bình Ấp, Trung Mâu, nhưng không thành.
二年，李牧将，攻燕，拔武遂、方城。	Năm thứ hai, Lý Mục làm tướng, tấn công nước Yên, hạ được Vũ Toại, Phương Thành.
文信侯曰：“善。” 因遣之。	Văn Tín hầu nói: “Phải.” Nhân đó thả Xuân Bình quân.
城韩皋。	Xây thành ở Hàn Cao.
三年，庞暖将，攻燕，禽其将剧辛。	Năm thứ ba, Bàng Huyên làm tướng, tấn công nước Yên, bắt được tướng Yên là Kịch Tân.
四年，庞暖将赵、楚、魏、 燕之锐师，攻秦蕞，不拔；移攻齐，取饶 安。	Năm thứ tư, Bàng Huyên thống lãnh quân tinh nhuệ của Triệu, Sở, Ngụy, Yên, tấn công ấp Tối nước Tần, không hạ được; chuyển sang tấn công Tề, chiếm được Nhiêu An.
六年，封长安君以饶。	Năm thứ sáu, phân phong cho Trường An quân ấp Nhiêu.
九年，赵攻燕，取貍阳城。	Năm thứ chín, Triệu đánh Yên, chiếm thành Ly Dương.
兵未罢，秦攻鄴，拔之。	Chưa bãi binh thì Tần tấn công thành Nghiệp, hạ được.
悼襄王卒，子幽缪王迁 立。	Điệu Tương vương chết, con là U Mục vương Thiên lên ngôi.
幽缪王迁元年， 城 柏人。	U Mục vương là Thiên năm thứ nhất, xây thành ở Bách Nhân.
二年，秦攻武城，扈辄率 师救之，军败，死焉。	Năm thứ hai, Tần đánh vào Vũ Thành, Hỗ Triếp cầm quân đến cứu viện, quân thua, chết.
三年，秦攻赤丽、宜安， 李牧率师与战肥下， 卻之。	Năm thứ ba, Tần tấn công Xích Lệ và Nghi An, Lý Mục cầm quân giao chiến với quân Tần dưới thành Phì, đẩy lui quân Tần.
