梁孝王武者，孝文皇帝子也，而与孝景帝同母。	Lương Hiếu vương Vũ là con của Hiếu Văn Hoàng đế, cùng mẹ với Hiếu Cảnh đế.
始到，入小见；到正月朔 旦，奉皮荐璧玉贺正月，法见；後三日，为王置酒，赐金钱财物；後 二日，复入小见，辞去。	Mới đến, vào tiểu kiến; đến sáng sớm nguyên đán, bưng da hươu, ngọc bích chúc mừng tháng Giêng, yết kiến theo quy định; ba ngày sau, thiết yến các vương, ban tiền vàng của cải; hai hôm sau, lại vào tiểu kiến, từ biệt ra về.
示风以大言而实不与，令出怨言，谋畔逆，乃 随而忧之，不亦远乎！	Hoàng đế tỏ ra đại ngôn [rằng cho Lương Dương kế vị] nhưng kỳ thực không cho, khiến [Lương vương] thốt lời oán trách, âm mưu phản nghịch, kế đó phải lo lắng cho Lương vương, chẳng cũng là đi quá xa ư!
袁盎等以宋宣公不立正，生祸，祸 乱後五世不绝，小不忍害大义状报太后。	Bọn Viên Áng đem chuyện Tống Tuyên công không lập Thái tử một cách chính đáng, sinh họa, họa loạn đến năm đời không dứt, đem chuyện không nhịn việc nhỏ làm hại đến đại nghĩa, nói rõ với Thái hậu.
袁盎顾 之曰：“我所谓袁将军者也，公得毋误乎？”	Viên Áng quay lại hỏi thích khách: “Ta được gọi là Viên Tướng quân đây, ngươi không nhầm chứ?”
视其剑，新治。	Xem thanh kiếm đó, mới đúc.
太后不食，日夜泣不止。	Thái hậu bỏ ăn, ngày đêm khóc lóc không thôi.
景帝甚忧之，问 公卿大臣，大臣以为遣经术吏往治之，乃可解。	Cảnh đế rất đỗi lo lắng, hỏi các công khanh đại thần, đại thần cho là nên sai quan lại tinh thông kinh thuật đến xử lý, mới có thể giải quyết được.
故 曰，不通经术知古今之大礼，不可以为三公及左右近臣。	Cho nên nói, không thông kinh thuật, không biết đại lễ cổ kim, không thể làm Tam công và cận thần bên cạnh Hoàng đế.
归国，意忽忽不乐。	Về nước, tâm ý hoang mang, không vui.
病时，任后未尝请病；薨，又不持丧。	Lúc ốm, Nhâm Vương hậu không hề đến thăm hỏi bệnh tình, đến khi chết cũng không để tang.
窦婴在前，据地言 曰：“汉法之约，传子適孙，今帝何以得传弟，擅乱高帝约乎！”	Đậu Anh ở trước mặt, phủ phục xuống đất nói: “Pháp luật triều Hán quy định, truyền ngôi phải cho con cháu đích tôn, nay sao Hoàng đế có thể truyền ngôi vị cho em, tự ý làm loạn quy định của Cao đế được!”
周公闻之，进见曰：“天王封弟，甚善。”	Chu công nghe vậy, tấn kiến nói: “Thiên vương phong cho em, rất tốt.”
故诸侯王当为置良师傅，相忠 言之士，如汲黯、韩长孺等，敢直言极谏，安得有患害！	Cho nên vua chư hầu đáng phải đặt thầy giỏi rèn cặp, dùng kẻ sĩ nói lời trung tín giúp đỡ, như bọn Cấp Ảm, Hàn Trường Nhụ, dám nói lời thẳng, hết sức can ngăn, thì đâu có nguy hại nữa!
问长安中削厉工，工曰：“梁 郎某子来治此 剑。”	Xét hỏi thợ rèn đao kiếm ở Trường An, đáp: “Quan lang nọ ở nước Lương đến đúc thanh kiếm này.”
於是遣田叔、吕季主 往治之。	Thế là sai Điện Thúc, Lã Quý Chủ đến giải quyết vụ việc.
来还，至霸昌厩， 取火悉烧梁之反辞，但空手 来对景帝。	Trở về, đến trạm ngựa Bá Xương, đốt hết lời khai về việc mưu phản của Lương Vương, chỉ tay không về yết kiến Cảnh đế.
