吴王濞者，高帝兄刘仲之子也。	Ngô vương Tỵ là con trai của Lưu Trọng, anh trai Cao đế.
吴王之初发也，吴臣田禄伯为大将军。	Lúc Ngô vương mới phát binh, bề tôi nước Ngô là Điền Lộc Bá làm đại tướng quân.
田禄伯曰：“兵屯聚而 西，无佗奇道，难以就功。臣原得五万人，别循江淮而上，收淮南、 长沙，入武关，与大王会，此亦一奇也。”	Điền Lộc Bá nói: “Quân binh tập hợp rồi tiến sang tây, không có con đường xuất kỳ chế thắng, khó mà thành công được. Thần xin đem năm vạn người, men đường khác ven sông Trường Giang và sông Hoài rồi đi lên, thu lấy Hoài Nam, Trường Sa, vào Vũ Quan, cùng hội quân với đại vương, đó cũng là một kế lạ vậy.”
吴王太子谏曰：“王以反 为名，此兵难以藉人，藉人亦且反王，柰何？且擅兵而别，多佗利 害，未可知也， 徒自损耳。”	Thái tử của Ngô vương can rằng: “Vua cha mang danh làm phản, quân đó khó lòng nhờ người khác, nhờ người rồi cũng phản thì làm sao? Vả lại toàn quyền cầm quân mà lại chia cho người khác, nhiều điều lợi hại, không thể biết trước, đó là tự làm mình hao tổn vậy.”
吴王即不许田禄伯。	Theo đó Ngô vương không chấp nhận đề nghị của Điền Lộc Bá.
吴少将桓将军说王曰：“吴多步兵，步兵利险；汉多车骑，车骑 利平地。原大王所过城邑不下，直弃去，疾西据雒阳武库，食敖仓 粟，阻山河之险以令诸侯，虽毋入关，天下固已定矣。即大王徐行， 留下城邑，汉军车骑至，驰入梁楚之郊，事败矣。”	Viên tướng trẻ nước Ngô là Hoàn tướng quân nói với Ngô vương: “Nước Ngô có nhiều bộ binh, bộ binh lợi khi đánh vào chỗ hiểm; nhà Hán nhiều quân xa kỵ, xa kỵ lợi khi bình định đất bằng. Xin đại vương qua thành ấp nào đánh không hạ được, bỏ mà đi thẳng, tiến nhanh sang tây chiếm kho vũ khí ở Lạc Dương, thu giữ lương thảo ở kho Ngao Thương, dựa vào sự hiểm trở của núi non và sông Hoàng Hà để lệnh cho chư hầu, dẫu không vào được Quan Trung cũng bình định được thiên hạ rồi. Nếu đại vương tiến chậm, lưu quân đánh hạ thành ấp, quân xa kỵ nhà Hán đến, phóng vào ngoại thành Lương, Sở, việc sẽ thất bại.”
吴王问诸老将， 老将曰：“此少年推锋之计可耳，安知大虑乎！”	Ngô vương nói với các lão tướng, các lão tướng nói: “Lấy đó làm kế tiến công của thanh niên thì được, há đã biết nghĩ tới mưu lớn ư?”
於是王不用桓将军 计。	Thế là Ngô vương không theo kế của Hoàn tướng quân.
吴王专并将其兵，未度淮，诸宾客皆得为将、校尉、候、司马， 独周丘不得用。	Ngô vương nắm hết quân đội, chưa vượt sông Hoài, tân khách đều được làm tướng quân, Hiệu úy, hầu, Tư mã, riêng có Chu Khâu không được dùng.
周丘者，下邳人，亡命吴，酤酒无行，吴王濞薄之， 弗任。	Chu Khâu, người ở Hạ Phì, trốn chạy đến Ngô, là kẻ bán rượu, không có đức hạnh, Ngô vương Tỵ bạc đãi, không dùng.
周丘上谒，说王曰：“臣以无能，不得待罪行间。臣非敢求有 所将，原得王一汉节，必有以报王。”	Chu Khâu yết kiến, khuyên Ngô vương rằng: “Thần vốn bất tài, không được chờ tội trong hàng ngũ. Thần không dám cầu được cầm quân, chỉ xin một phù tiết nhà Hán, ắt có thể báo đáp được đại vương.”
王乃予之。	Ngô vương bèn cho.
下邳时闻吴反，皆城守。	Bấy giờ Hạ Phì nghe nói Ngô phản, đều giữ chặt thành trì.
遂召昆弟所善豪吏告曰：“吴反兵且至，至，屠下邳不过食 顷。今先下，家室必完，能者封侯矣。”	Bèn triệu nhà quyền thế cùng quan lại có quan hệ tốt với anh em mình đến, nói: “Quân làm phản của Ngô sắp đến, đến nơi, sẽ làm cỏ Hạ Phì chỉ trong thời gian bữa cơm. Nay đầu hàng trước, nhà cửa ắt được an toàn, ai tài năng sẽ được phong hầu.”
出乃相告，下邳皆下。	Rồi thông báo cho nhau, Hạ Phì đều hàng.
周丘 一夜得三万人，使人报吴王，遂将其兵北略城邑。	Một đêm Chu Khâu có được ba vạn người, sai người báo với Ngô vương, rồi đem quân lên phía bắc đánh chiếm thành ấp.
比至城阳， 兵十馀万，破城阳中 尉军。	Tiến đến Thành Dương, quân lên tới hơn mười vạn, đánh phá quân của Trung úy ở Thành Dương.
闻吴王败走，自度无与共成功，即引兵归下邳。 未至，疽发背 死。	Nghe tin Ngô vương thua chạy, Chu Khâu tự xét không có ai cùng mình tạo dựng thành công, liền dẫn quân về Hạ Phì, chưa đến nơi, mọc u trên lưng rồi chết.
二月中，吴王兵既破，败走，於是天子制诏将军曰：“盖闻为善 者，天报之以福；为非者，天报之以殃。高皇帝亲表功德，建立诸 侯，幽王、悼惠王绝无後，孝文皇帝哀怜加惠，王幽王子遂、悼惠王 子卬等，令奉其先王宗庙，为汉籓国，德配天地，明并日月。吴王濞 倍德反义，诱受天下亡命罪人，乱天下币， 称病不朝二十馀年，有司数请濞罪，孝文皇帝 宽之，欲其改行为善。今乃与楚王戊、赵王遂、胶西王卬、济南王辟 光、菑川王贤、胶东王雄渠约从反，为逆无道，起兵以危宗庙，贼杀 大臣及汉使者，迫劫万民，夭杀无罪，烧残民家，掘其丘冢，甚为暴 虐。今卬等又重逆无道，烧宗庙，卤御物， 朕甚痛之。朕素服避正殿，将军其劝士大夫击反虏。击反虏 者，深入多杀为功，斩首捕虏比三百石以上者皆杀之，无有所置。 敢有议诏及不如诏者，皆要斩。”	Giữa tháng Hai, quân của Ngô vương bị đánh tan, thua chạy, thiên tử ban chế chiếu cho các tướng quân rằng: “Từng nghe: người làm điều lành, trời ban điều phúc; làm điều sai trái, trời giáng tai ương. Cao hoàng đế đích thân biểu dương công đức, dựng lập chư hầu, U vương và Điệu Huệ vương không có người kế tục, Hiếu Văn hoàng đế thương xót gia thêm ân huệ, phong vương cho con của U vương là Toại và con của Điệu Huệ vương là Ngang, sai phụng thờ tông miếu tiên vương, làm nước phên giậu của nhà Hán, đức sánh trời đất, rạng cùng nhật nguyệt. Ngô vương Tỵ bội đức phản nghĩa, dẫn dụ thu nhận tội nhân trốn chạy trong thiên hạ, làm loạn tiền tệ, thác bệnh không vào chầu hơn hai mươi năm, quan hữu ty nhiều lần xin trị tội Tỵ, Hiếu Văn hoàng đế khoan dung, mong ông ta sửa đổi lỗi lầm thành người lương thiện. Nay lại cùng Sở vương là Mậu, Triệu vương là Toại, Giao Tây vương là Ngang, Tế Nam vương là Tích Quang, Truy Xuyên vương là Hiền, Giao Đông vương là Hùng Cừ hẹn nhau làm phản, đại nghịch vô đạo, dấy binh khiến tông miếu nguy hại, tàn sát đại thần cùng sứ giả nhà Hán, cưỡng chế hà hiếp muôn dân, giết người vô tội, đốt rụi nhà dân, quật mộ đào mả, bạo ngược hết mức. Nay bọn Ngang lại càng đại nghịch vô đạo, đốt phá tông miếu, cướp đồ ngự dụng, trẫm rất đau lòng. Trẫm mặc đồ trắng lánh khỏi chính điện, tướng quân hãy khuyến khích sĩ đại phu đánh quân phản tặc. Ai đánh quân phản tặc, thâm nhập vào địch, giết nhiều giặc thì có công, chém đầu giặc, bắt được giặc từ hàng ba trăm thạch trở lên đều giết hết, không được tha. Dám có nghị luận hay không tuân chiếu chỉ đều chém ngang lưng.”
初，吴王之度淮，与楚王遂西败棘壁， 乘胜前，锐甚。	Lúc trước, Ngô vương vượt sông Hoài, cùng Sở vương sang tây đánh bại Cức Bích, thừa thắng tiến lên, đầy nhuệ khí.
梁孝王恐，遣六将军击吴，又败梁两将，士卒皆 还走梁。	Lương Hiếu vương sợ, sai sáu tướng đem quân đánh Ngô, quân Ngô lại đánh bại hai tướng của Lương, sĩ tốt đều chạy về Lương.
又使使恶条侯於上，上使 人告条侯救梁，复守便宜不行。	Lại sai sứ nói xấu Điều hầu với Hoàng thượng, Hoàng thượng sai người bảo Điều hầu cứu viện Lương, nhưng Điều hầu cậy mình được tùy ý hành động, không chịu đi.
梁使韩安国及楚死事相弟张羽为将 军，乃得颇 败吴兵。	Nước Lương sai Hàn An Quốc cùng em của Thừa tướng đã chết vì việc nước Sở là Trương Vũ làm tướng quân, nhiều lần đánh bại quân Ngô.
吴兵欲西，梁城守坚，不敢西，即走条侯军，会下邑。	Quân Ngô muốn sang tây, Lương phòng thủ thành trì vững chắc, quân Ngô không dám sang tây, liền xông vào quân của Điều hầu, gặp nhau ở Hạ Ấp.
条侯使备 西北，果从西北入。	Điều hầu sai người phòng bị tây bắc, quân Ngô quả nhiên đánh vào hướng tây bắc.
於是吴王乃与其 麾下壮士数千人夜亡去，度江走丹徒，保东越。	Thế rồi Ngô vương bèn cùng mấy nghìn tráng sĩ dưới cờ ban đêm trốn đi, vượt sông Trường Giang chạy đến Đan Đồ, giữ Đông Việt.
东越兵可万馀人，乃使人收聚亡卒。	Quân Đông Việt lên đến trên vạn người, bèn sai người thu tập các quân bỏ trốn.
汉使人以利啗东越， 东越即绐吴王，吴王出劳军，即使人鏦杀吴 王， 盛其头， 驰传以闻。	Nhà Hán sai người dùng lợi để nhử Đông Việt, Đông Việt liền lừa Ngô vương, Ngô vương ra ngoài úy lạo quân sĩ, liền sai người dùng giáo đâm chết Ngô vương, gói đầu lại, chạy ngựa trạm đến báo tin cho nhà Hán.
吴王子子华、子驹亡走闽越。	Con trai Ngô vương là Tử Hoa và Tử Câu chạy trốn đến Mân Việt.
吴王之弃其军亡 也，军遂溃，往往稍降太尉、梁军。	Con trai Ngô vương bỏ quân binh mà trốn, quân liền tan vỡ, phần lớn đầu hàng Thái thú và quân Lương.
楚王戊军败，自杀。	Quân của Sở vương là Mậu thua trận, Sở vương tự sát.
三王之围齐临菑也，三月不能下。	Ba vương bao vây Lâm Truy nước Tề, ba tháng không hạ được.
汉兵至，胶西、胶东、菑川王 各引兵归。	Quân Hán đến, Giao Tây vương, Giao Đông vương và Truy Xuyên vương đều dẫn quân về.
王太子德曰：“汉 兵远，臣观之已罢，可袭，原收大王馀兵击之，击之不胜，乃逃入 海，未晚也。”	Thái tử của Giao Tây vương là Lưu Đức nói: “Quân Hán từ xa đến, thần thấy họ đã mệt, có thể tập kích, xin thu tàn quân của đại vương để đánh họ, nếu không thắng, trốn ra biển cũng chưa muộn.”
王曰：“吾士卒皆已坏，不可发用。”	Giao Tây vương nói: “Sĩ tốt của ta đều đã tan nát, không thể dùng được.”
汉将弓 高侯穨当遗王书曰：“奉诏诛不义，降者赦 其罪，复故；不降者灭之。王何处，须以从事。”	Tướng Hán là Cung Cao hầu Đồi Đương gửi thư cho Giao Tây vương nói rằng: “Vâng chiếu giết kẻ bất nghĩa, ai hàng được tha tội, khôi phục như cũ, ai không hàng thì giết. Vương tính thế nào, theo đó mà hành sự.”
王肉袒叩头汉军 壁，谒曰：“臣卬奉法不谨，惊骇百姓，乃苦将军远道至于穷国，敢 请菹醢之罪。”	Giao Tây vương cởi trần dập đầu tại quân doanh nhà Hán, bái yết rồi nói: “Thần là Ngang không tuân nghiêm pháp luật, làm trăm họ kinh sợ, khiến tướng quân vất vả đường xa đến nước khốn cùng này, dám xin chịu tội róc thịt làm tương.”
弓高侯执金鼓见之，曰：“王苦军事，原闻王发兵 状。”	Cung Cao hầu cầm trống vàng tiếp kiến Giao Tây vương, nói: “Vương khổ vì việc quân, xin được nghe nguyên do phát binh.”
王顿首膝行对曰：“今者，晁错天子用事臣，变更高皇帝法 令，侵夺诸侯地。卬等以为不义，恐其败乱天下，七国发兵，且以诛 错。今闻错已诛，卬等谨以罢兵归。”	Giao Tây vương dập đầu lết gối đáp rằng: “Nay, Triều Thố là bề tôi được thiên tử trọng dụng, thay đổi pháp lệnh của Cao hoàng đế, xâm đoạt đất đai chư hầu. Bọn Ngang cho là bất nghĩa, sợ ông ta gây bại hoại, làm loạn thiên hạ, bảy nước dấy binh, định để giết Thố. Nay nghe Thố đã bị giết, bọn Ngang kính cẩn bãi binh trở về.”
将军曰：“王苟以错不善，何 不以闻？未有诏虎符，擅发兵击义国。以此观之，意非欲诛错 也。”	Tướng quân nói: “Nếu vương cho là Thố bất thiện, sao không báo lên? Chưa có chiếu lệnh và hổ phù, tự ý phát binh đánh nước có nghĩa. Theo đó mà xét, không chỉ có ý giết Thố vậy.”
乃出诏书为王读之。	Bèn đem chiếu thư cho Giao Tây vương đọc.
读之讫，曰：“王其自图。”	Đọc xong, nói: “Vương hãy tự liệu.”
王曰：“如 卬等死有馀罪。”	Giao Tây vương nói: “Như bọn Ngang chết không hết tội.”
遂自杀。	Bèn tự sát.
太后、太子皆死。	Thái hậu, Thái tử đều chết.
胶东、菑川、济南王皆 死，国除，纳于汉。	Giao Đông vương, Truy Xuyên vương, Tế Nam vương đều chết, nước phong bị bãi, nạp về nhà Hán.
郦将军围赵十月而 下之，赵王自杀。	Lịch tướng quân bao vây Triệu mười tháng thì hạ được, Triệu vương tự sát.
济北王以劫故，得不诛，徙王菑川。	Tế Bắc vương do bị ép làm phản nên không bị giết, dời đến làm Truy Xuyên vương.
初，吴王首反，并将楚兵，连齐赵。	Ban đầu, Ngô vương làm phản trước, thống lĩnh cả quân Sở, liên kết với Tề, Triệu.
正月起兵，三月皆破，独赵 後下。	Tháng Giêng dấy binh, tháng Ba cùng bị đánh tan, riêng Triệu bị hạ sau cùng.
复置元王少子平陆侯礼为楚王，续元王後。	Lại lập con út của Nguyên vương là Bình Lục hầu Lễ làm Sở vương, kế tục Nguyên vương.
徙汝南王非王吴故 地，为江都王。	Dời Nhữ Nam vương là Phi đến làm quốc vương ở đất cũ nước Ngô, xưng là Giang Đô vương.
太史公曰：吴王之王，由父省也。	Thái sử công bàn rằng: Ngô vương xưng vương, do cha bị cắt đất phong.
逆乱之萌，自其子兴。	Mang tâm nghịch loạn là từ con trai.
故古者诸侯地 不过百里，山海不以封。	Cho nên, thời xưa, đất của chư hầu không quá trăm dặm, núi cao biển lớn không được phân phong.
“毋亲夷狄，以疏其属”，盖谓吴邪？ “毋 为权首，反受其咎”，岂盎、错邪？ 吴楚轻悍，王濞倍德。 富因采山，衅成提局。	“Không thân với di địch, để xa lánh thân thuộc” đại để nói về Ngô vương chăng?
吴得释其罪，谋亦益解。	Ngô vương được xá tội, mưu kế cũng dần bỏ.
岁时存问 茂材，赏赐闾里。	Hằng năm còn hỏi han đến người tài năng, ban thưởng cho trăm họ.
佗郡国吏欲来捕亡人者，讼共禁弗予。	Quan lại các quận khác muốn đến bắt người bỏ trốn, đều cấm không cho.
胶西王卬以卖爵有 奸，削其六县。	Giao Tây vương là Ngang phạm tội bán tước vị, bị tước mất sáu huyện.
汉廷臣方议削吴。	Đình thần nhà Hán đang bàn việc tước đất của nước Ngô.
诸侯既新削罚，振恐，多怨晁错。	Các chư hầu mới bị tước đất phong, xử tội, hết sức kinh sợ, nhiều người oán Triều Thố.
胶西为渠率，胶东、菑川、济南 共攻围临菑。	Giao Tây vương làm thủ lĩnh, Giao Đông vương, Truy Xuyên vương, Tế Nam vương cùng tấn công, bao vây Lâm Truy.
盎对 曰：“原屏左右。”	Áng đáp: “Xin đuổi hết tả hữu ra ngoài.”
错趋避东厢，恨甚。	Thố chạy ra lánh ở phòng phía đông, rất giận.
错衣朝衣斩东市。	Thố mặc triều phục, bị chém ở chợ đông.
吴大败，士卒多饥死，乃畔散。	Quân Ngô đại bại, sĩ tốt phần nhiều chết đói, bèn tạo phản rồi bỏ trốn.
弗听。	Không nghe.
晁错为国远虑，祸反近身。	Triều Thố vì nước suy nghĩ sâu xa, lại rước họa vào thân.
袁盎权说，初宠後辱。	Viên Áng lộng quyền giỏi biện luận, ban đầu được sủng mà sau chịu nhục.
则 遣袁盎奉宗庙，宗正辅亲戚，使告吴如盎 策。	Rồi sai Viên Áng phụng ý chỉ của tông miếu, Tông chính vì có quan hệ thân thích, sai đi báo với Ngô vương như kế sách của Áng.
周丘得节，夜驰入 下邳。	Chu Khâu được phù tiết, ban đêm cưỡi ngựa chạy vào Hạ Phì.
梁数使使报条侯求救，条侯不许。	Nước Lương nhiều lần sai sứ cầu cứu Điều hầu, Điều hầu không chịu.
欲战，条侯壁， 不肯战。	Quân Ngô muốn đánh, Điều hầu giữ thành, không chịu giao chiến.
吴粮绝，卒饥，数挑战，遂夜饹条侯壁，惊东南。	Quân Ngô hết lương, lính đói, nhiều lần khiêu chiến, rồi nhân đêm tối đột kích vào thành của Điều hầu, làm kinh động phía đông nam.
胶西王乃袒跣，席(cid:0)，饮水，谢太后。	Giao Tây vương bèn cởi áo đi chân đất, ngồi chiếu cỏ, uống nước lã, tạ tội với Thái hậu.
争 技发难，卒亡其本；亲越谋宗，竟以夷 陨。	[Con trai ông ta] vì tranh đua trong trò cờ bạc mà mất mạng; thân nước Việt mà mưu hại tông tộc, rốt cuộc bị diệt.
