陈完者，陈厉公他 之子也。	Trần Hoàn là con của Trần Lệ công Đà.
三十三年，杀其大夫牟辛。	Năm thứ ba mươi ba, giết đại phu Mâu Tân.
三十五年，公孙阅又谓成侯忌曰：“公何不令人操十金卜於市， 曰‘我田忌之人也。吾三战而三胜，声威天下。欲为大事，亦吉乎不 吉乎’？”	Năm thứ ba mươi lăm, Công Tôn Duyệt lại nói với Thành hầu Kỵ rằng: “Sao ngài không sai người đem mười lượng vàng ra xem bói ngoài chợ, nói 'Ta là người của Điền Kỵ. Ta ba lần đánh ba lần thắng, thanh uy vang dội thiên hạ. Muốn làm việc lớn, xem xem tốt hay không?'.”
卜者出，因令人捕为之卜者，验其辞於王之所。 田忌闻 之，因率其徒袭攻临淄，求成侯，不胜而饹。	Người đi xem bói đi khỏi, nhân đó [Thành hầu] sai người bắt thầy bói đến khai báo trước mặt Uy vương, Điền Kỵ nghe việc đó, liền thống lãnh đồ đảng đánh úp Lâm Truy, tìm bắt Thành hầu, không thắng, phải tháo chạy.
三十六年，威王卒，子宣王辟彊立。	Năm thứ ba mươi sáu, Uy vương chết, con là Tuyên vương Tích Cương lên thay.
宣王元年，秦用商鞅。	Tuyên vương năm thứ nhất, Tần trọng dụng Thương Ưởng.
周致伯於秦孝公。	Nhà Chu tặng danh hiệu “bá” cho Tần Hiếu công.
二年，魏伐赵。	Năm thứ hai, Ngụy đánh Triệu.
赵不利，战於南梁。	Triệu gặp bất lợi khi giao chiến ở Nam Lương.
宣王召田忌复故位。	Tuyên vương triệu Điền Kỵ về khôi phục chức vị cũ.
韩氏请救於齐。	Nước Hàn đề nghị Tề cứu viện.
宣王召 大臣而谋曰：“蚤救孰与晚救？”	Tuyên vương triều đại thần đến bàn rằng: “Nên cứu viện sớm hay cứu viện muộn?”
田忌 曰：“弗救，则韩且折而入於魏，不如蚤救之。”	Điền Kỵ nói: “Không cứu thì Hàn bị đè bẹp rồi theo Ngụy, chẳng bằng hãy sớm cứu Hàn.”
宣王曰：“善。”	Tuyên vương nói: “Phải.”
韩因恃齐，五战不胜，而东委国於齐。	Hàn nhân đó cậy có Tề cứu viện, đánh năm trận đều không thắng, rồi hướng sang phía đông ủy thác đất nước cho Tề.
齐因起兵，使田忌、田婴 将，孙子为师，救韩、赵以击魏， 大败之马陵，杀其将庞涓，虏魏太子申。	Tề nhân đó dấy binh, sai Điền Kỵ, Điền Anh làm tướng, Tôn tử làm quân sự, đi cứu viện nước Hàn và nước Triệu, tiến đánh quân Ngụy, đại phá quân Ngụy ở Mã Lăng, giết tướng [Ngụy] là Bàng Quyên, bắt sống Thái tử Thân nước Ngụy.
其後三晋 之王皆因田婴朝齐王於博望， 盟而去。	Sau đó, vua Tam Tấn đều thông qua Điền Anh để triều kiến Tề vương ở Bác Vọng, kết minh ước rồi rút về.
魏惠 王卒。	Ngụy Huệ vương chết.
明年，与魏襄王会徐州，诸侯相王也。	Năm sau, hội kiến với Ngụy Tương vương ở Từ Châu, chư hầu cùng xưng vương.
十八年，秦惠王称王。	Năm thứ mười tám, Tần Huệ vương xưng vương.
十九年，宣王卒，子湣王地立。	Năm thứ mười chín, Tuyên vương chết, con là Mẫn vương Địa lên thay.
三年，封田婴於薛。	Năm thứ ba, phong Điền Anh đất Tiết.
四年，迎妇于秦。	Năm thứ tư, đón vợ ở nước Tần.
七年，与宋攻魏，败之观泽。	Năm thứ bảy, cùng Tống đánh Ngụy, đánh bại quân Ngụy ở Quán Trạch.
十二年，攻魏。	Năm thứ mười hai, đánh Ngụy.
苏代谓田轸曰：“臣原有谒於公，其为事甚完，使楚利公，成 为福，不成亦为福。今者臣立於门，客有言曰魏王谓韩冯、 张仪曰：‘煮枣将拔， 齐兵又进，子来救寡人则可矣；不救寡人，寡人弗能 拔。’此特转辞也。秦、韩 之兵毋东，旬馀，则魏氏转韩从秦，秦逐张仪，交臂 而事齐楚，此公之事成也。”	Tô Đại nói với Điền Chẩn: “Tôi mong được bái kiến ngài, đặng làm cho công việc thực hoàn mỹ, khiến Sở làm lợi cho ngài, thành sự là phúc, không thành cũng là phúc. Nay tôi đứng ở cổng, có người khách nói Ngụy vương bảo với Hàn Phùng và Trương Nghi rằng: 'Chử Táo sắp bị hạ, quân Tề lại tiến đến, các ông đến cứu quả nhân thì ổn thỏa; không cứu quả nhân thì quả nhân không thể chống đỡ được.' Đó chỉ là những lời màu mè thôi. Quân Tần và Hàn không sang phía đông [để cứu Ngụy], hơn chục hôm thì Ngụy sẽ thay đổi thái độ với Hàn mà theo Tần, Tần theo kế của Trương Nghi, bắt tay [với Hàn, Ngụy] mà phụng sự Tề và Sở, thế thì việc của ngài sẽ thành.”
田轸曰：“柰何使无东？”	Điền Chẩn nói: “Làm thế nào để [Tần và Hàn] không sang phía đông?”
对曰：“韩 冯之救魏之辞，必不谓韩王曰‘冯以为魏’，必曰‘冯将以秦韩之兵 东卻齐宋，冯因抟 三国之兵，乘屈丐之弊， 南割於楚，故地必尽得之矣’。张 仪救魏之辞，必不谓秦王曰‘仪以为魏’，必曰‘仪且以秦韩之兵东 距齐宋，仪将抟三国之兵，乘屈丐之弊，南割於楚，名存亡国，实伐 三川而归，此王业也’。公令楚王与韩氏 地，使秦制和，谓秦王曰‘请与韩地，而王以施三川， 韩氏之兵不用而得地於楚’。韩冯之东 兵之辞且谓秦何？曰‘秦兵不用而得三川，伐楚韩以窘魏，魏氏不敢 东，是孤齐也’。张仪之东兵之辞且谓何？曰‘秦韩欲地而兵有案， 声威发於魏，魏氏之欲不失齐楚者有资矣’。魏氏转秦韩争事齐楚， 楚王欲而无与地， 公令秦韩之兵不用而得地，有一大德也。 秦韩之王劫於韩冯、张仪 而东兵以徇服魏，公常执左券 以责於秦韩，此其善於公而恶张子多资矣。”	Tô Đại đáp: “Hàn Phùng muốn xin đem quân đi cứu Ngụy, ắt không nói với Hàn vương rằng: 'Phùng chỉ vì muốn cứu Ngụy', mà nhất định nói 'Phùng sẽ đem quân Tần và Hàn sang đông đẩy lùi quân Tề và quân Tống, Phùng nhân đó thống lãnh quân ba nước, thừa cơ Khuất Cái mỏi mệt, tiến xuống phía nam cắt chiếm đất của Sở, ắt thu lại được hết các đất cũ.' Trương Nghi xin đi cứu Ngụy ắt không nói với Tần vương rằng 'Nghi chỉ vì muốn cứu Ngụy', mà nhất định nói 'Nghi sẽ đem quân Tần và Hàn sang phía đông cự nhau với Tề và Tống, Nghi sẽ đem quân ba nước, thừa cơ Khuất Cái mỏi mệt, xuống phía nam cắt lấy đất của Sở, danh nghĩa bảo tồn nước sắp diệt vong, kỳ thực là đánh Tam Xuyên rồi về, đó là nghiệp vương vậy.' Ngài khiến Sở vương trả lại đất cho Hàn, khiến Tần đứng ra giảng hòa, nói với Tần Vương rằng: 'Xin trả lại đất cho Hàn, còn đại vương thi ân ở Tam Xuyên, quân Hàn không cần phát động mà vẫn thu được đất từ Sở.' Hàn Phùng đem quân sang phía đông sẽ nói với Tần thế nào? Nói rằng 'Quân Tần không cần phát động mà có được Tam Xuyên, đánh Sở và Hàn để khiến Ngụy khốn quẫn, nước Ngụy không dám sang đông, đó là cách cô lập Tề vậy.' Trương Nghi đem quân sang phía đông sẽ nói thế nào? Nói rằng 'Tần và Hàn muốn có đất mà lại án binh bất động, uy thanh vang động ở Ngụy, điều mong muốn của Ngụy là không mất sự chi viện của Tề và Sở'. Nước Ngụy thay đổi thái độ với Tần và Hàn chuyển sang phụng sự Tề và Sở, Sở vương muốn Ngụy quy phụ, lại không phải trả đất cho Hàn, ngài khiến quân của Tần và Hàn không phải phát động mà được đất, tạo ân đức lớn lao [với Tần và Hàn]. Tần vương và Hàn vương bị Hàn Phùng và Trương Nghi bức bách rồi đem quân sang đông để hàng phục Ngụy, ngài luôn thắng thế để đòi hỏi ở Tần và Hàn, thế thì ngài được tiếng tốt còn Trương Nghi phải chịu tiếng xấu.”
十三年，秦惠王卒。	Năm thứ mười ba, Tần Huệ vương chết.
二十三年，与秦击败楚於重丘。	Năm thứ hai mươi ba, cùng quân Tần đánh bại quân Sở ở Trùng Khâu.
二十四年，秦使泾阳君质於 齐。	Năm thứ hai mươi tư, Tần sai Kinh Dương quân sang Tề làm con tin.
二十五年，归泾阳君于秦。	Năm thứ hai mươi lăm, [nước Tề] cho Kinh Dương quan về Tần.
孟尝君薛文入秦，即相秦。	Mạnh Thường quân Tiết Văn sang Tần, liền được làm Tướng quốc nước Tần.
文亡去。	Văn trốn khỏi Tần.
二十六年，齐与韩魏共攻秦，至函谷军 焉。 二十八年，秦与韩河外以和，兵罢。	Năm thứ hai mươi sáu, Tề cùng Hàn và Ngụy đánh Tần, đến đóng quân ở Hàm Cốc. Năm thứ hai mươi tám, Tần trả lại vùng đất phía ngoài sông Hoàng Hà cho Hàn để giảng hòa, bãi binh.
二十九年，赵杀其主父。	Năm thứ hai mươi chín, Triệu giết Chủ phụ của mình.
三十六年，王为东帝，秦昭王为西帝。	Năm thứ ba mươi sáu, Tề Mẫn vương làm Đông đế, Tần Chiêu vương làm Tây đế.
齐王 曰：“嘻，善，子来！秦使魏厓致帝，子以为何如？”	Tề vương nói: “Ôi, ngài đến đây thực tốt quá! Tần sai Ngụy Nhiễm đến dâng đế hiệu, ngài thấy thế nào?”
对曰：“王之 问臣也卒，而患之所从来微，原王受之而勿备称也。秦称之，天下安 之，王乃称之，无後也。且让争帝名，无伤也。秦称之，天下恶之， 王因勿称，以收天下，此大资也。且天下立两帝，王以天下为尊齐 乎？尊秦乎？”	Đáp rằng: “Đại vương thình lình hỏi thần, điều đáng lo vốn xuất phát từ những việc nhỏ, xin đại vương tiếp nhận nhưng chớ chuẩn bị xưng đế. Tần xưng đế mà thiên hạ chấp nhận, rồi đại vương mới xưng đế, thế cũng không muộn. Hơn nữa nhường Tần xưng đế, cũng không có tổn hại gì. Tần xưng đế mà thiên hạ ghét việc đó, đại vương nhân đó không xưng đế, để thu phục thiên hạ, đó là thu được vốn liếng to lớn vậy. Hơn nữa thiên hạ có hai đế, đại vương cho là thiên hạ vì thế sẽ đề cao nước Tề chăng? Hay đề cao nước Tần?”
王曰：“尊秦。”	Tề vương đáp: “Đề cao nước Tần.”
曰：“释帝，天下爱齐乎？爱秦 乎？”	Tô Đại hỏi: “Bỏ đế hiệu, thiên hạ yêu quý nước Tề chăng? Hay là yêu quý nước Tần?”
王曰：“爱齐而憎秦。”	Tề vương đáp: “Yêu Tề mà ghét Tần.”
曰：“两帝立约伐赵，孰与伐桀宋之 利？”	Tô Đại hỏi: “Hai nước xưng đế rồi hẹn nhau đánh Triệu, việc đó so với việc đánh Kiệt Tống đằng nào lợi hơn?”
王曰：“伐桀宋 利。”	Tề vương đáp: “Đánh Kiệt Tống lợi hơn.”
於是齐去帝复为王，秦亦去帝位。	Thế là Tề bỏ đế hiệu, trở về xưng vương như trước, Tần cũng bỏ đế hiệu.
三十八年，伐宋。	Năm thứ ba mươi tám, [Tề] đánh Tống.
苏代为齐谓秦王 曰：“韩聂之攻宋，所以为王也。齐彊，辅之以宋，楚魏必恐，恐必 西事秦，是王不烦一兵，不伤一士，无事而割安邑也， 此韩聂之所祷於王也。”	Tô Đại vì nước Tề nói với Tần vương rằng: “Hàn Nhiếp đánh nước Tống là vì đại vương vậy. Tề mạnh, lại có nước Tống phụ giúp, Sở và Ngụy ắt sợ, sợ thì nhất định hướng sang phía tây để phụng sự nước Tần, thế thì đại vương không cần phiền một sĩ, không tổn thương một tốt, chẳng cần giao chiến và được cắt An Ấp, đó là Hàn Nhiếp cầu đảo cho đại vương vậy.”
秦王曰：“吾 患齐之难知。一从一衡，其说何也？”	Tần vương nói: “Ta e Tề khó đoán biết, thoắt lúc hợp tung, thoắt lại liên hoành, phải giải thích [việc đó] ra sao?”
秦王曰：“诺。”	Tần vương nói: “Phải.”
於是齐 遂伐宋，宋王出亡，死於温。	Thế rồi Tề liền đánh Tống, Tống quân chạy khỏi nước, chết ở thành Ôn.
齐南割楚之淮北，西 侵三晋，欲以并周室，为天子。	Tề xuống phía nam cắt đất phía bắc sông Hoài của Sở, phía tây xâm chiếm Tam Tấn, định thôn tính luôn vương thất nhà Chu, để làm thiên tử.
王解而卻。	Quân Tề vương bị đánh tan, phải rút lui.
湣王出亡，之卫。	Tề Mẫn vương chạy khỏi nước, sang nước Vệ.
湣王不逊，人侵之。	[Nhưng] Mẫn vương không khiêm tốn, bị người nước Vệ xâm hại.
楚使淖齿将兵救齐，因相齐湣 王。	Sở sai Náo Xỉ cầm quân sang cứu Tề, nhân đó làm Tướng quốc cho Tề Mẫn vương.
湣王之遇杀，其子法章变名姓为莒太史敫 家庸。	Tề Mẫn vương bị giết, con là Pháp Chương thay tên đổi họ làm gia bộc của Thái sử Kiểu nước Cử.
太史敫女奇法章状貌，以为非恆人，怜而常窃衣食 之，而与私通焉。	Con gái của Thái sử Kiểu lấy làm lạ về tướng mạo của Pháp Chương, cho là không phải người thường, thương xót rồi thường lấy trộm quần áo thức ăn mang cho, rồi tư thông với Pháp Chương.
淖齿既以去莒，莒中人及齐亡臣相聚求湣王子，欲 立之。	Sau khi Náo Xỉ rời nước Cử, người nước Cử cùng các bề tôi lưu vong của Tề tụ tập nhau để tìm con của Mẫn vương, định lập làm vua.
法章惧其诛己也，久之，乃敢自言“我湣王子也”。	Pháp Chương sợ họ giết mình, lâu sau mới dám thú thực “ta là con Mẫn vương đây”.
於是莒人 共立法章，是为襄王。	Thế là người nước Cử cùng lập Pháp Chương, đó là Tương vương.
以保莒城而布告齐国中：“王已立在莒 矣。”	Cho giữ thành Cử rồi bố cáo cho người nước Tề rằng: “Quốc Vương đã lên ngôi ở đất Cử.”
襄王既立，立太史氏女为王后，是为君王后，生子建。	Sau khi Tương vương lên ngôi, lập con gái của Thái sử làm Vương hậu, đó là Quân Vương hậu, sinh ra Kiến.
太史敫 曰：“女不取媒因自嫁，非吾种也，汙吾世。”	Thái sử Kiểu nói: “Con gái không nhờ mai mối mà tự lấy chồng, không phải dòng giống nhà ta, làm ta ô danh với đời.”
终身不睹君王后。	Suốt đời không gặp mặt Quân Vương hậu.
君 王后贤，不以不睹故失人子之礼。	Quân Vương hậu là người hiền thục, không vì cha không nhìn mặt mà lỗi đạo làm con.
齐封田单为安平君。	Tề phong Điền Đan làm An Bình quân.
十四年，秦击我刚寿。	Năm thứ mười bốn, Tần đánh đất Cường Thọ của Tề.
十九年，襄王卒，子建立。	Năm thứ mười chín, Tương vương chết, con là Kiến lên thay.
王建立六年，秦攻赵，齐楚救之。	Tề vương Kiến lên ngôi được sáu năm, Tần đánh Triệu, Tề và Sở cứu nước Triệu.
赵无食，请粟於齐，齐不听。	Nước Triệu hết lương, xin thóc nước Tề, nước Tề không cho.
齐王弗听。	Tề vương không nghe.
十六年，秦灭周。	Năm thứ mười sáu, Tần diệt nhà Chu.
君王后卒。	Quân Vương hậu chết.
二十三年，秦置东郡。	Năm thứ hai mươi ba, Tần lập ra Đông Quận.
二十八年， 王入朝秦，秦王政置酒咸阳。	Năm thứ hai mươi tám, Tề vương vào triều kiến nước Tần, Tần vương Chính bày tiệc rượu ở Hàm Dương.
三十五年，秦灭韩。	Năm thứ ba mươi lăm, Tần diệt nước Hàn.
三十八年，燕使荆轲刺秦王，秦王觉，杀轲。	Năm thứ ba mươi tám, nước Yên sai Kinh Kha hành thích Tần vương, Tần vương phát giác được, giết Kha.
四十二年，秦灭楚。	Năm thứ bốn mươi hai, Tần diệt nước Sở.
明 年，虏代王嘉，灭燕王喜。	Năm sau, bắt sống Đại vương là Gia, diệt Yên vương là Hỉ.
四十四年，秦兵击齐。	Năm thứ bốn mươi tư, quân Tần tấn công nước Tề.
齐王听相后胜计，不战，以兵降秦。	Tề vương nghe theo kế của Tướng quốc Hậu Thắng, không giao chiến, đem quân hàng Tần.
遂灭齐 为郡。	Bèn diệt Tề, lập thành quận.
天下壹并於秦，秦王政立号为皇帝。	Thiên hạ thảy đều bị Tần thôn tính, Tần vương Chính xưng hiệu là Hoàng đế.
五国已亡，秦兵卒入临 淄，民莫敢格者。	Sau khi năm nước đã bị diệt vong, cuối cùng quân Tần tiến vào Lâm Truy, dân chúng không ai dám phản kháng.
故齐人怨王建不蚤与诸侯合从 攻秦，听奸臣宾客以亡其国，歌之曰：“松耶柏耶？住建共者客 耶？” 疾建用客之不 详也。	Vì thế người Tề oán Kiến đã không sớm cùng chư hầu hợp tung đánh Tần, nghe theo gian thần và tân khách để đến nỗi nước bị diệt vong, họ hát rằng: “Tùng ư, bách ư? Kiến ở ấp Cung là do khách ư?” Là do ghét [Tề vương] Kiến nghe lời tân khách mà không thẩm xét kỹ càng vậy.
太史公曰：盖孔子晚而喜易。	Thái sử công bàn rằng: Đại để Khổng tử khi tuổi cao thích đọc Dịch.
故周太史之卦田敬仲完，占至十世之後；及完奔齐，懿 仲卜之亦云。 田乞及常所以比犯二君， 专齐国之政，非必事势之渐然也，盖若遵厌兆祥云。 田完避难，奔于大姜；始辞羁旅，终然凤皇。 物莫两盛， 代五其昌。	Cho nên quan Thái sử nhà Chu xem bói cho Điền Kinh Trọng Hoàn, xem đến tận mười đời sau; đến khi Hoàn chạy sang Tề, Ý Trọng xem bói cho Hoàn cũng nói như thế.
晏婴卒後，范、中行氏反晋。	Sau khi Yến Anh chết, họ Phạm và họ Trung Hàng làm phản nước Tấn.
晋攻之急，范、中行请粟於齐。	Tấn đánh họ Phạm và họ Trung Hàng rất ráo riết, họ Phạm và họ Trung Hàng xin thóc nước Tề.
晏圉奔 鲁。	Yến Ngữ chạy sang nước Lỗ.
田乞盛阳生橐 中，置坐中央。	Điền Khất cho Dương Sinh vào trong túi, đặt ở giữa mọi người.
田常心害监止，监止幸於简公，权 弗能去。	Điền Thường trong lòng muốn hại Giám Chỉ, [song vì] Giám Chỉ được Giản công sủng ái, cân nhắc thấy không thể trừ khử được.
田常既杀简公，惧诸侯共诛己，乃尽归鲁、卫侵地，西约晋、 韩、魏、赵氏，南通吴、越之使，脩功行赏，亲於百姓，以故齐复 定。	Sau khi Điền Thường giết Giản công, sợ các nước chư hầu cùng giết mình, bèn trả hết các đất đã chiếm của Lỗ và Vệ, phía tây hòa ước với Tấn, Hàn, Ngụy, Triệu; phía nam thông sứ với Ngô và Việt, kiến lập công đức, thi hành ban thưởng, thân với trăm họ, nhờ đó nước Tề ổn định trở lại.
田常於是尽诛鲍、 晏、监止及公族之彊者，而割齐自安平以东 至琅邪，自为封邑。	Thế rồi Điền Thường giết hết các họ Bão, Yến, Giám Chỉ cùng những nhà có thế lực lớn mạnh trong tông thất, rồi cắt nước Tề từ An Bình sang phía đông đến Lang Da, tự lập làm ấp phong của mình.
明年，伐鲁、葛及安 陵。	Năm sau, đánh nước Lỗ, thành Cát và An Lăng.
明年，鲁败齐平陆。	Năm sau, Lỗ đánh bại Tề ở Bình Lục.
楚、赵闻之，果起兵而救之。	Sở và Triệu nghe tin, quả nhiên dấy binh cứu viện nước Hàn.
三年，三晋灭晋後而分其地。	Năm thứ ba, Tam Tấn sau khi diệt nước Tấn liền phân chia đất đai của Tấn.
六年，鲁伐我，入阳关。	Năm thứ sáu, Lỗ đánh Tề, tiến vào Dương Quan.
晋伐我，至博陵。	Tấn đánh Tề, kéo đến Bác Lăng.
封 之万家。	Phong cho đại phu Tức Mặc vạn nhà.
召阿大夫语曰：“自子之守阿，誉言日闻。然使使视阿，田 野不辟，民贫苦。昔日赵攻甄，子弗能救。卫取薛陵，子弗知。是子 以币厚吾左右以求誉也。”	Triệu đại phu ấp A đến nói: “Từ khi ông đi giữ ấp A, ngày ngày được nghe tiếng tốt. Nhưng sai sứ đến xem xét ấp A, thấy ruộng đồng không được khai khẩn mở mang, dân chúng nghèo khổ. Ngày trước, Triệu tấn công ấp Quyên, ông không thể ứng cứu. Vệ chiếm được Tiết Lăng, ông cũng không hay biết. Đó là ông dùng lễ vật trọng hậu nhằm luồn lót cho các đại thần tả hữu của ta để được tiếng tốt vậy.”
驺忌子曰：“谨受令，请谨毋离 前。”	Trâu Kỷ tử nói: “Kính cẩn nhận lời chỉ giáo, xin kính cẩn ghi khắc trong lòng.”
驺忌子 曰：“谨受令，请谨脩法律而督奸吏。”	Trâu Kỵ tử nói: “Kính cẩn nhận lời chỉ giáo, xin kính cẩn sửa sang pháp luật, đốc sát quan lại gian dối.”
居期年，封以下邳，号曰成侯。	Được một năm, [Trâu Kỵ tử] được phong ở Hạ Bi, hiệu là Thành hầu.
於是成侯言威王，使田忌南攻 襄陵。	Thế là Thành hầu nói với Uy vương, sai Điền Kỵ xuống phía nam tấn công Tương Lăng.
孙子曰：“夫韩、 魏之兵未弊而救之，是吾代韩受魏之兵，顾反听命於韩也。且魏有破 国之志，韩见亡，必东面而愬於齐矣。吾因深结韩之亲而晚承魏之 弊，则可重利而得尊名也。”	Tôn tử nói: “Xét lẽ, quân Hàn và Ngụy chưa mỏi mệt mà đã cứu Hàn, thế là ta thay Hàn hứng đỡ sự tấn công của quân Ngụy, ngược lại là nghe theo lệnh của Hàn vậy. Vả lại Ngụy có chí đánh phá Hàn, Hàn thấy mình sẽ bị diệt vong ắt hướng sang phía đông để cầu cứu Tề. Ta nhân đó kết thâm giao với Hàn rồi sau muộn đợi khi quân Ngụy mỏi mệt [ta cứu viện] thì có thể được lợi lớn mà thanh danh cũng thêm cao.”
明年，复会甄。	Năm sau, lại hội kiến ở ấp Quyên.
是以齐稷下学士复盛，且数百千人。	Vì thế học sĩ Tắc Hạ nước Tề lại hứng khởi, có từ mấy trăm đến hàng nghìn người.
苏代自燕来，入齐，见於 章华东门。	Tô Đại từ Yên sang Tề, bái kiến Tề vương tại cổng phía đông Chương Hoa.
秦昭王怒曰：“吾爱宋与爱新城、阳晋同。 韩聂与吾友也，而攻吾所爱，何也？”	Tần Chiêu vương giận nói: “Ta yêu nước Tống giống như yêu Tân Thành và Dương Tấn. Hàn Nhiếp là bạn của ta, thế mà [Tề lại] đánh nước ta yêu quý là cớ làm sao?”
对曰：“天下国令齐可知乎？ 齐以攻宋，其知事秦以万乘之国自辅，不西事秦则宋治不安。 中国白头游敖之士皆积智欲离齐秦之交，伏式 结轶 西驰者，未有一人言善齐者也，伏式结轶东驰者，未有一人言善秦者 也。何则？皆不欲齐秦之合也。何晋楚之智而齐秦之愚也！晋楚合必 议齐秦，齐秦合必图晋楚，请以此决事。”	Tô Đại đáp: “Mệnh lệnh của các nước trong thiên hạ, nước Tề có thể biết không? Tề sở dĩ đánh Tống, vì Tề biết rằng [Tống] phụng sự Tần là muốn dựa vào nước có vạn cỗ xe làm hậu thuẫn, không hướng sang tây để phụng sự Tần thì Tống không thể yên trị. Những kẻ sĩ du thuyết bạc đầu ở Trung nguyên đều dồn hết trí tuệ đặng ly gián quan hệ giữa Tề và Tần, những kẻ rong xe ruổi ngựa sang tây không người nào nói tốt cho Tề, còn những kẻ rong xe ruổi ngựa sang đông, không người nào nói tốt cho Tần. Tại sao vậy? Vì đều không muốn Tề và Tần liên kết với nhau. Tại sao Tấn và Sở sáng suốt còn Tề và Tần lại ngu tối thế! Tấn và Sở liên kết với nhau ắt sẽ tính chuyện đánh Tề và Tần, Tề và Tần liên kết với nhau ắt sẽ tính chuyện đánh Tấn và Sở, xin đại vương hãy dựa vào đó để quyết định.”
泗上诸侯邹鲁之君皆称臣，诸侯恐 惧。	Vua các nước chư hầu ở phía trên sông Tứ là Trâu và Lỗ đều phải xưng thần, các chư hầu khác thảy đều kinh sợ.
四十年，燕、秦、楚、三晋合谋，各出锐师以伐，败我济西。	Năm thứ bốn mươi, Yên, Tần, Sở, Tam Tấn bàn mưu với nhau, mỗi nước đều đem quân tinh nhuệ tham gia đánh Tề, đánh bại quân Tề ở phía tây sông Tế.
湣王去，走邹、鲁，有骄色，邹、 鲁君弗内，遂走莒。	Mẫn vương bỏ đi, chạy sang nước Trâu nước Lỗ, [vẫn] có vẻ kiêu căng, vua các nước Trâu và Lỗ không cho vào, bèn chạy sang nước Cử.
秦计曰：“齐楚救赵，亲则退 兵，不亲遂攻之。”	Tần tính kế rằng: “Tề và Sở cứu Triệu, họ thân nhau thì ta lui binh, không thân nhau thì ta tấn công Triệu.”
周子 曰：“不如听之以退秦兵，不听则秦兵不卻，是秦之计 中而齐楚之计过也。且赵之於齐楚，扞蔽也， 犹齿之有脣也，脣亡则齿 寒。今日亡赵，明日患及齐楚。且救赵之务，宜若奉漏甕沃焦釜也。 夫救赵，高义也；卻秦兵，显名也。义救亡国，威卻彊秦之兵，不务 为此而务爱粟，为国计者过矣。”	Chu tử nói: “Chẳng bằng cho họ để đẩy lui quân Tần, không cho thì quân Tần không lui, đó là trúng kế của Tần, theo đó kế sách của Tề và Sở là sai lầm. Hơn nữa, Triệu đối với Tề và Sở là bình phong che chắn, giống như môi với răng, môi hở thì răng lạnh. Nếu nay Triệu bị diệt vong, mai họa sẽ lan đến Tề và Sở. Huống nữa việc cứu Triệu giống như cầm hũ rò mà trút vào chảo rang vậy. Xét lẽ, cứu Triệu là nghĩa cử cao đẹp; đẩy lui quân Tần là hiển dương thanh danh. Vì nghĩa mà cứu nước sắp diệt vong, ra uy đẩy lui quân Tần mạnh, không coi trọng việc đó mà lại tiếc thóc, là kế sách sai lầm cho quốc gia vậy.”
秦虏 王建，迁之共。	Tần bắt sống Tề vương Kiến, đày ra ấp Cung.
始，君王后贤，事秦谨， 与诸侯信，齐亦东边海上，秦日夜攻三晋、燕、楚，五国各自救於 秦，以故王建立四十馀年不受兵。	Ban trước, Quân Vương hậu là người hiền thục, thờ Tần rất kính cẩn, thủ tín với chư hầu, Tề lại là nước ở trên biển phía đông, Tần ngày đêm tấn công Tam Tấn, Yên và Sở, năm nước đều tự lo cứu mình [trước sự tấn công của quân] Tần, cho nên Tề vương Kiến lên ngôi hơn bốn mươi năm mà không bị chiến tranh.
君王后死，后胜相齐，多受秦间 金，多使宾客入秦，秦又多予金，客皆为反间，劝王去从朝秦，不脩 攻战之备，不助五国攻秦，秦以故得灭五国。	Quân Vương hậu chết, Hậu Thắng làm Tướng quốc nước Tề, nhận nhiều vàng của gián điệp nước Tần, nhiều lần sai tân khách sang Tần, Tần lại tặng nhiều vàng, khách đều làm gián điệp cho Tần, khuyên Tề bỏ hợp tung, triều kiến nước Tần, không lo sửa sang quân bị, không giúp năm nước đánh Tần, vì thế Tần diệt được năm nước.
王建遂降，迁於共。	Tề vương Kiến đầu hàng, bị đày ra ấp Cung.
子我闭门。	Tử Ngã đóng cổng.
七年，卫伐我，取 薛陵。	Năm thứ bảy, Vệ đánh Tề, chiếm được Tiết Lăng.
九年，赵伐我，取甄。	Năm thứ chín, Triệu đánh Tề, chiếm được ấp Quyên.
遂起兵西击赵、卫，败魏於浊泽而围惠王。	Rồi dấy binh sang phía tây đánh nước Triệu và nước Vệ, đánh bại quân Ngụy ở Trạc Trạch rồi bao vây Huệ vương.
淳于髡曰：“狐裘虽敝，不可补以黄狗之皮。”	Thuần Vu Khôn nói: “Áo hồ cừu tuy rách, nhưng không thể lấy miếng da chó vàng để vá vào.”
十月，邯郸拔，齐因起兵击魏，大败之桂陵。	Tháng Mười, Hàm Đan bị hạ, Tề nhân đó dấy binh đánh Ngụy, đánh quân Ngụy đại bại ở Quế Lăng.
赵与韩亲，共击魏。	Triệu và Hàn kết thân, cùng đánh nước Ngụy.
七年，与魏王会平阿南。	Năm thứ bảy, hội kiến với Ngụy vương ở phía nam Bình A.
十年，楚围我徐州。	Năm thứ mười, Sở bao vây Từ Châu nước Tề.
十一年，与魏伐赵，赵决河水灌齐、魏，兵罢。	Năm thứ mười một, cùng Ngụy đánh Triệu, Triệu khơi nước sông Hoàng Hà cho đổ vào quân Tề và Ngụy, các bên bãi binh.
