夏禹， 名曰文 命。	Hạ Vũ tên là Văn Mệnh.
贡羽、旄、齿、革，金三品，杶、榦、栝、柏， 砺、砥、 砮、丹， 维箘簬、楛， 三 国致贡其名，包匭菁 茅， 其篚玄纁玑组， 九江入赐大龟。	Cống phẩm có lông vũ, đuôi mao ngưu, ngà voi, da thú, vàng ba phẩm, gỗ suân, gỗ cán, gỗ quát, gỗ bách, đá mài, đá làm tên, đan sa. Ba nước tiến cộng đặc sản là tre huân lộ và gỗ cây khổ thì phải dùng cỏ thanh mao để bọc lại. Chuỗi ngọc ky và các thớt tơ lụa màu đen lẫn đỏ thì đựng bằng sọt. Vùng Cửu Giang khi có lệnh thì phải cống rùa lớn.
荆、岐已旅， 终南、敦物至于 鸟鼠。	Núi Kinh, núi Kỳ cử hành tế Lữ, cả từ núi Chung Nam, núi Đôn Vật đến núi Điểu Thử.
织皮昆仑、析 支、渠搜，西戎即序。	Thảm dệt bằng lông thú xuất ở Côn Lôn, Tích Chi, Cừ Sưu. Rợ Tây Nhung vào vòng trật tự.
六府甚脩， 众土交正，致慎财赋， 咸则三壤成赋。	Sáu phủ sửa sang, đất đai định đúng, đánh thuế thận trọng, đều chiểu theo ba hạng đất trung thu.
令天子之国以外五百里甸服： 百里赋纳裛， 二百里纳铚， 三百里 纳秸服， 四百里粟，五百里米。 甸服外五百里侯服： 百里采， 二百里任国，三百里诸侯。	Quy định vùng từ kinh kỳ của thiên tử trở ra ngoài năm trăm dặm gọi là Điện phục: cách kinh kỳ một trăm dặm thuế nộp toàn thân cây lúa, cách hai trăm dặm nộp bông lúa, ba trăm dặm nộp thân bông lúa bỏ bì, bốn trăm dặm nộp thóc, năm trăm dặm nộp gạo. Ngoài vùng Điện phục năm trăm dặm là vùng Hầu phục: cách một trăm dặm là đất thái ấp, hai trăm dặm là đất nhậm quốc, ba trăm dặm là đất chư hầu.
侯服外五百里绥 服：三百里揆文教， 二百里奋武卫。	Ngoài vùng Hầu phục năm trăm dặm là vùng Tuy phục: cách ba trăm dặm truyền bá văn chương giáo hóa, hai trăm dặm chấn chỉnh võ bị.
绥服外五百里要 服：三百里夷， 二百里蔡。 要服外五百里荒服： 三百里蛮， 二百里流。	Ngoài vùng Tuy phục năm trăm dặm là vùng Yêu phục: cách ba trăm dặm là nơi dân di ở, hai trăm dặm là nơi tù đày. Ngoài vùng Yêu phục năm trăm dặm là vùng Hoang phục: cách ba trăm dặm là nơi dân man ở, hai trăm dặm là nơi lưu đày kẻ trọng tội.
东渐于海，西被于流沙，朔、南暨： 声教讫于四海。	Đông vươn đến biển, Tây chạm Lưu Sa, Bắc Nam trải dài, thanh giáo trùm khắp bốn bể.
乃言曰：“始事事， 宽而栗， 柔而立，愿 而共，治而敬，扰而毅， 直而 温，简而廉，刚而实，彊而义，章其有常，吉哉。 日宣三德，蚤夜翊明有家。 日严 振敬六德，亮采有国。 翕受普施，九德咸事，俊 乂在官， 百吏肃 谨。毋教邪淫奇谋。非其人居其官，是谓乱天事。 天讨 有罪，五刑五用哉。吾言厎可行 乎？”	Đoạn liền nói rằng: “Đầu tiên phải xem cách hành xử, rộng lượng mà nghiêm túc, mềm dẻo mà quyết đoán, thành khẩn mà khiêm cung, giỏi giang mà kính cẩn, hòa thuận mà cương nghị, thẳng thắn mà ôn tồn, giản dị mà liêm khiết, cứng rắn mà chân thực, rắn rỏi mà nhân nghĩa, có thể tỏ rõ phẩm đức thì thật tốt đẹp! Ngày nêu ba đức, sớm tối gắng gỏi, thì có thể làm chức khanh, đại phu. Hằng ngày nghiêm cẩn thi hành sáu đức, xử sự chân thành, thì có thể làm được chư hầu. Gồm đủ chín đức, ban khắp thiên hạ, trọng dụng hiền tài, trăm quan nghiêm cẩn, chớ dùng bọn tà dâm mưu mẹo. Để người không xứng đáng giữ chức quan, ấy tức là làm loạn việc trời. Trời phạt kẻ có tội, dùng năm hình phạt mà trị. Lời tôi nói liệu thi hành được không?”
帝 曰：“吁，臣哉，臣哉！臣作朕股肱耳目。予欲左右有民，女辅之。 余欲观古人之象。日月 星辰，作文绣服色，女明之。予欲闻六律五声八音，来始滑，以出入 五言，女听。 予即辟，女匡 拂予。女无面谀。退而谤予。敬四辅臣。 诸众谗嬖臣，君 德 诚施皆清矣。”	Đế Thuấn nói: “Chà, bề tôi ơi bề tôi! Bề tôi là tai mắt chân tay của ta. Ta muốn xung quanh có người quản dân, các ngươi hãy giúp rập! Ta muốn xem hình vẽ của cổ nhân, đem nhật nguyệt tinh tú làm hoa văn thêu lên sắc phục, các ngươi hãy khảo rõ! Ta muốn nghe lục luật, ngũ thanh, bát âm, để xem chính sự liệu có lợi là, truyền bá hoặc thu nạp những lời bàn về năm loại đúc, các ngươi hãy nghe ngóng! Ta có sai lầm, ngươi chỉnh đốn giúp ta. Ngươi chớ có trước mặt thì nịnh bợ, lui về thì phỉ báng ta. Phải kính trong bốn vị đại thần phò tá. Đám sủng thần nói láo, một khi đạo quân vương thực sự thi hành là quét sạch.”
乃更 为歌曰：“元首明哉，股肱良哉，庶事康哉！” 又歌曰：“元首丛脞 哉，股肱惰哉，万事堕哉！”	Đoạn bèn hát: “Đế vương anh minh, đại thần hiền lương, mọi việc an khang. Lại hát: “Đế vương chấp nhặt, đại thần lười nhác, mọi việc hỏng hết.”
将战，作甘誓，乃召六卿申之。	Sắp khai chiến, Khải làm bài Cam thệ, đoạn gọi tưởng của sáu quân tới nói rõ.
帝太康失国， 昆弟五人，须于洛 汭，作五子之歌。	Đế Thái Khang để mất nước, năm người anh em chạy loạn ở phía bắc sông Lạc, làm bài Ngũ tử chi ca.
帝中康时，羲、和湎淫，废时 乱日。	Vào thời Đế Trung Khang, họ Hy, họ Hòa nát rượu, làm loạn ngày giờ.
帝 孔甲立，好方鬼神，事淫乱。	Đế Khổng Giáp lên ngôi, mê tín quỷ thần, làm việc dâm loạn.
於是夔行乐，祖考至，群后相让，鸟兽翔舞， 箫韶九成，凤皇来仪， 百兽率舞，百官信谐。	tấu chín Bấy giờ Quỳ làm nhạc, tổ tiên giáng về, các vua chư hầu nhún lần, nhường, chim muông bay múa, khúc Tiêu Thiều phượng hoàng về chầu, trăm thú nhảy nhót, thăm quan thuận hòa.
太康崩，弟中康立，是为帝中康。	Thái Khang băng, em là Trung Khang lên ngôi, đây là Đế Trung Khang.
胤往征之，作胤征。	Nước Dận tới chinh phạt, làm bài Dận chinh.
陶唐既衰，其后有刘累， 学扰龙 于豢龙氏，以事孔甲。	Họ Đào Đường suy, hậu duệ có kẻ tên Lưu Lụy, học cách huấn luyện rồng họ Hoạn Long, phục vụ Khổng Giáp.
孔甲赐之姓曰御龙氏， 受豕韦之後。	Khổng Giáp ban cho hắn họ Ngự Long, nhận đất phong của hậu duệ họ Thí Vi.
汤修德，诸侯皆归汤，汤遂率兵以伐夏桀。	Thang sửa đức, chư hầu đều quy thuận Thang. Thang liền xuất quân thảo phạt Hạ Kiệt.
汤封夏之後， 至周封於杞 也。	Thang phong đất cho hậu duệ nhà Hạ, đến thời Chu, được phong nước Kỷ.
太史公曰：禹为姒姓，其後分封，用国为姓，故有夏后氏、有扈 氏、有男氏、斟寻氏、彤城 氏、襃氏、费氏、 杞氏、缯氏、辛 氏、冥氏、斟戈氏。	Hạ Kiệt tranh khắc đá thời Đông Hán Thái sử công bàn rằng: Vũ theo họ Tự, sau này phân phong, lấy tên nước làm họ, vậy nên có họ Hạ Hậu, họ Hữu Hỗ, họ Hữu Nam, họ Châm Tầm, họ Đồng Thành, họ Bao, họ Phí, họ Ký, họ Tăng, họ Tân, họ Minh, họ Châm Qua.
桀走鸣条， 遂放而死。	Kiệt chạy đến Minh Điều, rốt cuộc bị lưu đày mà chết.
孔子正夏时，学者多传夏小正云。	Khổng Tử đính chính lịch nhà Hạ, nên nhiều học giả truyền dạy Hạ Tiểu Chính.
