秦之先，帝颛顼之苗裔孙曰女脩。	Tổ tiên nhà Tần là Nữ Tu, hậu duệ của Để Chuyên Húc.
於是乃出兵东围陕城，西斩戎之獂王。	Thế rồi liền xuất quân về phía đông vây Thiểm thành, phía tây chém Hoàn vương của rợ Nhung.
二年，天子致胙。	Năm thứ hai, thiên tử gửi thịt cúng.
乃拜鞅为左庶长。	Đoạn bèn bái Ưởng làm Tả Thứ trưởng.
其事在商君语中。	Việc này chép trong Thương quân (liệt truyện).
八年，与魏战元 里，有功。	Năm thứ tám, cùng Ngụy giao chiến ở Nguyên Lý, lập công.
十二年，作为咸阳， 筑冀阙， 秦徙都之。	Năm thứ mười hai, xây thành Hàm Dương, dựng cửa khuyết, Tần dời đô tới đó.
并诸小乡聚， 集为大县，县一令， 四十一县。	Sáp nhập các làng nhỏ, hợp thành huyện lớn, mỗi huyện một huyện lệnh, có bốn mươi mốt huyện.
十四年，初为 赋。	Năm thứ mười bốn, bắt đầu quy định thuế phú.
十 九年，天子致伯。	Năm thứ mười chín, thiên tử phong làm bá chủ.
二 十年，诸侯毕贺。	Năm thứ hai mươi, chư hầu đều đến mừng.
秦使公子少官率师会诸侯逢泽， 朝天子。	Tần sai Công tử Thiếu Quan đem quân họp chư hầu ở Phùng Trạch, vào chầu thiên tử.
二十一年，齐败魏马陵。	Năm thứ hai mươi mốt, Tề đánh bại Ngụy ở Mã Lăng.
封鞅为列侯，号商君。	Phong Ưởng làm liệt hầu, gọi là Thương quân.
二十四年，与晋战雁门， 虏其将魏错。	Năm thứ hai mươi bốn, cùng Tấn giao chiến ở Nhạn Môn, bắt tướng Tấn là Ngụy Thố.
鞅曰：“法之不行，自於贵 戚。君必欲行法，先於太子。太子不可黥，黥其傅师。”	Ưởng nói: “Biến pháp không thi hành được, bởi từ quốc thích. Ngài muốn thi hành biến pháp, trước tiên phải từ thái tử. Thái tử không thể xăm chữ lên mặt thì xăm vào thầy của thái tử.”
於是法大 用，秦人治。	Thế rồi biến pháp được áp dụng rộng rãi, người Tần được trị yên.
二年，天子贺。	Năm thứ hai, thiên tử chúc mừng.
三年，王 冠。	Năm thứ ba, vương làm lễ gia quan.
四年，天子致文武胙。	Năm thứ tư, thiên tử gửi thịt tế Văn vương, Võ vương.
齐、 魏为王。	Tề, Ngụy xưng vương.
与魏王会应。	Hội kiến với Ngụy vương ở đất Ưng.
十年，张仪相 秦。	Năm thứ mười, Trương Nghi làm Tướng nước Tần.
更名少梁曰夏 阳。	Đổi tên Thiếu Lương thành Hạ Dương.
十二年，初腊。	Năm thứ mười hai, bắt đầu cử hành tế Lạp.
十三年四月戊午，魏君 为王，韩亦为王。	Ngày Mậu Ngọ, tháng Tư, năm thứ mười ba, vua Ngụy xưng vương, Hàn cũng xưng vương.
使张仪伐取陕，出其人与 魏。	Sai Trương Nghi đánh lấy đất Thiểm, trục xuất người Thiểm về Ngụy.
十四年，更为元年。	Năm thứ mười bốn, cải nguyên thành năm đầu.
五年，王游至北河。	Năm thứ năm, vương du ngoạn tới Bắc Hà.
伐取赵中都、西阳 十年，韩太子苍来质。	Đánh lấy Trung Đô, Tây Dương của Triệu. Năm thứ mười, thái tử Thương nước Hàn đến làm con tin.
伐取韩石章。	Đánh lấy Thạch Chương của Hàn.
伐败赵将 泥。 伐取义渠二十 五城。	Đánh bại tướng Nê của Triệu, chiếm lấy hai mươi lăm thành ở Nghĩa Cừ.
燕君让其臣子之。	Vua Yên nhường ngôi cho bề tôi là Tử Chi.
十二年，王与梁王会临晋。	Năm thứ mười hai, vương gặp Lương vương ở Lâm Tấn.
十四年，伐楚，取召陵。	Năm thứ mười bốn, đánh Sở, chiếm Triệu Lăng.
惠王卒，子武王立。	Huệ vương mất, Con là Võ vương lên ngôi.
伐义 渠、丹、犁。	Đánh các nước Nghĩa Cừ, Đan, Lê.
魏太子来朝。	Thái tử nước Ngụy đến chầu.
武王 有力好戏，力士任鄙、乌获、孟说皆至大官。	Võ vương có sức khỏe, thích chơi bời, các lực sĩ Nhâm Bỉ, Ô Hoạch, Mạnh Thuyết đều làm quan to.
王与孟说举鼎，绝膑。	Vương cùng Mạnh Thuyết nhấc đỉnh, để gãy chân.
八月，武王死。	Tháng Tám, Võ vương chết.
武王取魏女为后，无子。	Võ vương lấy con gái nước Ngụy làm hậu, không có con.
武王死时，昭襄王为质於燕，燕人送归，得立。	Khi Võ vương chết, Chiêu Tương vương làm con tin ở Yên, người Yên đưa về, được lên ngôi.
甘茂出之魏。	Cam Mậu rời đến Ngụy.
悼武王后出归魏。	Vương hậu của Điệu Võ vương bị trục xuất về Ngụy.
三年，王冠。	Năm thứ ba, vương làm lễ gia quan.
四年，取蒲阪。	Năm thứ tư, chiếm lấy Bồ Bản.
魏公子劲、韩公子长为诸侯。	Công Tử Kính nước Ngụy, Công Tử Trường nước Hàn được làm chư hầu.
奂攻楚，取 八城，杀其将景快。	(Thứ trưởng) Hoán đánh Sở, chiếm tám thành, giết tướng Sở là Cảnh Khoái.
十年，楚怀王入朝秦，秦留之。	Năm thứ mười, Sở Hoài vương tới chầu Tần, Tần giữ lại.
十一年，齐、 韩、魏、赵、宋、中山五国共攻秦， 至盐氏而还。	Năm thứ mười một, năm nước Tề, Hàn, Ngụy, Triệu, Tống và Trung Sơn cùng đánh Tần, đến huyện Diêm Thị thì về.
楚怀王走之赵，赵不受，还之秦，即死，归葬。	Sở Hoài vương chạy đến Triệu, Triệu không nhận, đành quay về Tần, khi chết được đưa về nước an táng.
十三年，向寿伐韩，取武始。	Năm thứ mười ba, tướng Hướng Thọ đánh Hàn, chiếm Võ Thủy.
秦以垣为蒲阪、皮 氏。	Tần đem Viên thành nhập vào Bồ Bản, Bì Thị.
王之宜阳。	Tần vương đến Nghi Dương.
十九年，王为西帝，齐为东帝，皆复去之。	Năm thứ mười chín, Tần xưng Tây đế, Tề xưng Đông đế, sau đều bỏ đi.
吕礼来自归。	Lã Lễ tự quay về.
二十年， 王之汉中，又之上郡、北河。	Năm thứ hai mươi, vương tới Hán Trung, lại tới Thượng Quận, Bắc Hà.
二十二年，蒙武伐齐。	Năm thứ hai mươi hai, Mông Võ đánh Tề.
与楚王会 宛。 与赵王会中阳。	Cùng Sở vương họp ở đất Uyển. Cùng Triệu vương họp ở Trung Dương.
二十四年，与楚王 会鄢， 又会穰。	Năm thứ hai mươi tư, cùng Sở vương họp ở đất Yên, rồi lại họp ở đất Nhương.
秦取魏安城， 至大梁，燕、赵救之， 秦军去。	Tần chiếm An thành của Ngụy, đánh tới Đại Lương, Yên và Triệu ứng cứu, quân Tần lui.
二十五年，拔赵二城。	Năm thứ hai mươi lăm, đánh hạ hai thành của Triệu.
周君来。	Vua Chu đến chầu.
王与楚王会襄 陵。	(Tần) vương cùng Sở vương họp ở Tương Lăng.
三十一年，白起伐魏，取两城。	Năm thứ ba mươi mốt, Bạch Khởi đánh Ngụy, chiếm hai thành.
三十五年，佐 韩、魏、楚伐燕。	Năm thứ ba mươi lăm, giúp Hàn, Ngụy, Sở đánh Yên.
四十年，悼太子死魏，归葬芷阳。	Năm thứ bốn mươi, Điệu thái tử chết ở Ngụy, đem về táng ở Chỉ Dương.
四十一年夏，攻魏，取邢丘、怀。	Năm thứ bốn mươi mốt, mùa hạ, đánh Ngụy, chiếm Hình Khưu và Hoài Ấp.
四十二年，安国君为太 子。	Năm thứ bốn mươi hai, An Quốc quân được lập làm thái tử.
九月，穰侯出之陶。	Tháng Chín, Nhương Hầu dời đến đất Đào.
四十四年，攻韩南，取之。	Năm thứ bốn mươi bốn, đánh chiếm Nam Dương của Hàn.
四 十五年，五大夫贲攻韩，取十 城。	Năm thứ bốn mươi lăm, Ngũ đại phu Bồn đánh Hàn, chiếm mười thành.
秦使武安君白起击，大破赵於长平，四十馀万尽杀之。	Tần sai Võ An quân Bạch Khởi tấn công, đại phá Triệu ở Trường Bình, hơn bốn mươi vạn quân đều bị giết.
武安君归。	Võ An quân về nước.
王龁将伐赵皮牢，拔之。	Vương Hột đem quân đánh chiếm Võ An, Bì Lao của Triệu.
陵战不善，免，王龁代将。	Lăng đánh không giỏi, bị bãi chức, Vương Hột làm tướng thay.
於是秦使将军摎攻西周。	Thế rồi Tần sai tướng quân Cưu đánh Tây Chu.
西周君走来 自归，顿首受罪，尽献其邑三十六城，口三万。	Vua Tây Chu tự chạy đến Tần, dập đầu nhận tội, dâng hết ba mươi sáu thành, ba vạn nhân khẩu trong ấp.
秦王受献，归其君於 周。	Tần vương nhận, trả vua về Chu.
五十三年，天下来宾。	Năm thứ năm mươi ba, thiên hạ tới quy thuận.
魏後，秦使摎伐魏，取吴城。	Ngụy đến sau cùng, Tần sai (tướng) Cựu đánh Ngụy, chiếm Ngô thành.
五十四年，王郊见上帝於雍。	Năm thứ năm mươi tư, vương tế thượng đế ở đàn Nam giao tại Ung thành.
尊唐八子为唐太后， 而合其葬於先王。	Con là Hiếu Văn vương lên ngôi, tôn Đường Bát Tử làm Đường thái hậu, hợp táng với tiên vương.
东周君与诸侯谋秦，秦使相国吕不韦诛之，尽入其国。	Vua Đông Chu cùng chư hầu bàn mưu phản Tần, Tần sai tướng quốc Lã Bất Vi đánh giết, sáp nhập toàn bộ nước Chu.
秦不绝其祀， 以阳人地赐周君，奉其祭祀。	Tần không dứt việc thờ cúng (của nhà Chu), đem đất Dương Nhân ban cho vua Chu, kính cẩn coi việc tế tự.
蒙骜败，解而去。	Mông Ngao thua, giải vây bỏ chạy.
秦王政立二十六年，初并天下为三十六郡，号为始皇帝。	Tần vương Chính lên ngôi hai mươi sáu năm, bắt đầu gộp thiên hạ thành ba mươi sáu quận, hiệu là Thủy Hoàng đế.
始皇帝五十一年而崩，子胡亥立，是为 二世皇帝。	Thủy Hoàng đế năm mươi mốt tuổi thì băng. Con là Hồ Hợi lên ngôi. Đây là Nhị Thế Hoàng đế.
三年，诸侯并起叛 秦，赵高杀二世，立子婴。	Năm thứ ba, chư hầu cùng nổi dậy phản Tần, Triệu Cao giết Nhị Thế, lập Tử Anh lên ngôi.
子婴立月馀，诸侯诛之，遂灭秦。	Tử Anh lên ngôi được hơn một tháng, bị chư hầu giết, rồi diệt nhà Tần.
太史公曰：秦之先为嬴姓。 其後分封，以国为姓，有徐氏、郯 氏、莒氏、终黎氏、 运奄氏、菟裘氏、将梁氏、黄氏、江氏、脩鱼 氏、白冥氏、蜚廉氏、秦氏。	Thái sử công bàn rằng: Tổ tiên của nhà Tần mang họ Doanh, về sau được phân phong, lấy nước làm họ, nên có họ Tư, họ Đàm, họ Cử, họ Chung Lê, họ Vận Yểm, họ Thố Cừu, họ Tương Lương, họ Hoàng, họ Giang, họ Tu Ngư, họ Bạch Minh, họ Phỉ Liêm, họ Tần.
然秦以其先造父封赵城，为赵氏。 柏翳佐舜，皁斿是旌。	Song Tần vì tổ tiên là Tạo Phụ được phong ở Triệu thành, nên mang họ Triệu. Xử Phụ: tên hiệu của Phỉ Liêm.
缪王 以赵城封造父， 造 父族由此为赵氏。	Mục vương đem đất Triệu Thành phong cho Tạo Phủ. Dòng tộc Tạo Phủ từ đó mang họ Triệu.
有非子居犬丘， 好马及畜，善养息之。	Phi Tử sống ở Khuyển Khưu, thích ngựa và súc vật, lại giỏi chăn nuôi.
犬丘 人言之周孝王，孝王召使主马于汧渭之间， 马大蕃息。	Người Khuyển Khưu kể với Chu Hiếu vương. Hiếu vương vời tới, sai chăn ngựa ở vùng sông Khiên, sông Vị, ngựa sinh sôi mạnh.
文公元年，居西垂宫。	Văn Công năm đầu, ở cung Tây Thủy.
初以人从死，从死者六十六人。	Lần đầu cho người chết theo, người chết theo có sáu mươi sáu người.
长子宣公立。	Con trưởng Tuyên công lên ngôi.
与晋战河阳，胜之。	Giao chiến với Tấn ở Hà Dương, đánh thắng.
子七人，莫立，立其弟缪公。	Sinh được bảy người con, không ai được lập. Em là Mục Công lên ngôi.
缪公任好元年，自将伐茅津， 胜之。	Mục Công Nhậm Hảo năm đầu, tự xuất quân đánh Mao Tân, đánh thắng.
缪公闻 百里傒贤，欲重赎之，恐楚人不与，乃使人谓楚曰：“吾媵臣百里傒 在焉，请以五羖羊皮赎之。” 。 楚人遂许与之。	Mục công nghe nói Bách Lý Hề là người giỏi, muốn dùng nhiều tiền để chuộc, nhưng e người sở không cho, bèn sai người tới nói với người Sở rằng: “Tên nô lệ hồi môn của tôi là Bách Lý Hề ở đây. Xin dùng năm tấm da dê đen chuộc lại” Người Sở liền bằng lòng trao trả.
固问，语三日， 缪公大说，授之国政，号曰五羖大夫。	Đoạn cố gắng hỏi, trò chuyện suốt ba ngày, Mục công cả mừng, trao chính sự quốc gia cho ông ta, gọi là Ngũ Cổ đại phu.
晋骊姬作乱，太子申生死新城， 重耳、夷吾出饹。	Ly Cơ nước Tấn làm loạn, thái tử Thân Sinh chết ở Tân thành. Trùng Nhĩ, Di Ngô chạy khỏi nước.
丕郑闻之，恐，因与缪公谋 曰：“晋人不欲夷吾，实欲重耳。今背秦约而杀里克，皆吕甥、郤芮 之计也。原君以利急召吕、郤，吕、郤至，则更入重耳便。”	Phi Trịnh nghe tin, lo sợ, nhân bàn với Mục Công rằng: “Người Tấn không muốn Di Ngô (làm vua), mà thực muốn Trùng Nhĩ. Nay (Di Ngô) bội ước với Tần, còn giết Lý Khắc, ấy đều là kế của Lã Sanh, Khước Nhuế vậy. Mong ngài dùng lợi để gấp triệu Lũ, Khước. Lã, Khước tới thì việc đưa Trùng Nhĩ về sẽ dễ dàng”.
初，缪公亡善马，岐下野人共得而食之者三百馀人， 吏逐 得，欲法之。	Ban đầu, Mục công để mất con ngựa tốt, hơn ba trăm thổ dân dưới núi Kỳ sơn cùng bắt được, giết ăn. Quan quân đuổi bắt, định xử theo luật.
缪公曰：“君子不以畜产害人。吾闻食善马肉不饮酒， 伤人。”	Mục Công nói: “Người quân tử không vì súc vật mà hại người. Ta nghe nói ăn thịt ngựa tốt mà không uống rượu, sẽ tổn thương người”.
二月，重耳立为晋君，是为文公。	Tháng Hai, Trùng Nhĩ lên làm vua Tấn. Đây là Văn công.
缪公乃罢兵归。	. Mục công bèn bãi binh trở về.
缪公问蹇叔、 百里傒，对曰：“径数国千里而袭人，希有得利者。且人卖郑，庸知 我国人不有以我情告郑者乎？不可。”	Mục công hỏi Kiển Thúc và Bách Lý Hề. Hai ông đáp rằng: “Đi cả ngàn dặm qua mấy nước để đánh úp người, hiếm có ai thắng lợi. Vả lại người ta bán đứng nước Trịnh, sao biết người nước ta không có kẻ đem tình hình ta nói với Trịnh? Không thể đánh được.”
行 日，百里傒、蹇叔二人哭之。	Đến ngày khởi hành, hai ông Bách Lý Hề và Kiển Thúc đều khóc.
太子襄公怒曰：“秦侮我孤，因丧破 我滑。”	Thái tử Tương công tức giận nói: “Tần khinh ta bồ côi, nhân khi tang tóc mà đánh phá ấp Hoạt của ta.”
文公夫人，秦女也，为 秦三囚将请曰：“缪公之怨此三人入於骨髓，原令此三人归，令我君 得自快烹之。”	Phu nhân của Văn Công là con gái nước Tần, xin hộ ba tên tù tướng nước Tần rằng: “Mục công oán hận ba tên này đến tận xương tủy, xin cho ba tên này về, cho vua Tần tự làm thịt chúng cho hả”.
遂复三人官秩如故，愈益厚之。	Đoạn phục chức cũ cho ba người, lại càng hậu đãi họ.
缪公怪之，问 曰：“中国以诗书礼乐法度为政，然尚时乱，今戎夷无此，何以为 治，不亦难乎？”	Mục công thấy lạ, liền hỏi: “Trung Nguyên lấy thi thư lễ nhạc pháp độ trị quốc, vậy mà có lúc vẫn loạn. Nay Nhung di không có những thứ đó, lấy gì mà trị, chẳng phải cũng khó khăn sao?”
由余笑曰：“此乃中国所以乱也。夫自上圣黄帝作 为礼乐法度，身以先之，仅以小治。及其後世，日以骄淫。阻法度之 威，以责督於下，下罢极则以仁义怨望於上，上下交争 怨而相篡弑，至於灭宗，皆以此类也。夫戎夷不然。上含淳德以遇其 下，下怀忠信以事其上，一国之政犹一身之治，不知所以治，此真圣 人之治也。”	. Do Dư cười nói: “Những thứ đó là duyên do khiến Trung Nguyên loạn vậy. Từ bậc thượng thánh Hoàng Đế chế tác lễ nhạc pháp độ, thân làm trước tiên, nhưng chỉ là trị việc nhỏ nhặt. Kịp đến đời sau, ngày càng kiêu sa dâm dật, cậy cái uy của pháp độ để cai trị hạ dân, hạ dân mệt mỏi cùng cực đâm ra oán hận bề trên bởi chính điều nhân nghĩa. Trên dưới tranh giành, oán hận sinh ra soán ngôi chém giết, đến nỗi diệt tộc. Đều bởi những thứ đó. Nhung di không như vậy. Bề trên đem cái đức thuần phác để đối đãi kẻ dưới, kẻ dưới mang lòng trung thành để phụng sự bề trên. Chính trị của một nước như sự tu chỉnh của một người. Không biết cách thức trị lý thế nào, nhưng đó thực là sự trị lý của thánh nhân vậy.”
於是缪公乃自茅津 渡河，封殽中尸， 为发丧，哭之三日。	Thế rồi Mục công bèn từ Mao Tân vượt Hoàng Hà, chôn cất xác quân ở Hào Sơn, đoạn phát tang, khóc lóc ba ngày.
晋赵盾欲立之，使随会 来迎雍，秦以兵送至令狐。	Triệu Thuẫn nước Tấn muốn đưa lên ngôi, sai Tùy Hội tới đất Ung đón. Tần đưa quân hộ tống tới Linh Hồ.
楚大夫申包胥来告急， 七日不食，日夜哭泣。	Đại phu nước Sở là Thân Bao Tư tới cấp báo, bảy ngày không ăn, ngày đêm khóc lóc.
吴师归，楚昭王乃得复入郢。	Quân Ngô quay về, Sở Chiêu vương lại được về Dĩnh đô.
五年，晋卿中行、范氏反晋，晋使智 氏、赵简子攻之，范、中行氏亡奔齐。	Năm thứ năm, quan Khanh của nước Tấn là họ Trung Hành, họ Phạm phản Tấn. Tấn sai họ Trí và Triệu Giản Tử đánh chúng. Họ Phạm, họ Trung Hành bỏ chạy sang Tề.
灵公卒，子献公 不得立，立灵公季父悼子，是为简公。	Linh công mất, con là Hiến công không được lên ngôi, lập chú của Linh công là Điệu Tử lên ngôi. Đây là (Tần) Giản công.
简公，昭子之弟而怀公子也。	Giản công là em của Chiêu Tử và là con của Hoài công vậy.
城重泉。	Xây thành Trung Tuyền.
五年，阴晋人犀首 为大良造。	Năm thứ năm, người Âm Tấn là Tê Thủ làm Đại lượng tạo.
公子通封於蜀。	Công tử Thông được phong ở Thục.
张仪死於魏。	Trương Nghi chết ở Ngụy.
其 秋，使甘茂、庶长封伐宜阳。	Mùa thu năm ấy, sai Cam Mậu, Thứ trưởng Phong đánh Nghi Dương.
庶长壮 与大臣、诸侯、公子为逆，皆诛，及惠文后皆不得良死。	Thứ trưởng Trang cùng đại thần, chư hầu, công tử làm phản, đều bị giết, lụy đến Huệ Văn hậu cũng không được chết yên.
五年，魏王来朝应亭， 复与魏蒲阪。	Năm thứ năm, Ngụy vương đến chầu ở Ứng Đình, trả lại Ngụy đất Bồ Bản.
日食，昼晦。	Nhật thực, ban ngày tối.
醿里子卒。	Sư Lý Tử mất.
赵破中 山，其君亡，竟死齐。	Triệu đánh phá nước Trung Sơn, vua nước ấy bỏ chạy, cuối cùng chết ở Tề.
秦与 韩、魏河北及封陵以和。	Tần trả cho Hàn, Ngụy phần đất từ Hoàng Hà trở về Bắc và Phong Lăng để cầu hòa.
王与魏王会宜阳，与韩王会新城。	(Tần) vương cùng Ngụy vương họp ở Nghi Dương, cùng Hàn vương họp ở Tân Thành.
十月，宣太后薨，葬芷阳郦山。	Tháng Mười, Tuyên thái hậu mất, táng ở núi Ly Sơn, Chỉ Dương.
攻赵榆次、新 城、狼孟， 取 三十七城。	Đánh Du Thứ, Tân Thành, Lang Mạnh của Triệu, chiếm ba mươi bảy thành.
公伯立三年，卒。	Công Bá ở ngôi ba năm thì mất.
庄公立四十四年，卒，太子襄公代立。	Trang công ở ngôi bốn mươi bốn năm thì chết. Thái tử Tương công lên thay.
周避犬戎难，东徙雒邑， 襄公以兵送周平 王。	Nhà Chu tránh nạn Khuyển Nhung, dời về đông tới Lạc Ấp. Tương công đem quân hộ tống Chu Bình vương.
襄公於是始 国，与诸侯通使聘享之礼，乃用緌驹、 黄牛、羝羊各三，祠上帝西畤。	Tương công bấy giờ mới lập nước, cùng các chư hầu thông sứ, dùng lễ thăm hỏi, tiếp đãi lẫn nhau. Tương công dùng ngựa Lưu câu, bò, dê, mỗi loại ba con, tế thượng đế ở đất Tây Trù.
三年，文公以兵七百人 东猎。	Năm thứ ba, Văn công đem bảy trăm quân đi săn ở phía đông.
十年，初为鄜畤， 用三牢。	Năm thứ mười, bắt đầu xây dựng Phu Chỉ (đàn tế ở huyện Phu), dùng cỗ Tam lao (để tế trời đất).
十九年，得陈宝。	Năm thứ mười chín, có được đá quý ở đất Trần Thương.
宁公二年，公徙居平阳。 遣兵伐荡社。	Ninh Công năm thứ hai, ông chuyển tới ở đất Bình Dương, đem quân đánh Đãng Xã.
三年，与亳战，亳王奔戎，遂灭荡社。	Năm thứ ba, giao chiến với nước Bạc. Bạc vương chạy vào đất Nhung, (Ninh công) liền diệt Đãng Xã.
四年，鲁公子翚 弑其君隐公。	Năm thứ tư, Công tử Huy nước Lỗ giết vua Ẩn công.
武公弟德公，同母鲁姬子。	Em Võ công là Đức công, cùng một mẹ.
宁公卒，大庶长弗忌、威垒、 三父废太子而立出子为君。	Ninh công mất, Đại thứ trưởng là Phát Kỵ, Uy Luy, Tam Phụ phế thái tử mà lập Xuất Tử làm vua.
出 子生五岁立，立六年卒。	Xuất Tử năm tuổi thì lên ngôi, ở ngôi sáu năm thì mất.
十三年，齐人管至父、连称等杀其君襄公而立公孙无知。	Năm thứ mười ba, bọn Quản Chí Phụ, Liên Xưng nước Tề giết vua là Tương công mà lập Công Tôn Vô Tri lên ngôi.
齐雍廪 杀无知、管至父等而 立齐桓公。	Ung Lẫm nước Tề giết Vô Tri và bọn Quản Chí Phụ, đưa Tề Hoàn công lên ngôi.
十九年，晋曲沃始为晋侯。	Năm thứ mười chín, Khúc Ốc nước Tấn được làm Tấn hầu.
齐桓公伯於鄄。	Tề Hoàn công xưng bá ở đất Quyên.
德公元年，初居雍城大郑宫。	Đức công năm đầu, bắt đầu đến ở cùng Đại Trịnh, Ung thành.
梁伯、芮伯来朝。	Lương Bá, Nhuế Bá đến chầu.
德公生三十三岁而立，立二年 卒。	Đức công ba mươi ba tuổi thì lên ngôi, ở ngôi hai năm thì mất.
三年，郑伯、虢叔 杀子穨而入惠王。	Năm thứ ba, Trịnh Bá, Quắc Thúc giết Tử Đồi, đón Huệ vương.
四年，作密畤。	Năm thứ tư, xây dựng Mật Chỉ.
成公元年，梁伯、 芮 伯来朝。	Thành công năm đầu, Lương Bá, Nhuế Bá đến chầu.
齐桓公伐山戎，次于孤竹。 。	Tề Hoàn công đánh Sơn Nhung, đóng quân ở Cô Trúc.
成公立四年卒。	Thành công ở ngôi bốn năm thì mất.
其岁，齐桓公伐楚，至邵陵。	Năm ấy, Tề Hoàn công đánh Sở, đến Thiệu Lăng.
五年，晋献公灭虞、虢，虏虞君与其大夫百里傒，以璧马赂於虞 故也。	Năm thứ năm, Tấn Hiến công diệt Ngu, Quắc, bắt vua Ngu và đại phu Bách Lý Hề, vì dùng ngọc bích và ngựa hối lộ nước Ngu nên mới được vậy.
九年，齐桓公会诸侯於葵丘。	Năm thứ chín, Tề Hoàn công họp chư hầu ở Quỳ Khưu.
荀息立卓子， 克又杀卓子及荀息。	Tuân Tức lập Trác Tử lên ngôi. Lý Khắc lại giết Trác Tử và Tuân Tức.
於是缪公许之，使百里傒将兵送夷吾。	Thế rồi Mục công bằng lòng, sai Bách Lý Hề đem quân hộ tống Di Ngô.
丕郑子丕豹奔秦，说缪公曰：“晋君无道，百姓不亲，可伐 也。”	Con Phi Trịnh là Phi Báo chạy đến Tần, thuyết phục Mục công: “Vua Tấn vô đạo, bá quan bất hòa, có thể đánh được vậy?”
不 听，而阴用豹。 十二年，齐管仲、隰朋死。	(Mục công) không nghe nhưng lại ngầm trọng dụng Phi Báo, Năm thứ mười hai, Quản Trọng và Thấp Bằng nước Tề chết.
丕豹说缪公勿与，因其饥而伐之。	Phi Báo thuyết phục Mục công không cho, phải nhân nạn đói mà đánh Tấn.
缪公问公孙 支，支曰：“饥穰更事耳，不可不 与。” 问百里傒，傒曰：“夷吾得罪於君，其百姓何罪？”	Mục Công hỏi Công Tôn Chi, Chi nói: “Đói kém, được mùa là những việc thay nhau diễn ra. Không thể không cho”; hỏi Bách Lý Hề, Hề nói: “Di Ngô đắc tội với ngài chứ trăm họ thì tội tình gì?”
於是用百 里傒、公孙支言，卒与之粟。 以船漕车转，自雍相望至绛。	. Thế rồi (Mục công) nghe lời Bách Lý Hề, Công Tôn Chi, cuối cùng cho thóc, dùng thuyền chở xe đưa, từ đất Ung thẳng tới đất Giáng.
缪公发兵，使丕豹将，自往击之。	Mục công phát quân, sai Phi Báo làm tướng, đích thân tới đánh.
晋君弃其军，与秦争利，还而马■。， 缪 公与麾下驰追之，不能得晋君，反为晋军所围。	Vua Tấn bỏ quân đội, cho quân Tần tranh cướp tài vật, nhưng ngựa bị sa lầy, cứ vòng quanh không thoát ra được. Mục Công cùng bộ hạ đuổi theo, nhưng không bắt được vua Tấn, trái lại bị quân Tấn bao vây.
晋击缪公，缪公伤。	Quân Tấn đánh Mục Công, Mục Công bị thương.
於是岐下食善马者三百人驰冒晋军，晋军解围，遂脱缪公而反生得晋 君。	Lúc đó ba trăm người từng ăn thịt ngựa tốt dưới núi Kỳ Sơn ruổi ngựa xông vào quân Tấn. Quân Tấn bỏ vây, nên khiến Mục công thoát hiểm, lại còn bắt sống vua Tấn.
乃皆赐酒而赦之。 三百人者闻秦击晋，皆求从，从而见缪公 窘，亦皆推锋争死，以报食马之德。	Đoạn ban rượu mà tha cho, Ba trăm người nghe tin Tần đánh Tấn, đều xin theo. Họ đi theo, thấy Mục công bị vây khốn, ai nấy đều xung phong cảm tử, để đền ơn tha tội ăn thịt ngựa vậy.
乃与晋君盟，许归之，更舍上舍，而馈之七牢。	Đoạn cùng vua Tấn thề ước, cho trở về, đổi sang ở khách quan thượng hạng, cho dùng cỗ Thất lao.
十八年，齐桓公卒。	Năm thứ mười tám, Tề Hoàn công mất.
二十三年，晋惠公卒，子圉立为 君。	Năm thứ hai mươi ba, Tấn Huệ công mất. Tử Ngữ được lập làm vua.
秦缪公将兵助晋文公入襄王，杀王弟 带。	Tần Mục công đem quân giúp Tấn Văn công đưa Tương vương trở về, giết Đái, em vua.
二十八年，晋文公败楚於城濮。	Năm thứ hai mươi tám, Tấn Văn công đánh bại Sở Thành Bộc.
三十年， 缪公助晋文公围郑。	Năm thứ ba mươi, Mục công giúp Tấn Văn công vây Trịnh.
三 十二年冬，晋文公卒。	Năm thứ ba mươi hai, Tấn Văn công mất.
遂发兵，使百里傒子孟明视，蹇叔子西乞术及白乙丙将兵。	Đoạn bèn phát quân, sai con Bách Lý Hề là Mạnh Minh Thị, con Kiển Thúc là Tây Khất Thuật và Bạch Ất Bính cầm quân.
缪公闻，怒曰：“孤发兵而子沮哭吾 军，何也？”	Mục Công nghe thấy, tức giận nói: “Ta xuất quân mà các ngươi lại khóc lóc, ngăn trở quân ta là sao?”
三十三年春，秦兵遂东，更晋 地，过周北门。	Mùa xuân năm thứ ba mươi ba, quân Tần đi về đông, vượt đất Tần, qua cửa bắc nước Chu.
