范雎者，魏人也，字叔。	Phạm Thư Phạm Thư người nước Ngụy, tự là Thúc.
秦封范雎以应， 号为应侯。	Tần phân phong cho Phạm Thư đất Ứng, hiệu là ứng hầu.
当 是时，秦昭王四十一年也。	Bấy giờ là năm Tần Chiêu vương thứ bốn mươi mốt.
范雎既相秦，秦号曰张禄，而魏不知，以为范雎已死久矣。	Phạm Thư đã làm Tể tướng nước Tần, người Tần gọi là Trương Lộc, trong khi đó nước Ngụy không biết, cho Phạm Thư đã chết từ lâu.
魏闻 秦且东伐韩、魏，魏使须贾於秦。	Ngụy nghe tin Tần sắp sang đông đánh Hàn và Ngụy, bèn sai sứ giả Tu Giả sang Tần.
范雎闻之，为微行，敝衣间步之 邸，见须贾。	Phạm Thư nghe tin, ngầm ra ngoài, mặc quần áo rách rưới đến nhà khách gặp Tu Giả.
须贾见之而惊曰：“范叔固无恙 乎！”	Tu Giả thấy Phạm Thư thì rất đỗi kinh ngạc, nói: “Phạm thúc không sao ư?”
范雎曰：“然。”	Phạm Thư đáp: “Vâng.”
须贾笑曰：“范叔有说於秦邪？”	Tu Giả cười nói: “Phạm thúc du thuyết Tần chăng?”
曰：“不 也。雎前日得过於魏相，故亡逃至此，安敢说乎！”	Đáp: “Không. Thư trước đây đắc tội với Tể tướng nước Ngụy, nên trốn đến đây, sao còn dám du thuyết nữa!”
须贾曰：“今叔 何事？”	Tu Giả nói: “Nay thúc làm gì?”
范雎曰“臣为人庸赁。”	Phạm Thư đáp: “Tôi làm thuê cho người ta.”
须贾意哀之，留与坐饮食， 曰：“范叔一寒如此哉！”	Tu Giả có ý thương xót, giữ lại cùng ngồi ăn uống, nói: “Phạm thúc cơ hàn đến thế này sao?”
须贾因问曰：“秦相张君，公知 之乎？吾闻幸於王，天下之事皆决於相君。今吾事之去留在张君。孺 子岂有客习於相君者哉？”	Tu Giả nhân đó hỏi: “Tể tướng nước Tần là Trương quân, ông biết không? Tôi nghe ông ta được Tần vương tin yêu, việc thiên hạ đều do Tể tướng quyết định. Nay việc của tôi thành hay bại đều ở Trương quân. Tiểu tử ngươi biết ai quen Tể tướng không?”
范雎 曰：“主人翁习知之。唯雎亦得谒，雎请为见君於张君。”	Phạm Thư đáp: “Ông chủ tôi quen Tể tướng. Thư từng được bái kiến, Thư xin giúp ngài yết kiến Trương quân.”
须贾 曰：“吾马病，车轴折，非大车驷马，吾固不出。”	Tu Giả nói: “Ngựa ta bị ốm, xe lại gãy trục, không có xe bốn ngựa lớn, ta không đi được.”
范雎曰：“原为 君借大车驷马於主人翁。”	Phạm Thư nói: “Xin hỏi mượn chủ tôi cỗ xe bốn ngựa lớn cho ngài.”
范雎归取大车驷马，为须贾御之，入秦相府。	Phạm Thư về lấy xe lớn bốn ngựa kéo, đánh xe cho Tu Giả vào phủ Tể tướng nước Tần.
府中望见，有识者 皆避匿。	Người trong phủ trông thấy, ai biết đều trốn tránh.
须贾怪之。	Tu Giả lấy làm lạ.
至相舍门，谓须贾曰：“待我，我为君先入通於 相君。”	Đến chỗ của Tể tướng Phạm Thư bảo Tu Giả: “Đợi tôi, tôi vào báo trước với Tể tướng cho ông.”
须贾待门下，持车良久，问门下曰：“范叔不出，何 也？”	Tu Giả chờ dưới cửa, giữ xe hồi lâu, liền hỏi môn hạ: “Sao Phạm thúc không ra?”
门下曰：“无范叔。”	Môn hạ đáp: “Không có ai là Phạm thúc.”
须贾曰：“乡者与我载而入者。”	Tu Giả nói: “Người hồi nãy vào cùng tôi đó.”
门下 曰：“乃吾相张君也。”	Môn hạ đáp: “Đó là Tể tướng Trương quân của tôi đấy.”
须贾大惊，自知见卖，乃肉袒■行，因门下 人谢罪。	Tu Giả kinh hoàng, biết mình bị lừa, bèn cởi trần, đi bằng gối, nhờ môn hạ cho vào tạ tội với Phạm Thư.
於是范雎盛帷帐，待者甚众，见之。	Bấy giờ Phạm Thư giương đủ màn trướng, người hầu đông đúc, để gặp Tu Giả.
须贾顿首言死罪， 曰：“贾不意君能自致於青云之上，贾不敢复读天下之书，不敢复与 天下之事。贾有汤镬之罪，请自屏於胡貉之地，唯君死生之！”	Tu Giả dập đầu nói mình tội chết, rằng: “Giả không ngờ ngài có thể tự mình lên đến mây xanh, Giả không dám đọc sách thiên hạ, không dám dự việc thiên hạ nữa. Giả có tội đáng ném vào vạc dầu, xin ngài đuổi ra nơi man dã, sống chết mặc ý ngài định đoạt.”
范雎 曰：“汝罪有几？”	Phạm Thư nói: “Ngươi có bao nhiêu tội?”
曰：“擢贾之发以续贾之罪，尚未足。”	Đáp: “Nhổ hết tóc trên đầu không kể hết tội của Giả.”
范雎 曰：“汝罪有三耳。昔者楚昭王时而申包胥为楚卻吴军，楚王封之以 荆五千户，包胥辞不受，为丘墓之寄於荆也。今雎之先人丘墓亦在 魏，公前以雎为有外心於齐而恶雎於魏齐，公之罪一也。当魏齐辱我 於厕中，公不止，罪二也。更醉而溺我，公其何忍乎？罪三矣。然公 之所以得无死者，以綈袍恋恋，有故人之意，故释公。”	Phạm Thư nói: “Ngươi có ba tội thôi. Xưa, thời Sở Chiêu vương, Thân Bao Tư vì Sở đẩy lui quân Ngô, Sở vương phong năm nghìn hộ ở đất Kinh, Bao Tư từ chối không nhận, vì mộ tổ tiên ở cả đất Kinh vậy. Nay mộ tổ tiên Thư ở Ngụy, trước ngươi cho Thư có ý riêng với Tề, gièm Thư với Ngụy Tề, đó là một tội. Lúc Ngụy Tề làm nhục ta ở nhà xí, ngươi không ngăn, đó là tội thứ hai. Còn uống rượu say, tiểu tiện vào ta, sao người nhẫn tâm thế? Đó là tội thứ ba. Nhưng ngươi sở dĩ được tha chết vì đã tặng ta chiếc áo bào thêu, có ý quyến luyến người cũ, nên tha cho ngươi đấy.”
入 言之昭王，罢归须贾。	Phạm Thư vào cung nói với Chiêu vương, cho Tu Giả về.
须贾辞於范雎，范雎大供具，尽请诸侯使，与坐堂上，食饮甚 设。	Tu Giả từ biệt Phạm Thư, Phạm Thư mở tiệc lớn, mời toàn bộ sứ giả các chư hầu, cùng ngồi trên nhà, ăn uống linh đình.
数 曰：“为我告魏王，急持魏齐头来！不然者，我且屠大梁。”	Phạm Thư mắng: “Báo với Ngụy vương, mau mang đầu Ngụy Tề đến! Nếu không, ta sẽ làm cỏ thành Đại Lương.”
须贾 归，以告魏齐。	Tu Giả trở về báo với Ngụy Tề.
魏齐恐，亡走赵。 匿平原君所。	Ngụy Tề sợ, trốn sang Triệu, náu ở chỗ Bình Nguyên quân.
范雎既相，王稽谓范雎曰：“事有不可知者三，有不柰何者亦 三。宫车一日晏驾， 是事 之不可知者一也。君卒然捐馆舍，是事之不可知者二也。使臣卒然填 沟壑，是事之不可知者三也。宫车一日晏驾，君虽恨於臣，无可柰 何。君卒然捐馆舍，君虽恨於臣，亦无可柰何。使臣卒然填沟壑，君 虽恨於臣，亦无可柰何。”	Phạm Thư đã làm Tể tướng, Vương Kê nói với Phạm Thư: “Việc có ba điều không thể biết, cũng có ba điều chẳng biết làm sao. Xe cung một sớm ra muộn, là điều không thể biết thứ nhất. Ngài bỗng bỏ khách quán ra đi, là điều không thể biết thứ hai. Giá như tôi đột nhiên bị vứt ra ngòi rãnh, là điều không thể biết thứ ba. Xe cung một sớm ra muộn, ngài tuy giận tôi cũng chẳng biết làm sao. Ngài bỗng bỏ khách quán ra đi, ngài tuy giận tôi cũng chẳng biết làm sao. Giả như tôi đột nhiên bị vứt ra ngòi rãnh, ngài tuy giận tôi cũng chẳng biết làm sao.”
范雎不怿，乃入言於王曰：“非王稽之 忠，莫能内臣於函谷关；非大王之贤圣，莫能贵臣。今臣官至於相， 爵在列侯，王稽之官尚止於谒者，非其内臣之意也。”	Phạm Thư không vui, liền vào cung nói với Tần vương: “Không có lòng trung của Vương Kê, không ai đưa thần qua cửa Hàm Cốc được; không có bậc hiền như đại vương, chẳng ai cho thần hiển quý nổi. Nay thần làm quan đến Tể tướng, tước hầu, Vương Kê lại chỉ làm đến yết giả, đó không phải ý ông ta khi đưa thần sang nước Tần vậy.”
昭王召王稽， 拜为河东守，三岁不上计。	Chiêu vương triệu Vương Kế đến, phong làm Quận thú Hà Đông, ba năm không báo chính sự lên triều đình.
又任郑安平，昭王以为将军。	Lại giao Trịnh An Bình trị nhậm, Chiêu vương phong Trịnh An Bình làm tướng quân.
范雎相秦二年，秦昭王之四十二年，东伐韩少曲、 高平，拔之。	Phạm Thư làm Tể tướng nước Tần được hai năm, Tần Chiêu vương năm thứ bốn mươi hai, Tần tiến quân sang phía đông hạ Thiếu Khúc và Cao Bình của Hàn.
秦昭王闻魏齐在平原君所，欲为范雎必报其仇，乃详为好书遗平 原君曰；“寡人闻君之高义，原与君为布衣之友，君幸过寡人，寡人 原与君为十日之饮。”	Tần Chiêu vương nghe nói Ngụy Tề ở chỗ Bình Nguyên quân, muốn báo thù cho Phạm Thư, bèn vờ hữu hảo, gửi thư cho Bình Nguyên quân: “Quả nhân nghe ngài vốn cao nghĩa, xin kết làm bạn áo vải, may mắn ngài đến, quả nhân xin cùng uống rượu mười ngày.”
平原君畏秦，且以为然，而入秦见昭王。	Bình Nguyên quân sợ Tần, và cho thế là phải, bèn sang Tần gặp Chiêu vương.
昭王 与平原君饮数日，昭王谓平原君曰：“昔周文王得吕尚以为太公，齐 桓公得管夷吾以为仲父，今范君亦寡人之叔父也。范君之仇在君之 家，原使人归取其头来；不然，吾不出君於关。”	Chiêu vương cùng Bình Nguyên quân uống rượu mấy hôm, Chiêu vương nói với Bình Nguyên quân: “Xưa, Chu Văn vương được Lã Thượng, tôn làm Thái công, Tề Hoàn công được Quản Di Ngô, phong làm Trọng phụ, nay Phạm quân cũng là hàng thúc phụ của quả nhân. Kẻ thù của Phạm quân đang ở nhà ngài, xin sai người về lấy đầu hắn đến; nếu không, ta không cho ngài ra khỏi cửa quan.”
平原君曰：“贵而 为交者，为贱也；富而为交者，为贫也。 夫魏 齐者，胜之友也，在，固不出也，今又不在臣所。”	Bình Nguyên quân nói: “Người sang kết giao vì không quên lúc hèn, giàu mà kết giao vì không quên lúc nghèo. Xét lẽ, Ngụy Tề là bạn của Thắng, có trong nhà, chắc chắn không thể nộp ra, huống nay không ở chỗ thần.”
昭王乃遗赵王书 曰：“王之弟在秦，范君之仇魏齐在平原君之家。王使人疾持其头 来；不然，吾举兵而伐赵，又不出王之弟於关。”	Chiêu vương liền gửi thư cho Triệu vương, thư viết: “Em trai nhà vua đang ở Tần, kẻ thù của Phạm quân là Ngụy Tề hiện ở nhà Bình Nguyên quân. Nhà vua hãy sai người mang đầu hắn đến đây, nếu không, ta cất quân đánh Triệu, cũng không cho em ngài ra khỏi quan ải.”
赵孝成王乃发卒围 平原君家，急，魏齐夜亡出，见赵相虞卿。	Triệu Hiếu Thành vương bèn phát binh bao vây nhà Bình Nguyên quân, nguy cấp, ban đêm Ngụy Tề trốn đi, gặp Tể tướng nước Triệu là Ngu khanh.
虞卿度赵王终不可说，乃 解其相印，与魏齐亡，间行，念诸侯莫可以急抵者，乃复走大梁，欲 因信陵君以走楚。	Ngu khanh đoán chắc không thể thuyết phục Triệu vương, bèn bỏ ẩn tướng, cùng Ngụy Tề bỏ trốn, theo đường nhỏ, muốn đến chư hầu nhưng không đến ngay được nước nào, bèn trở lại trốn ở Đại Lương, muốn nhờ Tín Lăng quân để chạy sang Sở.
信陵君闻之，畏秦，犹豫未肯见，曰：“虞卿何如 人也？”	Tín Lăng quân biết chuyện, sợ Tần, chần chừ chưa chịu gặp, hỏi: “Ngu khanh là người thế nào?”
时侯嬴在旁，曰：“人固未易知，知人亦未易也。夫虞卿蹑 屩檐簦，一见赵王，赐白璧一双，黄金百镒；再见，拜为上卿；三 见，卒受相印，封万户侯。当此之时，天下争知之。夫魏齐穷困过虞 卿，虞卿不敢重爵禄之尊，解相印，捐万户侯而间行。急士之穷而归 公子，公子曰‘何如人’。人固不易知，知人亦未易也！”	Bấy giờ Hầu Doanh ở bên, nói: “Con người vốn không dễ biết, biết người cũng không phải dễ. Xét lẽ, Ngu khanh mang guốc mộc áo tơi, cầu kiến Triệu vương lần thứ nhất, được ban một đôi ngọc bích trắng, trăm dật vàng; cầu kiến lần thứ hai, được bái làm thượng khanh; cầu kiến lần thứ ba, cuối cùng được nhận ấn tượng, phong hầu vạn hộ. Lúc bấy giờ, thiên hạ tranh biết ông ta. Xét lẽ, Ngụy Tề cùng khốn mới qua chỗ Ngu khanh, Ngu khanh không dám trọng tước lộc cao quý, bỏ lại ấn tướng cùng tước hầu vạn hộ lén trốn đi. Kẻ sĩ nguy cấp khốn cùng về với công tử, công tử hỏi là người thế nào? Con người vốn không dễ biết, biết người cũng không phải dễ!”
魏齐闻信陵君之初难见之，怒而自刭。	Ngụy Tề nghe ban đầu Tín Lăng quân cho việc tiếp kiến khó khăn, nổi giận cắt cổ tự tử.
赵王闻之， 卒取其头予秦。	Triệu vương hay tin, bèn lấy đầu Ngụy Tề mang sang cho Tần.
秦昭王乃出平原君归赵。	Tần Chiêu vương bèn thả Bình Nguyên quân về Triệu.
昭王四十三年，秦攻韩汾陉， 拔之，因城河 上广武。	Chiêu vương năm thứ bốn mươi ba, Tần đánh hạ được Phần Hình của Hàn, nhân đó đắp thành ở Quảng Vũ, phía trên sông Hà.
秦大破赵於长平，遂围邯郸。	Tần cả phá Triệu ở Trường Bình, bèn vây Hàm Đan.
已而与 武安君白起有隙，言而杀之。 任郑安平，使击赵。	Sau, ứng hầu có hiềm khích với Vũ An quân Bạch Khởi, nói Tần vương giết Bạch Khởi, tiến cử Trịnh An Bình, sai cầm quân đánh Triệu.
郑安平为赵所 围，急，以兵二万人降赵。	Trịnh An Bình bị Triệu bao vây, nguy cấp, đem hai vạn quân đầu hàng Triệu.
秦之法，任人而所任不善 者，各以其罪罪之。	Theo pháp luật nước Tần, tiến cử người mà người đó phạm tội, cả hai cùng tội như nhau.
於是应侯罪当收三族。	Như vậy, tội của ứng hầu đáng giết ba họ.
秦昭王恐伤应侯之意，乃 下令国中：“有敢言郑安平事者，以其罪罪之。”	Tần Chiêu vương có ý sợ làm tổn thương Ứng hầu, bèn hạ lệnh trong nước: “Ai dám nói việc của Trịnh An Bình, xử chung tội với Trịnh An Bình.”
而加赐相国应侯食 物日益厚，以顺適其意。	Lại tặng thêm cho Tướng quốc Ứng hầu đồ ăn ngày càng hậu để Ứng hầu yên lòng.
後二岁，王稽为河东守，与诸侯通，坐法 诛。 而应侯日益以不怿。	Hai năm sau, Vương Kê làm Thái thú Hà Đông, thông mưu với chư hầu, bị chém đầu theo luật, còn Ứng hầu ngày càng không vui.
昭王临朝叹息，应侯进曰：“臣闻‘主忧臣辱，主辱臣死’。今 大王中朝而忧，臣敢请其罪。”	Chiêu vương lâm triều than thở, Ứng hầu bước lên, nói: “Thần nghe 'chúa lo bề tôi chịu nhục, chúa nhục bề tôi chịu chết.' Nay đại vương thiết triều mà lo lắng thế, thần xin chịu tội.”
昭王曰：“吾闻楚之铁剑利而倡优 拙。夫铁剑利则士勇，倡优拙则思虑远。夫以 远思虑而御勇士，吾恐楚之图秦也。夫物不素具，不可以应卒，今武 安君既死，而郑安平等畔，内无良将而外多敌国，吾是以忧。”	Chiêu vương nói: “Ta nghe nói kiếm sắt nước Sở sắc bén, ca hát múa lại kém. Xét lẽ, kiếm sắt sắc thì binh sĩ dũng cảm, ca hát múa kém thì nghĩ ngợi sâu xa. Lấy suy nghĩ sâu xa để chế ngự binh sĩ dũng cảm, ta e Sở sẽ tính mưu đánh Tần. Việc gì không chuẩn bị đầy đủ, không thể ứng phó khi bất ngờ, nay Vũ An quân đã chết, còn bọn Trịnh An Bình phản bội, trong nước không có tướng giỏi, bên ngoài nhiều nước địch mạnh, vì thế ta lo lắng.”
欲以 激励应侯。	Chiêu vương muốn khích lệ Ứng hầu.
应侯惧，不知所出。	Ứng hầu sợ, không nghĩ được kế sách gì.
蔡泽闻之，往入秦也。	Sái Trạch biết chuyện nên sang Tần.
蔡泽者，燕人也。 游学干诸侯小大甚众，不 遇。 而从唐举相， 曰：“吾闻先生相李兑，曰‘百日之内持国秉’，有之乎？”	Sái Trạch Sái Trạch người nước Yên, du học cầu quan ở các chư hầu lớn nhỏ, đều không được dùng, đến chỗ người xem tướng là Đường Cử, hỏi: “Tôi nghe tiên sinh xem tướng cho Lý Đoài, nói: 'Trong vòng trăm ngày, nắm quyền quốc gia,' có chuyện ấy không?”
曰：“有 之。”	Đáp: “Có chuyện đó.”
曰：“若臣者何如？”	Hỏi: “Như tôi thì sao?”
唐举孰视而笑曰：“先生曷鼻，巨肩， 魋 颜，蹙齃， 膝挛。 吾闻圣人不相，殆先生乎？”	Đường Cử nhìn kỹ cười bảo: “Tiên sinh mũi hếch, vai to, mặt thô, sống mũi tẹt, gối cong. Tôi nghe thánh nhân không dựa vào tướng mạo, có lẽ tiên sinh cũng thế chăng?”
蔡泽知唐举戏之，乃 曰：“富贵吾所自有，吾所不知者寿也，原闻之。”	Sái Trạch biết Đường Cử đùa mình, bèn nói: “Giàu sang tôi tự có, điều tôi không biết là tuổi thọ thôi, xin được nghe điều ấy.”
唐举曰：“先生 之寿，从今以往者四十三岁。”	Đường Cử nói: “Tuổi thọ của tiên sinh, từ nay đến lúc đó là bốn mươi ba năm.”
蔡泽笑谢而去，谓其御者曰：“吾持 粱刺齿肥， 跃马疾驱，怀黄金之印，结紫绶於要，揖让人主之前，食 肉富贵，四十三年足矣。”	Sái Trạch cười, cảm tạ rồi đi, nói với người đánh xe: “Ta ăn gạo ngon thịt béo, ruổi ngựa chạy nhanh, luôn mang ấn vàng, thắt lưng kết dây thao tía, với chào trước mặt nhà vua, ăn thịt, giàu sang, bốn mươi ba năm đủ rồi.”
去之赵，见逐。 之 韩、魏，遇夺釜鬲 於涂。	Sái Trạch sang Triệu, bị đuổi; vào Hàn và Ngụy, trên đường bị cướp cả nồi lẫn chảo.
闻应侯任郑安平、王稽皆负重罪 於秦，应侯内惭，蔡泽乃西入秦。	Nghe nói Ứng hầu tiến cử Trịnh An Bình và Vương Kê, đều bị trọng tội ở Tần, Ứng hầu thầm hổ thẹn, Sái Trạch liền sang Tần.
将见昭王，使人宣言以感怒应侯曰：“燕客蔡泽，天下雄俊弘辩 智士也。彼一见秦王，秦王必困君而夺君之位。”	Trước khi yết kiến Chiêu vương, Sái Trạch sai người rêu rao chọc giận Ứng hầu: “Khách Yên là Sái Trạch, là kẻ sĩ trí tuệ, hùng tài tuấn kiệt, biện luận giỏi giang trong thiên hạ. Người này vừa gặp Tần vương, Tần vương ắt làm khó ngài, rồi chiếm địa vị của ngài.”
应侯闻，曰：“五 帝三代之事，百家之说，吾既知之，众口之辩，吾皆摧之，是恶能困 我而夺我位乎？”	Ứng hầu nghe vậy, nói: “Việc thời Ngũ đế, Tam đại, thuyết của bách gia, ta đã biết cả, số đông biện bác, ta đều bẻ gãy, hắn sao có thể làm khó rồi cướp địa vị của ta được?”
应侯固不快，及见 之，又倨，应侯因让之曰：“子尝宣言欲代我相秦，宁有之乎？”	Ứng hầu vốn không vui, nay gặp mặt, lại thấy ngông nghênh, bèn trách rằng: “Ông từng rêu rao muốn thay ta làm Tể tướng nước Tần, phải thế không?”
对 曰：“然。”	Đáp: “Phải.”
应侯曰：“请闻其说。”	Ứng hầu nói: “Xin được nghe ông nói.”
蔡泽曰：“吁，君何见之晚 也！夫四时之序，成功者去。夫人生百体坚彊，手足便利，耳目聪明 而心圣智，岂非士之原与？”	Sái Trạch nói: “Ôi, sao ngài biết muộn thế! Trật tự của bốn mùa, đã thành công sẽ phải lui. Người ta thân thể cường tráng, tay chân lanh lẹ, tai mắt thông suốt, tâm sáng trí thánh, há không phải ý nguyện kẻ sĩ sao?”
应侯曰：“然。”	Ứng hầu đáp: “Phải.”
蔡泽曰：“质仁秉 义，行道施德，得志於天下，天下怀乐敬爱而尊慕之，皆原以为君 王，岂不辩智之期与？”	Sái Trạch nói: “Coi trọng điều nhân, nắm lấy điều nghĩa, làm theo đạo lý, thi hành ân đức, đắc chí trong thiên hạ, thiên hạ tưởng nhớ, vui vẻ, cung kính, yêu mến, sùng mộ, đều một lòng tôn làm vua, há không phải kỳ vọng của kẻ trí giỏi biện luận ư?”
蔡泽曰：“若夫秦之商君，楚之吴起，越之大夫种，其卒然亦可 原与？”	Sái Trạch nói: “Như Tần đối với Thượng quân, Sở đối với Ngô Khởi, Việt đối với đại phu Văn Chủng, kết cục của họ là điều mong muốn chăng?”
应侯知蔡泽之欲困己以说，复谬曰：“何为不 可？夫公孙鞅之事孝公也，极身无贰虑，尽公而不顾私；设刀锯以禁 奸邪，信赏罚以致治；披腹心，示情素，蒙怨咎，欺旧友，夺魏公子 卬，安秦社稷，利百姓，卒为秦禽将破敌，攘地千里。吴起之事悼王 也，使私不得害公，谗不得蔽忠，言不取苟合，行不取苟容，不为危 易行，行义不辟难，然为霸主强 国，不辞祸凶。大夫种之事越王也，主虽困辱，悉忠而不解，主虽绝 亡，尽能而弗离，成功而弗矜，贵富而不骄怠。若此三子者，固义之 至也，忠之节也。是故君子以义死难，视死如归；生而辱不如死而 荣。士固有杀身以成名，虽义之所在，虽死无所恨。何为不可 哉？”	Ứng hầu biết Sái Trạch muốn nói để làm khó mình, bèn phản bác: “Sao lại không thể? Công Tôn Ưởng thờ Tần Hiếu công, hiến hết tài năng không nghĩ gì khác, hết lòng vì việc chung không đoái tới chuyện riêng; dùng dao, cưa để cấm gian tà, thưởng phạt phân minh để được thái bình; phơi bày gan ruột, bộc lộ lòng thành, chịu oán hận, lừa bạn cũ, bắt công tử Ngang nước Ngụy, yên định xã tắc nước Tần, làm lợi trăm họ, tất cả vì Tần bắt tướng phá địch, mở đất nghìn dặm. Ngô Khởi thờ Sở Điệu vương, khiến việc riêng không hại việc công, lời gièm không che mất lòng trung, phát ngôn không theo lời a dua, việc làm không chấp nhận tùy tiện, không vì nguy nan mà làm bừa, làm theo nghĩa không khỏi khó khăn, khiến chúa xưng bá, nước hùng cường mà không tránh khỏi tai họa. Đại phu Văn Chủng thờ Việt vương, chủ tuy khốn cùng nhục nhã, vẫn trọn lòng trung không thôi, chủ tuy nguy vong vẫn dốc hết khả năng không từ bỏ, thành công mà không tự đại, sang giàu mà không trễ nải kiêu căng. Như ba người ấy, nhân nghĩa tột bực, tiết tháo trung thành. Cho nên quân tử vì nghĩa mà chết, xem chết như về; sống nhục không bằng thác vinh. Kẻ sĩ vốn có thể chịu chết để thành danh, chỉ cốt giữ đạo nghĩa, chết cũng không ân hận. Sao cho là không thể?”
蔡泽曰：“主圣臣贤，天下之盛福也；君明臣直，国之福也；父 慈子孝，夫信妻贞，家之福也。故比干忠而不能存殷，子胥智而不能 完吴，申生孝而晋国乱。是皆有忠臣孝子，而国家灭乱者，何也？无 明君贤父以听之，故天下以其君父为僇辱而怜其臣子。 今商君、吴起、大夫种之为人臣，是也；其君，非也。故世称三子致 功而不见德，岂慕不遇世死乎？夫待死而後可以立忠成名，是微子不 足仁，孔子不足圣，管仲不足大也。夫人之立功，岂不期於成全邪？ 身与名俱全者，上也。名可法而身死者，其次也。名在僇辱而身全 者，下也。”	Sái Trạch nói: “Chúa thánh tôi hiền, là phúc lớn của thiên hạ; vua sáng tôi ngay, là phúc của nước; cha từ con hiếu, chồng tín vợ trinh, là phúc của nhà. Cho nên Tỷ Can trung thành nhưng không thể bảo tồn nhà Ân, Tử Tư tài trí nhưng không thể giữ vẹn nước Ngô, Thân Sinh hiếu nghĩa mà Tấn sinh rối loạn. Các nước đều có tôi trung con hiếu mà đất nước bị diệt vong loạn lạc. Tại sao vậy? Vì không có vua sáng cha hiền nghe họ, nên thiên hạ coi vua, cha họ là nỗi sỉ nhục mà xót thương đám tôi con. Nay bề tôi như Thương quân, Ngô Khởi, đại phu Văn Chủng là phải, vua họ là trái. Cho nên người đời khen ba người có công lớn mà không được báo đáp bằng ân đức, há chuộng việc không gặp thời rồi phải chết ư? Đợi chết rồi sau mới được tiếng trung thành, Vi tử không đủ gọi là nhân, Khổng tử không đủ gọi là thánh, Quản Trọng không đủ gọi là lớn vậy. Người ta lập công, há không mong được vẹn toàn ư? Thân và danh toàn vẹn, là mức cao. Danh đáng noi mà thân phải chết, là hạng thứ. Danh bị phỉ báng mà thân được vẹn toàn, là hạng bét vậy.”
蔡泽少得间，因曰：“夫商君、吴起、大夫种，其为人臣尽忠致 功则可原矣，闳夭事文王，周公辅成王也，岂不亦忠圣乎？以君臣论 之，商君、吴起、大夫种其可原孰与闳夭、周公哉？”	Sái Trạch được thể, thừa dịp nói: “Xét Thương quân, Ngô Khởi, đại phu Văn Chủng, các bề tôi tận trung lập công thì đáng mong rồi, còn Hoành Yêu thờ Văn vương, Chu công phụ giúp Thành vương, há cũng là bậc thánh trung chăng? Luận về quan hệ vua tôi, Thương quân, Ngô Khởi, đại phu Văn Chủng đáng chuộng hay Hoành Yêu, Chu công?”
应侯曰：“商 君、吴起、大夫种弗若也。”	Ứng hầu đáp: “Thương quân, Ngô Khởi, đại phu Văn Chủng không bằng.”
蔡泽曰：“然则君之主慈仁任忠，惇厚 旧故，其贤智与有道之士为胶漆，义不倍功臣，孰与秦孝公、楚悼 王、越王乎？”	Sái Trạch nói: “Vậy vua của ngài từ ái nhân nghĩa, trọng dụng trung thần, hết lòng nghĩ đến tình cũ, hiền minh trí tuệ gắn bó keo sơn với kẻ sĩ có đạo, vì nghĩa không bội bạc bề tôi có công, so với Tần Hiếu công, Sở Điệu vương, Việt vương ai hơn?”
应侯曰：“未知何如也。”	Ứng hầu đáp: “Chưa biết thế nào.”
应侯曰：“不若。”	Ứng hầu đáp: “Không bằng được.”
