奉勅開載諸臣職名總裁	Vâng sắc khai chép tên chức và tên các quan trong Quốc sử quán: Tổng tài:
步軍分逾正壘 自翁回至每耐二十六所	(Quân bộ binh Quảng Bình chia đặt 26 sở tuần trên chính lũy từ Ông Hồi đến Mỗi Nại:
左捷隊新志大安二船 左堅奇富二後銃安一三船 右堅奇左雄右雄後刀一後刀二四船 左步奇左一廣一銃二安二 前堅銃五船 右步奇志一志二壯銃堅銃銳銃五船 中奇各刀船各銃船	2 thuyền Tân chí, Đại an thuộc đội Tả tiệp, 3 thuyền Phú nhị, Hậu súng, An nhất thuộc cơ Tả kiên, 4 thuyền Tả hùng, Hữu hùng, Hậu đao nhất, Hậu đao nhị, thuộc cơ Hữu kiên, 5 thuyền Tả nhất, Quảng nhất, Súng Nhị, An Nhị, Tiền kiên súng thuộc cơ Tả bộ, 5 thuyền Chí nhất, Chí nhị, Tráng súng, Kiên súng, Nhuệ súng, thuộc cơ Hữu bộ, các đao thuyền và các súng thuyền thuộc Trung cơ.
布政營水步軍分巡 自峰衙路沿江及大城至鎭寧壘三十九所	Quân thủy bộ dinh Bố Chính chia đặt 36 sở tuần từ đường Phong Nha men sông và Đại Thành đến lũy Trấn Ninh:
巡步隊左雄隊前勝隊突三先柱銳銃三船左勝隊右銃堅柱後堅刀三船 右勝隊新一柱銃右該三船 微勝隊左刀前柱右堅三船水羌隊里寧安袅二船 中奇堅一船	3 thuyền Đột tam, Tiên trụ và Nhuệ súng thuộc đội Tuần bộ, đội Tả hùng, đội Tiền thắng, 3 thuyền Hữu súng, Kiên trụ, Hậu kiên đao thuộc đội Tả thắng, 3 thuyền Tân nhất, Trụ súng, Hữu cai thuộc đội Hữu thắng, 3 thuyền Tả đao, Tiền trụ, Hữu kiên thuộc đội Hậu thắng, 2 thuyền Lý ninh, An náu thuộc đội Thủy sai, thuyền Kiên nhất thuộc Trung cơ, 5 thuyền Tiền kiên, Tả kiên, Hữu kiên, Hậu kiên
左巡河前堅左堅右堅後堅全堅五船 右巡河前勝左勝右勝後勝生勝五船	Toàn kiên thuộc Tả tuần hà, 5 thuyền Tiền thắng, Tả thắng, Hữu thắng, Hậu thắng, Toàn thắng thuộc Hữu tuần hà.
布政營壘諸門及諸要路十四所	Các cửa lũy và các đường trọng yếu ở dinh Bố Chính đặt 14 sở:
中奇前堅左二左柱右柱右刀後雄志一布一布二東山安謨奇花十二船中奇馬隊亭舖左勝隊右銃船	12 thuyền Tiền kiên, Tả nhị, Tả trụ, Hữu trụ, Hữu đao, Hậu hùng, Chí nhất, Bố nhất, Bố nhị, Đông sơn, An mô, Kỳ hoa thuộc Trung cơ, đình phố của Mã đội thuộc Trung cơ, thuyền Hữu súng thuộc đội Tả thắng).
復徧視山頭海口道路遠近山川險易之勢 畵圖以進	Lại coi khắp những hình thế đầu non cửa biển, đường sá xa gần, núi sông hiểm dễ, vẽ đồ bản dâng trình.
三月工竣 賞將士白金五百兩錢八百緡	Sau 3 tháng công việc làm xong, thưởng cho tướng sĩ 500 lạng bạc, 800 quan tiền.
秋八月開試科	Mùa thu, tháng 8, mở khoa thi.
試日御賜題目	Ngày thi, chúa ra đầu đề.
取正途中格監生四人 生徒四人 饒學五人 華文中格十七人 探訪中格一人	Lấy trúng cách về chính đồ được 4 người giám sinh, 4 người sinh đồ và 5 người nhiêu học, trúng cách về hoa văn được 17 người, trúng cách về thám phỏng được 1 người.
監生補知府 生徒補知縣 饒學補訓導 萁文探訪補三司	Giám sinh bổ tri phủ, sinh đồ bổ tri huyện, nhiêu học bổ huấn đạo, hoa văn và thám phỏng bổ vào ba ty.
上幸礮場 觀內隊水步兩軍 演習 水軍在上考厚賞之	Chúa đến thăm trường súng, xem quân thủy quân bộ thuộc nội đội diễn tập, quân thủy thi đứng trên nên được hậu thưởng.
九月以文職陳廷慶爲廣南營該簿	Tháng 9, lấy văn chức Trần Đình Khánh làm cai bạ dinh Quảng Nam.
冬十一月上幸演射場 召諸將及內外隊長三司 較弓矢射藝 擇善射者爲甲部 輪侍演射	Mùa đông, tháng 11, chúa đến thăm trường bắn, triệu các tướng và các nội ngoại đội trưởng cùng tam ty thi bắn cung, chọn người bắn giỏi làm giáp bộ để luân lưu hầu diễn bắn.
壬午十一年春正月上命水軍 修治戰船 分爲前後中三隊 以春季演水陣	Nhâm ngọ năm thứ 11, mùa xuân, tháng giêng, sai thủy quân sửa đóng chiến thuyền, chia làm 3 đội tiền hậu trung, đến cuối mùa xuân thì diễn tập thủy trận.
命諸將競馬 左右兩翼馬各三十匹 左執紅旗 右執黃旗 以次馳驟 賞銀錢有差	Sai các tướng thi ngựa, hai bên tả hữu mỗi bên đều 30 con, bên tả cầm cờ đỏ, bên hữu cầm cờ vàng, theo thứ tự chạy phi, thưởng tiền bạc theo thứ bực.
內水奇軍舍火 延燒六百餘家	Nhà quân Nội thủy phát hỏa, cháy lan hơn 600 nhà.
夏五月朔日有食之	Mùa hạ, tháng 5, ngày mồng 1, có nhật thực.
遣黃辰興徹等 齋國書 貢品琦喃五斤四兩 生金一斤十三兩五錢 象牙二枝重三百五十斤 花藤五十枝 如廣東求封 辰徹淸廣東人 從石濂和尙來謁	Sai bọn Hoàng Thần, Hưng Triệt đem quốc thư và cống phẩm (kỳ nam 5 cân 4 lạng, vàng sống 1 cân 13 lạng 5 đồng cân, ngà voi 2 chiếc nặng 350 cân, mây song hoa 50 cây) sang Quảng Đông để cầu phong (Thần và Triệt người Quảng Đông nước Thanh, theo hòa thượng Thạch Liêm đến yết kiến, nhân đó [chúa] sai đi.
因遣之 時暹羅貢船遭風怕 佯分馬之 修船艘 給糧米 而令辰徹等搭往焉	Bấy giờ thuyền đi cống của Xiêm La bị gió đậu ở hải phận ta, ta sửa sang thuyền lái và giúp đỡ lương thực cho họ, rồi sai bọn Thần Triệt đáp đi).
淸帝問其臣 皆曰	Vua Thanh hỏi bầy tôi, đều nói rằng:
廣南國雄視一方 占城眞臘皆爲所倂	Nước Quảng Nam hùng thị một phương, Chiêm Thành, Chân Lạp đều bị thôn tính, sau tất sẽ lớn.
淸船嘗來商于廣南 故稱我爲廣南國	(Thuyền Thanh thường đến buôn ở Quảng Nam, nên gọi ta là nước Quảng Nam).
秋八月布政州人獲鄭細作以歸	Mùa thu, tháng 8, người châu Bố Chính bắt được thám tử của họ Trịnh đem về.
北布政守將鄭楦移書布政營責其事	Thủ tướng châu Bắc Bố Chính là Trịnh Huyên gửi thư sang dinh Bố Chính trách việc ấy.
上令該簿陳廷慶 爲書復之	Chúa sai Cai bạ Trần Đình Khánh viết thư trả lời.
海匪安烈蠻船八艘投泊崑崙島	Giặc biển là người Man An Liệt có 8 chiếc thuyền đến đậu ở đảo Côn Lôn.
其長蘇喇伽施等五人自稱爲一班二班三班四班五班茂班猶幾次 原洋人所設頭目之謂 與其黨二百餘人結立寨柵 貨寶山積 四面各置大礮鎭邊營	Trưởng là bọn Tô Thích Già Thi 5 người tự xưng là nhất ban, nhị ban, tam ban, tứ ban, ngũ ban (mấy ban cũng như mấy bực, nguyên người Tây phương dùng những tên ấy để gọi bọn đầu mục của họ) cùng đồ đảng hơn 200 người, kết lập trại sách, của cải chứa đầy như núi, bốn mặt đều đặt đại bác.
鎭守張福攀掌營 張福崗之子尙公主玉冉 以事聞	Trấn thủ dinh Trấn Biên là Trương Phước Phan (con Chưởng dinh Trương Phước Cương, lấy công chúa Ngọc Nhiễm) đem việc báo lên.
九月開水道于麗奇社 名屬豐祿縣	Tháng 9, khai đường thủy đạo ở xã Lệ Kỳ (thuộc huyện Phong Lộc).
癸未十二年春正月復收民見耕田租	Quý mùi, năm thứ 12, mùa xuân, tháng giêng, lại thu thuế ruộng dân hiện cày cấy.
初太宗二十一年巳酉命度漏田徵其租	Trước là đời Thái tông năm thứ 21, Kỷ dậu, sai đo ruộng lậu để thu thuế.
英宗初年令始增者減半 至是復之	Năm đầu đời Anh tông ra lệnh giảm nửa thuế cho những ruộng mới tăng.
三月命外左掌營尊室耀文職陳廷順陳廷恩之子 督兵 築垻堰于河岐港 自來格至水蓮俱社名 凡五所 以便漕運	Tháng 3, sai Ngoại tả chưởng dinh Tôn Thất Diệu, văn chức Trần Đình Thuận (con Trần Đình Ân) đốc suất quân lính đắp kè đập ở kênh Hà Kỳ, từ xã Lai Cách đến xã Thủy Liên, phàm 5 sở, để tiện việc vận tải.
一月工竣 賞耀等白金有差	Một tháng công việc xong, thưởng bạc cho bọn Diệu theo thứ bực.
夏四月朔日有食之	Mùa hạ, tháng 4, ngày mồng 1, có nhật thực.
秋八月参政正斷事陳廷恩年七十八 乞致仕 再三陳請	Mùa thu, tháng 8, Tham chính đoán sự Trần Đình Ân 78 tuổi, xin về trí sĩ, trần thỉnh hai ba lần chúa mới cho.
上始許之 及入謝 上親製詩幷序 書于白花綾以賜之	Khi vào tạ, chúa nhân làm bài thơ và lời tựa, viết vào lĩnh hoa trắng để cho như sau:
白國主天縱道人 御敕賜參政正斷事東朝侯陳廷恩辭職歸鄉詩 幷序	"Quốc chúa Thiên túng đạo nhân ngự chế thơ và tựa, sắc cho Tham tri chánh đoán sự Đông Triều hầu Trần Đình Ân từ chức về làng.
卿歷輔四朝國政朝綱 多所贊助 人臣之勤惟卿爲最	Khanh trải giúp bốn triều, quốc chính triều cương, có nhiều giúp đỡ.
樂道好善 是以芳桂蘭蓀一門貴顯	Lại tính hay nhún nhường êm dịu, vui đạo thích lành, cho nên lan quế thơm tho, một nhà vinh hiển.
年將八十 而猶未艾 是所謂吾國之福壽也	Tuổi gần tám chục, mà chưa suy hèn, thực là Phước thọ của nước nhà ta.
乃以好道抱靜 辭職歸鄕 予苦畱再三 而終不能奪其志 臨行辭	Nay vì mến đạo ưa tĩnh, từ quan chức về làng, ta hai ba lần cố giữ mà cuối cùng không cản được chí.
予特賜田十畝 從軍十人 以爲養老之需	Khi từ biệt ra về, ta đặc tứ 10 mẫu ruộng và 10 lính hầu, dùng để dưỡng lão.
恐此未副予心 聊贈七言詩一律 以盡予意云耳	Sợ thế chưa phỉ lòng ta, nên tặng một bài thơ thất ngôn để trọn ý ta vậy.
詩曰	Thơ rằng:
平生持善性精純	[Phiên âm] Bình sinh trì thiện tính tinh thuần.
贊輔吾朝四世人	Tán phụ ngô triều tứ thế nhân.
辭紫綬 道心恒現	Đạo tâm hằng hiện khước hồng trần.
熙熙鶴髮同商皓 儼儼僊風亦漢臣 此去廣平何所事 靑山綠水樂天眞	Tóc hạc phơ phơ giống bốn hạo núi Thương; Dáng tiên nghiêm chỉnh như [Trương Lương] nhà Hán. Nay về Quảng Bình thì làm việc gì Non xanh nước biếc, vui hưởng tính trời.
廷恩旣歸 居于平中寺 在明靈縣河中社 立石刻敕書 置寺前 以禪學自娛	Đình Ân về hưu, ở chùa Bình Trung (thuộc xã Hà Trung, huyện Minh Linh), dựng đá khắc tờ sắc thư đặt ở trước chùa, lấy thiền học làm vui.
冬十月安烈黨平	Mùa đông, tháng 10, dẹp yên đảng An Liệt.
先是鎭邊鎭守張福攀募闍婆十五人 密令詐降 安烈乘間殺之	Trước là Trấn thủ Trấn Biên Trương Phước Phan mộ 15 người Chà Và sai làm kế trá hàng đảng An Liệt để thừa chúng sơ hở thì giết.
安烈不之覺	Bọn An Liệt không biết.
居崑崙歲餘不復見鎭邊譏問 自以爲得志	ở Côn Lôn hơn một năm không thấy Trấn Biên xét hỏi, tự lấy làm đắc chí.
闍婆人乘夜放火燒寨 刺殺一班 二班擒獲五班縛之 三班四班望洋竄去	Người Chà Và nhân đêm phóng lửa đốt trại, đâm chết nhất ban, nhị ban, bắt được ngũ ban trói lại, còn tam ban, tứ ban thì theo đường biên trốn đi.
福攀聞報 卽遣兵船出崑崙 盡收所獲金帛進納	Phước Phan nghe tin báo, tức thì sai binh thuyền ra Côn Lôn, thu hết của cải bắt được dâng nộp.
上重賞闍婆人及將士有差	Chúa trọng thưởng người Chà Và và tướng sĩ theo thứ bực.
五班械送道死	Tên ngũ ban thì đóng gông giải đi, chết ở dọc đường.
十一月大風雨 折木發屋 民多漂死	Tháng 11, mưa gió to, cây gẫy nhà tốc, dân bị chết trôi nhiều.
甲申十三年春三月上幸扶尊 卽今扶正府 觀來格庫及明靈海口 駐蹕丁良福府	Giáp thân, năm thứ 13, mùa xuân, tháng 3, chúa đến phủ Phù Tôn (nay là Phù Chính), xem kho Lai Cách và cửa biển Minh Linh, dừng chân ở Lương Phước năm ngày rồi trở về.
五日遂還 夏四月庚辰白虹貫天	Mùa hạ, tháng 4, ngày Canh thìn, cầu vồng trắng hiện suốt ngang trời.
秋七月火起 自富春市至東池府 延燒萬餘家	Mùa thu, tháng 7, lửa bốc cháy từ chợ Phú Xuân đến phủ Đông Trì, cháy lan hơn một vạn nhà.
八月以文職陳廷順爲都知率舍差司都知禎祥爲廣南營該簿	Tháng 8, lấy văn chức Trần Đình Thuận làm Đô tri, coi Xá sai ty, Đô tri Trịnh Tường làm Cai bạ dinh Quảng Nam, văn chức Nguyễn Hữu Khôi làm Ký lục.
冬十月以文職阮有魁爲記錄掌奇	Mùa đông, tháng 10, lấy Chưởng cơ Nguyễn Hữu Hào làm Trấn thủ Quảng Bình.
阮有豪爲廣平鎭守 豪旣抵鎭 愛養士卒 撫循百姓 吏民皆親愛之	Hào đến trấn, yêu nuôi quân sĩ, yên vỗ trăm họ, quân dân đều thân mến.
十一月甲辰兩日竝出	Tháng 11, ngày Giáp thìn, hai mặt trời cùng mọc.
乙酉十四年黎永盛元年淸 康熙四十四年春二月黎鄭根遣其將黎時寮鎭守乂安 兼鎭北布政州	ất dậu, năm thứ 14 (Lê Vĩnh Thịnh năm 1, Thanh Khang Hy năm 44), mùa xuân, tháng 2, Trịnh Căn nhà Lê sai tướng là Lê Thời Liêu trấn thủ Nghệ An, kiêm trấn châu Bắc Bố Chính.
三月哀牢六凡造尾縱兵侵擾邊民 劫掠商旅	Tháng 3, Tạo Vĩ ở Lục Hoàn nước Ai Lao thả quân sang quấy dân biên thùy, cướp bóc khách buôn.
上命左銃該隊黎定爲該奇 內隊長朱潤忠爲該隊 率兵討之	Chúa sai Cai đội Tả súng Lê Định làm Cai cơ, Nội đội trưởng Chu Nhuận Trung làm Cai đội, đem quân đi đánh.
二人至哀牢界 數月而卒 遂撤兵	Hai người đến địa giới Ai Lao được vài tháng thì chết, bèn rút quân về.
夏四月黎帝傳位於太子維榶 改元永盛 是爲裕尊	Tháng 4, mùa hạ, vua nhà Lê truyền ngôi cho thái tử Duy Đường, đổi niên hiệu là Vĩnh Thịnh, tức là Dụ Tông.
尊黎帝爲太上皇	Tôn vua Lê làm thái thượng hoàng.
秋七月左步營掌奇阮德康阮德實之子進良弩	Mùa thu, tháng 7, Chưởng cơ dinh Tả bộ là Nguyễn Đức Khang (con Nguyễn Đức Bảo) dâng nỏ tốt.
上命文武諸將內外隊長三司 分爲甲乙二部 習射 弩連五 中者賞紅縐紗一疋	Chúa sai văn võ, các tướng, nội ngoại đội trưởng và tam ty, chia làm hai bộ giáp ất để tập bắn nỏ, trúng liền 5 phát thì được thưởng một tấm nhiễu hồng.
其後人爭販買 弩價益貴	Sau đó người ta tranh nhau mua nỏ, giá nỏ thành đắt.
乃罷之	Vì thế mà bãi.
命正統該奇阮久雲阮久翊之千伐眞臘 送匿淹還國 淹匿嫩之子也	Sai Chánh thống cai cơ Nguyễn Cửu Vân (con Nguyễn Cửu Dực) đánh Chân Lạp và đưa Nặc Yêm về nước.
先是匿嫩死	Yêm là con Nặc Nộn.
匿秋封淹爲參的詫膠錘 以其女妻之 後秋以年老傳位於其子匿深	Trước là Nặc Nộn chết, Nặc Thu phong Yêm làm chức Tham Đích Sá Giao Chùy, đem con gái gả cho. Sau Thu vì tuổi già, truyền ngôi cho con là Nặc Thâm.
深疑淹有異志 構兵相攻 又援暹羅爲助	Thâm ngờ Yêm có dị chí, nổi binh đánh nhau, lại nhờ Xiêm La giúp.
上乃命雲 領嘉定水步兵 進攻匿深	Chúa bèn sai Vân lãnh quân thủy bộ Gia Định tiến đánh Nặc Thâm.
雲至岑溪 遇暹兵大破之 深與其弟匿新奔于暹	Vân đến Sầm Khê gặp quân Xiêm, đánh vỡ tan. Thâm cùng em là Nặc Tân chạy sang Xiêm.
匿淹復歸羅壁城	Nặc Yêm lại trở về thành La Bích.
時藩鎭舍差司枚公香爲漕運 後至 爲賊奇兵要截	Bấy giờ Xá sai ty Phiên Trấn là Mai Công Hương làm tào vận tới sau, bị quân giặc chặn lại, lính vận tải sợ chạy.
漕兵驚走 香乃鑿船沈糧 投江而死	Hương bèn đục thủng thuyền làm đắm lương thực, rồi nhảy xuống sông chết.
賊無所得	Giặc không được gì hết.
上聞之 命封香爲爲國死義之神 立祠祀之	Chúa nghe tin, sai phong Hương làm thần "Vị quốc tử nghĩa", dựng đền để thờ.
眞臘旣平 雲因墾田於虬澳 屬定祥省 爲軍民倡	Chân Lạp dẹp xong, Vân nhân khẩn ruộng ở Cù Ao (thuộc tỉnh Định Tường), làm gương cho quân dân noi theo.
又以賊兵常出此地擾我軍後 乃起築長壘 以固備禦焉	Lại vì giặc thường đến đất này quấy rối sau lưng quân ta, bèn đắp lũy dài để vững phòng ngự.
八月蝗 禾穀不登 粟斛直錢一緡五陌	Tháng 8, có sâu keo, mùa màng không tốt, giá thóc một hộc là 1 quan 5 tiền.
廣平鎭守掌營阮久應卒 贈謙恭功臣 特進輔國上將軍左軍都督府掌府事鎭郡公 諡愼勤	Trấn thủ Quảng Bình là Chưởng dinh Nguyễn Cửu Ưng chết, tặng Khiêm cung công thần đặc tiến phụ quốc thượng tướng quân Tả quân đô đốc phủ chưởng phủ sự Trấn quận công, thụy là Thận cần.
丙戌十五年春正月參政正斷事致仕陳廷恩卒 贈敦厚功臣 特進柱國金紫榮祿大夫大理寺卿諡純善	Bính tuất, năm thứ 15, mùa xuân, tháng giêng, Tham chính chánh đoán sự trí sĩ là Trần Đình Ân chết, tặng Đôn hậu công thần đặc tiến trụ quốc kim tử vinh lộc đại phu Đại lý tự khanh, thụy là Thuần thiện.
賜墓夫十人 又免其私田三十畝租稅	Cho 10 người phu mộ, và miễn thuế cho 30 mẫu tư điền.
夏四月霖雨潦溢 民舍多漂没	Mùa hạ, tháng 4, mưa dầm nước lụt, nhiều nhà trôi mất.
秋九月朔日有食之	Mùa thu, tháng 9, ngày mồng 1, có nhật thực.
冬十一月以都知陳廷順爲該簿副斷事 率將臣吏司知簿呂有寧爲都知 幸舍差司知簿宋福禍 又名梅 本胡姓 賜姓宋氏	Mùa đông, tháng 11, lấy Đô tri Trần Đình Thuận làm Cai bạ phó đoán sự coi Tướng thần lại ty, Tri bạ Lữ Hữu Ninh làm Đô tri coi Xá sai ty, Tri bạ Tống Phước Đào (lại tên là Mai, vốn họ Hồ, được cho họ Tống) làm Cai đội coi đội Tả trung bộ.
大南寔錄前編總目卷一	Tiền biên [Tổng Mục]
太祖嘉裕皇帝在位五十六年 戊午元年黎正治元年明嘉靖三十七年已未庚申辛酉壬戌癸亥甲子乙丑丙寅丁卯明隆慶元年戊辰已巳庚午辛未壬申黎改元洪福	quyển I Thái tổ gia dụ hoàng đế [nguyễn hoàng] (ở ngôi 56 năm) Mậu ngọ, năm thứ 1 (Lê Đối với nhà Lê niên hiệu là Chính Trị năm 1, đối với nhà Minh, niên hiệu là Gia Tĩnh năm 39) Kỷ mùi Canh thân Tân dậu Nhâm tuất Quý hợi Giáp tý ất sửu Bính dần Đinh mão (Minh Long Khánh năm 1) Mậu thìn Kỷ tỵ Canh ngọ Tân mùi Nhâm thân (Nhà Lê đổi niên hiệu là Hồng Phước) Quý dậu (Lê Gia Thái năm thứ 1
癸酉黎嘉泰元年明萬曆元年甲戌乙亥丙子丁丑戊寅黎改元光興 已卯庚辰辛已壬午癸未甲申乙酉丙戌丁亥戊子已丑庚寅辛卯壬辰癸巳甲午乙未丙申丁酉戊戌已亥庚子黎愼德元年冬十月改元弘定 辛丑壬寅癸卯甲辰乙已丙午丁未戊申已酉庚戌辛亥壬子癸丑卷二	Minh Vạn Lịch năm 1) Giáp tuất ất hợi Bính tý Đinh sửu Mậu dần (Nhà Lê đổi niên hiệu là Quang Hưng) Kỷ Mão Canh thìn Tân tỵ Nhâm ngọ Quý mùi Giáp thân ất dậu Bính tuất Đinh hợi Mậu tý Kỷ sửu Canh dần Tân mão Nhâm thìn Quý tỵ Giáp ngọ ất mùi Bính thân Đinh dậu Mậu tuất Kỷ hợi Canh tý (Lê Thận Đức năm1, tháng 10 mùa đông đổi niên hiệu là Hoằng Định) Tân sửu Nhâm dần Quý mão Giáp thìn ất tỵ Bính ngọ Đinh mùi Mậu thân Kỷ dậu Canh tuất Tân hợi Nhâm tý Quý sửu.
庚申明秦昌元年 辛酉明天啓元年 壬戌癸亥甲子乙丑丙寅丁卯戊辰明崇禎元年已已黎改元德隆 庚午辛未壬申癸酉甲戌乙亥黎改元陽和	Hy Tông Hiếu Văn Hoàng đế [Phước nguyên] (ở ngôi 22 năm) Giáp dần, năm thứ 1 ất mão Bính thìn Đinh tỵ Mậu ngọ Kỷ mùi ( Lê Vĩnh Tộ năm 1) Canh thân (Minh Thái Xương năm 1) Tân dậu (Minh Thiên Khải năm 1) Nhâm tuất Quý hợi Giáp tý ất sửu Bính dần Đinh mão Mậu thìn (Minh Sùng Trinh năm thứ 1) Kỷ tỵ (nhà Lê đổi niên hiệu là Đức Long) Canh ngọ Tân mùi Nhâm thân Quý dậu Giáp tuất ất hợi (Nhà Lê đổi niên hiệu là Dương Hòa).
卷三	Quyển III.
神宗孝昭皇帝在位十三年 丙子元年丁丑戊寅已卯庚辰辛巳壬午癸未黎福泰元年甲申	Thần Tông Hiếu chiêu hoàng đế [Phước lan] (ở ngôi 13 năm) Bính tý, năm thứ 1 Đinh sửu Mậu dần Kỷ mão Canh thìn Tân tỵ Nhâm ngọ Quý mùi (Lê Phước Thái năm 1) Giáp thân (Thanh Thuận Trị năm 1) ất dậu Bính tuất Đinh hợi Mậu tý.
清順治元年乙酉丙戌丁亥戊子卷四 太宗孝哲皇帝在九 已丑元年黎改元慶德 庚寅辛卯壬辰癸已黎改元盛德 甲午乙未丙申丁酉戊戌黎改元永壽 已亥庚子辛丑壬寅黎改元萬慶淸 康熙元年卷五	Quyển IV.
太宗孝哲皇帝癸卯黎景治元年甲辰乙已丙午丁未戊申已酉庚戌辛亥壬子黎陽德元年	Thái Tông Hiếu triết hoàng đế [Phước tần] (ở ngôi 39 năm) Kỷ sửu, năm thứ 1 (Nhà Lê niên hiệu là Khánh Đức) Canh dần Tân mão Nhâm thìn Quý tỵ (Nhà Lê đổi niên hiệu là Thịnh Đức) Giáp ngọ ất mùi Bính thân Đinh dậu Mậu tuất (Nhà Lê đổi niên hiệu là Vĩnh Thọ) Kỷ hợi Canh tý Tân sửu Nhâm dần (Nhà Lê đổi niên hiệu là Vạn Khánh, Thanh Khang Hy năm 1).
乙卯丙辰黎永治元年 丁巳戊午己未庚申黎改元正和 辛酉壬戌癸亥甲子乙丑丙寅丁卯	thái tông hiếu triết hoàng đế Quý mão (Lê Cảnh Trị năm 1) Giáp thìn ất tỵ Bính ngọ Đinh mùi Mậu thân Kỷ dậu Canh tuất Tân hợi Nhâm tý (Lê Dương Đức năm 1) Quý sửu Giáp dần (Nhà Lê đổi niên hiệu là Đức Nguyên) ất mão Bính thìn (Lê Vĩnh Trị năm 1) Đinh tỵ Mậu ngọ Kỷ mùi Canh thân (Nhà Lê đổi niên hiệu là Chính Hòa) Tân dậu Nhâm tuất Quý hợi Giáp tý ất sửu Bính dần Đinh mão.
卷六	Quyển VI.
英宗孝義皇帝在位四年	Anh tông hiếu nghĩa hoàng đế (Phước trăn) (ở ngôi 4 năm) Mậu thìn, năm thứ 1 Kỷ tỵ Canh ngọ Tân mùi.
卷七	Quyển XI.
顯宗孝明皇帝在位三十四年 壬申元年癸酉甲戌乙亥丙子丁丑戊寅已卯庚辰辛巳壬午癸未甲申乙酉黎永盛元年	duệ tông hiếu định hoàng đế [Phước thuần] (ở ngôi 12 năm) Bính tuất, năm thứ 1 Đinh hợi Mậu tý Kỷ sửu Canh dần Tân mão Nhâm thìn Quý tỵ Giáp ngọ. Quyển XII. Duệ tông hiếu định hoàng đế ất mùi Bính thân Đinh dậu. Chính biên Đệ nhất kỷ thực lục về thế tổ cao hoàng đế. Quyển I Mậu tuất năm thứ đến Nhâm dần năm thứ 3. Quyển II Quý mão năm thứ 4 đến Bính ngọ năm thứ 7. Quyển III Đinh mùi năm thứ 8 đến Mậu thân năm thứ 9. Quyển IV Tháng giêng mùa xuân năm Kỷ dậu thứ 10, đến tháng 6 mùa hạ năm Canh tuất thứ 11.
顯宗孝明皇帝丁亥戊子巳丑庚寅辛卯壬辰癸已甲午乙未丙申丁酉戊戌已亥庚子黎改元保泰 辛丑壬寅癸卯清雍正元年甲辰乙巳卷九	Quyển XIV Tháng 5 mùa hạ năm Tân dậu thứ 22 đến tháng 7 mùa thu. Quyển XV Tháng 8 mùa thu năm Tân dậu thứ 22 đến tháng 12 mùa đông. Quyển XVI Tháng giêng mùa xuân năm Nhâm tuất thứ 23 đến tháng 4 mùa hạ. Quyển XVII Tháng năm mùa hạ năm Nhâm tuất Gia Long thứ 1 đến tháng 6 mùa hạ. Quyển XVIII Tháng 7 mùa thu năm Nhâm tuất Gia Long thứ 1 đến tháng 9. Quyển XIX Tháng 10 mùa đông năm Nhâm tuất Gia Long thứ 1 đến tháng 12. Quyển XX Tháng giêng mùa xuân năm Quý hợi Gia Long thứ 2 đến tháng 3. Quyển XXI Tháng 4 mùa hạ năm Quý hợi Gia Long thứ 2 đến tháng 6.
已未元年庚申黎景興元年辛酉壬戌癸亥甲子乙丑丙寅丁卯戊辰已巳庚午辛未壬申癸酉甲戌乙亥丙子丁丑戊寅已卯庚辰辛已壬午癸未甲申乙酉	Quyển XLIII Tháng 7 mùa thu năm Tân mùi Gia Long thứ 10 đến tháng 12 mùa đông. Quyển XLIV Tháng giêng mùa xuân năm Nhâm thân Gia Long thứ 11 đến tháng 6 mùa hạ. Quyển XLV Tháng 7 mùa thu năm Nhâm thân Gia Long thứ 11 đến tháng 12 mùa đông. Quyển XLVI Tháng giêng mùa xuân năm Quý dậu Gia Long thứ 12 đến tháng 6 mùa hạ. Quyển XLVII Tháng 7 mùa thu năm Quý dậu Gia Long thứ 12 đến tháng 12 mùa đông. Quyển XLVIII Tháng giêng mùa xuân năm Giáp tuất Gia Long thứ 13 đến tháng 6 mùa hạ. Quyển XLIX Tháng 7 mùa thu năm Giáp tuất Gia Long thứ 13 đến tháng 12 mùa đông. Quyển L Tháng giêng mùa xuân năm ất hợi Gia Long thứ 14 đến tháng 6 mùa hạ.
大南寔錄前編卷十二	Tiền biên Quyển XII. Tiền biên - Quyển XII.
睿宗孝定皇帝寔錄下 乙未十年黎景興三十六年淸 乾隆四十年春正月上駐蹕于架津 屬廣南省	Thực lục về Duệ tông Hiếu định hoàng đế (hạ) ất mùi, năm thứ 10 (Lê Cảnh Hưng năm 36, Thanh Càn Long năm 40), mùa xuân, tháng giêng, chúa dừng chân ở Giá Tân [Bến Giá] (thuộc tỉnh Quảng Nam), triệu Tả quân Nguyễn Cửu Dật đến hành tại.
