廉颇者，赵之良将也。	Liêm Pha là tướng giỏi của Triệu.
赵使者既见廉颇，廉颇为之一饭斗米，肉十 斤，被甲上马，以示尚可用。	Sứ Triệu gặp Liêm Pha, Liêm Pha ăn một bữa cả đấu gạo, mười cân thịt, mặc giáp lên ngựa để tỏ mình còn dùng được.
赵使还报王曰：“廉将军虽老，尚善 饭，然与臣坐，顷之三遗矢矣。”	Sứ giả về báo với Triệu vương: “Tướng quân Liêm Pha tuy già, còn ăn khỏe, nhưng ngồi với thần, chốc lát đi đại tiện đến ba lần.”
赵王以为老，遂不召。	Triệu vương cho Liêm Pha đã già, bèn không triệu nữa.
楚闻廉颇在魏，阴使人迎之。	Sở nghe nói Liêm Pha ở Ngụy, ngầm sai người sang đón.
廉颇一为楚将，无功，曰：“我思 用赵人。”	Liêm Pha một lần làm tướng Sở, không lập được công, nói: “Ta muốn dùng người Triệu.”
为约曰：“匈奴即入盗，急入收保，有敢捕虏者 斩。”	Có ước định rằng: “Nếu quân Hung Nô vào cướp, kíp chạy vào thành phòng thủ, ai ra bắt tù binh, xử chém.”
如是数岁，亦不亡 失。 然匈奴以李牧为怯，虽赵边兵亦以为吾将怯。	Cứ thế mấy năm, cũng không mất mát, tổn hại, nhưng Hung Nô cho Lý Mục nhát gan, ngay quân Triệu ở biên giới cũng xem tướng mình nhát.
赵王让李牧，李牧 如故。	Triệu vương trách Lý Mục, Lý Mục vẫn làm như trước.
赵王怒，召之，使他人代将。	Triệu vương giận, triệu về, sai người khác thay làm tướng.
复请李牧。	Lại mời Lý Mục.
赵王乃复彊起使将 兵。	Triệu vương bèn ép dậy sai cầm quân.
牧曰：“王必用臣，臣如前，乃敢奉令。”	Mục nói: “Đại vương nhất định dùng thần, có cho thần làm như trước, mới dám vâng lệnh.”
王许之。	Triệu vương đồng ý.
匈奴数岁无所得。 终以为怯。	Hung Nô nhiều năm không thu được gì, luôn cho Lý Mục khiếp sợ.
边士日得赏赐而 不用，皆原一战。	Quân sĩ hằng ngày được thưởng mà không được dùng, đều muốn đánh một trận.
於是乃具选车得千三百乘，选骑得万三千匹，百金 之士五万人，彀者十万人， 悉勒习战。	Thế là [Lý Mục] chọn một nghìn ba trăm chiến xa, tuyển một vạn ba nghìn chiến mã, lựa năm vạn quân từng được thưởng trăm lạng vàng, mười vạn lính biết bắn cung, thảy đều được luyện cách đánh.
其後十馀岁，匈奴不敢近 赵边城。	Hơn mười năm sau, Hung Nô không dám đến gần biên giới nước Triệu.
赵悼襄王元年，廉颇既亡入魏，赵使李牧攻燕，拔武遂、方城。	Điệu Tương vương nước Triệu năm thứ nhất, Liêm Pha đã trốn sang Ngụy, Triệu sai Lý Mục đánh Yên, hạ được Vũ Toại, Phương Thành.
居二年，庞暖破燕军， 杀剧辛。	Được hai năm, Bàng Huyên phá quân Yên, giết Kịch Tân.
後七年，秦破杀赵将扈辄 於武遂， 斩首十万。	Bảy năm sau, Tần đánh giết tướng Triệu là Hỗ Triếp ở Vũ Toại, chém mười vạn thủ cấp.
赵乃以李牧为大将 军，击秦军於宜安，大破秦军，走秦将桓 齮。	Triệu bèn lấy Lý Mục làm đại tướng quân, đánh quân Tần ở Nghi An, cả phá quân Tần, đuổi tướng Tần là Hoàn Kỹ bỏ chạy.
居三年，秦攻番吾， 李牧击破秦 军，南距韩、魏。	Được ba năm, Tần đánh Bà Ngô, Lý Mục đánh phá quân Tần, phía nam chống Hàn và Ngụy.
赵王迁七年，秦使王翦攻赵，赵使李牧、司马尚御之。	Triệu vương là Thiên năm thứ bảy, Tần sai Vương Tiễn đánh Triệu, Triệu sại Lý Mục, Tư Mã Thượng cự địch.
秦多与赵 王宠臣郭开金，为反间，言李牧、司马尚欲反。	Tần nhiều lần đút vàng cho Quách Khai là sủng thần của Triệu vương, làm kế phản gián, nói Lý Mục, Tư Mã Thượng muốn làm phản.
赵王乃使赵葱及齐将 颜聚代李牧。	Triệu vương bèn sai Triệu Thông và tướng Tề là Nhan Tụ thay Lý Mục.
李牧不受命，赵使人微捕得李牧，斩之。	Lý Mục không chịu vâng lệnh, Triệu sai người ngầm bắt Lý Mục, đem chém.
废司马尚。	Phế truất Tư Mã Thượng.
後 三月，王翦因急击赵，大破杀赵葱，虏赵王迁及其将颜聚，遂灭赵。	Ba tháng sau, Vương Tiễn nhân đó tức tốc đánh Triệu, phá được quân Triệu, giết Triệu Thông, bắt sống Triệu vương là Thiên cùng tướng Triệu là Nhan Tụ, bèn diệt Triệu.
太史公曰：知死必勇，非死者难也，处死者难。	Thái sử công bàn rằng: Biết rõ là phải chết ắt dũng cảm, không coi chết là việc khó, ứng xử với cái chết mới khó.
方蔺相如引璧睨 柱，及叱秦王左右，势不过诛，然士或怯懦 而不敢发。 相如一奋其气，威信敌国，退而让 颇，名重太山，其处智勇，可谓兼之矣！ 清梠凛凛，壮气熊熊。	Lúc Lân Tương Như cầm ngọc bích nhìn vào cột, đến khi quát mắng tả hữu của Tần vương, tình thế chẳng qua sẽ bị giết là cùng, nhưng kẻ sĩ khác có khi vì khiếp sợ mà không dám làm.
王用之治国赋，国赋大平，民富而 府库实。	Triệu vương dùng Xa lo việc thuế khóa trong nước, nhờ đó thuế khóa công bằng, dân giàu mà kho đụn đầy.
秦军军武 安西，秦军鼓譟勒兵，武安屋瓦尽 振。	Quân Tần đóng phía tây Vũ An, đánh trống hò hét, khiến nhà ngói ở Vũ An đều rung chuyển.
李牧者，赵之北边良将也。 常居代雁门，备匈奴。 以便宜置吏，市租皆输入莫府， 为士卒 费。	Lý Mục là tướng giỏi ở biên giới phía bắc nước Triệu, thường đóng quân ở đất Đại và Nhạn Môn để phòng bị Hung Nô, tùy nghi sắp đặt lại tốt, tô thuế ngoài chợ đều chuyển vào phủ, chi tiêu cho quân đội.
匈奴每入，烽火谨，辄入收保，不敢战。	Mỗi lần Hung Nô vào cướp, nổi lửa hiệu cẩn thận, vội vào thành phòng thủ, không dám giao chiến.
岁馀，匈奴每来，出战。	Được hơn năm, mỗi lần Hung Nô đến, quân Triệu ra đánh.
出战，数不利，失亡多，边不得田畜。	Xuất chiến nhưng đều bất lợi, thương vong tổn thất nhiều, biên cảnh không trồng cây chăn nuôi được.
牧杜门不出，固称疾。	Lý Mục không ra khỏi cổng, cố ý thác bệnh.
大纵畜牧，人民满野。	Cho thả súc vật khắp nơi, nhân dân đầy đồng.
封李牧为武安君。	Triệu Phong Lý Mục làm Vũ An quân.
赵括自少时学兵法，言兵事，以天下莫能当。	Triệu Quát học binh pháp từ nhỏ, nói về việc binh, thiên hạ không ai bằng.
廉颇居梁久之，魏不能信用。	Liêm Pha ở Đại Lương đã lâu, nhưng Ngụy không tin dùng.
廉颇卒死于寿春。	Liêm Pha sau chết ở Thọ Xuân.
匈奴小 入，详北不胜，以数千人委之。	Hung Nô vào một số ít, quân Lý Mục vờ thua chạy, để hàng nghìn người bị bắt.
日击数牛飨士，习射骑，谨烽火，多间谍， 厚遇战士。	Mỗi ngày giết mấy con bò khao thưởng quân sĩ, học cưỡi ngựa bắn cung, cẩn trọng đốt lửa hiệu, dùng nhiều gián điệp, hậu đãi quân sĩ.
李牧多为奇陈，张左右翼击之，大破杀匈奴十馀万 骑。 灭襜褴， 破东胡，降林胡，单于奔走。	Lý Mục lập nhiều kỳ trận, tung quân tả hữu ra đánh, cả phá, giết hơn mười vạn kỵ binh Hung Nô, diệt Đam Lam, phá Đông Hồ, bắt Lâm Hồ đầu hàng, Thiền vụ bỏ chạy.
