大宛之迹， 见自张骞。	Sự tích nước Đại Uyển, thấy từ Trương Khiên.
宛贵人皆以为然，共杀其王毋寡，持其头遣贵人使贰师，约 曰：“汉毋攻我。我尽出善马，恣所取，而给汉军食。即不听，我尽 杀善马，而康居之救且至。至，我居内，康居居外，与汉军战。汉军 熟计之，何从？”	Các quý nhân ở Đại Uyển đều cho là phải, cùng giết vua Vô Quả, sai quý nhân mang đầu vua sang chỗ Nhị Sư tướng quân, giao ước rằng: “Quân Hán không đánh chúng tôi, chúng tôi sẽ đưa hết ngựa tốt ra, mặc ý mà lấy, còn cấp lương cho quân Hán. Nếu không chấp thuận, chúng tôi giết hết ngựa tốt, mà quân cứu viện của Khang Cừ cũng sắp tới. Đến nơi, chúng tôi ở trong, Khang Cừ ở ngoài, cùng giao chiến với quân Hán. Quân Hán hãy tính cho kỹ, xem theo cách nào?”
是时康居候视汉兵，汉兵尚盛，不敢进。	Bấy giờ Khang Cừ thám thính quân Hán, thấy quân Hán còn mạnh, không dám tiến.
军吏皆以为然，许宛之约。	Quân lại đều cho là phải, đồng ý giao ước với Đại Uyển.
宛乃 出其善马，令汉自择之，而多出食食给汉军。	Uyển bèn đưa ra ngựa tốt, để cho quân Hán tự chọn, rồi bỏ ra nhiều lương thực cấp cho quân Hán.
汉军取其善马数十匹。 中马以下牡牝三千馀匹，而立宛贵人之故待遇汉使善者名昧蔡 以为宛王，与盟而罢兵。	Quân Hán lấy mấy chục con ngựa tốt, cùng hơn ba nghìn ngựa đực và cái hạng trung trở xuống, rồi lập quý nhân người Uyển vốn đối đãi tốt với sứ giả nhà Hán là Mạt Tát làm Uyển vương, cùng lập minh ước rồi bãi binh.
终不得入中 城。 乃罢而引归。	Rốt cuộc không vào được trong thành, bèn bãi binh rồi đưa quân về.
初，贰师起敦煌西，以为人多，道上国不能食，乃分为数军，从 南北道。	Ban đầu, Nhị Sư tướng quân xuất phát từ phía tây Đôn Hoàng, cho là mình đông quân, các nước trên đường đi không chịu cấp lương thực, bèn chia quân làm mấy cánh, theo hai đường nam bắc.
郁成王亡走康 居，桀追至康居。	Úc Thành vương chạy trốn đến Khang Cừ, Kiệt đuổi đến Khang Cừ.
康居闻汉已破宛，乃出郁成王予桀，桀令四骑士缚 守诣大将军。	Khang Cừ nghe tin quân Hán đã phá được Đại Uyển, bèn đem Úc Thành vương ra trao cho Kiệt, Kiệt sai bốn kỵ sĩ trói lại đưa đến chỗ Đại tướng quân.
四人相谓 曰：“郁成王汉国所毒，今生将去，卒失大事。”	Bốn người cùng bảo nhau rằng: “Úc Thành vương là người nhà Hán căm hận, nay để sống đưa đi, thình lình trốn thoát, đó là việc lớn.”
欲杀，莫敢先击。	Định giết, không ai dám ra tay trước.
初，贰师後行，天子使使告乌孙，大发兵并力击宛。	Ban đầu, Nhị Sư tướng quân xuất quân lần hai, thiên tử sai sứ báo với Ô Tôn, phát đại quân cùng hợp sức đánh Đại Uyển.
乌孙发二千 骑往，持两端，不肯前。	Ô Tôn phát động hai nghìn kỵ binh đến giúp, nghe ngóng hai bên, không chịu tiến trước.
贰师将军之东，诸所过小国闻宛破，皆使其 子弟从军入献，见天子，因以为质焉。	Nhị Sư tướng quân đem quân sang đông, các nước nhỏ trên đường đi qua nghe tin Đại Uyển bị phá, đều sai con em theo quân vào dâng cống, triều kiến thiên tử, rồi ở lại làm con tin.
天子为万里而伐宛，不录过，封广利为 海西侯。	Thiên tử cho là [Nhị Sư tướng quân đem quân] đi muôn dặm để đánh Đại Uyển, nên không ghi lỗi, phong Quảng Lợi làm Hải Tây hầu.
伐宛再反，凡四岁而得罢焉。	Chinh phạt Đại Uyển lần hai trở về, cả thảy bốn năm rồi được bãi binh.
汉已伐宛，立昧蔡为橡王而去＃岁馀，宛贵人以为昧蔡善谀，使 我国遇侠，乃相与杀昧蔡，立毋寡昆弟曰蝉封为宛王，而遣其子入质 於汉。	Nhà Hán đánh xong Đại Uyển, lập Muội Sái làm Uyển vương rồi rút về. Được hơn một năm, quý nhân ở Đại Uyển cho là Muội Sái giỏi a dua, khiến nước mình bị tàn sát, bèn cùng nhau giết Muội Sái, lập anh em Vô Quả là Thiền Phong làm Uyển vương, rồi sai con trai Thiền Phong vào làm con tin nhà Hán.
汉因使使赂赐以镇抚之。	Nhà Hán nhân đó sai sứ đến ban tặng để vỗ yên họ.
而汉发使十馀辈至宛西诸外国，求奇物，因风览以伐宛之威德。	Rồi nhà Hán phái hơn chục sứ đoàn đến các nước nhỏ phía tây Đại Uyển để tìm vật lạ, nhân đó khéo léo khuếch trương uy đức của việc chinh phạt Đại Uyển.
而仑头有田卒数百人，因置使者护田积粟，以给使外 国者。	Còn ở Luân Đầu có mấy trăm lính đóng đồn điền, nhân đó lập sứ giả nhằm bảo vệ đồn điền, tích trữ lương thảo, để cấp cho sứ giả sang nước ngoài.
今自张骞使大夏之後也， 穷河源，恶睹本纪所谓昆仑者乎？	Nay từ sau khi Trương Khiên đi sứ Đại Hạ, đến tận nguồn sông Hoàng Hà, vậy sao còn núi Côn Lôn đề cập trong Bản kỷ nữa?
堂邑父故胡人，善射，穷急 射禽兽给食。	Đường Ấp Phủ vốn là người Hồ, giỏi bắn cung, khi cùng quẫn thì bắn cầm thú làm thức ăn.
其北则康居，西则大月氏，西南则大夏，东北则 乌孙，东则扜鰛、 于窴。 于窴之西，则水皆西流，注西海；其东 水东流，注盐泽。 盐泽潜行地下，其南则河源出焉。 多玉石，河注中国。	Rằng: “Đại Uyển ở phía tây nam Hung Nô, phía tây nhà Hán, cách nhà Hán chừng vạn dặm. Phong tục của họ là định cư, cày ruộng, ruộng trồng lúa mạch. Có rượu nho. Nhiều ngựa tốt, có giống ngựa hãn huyết, tổ tiên của nó là con của loại thiên mã (ngựa trời). Có thành quách, nhà cửa, phòng ốc. Thuộc ấp của Đại Uyển lớn nhỏ gồm trên bảy mươi thành, dân đông mấy chục vạn. Quân lính dùng cung, giáo, cưỡi ngựa bắn cung. Phía bắc Đại Uyển là Khang Cừ, tây là Đại Nguyệt Chi, tây nam là Đại Hạ, đông bắc là Tôn, đông là Hu Di, Vu Điện. Phía tây Vu Điện, các dòng sông đều chảy về tây, đổ vào Tây Hải; các dòng sông phía đông chảy theo hướng đông, đổ vào Diêm Trạch. Diêm Trạch chảy ngầm dưới lòng đất, phía nam Diêm Trạch là đầu nguồn của Hoàng Hà. Nhiều ngọc thạch, sông Hoàng Hà đổ vào Trung nguyên. Còn Lâu Lan, Cô Sư đều có thành quách, gần kề Diêm Trạch. Diêm Trạch cách Trường An độ năm nghìn dặm. Mạn phải của Hung Nô cư trú ở Diêm Trạch về hướng đông, đến Trường thành ở Lũng Tây, phía nam tiếp giáp rợ Khương, cách biệt với đường nhà Hán. Tôn ở phía đông bắc Đại Uyển chừng hai nghìn dặm, là nước du mục, di chuyển theo đàn súc vật, phong tục giống Hung Nô. Quân cung nỏ có mấy vạn, dũng cảm tác chiến. Trước đây quy phục Hung Nô, đến lúc thịnh, danh nghĩa bị ràng buộc, nhưng không chịu đến triều hội Hung Nô. Khang Cừ ở tây bắc Đại Uyển chừng hai nghìn dặm, là nước du mục, phong tục phần lớn giống Nguyệt Chi. Quân cung nỏ có tám chín vạn. Là nước lân cận với Đại Uyển. Nước nhỏ, mặt nam chịu ràng buộc và phụng thờ Nguyệt Chi, phía đông chịu ràng buộc và phụng thờ Hung Nô. Yêm Sái ở phía tây bắc Khang Cừ độ hai nghìn dặm, là nước du mục, phong tục phần lớn giống Khang Cừ. Quân cung nỏ có trên chục vạn. Gần kề đầm lớn, không bờ, đại để chính là Bắc Hải vậy. Đại Nguyệt Chi ở phía tây Đại Uyển chừng hai ba nghìn dặm, nằm ở phía bắc Quy Thủy. Phía nam là Đại Hạ, tây là An Tức, bắc là Khang Cừ. Là nước du mục, dời chuyển theo đàn vật nuôi, phong tục giống Hung Nô. Quân cung nỏ có một hai chục vạn. Trước đây hùng mạnh, coi khinh Hung Nô. Đến khi Mặc Đốn lên ngôi, đánh phá Nguyệt Chi. Đến Lão Thượng thiền vu của Hung Nô, giết vua Nguyệt Chi, lấy đầu làm đồ đựng rượu uống. Ban đầu Nguyệt Chi ở khoảng Đôn Hoàng, Kỳ Liên, đến khi bị Hung Nô đánh bại, bèn rời đi xa, qua đất Uyển, sang phía tây đánh Đại Hạ rồi thần phục được Đại Hạ, bèn đóng đô ở phía bắc Quy Thủy, lấy làm vương đình. Ngoài ra một bộ phận nhỏ không thể đi được, ở lại giữ Sơn Nam Khương, hiệu là Tiểu Nguyệt Chi. An Tức ở phía tây Đại Nguyệt Chi độ mấy nghìn dặm. Phong tục An Tức định cư, cày ruộng, ruộng trồng lúa mạch, có rượu nho. Thành ấp giống như Đại Uyển. Phụ thuộc An Tức lớn nhỏ gồm mấy trăm thành, đất vuông mấy nghìn dặm, là nước lớn nhất. Gần kề Quy Thủy, có chợ búa, dân buôn bán dùng xe và thuyền, đi đến các nước lân cận có khi xa đến mấy nghìn dặm. Lấy bạc làm tiền, tiền đúc theo mặt vua nước đó, vua chết liền đổi tiền, tiền đúc theo mặt nhà vua. Vẽ các ký tự theo hàng trên tấm da coi là văn tự ghi chép. Phía tây An Tức là Điều Chi, phía bắc là Yêm Sái, Lê Hiên. Điều Chi ở phía tây An Tức chừng mấy nghìn dặm, gần kề Tây Hải. Nóng và ẩm thấp. Cày ruộng, ruộng trồng lúa tẻ. Có giống chim lớn, trứng to như chiếc vò. Dân chúng rất đông, thường có tiểu quân trưởng, nhưng bị phụ thuộc vào An Tức, bị coi là phên giậu bên ngoài. Nước ấy giỏi quỷ thuật. Trưởng lão ở An Tức nói rằng Điều Chi có sông Nhược Thủy, Tây Vương Mẫu, nhưng chưa từng thấy. Đại Hạ ở phía tây nam Đại Uyển độ hai nghìn dặm, ở phía nam Quy Thủy. Phong tục định cư, có thành và phòng ốc, phong tục giống Đại Uyển. Không có đại [quân] trưởng, thông thường thành ấp thiết đặt tiểu trưởng. Quân Đại Hạ yếu, sợ đánh nhau. Giỏi buôn bán. Đến khi Đại Nguyệt Chi rời sang phía tây, đánh bại Đại Hạ, khiến Đại Hạ phải thần phục. Đại Hạ dân đông, chừng trên trăm vạn. Kinh đô là thành Lam Thị, có chợ mua bán vật phẩm. Phía đông nam có nước Quyên Độc”.
其西则条枝，北 有奄蔡、黎轩。 条枝在安息西数千里，临西海。 暑湿。 耕田，田稻。	Phía bắc bị đất Để, đất Tạc ngăn cách; phía nam bị đất Tây, đất Côn Minh ngăn cách.
匈奴围李将军，军失亡 多；而骞後期当斩，赎为庶人。	Hung Nô bao vây Lý tướng quân, quân tổn thất và thương vong nhiều, còn Khiên sau đáng tội chém, được chuộc tội làm dân thường.
其明年，浑邪王率其民降汉，而金城、河西西并南山至盐泽空 无匈奴。	Năm sau, Hồn Da vương dẫn dân đến hàng nhà Hán, từ Kim Thành, Hà Tây sang phía tây và từ Nam Sơn đến thẳng Diêm Trạch một dải đều không còn Hung Nô.
大禄怒其不 得代太子也，乃收其诸昆弟，将其众畔，谋攻岑娶及昆莫。	Đại Lộc giận vì mình không được thay làm Thái tử, bèn tập hợp anh em lại, thống lãnh bộ chúng làm phản, tính kế tấn công Sầm Thú và Côn Mạc.
昆莫老， 常恐大禄杀岑娶，予岑娶万馀骑别居，而昆莫有万馀骑自备，国众分 为三，而其大总取羁属昆莫，昆莫亦以此不敢专约於骞。	Côn Mạc tuổi cao, thường sợ Đại Lộc giết Sầm Thú, bèn cho Sầm Thú hơn vạn quân kỵ ra ở chỗ riêng, còn Côn Mạc có hơn vạn quân kỵ để tự vệ, bộ chúng trong nước chia làm ba, đại thể quy thuộc Côn Mạc, Côn Mạc cũng vì thế nên không dám tự ước định với Khiên.
骞因分遣副使使大宛、康居、大月氏、大夏、安息、身毒、于 窴、扜鰛及诸旁国。	Khiên nhân đó phái các Phó sứ đi sứ đến Đại Uyển, Khang Cừ, Đại Nguyệt Chi, Đại Hạ, An Tức, Quyên Độc, Vu Điện, Hu Di cùng các nước lân cận.
而楼 兰、姑师小国耳，当空道，攻劫汉使王恢等 尤甚。	Còn Lâu Lan, Cô Sư là nước nhỏ, ở chỗ qua lại quan trọng, đánh cướp đoàn sứ nhà Hán là Vương Khôi mạnh nhất.
其明 年，击姑师，破奴与轻骑七百馀先至，虏楼兰王，遂破姑师。	Năm sau, đánh nước Cô Sư, Triệu Phá Nô cùng trên bảy trăm quân khinh kỵ đến trước, bắt sống Lâu Lan vương, rồi phá nước Cô Sư.
乌孙以千匹马聘汉女，汉遣宗室女江都翁主 往妻乌孙，乌孙王昆莫以为右夫人。	Tôn đem nghìn con ngựa làm sính lễ cầu hôn ông chúa nhà Hán, nhà Hán sai con gái trong tông thất là ông chúa của Giang Đô vương gả cho Ô Tôn, quốc vương Ô Tôn là Côn Mạc cho làm Hữu phu nhân.
乌孙多马，其 富人至有四五千匹马。	Ô Tôn có nhiều ngựa, người giàu có đến bốn năm nghìn con.
初，汉使至安息，安息王令将二万骑迎於东界。	Hồi đầu, sứ giả nhà Hán đến An Tức, An Tức vương sai đem hai vạn kỵ binh nghinh đón ở biên giới phía đông.
东界去王都数千 里。	Biên giới phía đông cách vương đô mấy nghìn dặm.
及宛西小国驩潜、大益，宛东姑师、扞鰛、苏薤之属，皆随汉使献见 天子。	Đến như các nước nhỏ phía tây đất Uyển như Hoan Tiềm, Đại Ích; ở phía đông đất Uyển như Cô Sư, Hu Di, Tô Giới, đều theo sứ nhà Hán dâng tiến lên thiên tử.
而汉使穷河源，河源出于窴，其山多玉石，采来， 天子案古图书，名河所出山曰昆仑云。	Rồi sứ nhà Hán đến tận đầu nguồn sông Hoàng Hà, nguồn sông Hoàng Hà chảy từ Vu Điện, núi đó nhiều ngọc thạch, lấy mang về, thiên tử tra xét trong sách cổ, tên núi, nơi phát nguyên sông Hoàng Hà là núi Côn Lôn.
是时上方数巡狩海上，乃悉从外国客，大都多人则过之，散财帛 以赏赐，厚具以饶给之，以览示汉富厚焉。	Bấy giờ Hoàng thượng đang nhiều lần tuần thú ven biển, mỗi lần đều cho hết thảy khách nước ngoài đi theo, đi qua đô thành lớn đông người, phát tán của cải lụa là để ban thưởng, dùng cỗ thật hậu để cấp đãi, nhằm tỏ ra nhà Hán giàu có.
俗嗜酒，马嗜苜蓿。	Phong tục ở đó thích uống rượu, ngựa thích ăn rau mục túc.
及天马多，外国使来众，则离宫别观旁尽种 蒲萄、苜蓿极望。	Đến khi có nhiều thiên mã, sứ nước ngoài đến đông, thì cạnh ly cung biệt quan thảy đều trồng nho, mục túc, trông hút tầm mắt.
其人皆深眼，多须珣，善市贾，争分铢。	Người ở đó đều mắt sâu, nhiều râu, giỏi buôn bán, tranh nhau kiếm tiền.
天子既好宛马，闻之甘心，使壮士 车令等持千金及金马以请宛王贰师城善马。	Thiên tử đã có ngựa của Đại Uyển, nghe vậy cao hứng, sai bọn tráng sĩ là Xa Lệnh mang nghìn vàng cùng ngựa vàng để đổi lấy ngựa tốt ở Nhị Sư Thành của Đại Uyển vương.
诸尝使宛 姚定汉等言宛兵弱，诚以汉兵不过三千人，彊弩射之，即尽虏破宛 矣。	Những người từng đi sứ Đại Uyển như bọn Diêu Định Hán nói Đại Uyển quân yếu, nếu đem chưa đầy ba nghìn quân Hán, dùng nỏ cứng bắn, có thể cướp phá được Đại Uyển.
天子已尝使浞野侯攻楼兰，以七百骑先至，虏其王，以定汉等言 为然，而欲侯宠姬李氏，拜李广利为贰师将军，发属国六千骑，及郡 国恶少年数万人，以往伐宛。	Thiên tử đã từng sai Trác Dã hầu tấn công Lâu Lan, đem bảy trăm kỵ binh đến trước, bắt sống vua Lâu Lan, nên cho lời bọn Định Hán nói là phải, muốn phong hầu cho người nhà sủng cơ họ Lý, phong Lý Quảng Lợi làm Nhị Sư tướng quân, phát động sáu nghìn kỵ binh thuộc quốc, cùng mấy vạn thanh niên hung tợn ở các quận trong nước, đi chinh phạt Đại Uyển.
期至贰师城取善马，故号“贰师将 军”。	Vì kỳ vọng đến Nhị Sư Thành để bắt lấy ngựa tốt nên hiệu là “Nhị Sư tướng quân”.
而关东蝗大起，蜚西至敦煌。	Còn Quan Đông châu chấu nổi lên khắp nơi, bay theo hướng tây đến tận Đôn Hoàng.
贰师将军军既西过盐水，当道小国恐，各坚城守，不肯给食。	Quân của Nhị Sư tướng quân đã sang phía tây, qua Diêm Thủy, các nước nhỏ trên đường đều sợ, giữ vững thành trì, không chịu cấp lương thực.
引兵而还。	Liền dẫn quân về.
公卿及议者皆原罢击宛军，专 力攻胡。	Các công khanh cùng đại thần bàn nghị đều xin ngừng việc đánh Đại Uyển, tập trung sức đánh Hung Nô.
牛十万，马三万馀匹， 驴骡橐它以万数。	Trâu mười vạn con, ngựa hơn ba vạn, lừa, la, lạc đà hàng vạn.
多赍粮，兵弩甚设，天下骚动，传相奉伐宛，凡五 十馀校尉。	Đem theo nhiều lương thảo, binh khí, cung nỏ đầy đủ. Thiên hạ rúng động, truyền nhau vâng lệnh đi đánh Đại Uyển, có đến hơn năm mươi Hiệu úy.
宛王城中无井，皆汲城外流水，於是乃遣水工徙其城下水 空以空其城。	Trong vương thành Đại Uyển không có giếng, đều phải múc nước từ dòng nước ngoài thành, thế là bèn sai thợ thủy lợi nắn dòng chảy dòng nước dưới thành để trong thành không còn nước.
益发戍甲卒十八万，酒泉、张掖北，置居 延、休屠以卫酒泉， 而发天下七科適， 及载Я给贰师。	Lại phát động thêm mười tám vạn quân, đến Tửu Tuyền, Trương Dịch ở phía bắc, lập hai huyện Cư Diên và Hưu Đồ để bảo vệ Tửu Tuyền. Rồi phát động bảy hạng người đang bị lưu đày đi tải lương cấp cho Nhị Sư tướng quân.
而拜习马者二人为执驱校尉，备破宛择取其善马云。	Rồi phong hai người am hiểu về ngựa làm Chấp khu Hiệu úy, chuẩn bị sau khi đánh hạ Đại Uyển sẽ chọn lấy ngựa tốt.
於是贰师後复行，兵多，而所至小国莫不迎，出食给军。	Thế rồi Nhị Sư tướng quân lại xuất chinh, quân đông, đi qua nước nhỏ, không nước nào không nghinh đón, mang đồ ăn cấp cho quân.
贰师兵欲行攻 郁成，恐留行而令宛益生诈，乃先至宛，决其水源，移之，则宛固已 忧困。	Quân của Nhị Sư tướng quân muốn đi đánh Úc Thành, sợ không hành quân ngay sẽ khiến Đại Uyển thêm gian trá, liền đến Đại Uyển trước, khơi thông đầu nguồn sông, thay đổi dòng chảy, làm thế Đại Uyển sẽ nguy khốn.
贰师与赵 始成、李哆等计：“闻宛城中新得秦人，知穿井，而其内食尚多。所 为来，诛首恶者毋寡。毋寡头已至，如此而不许解兵，则坚守，而康 居候汉罢而来救宛，破汉军必矣。”	Nhị Sư tướng quân cùng bọn Triệu Thủy Thành, Lý Xỉ tính kế: “Nghe nói trong thành Đại Uyển mới có được người nước Tần, biết đào giếng, mà trong thành lương thực vẫn còn nhiều. Sở dĩ đến đây, là giết kẻ thủ ác Vô Quả. Đầu Vô Quả đã đưa đến, mà không đồng ý giải vây, họ sẽ cố thủ, còn Khang Cừ dò xét thấy quân Hán mỏi mệt sẽ đến cứu Đại Uyển, ắt họ phá được quân Hán.”
郁成城 守，不肯给食其军。	Thành Úc Thành cố thủ, không chịu cấp lương cho quân Hán.
王申生去大军二百里，而轻之，责郁成。	Vương Thân Sinh rời khỏi đại quân hai trăm dặm, cậy có chỗ dựa nên xem thường Úc Thành, trách vấn Úc Thành.
贰师之伐宛也，而军正赵始成 力战，功最多；及上官桀敢深入，李哆为谋计，军入玉门者万馀人， 军马千馀匹。	Nhị Sư tướng quân đi chinh phạt Đại Uyển, Quân chính là Triệu Thủy Thành ra sức chiến đấu, công lao nhiều nhất; đến khi Thượng Quan Kiệt dám tiến sâu vào địch, Lý Xỉ vạch kế cho, hơn một vạn quân cùng hơn nghìn chiến mã vào cửa Ngọc Môn.
贰师後行，军非乏食，战死不能多，而将吏贪，多不爱 士卒，侵牟之，以此物故众。	Nhị Sư tướng quân xuất quân lần hai, quân không bị thiếu lương, đánh trận chết không lớn, nhưng tướng lĩnh quan lại tham lam, phần nhiều không xót sĩ tốt, xâm hại đến họ, vì thế người chết rất nhiều.
军官吏为九卿者三人，诸侯 相、郡守、二千石者百馀人，千石以下千馀人。	Các quan lại trong quân có ba người được làm Cửu khanh, hơn trăm người chư hầu tướng, Quận thú, quan trật hai nghìn thạch, hơn nghìn người được làm quan trật nghìn thạch trở xuống.
奋行者官过其望， 以適过行者皆绌其劳。	Những người phấn chấn đi viễn chinh được thăng quan quá cả mong muốn, người nào có tội phải đi đều được lấy công chuộc tội, không tính là có công.
而敦煌置酒泉都尉； 西至盐 水，往往有亭。	Rồi thiết lập chức vô úy Tửu Tuyền tại Đôn Hoàng; phía tây đến Diêm Thủy, các chỗ đều có đình trạm.
太史公曰：禹本纪言“河出昆仑。昆仑其高二千五百馀里，日月 所相避隐为光明也。其上有醴泉、瑶池”。	Thái sử công bàn rằng: Sách Vũ bản kỷ viết: “Hoàng Hà xuất phát từ núi Côn Lôn. Côn Lôn cao hơn hai nghìn năm trăm dặm, mặt trời mặt trăng cùng ẩn ở đó rồi chiếu sáng. Trên núi có Lễ Tuyền và Dao Trì.”
故言九州山川，尚书近之矣。 至禹本纪、山海经所有怪 物，余不敢言之也。 大宛之迹，元因博望。 始究河源，旋窥海上。	Cho nên nói về núi sông trong chín châu thì Thượng thư gần với sự thực.
昆莫起拜赐，其他如故。	Côn Mạc dậy vái tạ tặng thưởng, các lễ khác vẫn như cũ.
自博望侯开外国道以尊贵，其後从吏卒皆争上书言外国奇怪利 害，求使。	Từ Bác Vọng hầu mở đường đến các nước bên ngoài rồi được tôn quý, về sau, quan quân theo đi sứ đua nhau dâng thư, nói về các điều lạ cùng việc lợi hại ở các nước bên ngoài, xin được đi sứ.
赵始成为军正，故浩侯王恢使导军， 而李哆为校尉， 制军事。	Triệu Thủy Thành làm Quân chính, Hạo hầu trước đây là Vương Khôi làm hướng đạo quân đội, còn Lý Xỉ làm Hiệu úy, xử lý các việc trong quân.
贰师将军与哆、始 成等计：“至郁成尚不能举，况至其王都乎？”	Nhị Sư tướng quân cùng bọn Xỉ, Thủy Thành bàn tính: “Ngay Úc Thành còn không hạ được, huống chi là quốc đô của họ?”
校尉王申生、故鸿胪壶充国等千馀人，别到郁成。	Bọn Hiệu úy Vương Thân Sinh, Hồng lô Hồ Sung Quốc trước đây trên nghìn người, theo đường riêng đến Úc Thành.
郁成食 不肯出，窥知申生军日少，晨用三千人攻，戮杀申生等，军破，数人 脱亡，走贰师。	Úc Thành không chịu giao lương, nghe ngóng biết quân Thân Sinh ngày một giảm bớt, sáng sớm đem ba nghìn quân tấn công, giết được bọn Thân Sinh, quân bị đánh tan, mấy người trốn thoát, chạy về chỗ Nhị Sư tướng quân.
上邽骑士赵弟最少，拔剑击之，斩郁成王，赍头。	Kỵ sĩ ở Thương Khuê là Triệu Đệ ít tuổi nhất, tuốt kiếm chém Úc Thành vương, mang đầu theo.
弟、桀等逐及大将 军。	Bọn Đệ, Kiệt đuổi kịp đại tướng quân.
又封身斩郁成王者骑士赵弟为新畤侯。	Lại phong kỵ sĩ Triệu Đệ, người chém đầu Úc Thành vương, làm Tân Trĩ hầu.
军正赵始成为光禄大 夫，上官桀为少府，李哆为上党太守。	Quân chính Triệu Thủy Thành phong làm Quang lộc đại phu, Thượng Quan Kiệt làm Thiếu phủ, Lý Xỉ làm Thái thú Thượng Đảng.
士卒赐直四万金。	Sĩ tốt được ban tặng đến bốn vạn tiền vàng.
因益发使抵安息、奄蔡、黎轩、条枝、身毒 国。	Nhân đó, càng tăng cường phái sứ giả đến An Tức, Yêm Sái, Lê Hiên, Điều Chi, Quyên Độc.
转车人徒相连属至敦 煌。	Người chuyển xe lương nối nhau đến tận Đôn Hoàng.
於是置益州、越 巂、牂柯、沈黎、汶山郡，欲地接以前通大夏。	Thế là liền đặt các quận Ích Châu, Việt Tây, Tang Kha, Thẩm Lê, Vấn Sơn, muốn đất đai tiếp liền về trước thông đến Đại Hạ.
於是汉发三辅罪人，因巴 蜀士数万人，遣两将军郭昌、卫广等往击昆明之遮汉使者， 斩首虏数万人而去。	Thế rồi nhà Hán huy động tội nhân Tam phụ, thêm mấy vạn quân sĩ đất Ba và đất Thục, sai hai tướng là Quách Xương và Vệ Quảng đến đánh bọn chặn sứ nhà Hán ở Côn Minh, bắt chém mấy vạn người rồi rút về.
来还不能毋侵盗币物，及使失 指，天子为其习之，辄覆案致重罪，以激怒令赎，复求使。	Đi hay về, dù bị cướp mất tiền của, hay sứ giả làm trái ý chỉ, thiên tử để họ quen dần, rồi xét kỹ án trạng để khép vào trọng tội, rồi khích nộ khiến họ chuộc tội, lại xin đi sứ.
於是大觳抵，出奇戏诸怪 物，多聚观者，行赏赐，酒池肉林，令外国客遍观仓库府藏之积，见 汉之广大，倾骇之。	Thế rồi cử hành cuộc đấu vật lớn, bày trò chơi lạ, cùng các vật hiếm thấy, tụ tập nhiều người đến xem, tiến hành ban thưởng, rượu như ao, thịt như rừng, lệnh khách nước ngoài xem hết lượt đồ tích trữ trong kho đụn, để thấy sự rộng lớn của nhà Hán, khiến họ vô cùng kinh ngạc.
贰师恐，因留敦 煌。	Nhị Sư tướng quân sợ, nhân đó ở lại Đôn Hoàng.
贰师令搜粟都尉上官桀往攻破郁成。	Nhị Sư tướng quân lệnh cho Sưu túc đô uý là Thượng Quan Kiệt đến đánh phá Úc Thành.
