卫康叔 名封，周武王同母少弟也。	Vệ Khang thúc tên là Phong, là em cùng mẹ với Chu Vũ vương.
太子伋母死，宣 公正夫人与朔共谗恶太子伋。	Mẹ Thái tử Cấp chết đi, chính phu nhân của Tuyên công và Sóc cùng gièm pha nói xấu Thái tử Cấp.
寿见太子不止，扑盗其沧旄而先驰至界。	Thọ thấy Thái tử vẫn lên đường, liền trộm cờ mao trắng của Thái tử rồi ruổi ngựa chạy đến biên giới trước.
惠公立三年出亡，亡八年复 入，与前通年凡十三年矣。	Huệ công lên ngôi được ba năm thì phải chạy ra ngoài, lưu vong tám năm rồi về, tính gộp cả thời gian trước khi lên ngôi là mười ba năm.
懿公即位，好鹤， 淫乐奢侈。	Ý công lên ngôi, thích chim hạc, chìm đắm vào hưởng lạc xa xỉ.
十六年，晋公子重耳过，无礼。	Năm thứ mười sáu, công tử nước Tấn là Trùng Nhĩ qua nước Vệ, [Vệ quân] không dùng lễ đãi.
晋更从南河度， 救 宋。	Nước Tấn chuyển sang vượt sông Nam Hà để cứu nước Tống.
晋文公重耳伐卫，分其地予宋，讨 前过无礼及不救宋患也。	Tấn Văn công Trùng Nhĩ thảo phạt nước Vệ, chia đất của nước Vệ cho nước Tống, hỏi tội trước kia vô lễ và không ứng cứu khi nước Tống gặp nguy.
已 而周为请晋文公，卒入之卫，而诛元(cid:0)亘，卫君瑕出饹。	Sau đó nhà Chu xin Tấn Văn công giúp cho Vệ Thành công, cuối cùng [Vệ Thành công] được đưa về Vệ, rồi giết Nguyên Huyến, Vệ quân Hà chạy ra nước ngoài.
三十 五年，成公卒， 子穆公(cid:0)立。	Năm thứ ba mươi lăm, Thành công chết, con là Mục công Tốc lên thay.
三年，楚庄王围郑，郑降， 复释之。	Năm thứ ba, Sở Trang vương bao vây nước Trịnh, nước Trịnh đầu hàng, [nước Sở ] lại giải vây.
十一年，孙良夫救鲁伐齐，复得侵地。	Năm thứ mười một, Tôn Lương Phu cứu nước Lỗ, thảo phạt nước Tề, thu lại các đất đã bị chiếm.
献公十三年，公令师曹教宫妾鼓琴， 妾不善，曹笞之。	Hiến công năm thứ mười ba, Hiến công lệnh cho nhạc sư Sư Tào dạy đàn cầm cho người thiếp trong cung, người thiếp không chịu học, Tào đánh đòn người thiếp đó.
妾以幸恶曹於公，公亦笞曹三百。	Người thiếp cậy mình được sủng ái nên nói xấu Tào với Hiến công, Hiến công cũng đánh Tào ba trăm roi.
十八年， 献公戒孙文子、甯惠子食，皆往。	Năm thứ mười tám, Hiến công hẹn Tôn Văn tử và Nịnh Huệ tử đến để cùng dùng tiệc, hai người đều tới.
献公奔齐，齐置 卫献公於聚邑。	Hiến công chạy sang nước Tề, nước Tề sắp xếp cho Vệ Hiến công ở ấp Tụ.
十二年，甯喜与孙林父争宠相 恶，殇公使甯喜攻孙林父。	Năm thứ mười hai, Ninh Hỷ và Tôn Lâm Phủ vì tranh sủng nên ghét nhau, Thương công sai Ninh Hỷ đánh Tôn Lâm Phủ.
襄公六年，楚灵王会诸侯，襄公称病不往。	Tương công năm thứ sáu, Sở Linh vương hội họp chư hầu, Tương công thác bệnh không đi.
灵公五年，朝晋昭公。	Linh công năm thứ năm, triều kiến Tấn Chiêu công.
灵公 怒，太子蒯聩饹宋，已而之晋赵氏。	Linh công tức giận, Thái tử Khoái Hội bỏ chạy sang nước Tống, sau đó lại sang họ Triệu ở nước Tấn.
郢对曰：“郢不足以辱社稷，君更图之。”	Dĩnh đáp: “Dĩnh không đủ khả năng, sợ làm nhục đến xã tắc, xin vua cha nghĩ cách khác.”
卫人闻之，发 兵击蒯聩。	Người Vệ nghe tin đó, phát binh đánh Khoái Hội.
蒯聩不得入，入宿而保，卫人亦罢兵。	Khoái Hội không về được, lánh vào ấp Túc, người Vệ cũng bãi binh.
出公辄四年，齐田乞弑其君孺子。	Xuất công Triếp năm thứ tư, Điền Khất nước Tề giết vua nước mình là Nhụ tử.
九年，孔文子问兵於仲尼，仲尼不对。	Năm thứ chín, Khổng Văn tử hỏi Trọng Ni về việc binh, Trọng Ni không đáp.
其後鲁迎 仲尼，仲尼反鲁。	Sau đó, nước Lỗ nghênh đón Trọng Ni, Trọng Ni về lại nước Lỗ.
十二年，初，孔圉文子取太子蒯聩之姊，生悝。	Năm thứ mười hai, ban trước, Khổng Ngữ Văn tử lấy chị của Thái tử Khoái Hội, sinh con là Lý.
孔氏之竖浑良夫 美好，孔文子卒，良夫通於悝母。	Gia thần của họ Khổng là Hồn Lương Phu tuấn tú, Khổng Văn tử chết đi, Lương Phu bèn tư thông với mẹ của Lý.
太子在宿，悝母使良夫於太子。	[Khi ấy] Thái tử đang ở đất Túc, mẹ của Lý sai Lương Phu đến chỗ Thái tử.
闰月，良夫与太子入，舍孔氏之外 圃。	Tháng nhuận, Lương Phu và Thái tử về nước, rồi nghỉ tạm ở vườn phía ngoài nhà họ Khổng.
昏，二人蒙衣而乘， 宦者罗御，如 孔氏。	Đến khi trời tối, hai người giả mặc trang phục phụ nữ lấy khăn trùm kín đầu rồi cùng lên xe, hoạn quan là La đánh xe, đến nhà họ Khổng.
仲由将入，遇子羔将出， 曰：“门已闭矣。”	Trọng Do sắp vào tới, gặp Tử Cao đang chạy ra, [Tử Cao] nói: “Cổng đóng lại rồi.”
子羔 遂出。	Tử Cao liền chạy ra.
太子 闻之，惧，下石乞、盂黡敌子路， 以戈击之，割缨。	Thái tử nghe vậy, sợ hãi, lệnh cho Thạch Khất và Vu Yểm ra chống cự lại Tử Lộ, dùng qua để đánh, đứt cả dải mũ [của Tử Lộ].
结缨而死。	Buộc lại dải mũ rồi chết.
元年即位，欲尽 诛大臣，曰：“寡人居外久矣，子亦尝闻之乎？”	Trang công năm đầu lên ngôi, muốn giết hết các đại thần, mới bảo rằng: “Quả nhân lưu vong bên ngoài lâu ngày, các ngài cũng từng nghe qua chứ?”
三年，庄公上城，见戎州。	Năm thứ ba, Trang công lên trên thành, trông về Nhung Châu.
卫君起元年，卫石曼尃逐其君起， 起奔齐。	Vệ quân Khởi năm thứ nhất, Thạch Man Phố nước Vệ đuổi vua nước mình là Khởi, Khởi chạy sang nước Tề.
出公 後元年，赏从亡者。	Năm đầu sau khi xuất công trở về, thưởng cho những người theo mình lưu vong.
怀君三十一年，朝魏，魏囚杀怀君。	Hoài quân năm thứ ba mươi mốt, triều kiến nước Ngụy, nước Ngụy cầm tù rồi giết Hoài quân.
君角九年，秦并天下，立为始皇帝。	Quân Giác năm thứ chín, nước Tần thôn tính thiên hạ, lên ngôi rồi tự xưng là Thủy Hoàng đế.
孙文子子数侍公 饮，使师曹歌巧言之卒章。	Con của Tôn Văn tử nhiều lần hầu rượu Hiến công, [Hiến công] bảo nhạc sư Sư Tào hát chương cuối bài Xảo ngôn.
献公後元年，诛甯喜。	Năm đầu sau khi Hiến công về nước, giết Ninh Hỉ.
戏阳後悔，不果。	Sau đó Hy Dương hối lại, không dám làm nữa.
声 公十一年卒，子成侯(cid:0) 立。	Thanh công năm thứ mười một thì chết, con là Thành hầu Tốc lên thay.
元君十四年，秦拔魏东地， 秦初置东郡，更徙卫野王县， 而并濮阳 为东郡。	Nguyên quân năm thứ mười bốn, nước Tần hạ được đất phía đông nước Ngụy, nước Tần mới lập ra Đông Quận, rồi dời Vệ [quân] đến huyện Dã Vương, đồng thời chiếm Bộc Dương sáp nhập vào Đông Quận.
蒯聩与其徒戏阳(cid:0)谋，朝，使杀夫人。	Khoái Hội cùng đồ đảng của mình là Hy Dương Tốc bàn mưu, nhân khi triều kiến, sai [Hy Dương] giết phu nhân.
召护驾乘车， 行爵食 炙，奉出公辄奔鲁。	Thiệu Hộ lên thừa xa, vừa đi vừa uống rượu ăn thịt nướng, đưa xuất công tiếp chạy sang nước Lỗ.
六月乙酉，赵简子欲入蒯聩，乃令阳虎诈命卫十馀人衰绖归， 简子送蒯聩。	Ngày Ất Dậu tháng Sáu, Triệu Giản tử muốn đưa Khoái Hội về nước, bèn sai Dương Hổ lệnh cho hơn mười người Vệ giả mặc áo tang sang [nước Triệu] để đưa Thái tử về, Giản tử tiễn Khoái Hội.
栾甯将饮酒，炙未熟，闻乱，使告 仲由。	Loan Nịnh định chuẩn bị tiệc rượu, chưa kịp nướng chín thịt, nghe nói có loạn, liền sai người báo với Trọng Do.
