项籍者，下相人也， 字羽。 初起时，年二十 四。	Hạng Tịch, người Hạ Tương, tên tự là Vũ, khi mới khởi nghĩa, hai mươi tư tuổi.
曰：“我持白璧一 双，欲献项王，玉斗一双，欲与亚父，会其怒，不敢献。公为我献 之”张良曰：“谨诺。”	Đáp: “Ta cầm một đội ngọc bích trắng muốn dâng Hạng vương, một đội ngọc đẩu muốn biếu Á phụ, gặp lúc họ tức giận, ta không dám dâng. Ông dâng giùm ta!” Trương Lương đáp: “Xin vâng!”
当是时，项王军在鸿门下，沛公军在霸上， 相去四十里。	Lúc bấy giờ, Hạng vương đóng quân ở dưới Hồng Môn, Bái công đóng quân ở Bá Thượng, cách nhau bốn mươi dặm.
项王曰：“沛公安在？”	Hạng vương nói: “Bái công ở đâu rồi?”
良曰┱“闻大王 有意督过之，脱身独去，已至军矣。”	Lương đáp: “Nghe nói đại vương có ý trách tội, nên đã thoát thân một mình, về tới doanh trại rồi.”
亚父受玉斗，置之地，拔剑撞而破 之，曰：“唉！ 竖子不足与谋。夺项王天下者，必沛公也，吾属今为之虏 矣。”	Á phụ nhận ngọc đầu, đặt xuống đất, tuốt kiếm đập vỡ, nói: “Chao ôi! Thằng ranh con không đáng bàn việc cùng. Kẻ đoạt thiên hạ của Hạng vương ắt là Bái công. Bọn ta nay mai sẽ bị hắn bắt tù thôi.”
人或说项王曰：“关中阻山河四塞， 地肥饶，可都以 霸。”	Có thuyết khách khuyên Hạng vương rằng: “Vùng Quan Trung núi sông hiểm trở, chung quanh đều là nơi xung yếu, đất phì nhiêu, có thể đóng đô mà xưng bá.”
说者曰：“人言楚人沐猴而冠耳，果 然。”	Thuyết khách nói: “Người ta bảo người Sở chỉ là con khỉ đội mũ mà thôi, quả nhiên là thế.”
项王闻之，烹说者。	Hạng vương nghe vậy, liền nấu thuyết khách.
项王使人致命怀王。	Hạng vương sai người xin lệnh của Hoài vương.
怀王曰：“如约。”	Hoài vương nói: “Như đã hẹn!”
乃尊怀王为义帝。	Bèn tôn Hoài vương làm Nghĩa đế.
项王 欲自王，先王诸将相。	Hạng vương muốn tự xưng vương, liền phong vương cho các tướng trước.
谓曰：“天下初发难时， 假立诸侯後以伐秦。然身被坚执锐首事，暴露 於野三年，灭秦定天下者，皆将相诸君与籍之力 也。义帝虽无功，故当分其地而王之。”	Bảo rằng: “Khi thiên hạ mới nổi dậy, phải tạm thời lập hậu duệ của chư hầu để đánh Tần. Song mình khoác áo giáp, tay cầm kiếm kích khởi sự, xông pha ngoài nội ba năm, diệt Tần định thiên hạ, đều là công sức của các vị tướng lĩnh và Tịch ta vậy. Nghĩa đế không có công lao, nên ta phải chia đất mà xưng vương.”
诸将皆曰：“善。”	Các tướng đều nói: “Phải lắm!”
乃分天 下，立诸将为侯王。	Đoạn bèn phân chia thiên hạ, lập các tướng làm vương hầu.
乃曰：“巴、蜀亦关中地 也。”	Bèn nói: “Ba, Thục cũng là đất của Quan Trung vậy.”
而三分关中，王秦降将以距塞汉王。	Lại chia Quan Trung làm ba phần, phong vương cho hàng tướng của Tần để chống chọi Hán vương.
项王乃立章邯为雍 王，王咸阳以西，都废丘。	Hạng vương bèn lập Chương Hàm làm Ung vương, cai trị từ Hàm Dương trở về phía tây, đóng đô ở Phế Khưu.
长史欣者，故为栎阳狱掾，尝有德於项 梁；都尉董翳者，本劝章邯降楚。	Trưởng sử Hân trước kia làm quan coi ngục ở Lịch Dương, từng có ơn đức với Hạng Lương; đô úy Đổng Ế vốn khuyên Chương Hàm đầu hàng Sở.
故立司马欣为塞王， 王咸阳以东至河，都栎阳； 立董翳为翟王，王上郡，都高奴。	Vậy nên lập Tư Mã Hân làm Tắc vương, cai trị từ Hàm Dương trở về phía đông cho tới Hoàng Hà, đóng đô ở Lịch Dương. Lập Đổng Ế làm Địch vương, cai trị Thượng Quận, đóng đô ở Cao Nô.
韩王成因故都，都阳翟。	Hàn vương Thành vẫn ở kinh đô cũ, đóng đô ở Dương Địch.
徙赵王歇为代王。	Đổi phong Triệu vương Yết làm Đại vương.
当阳君黥布为楚将，常冠军，故立布为九江王， 都六。	Đường Dương quân Kình Bố làm tướng Sở, thường đứng đầu các quân, nên lập Bố làm Cửu Giang vương, đóng đô ở đất Lục.
徙燕王韩广为 辽东王。	Đổi phong Yên vương Hàn Quảng làm Liêu Đông vương.
田荣者，数负项梁，又不肯将兵从楚击 秦，以故不封。	Điền Vinh mấy lần phản Hạng Lương, lại không chịu đem quân theo Sở đánh Tần, vì vậy không phong.
项王自立为西楚霸王， 王九郡，都彭城。	Hạng vương tự lập làm Tây Sở Bá vương, cai trị chín quận, đóng đô ở Bình Thành.
汉之元年四月，诸侯罢戏下，各就国。	Tháng Tư, năm đầu tiên nhà Hán, chư hầu bãi binh ở sông Nghĩa Hạ, ai về nước ấy.
项王出之国，使人徙义帝， 曰：“古之帝者地方千里，必居上游。”	Hạng vương về nước phong, sai người khuyên Nghĩa đế dời đi, nói rằng: “Đế vương thời xưa đất vuông ngàn dặm, ắt đóng ở vùng thượng du.”
韩王成无军功，项 王不使之国，与俱至彭城，废以为侯，已又杀之。	Hàn vương Thành không có quân công, Hạng vương không cho về nước, bắt cùng tới Bành Thành, rồi phế làm hầu, xong lại giết đi.
齐王市畏项王，乃 亡之胶东就国。 田荣怒，追击杀之即墨。	Tề vương Thị sợ Hạng Vương, bèn chạy về Giao Đông. Điền Vinh nổi giận, đuổi đánh, giết Tề vương ở Tức Mặc.
陈馀阴使张同、夏说说齐王田荣曰：“项羽为天下宰，不 平。今尽王故王於丑地，而王其群臣诸将善地，逐其故主赵王，乃北 居代，馀以为不可。闻大王起兵，且不听不义，原大王资馀兵，请以 击常山，以复赵王，请以国为扞蔽。”	Trần Dư ngầm sai Trương Đồng, Hạ Duyệt khuyên Tề vương Điền Vinh rằng: “Hạng Vũ là chúa tể thiên hạ, nhưng không công bằng. Nay phong vua chư hầu xưa ở hết đất xấu, phong cho quần thần và các tướng của ông ta ở đất tốt, đuổi chúa cũ là Triệu vương lên phía bắc ở đất Đại, Dư tôi cho là không được. Nghe nói đại vương dấy binh, không chấp nhận những việc bất nghĩa, mong đại vương giúp cho Dư tôi một ít quân, tôi xin đem đánh Thường Sơn, để khôi phục đất của Triệu vương, xin lấy nước tôi làm lá chắn cho ngài.”
齐王许之，因遣兵之赵。	Tề vương bằng lòng, nhân phái quân đến Triệu.
陈馀 悉发三县兵，与齐并力击常山，大破之。	Trần Dư phát động tất cả quân ba huyện, cùng Tề hợp sức đánh Thường Sơn, đại phá quân địch.
陈馀迎故赵王 歇於代，反之赵。	Trần Dư đón Triệu vương Yết ở đất Đại, quay về Triệu.
赵王因立陈馀为代王。	Triệu vương nhân đó lập Trần Dư làm Đại vương.
是时，汉还定三秦。	Bấy giờ, quân Hán quay về bình định vùng Tam Tần.
项羽闻汉王皆已并关中，且东，齐、赵叛 之：大怒。 乃以故吴令郑昌为韩王，以距汉。	Hạng Vũ nghe nói Hán vương đã thôn tính Quan Trung, sắp đi về đông, Tề và Triệu làm phản, liền nổi giận, bèn cho huyện lệnh đất Ngô xưa là Trịnh Xương làm Hàn vương, để chống Hán.
汉 使张良徇韩，乃遗项王书曰：“汉王失职，欲得关中，如约即止，不 敢东。”	Hán vương sai Trương Lương đi tuần đất Hàn, rồi gửi Hạng vương bức thư, viết rằng: “Hán vương bị mất chức phong, muốn lấy Quan Trung, nếu theo giao ước thì sẽ dừng quân ngay, không dám tiến về đông.”
又以齐、梁反书遗项王曰：“齐欲与赵并灭楚。”	Lại đem thư phản của Tề, Lương gửi cho Hạng vương, viết rằng: “Tề muốn cùng Triệu hợp lại diệt Sở.”
楚以此故 无西意，而北击齐。	Sở vì vậy không có ý tiến quân về phía tây mà lên phía bắc đánh Tề.
徵兵九江王布。	Chiêu tập binh lính của Cửu Giang vương Bố.
项王由此怨布也。	Do vậy Hạng Vương oán Bố.
汉之二年冬，项羽遂北至城阳，田荣亦将兵会战。	Mùa đông, năm thứ hai nhà Hán, Hạng Vũ liền lên phía bắc tới Thành Dương, Điền Vinh cũng đem quân tới giao chiến.
齐人相聚而叛之。	Người Tề tụ tập lại làm phản.
项王因留，连战未能 下。	Hạng vương nhân vậy ở lại, liên tục giao chiến mà không hạ được.
春，汉王部 五诸侯兵， 凡五十六万人，东伐楚。	Mùa xuân, Hán vương cầm quân của năm nước chư hầu, gồm năm mươi sáu vạn người, tiến về phía đông đánh Sở.
项王闻之，即令诸将击齐，而自以精兵三万人南从鲁出胡陵。	Hạng vương nghe tin, lập tức lệnh cho các tướng đánh Tề, tự mình cầm ba vạn tinh binh về phía nam, từ Lỗ huyện ra Hồ Lăng.
汉军卻，为楚所挤， 多杀，汉卒十馀 万人皆入睢水，睢水为之不流。	Quân Hán rút lui, bị quân Sở dồn ép, giết rất nhiều. Hơn mười vạn quân Hán đều nhảy xuống sông Tuy, sông Tuy vì vậy không chảy được.
楚军大乱，坏散，而汉王乃得与数十骑遁 去，欲过沛，收家室而西；楚亦使人追之沛，取汉王家：家皆亡，不 与汉王相见。	Quân Sở rối to, chạy tán loạn, Hán vương mới cùng mấy chục kỵ binh trốn thoát. Hán vương muốn qua đất Bái, mang theo gia quyến cùng về phía tây. Sở cũng sai người đuổi tới đất Bái, bắt cả nhà Hán vương; người nhà đều trốn hết, không gặp được Hán vương.
曰：“虽急不可以驱， 柰何弃之？”	Đằng công bảo rằng: “Dẫu có vội vã cũng không thể ruổi ngựa nhanh hơn được, sao lại bỏ đi?”
於是遂得脱。	Thế rồi mới thoát được.
楚起於彭城，常乘胜逐北，与汉战 荥阳南京、索间，汉败楚， 楚以故不能过荥阳而西。	Sở phát quân ở Bình Thành, luôn thừa thắng ruổi lên phía bắc, cùng Hán giao chiến ở mạn Kinh – Sách phía nam Huỳnh Dương. Hán đánh bại Sở, Sở vì vậy không thể vượt Huỳnh Dương để tiến về phía tây.
项王欲听之。	Hạng vương muốn nghe theo.
项王乃与范增急围荥阳。	Hạng vương bèn cùng Phạm Tăng gấp rút bao vây Huỳnh Dương.
汉王患之， 乃用陈平计间项王。	Hán vương lo lắng, bèn dùng kế của Trần Bình ly gián Hạng vương.
项王使者来，为太牢具，举欲进之。	Sứ giả của Hạng vương tới, bèn làm cỗ thái lao, bưng lên định dâng.
见使者，详 惊愕曰：“吾以为亚父使者，乃反项王使者。”	Thấy sứ giả, và kinh ngạc mà nói: “Tôi tưởng là sứ giả của Á phụ, hóa ra lại là sứ giả của Hạng vương.”
更持去，以恶食食 项王使者。	Đoạn mang cỗ đi, đem thức ăn chán cho sứ giả của Hạng vương ăn.
使者归报项王，项王乃疑范增与汉有 私，稍夺之权。	Sứ giả về báo với Hạng vương, Hạng vương bèn ngờ Phạm Tăng có tư tình với Hán, dần lấy lại quyền hành của ông ta.
范增大怒，曰：“天下事大定矣，君王自为之。原赐 骸骨归卒伍。”	Phạm Tăng nổi giận, nói: “Việc thiên hạ đại thể đã định rồi, quân vương hãy tự lo. Xin cho nắm xương tàn này được trở về quê.”
项王许之。	Hạng vương bằng lòng.
汉将纪信说汉王曰：“事已急矣，请为王诳楚为王，王可以间 出。”	Tướng Hán là Kỷ Tín khuyên Hán vương rằng: “Việc đã gấp rồi, xin cho tôi vì nhà vua mà giả trang làm vua để lừa quân Sở, nhà vua có thể thừa cơ trốn thoát.”
於是汉王夜出女子荥阳东门被甲二千人，楚兵四面击之。	Thế rồi Hán vương ban đêm cho hai ngàn phụ nữ mặc áo giáp từ cửa đông thành Huỳnh Dương đi ra, quân Sở bốn mặt đánh vào.
楚军皆呼万 岁。	Quân Sở đều hô “vạn tuế”.
曰：“汉王 已出矣。”	Tín đáp: “Hán vương đã ra khỏi thành rồi?”
项王烧杀纪信。	Hạng vương liền thiêu chết Kỷ Tín.
周 苛、枞公谋曰：“反国之王，难与守城。”	Chu Hà và Thung Công bàn nhau: “Loại vua phản bạn, khó cùng giữ thành.”
乃共杀魏豹。	Bên cùng giết Ngụy Báo.
楚下荥阳 城，生得周苛。	Sở hạ thành Huỳnh Dương, bắt sống Chu Hà.
项王谓周苛曰：“为我将，我以公为上将军，封三万 户。”	Hạng vương nói với Chu Hà rằng: “Làm tướng của ta, ta sẽ cho ông làm thượng tướng quân, phong cho ba vạn hộ!”
项王 怒，烹周苛，井杀枞公。	Hạng vương nổi giận, nấu Chu Hà, giết luôn Thung Công.
汉王之出荥阳，南走宛、叶，得九江王布，行收兵，复入保成 皋。	Hán vương ra khỏi Huỳnh Dương, chạy về phía nam tới đất Uyển, đất Diệp, tìm được Cửu Giang vương Bố, bèn chiêu tập binh lính, lại vào giữ Thành Cao.
汉之四年，项王进兵围成皋。	Năm thứ tư nhà Hán, Hạng vương tiến quân vây Thành Cao.
诸将稍稍得出成 皋，从汉王。	Các tướng dần dần ra được khỏi Thành Cao, theo Hán vương.
汉使兵距之巩，令其不得西。	Hán cho quân chống lại ở huyện Củng, khiển Sở không thể tiến về tây.
是时，彭越渡河击楚东阿，杀楚将军薛公。	Lúc này, Bành Việt vượt Hoàng Hà đánh Sở ở Đông A, giết tướng quân của Sở là Tiết công.
汉王得淮阴侯兵，欲渡河南。	Hán vương được quân của Hoài Âm hầu, muốn vượt Hoàng Hà đi về phía nam.
项王已定东海来，西，与汉 俱临广武而军， 相守数月。	Hạng vương dẹp xong Đông Hải trở lại, tiến về tây, cùng Hán đóng quân ở Quảng Vũ, giằng co mấy tháng.
当此时，彭越数反梁地，绝楚粮食，项王患之。 为高俎，置太公 其上， 告汉王曰：“今不急下，吾烹太 公。”	Lúc bấy giờ, Bành Việt mấy lần làm phản ở đất Lương, cắt đứt lương thực của Sở, Hạng vương lo lắng, cho làm một cái thớt cao, đặt Thái công lên trên, nói với Hán vương: “Giờ không mau hàng, ta sẽ nấu Thái công!”
项王怒，欲杀之。	Hạng vương nổi giận, định giết Thái công.
项伯 曰：“天下事未可知，且为天下者不顾家，虽杀之无益，祇益祸 耳。”	Hạng Bá nói: “Việc thiên hạ còn chưa thể biết, vả lại người tranh thiên hạ không đoái đến việc nhà, dẫu giết ông ta cũng vô ích, chỉ thêm vạ mà thôi.”
项王从之。	Hạng vương nghe theo.
项王谓汉王 曰：“天下匈匈数岁者，徒以吾两人耳，原与汉王挑战 决雌雄，毋徒苦天下之民父子为也。”	Hạng vương bảo Hán vương rằng: “Thiên hạ náo loạn mấy năm nay, đều do hai chúng ta mà thôi. Ta muốn khiêu chiến với Hán vương, quyết một phen sống mới, chớ làm khổ dân chúng, cha con trong thiên hạ nữa.”
汉王笑谢曰：“吾宁斗 智，不能斗力。”	Hán vương cười tạ tuyệt rằng: “Ta thà đấu trí, chứ không đấu sức.”
项王令壮士出挑战。	Hạng vương lệnh cho tráng sĩ ra khiêu chiến.
项王大怒， 乃自被甲持戟挑战。	Hạng vương nổi giận, bèn tự mặc giáp cầm kích khiêu chiến.
汉王使人间问之，乃项王也。	Hán vương sai người ngầm hỏi, mới hay là Hạng vương.
汉王 大惊。	Hán vương kinh hãi.
於是项王乃即汉王相与临广武间而语。	Thế rồi Hạng vương bèn lại gần Hán vương, cùng nhau nói chuyện ở khe Quảng Vũ.
汉王数之，项王怒，欲 一战。	Hán vương trách mắng, Hạng vương nổi giận, muốn quyết chiến.
汉王不听，项王伏弩射中汉王。	Hán vương không nghe, cung thủ của Hạng vương phục sẵn bắn trúng Hán vương.
淮阴侯与战，骑将灌婴击之，大破楚 军，杀龙且。	Hoài Âm hầu giao chiến, kỵ tướng là Quán Anh xuất kích, đại phá quân Sở, giết chết Long Thư.
是时，彭越复反，下梁地，绝楚 粮。 项王乃谓海春侯大司马曹咎等曰：“谨守成皋，则汉欲挑战，慎 勿与战，毋令得东而已。我十五日必诛彭越，定梁地，复从将 军。”	Bấy giờ, Bành Việt lại làm phản, đánh hạ đất Lương, cắt đứt lương thực của Sở, Hạng vương bèn bảo bọn Hải Xuân hậu Đại tư mã Tào Cữu rằng: “Phải cẩn thận giữ Thành Cao, quân Hán muốn khiêu chiến, nhất định chớ giao chiến, không để chúng tiến về phía đông là được. Ta trong mười lăm ngày ắt giết được Bành Việt, dẹp đất Lương, quay lại đây với tướng quân.”
外黄不下。	Ngoại Hoàng không hạ được.
数日，已降，项王怒，悉令男子年十五已上诣城东， 欲阬之。	Mấy ngày sau mới đầu hàng, Hạng vương nổi giận, lệnh cho tất cả con trai tuổi từ mười lăm trở lên đều phải tới phía đông thành, định chôn sống họ.
外黄令舍人兒年十三， 往说项 王曰：“彭越彊劫外黄，外黄恐，故且降，待大王。 大王至，又皆阬之，百姓岂有归心？从此以东，梁地十馀城皆恐，莫 肯下矣。”	Xá nhân của quan huyện lệnh Ngoại Hoàng có đứa con trai mười ba tuổi, tới khuyên Hạng vương rằng: “Bành Việt cưỡng đoạt Ngoại Hoàng, Ngoại Hoàng lo sợ, nên tạm thời đầu hàng để đợi đại vương. Đại vương tới đây lại muốn chôn sống tất cả, trăm họ làm sao có lòng quy phụ được? Từ đây về đông, mười mấy thành ở đất Lương đều sợ hãi, không ai dám hàng nữa.”
项王然其言，乃赦外黄当阬者。	Hạng vương cho lời ấy là phải, bèn tha cho những người đáng lẽ bị chôn sống ở Ngoại Hoàng.
东至睢阳， 闻之皆争下项 王。	Từ phía đông tới Tuy Dương, ai nấy nghe tin đều tranh nhau đầu hàng Hạng vương.
使人辱之，五六日，大司马怒，渡 兵汜水。	Sai người làm nhục quân Sở suốt năm sau ngày, Đại tư mã nổi giận, đem quân vượt sông Tự.
士卒半渡，汉击之，大破楚军，尽得 楚国货赂。	Quân lính tới giữa sông, quân Hán xuất kích, đại phá quân Sở, thu được hết của cải của Sở.
大司马咎、长史翳、塞王欣皆自刭汜水上。	Đại tư mã Cữu, Trưởng sử Ế, Tắc vương Hân đều tự cắt cổ trên sông Tự.
大司马咎者，故蕲狱掾，长史欣亦 故栎阳狱吏，两人尝有德於项梁，是以项王信任之。	Đại tư mã Cữu xưa là quan coi ngục ở đất Ký, Trưởng sử Hân xưa là ngục lại ở Lịch Dương, hai người từng có ơn với Hạng Lương, bởi vậy Hạng vương tín nhiệm họ.
是时，汉兵盛食多，项王兵罢食绝。	Bấy giờ, quân Hán đông, lương thực nhiều, quân Hạng vương mỏi mệt, lương thực cạn kiệt.
汉王复使侯公往说项王，项王乃与汉约，中分天下，割鸿 沟以西者为汉， 鸿沟而东者 为楚。	Hán vương lại sai Hầu công khuyên Hạng vương, Hạng vương bèn giao ước với Hán, chia đôi thiên hạ, cắt đất từ Hồng Câu trở về tây thuộc Hán, từ Hồng Câu trở về đông thuộc Sở.
项王许之，即归汉王父母妻子。	Hạng vương bằng lòng, lập tức thả cha mẹ vợ con Hán vương về.
军皆呼万岁。	Quân sĩ đều hô “vạn tuế”.
曰：“此天下辩士，所居倾国，故号为平国君。”	Hán vương nói: “Đó là biện sĩ của cả thiên hạ, ở đâu thì nghiêng nước đó, nên gọi là Bình Quốc quân.”
项王已约，乃引兵 解而东归。	Hạng vương giao ước xong, bèn cầm quân lui về miền Đông.
至固 陵， 而信、越之兵不会。	Đến Cố Lăng mà quân của Tín, Việt chưa tới họp.
楚击汉军，大破之。	Sở đánh quân Hán, đại phá Hán.
对曰：“楚兵且破，信、越未有分地， 其不至固宜。君王能与共分天下，今可立致也。即不能，事未 可知也。君王能自陈以东傅海， 尽与韩信；睢阳以北至穀城， 以与彭越：使各自为战， 则楚易败也。”	Đáp rằng: “Quân Sở sắp vỡ. Song Tín, Việt chưa được phân đất nên chưa tới là phải. Quân vương có thể cùng chia thiên hạ với họ, họ sẽ tới ngay. Nếu không đại sự cũng chưa biết được. Quân vương có thể đem đất từ Trần trở về đông đến biển, trao hết cho Hàn Tín; từ Tuy Dương trở lên bắc đến Cốc Thành, đem cho Bành Việt, khiến họ tự chiến đấu thì Sở dễ bại thôi vậy.”
汉王曰：“善。” 於是乃发使者告韩信、 彭越曰：“并力击楚。楚破，自陈以东傅海与齐王，睢阳以北至穀城 与彭相国。”	Hán vương nói: “Phải” Thế rồi bèn phái sứ giả nói với Hàn Tín, Bành Việt rằng: “Hãy hợp sức đánh Sở. Nếu phá được Sở thì từ đất Trần về động đến biển sẽ cho Tề vương; từ Tuy Dương trở lên bắc tới Cốc Thành sẽ cho Bành tướng quốc.”
使者至，韩信、彭越皆报曰：“请今进兵。”	Sứ giả đến, Hàn Tín, Bành Việt đều bảo rằng: “Xin tiến quân ngay.”
大司马周殷叛楚，以舒屠六， 举九江兵， 随刘贾、彭越皆会垓下，诣项王。	Đại tư mã Chu Ân phản Sở, đem quân huyện Thư làm cỏ ấp Lục, cất quân Cửu Giang, theo Lưu Giả, Bành Việt họp ở Cai Hạ, đến thẳng chỗ Hạng vương.
夜闻汉军四 面皆楚歌， 项王乃大惊曰：“汉皆已得楚乎？ 是何楚人之多也！”	Ban đêm nghe quân Hán bốn bề đều hát bài ca Sở, Hạng vương kinh ngạc nói: “Quân Hán đã lấy được Sở rồi ư? Sao người Sở lại nhiều vậy?”
项王则夜起，饮帐中。	Hạng vương ban đêm trở dậy, uống rượu trong trường.
有美人名虞， 常幸从；骏马名骓， 常骑之。	Có mỹ nhân tên Ngu, thường theo; có tuấn mã tên Chuy, thường cưỡi.
於是项王乃上马骑，麾下 壮士骑从者八百馀人，直夜溃围南出，驰走。	Ngu Cơ (tranh đời Thanh) Thế rồi Hạng vương bèn lên ngựa, dưới cờ tráng sĩ cưỡi ngựa đi theo hơn tám trăm người, đương đêm phá vỡ vòng vây thoát ra phía nam, phi ngựa chạy.
项王渡淮，骑能属者 百馀人耳。	Hạng vương vượt sông Hoài, kỵ binh theo kịp chỉ còn hơn trăm người.
项王至阴陵， 迷失道，问一田父，田父绐曰“左”。	Hạng vương tới Âm Lăng thì lạc đường, hỏi một lão nông, lão nông nói dối, bảo “đi về bên trái”.
左，乃陷大泽中。	Bèn rẽ sang trái, bị sa vào đầm lầy.
项王乃复引兵而 东，至东城， 乃有二十八 骑。	Hạng vương lại dẫn quân đi về phía đông, tới Đông Thành, chỉ còn hai mươi tám kỵ binh.
乃分其骑以为四队，四乡。	Đoạn bèn chia kỵ binh làm bốn đội, theo bốn hướng.
项王谓其骑曰：“吾为公取彼一将。”	Hạng vương bảo với kỵ binh: “Ta sẽ giết một tên tướng của chúng cho các ngươi?”
於是项王大呼驰下，汉军皆披靡， 遂斩汉一将。	Thế rồi Hạng vương thét lớn, phi ngựa xuống, quân Hán đều tan tác, Hạng vương bèn chém một tướng của Hán.
是时，赤泉侯为骑将，追项王，项王瞋 目而叱之，赤泉侯人马俱惊，辟易数里 与其骑会为三处。	Lúc ấy, Xích Tuyền hầu là kỵ tướng, đuổi Hạng vương, Hạng vương trợn mắt quát, Xích Tuyền hầu người ngựa đều kinh hãi, lui xa mấy dặm. Hạng vương cùng các kỵ binh họp lại ở ba nơi.
汉军不知项王所在，乃分军为三，复围 之。	Quân Hán không biết Hạng vượng ở đâu, bèn chia quân làm ba, tiếp tục bao vây.
乃谓其骑曰：“何如？”	Bèn nói với các kỵ binh rằng: “Thế nào?”
骑皆伏曰：“如大王言。”	Kỵ binh đều thủ phục xuống nói: “Đúng như đại vương nói.”
於是项王乃欲东渡乌江。	Bấy giờ Hạng vương liền muốn sang phía đông, vượt Ô Giang.
乌江亭长(cid:0) 义船待， 谓项王曰：“江东虽小，地方千里，众数十万人，亦足王也。原 大王急渡。今独臣有船，汉军至，无以渡。”	Đình trưởng Ô Giang ghe thuyền đợi, bảo Hạng vương: “Giang Đông tuy nhỏ, đất vuông ngàn dặm, dân chúng chục vạn người, cũng đủ xưng vương vậy. Mong đại vương mau vượt sông. Giờ riêng tôi có thuyền, quân Hán đến, không có cách gì vượt được.”
项王笑曰：“天之亡 我，我何渡为！且籍与江东子弟八千人渡江而西，今无一人还，纵江 东父兄怜而王我，我何面目见之？纵彼不言，籍独不愧於心乎？”	Hạng vương cười rằng: “Trời diệt tôi, tôi vượt sông làm gì! Vả lại Tịch tôi cùng tám ngàn con em Giang Đông vượt Trường Giang tiến về phía tây, nay không một ai trở về, dẫu phụ huynh Giang Đông thương xót mà cho tôi làm vương, tôi cũng đâu có mặt mũi nào gặp họ? Dẫu họ không nói, Tịch tôi há chẳng thẹn trong lòng sao?”
乃 谓亭长曰：“吾知公长者。吾骑此马五岁，所当无敌，尝 一日行千里，不忍杀之，以赐公。”	Đoạn nói với định trưởng rằng: “Tôi biết ông là bậc trưởng giả. Tôi cưỡi con ngựa này đã năm năm, xưa nay vô địch, từng đi một ngày ngàn dặm, tôi không nỡ giết nó, xin tặng ông?”
独籍所杀汉军数百人。	Riêng Tịch giết được hơn trăm quân Hán.
项王身亦被十馀创。 顾见汉骑司马吕马 童，曰：“若非吾故人乎？”	Hạng vương trên mình cũng bị mười mấy vết thương, ngoảnh lại thấy Kỵ tư mã nhà Hán là Lã Mã Đồng, liền nói: “Ngươi chẳng phải cố nhân của ta sao?”
马童面之， 指王翳曰： “此项王也。”	Mã Đồng quay mặt nhìn, chỉ Vương Ế nói: “Đây là Hạng vương đấy!”
乃自刎而死。	Đoạn bèn cắt cổ mà chết.
王翳取其头，馀骑相蹂践 争项王，相杀者数十人。	Vương Ế lấy đầu Hạng vương, các kỵ binh khác giày xéo tranh cướp thi thể Hạng vương, mấy chục người giết nhau.
五人共会其体，皆是。	Năm người cùng chắp lại thì đủ.
故分其地为五：封吕 马童为中水侯， 封王翳为杜衍侯， 封杨喜为赤泉侯， 封杨武为吴防侯， 封吕胜为涅阳侯。	Vậy nên đất phong được phân làm năm: phong Lã Mã Đồng làm Trung Thủy hầu, phong Vương Ế làm Đỗ Diễn hầu, phong Dương Hỷ làm Xích Tuyền hầu, phong Dương Vũ làm Ngô Phòng hầu, phong Lã Thắng làm Niết Dương hầu.
项王已死， 楚地皆降汉，独鲁不下。	Hạng vương đã chết, đất Sở đều hàng Hán, riêng Lỗ không hàng.
汉乃引天下兵欲屠之， 为其守礼义，为主死节，乃持项王头视鲁，鲁父兄乃降。	Hán bèn đem quân thiên hạ định diệt sạch người Lỗ, song vì họ giữ lễ nghĩa, chết vì chúa để thủ tiết, Hán vương bèn mang đầu Hạng vương cho người Lỗ xem, phụ huynh đất Lỗ mới hàng.
始，楚怀王 初封项籍为鲁公，及其死，鲁最後下，故以鲁公礼葬项王穀城。	Ban đầu, Sở Hoài vương phong Hạng Tịch làm Lỗ Công, đến khi chết, Lỗ là đất cuối cùng đầu hàng, cho nên dùng lễ Lỗ Công táng Hạng vương ở Cốc Thành.
汉王为发哀，泣之而去。	Hán vương phát tang, khóc lóc rồi đi.
诸项氏枝属，汉王皆不诛。 乃封项伯为射阳侯。	Các chi họ Hạng, Hán vương đều không giết, còn phong cho Hạng Bá làm Xạ Dương hầu.
