伍子胥者，楚人也，名员。	Ngũ Tử Tư người nước Sở, tên là Viên.
太史公曰：怨毒之於人甚矣哉！	Thái sử công bàn rằng: Oán hận trong con người ta đáng sợ thay!
王者尚不能行之於臣下，况同列 乎！	Bậc vương giả còn không thể kết oán với bề tội dưới quyền, huống nữa là ngang hàng nhau!
向令伍子胥从奢俱死，何异蝼蚁。	Ví phỏng Ngũ Tử Tư chết cùng Ngũ Xa, thì khác nào con sâu cái kiến.
弃小义，雪大耻，名垂於後 世，悲夫！	Bỏ nghĩa nhỏ, rửa thù lớn, lưu danh hậu thế, bi tráng thay!
故隐忍就功名，非烈丈夫孰能致此哉？	Vì thế ẩn mình nhẫn nhục để đạt được công danh, không phải bậc trượng phu lẫm liệt thì ai có thể làm được?
白公如不自立为君 者，其功谋亦不可胜道者哉！ 谗人罔极，交乱四国。 嗟彼伍氏，被兹凶慝！ 员独忍诟， 志复冤毒。	Như Bạch công không tự lập làm vua thì công tích và mưu lược cũng không thể nói viết được vậy!
楚诛其大臣郤宛、伯州犁，伯州犁之孙伯嚭亡奔吴， 吴亦以嚭为大夫。	Nước Sở giết đại thần là Khích Uyển và Bá Châu Lê. Cháu nội Bá Châu Lê là Bá Phỉ chạy trốn sang Ngô, Ngô cho Phỉ làm đại phu.
阖庐立三年，乃兴师与伍胥、伯嚭伐楚， 拔舒，遂禽故吴反二将军。	Hạp Lư lên ngôi được ba năm, bèn giao Ngũ Tư và Bá Phỉ cất quân đánh Sở, hạ được đất Thư, bắt được cả hai.
五年，伐越，败 之。	Năm thứ năm, lại đánh nước Việt, Việt thua trận.
阖庐听之，悉兴师与唐、蔡伐楚，与楚夹汉水 而陈。	Hạp Lư nghe theo, huy động quân đội cùng hai nước Đường, Sái tiến đánh Sở. Ngô và Sở bày trận hai bên Hán Thủy.
乃遣车五百乘救楚击吴。	Bèn sai đem năm trăm cỗ xe sang cứu Sở, đánh Ngô.
六月，败吴兵於稷。	Tháng Sáu, đánh bại quân Ngô ở đất Tắc.
当是时，吴以伍子 胥、孙武之谋，西破彊楚，北威齐晋，南服越人。	Bấy giờ, Ngô theo kế của Ngũ Tử Tư và Tôn Vũ, tây phá nước Sở hùng mạnh, bắc ra oai với Tề, Tấn, nam chế phục người Việt.
後五年，伐越。	Năm năm sau, Ngô đánh Việt.
二年後伐越，败越於夫 湫。	Năm sau, đánh nước Việt, Việt thua trận ở Phù Tưu.
越王句践乃以馀兵五千人栖於会稽之上， 使大夫种 厚币遗吴太宰嚭以请和，求委国为臣妾。	Việt vương Câu Tiễn bèn đem hơn năm nghìn tàn quân đóng trên núi Cối Kê, sai đại phu là Chủng mang hậu lễ đến Thái tể Bá Phỉ giảng hòa, xin đem nước Việt làm nước tôi đòi.
其後五年，而吴王闻齐景公死而大臣争宠，新君弱，乃兴师北伐 齐。	Năm năm sau, Ngô vương nghe tin Tề Cảnh công chết, đại thần tranh quyền, vua mới yếu thế, liền xuất quân lên phía bắc đánh Tề.
其後四年，吴王将北伐齐，越王句践用子贡之谋，乃率其众以助 吴，而重宝以献遗太宰嚭。	Bốn năm sau, Ngô vương định kéo quân lên bắc đánh Tề, Việt vương Câu Tiễn theo kế của Tử Cống, bèn xuất quân giúp Ngô, lại đem nhiều châu báu đút lót Thái tể Phỉ.
石乞从者屈固 负楚惠王亡走昭夫人之宫。	Kẻ theo Thạch Khất là Khuất Cố cõng Sở Huệ vương trốn vào cung Chiêu phu nhân.
叶公闻白公为乱，率其国人攻白公。	Diệp công nghe tin Bạch công làm loạn, thống lĩnh người trong nước tiến đánh.
方子胥窘於江上，道乞食，志岂尝须臾 忘郢邪？	Đương khi Tử Tư cùng quẫn bên sông, ăn xin trên đường, tâm trí há có phút nào quên đất Dĩnh chăng?
越王句践迎击，败吴於姑苏，伤阖庐指， 军卻。	Việt vương Câu Tiễn đem quân nghênh địch, đánh bại quân Ngô ở Cô Tô, khiến Hạp Lư bị thương ở chân, Ngô phải rút lui.
