陈胜者，阳城人也， 字涉。 吴广者，阳夏人 也， 字叔。	Trần Thắng, người ở Dương Thành, tự là Thiệp. Ngô Quảng, người ở Dương Hạ, tự là Thúc.
吾闻贾生之称曰： “秦孝公据殽函之固， 拥雍州之地，君臣固守，以窥周室。有席卷天下，包举宇内， 囊括四海之意，并吞八荒之心。当是时也，商君佐之，内立法度，务 耕织，修守战之备；外连衡而斗诸侯。於是秦人拱手而取西河之外。 “孝公既没，惠文王、武王、昭王蒙故业，因遗策，南取汉中， 西举巴蜀，东割膏腴之地，收要害之郡。诸侯恐惧，会盟而谋弱秦。 不爱珍器重宝肥饶之地，以致天下之士。合从缔交，相与为一。当此 之时，齐有孟尝，赵有平原，楚有春申，魏有信陵：此四君者，皆明 知而忠信，■厚而爱人，尊贤而重士。约从连衡，兼韩、魏、燕、 赵、宋、卫、中山之众。於是六国之士有甯越、徐尚、苏秦、杜赫之 属为之谋，齐明、周勣、陈轸、邵滑、 楼缓、翟景、苏厉、乐毅之徒通其意，吴起、孙膑、带 他、兒良、王廖、田忌、廉颇、赵奢之伦制其兵。尝以什倍之地，百 万之师，仰关而攻秦。 秦人开关而延敌，九国之师 遁逃而不敢进。秦无亡矢遗镞 之费，而天下固已困矣。於是从散约败，争割地而赂秦。秦有馀力而 制其弊，追亡逐北，伏尸百万，流血漂橹， 因利乘便，宰割天下，分裂山河，彊国请服，弱国入朝。 “施及孝文王、庄襄王，享国之日浅，国家无事。 “及至始皇，奋六世之馀烈，振长策而御宇内，吞二周而亡诸 侯，履至尊而制六合，执敲朴以鞭 笞天下，威振四海。南取百越之地，以为桂林、象郡，百越之君俯首 系颈，委命下吏。乃使蒙恬北筑长城而守籓篱，卻匈奴七百馀里，胡 人不敢南下而牧马，士亦不敢贯弓 而报怨。於是废先王之道，燔百家之言，以愚黔首。堕名城，杀 豪俊，收天下之兵聚之咸阳，销锋鍉， 铸以为金人十二， 以弱天下之民。然後践华为城，因河为池，据亿丈之城，临不 测之谿以为固。良将劲弩，守要害之处，信臣精卒，陈利兵而谁何。 天下已定，始皇之心，自以为 关中之固，金城千里，子孙帝王万世之业也。 “始皇既没，馀威振於殊俗。然而陈涉甕牖绳枢之子，甿隶之 人，而迁徙之徒也。材能不及 中人，非有仲尼、墨翟之贤，陶硃、猗顿之富也。蹑足行伍之间，俯 仰仟佰之中， 率罢散之卒，将数百之众，转而攻 秦。斩木为兵，揭竿为旗，天下云会响应，赢粮而景从，山东豪俊遂 并起而亡秦族矣。 “且天下非小弱也；雍州之地，殽函之固自若也。陈涉之位，非 尊於齐、楚、燕、赵、韩、魏、宋、卫、中山之君也；鉏櫌棘矜， 非銛於句戟长铩也；適戍之众，非俦於九国之师也；深谋远虑，行军 用兵之道，非及乡时之士也。 然而成败异变，功业相反也。尝试使山东 之国与陈涉度长絜大，比权量 力，则不可同年而语矣。然而秦以区区之地。致万乘之权，抑八州而 朝同列，百有 馀年矣。然後以六合为家，殽函为宫。一夫作难而七庙堕，身死人 手，为天下笑者，何也？仁义不施， 而攻守之势异也。” 天下匈匈，海内乏主，掎鹿争捷，瞻乌爰处。 陈胜首事， 厥号张楚。 鬼怪是凭，鸿鹄自许。	Ta nghe Giả sinh bàn rằng: “Tần Hiếu công dựa vào thế hiểm yếu của Hào Sơn và Hàm Cốc, có đất Ung Châu, vua tôi giữ vững để hòng nhòm ngó nhà Chu. Thôn tính thiên hạ, thâu tóm khắp trời đất, có ý chiếm hết bốn biển, đồng thời mang dã tâm nuốt cả tám phương xa xôi. Lúc bấy giờ, Thương quân phò tá Hiếu công, trong thì lập nên pháp độ, chuộng việc làm ruộng, dệt vải, sửa sang khí giới; ngoài thì liên hoành để đấu với chư hầu. Thế nên người Tần khoanh tay mà lấy được vùng phía ngoài sông Hoàng Hà. Sau khi Hiếu công chết, Huệ Văn vương, Vũ vương, Chiêu vương kế thừa cơ nghiệp có sẵn, dựa vào kế sách tiên vương để lại, phía nam chiếm Hán Trung, phía tây đánh Ba Thục, phía đông cắt lấy đất màu mỡ, thu các quận trọng yếu. Chư hầu sợ hãi, hội minh bàn cách làm Tần suy yếu. Không tiếc đồ trân quý, bảo mật, đất đai phì nhiêu để vời hiền sĩ trong thiên hạ. Thi hành hợp tung liên kết với nhau, tạo thành một khối. Lúc bấy giờ, Tề có Mạnh Thường quân, Triệu có Bình Nguyên quân, Sở có Xuân Thân quân, Ngụy có Tín Lăng quân: bốn người đó đều trí tuệ sáng láng lại trung tín, khoan hậu mà yêu người, đề cao người hiền, coi trọng kẻ sĩ. Ước định hợp tung để chống liên hoành của Tần, tập hợp quân các nước Hàn, Ngụy, Yên, Triệu, Tống, Vệ, Trung Sơn. Còn như mưu sĩ ở sáu nước có Nịnh Việt, Từ Thượng, Tô Tần, Đỗ Hách, vạch mưu tính kế cho họ; bọn Tề Minh, Chu Tụ, Trần Chẩn, Thiệu Hoạt, Lâu Hoãn, Địch Cảnh, Tô Lệ, Nhạc Nghị kết thông ý đồ của họ; bọn Ngô Khởi, Tôn Tẫn, Đái Đà, Nghê Lương, Vương Liêu, Điền Kỵ, Liêm Pha, Triệu Xa, thống lãnh quân đội cho họ. Từng đem lãnh thổ rộng gấp mười lần, quân đông trăm vạn, ngẩng trông ải Hàm Cốc để tấn công Tần. Người Tần mở quan ải rồi mời địch vào, [thế mà] quân chín nước chạy trốn, không dám tiến vào. Tần không tốn một mũi tên mà thiên hạ vốn đã nguy khốn. Thế là hợp tung cũng tan, minh ước cũng bại, tranh nhau cắt đất để hối lộ Tần. Tần có dư sức để nhắm vào những tệ hại của chư hầu, truy kích quân thua chạy, khiến địch phơi thây trăm vạn, máu chảy trôi lá chắn lớn, dựa vào địa thế có lợi, cắt lấy thiên hạ, xé lấy non sông, nước mạnh xin thần phục, nước yếu phải vào chầu. Thi hành đến Hiếu Văn vương, Trang Tương vương, hưởng nước không bao lâu, nhưng quốc gia vô sự. Cho đến Thủy hoàng, phát dương sự nghiệp của sáu đời trước, giong dây cương dài mà điều khiển thiên hạ, thôn tính Nhị Chu rồi tiêu diệt chư hầu, lên ngôi chí tôn mà khống chế vũ nội, cầm gậy dài ngắn để đánh đòn khắp thiên hạ, oai lừng bốn biển. Phía nam chiếm đất Bách Việt, đặt làm quận Quế Lâm và Tượng Quận, vua các nước Bách Việt cúi đầu thòng dây vào cổ, giao tính mạng mình cho tiểu lại nhà Tần. Bèn sai Mông Điềm lên phía bắc đắp Trường thành rồi giữ đất phên giậu, đẩy lùi Hung Nô ra xa hơn bảy trăm dặm, người Hồ không dám xuống phía nam chăn ngựa, quân sĩ cũng không dám mang cung đi báo thù. Thế rồi phế bỏ đạo trị quốc của tiên vương, thiêu hủy sách vở của bách gia để ngu dân. Hủy các thành nổi tiếng, giết các bậc tài tuấn, thu gom binh khí trong thiên hạ dồn về Hàm Dương, nấu chảy giáo sắc tên nhọn, đúc thành mười hai người bằng đồng, để làm suy yếu ý chí phản kháng của dân chúng trong thiên hạ. Sau đó, dựa vào Hoa Sơn, lấy đó làm thành, dựa vào Hoàng Hà, lấy đó làm hào, dựa vào tường thành cao muôn vàn trượng, sông sâu khôn dò, coi thế là bền vững. Cho tướng giỏi cầm nỏ cứng, giữ chỗ quan yếu, bề tôi tin cẩn, sĩ tốt tinh nhuệ, bày binh khí sắc nhọn thì ai dám chống. Thiên hạ đã yên định, trong lòng Thủy hoàng tự cho sự kiên cố của Quan Trung như thành đồng nghìn dặm, là cơ nghiệp khiến con cháu nối nhau làm đế vương đến muôn đời. Sau khi Thủy hoàng chết, dư uy vẫn vang động đến vùng biên viễn. Còn Trần Thiệp là con nhà lấy hũ vò làm cửa sổ, lấy dây thừng buộc cửa, là kẻ không có ruộng phải đi làm tôi tớ, là kẻ bị sung làm lính thú ở biên cương. Tài năng không bằng người bậc trung, không phải bậc hiền năng như Trọng Ni, Mặc Địch, không giàu có như Đào Chu, Y Đốn. [Thế mà] chen chân trong hàng trong ngũ, cúi xuống ngẩng lên trong đám quân hàng trăm, hàng nghìn người, thống lãnh đám lính thú mỏi mệt tản mác, thống suất mấy trăm quân, đem quân đánh nhà Tần. Chặt cây làm vũ khí, giơ sào cao làm cờ, thiên hạ ùn ùn như mây hưởng ứng, vác lương đi theo như bóng theo hình, các bậc hào kiệt phía đông Hào Sơn nhất tề nổi dậy rồi diệt họ Tần. Còn thiên hạ không hề bị thu nhỏ hay suy yếu đi; đất Ung Châu, sự hiểm yếu của Hào Sơn và Hàm Cốc vốn vẫn thế. Địa vị của Trần Thiệp không tôn quý như vua các nước Tề, Sở, Yên, Triệu, Hàn, Ngụy, Tống, Vệ, Trung Sơn; mũi cày, gậy gộc, không sắc nhọn hơn kiếm kích, giáo dài, đám quân lính thú không thể sánh với quân đội chín nước; mưu kế sâu xa, đạo hành quân dụng binh không thể bằng mưu sĩ đương thời. Thế mà thành bại không giống nhau, công lao sự nghiệp ngược hẳn nhau. Từng thử đem các nước phía đông Hào Sơn so sánh với Trần Thiệp, xét quyền thế, thế lực, thì không thể gộp chung để nói được. Còn như Tần, nhờ vào mảnh đất cỏn con, thế rồi nắm quyền của nước muôn cỗ xe, chế tám châu, khiến các nước ngang hàng phải vào chầu, được hơn trăm năm. Sau đó, hợp thiên hạ thành một nhà, lấy Hào Sơn, Hàm Cốc làm cung thất. Một người nổi dậy mà tông miếu bảy đời [của Tần] bị đổ, con cháu chết trong tay người, bị thiên hạ cười chê. Tại sao vậy? Là vì không thi hành nhân nghĩa, mà cái thế công thủ cũng khác nhau vậy.”
秦令少府章邯免郦山徒、人奴 产子生， 悉发以击楚大军，尽败之。 周文败，走出 关，止次曹阳 二三月。	Tần hạ lệnh cho Thiếu phủ Chương Hàm xá miễn những kẻ có tội đi lao dịch ở Ly Sơn cùng con cái do các gia nô sinh ra, thảy được huy động để tấn công đại quân Sở, đánh bại được quân Sở, Chu Văn thua trận, chạy khỏi Hàm Cốc, dừng lại ở Tào Dương hai ba tháng.
周市北徇地至狄， 狄人田儋杀狄令，自立为齐王，以齐反击周市。	Chu Thị lên phía bắc chiếm đất, đến đất Địch, người Địch là Điền Đạm giết Huyện lệnh đất Địch, tự lập làm Tề vương, dựa vào Tề để đánh lại Chu Thị.
市军散，还至魏地，欲立魏後故甯陵 君咎为魏王。	Quân Chu Thị bị đánh tan, rút về đến đất Ngụy, định lập hậu duệ nước Ngụy vốn là Ninh Lăng quân tên là Cữu làm Ngụy vương.
田臧乃使诸将李归等守荥阳城，自以精兵 西迎秦军於敖仓。	Điền Tang bèn sai các tướng là bọn Lý Quy vậy giữ thành Huỳnh Dương, đích thân đem tinh binh sang phía tây đón đánh quân Tần ở Ngao Thương.
阳城人邓说将兵居 郯， 章邯别将击破之，邓说军散走陈。	Đặng Duyệt người ở Dương Thành đem quân đóng ở đất Đàm, biệt tướng của Chương Hàm đánh phá được Đặng Duyệt, quân của Đặng Duyệt tan chạy sang đất Trần.
铚人伍 徐 将兵居许， 章邯击破之，伍徐军皆散走陈。	Ngũ Từ người đất Chất đem quân đóng ở đất Hứa, Chương Hàm đánh phá được Ngũ Từ, quân Ngũ Từ đều tan chạy sang đất Trần.
因矫以王命杀武平君畔。	Nhân đó giả lệnh Trần vương rồi giết Vũ Bình quân là Bạn.
章邯已破伍徐，击陈，柱国房君死。	Chương Hàm sau khi phá được Ngũ Từ, tiến đánh đất Trần, Trụ quốc là Phòng quân [Sái Tử] chết.
使公孙庆使齐王，欲与并力俱进。	Sai Công Tôn Khánh đi sứ đến chỗ Tề vương, muốn hợp lực cùng tiến.
陈王以硃房为中正，胡武为司 过，主司群臣。	Trần vương phong Chu Phòng làm quan Trung chính, Hồ Vũ làm Tư quá, chuyên chủ việc đốc sát quần thần.
