孔子曰“受业身通者七十有七人”， 皆异能之士也。	Khổng tử nói: “Học trò tinh thông có 77 người”, đều là những kẻ sĩ có tài lạ.
遂行，至齐，说田常曰：“君之伐鲁过矣。夫鲁，难伐之国，其 城薄以卑，其地狭以泄，其君愚 而不仁，大臣伪而无用，其士民又恶甲兵之事，此不可与战。君不如 伐吴。夫吴，城高以厚，地广以深，甲坚以新，士选以饱，重器精兵 尽在其中，又使明大夫守之，此易伐也。”	Tử Cống liền đến nước Tề, nói với Điền Thường: “Ngài đánh Lỗ là sai đấy. Bởi Lỗ là nước khó đánh, thành mỏng mà thấp, hào hẹp mà nông, nhà vua ngu tối mà bất nhân, đại thần dối trá mà vô dụng, sĩ dân căm ghét chuyện đao binh, như thế không thể đánh họ được. Chẳng bằng nhà vua hãy đánh nước Ngô. Do nước Ngô có thành cao dày, hào rộng sâu, giáp mới mà bền cứng, sĩ tốt được tuyển đầy đủ, trọng khí và tinh binh nước ấy không thiếu, lại có đại phu sáng suốt trấn giữ, như thế sẽ dễ đánh.”
子贡 曰：“臣闻之，忧在内者攻彊，忧在外者攻弱。今君忧在内。吾闻君 三封而三不成者，大臣有不听者也。今君破鲁以广齐，战胜以骄主， 破国以尊臣，而君之 功不与焉，则交日疏於主。是君上骄主心，下恣群臣，求以成大事， 难矣。夫上骄则恣，臣骄则争，是君上与主有卻，下与大臣交争也。 如此，则君之立於齐危矣。故曰不如伐吴。伐吴不胜，民人外死，大 臣内空，是君上无彊臣之敌，下无民人之过，孤主制齐者唯君 也。”	Tử Cống đáp: “Tôi nghe nói, người có nỗi lo bên trong thì đánh nước mạnh, người có nỗi lo bên ngoài thì đánh nước yếu. Nay ngài có nỗi lo bên trong nước. Tôi nghe ngài ba lần được phong mà ba lần không thành, do các đại thần không chịu vậy. Nay ngài phá Lỗ để mở rộng Tề, chiến thắng thì khiến chúa ngài thêm kiêu, đại thần thêm trọng, còn ngài chẳng được công tích gì, theo đó quan hệ giữa ngài với vua ngày một nhạt dần. Trên thì nhà vua có lòng kiêu ngạo, dưới thì quần thần mặc sức làm càn, ngài mong thành đại sự, khó lắm thay. Phàm vua kiêu thì buông tuồng, tôi kiêu thì tranh giành, vậy là trên thì ngài mâu thuẫn với vua, dưới lại tranh giành với đại thần, hẳn sẽ gặp nguy. Cho nên nói đánh nước Ngô. Đánh Ngô không thắng, dân chúng chết ở nước ngoài, đại thần trong nước trống trơn, vậy là ngài trên thì không có bề tôi mạnh đối địch, dưới sẽ không bị chúng dân đổ lỗi, chúa cô độc mà người khống chế nước Tề chỉ có ngài thôi.”
田常曰：“善。虽然，吾兵业已加鲁矣，去而之吴，大臣疑 我，柰何？”	Điền Thường nói: “Phải lắm! Nhưng quân tôi đã đánh Lỗ, giờ rút chuyển đánh Ngô, đại thần sẽ nghi ngờ, tôi phải làm sao đây?”
子贡曰：“今者吾说吴王以救鲁伐齐，其志欲之而畏 越，曰‘待我伐越乃可’。如此，破越必矣。且夫无报人之志而令人 疑之，拙也；有报人之志，使人知之，殆也；事未发而先闻，危也。 三者举事之大患。”	Tử Cống đáp: “Nay tôi thuyết phục Ngô vương đánh Tề cứu Lỗ, ý Ngô vương muốn đánh, nhưng e ngại nước Việt, có nói: 'Chờ ta đánh Việt xong đã.' Như thế, ắt sẽ đánh Việt. Huống nữa, không có chí báo đáp mà khiến người ta nghi ngờ ấy là vụng về; có chí báo đáp mà khiến người ta biết rõ thì không an toàn; việc chưa làm mà đã biết trước thì nguy hiểm. Ba điều ấy là mối lo lớn của người hành sự.”
子贡因去之晋，谓晋君曰：“臣闻之，虑不先定不可以应卒， 兵不先辨不可以 胜敌。今夫齐与吴将战，彼战而不胜，越乱之必矣；与齐战而胜，必 以其兵临晋。”	Tử Cống đến nước Tấn, nói với vua Tấn: “Thần nghe nói, việc không lo tính trước thì không thể ứng biến kịp, quân đội không dự phòng trước thì không thể thắng địch. Nay, Tề đánh nhau với Ngô, Ngô không thắng Tề thì nước Việt ắt loạn; nếu Ngô thắng Tề thi ắt kéo quân đánh Tấn.”
晋君大恐，曰：“为之柰何？”	Vua Tấn cả sợ, nói: “Phải làm thế nào?”
吴王闻 之，去晋而归，与越战於五湖。	Ngô vương biết chuyện, bỏ Tấn rút về, đánh nhau với quân Việt ở Ngũ Hồ.
破吴三年，东向而霸。	Sau khi diệt Ngô được ba năm, nước Việt xưng bá ở phía đông.
子贡一使，使势 相破，十年之中，五国各有变。	Tử Cống đi sứ một lần khiến các thế lực cầm cự, trong vòng mười năm, năm nước đều có thay đổi.
其子死，哭之失明。	Con chết, Tử Hạ khóc mù cả đôi mắt.
子张问干禄，孔子 曰：“多闻阙疑，慎言其馀，则寡尤； 多见阙殆，慎行其馀，则寡悔。 言寡尤，行寡 悔，禄在其中矣。”	Tử Trương hỏi việc cầu bổng lộc, Khổng tử đáp: “Nghe nhiều và thận trọng với những điều đã nghe, như thế ít lỗi lầm; thấy nhiều và thận trọng với những việc mình làm, như thế ít hối hận. Lời nói ít lỗi lầm, việc làm ít hối hận, lộc ở chính chỗ ấy vậy.”
他日从在陈蔡间，困，问行。 孔子曰：“言忠信，行笃敬，虽蛮 貊之国行也；言不忠信，行不笃敬，虽州里行乎哉！ 立则见 其参於前也，在舆则见其倚於衡，夫然後行。”	Lần nọ Tử Trương theo Khổng tử đến vùng Trần-Sái, bị vây khốn, hỏi cách đi, Khổng tử đáp: “Nói lời trung tín, hành vi thành kính, tuy vào nước man muội cũng thông; lời nói không trung tín, làm việc chẳng thành kính, dù trong châu trong làng liệu đi được chăng? Khi đứng thì thấy trung tín thành kính ở ngay trước mặt, khi ngồi xe lại thấy như ở ngay càng xe, thế thì sau đó mới đi được.”
子张问：“士何如斯可谓之达矣？”	Tử Trương hỏi: “Kẻ sĩ như thế nào được coi là thông đạt?”
子张对曰：“在国必闻，在家必闻。”	Tử Trương đáp: “Ở trong nước ắt có tiếng tăm, ở gia ấp ắt có tiếng tăm.”
孔子曰：“是闻也，非达也。夫达者，质直而好 义，察言而观色，虑以下人， 在国及家必达。 夫闻也者，色取仁而行违，居之不疑， 在国 及家必闻。”	Khổng tử nói: “Đó là có tiếng tăm thôi chứ không phải thông đạt. Người thông đạt thì chính trực thích điều nghĩa, xét lời nói rồi xem nét mặt, khiêm nhượng với kẻ dưới, như thế ở trong nước hay gia ấp đều coi là thông đạt. Người có tiếng tăm thì sắc mặt như theo điều nhân mà hành vi lại trái, nhưng vẫn tin mình có lòng nhân, như thế ở trong nước hay gia ấp ắt có tiếng tăm cả.”
作孝经。	Ông soạn sách Hiếu kinh.
澹台灭明， 武城人，字子羽。 少孔子三 十九岁。	Đạm Đài Diệt Minh Đạm Đài Diệt Minh người Vũ Thành, tự Tử Vũ, kém Khổng tử 39 tuổi.
状貌甚恶。 欲事孔子，孔子以为材薄。	Đạm Đài Diệt Minh mặt mày hung tợn, muốn thờ Khổng tử làm thầy, Khổng tử cho là tư chất kém.
孔子谓“子贱君子哉！鲁无君子，斯焉取斯？”	Khổng tử bảo: “Tử Tiện thực quân tử thay! Nếu nước Lỗ không có quân tử thì Tử Tiện học được từ đâu?”
原宪 字子思。	Nguyên Hiến Nguyên Hiến tự Tử Tư.
子思曰：“克伐怨欲不行焉，可以为仁乎？”	Tử Tư hỏi: “Biết kiềm chế để không hiếu thắng, không tự kiêu, không oán hận và không ham muốn, như thế có phải là nhân chăng?”
问孔子曰：“羿善射，奡荡舟， 俱不得其死然；禹稷躬稼而有天 下？”	Nam Cung Quát hỏi Khổng tử: “Sao Nghệ giỏi bắn cung, Ngạo thạo thủy chiến, cả hai đều không toàn mạng; còn ông Vũ, ông Tắc đích thân trồng lúa lại có cả thiên hạ?”
三复“白珪之玷”， 以其兄之子妻之。	Tử Dung nhiều lần tụng đọc câu thơ “Bạch khuê chi điếm”, Khổng tử đem con gái của anh trai mình gả cho.
子曰：“内省不疚，夫何忧何惧！”	Khổng tử đáp: “Tự xét lòng mình không thấy hổ thẹn, đâu cần lo sợ gì nữa.”
樊须字子迟。 少孔子三十六岁。	Phàn Tu Phàn Tu tự Tử Trì, kém Khổng tử 36 tuổi.
樊迟出，孔子 曰：“小人哉樊须也！上好礼，则民莫敢不敬；上好义，则民莫敢不 服；上好信，则民莫敢不用情。 夫如是，则四方之民襁负其子而至矣，焉用稼！”	Phàn Trì đi ra, Khổng tử nói: “Tiểu nhân thay, Phàn Tu! Người trên ham lễ thì dân không ai không kính; người trên ham nghĩa thì dân không ai không phục; bề trên ham tín thì dân không ai không thực lòng. Làm được thế thì dân chúng bốn phương địu cõng con mà đến, sao phải học làm ruộng.”
“信近於义，言可复也； 恭近於礼，远耻辱 也；因不 失其亲，亦可宗也。”	“Đức tín gần với điều nghĩa, lời nói có thể kiểm chứng; cung kính gần với lễ tiết, tránh xa được điều sỉ nhục; nhờ đó không mất chỗ thân cận, mà cũng có thể trông cậy được.”
他日，弟子进问曰：“昔夫子当行，使弟子持雨具，已 而果雨。弟子问曰：‘夫子何以知之？’夫子曰：‘诗不云乎？“月 离于毕，俾滂沱矣。” 昨暮 月不宿毕乎？ ’他日，月宿毕，竟不雨。 商瞿年长无子，其母为取 室。	Một hôm, học trò đến trước mặt hỏi: “Xưa, phu tử còn sống, sai các học trò cầm đồ hứng mưa, thế rồi mưa thật, học trò hỏi: 'Sao phu tử biết trời sẽ mưa', phu tử đáp: Kinh Thi chẳng nói đấy ư? 'Trăng dời đến Tất, khiến đổ mưa to. Đêm qua chẳng phải trăng ở vị trí sao Tất ư?' Hôm khác, trăng ở vị trí sao Tất trời lại không mưa. Thương Cù tuổi đã cao mà chưa có con, bà mẹ bèn cưới cho cô vợ khác. Khổng phu tử sai Cù đến Tề, bà mẹ xin cho ở lại, phu tử nói: 'Đừng lo, sau tuổi bốn mươi sẽ có năm con trai.’ Sau đúng như lời. Dám hỏi, sao phu tử biết những việc đó?”
巫马施字子旗。 少孔子三十岁。	Vu Mã Thi Vu Mã Thi tự Tử Kỳ, kém Khổng tử 30 tuổi.
陈司败问孔子曰：“鲁 昭公知礼乎？”	Quan Ty bại đất Trần hỏi Khổng tử: “Lỗ Chiêu cũng biết lễ chăng?”
退而揖巫马旗曰：“吾闻君子不 党，君子亦党乎？鲁君娶吴女为夫人，命之为孟子。孟子姓姬，讳称 同姓，故谓之孟子。鲁君而知礼，孰不知礼！”	Trần Ty bại lui xuống, vái chào Vu Mã Kỳ, nói: “Tôi nghe quân tử thì không a dua, quân tử mà cũng a dua ư? Vua Lỗ lấy người con gái nước Ngô làm phu nhân, đặt tên là Mạnh Tử. Mạnh Tử họ Cơ, nói tránh vì cùng họ, nên gọi là Mạnh Tử. Vua Lỗ mà biết lễ, ai là không biết lễ!”
梁鱣字叔鱼。 少孔子二十九岁。	- Lương Chiên, tự Thúc Ngư, kém Khổng tử 29 tuổi.
公孙龙字子石。 少孔子五十三岁。	- Công Tôn Long, tự Tử Thạch, kém Khổng tử 53 tuổi.
秦祖字子南。	- Tần Tổ, tự Tử Nam.
罕父黑字子索。 秦商字子丕。	- Hãn Phủ Hắc, tự Tử Sách. - Công Lương Nhụ, tự Tử Chính.
申党字周。 颜之仆字叔。	- Tần Thương, tự Tử Phi. - Thân Đảng, tự là Chu.
县成字子祺。	- Huyện Thành, tự Tử Kỳ.
太史公曰：学者多称七十子之徒，誉者或过其实，毁者或损其 真，钧之未睹厥容貌，则论言弟子籍，出孔氏古文近是。 余以弟子名 姓文字悉取论语弟子问并次为篇，疑者阙焉。	Thái sư công bàn rằng: Kẻ học phần nhiều nói đến 70 học trò của Khổng tử, người tán dương thì nói quá sự thực, kẻ hủy báng thì làm sai lệch sự thực, họ đều chưa tận mắt nhìn thấy dung mạo, vậy bàn về thư tịch nói tới các học trò thì cổ văn của họ Khổng là gần sự thực. Ta ghi họ tên, đoạn văn. .
子路性鄙，好勇力，志伉直，冠雄鸡，佩豭豚， 陵暴孔子。	Tử Lộ tính quê mùa, sính cường, cương trực, đội mũ kiểu gà trống, đeo bao kiếm da lợn, khinh khi Khổng tử.
孔子 曰：“蒲多壮士，又难治。然吾语汝：恭以敬，可以执勇； 宽以正，可以比众； 恭正以静，可以报上。”	Khổng tử nói: “Ấp Bồ nhiều tráng sĩ, lại khó trị lý, song ta dặn con rằng: cung kính có thể chế ngự được uy dũng, khoan hòa chính trực có thể cố kết chúng nhân, cung kính chính trực thì nơi ấy được yên, có thể lấy đó báo đáp bề trên.”
方孔悝作乱， 子路在外，闻之而 驰往。	Khi cùng Khổng Lý làm loạn, Tử Lộ ở ngoài, nghe tin vội đến.
子贡曰：“君按兵无伐，臣请往使吴王，令之救鲁而伐 齐，君因以兵迎之。”	Tử Cống đáp: “Ông cho án binh bất động, tôi xin đi sứ sang thuyết Ngô vương, khiến ông ta cứu Lỗ, đánh Tề, ông nhân đó đem quân nghênh chiến.”
田常许之，使子贡南见吴王。	Điền Thường đồng ý, sai Tử Cống xuống phía nam yết kiến Ngô vương.
吴王大说，乃使子贡之越。	Ngô vương cả mừng, bèn sai Tử Cống đi sứ nước Việt.
越王除道郊迎，身御至舍而问曰：“此蛮夷之国，大夫何以俨然 辱而临之？”	Việt vương hay tin Tử Cống đến, cho quét đường, ra tận ngoài thành nghênh đón, đích thân đánh xe đến khách xa hỏi: “Nơi này là nước man di, đại phu sao lại hạ mình đến đây?”
吴王大说，以告子贡曰：“越王 欲身从寡人伐齐，可乎？”	Ngô vương cả mừng, nói với Tử Cống: “Việt vương muốn đích thân theo quả nhân đánh Tề, được không?”
南游至江，从弟子三 百人，设取予去就，名施乎诸侯。	Đạm Đài Diệt Minh du ngoạn phía nam, đến Trường Giang, đệ tử đi theo đến ba trăm người, hành vi đích đáng, nổi danh chư hầu.
南宫括字子容。	Nam Cung Quát Nam Cung Quát tự Tử Dung.
■曰：“春服既成，冠者五六 人，童子六七人，浴乎沂，风乎舞雩，咏而归。”	Điểm thưa: “Quần áo mùa xuân đã may xong, cùng dăm sáu người tuổi đôi mươi, sáu bảy đứa trẻ, tắm trên sông Nghi, hóng gió ở đài Vũ Vu, cùng ca hát rồi kéo nhau về.”
何元朔 中以治易为汉中大夫。 高柴字子羔。	Thời Nguyên Sóc, Dương Hà nhờ nghiên cứu Dịch nên được làm Trung đại phu triều Hán.
有若默然无以应。	Hữu Nhược lặng im không đáp.
子路喜从游，遇长沮、桀溺、荷(cid:0)丈人。	Tử Lộ vui vì được xuất du cùng thầy, từng gặp Trường Thư, Kiệt Nịch, Hạ Điều Trương Nhân.
灵公太子蒉聩得过南子，惧诛出奔。	Thái tử Quỹ Khoái của Linh công đắc tội với Nam tử, sợ bị giết nên trốn sang nước khác.
蒉聩乃与孔悝作乱，谋入孔悝家，遂与其徒袭攻出公。	Quỹ Khoái bèn cùng Khổng Lý làm loạn, toan vào ấp của Khổng Lý, cùng đồ đang tập kích Xuất công.
子羔卒去。	Tử Cao bèn đi.
造蒉聩，蒉聩与孔悝登台。	Tới chỗ Quỹ Khoái, Quỹ Khoái và Khổng Lý lên đài.
蒉聩弗听。	Quỹ Khoái không nghe.
於是子路欲燔台，蒉 聩惧，乃下石乞、壶黡攻子路，击断子路之缨。	Thế là Tử Lộ định đốt đài, Quỹ Khoái hoảng sợ, bèn hạ lệnh cho Thạch Khất và Hồ Yểm tấn công Tử Lộ, chém đứt dải mũ của Tử Lộ.
子贡利口巧辞，孔子常黜其辩。	Tử Cống lợi khẩu, giỏi biện luận, thường bị Khổng tử phản bác.
田常欲作乱於齐，惮高、国、鲍、晏，故移其兵欲以伐鲁。	Điền Thường muốn làm loạn ở Tề, nhưng sợ thế lực của họ Cao, Quốc, Bào, Yến, bèn chuyển quân chực đánh Lỗ.
说曰：“臣闻之，王者不绝世，霸者无彊敌，千钧之重加铢两而 移。今以万乘之齐而私千乘之鲁，与吴争彊，窃为王危之。且夫救 鲁，显名也；伐齐，大利也。以抚泗上诸侯，诛暴齐以服彊晋，利莫 大焉。名存亡鲁，实困彊齐。智者不疑也。”	Gặp Ngô vương, Tử Cống bảo: “Thần nghe nói, bậc vương giả không để nước bị diệt, người làm bá không có kẻ địch mạnh, vật nặng ngàn cân chỉ cần thêm một chút cũng đủ làm nghiêng lệch. Nay Tề có vạn cỗ xe muốn chiếm Lỗ, có nghìn cỗ xe để tranh cường với Ngô, trộm thấy nguy thay cho nhà vua. Và cứu Lỗ thì danh tiếng rạng rỡ; đánh Tề thì thu mối lợi lớn vậy. Lấy danh nghĩa vỗ yên chư hầu ở Tứ Thượng, diệt Tề bạo ngược để chế phục Tấn hùng mạnh, lợi nào lớn hơn. Danh nghĩa là bảo tồn nước Lỗ mà thực lại khiến nước Tề mạnh nguy khốn, bậc trí giả không còn do dự nghi ngờ gì nữa.”
吴王曰：“善。虽然， 吾尝与越战，栖之会稽。越王苦身养士，有报我心。子待我伐越而听 子。”	Ngô vương đáp: “Phải lắm! Nhưng ta hay giao chiến với nước Việt, vây khốn ở Cối Kê. Việt vương cực nhọc nuôi quân, ôm lòng thù ta. Ông đợi ta đánh Việt, rồi sẽ theo lời ông.”
子贡曰：“越之劲不过鲁，吴之彊不过齐，王置齐而伐越，则 齐已平鲁矣。且王方以存亡继绝为名，夫伐小越而畏彊齐，非勇也。 夫勇者不避难，仁者不穷约，智者不失时，王者不绝世，以立其义。 今存越示诸侯以仁，救鲁伐齐，威加晋国，诸侯必相率而朝吴，霸业 成矣。且王必恶越，臣请东见越王，令出兵以从，此 实空越，名从诸侯以伐也。”	Tử Cổng nói: “Việt không mạnh bằng Lỗ, Ngô chẳng mạnh hơn Tề, ngài bỏ Tề đánh Việt thì Tề đánh được Lỗ rồi. Vả nhà vua lấy danh nghĩa bảo tồn nước cho nước khác, đánh nước Việt nhỏ mà dọa nước Tề mạnh, đó không phải dũng. Người dũng không tránh việc khó, người nhân không để người khác lâm cảnh khốn cùng, người trí không bỏ lỡ thời cơ, bậc vương giả không để nước bị diệt, phải lập đạo nghĩa của mình. Nay, bảo tồn Việt là tỏ lòng nhân với chư hầu, cứu Lỗ đánh Tề là ra oai với nước Tấn, chư hầu ắt dắt nhau đến chầu nước Ngô, bá nghiệp sẽ thành công. Nếu nhà vua thực sự lo nước Việt, thần xin qua phía đông yết kiến Việt vương, khiến ông ta xuất binh phụ giúp, như thế làm cho nước Việt trống không, danh nghĩa là theo chư hầu đi chinh phạt vậy.”
子贡曰：“吴王为人猛暴，群臣不堪；国家敝以数 战，士卒弗忍；百姓怨上，大臣内变；子胥以谏死， 太宰嚭用事，顺君之过以安其私： 是残国之治也。今王诚发士卒佐之徼其志， 重宝以说其心，卑辞以尊其礼，其伐齐必也。彼战 不胜，王之福矣。战胜，必以兵临晋，臣请北见晋君，令共攻之，弱 吴必矣。其锐兵尽於齐，重甲困於晋，而王制其敝，此灭吴必 矣。”	Tử Cống đáp: “Ngô vương là kẻ dũng mãnh tàn bạo, bề tôi không chịu nổi; nước suy yếu vì chiến tranh liên miên, sĩ tốt không chịu nổi; trăm họ oán thán người trên, đại thần có ý làm loạn; Tử Tư vì can ngăn mà phải chết, Thái tể Bá Phỉ nắm quyền, hùa theo lỗi của vua để củng cố lợi riêng. Đó là nền cai trị của đất nước hung tàn vậy. Nay nhà vua thực lòng phát binh giúp ông ta thỏa chí nguyện, cống tiến nhiều của quý khiến ông ta vui lòng, lời lẽ nhún nhịn phải lễ để tôn ông ta lên, ông ta nhất định đánh Tề. Nước Ngô đánh mà không thắng, là phúc của nhà vua vậy. Đánh mà thắng, ắt đem quân đến Tấn, thần xin lên phía bắc yết kiến vua Tấn, khiến Tấn cùng tấn công, Ngô nhất định suy yếu. Quân tinh nhuệ của Ngô thảy ở Tề, đại quân bị khốn ở Tấn còn nhà vua đánh nước yếu, như thế nước Ngô chắc chắn bị diệt.”
越王闻之，涉江袭吴，去城七里而军。	Việt vương hay tin, vượt sông đánh úp Ngô, đóng quân cách đô thành nước Ngô bảy dặm.
三战不胜，城门不守，越遂围王宫， 杀夫差而戮其相。	Đánh ba lần đều thua, không giữ được cổng thành, quân Việt liền bao vây cung Ngô, giết Phù Sai và Tướng quốc.
常相鲁卫，家累千金，卒终于 齐。	Từng làm tướng nước Lỗ và nước Vệ, gia sản có ngàn vàng, sau chết ở nước Tề.
孔子卒，原宪遂亡在草泽中。	Khổng tử mất, Nguyên Hiến liền ẩn cư nơi đầm cỏ.
漆雕徒父。	- Tất Điêu Đồ Phủ.
句践顿首再拜曰：“孤尝不料力，乃与吴战，困 於会稽，痛入於骨髓，日夜焦脣乾舌，徒欲与吴王接踵而死，孤之原 也。”	Câu Tiễn dập đầu vái lạy nói: “Cô thường không tự lượng sức, nên đánh nhau với nước Ngô, bị vây khốn ở Cối Kê, đau đớn đến tận xương tủy, ngày đêm cháy lưỡi khô môi, muốn sống chết với Ngô vương, là ước nguyện của cô vậy.”
越王大说，许诺。 送子贡金百镒，剑一，良矛二。	Việt vương cả mừng, đồng ý, rồi đưa tặng Tử Cống trăm dật vàng, một thanh kiếm, hai cây giáo tốt.
报吴王曰：“臣敬以大王之言告越王，越王大恐，曰：‘孤不 幸，少失先人，内不自量，抵罪於吴，军败身辱，栖于会稽，国为虚 莽，赖大王之 赐，使得奉俎豆而修祭祀，死不敢忘，何谋之敢虑！’”後五日，越 使大夫种顿首言於吴王曰：“东海役臣孤句践使者臣种，敢修下吏问 於左右。今窃闻大王将兴大义，诛彊救弱，困暴齐而抚周室，请悉起 境内士卒三千人，孤请自被坚执锐，以先受矢石。因越贱臣种奉先人 藏器，甲二十领，鈇屈卢之矛， 步光之剑，以贺军吏。”	Tử Cống về báo Ngô vương: “Thần cung kính dâng lời đại vương cho Việt vương, Việt vương cả sợ, nói: 'Cô bất hạnh, thuở nhỏ mất cha, không tự lượng sức, đắc tội với Ngô, quân thua thân nhục, co cụm ở Cối Kê, đất nước hoang tàn, nhờ đại vương ban tặng, để được phụng thờ tế tự, chết không dám quên, nào dám toan tính gì khác!'” Năm ngày sau, nước Việt sai quan đại phu Chủng dập đầu nói với Ngô vương: “Kẻ nô bộc do Câu Tiễn ở Đông Hải sai đến là Chủng, mạo muội xin thưa. Nay trộm nghe đại vương sắp vì đại nghĩa, đánh kẻ mạnh cứu nước yếu, vây khốn nước Tề hung bạo để vỗ về vương triều Chu, xin đem ba nghìn sĩ tốt trong nước, đích thân mặc giáp dày cầm vũ khí, đi trước chịu tên. Nhân đó, bề tôi hèn mọn là Chủng mang vũ khí do tiền nhân để lại gồm 20 bộ giáp sắt, dao lớn, giáo Khuất Lư, kiếm Bộ Quang để làm lễ chúc mừng quân đội.”
吴王许诺， 乃谢越王。	Ngô vương đồng ý, bèn từ chối Việt vương.
於是吴王乃遂发九郡兵伐齐。	Thế rồi Ngô vương liền phát quân ở chín quận đi đánh Tề.
晋君许诺。	Vua Tấn đồng ý.
吴晋争彊。	Ngô và Tấn tranh cường.
吴王果与齐人战於艾陵， 大破齐师，获七将军之兵而不归，果以兵临晋，与晋人相遇黄池 之上。	Quả nhiên Ngô vương đánh người Tề ở Ngải Lăng, đại phá quân Tề, bắt được bảy tướng mà không rút quân, lại đem quân đến Tấn, gặp người Tấn ở trên Hoàng Trì.
故子贡一出，存鲁，乱齐，破吴，彊晋而霸越。	Cho nên, Tử Cống xuất mã một lần mà bảo tồn được Lỗ, làm Tề hỗn loạn, phá tan nước Ngô, khiến Tấn hùng cường, giúp Việt thành bá chủ.
子夏问：“‘巧笑倩兮，美目盼兮，素以为绚兮’，何谓 也？”	Tử Hạ hỏi: “[Kinh Thi viết]: Cười khéo miệng duyên, mắt đẹp lúng liếng, trên nền trắng lại điểm vẽ thêm, ý nói gì?”
孔子既没，子夏居西河 教授，为魏文侯师。	Khổng tử mất rồi, Tử Hạ dạy học ở Tây Hà, làm thầy Ngụy Văn đế.
自子石已右三十五人，显有年名及受业见于书传。	Từ Tử Thạch trở lên gồm 35 người, có tên tuổi rõ ràng và việc theo học Khổng tử được chép trong sách vở.
子贡相 卫，而结驷连骑，排藜藿入穷阎，过谢原宪。	Tử Cống làm Tướng quốc nước Vệ, đi hàng đoàn xe tử mã, mở cổng cỏ lá vào căn nhà tồi tàn thăm Nguyên Hiến.
宪摄敝衣冠见子贡。	Hiến xốc lại mũ áo cũ rách ra gặp Tử Cống.
句井疆。	- Cú Tỉnh Cương.
原亢籍。	- Nguyên Cang Tịch.
孔子传易於瞿，瞿传楚人馯臂子弘， 弘传江东人矫子庸疵， 疵传燕人周子家 竖， 竖传淳于人光子乘羽， 羽传齐人田子庄何， 何传东武人王子中 同， 同传菑川人杨何。	Khổng tử truyền [Kinh] Dịch cho Cù, Cu truyền lại cho Hãn Tý Tử Hoằng người nước Sở, Hoằng truyền cho Kiều Tử Dung là Tỳ người Giang Đông, Tỳ truyền cho Chu Tử Gia là Thụ người nước Yên, Thụ truyền cho Quang Tử Thừa là Vũ người ở Thuần Vu, Vũ truyền cho Điện Tử Trang là Hà người nước Tề, Hà truyền cho Vương Tử Trung là Đồng người Đông Vũ, Đồng truyền cho Dương Hà người ở Truy Xuyên.
商泽。	- Thương Trạch.
狄黑字皙。	- Địch Hắc, tự là Tích.
