周后稷，名弃。	Chu Hậu Tắc tên là Khí.
诗人道西伯，盖 受命之年称王而断虞芮之讼。	Người làm Thi nói rằng, có lẽ năm Tây Bá nhận được mệnh trời xưng vương, thì khiến Ngu, Nhuế dứt kiện tụng.
改法 度，制正朔矣。 追尊古公为太王，公季为王季： 盖王瑞自太王兴。	Ngài sửa pháp độ, đặt lịch số, truy tôn Cổ Công là Thái Vương, Công Quý là Vương Quý. Có lẽ điềm lành của vương nghiệp hưng khởi từ Thái Vương vậy.
乃告司马、司徒、司空、诸节： “齐栗，信哉！予无知，以先祖有德臣，小子受先功， 毕立赏罚，以定其功。” 遂兴师。	Lại nói với các quan Tư mã, Tư đồ, Tư không: “Các ngươi phải nghiêm túc, thành thật! Ta không có hiểu biết, bởi tổ tiên có bề tôi đức độ, kẻ mọn ta chịu ơn tổ tiên. Việc xong xuôi ắt sẽ thưởng phạt, định rõ công lao”, đoạn bèn dấy quân.
太师疵、少 师彊抱其乐器而饹周。	Thái sư Tỳ, Thiếu sư Cương ôm nhạc khí mà chạy đến đất Chu.
於是武王遍告诸侯曰：“殷有重罪，不可以不 毕伐。”	Thế là Võ vương bá cáo chư hầu rằng: “Ân có tội nặng, không thể không đánh!”
武王乃作太誓，告于众庶：“今殷王纣乃用其妇人之言，自绝 于天，毁坏其三正， 离逷其王父 母弟， 乃断弃其先祖之乐，乃为淫声，用变乱正声，怡说妇人。 故今予发维共行天罚。勉哉夫子， 不可再，不可三！”	Võ vương mới làm thiên Thái thệ, bá cáo lê dân: “Nay vua Trụ nhà Ân nghe lời đàn bà, đoạn tuyệt với trời, hủy hoại tam chính, xa lìa anh em thân cận, phế bỏ âm nhạc của tổ tiên, đặt ra dâm thanh, làm loạn chính nhạc, mua vui đàn bà. Nay Phát ta vâng trời trừng phạt. Các ngươi hãy gắng gỏi! Việc này không có lần thứ hai, càng không có lần thứ ba”.
遂入，至纣死所。	Khi vào thành, tới chỗ Trụ chết.
武王已乃出复军。	Xong xuôi, Võ vương bèn ra khỏi thành, trở lại quân doanh.
其明日，除道，脩社及商纣宫。	Ngày hôm sau, dọn đường, sửa xã đàn và cung điện của Thương Trụ.
乃罢兵西 归。	Đoạn bãi binh trở về phương Tây.
封弟 叔鲜於管， 弟叔度於蔡。	Phong em là Thúc Tiên ở đất Quản, em là Thúc Độ ở đất Sái.
武王徵九牧之君，登豳之阜，以望商邑。	Võ vương triệu quân trưởng của chín châu, lên núi ở đất Bân trông ra Thương Ấp.
箕子不忍言殷恶，以存 亡国宜告。	Cơ Tử không nỡ nói đến tội ác của nhà Ân, mà đem việc giữ nước và để mất nước ra nói.
武王亦丑，故问以天道。	Võ vương cũng ái ngại, nên hỏi về đạo trời.
天下未集，群公惧，穆卜， 周公乃祓斋， 自为质， 欲代武王，武王有瘳。	Thiên hạ chưa yên. Quần thần sợ, kính cẩn xem bói. Chu công bèn trai giới cầu củng, tự làm người thế mạng, muốn chịu thay Võ vương.
成王少，周初定天下，周公恐诸侯畔周，公乃摄行政当国。	Thành vương tuổi nhỏ, nhà Chu lại mới định thiên hạ, Chu công sợ chư hầu phản nhà Chu, bèn nhiếp chính cai quản việc nước.
管 叔、蔡叔群弟疑周公，与武庚作乱，畔周。	Các em là Quản Thúc, Sái Thúc nghi ngờ Chu công, cùng Võ Canh làm loạn, phản nhà Chu.
以微子开代殷後，国於宋。	Cho Vi Tử Khải thay hậu duệ nhà Ân, dựng nước ở đất Tống.
初，管、蔡畔周，周公讨之，三年而 毕定，故初作大诰，次作微子之命，次 归禾，次嘉禾，次康诰、酒诰、梓材， 其事在周公之篇。	Ban đầu Quản, Sái phản nhà Chu, Chu công thảo phạt họ, ba năm thì dẹp yên, nên mới viết thiên Đại cáo, thứ đến viết Vi Tử chi mệnh, thứ nữa là thiên Quy hòa, thứ nữa là thiên Gia hòa, thứ nữa là các thiên Khang cáo, Tửu cáo, Tử tài, các việc ấy đều ở trong thiên Chu công.
周公复卜申视，卒营 筑，居九鼎焉。	Chu công lại xem bói, cuối cùng xây cất xong, đặt chín đỉnh tại đó.
召公为保，周 公为师，东伐淮夷，残奄， 迁其君薄姑。	Thành vượng phong Thiệu Công làm Thái bảo, Chu Công làm Thái sư, tới phương đông thảo phạt Hoài Di, diệt nước Yểm, dời vua nước ấy tới đất Bạc Cô.
既绌殷命，袭淮夷，归在丰，作周官。	Sau khi truất mệnh nhà Ân, đánh Hoài Di, về đất Phong, ngài viết thiên Chu quan, Chấn hưng lễ nhạc, chế độ từ đó thay đổi.
兴 正礼乐，度制於是改，而民和睦，颂声兴。	Dân chúng hòa mục, lời ca tụng vang khắp.
成王将崩，惧太子钊之不任， 乃命召公、毕公率诸侯以相太子而立之。	Thành vương sắp băng, sợ thái tử Chiêu không thể đảm nhiệm, lệnh cho Thiệu Công, Tất công dẫn chư hầu phò tá thái tử lên ngôi.
成王既崩，二公率诸侯，以 太子钊见於先王庙，申告以文王、武王之所以为王业之不易，务在节 俭，毋多欲，以笃信临之，作顾命。	Thành vương băng rồi, hai ông dẫn chư hầu, đưa thái tử Chiêu đến bái yết ở tông miếu tiên vương, kể chuyện Văn vương, Võ vương gây dựng vương nghiệp không dễ dàng, cần phải tiết kiệm, chở nhiều dục vọng, lấy sự thành thực đối đãi thiên hạ, đoạn viết thiên Cứ mệnh.
立昭王子满， 是为穆王。	Con Chiêu vương là Mãn lên ngôi, đây là Mục vương.
诸侯有不睦者，甫侯言於王，作脩刑辟。	Chư hầu có kẻ không hòa thuận, Phủ Hầu nói với vua, bèn sửa sang hình pháp.
大夫 芮良夫谏厉王曰：“王室其将卑乎？夫荣公好专利而不知 大难。夫利，百物之所生也，天地之所载也，而有专之，其害多矣。 天地百物皆将取焉，何可专也？所怒甚多，不备大难。以是教王，王 其能久乎？夫王人者，将导利而布之上下者也。使神人百物无不得 极，犹日怵惕惧怨之来也。故颂曰‘思文 后稷，克配彼天，立我蒸民，莫匪尔极’。大雅曰‘陈锡载周’。 是不布利而惧难乎，故 能载周以至于今。今王学专利，其可乎？匹夫专利，犹谓之盗，王而 行之，其归鲜矣。荣公若用，周必败也。”	Đại phu Nhuế Lương Phu can Lệ vương rằng: “Vương thất sắp suy rồi chăng? Ôi Vinh công thích độc chiếm tài lợi mà không biết đến nạn lớn. Tài lợi sinh ra từ vạn vật, trời đất sẵn có, nay độc chiếm thì nguy hại lắm vậy. Vạn vật trong trời đất, mọi người đều có thể lấy dùng, làm sao độc chiếm được? Người phẫn nộ rất nhiều mà lại không đề phòng nạn lớn. Đem điều này ra bảo vua, vua còn có thể ở ngôi lâu dài chăng? Xét bậc vương giả phải điều hòa tại lợi mà ban bố cho người trên kẻ dưới, khiến thần, người, muôn vật đều được thụ hưởng. Lại còn phải ngày ngày nơm nớp, lo sợ dấy lòng oán hận. Vậy nên thơ Tụng viết: Đẹp thay Hậu Tắc, cùng trời sánh đức, đem hạt cho dân, ơn ngài trải khắp Thơ Đại Nhã viết: “Ban khắp đất Chu. Ấy chẳng phải bạn phát tài lợi mà lo sợ nạn lớn đó sao? Vậy nên nhà Chu mới trải đến ngày nay. Nay vua học thói độc chiếm tài lợi, làm vậy được chăng? Tên thất phu độc chiếm tài lợi cũng gọi là trộm, vua mà lại làm vậy thì người quy thuận sẽ ít đó! Trọng dụng Vinh công, Chu ắt bại vong.”
厉王不听，卒以荣公为卿 士，用事。	Lệ vượng không nghe, cuối cùng lấy Vinh công làm Khanh sĩ, cho chấp chính.
厉王 喜，告召公曰：“吾能弭谤矣，乃不敢言。” 召公曰：“是鄣之也。 防民之口，甚於防水。水壅而溃，伤人必多，民亦如之。是故为水者 决之使导，为民者宣之使言。故天子听政，使公卿至於列士献诗， 瞽献曲，史献书， 师箴，瞍 赋，矇诵， 百工谏，庶人 传语， 近臣尽规， 亲戚补察， 瞽史教诲，耆艾 脩之，而后王 斟酌焉，是以事行而不悖。民之有口也，犹土之有山川也，财用於是 乎出：犹其有原隰衍沃也，衣 食於是乎生。口之宣言也，善败於是乎兴。行善而备败，所以产财用 衣食者也。夫民虑之於心而宣之於口，成而行之。若壅其口，其与能 几何？”	Lệ vương vui mừng, bảo Thiệu Công rằng: “Ta có thể cấm tuyệt lời chỉ trích rồi, không ai dám nói nữa” Thiệu Công nói: “Ấy là bịt miệng vậy. Đề phòng miệng dân còn hơn phòng lũ. Để ngăn mà vỡ, thương tổn ắt nhiều, dân cũng như vậy. Thế nên người trị thủy phải cho sông được khơi thông, người trị dân phải cho dân được bày tỏ. Vậy nên thiên tử xử lý chính sự, phải khiến từ công khanh cho tới liệt sĩ dâng thơ, nhạc quan dâng khúc hát, sử quan dâng sách, thái sư dâng bài trâm, kẻ mù dâng bài phú, kẻ thong manh dâng bài tụng, trăm quan can gián, dân chúng truyền lời, cận thần khuyên nhủ, thân thích góp ý, nhạc – sử bảo ban, bô lão chỉnh sửa, rồi vua cân nhắc. Vậy nên chính sự thi thành mới không trái đạo. Dân có miệng cũng như đất có núi sông vậy, của cải từ ấy mà ra, cũng như đất có chỗ phẳng trũng cao thấp, cái ăn cái mặc từ ấy mà ra. Qua lời truyền miệng, tốt xấu từ ấy rõ rệt. Làm việc tốt, ngừa việc xấu, ấy là cách tạo ra của cải, ăn mặc vậy. Dân suy nghĩ trong lòng mà phát lời ở miệng, quyết định rồi làm. Nếu bịt miệng họ, liệu được bao lâu?”
厉王太子静匿召公之家，国人闻之，乃围之。	Thái tử của Lệ vương là Tĩnh náu ở nhà Thiệu công, người trong nước nghe tin, bèn tới vây lại.
召公曰：“昔吾骤 谏王，王不从，以及此难也。今杀王太子，王其以我为雠而懟怒乎？ 夫事君者，险而不雠懟，怨而不怒，况 事王乎！”	Thiệu Công nói: “Trước ta đã nhiều lần can gián vua, nhưng vua không nghe nên mới gặp nạn này. Nay giết thái tử, vua cho rằng ta ôm thù chuốc giận thì sao? Ôi kẻ thờ quân trưởng, dẫu hiểm nguy cũng không thù địch, dẫu oán cũng không hờn, huống hồ là thờ vua”.
宣王既亡南国之师，乃料民於太原。	Tuyên vương để mất số quân chinh phạt phương Nam, bèn tính số dân ở Thái Nguyên.
是岁也，三川竭，岐山 崩。	Năm ấy, ba sông cạn, núi Kỳ lở.
襃姒生子伯服，幽王 欲废太子。	Bao Tự sinh con trai là Bá Phục. U vương muốn phế thái tử.
於 是宣王闻之，有夫妇卖是器者，宣王使执而戮之。	Bấy giờ Tuyên vương nghe tin có đôi vợ chồng bán mấy thứ này. Tuyên vương sai bắt đem giết.
其後不信，诸侯益亦不至。	Sau chẳng ai tin, chư hầu không đến nữa.
幽王以虢石父为卿，用事，国人皆怨。	U vương lấy Quốc Thạch Phụ làm Khanh, cho chấp chính, người trong nước đều oán.
石父为人佞巧 善谀好利，王用之。	Thạch Phụ là người khéo nịnh, giỏi a dua, ham lợi lộc.
遂杀幽王骊山下， 虏襃姒，尽 取周赂而去。	Bèn giết U vương dưới chân núi Ly Sơn, bắt Bao Tự, lấy hết của cải của nhà Chu rồi bỏ đi.
於是诸侯乃即申侯而共立故幽王太子宜臼，是为平王，以奉周 祀。	Chư hầu đến chỗ Thân hầu rồi cùng lập thái tử cũ của U vương là Nghi Cữu lên ngôi, đây là Bình vương, để duy trì việc cúng tế của nhà Chu.
许田，天子之用事太山田也。	Ruộng Hứa là ruộng của thiên tử dùng để tế tự núi Thái sơn.
八 年，鲁杀隐公，立桓公。	Năm thứ tám, người nước Lỗ giết Ẩn Công, lập Hoàn Công.
辛伯告王， 王杀周公。	Tân Bá thưa với vua, vua giết Chu công.
王子克饹燕。	Vương tử Khắc chạy đến đất Yên.
乐及遍舞， 郑、虢君怒。	Múa hát theo nhạc của sáu đời. Vua nước Trịnh, Quắc tức giận.
惠后生叔带， 有宠於惠王，襄王畏之。	Huệ hậu sinh ra Thúc Đái, được Huệ vương yêu sủng, Tương vương lo sợ.
管仲辞曰：“臣贱有司也，有天子之二守 国、高在。 若节春秋来承王命，何以礼焉。 陪臣敢辞。”	Quản Trọng từ chối nói: “Thần là quan Hữu ty hèn mọn, trên còn có hai vị Thượng khanh của thiên tử là họ Quốc, họ Cao, Nếu tiết xuân thu họ đến nhận mệnh vua thì người dùng lễ gì tiếp họ. Hạ thần dám xin từ chối?”
管仲卒受下卿之礼而还。	Quản Trọng cuối cùng nhận lễ Hạ khanh rồi về.
王怒，将以翟伐郑。	Vua nổi giận, định đem quân Địch đánh Trịnh.
子带立为 王，取襄王所绌翟后与居温。	Vương tử Đại được lập làm vua, bèn lấy Địch hậu trước bị Tương vương phế truất, cùng sống ở đất Ôn.
十年，楚庄王围郑，郑伯降，已而复之。	Năm thứ mười, Sở Trang vương vây nước Trịnh, Trịnh Bá đầu hàng, không lâu lại cho phục quốc.
哀王立三月，弟叔袭杀哀王而自 立，是为思王。	Ai vương lên ngôi được ba tháng, em là Thúc Tập giết Ai vương mà tự lập. Đây là Tư vương.
思王立五月，少弟嵬攻杀思王而自立，是为考王。	Tư vương lên ngôi được năm tháng, em út là Ngôi giết Tư vương mà tự lập. Đây là Khảo vương.
此 三王皆定王之子。	Ba vua này đều là con của Định vương.
考王封其弟于河南， 是为桓公，以续周公之官职。	Khảo vương phong cho em ở đất Hà Nam, đây là Hoàn công, để tiếp nối chức quan của Chu công.
秦借道两周之间，将以伐韩， 周恐借之畏於韩，不借畏於秦。	Tần mượn đường giữa hai nước Chu, định đánh nước Hàn, Chu e cho Tần mượn đường thì sợ Hàn, không cho mượn thì sợ Tần.
史厌谓周君 曰：“何不令 人谓韩公叔 曰‘秦之敢绝周而伐韩者，信东周也。公何不与周地，发质使之 楚’？ 秦必疑楚不信周，是韩不伐 也。又谓秦曰‘韩彊与周地，将以疑周於秦也，周不敢不受’。秦必 无辞而令周不受， 是受地於韩而听於秦。”	Sử Yếm nói với vua Chu: “Sao không sai người nói với Công Thúc nước Hàn rằng: “Tần dám vượt Chu để đánh Hàn, vì tin Đông Chu vậy. Sao ngài không cho nhà Chu đất, rồi đưa con tới Sở làm tin. Tần ắt nghi ngờ Sở, không tin Chu. Hàn sẽ không bị đánh vậy. Lại nói với Tần rằng: Hàn cứ muốn cho Chu đất, hàng khiến Tần nghi ngờ Chu vậy. Chu không dám không nhận. Tần ắt không có lý nào bắt Chu không nhận. Như vậy Chu nhận đất của Hàn mà vẫn nghe theo Tần vậy.”
秦召西周君，西周君恶往，故令人谓韩王 曰：“秦召西周君，将以使攻王之南阳也，王何不 出兵於南阳？周君将以为辞於秦。 周君不入秦，秦必不敢逾河而攻南阳 矣。”	Tần triệu kiến vua Tây Chu, vua Tây Chu không muốn đến, nên sai người nói với Hàn vương rằng: “Tần triệu kiến vua Tây Chu, định bảo đánh đất Nam Dương của vương vậy. Sao vương không xuất binh ở Nam Dương? Vua Chu sẽ lấy đó làm cớ chối Tần. Vua Chu không hùa với Tần, Tần ắt không dám vượt Hoàng Hà để đánh Nam Dương vậy.”
东周与西周战，韩救西周。	Đông Chu và Tây Chu giao chiến. Hàn cứu Tây Chu.
代曰：“君何患於是。臣能使韩毋徵甲与粟於周，又能为君得高 都。”	Tô Đại nói: “Sao vua lại lo việc này. Thần có thể khiến Hàn không chiêu binh và lương thực ở Chu nữa, lại có thể khiến vua có được Cao Đô”.
五代曰：“何不与周 高都？”	Tô Đại nói: “Sao không cho nhà Chu đất Cao Đô?”
韩相国大怒曰：“吾毋徵甲与粟於周亦已多矣， 何故与周高都也？”	Tướng quốc nước Hàn cả giận nói: “Ta không chiêu binh và lương thực ở Chu nữa đã là quá lắm rồi, có gì lại phải cho Chu đất Cao Đô?”
代曰：“与周高都，是周折而入於韩也，秦 闻之必大怒忿周，即不通周使，是以弊高都得完周也。曷为不 与？”	Tô Đại nói: “Cho Chu đất Cao Đô, khiến Chu chuyển sang dựa vào Hàn vậy. Tần nghe tin ắt cả giận, ghét Chu, không thông hiếu với Chu. Ấy là bỏ đất Cao Đô tả tơi để được đất Chu trọn vẹn vậy. Sao lại không cho?”
果与周高都。	Quả nhiên cho Chu đất Cao Đô.
客曰“非 吾能教子支左诎右也。 夫去柳叶百步而射之，百发而百中之，不以善息， 少焉气衰力倦，弓拨矢钩，一发不中者，百 发尽息”。 今破韩、魏，扑师武，北取赵 蔺、离石者，公之功多矣。 今又将兵出塞，过两周，倍韩，攻梁，一 举不得，前功尽弃。 公不如称病而无出’。”	Khách nói: “Không phải việc ta có thể dạy ngươi tay trái giương cung, tay phải căng dây. Việc cách lá liễu trăm bước mà bắn trăm phát trăm trúng, không biết thấy tốt mà ngừng lại, thì một chốc khí suy sức mỏi, cung vẹo tên cong, một phát không trúng, trăm phát vất hết. Nay phá Hàn, Ngụy, đánh Sư Võ, phía bắc lấy đất Lận, Ly Thạch của nước Triệu, công ông nhiều nhất. Nay lại đem quân vượt ải, qua đất của hai nhà Chu, phản Hàn, đánh Lương, một việc không thành, công trước bỏ cả. Chẳng thà ông cáo bệnh khỏi xuất quân”.
因谓秦王曰：“梁非戍周也，将伐 周也。王试出兵境以观之。”	Mã Phạm nhân nói với Tần vương rằng: “Lương không phải giữ đất Chu đâu mà định đánh Chu đấy. Vương thử xuất binh tới biên giới mà xem.”
武王营之， 成王使召公卜居，居九鼎焉，而周复都丰、镐。	Võ vương cho xây dựng Lạc Ấp, Thành vương sai Thiệu công bói nơi ở, rồi đặt chín đỉnh ở đó, song nhà Chu vẫn đóng đô ở đất Phong, đất Cảo.
帝纣乃囚西伯於羑里。	Đế Trụ bèn cầm tù Tây Bá ở Dữu Lý.
闳夭之徒患之。 乃求有莘氏美女， 骊戎之文马， 有熊九驷， 他奇怪物，因殷嬖臣费 仲而献之纣。	Bọn Hoành Yểu lo sợ, bèn tìm con gái đẹp của họ Hữu Tân, ngựa vằn Ly Nhung, ba mươi sáu thớt ngựa của họ Hữu Hùng và các vật lạ kỳ khác, nhờ sủng thần Phí Trong nước Ân dâng lên cho Trụ.
乃赦西伯，赐之 弓矢斧钺，使西伯得征伐。 曰：“谮西伯者，崇侯虎也。”	Đoạn bèn tha Tây Bá, ban cho cung tên phủ Việt để Tây Bá được quyền chinh phạt, đồng thời nói rằng: “Kẻ nói xấu Tây Bá là Sùng Hầu Hổ vậy.”
西伯阴行善，诸侯皆来决平。	Tây Bá ngầm làm việc thiện. Chư hầu đều đến xin phân xử cho công bằng.
武王即位， 太公望为师，周公旦为辅，召公、毕公之徒左右 王，师脩文王绪业。	Võ vương lên ngôi, Thái công Vọng làm Sư, Chu công Đán làm Phụ, đám Thiệu Công, Tất công ở cạnh phò tá vua, noi theo di nghiệp của Văn vương.
为 文王木主，载以车，中军。	Làm thần chủ cho Văn vương, chở bằng xe, đặt trong quân.
武王自称太子发，言奉文王以伐，不敢自 专。	Võ vương tự xưng là thái tử Phát, nói rằng vâng mệnh Văn vương thảo phạt chứ không dám tự tiện.
诸侯皆曰：“纣可伐矣。” 武王曰：“女未知天命，未可 也。” 乃还师归。	Chư hầu đều nói: “Có thể đánh Trụ được rồi” Võ vương nói: “Các ngươi chưa biết mệnh trời, vẫn chưa được đâu”, đoạn đem quân về.
乃遵文王，遂率戎车三百乘， 虎贲三千人， 甲士四万五千人，以东伐纣。	bèn tuân theo Văn vương, chỉ huy ba trăm cỗ chiến xa, ba nghìn quân Hổ Môn, bốn vạn năm nghìn tên lính mặc giáp, tiến về phía đông đánh Trụ.
曰：“孳孳无 怠！”	Ngài nói: “Chăm chỉ chớ nhác?”
武王曰：“嗟！我有国冢君，司 徒、司马、司空，亚旅、师氏， 千夫长、百夫长， 及庸、蜀、羌、髳、微、纑、彭、濮人， 称尔戈，比尔干，立尔 矛，予其誓。” 王曰：“古人有言‘牝鸡无晨。牝鸡之晨，惟家之 索’。 今殷王纣维妇人言是用，自弃其先祖肆祀不答， 昬弃其家国，遗其王父母弟不用，乃维四 方之多罪逋逃是崇是长，是信是使， 俾暴虐于百姓，以奸轨于商国。今予发维 共行天之罚。今日之事，不过六步七步，乃止齐焉， 夫子勉哉！ 不过於四伐五伐六伐七伐，乃止齐焉， 勉哉夫子！尚桓桓， 如虎如罴，如豺如离， 于商郊，不御克饹，以役西土， 勉哉 夫子！尔所不勉，其于尔身有戮。”	Võ Vương nói: “Hỡi quân vương, và các quan Tư đồ, Tư mã, Tư không, Á lữ, Sư thị, Thiên phu trưởng, Bách phu trưởng của các nước và người dân các vùng Dung, Thục, Khương, Mâu, Vi, Lư, Bành, Bộc, hãy giương cây qua, sắp lá chắn, dựng cây mâu, nghe ta tuyên thệ! Vua nói: “Người xưa có câu: Gà mái không gáy sáng. Gà mái gáy sáng, cửa nhà tiêu tan. Nay vua Trụ nhà Ân rặt nghe lời đàn bà, bỏ mặc việc thờ cúng tổ tiên, bỏ bê gia tộc và đất nước, không dùng các anh em thân cận, lại ưa chuộng, tin dùng đám tội phạm lưu vong ở bốn phương, để chúng bạo ngược với trăm họ, làm rối loạn nước Thương. Nay Phát ta vầng trời trừng phạt. Chiến sự hôm nay, hễ đi sáu bước, bảy bước, hãy dừng lại chỉnh đốn. Các ngươi gắng lên! Cứ đâm bốn nhát, năm nhát, sáu nhát, bảy nhát, hãy dừng lại chỉnh đốn. Gắng lên các ngươi! Hãy dũng mãnh như hùm như gấu, như sói như beo. Ở ngoại ô đất Thương, chớ giết kẻ chạy đến hàng, hãy đem họ về phục dịch ở miền Tây. Gắng lên các ngươi! Các ngươi không cố gắng, chính các ngươi sẽ bị giết!”
帝纣闻武王来，亦发兵七十万人距武王。	Đế Trụ nghe tin Võ vương tới, cũng cất bảy mươi vạn quân chống cự Võ vương.
武王使师尚父与百夫致 师， 以大卒驰帝纣师。	Võ vương sai Sư Thượng Phụ và trăm dũng sĩ ra khiêu chiến, dùng đại quân tinh nhuệ truy đuổi quân Đế Trụ.
纣 师皆倒兵以战，以开武王。	Quân Trụ trở giáo đánh quân mình để mở đường cho Võ vương.
武王驰之，纣兵皆崩畔纣。	Võ vương xông lên, quân Trụ tan vỡ, phản bội Trụ.
武王持大白 旗以麾诸侯，诸侯毕拜武王，武王乃揖诸侯， 诸侯毕从。	Võ vương cầm cờ trắng lớn chỉ huy chư hầu. Tất cả chư hầu lạy Võ vương, Võ vương bèn chắp tay với chư hầu, chư hầu đều theo.
武王自射之，三 发而后下车，以轻剑击之，以 黄钺斩纣头，县大白之旗。	Võ vương đích thân bắn tên ba phát rồi xuống xe, dùng kiếm Khinh Lã chém Trụ, dùng rìu vàng chặt đầu Trụ, treo lên cờ trắng lớn.
散宜生、太颠、闳夭皆执剑以卫武王。	Tán Nghi Sinh, Thái Điện, Hoành Yểu đều cầm kiếm để bảo vệ Võ vương.
於是武王再拜稽首，曰：“膺更大命，革殷，受天明 命。”	Thế rồi Võ vương lại vái lạy dập đầu, nói: “Vâng chịu mệnh lớn, thay đổi nhà Ân, nhận mệnh sáng của trời.”
封诸侯， 班赐宗彝，作分殷之器物。	Phân phong chư hầu, ban chia chén tế Tông di, viết thiên Phân Ân chi khí vật.
武王已克殷，後二年，问箕子殷所以亡。	Chu công Đán (Tam Tài đồ hội) Võ vương đã đánh thắng nhà Ân, sau hai năm ngài hỏi Cơ Tử nguyên do nhà Ân bại vong.
武王病。	Võ vương ốm.
成王在丰，使召公复营洛邑，如武王之意。	Thành vương ở đất Phong, sai Thiệu công tiếp tục xây dựng Lạc Ấp theo ý của Võ vương.
成王既迁殷遗民，周公以王命告，作多士、无佚。	Thành vương sau khi dời di dân nhà Ân (tới Lạc Ấp), Chu Công liền đem mệnh vua bố cáo với họ, đoạn viết thiên Đa sĩ, Vô dật.
康王即位，遍告诸 侯，宣告以文武之业以申之，作康诰。	Khang vương lên ngôi, liền bá cáo chư hầu, kể lại sự nghiệp của Văn vương, Võ vương, viết thiên Khang cáo.
昭王之时，王道微缺。	Thời Chiêu vương, vương đạo hơi tổn khuyết.
