樗里子者，名疾，秦惠王之弟也， 与惠王异母。	Sư Lý tử Sư Lý tử tên Tật, là em khác mẹ với Tần Huệ vương.
赵王立自割五城以广河间。	Triệu vương lập tức cắt năm thành để mở rộng vùng Hà Gian.
秦归燕太子。	Tần trả Thái tử nước Yên về nước.
赵攻燕，得上 谷三十城， 令秦有十一。	Triệu tấn công Yên, chiếm được ba mươi thành ở Thượng Cốc, Tần được mười một thành.
甘罗还报秦，乃封甘罗以为上卿，复以始甘茂田宅赐之。	Cam La về báo với Tần, Tần vương phong Cam La làm thượng khanh, lại đem điền trạch của Cam Mậu trước kia ban cho.
太史公曰：樗里子以骨肉重，固其理，而秦人称其智，故颇采 焉。	Thái sử công bàn rằng: Sư Lý tử vì cốt nhục được trọng dụng, vốn là lẽ thường, được người Tần khen là trí, cho nên tôi chọn ghi nhiều.
甘茂起下蔡闾阎，显名诸侯，重彊齐楚。	Cam Mậu dấy lên nơi xóm làng ở đất Hạ Thái, nổi danh chư hầu, được Tề, Sở mạnh coi trọng.
方秦之 彊时，天下尤趋谋诈哉 严君名疾，厥号“智囊”。 既亲且重，称兵外攘。 甘茂 并相，初佐魏章。 始推向寿，乃攻宜阳。	Đương khi Tần hùng mạnh, thiên hạ càng đổ xô tính mưu gian trá vậy.
蒲 守恐，请胡衍。	Bồ chống giữ trong sợ hãi, bèn cầu cứu Hồ Diễn.
故胡衍受金於蒲以自贵於 卫。 於是遂解蒲而去。	Vì thế Hồ Diễn nhận vàng của đất Bồ, còn được hiển quý Vệ. Sau Tần giải vây đất Bồ, rút về.
还击皮氏， 皮氏未降，又去。	Rồi trở lại đánh Bì Thị, chưa hạ được Bì Thị, lại rút lui.
至汉兴，长乐宫在其东， 未央宫在其西， 武库正直其墓。	Đến thời Hán, cung Trường Lạc ở đông, cung Vị Ương ở tây, kho vũ khí ngay trên mộ Sư Lý tử.
乃下师於殽以救韩。	Bèn đem quân xuống đất Hào để cứu Hàn.
向寿如楚， 楚闻秦之贵向寿，而厚事向寿。	Hướng Thọ đến Sở, Sở biết Hướng Thọ là quý thích của Tần, đối đãi trong hậu.
向寿、公孙奭争之，不能得。	Hướng Thọ và Công Tôn Thích phản đối, cho là không được.
向寿、公孙奭由此怨，谗甘茂。	Vì thế Hướng Thọ và Công Tôn Thích oán ghét, gièm pha Cam Mậu.
文信侯不快，未有以彊也。	Văn Tín hầu không vui, cũng không ép buộc.
文信侯曰：“吾令刚成君蔡泽事燕三 年，燕太子丹已入质矣，吾自请张卿相燕而 不肯行。”	Văn Tín hầu đáp: “Ta sai Cương Thành quân Thái Trạch sang Yên ba năm, Thái tử Đan nước Yên đã sang làm con tin, ta đích thân yêu cầu Trương khanh sang làm Thừa tướng nước Yên nhưng ông ta không đi.”
文信侯叱曰：“去！我身自请之 而不肯，女焉能行之？”	Văn Tín hầu mắng: “Cút! Chính ta yêu cầu ông ta còn không chịu, ngươi sao khiến ông ta đi được?”
甘罗曰：“大项橐 生七岁为孔子师。今臣生十二 岁於兹矣，君其试臣，何遽叱乎？”	Cam La nói: “Hạng Thác mới bảy tuổi đã làm thầy Khổng tử. Nay tôi mười hai tuổi rồi, ngài để tôi thử, sao lại vội quát tháo thế?”
张卿曰：“应侯不如文信侯专。”	Trương khanh đáp: “Ứng hầu không có quyền hành bằng Văn Tín hầu.”
甘罗曰：“应侯 欲攻赵，武安君难之，去咸阳七里而立死於杜邮。今文信侯自请卿相 燕而不肯行，臣不知卿所死处矣。”	Cam La nói: “Ứng hầu muốn đánh Triệu, Vũ An quân cho là khó, rời Hàm Dương bảy dặm đã chết ở Đỗ Bưu. Nay đích thân Văn Tín hầu yêu cầu ngài sang làm Thừa tướng nước Yên, ngài không chịu đi, tôi không biết ngài sẽ chết ở chỗ nào vậy.”
始皇召见，使甘罗於赵。	Thủy hoàng triệu kiến, sai Cam La đến Triệu.
甘罗年少，然 出一奇计，声称後世。	Cam La tuổi nhỏ, nhưng đưa ra một kế lạ, được đời sau khen ngợi.
虽非笃行之君子，然亦战国之策士也。	Tuy không phải bậc quân tử đức hạnh thuần chính, nhưng cũng là mưu sĩ thời Chiến quốc.
苏代许诺。	Tô Đại đồng ý.
