陈丞相平者，阳武户牖乡人也。	Thừa tướng Trần Bình người hưởng Hộ Dũ, Dương Vũ.
平谢曰：“主臣！ 陛下不知其驽下，使待罪宰相。宰相者，上佐天子理 阴阳，顺四时，下育万物之宜，外镇抚四夷诸侯，内亲附百姓，使卿 大夫各得任其职焉。”	Bình tạ lỗi rằng: “Chúa thượng! Bệ hạ không biết thần kém cỏi, cho được làm Tể tướng. Tể tướng trên giúp thiên tử trị lý âm dương, thuận ứng bốn mùa, dưới nuôi dưỡng muôn vật cho hài hòa, ngoài thì trấn áp vỗ về Tứ di và chư hầu, trong thì thân với trăm họ, khiến các khanh đại phu ai nấy đều làm tốt chức phận của mình.”
右丞相大惭，出而让陈平 曰：“君独不素教我对！”	Hữu thừa tướng cả thẹn, xuất cung, trách Trần Bình rằng: “Sao ngày thường ông không dạy tôi cách trả lời?”
陈平笑曰：“君居其位，不知其任邪？且 陛下即问长安中盗贼数，君欲彊对 邪？”	Trần Bình cười đáp: “Ông ở vị trí của mình, lại không biết nhiệm vụ của mình ư? Nếu bệ hạ hỏi ở trong thành Trường An có bao nhiêu tên trộm, ông định trả lời bừa sao?”
於是绛侯自知其能不如平远矣。	Qua đấy Giáng hầu tự biết tài mình kém xa Trần Bình.
居顷之，绛侯谢病请免相，陈 平专为一丞相。	Một thời gian sau, Giáng hầu cáo bệnh xin nghỉ chức Hữu thừa tướng, một mình Trần Bình làm Thừa tướng.
孝文帝二年，丞相陈平卒，谥为献侯。	Hiếu Văn đế năm thứ hai, Thừa tướng Trần Bình chết, thụy là Hiến hầu.
二年卒， 子简侯恢代侯。	Được hai năm thì chết, con là Giản hầu Khôi kế thừa tước hầu.
二十三年卒，子何代侯。	Được hai mươi ba năm thì chết, con là Hà kế thừa tước hầu.
二十三年，何坐略人妻，弃 市，国除。	Được hai mươi ba năm, Hà mắc vào tội cướp vợ người khác, bị chém ngoài chợ, nước phong bị phế.
始陈平曰：“我多阴谋，是道家之所禁。吾世即废，亦已矣，终 不能复起，以吾多阴祸也。”	Ban trước Trần Bình nói: “Ta nhiều mưu kế âm hiểm, đó là điều cấm kỵ của Đạo gia. Đời sau của ta nếu bị phế truất cũng là hết, rốt cuộc không hưng khởi được nữa, vì ta nhiều âm mưu nên lắm tai họa vậy.”
然其後曾孙陈掌以卫氏亲贵戚，原得续 封陈氏，然终不得。	Về sau người chắt là Trần Chưởng thông qua họ Vệ là chỗ thân thích, hiển quý, xin kế thừa tước phong của họ Trần, nhưng rốt cuộc vẫn không được.
太史公曰：陈丞相平少时，本好黄帝、老子之术。	Thái sử công bàn rằng: Thừa tướng Trần Bình lúc nhỏ vốn thích đạo Hoàng Đế, Lão tử.
方其割肉俎上 之时，其意固已远矣。	Ngay khi thái thịt tế trên thớt đã có chí hướng cao xa.
及吕后时，事多故矣，然平竟自脱，定宗 庙，以荣名终，称贤相，岂不善始善终哉！ 非知谋孰能当此者乎？ 曲逆穷巷，门多长者。 宰肉先均，佐丧後罢。	Đến thời Lã hậu, nảy sinh nhiều việc, nhưng Bình rốt cuộc tự thoát được, giữ yên tông miếu, nhờ đó danh tiếng vẻ vang đến lúc chết, được xưng tụng là Thừa tướng hiền năng, há không phải là trọn vẹn từ đầu chí cuối ư!
项王使项悍拜平为都尉，赐金二十溢。	Hạng vương sai Hạng Hãn phong Bình làm Đô úy, tặng hai mươi dật vàng.
项王怒，将诛定殷者将吏。	Hạng vương giận, định giết các tướng và quan lại trước đây bình định đất Ân.
平恐，乃解衣裸而佐刺船。	Bình sợ, bèn cởi áo để trần chèo thuyền giúp.
遂与东伐项王。	Bèn cho cùng sang phía đông đánh Hạng vương.
项羽 果意不信锺离眜等。	Hạng Vũ quả nhiên có ý không tin bọn Chung Ly Muội.
项王果大疑 亚父。	Hạng vương quả nhiên rất ngờ Á phụ.
遂入关，收散兵复东。	Rồi vào Quan Trung, thu các quận tản mác, lại kéo sang phía đông.
汉六年，人有上书告楚王韩信反。	Hán Cao tổ năm thứ sáu, có người dâng thư tố cáo Sở vương Hàn Tín làm phản.
高帝问诸将，诸将曰：“亟发 兵阬竖子耳。”	Cao đế hỏi các tướng, các tướng nói: “Mau phát binh chôn sống thằng nhãi ấy.”
高帝默然。	Cao đế trầm ngâm.
还至雒阳，赦 信以为淮阴侯，而与功臣剖符定封。	Về đến Lạc Dương, xá miễn cho Tín, cho làm Hoài Âm hầu, rồi chẻ lệnh phù phân phong cho công thần.
凡六出奇计，辄益邑，凡六 益封。	Cả thảy sáu lần đưa ra kế lạ, liền được thêm ấp phong, cả thảy sáu lần được phong thêm.
高帝从破布军还，病创，徐行至长安。	Từ khi phá quân Kình Bố trở về, Cao đế bị thương phát bệnh, phải đi chậm về Trường An.
燕王卢绾反，上使樊哙以 相国将兵攻之。	Yên vương Lư Oản làm phản, hoàng thượng sai Phàn Khoái lấy thân phận Tướng quốc đem quân đến đánh.
用陈平谋而召绛侯周勃受诏床下，曰：“陈平亟驰传载勃 代哙将，平至军中即斩哙头！”	Theo kế của Trần Bình rồi triệu Giáng hầu Chu Bột đến nhận chiếu chỉ dưới giường, nói: “Trần Bình kíp ruổi ngựa trạm đưa Bột cầm quân thay Khoái, Bình đến trong quân lập tức chém đầu Khoái!”
哙受诏，即反接载槛车，传诣长安，而令 绛侯勃代将，将兵定燕反县。	Khoái nhận chiếu, liền bắt trói Khoái cho vào xe tùy theo đường dịch trạm đưa về Trường An, rồi lệnh Giáng hầu là Bột cầm quân thay Khoái, đem quân bình định các huyện làm phản ở nước Yên.
樊哙至，则赦复爵邑。	Phàn Khoái về tới, được xá miễn và khôi phục tước vị, ấp phong.
陵少文，任 气，好直言。	Lăng ít văn vẻ, khí khái, thích nói thẳng.
以善雍齿，雍齿，高帝之仇，而陵本无意从高帝，以故晚封， 为安国侯。	Lăng vốn thân thiết với Ung Xỉ, Ung Xỉ là kẻ thù của Cao đế, còn Lăng vốn không có ý theo Cao đế, vì thế mãi muộn mới được phong làm An Quốc hầu.
安国侯既为右丞相，二岁，孝惠帝崩。	Sau khi An Quốc hầu làm Hữu thừa tướng, được hai năm, Hiếu Huệ đế băng hà.
汉王之败彭城西，楚取太上皇、吕后为质，食其以 舍人侍吕后。	Hán vương thua trận ở Bành Thành, [chạy] sang phía tây, Sở bắt được Thái thượng hoàng và Lã hậu làm con tin, Dị Cơ là xá nhân hầu hạ Lã hậu.
及吕太后崩，平与太尉勃合 谋，卒诛诸吕，立孝文皇帝，陈平本谋也。	Đến khi Lã Thái hậu băng hà, Bình cùng Thái úy Chu Bột bàn mưu, rốt cuộc giết những người họ Lã, lập Hiếu Văn Hoàng đế lên ngôi, vốn là mưu của Trần Bình vậy.
孝文帝初立，怪平病，问之。	Hiếu Văn đế mới lên ngôi, lấy làm lạ vì Trần Bình các bệnh, hỏi han Bình.
勃又谢不知，汗出沾背，愧不能对。	Bột lại tạ lỗi là không biết, mồ hôi vã ra ướt lưng, thẹn không biết đối đáp thế nào.
平曰：“陛下即问决狱，责 廷尉；问钱穀，责治粟内史。”	Bình đáp: “Nếu bệ hạ hỏi việc hình ngục, thì hỏi quan Đình úy; hỏi về tiền thóc, thì hỏi Nội sử phụ trách việc thóc lúa.”
孝文帝乃称善。	Hiếu Văn đế liền khen ngợi.
子共侯买代侯。	Con là Cung hầu Mãi kế thừa tước hầu.
倾侧扰攘楚魏之间，卒归高帝。	Qua lại cùng Sở-Ngụy rối ren, cuối cùng về theo Cao đế.
常出奇计，救 纷纠之难，振国家之患。	Thường đưa ra những kế lạ, cứu được nhiều lúc nguy khốn, giải trừ được mối lo của đất nước.
吕太后怒，乃详 迁陵为帝太傅，实不用陵。	Lã Thái hậu giận, bèn vờ thăng Lăng làm Thái phó của Hoàng đế, kỳ thực là không dùng Lăng.
