绛侯周勃者，沛人也。 其先卷人， 徙沛。	Giáng hầu Chu Bột là người huyện Bái. Tổ tiên là người huyện Khuyên, [sau] rời đến huyện Bái.
景帝以目送之，曰：“此怏怏者非 少主臣也！”	Cảnh để đưa mắt nhìn theo, nói: “Kẻ ấm ức như thế không phải bề tôi của bậc thiếu chủ!”
居无何，条侯子为父买工官尚方 甲楯五百被 可以葬者。	Không lâu sau, con của Điều hầu mua cho cha năm trăm bộ giáp và lá chắn ở chỗ quan phụ trách chế tạo đồ dùng cho triều đình, để dùng vào việc tuẫn táng.
取庸苦之，不予钱。	Người được thuê chở các đồ ấy rất vất vả, lại không được đưa tiền công.
庸知其盗买县官器， 怒而上变告子，事连汙条侯。	Người làm thuê biết con của Điều hầu mua trộm các đồ dùng dành cho thiên tử, giận rồi dâng thư tố cáo con trai Á Phu, việc liên lụy đến Điều hầu.
亚夫曰：“臣所买器，乃葬器也，何谓反 邪？”	Á Phu đáp: “Đồ tôi mua là để tuẫn táng, sao nói là phản được?”
太史公曰：绛侯周勃始为布衣时，鄙朴人也，才能不过凡庸。	Thái sử công bàn rằng: Giáng hầu Chu Bột ban đầu lúc còn mặc áo vải, là người quê mùa chất phác, tài năng không hơn người thường.
虽 伊尹、周公，何以加哉！	Dẫu Y Doãn, Chu công, nào có hơn gì!
亚夫之用兵，持威重，执坚刃，穰苴曷有加 焉！	Á Phu dụng binh, giữ sự uy nghi, trịnh trọng, giữ bền chắc, dẫu Nhương Tư cũng đâu hơn được!
悲夫！	Đáng buồn thay!
成礼 而去。	Lễ úy lạo xong xuôi rồi ra đi.
