孝武皇帝者， 孝景中子也。	Hiếu Vũ hoàng đế là con giữa của Hiếu Cảnh hoàng đế.
居久之，李少君病死。	Lâu sau, Lý Thiếu Quân ốm chết.
求蓬莱安期生莫能 得，而海上燕齐怪迂之方士多相效，更言神事矣。	Không ai tìm được An Kỳ Sinh ở Bồng Lai, mà vùng duyên hải Yên – Tề nhiều bọn phương sĩ quái đản hoang đường cùng nhau bắt chước Thiếu Quân, toàn đến nói những chuyện thần tiên.
亳人薄诱忌 奏祠泰一方，曰：“天神贵者泰一， 泰一佐曰五帝。 古者天子以春秋祭泰一东南郊，用太牢具，七日， 为坛开八通之鬼道。”	Người huyện Bạc là Bạc Dụ Kỵ dâng tấu, bày cách cúng thần Thái Nhất, nói rằng: “Vị thần tôn quý nhất trên trời là Thái Nhất, phò tá cho Thái Nhất là Ngũ đế. Thời cổ thiên tử vào hai mùa xuân thu cúng tế thần Thái Nhất ở ngoại ô phía đông nam, dùng cỗ thái lao, tế bảy ngày, trên đàn làm tám đường cho quỷ thần lui tới.”
於是天子令太祝 立其祠长安东南郊，常奉祠如忌方。	Thế rồi, thiên tử lệnh cho quan Thái chúc lập đền thờ ở ngoại ô phía đông nam thành Trường An, thường phụng tế theo cách của Dụ Kỵ.
其後人有上书，言“古者天子三 年一用太牢具祠神三一：天一，地一，泰一”。	Về sau có người dâng thư nói: “Thời xưa ba năm mới một lần dùng cỗ thái lao cúng tế thần Tam Nhất gồm Thiên Nhất, Địa Nhất và Thái Nhất.”
天子许之，令太祝领 祠之忌泰一坛上，如其方。	Thiên tử chuẩn tấu, lệnh cho quan Thái chúc cúng tế trên đàn Thái Nhất của Dụ Kỵ, theo cách của người kia.
令祠官领之如其方，而祠於忌泰一坛旁。	Vua lệnh cho quan cũng tế lĩnh ý, làm theo cách đó, cúng tế ở bên cạnh đàn Thái Nhất của Dụ Kỵ.
有司曰：“陛下肃祗郊祀，上帝 报享，锡一角兽，盖麟云。”	Quan hữu ty nói: “Bệ hạ cung kinh tế Giao, thượng đế đáp lại, bạn cho thú một sừng, chừng là kỳ lân vậy.”
於是济北王以为天子且封禅，乃上书献泰山及其旁邑。	Thế rồi Tế Bắc vương cho rằng thiên tử sắp phong thiện, bèn dâng thư hiến vùng Thái Sơn và ấp phong quanh đó.
於是乃拜少翁为文成将军，赏赐甚多，以客礼礼之。	Thế rồi bèn cho Thiếu Ông làm Văn Thành tướng quân, ban thưởng rất nhiều, đón tiếp theo lễ tân khách.
乃为帛书以饭牛， 详弗知也，言此牛腹中有 奇。	Hắn bèn viết thư lụa đem cho trâu ăn, vờ không hay biết, nói rằng trong bụng trâu có vật lạ.
有识其手书，问之人， 果书。	Có người nhận ra nét bút, hỏi người đó, quả là thư giả.
於是诛文成将军 而隐之。	Thế rồi giết Văn Thành tướng quân và giấu việc này đi.
其後则又作柏梁、 铜柱、承露仙人掌 之属矣。	Về sau lại dựng những thứ như đài Bách Lương, cột đồng, tay tiên hứng móc.
游水发根 乃言 曰：“上郡有巫，病而鬼下之。”	Du Thủy Phát Căn bèn nói: “Thượng Quận có thầy đồng, bị ốm thì quỷ thần nhập.”
神君言曰：“天子毋忧病。病少 愈，强与我会甘泉。”	Thần nói: “Thiên tử chớ lo lắng bệnh tật. Khi bệnh hơi đỡ, hãy gắng gặp ta ở Cam Tuyền.”
於是病愈，遂幸甘泉，病良已。	Thế rồi bệnh đỡ, bèn tới cung Cam Tuyền, bệnh liền khỏi hẳn.
大赦天下，置寿宫神君。	Vua bèn đại xá thiên hạ, xây Thọ cung thờ thần quân.
时去时来，来则风肃然也。	Lúc đến lúc đi, đến thì có tiếng gió vù vù.
居室帷中。 时昼言， 然常以夜。	Họ ở trong màn trường, có khi ban ngày lên tiếng, song thường vào buổi đêm.
因巫为主人，关饮食。	Cung do thầy đồng là chủ, lo cỗ cúng.
又置寿宫、北宫， 张羽旗，设 供具，以礼神君。	Lại cho dựng Thọ cung, Bắc cung, giằng co mao, bày đồ tế, để thờ thần.
过雒阳，下诏曰：“三代邈绝，远 矣难存。其以三十里地封周後为周子南君，以奉先王祀焉。”	Đi qua Lạc Dương, xuống chiếu nói rằng: “Thời Tam đại mờ mịt, dòng dõi khó còn. Hãy lấy ba mươi dặm đất phong cho hậu duệ nhà Chu làm Chu Tử Nam quân, để phụng thờ tiên vương ở đó.”
康后闻文成已死，而欲自媚於上，乃遣栾大 因乐成侯求见言方。	Khang hậu nghe tin Văn Thành đã chết, lại muốn lấy lòng vua, bèn sai Loan Đại nhờ Lạc Thành hầu cầu kiến thiên tử để nói về phương thuật.
天子既诛文成，後悔恨其早死，惜其方不尽，及 见栾大，大悦。	Thiên tử đã giết Văn Thành, sau hối hận để y chết sớm, tiếc phương thuật không truyền lại hết, đến khi gặp Loan Đại thì cả mừng.
大 言曰：“臣尝往来海中，见安期、羡门 之属。顾以为臣贱，不信臣。又以为康王诸侯耳，不 足予方。臣数言康王，康王又不用臣。臣之师曰：‘黄金可成，而河 决可塞，不死之药可得，仙人可致也。’臣恐效文成，则方士皆掩 口，恶敢言方哉！”	Hắn khoác lác rằng: “Thần từng qua lại giữa biển, gặp hội An Kỳ Sinh, Tiển Môn Cao. Song họ nghĩ thần chức mọn, không tin thần. Lại cho rằng Khang vương chỉ là chư hầu thôi, không xứng truyền phương thuật. Thần nhiều lần nói với Khang vương, Khang vương lại không chịu dùng thần. Thày của thần nói: Vàng có thể luyện được, Hoàng Hà vỡ mà có thể lấp được, thuốc bất tử sẽ có được, thần tiên cũng vời đến được. Thần sợ như Văn Thành thì phương sĩ đều ngậm miệng, nào dám nói về phương thuật nữa!”
上曰：“文成食马肝死耳。子诚能脩其方，我何 爱乎！”	Vua nói: “Văn Thành ăn phải gan ngựa nên chết thôi. Nếu người quả thật có thể lần ra thuật của y, ta có tiếc gì.”
大曰：“臣师非有求人，人者求之。陛下必欲致之，则贵其 使者，令有亲属，以客礼待之，勿卑，使各佩其信印，乃可使通言於 神人。神人尚肯邪不邪。致尊其使，然后可致也。”	Đại nói: “Thày của thần không tìm đến ai, chỉ có mọi người tìm đến ngài. Bệ hạ nhất định muốn với thần tiên tới thì phải quý trọng sứ giả của thần tiên, cho sứ giả có gia quyến, lại dùng lễ tân khách tiếp đãi, không coi nhẹ, cho sứ giả đeo các loại ấn tín, mới có thể khiến sứ giả chuyển lời tới thần. Thần có muốn gặp không chưa rõ. Song tôn trọng sứ giả của thần hết mực, sau mới có thể với thần tới được.”
於是上使先验小 方，斗旗， 旗自相触击。	Thế rồi, vua sai kiểm nghiệm thuật nhỏ trước, y bèn đấu cờ, quân cờ tự va chạm vào nhau.
是时上方忧河决，而黄金不就，乃拜 大为五利将军。	Bấy giờ vua đang lo Hoàng Hà vỡ, song việc luyện ra vàng không thành công, bèn bái Đại làm Ngũ Lợi tướng quân.
又以卫长 公主妻之， 赍金万斤，更名其邑曰当利公主。	Lại gả Vệ Trưởng công chúa cho y, tặng một vạn cân vàng, đổi phong hiệu làm công chúa Đương Lợi.
於是天子又刻玉印曰“天道将军”，使使 衣羽衣，夜立白茅上，五利将军亦衣羽衣，立白茅上受印，以示弗臣 也。	Thế rồi thiên tử lại khắc ấn ngọc “Thiên Đạo tướng quân”, phái sứ giả mặc áo lông vũ, đêm đứng trên đám cỏ tranh màu trắng dâng ấn, còn tướng quân Ngũ Lợi cũng mặc áo lông vũ, đứng trên đám cỏ tranh màu trắng để nhận, tỏ ý không phải bề tôi của thiên tử nữa.
至中山， 晏温， 有黄云盖 焉。	Tới Trung Sơn, trời ấm, có mây vàng che phủ.
所 忠视其书不经，疑其妄书，谢曰：“宝鼎事已决矣，尚何以为！”	Sở Trung xem qua thư thấy vô lý, ngờ là lời những cuội, từ chối: “Chuyện đỉnh báu đã quyết rồi, còn nhắc làm gì?”
对曰：“受此书申功， 申功已死。”	Đáp rằng: “Thần nhận được thể thư này từ Thân Công. Thân Công đã chết.”
上曰：“申功何人也？”	Vua nói: “Thân Công là người thế nào?”
卿 曰：“申功，齐人也。与安期生通，受黄帝言，无书，独有此鼎书。 曰‘汉兴复当黄帝之时。汉之圣者在高祖之孙且曾孙也。宝鼎出而与 神通，封禅。封禅七十二王， 唯黄帝得上泰山封’。申功曰：‘汉主亦当上 封，上封则能仙登天矣。黄帝时万诸侯，而神灵之封居七千。 天下名山八，而三在蛮夷，五 在中国。中国华山、首山、太室、泰山、东莱，此五山黄帝之所常 游，与神会。黄帝且战且学仙。患百姓非其道，乃断斩非鬼神者。百 馀岁然後得与神通。黄帝郊雍上帝，宿三月。鬼臾区号大鸿，死葬 雍，故鸿冢是也。其後於黄帝接万灵明 廷。明廷者，甘泉也。所谓寒门者，谷 口也。 黄帝采首山铜，铸鼎荆山下。 鼎既成，有龙垂胡 珣 下迎黄帝。黄帝上骑，群臣後宫从上龙七十馀人，乃上 去。馀小臣不得上，乃悉持龙珣，龙珣拔，堕黄帝之 弓。百姓仰望黄帝既上天，乃抱其弓与龙胡珣号。 故後世因名其处曰鼎湖， 其弓曰乌号。’”於是天子 曰：“嗟乎！吾诚得如黄帝，吾视去妻子如脱鵕耳。”	Khanh nói: “Thân Công là người nước Tề, qua lại với An Kỳ Sinh, được nhận khẩu truyền của Hoàng Đế, chứ không có sách vở, chỉ có đỉnh thư này. Viết rằng: “Nhà Hán hưng thịnh lại hợp với thời điểm Hoàng Đế được đỉnh. Bậc thánh của nhà Hán là nằm trong số cháu và chắt của Cao tổ. Đỉnh báu xuất hiện, hợp với ý thần, phải làm lễ phong thiện. Xưa nay phong thiện có bảy mươi hai vua, duy có Hoàng Đế mới được phong thiện ở Thái Sơn. Thân Công nói: Chúa nhà Hán cũng nên lên Thái Sơn phong thiện, lên Thái Sơn phong thiện thì có thể thành tiên thăng lên trời. Thời Hoàng Đế có cả vạn chư hầu, những nước phong cúng tế thần linh có bảy ngàn. Danh sơn trong thiên hạ có tám ngọn thì ba ngọn ở man di, năm ngọn ở Trung Quốc. Trung quốc có Hoa Sơn, Thủ Sơn, Thái Thất, Thái Sơn, Đông Lai. Năm ngọn núi này xưa Hoàng Đế thường tới chơi, hội ngộ với các thần tiên. Hoàng Đế vừa chinh chiến vừa học tiên. Ngài lo trăm họ cản đường tu tiên, liền chém những kẻ phỉ báng quỷ thần, hơn trăm năm mới giao thông được với thần tiên. Hoàng Đế tế Giao cúng thượng đế ở đất Ung, ngụ lại ba tháng. Quỷ Du Khu có hiệu là Đại Hồng, chết táng ở đất Ung, cho nên Hồng Trung chính là mộ ông ta. Sau đó Hoàng Đế tiếp kiến cả vạn thần linh ở Minh Đình. Minh Đình là Cam Tuyền vậy. Còn Hàn Môn là Cốc Khẩu vậy. Hoàng Đế lấy đồng ở Thủ Sơn, đúc đỉnh ở dưới Kinh Sơn. Đỉnh đúc xong, có rồng rủ râu xuống đón Hoàng Đế. Hoàng Đế leo lên cưỡi. Quần thần và hậu cung có hơn bảy mươi người theo lên. Rồng bèn bay đi. Những bề tôi nhỏ khác không được lên, bèn nắm lấy râu rồng. Râu rồng bị nhổ, cung của Hoàng Đế cũng bị rơi. Trăm họ ngưỡng vọng Hoàng Đế đã lên trời, bèn ôm cung của ngài và râu rồng kêu khóc, cho nên hậu thế nhân đặt tên nơi đó là Đỉnh Hồ, cây cung gọi là Ô Hào.” ” Thế rồi thiên tử nói: “Than ôi! Ta quả thực được như Hoàng Đế, ta coi việc rời bỏ vợ con như cởi giày mà thôi!”
其下四方地，为餟食 群神从者及北斗云。	Bốn phía xung quanh dưới đàn tế đặt các thần tọa, để tể tự liên tục các vị thần tùy tòng giáng lâm và sao Bắc Đẩu.
泰一祝宰则衣紫 及绣。	Quan chủ tế cúng thần Thái Nhất thì mặc áo thêu màu tía.
有司云“祠上有光焉”。 公卿 言“皇帝始郊见泰一云阳， 有司奉瑄玉 嘉牲荐飨。是夜有美 光，及昼，黄气上属天。”	Quan hữu ty nói: “Trên đàn có ánh sáng” Công khanh nói: “Khi hoàng đế lần đầu tế Giao, cúng thần Thái Nhất ở cung Vân Dương, quan hữu ty bưng ngọc bích lớn cùng trâu lớn nuôi được năm năm để dâng cúng. Đêm ấy có ánh sáng đẹp, đến sáng, khí mây vàng tỏa trên trời.”
卿 曰：“仙者非有求人主，人主求之。其道非少宽假，神不来。言神 事，事如迂诞，积以岁乃可 致。”	Khanh nói: “Thần tiên không ai tìm đến vua chúa, chỉ có vua chúa tìm đến. Phép cầu thần tiên nếu không cho hạn dài ngày, thì thần tiên không tới, Bàn chuyện thần tiên như bàn chuyện quái đản vu khoát, phải qua nhiều năm mới với thần tiên tới được.”
於是郡国各除道，缮治宫观名山神祠所，以望幸矣。	Thế rồi quận quốc đều sửa sang đường sá, cung điện, đạo quán, miếu thờ thần trên danh sơn, mong ngóng thiên tử gia lâm.
上善之，下公卿 议，曰：“民间祠尚有鼓舞之乐，今郊祠而无乐，岂称乎？”	Vua cho là việc tốt, hạ lệnh cho công khanh bàn bạc, nói rằng: “Việc thờ cúng trong dân gian chuộng dùng nhạc có múa, có trống, nay tế Giao không có nhạc, liệu tương xứng không?”
或曰：“泰帝使素女 鼓五十弦瑟，悲，帝禁不 止，故破其瑟为二十五弦。”	Có người nói: “Thái Đế sai Tố Nữ gảy đàn sắt năm mươi dây, tiếng buồn thảm, đế không chịu được, nên sửa đàn sắt ấy thành loại hai mươi lăm dây.”
上 曰：“吾闻黄帝不死，今有冢，何也？”	Vua nói: “Ta nghe nói Hoàng Đế bất tử, nay lại có mộ, sao vậy?”
或对曰：“黄帝已仙上天， 群臣葬其衣冠。”	Có người đáp rằng: “Hoàng Đế đã thành tiên, thăng lên trời, đám bề tôi đem chôn áo mão của ngài.”
即至甘泉，为且用事 泰山，先类 祠泰一。	Sau khi tới Cam Tuyền, để chuẩn bị phong thiện ở Thái Sơn, vua tế thần Thái Nhất trước.
上为封祠器示群 儒，群儒或曰“不与古同”，徐偃又曰“太常诸生行礼不如鲁善”， 周霸属图封事，於是上绌 偃、霸，尽罢诸儒弗用。	Vua đem đồ lễ phong thiện đưa cho đám Nho sinh xem, có kẻ nói “không giống thời cổ”, Từ Yến lại nói: “Các quan cúng tế ở Thái Thường hành lễ không bằng nước Lỗ xưa” Khi đám Chu Ba còn đang tụ tập, bàn luận về việc phong thiện thì vua đã phế truất Yển, Bá, bãi bỏ tất cả Nho sinh không dùng nữa.
三月，遂东幸缑氏，礼登中岳 太室。	Tháng Ba, vua đi về đông tới huyện Câu Thị, lên ngọn Thái Thất trên núi Trung Nhạc tế lễ.
从官在山下闻若有言“万岁”云。	Các quan theo hầu ở dưới núi dường như nghe thấy có tiếng hô “Vạn tuế!”
於是以三百户封太室奉 祠，命曰崇高邑。	Thế rồi đem ba trăm hộ cắt về núi Thái Thất để thờ cúng, gọi là ấp Sùng Cao.
乃益发船，令言海中神山者数千人求蓬莱神人。	Đoạn bèn phái thêm thuyền, lệnh cho hàng ngàn người nói rằng giữa biển Có núi thần đi tìm tiên nhân Bồng Lai.
公孙卿持节常 先行候名山，至东莱，言夜见一人，长数丈，就之则不见，见其迹甚 大，类禽兽云。	Công Tôn Khanh cầm phù tiết đi trước, chầu chực thần ở các ngọn danh sơn, tới Đông Lai, nói rằng đêm gặp một người, cao mấy trượng, đến gần thì không thấy nữa, chỉ thấy vết chân rất lớn, như chân muông thú.
宿留 海上，与方士传车及间使求仙人 以千数。	Đêm ở lại trên biển, cho đám phượng sĩ xe trạm, ngầm phái hàng ngàn người đi tìm tiên.
天子至梁父，礼祠地主。	Thiên tử tới núi Lương Phụ, làm lễ cúng thần đất.
封泰山下东方，如郊祠泰一之礼。	Đặt đàn tế trời ở phía đông dưới Thái Sơn, làm như lễ tế Giao tế thần Thái Nhất.
礼毕，天子独与侍中奉车子侯 上 泰山，亦有封。	Lễ xong, thiên tử một mình cùng Thị trung phụng xa Tử Hầu lên Thái Sơn, cũng có đàn tế trời.
纵远方奇兽蜚禽及白雉诸物，颇以加 祠。	Thả các loại cầm thú hiếm lạ cùng chim trĩ trắng, để tăng thêm không khí của buổi lễ.
封禅祠，其夜若有光， 昼有白云起封中。	Hôm làm lễ phong thiện, ban đêm dường như có ánh sáng, ban ngày có mây trắng bốc lên từ đàn tế.
天子既已封禅泰山，无风雨菑，而方士更言蓬莱诸神山若将可 得，於是上欣然庶几遇之，乃复东至海上望，冀遇蓬莱焉。	Thiên tử phong thiện ở Thái Sơn xong xuôi, không gặp gió mưa, tai hại. Còn đám phương sĩ lại nói có thể sắp tìm được các ngọn núi thần Bồng Lai, thế là vua mừng rỡ như thể sẽ gặp được họ, bèn lại đi về đông tới biển trông ngóng, mong thấy được Bồng Lai.
奉车子侯 暴病，一日死。	Phụng xa đô úy Tử Hầu bạo bệnh, chết ngay trong ngày.
後十馀日，有星茀于三能。	Hơn mười ngày sau, có sao tỏa sáng ở chòm Tam thai.
有司言 曰：“陛下建汉家封禅，天其报德星云嘒” 其来年冬，郊雍五帝，还，拜祝祠泰一。	Quan hữu ty nói: “Bệ hạ đặt ra lễ phong thiện cho nhà Hán, nên trời đáp lại bằng ngôi sao đức vậy.” Mùa đông năm sau, tế Giao ở đất Ung, tế Ngũ đế, quay về, lạy khấn thần Thái Nhất.
乃令越巫立越祝祠，安台无坛，亦祠天神上帝 百鬼，而以鸡卜。	Đoạn bèn sai thầy đồng người đất Việt lập đền thờ kiểu Việt, đặt bé nhưng không có đàn tế, cũng thờ thiên thần, thượng đế, trăm loại ma quỷ, dùng gà để bói.
上信之，越祠鸡卜始用 焉。	Vua tin theo, đền thờ Việt, bói gà bắt đầu dùng từ đây.
於是上令长安则作蜚廉桂观， 甘 泉则作益延寿观，使卿持节设具而候神人，乃作通天台， 置祠具其下，将招来神仙之属。	Thế rồi vua lệnh cho tại Trường An thì dựng quản Phỉ Liêm và quán Quế; tại Cam Tuyền thì dựng quán Ích Diên Thọ; sai Khanh cầm phù tiết, bày đồ cúng chầu chực thần tiên. Lại dựng đài Thông Thiên, đặt đồ thờ ở phía dưới, để vời gọi các vị thần tiên.
於是甘泉更 置前殿，始广诸宫室。	Thế rồi lại cho đặt thêm tiền điện ở cung Cam Tuyền, bắt đầu mở rộng các cung thất.
夏，有芝生殿防内中。	Mùa hè, cỏ linh chi mọc trong điện.
明堂图中有一殿，四面无壁，以茅盖，通水，圜宫垣为衤复道， 上有楼，从西南入，命曰昆仑， 天子从之入， 以拜祠上帝焉。	Trong bản vẽ Minh đường có một điện, bốn mặt không có vách, lợp cỏ tranh, thông với nước, quanh tường cung làm đường phức đạo, trên có lầu, hướng từ phía tây nam vào điện, đặt tên Côn Lôn, thiên tử từ lối đó đi vào, để cúng bái thượng đế.
天子从昆仑道入，始拜明堂 如郊礼。	Thiên tử từ đường Côn Lôn đi vào, bắt đầu với Minh Đường như lễ tế Giao.
而上又上泰山，有祕祠其颠。	Rồi vua lại lên Thái Sơn, mật đảo trên đỉnh núi.
天子亲至泰 山，以十一月甲子朔旦冬至日祠上帝明堂， 每脩封禅。 其赞飨曰：“天增授皇帝泰元 神筴，周而复始。 皇帝敬拜泰一。” 东至海上，考入海及方士求神者，莫验，然益遣， 冀遇之。 十一月乙酉，柏梁灾。	Thiên tử đích thân tới Thái Sơn, vào ngày Giáp Tý, tháng Mười một, sáng sớm giao tiết Đông chí, thì tế thượng đế ở Minh đường, không cần phong thiện.
勇之乃曰：“越俗有火灾，复起屋必以大， 用胜服之。”	Dũng Chi bèn nói: “Tục nước Việt khi có hỏa hoạn, làm lại nhà ắt phải to hơn, để chế ngự tại ương.”
其西则唐中， 数十里虎圈。	Phía tây là Đường trung, có Hổ quyền chu vi mấy chục dặm.
其北治大池，渐台 高二十馀丈，名曰泰液 池，中有蓬莱、方丈、瀛洲、壶梁，象海中神山龟鱼之属。	Phía bắc làm hồ lớn, Tiệm đài giữa hồ cao hơn hai mươi trượng, đặt tên là Thái Dịch trì, giữa hồ đặt ra các đảo Bồng Lai, Phương Thượng, Doanh Châu, Hồ Lương, lại có những thứ tượng trưng cho các ngọn núi thần, Tủa cá ngoài biển.
是岁，西伐大宛。	Năm ấy, tây tiến đánh Đại Uyển.
蝗大起。	Nạn châu chấu bùng nổ.
公■带曰：“黄帝时虽封泰山，然风后、封钜、 岐伯令黄帝封 东泰山，禅凡山 合符，然後不死焉。”	Công Ngọc Đới nói: “Thời Hoàng Đế tuy lập đàn tế trời ở Thái Sơn, song Phong Hậu, Phong Cự, Kỳ Bá lệnh cho Hoàng Đế lập đàn tế trời ở Đồng Thái Sơn, đàn tế đất ở Pham Sơn, nếu đều ứng với điềm lành, sau đó mới bất tử được.”
其後令 带奉祠候神物。	Sau đó lệnh cho Đới phụng thờ, đón thần.
石 闾者，在泰山下阯南方，方士多言此仙人之闾也，故上亲禅焉。	Thạch Lư ở phía nam dưới chân núi Thái Sơn, phương sĩ nhiều kẻ nói rằng đây là làng của thần tiên, nên vua đích thân tế đất ở đây.
薄忌泰一及三一、冥羊、马行、赤星，五，宽舒之祠官 以岁时致礼。	Năm đền thờ do Bạc Kỵ đề xuất dựng lên là Thải Nhất, Tam Nhất, Minh Dương, Mã Hành, Xích Tinh, thì do các quan lo việc cúng tế do Khoan Thư cầm đầu tế lễ hằng năm.
而方士之候祠神人，入 海求蓬莱，终无有验。	Còn bọn phương sĩ chầu chực thần tiên, ra biển tìm Bồng Lai, rốt cục không linh nghiệm.
入寿宫侍祠神 语，究观方士祠官之言，於是退而论次自古以来用事於鬼神者，具见 其表里。 後有君子，得以览焉。	Vào Thọ cung chầu nghe giọng thần, xét xem lời nói của phương sĩ, quan tế; rồi lui về lần lượt luận thuật những việc thờ cúng quỷ thần từ xưa tới nay, để thấy hết được ngọn ngành, ngõ hầu các bậc quân tử đời sau có thể xem được.
後人复有上书，言“古者天子常以春秋解 祠，祠黄帝用一枭破镜； 冥羊 用羊；祠马行用一青牡马；泰 一、皋山山君、地长用牛；武夷君 用乾鱼；阴阳使者以一牛”。	Về sau lại có người dâng thư, nói: “Thời xưa thiên tử thường cũng giải hạn vào hai mùa xuân thu, tế Hoàng Đế thì dùng con kiêu con kính, tế thần Minh Dương thì dùng dê; tế thần Mã Hành thì dùng một con ngựa đực màu xanh; tế thần Thái Nhất, Cao Sơn sơn quân, Địa trưởng thì dùng trâu; tế Vũ Di quân thì dùng cá khô; tế Âm Dương sứ giả thì dùng một con trâu.”
赐诸侯白金，以风符应合于天地。	Ban cho chư hầu bạch kim, ngầm chỉ điềm lành này ứng hợp với ý trời đất.
有司与太史公、 祠官宽舒等议：“天地牲角 茧栗。今陛下亲祀后土，后土宜於泽中圜丘为五坛，坛一黄犊太牢 具，已祠尽瘗，而从祠衣上黄。”	Quan hữu ty cùng đám Thái sử công, quan cúng tế là Khoan Thư bàn rằng: “Tế trời đất phải dùng muông sinh có sừng chớm nhú như kén tằm, hạt dẻ. Nay bệ hạ đích thân tế Hậu Thổ, thì đàn Hậu Thổ nên đặt ở khoảnh đất tròn giữa hồ, lập năm đàn tế, mỗi đàn dùng một con nghé làm cỗ thái lao, cúng xong chôn cả. Bồi tế đều vận áo vàng.”
於是天子遂东，始立后土祠汾阴脽 上， 如宽舒等议。	Thế rồi thiên tử bèn tới phía đông, bắt đầu lập đền Hậu Thổ trên gò đất ở Phần Âm, như lời bàn của đám Khoan Thư.
是岁， 天子始巡郡县，侵寻於泰山矣。	Năm ấy, thiên tử bắt đầu tuần du các quận huyện, đã tới sát Thái Sơn.
卿有札书 曰：“黄帝得宝鼎宛，问於鬼臾区。 区对曰：‘帝得宝鼎神筴，是 岁己酉朔旦冬至，得天之纪，终而复始。’於是黄帝迎日推筴，後率 二十岁得朔旦冬 至，凡二十推，三百八十年。黄帝仙登于天。”	Khanh có thể thư viết rằng: “Hoàng Đế có được đỉnh báu ở đất Uyển Câu, đem hỏi Quỷ Du Khu. Khu đáp: “Để có được đỉnh báu và sách thần, ngày Kỷ Dậu năm ấy là ngày mồng một giao tiết Đồng chí, hợp với lịch trời, hết lại tuần hoàn. Thế rồi Hoàng Đế dùng lịch suy đoán, về sau cứ cách hai mươi năm lại được ngày mồng một giao tiết Đông chí, hai mươi lần suy, tính được ba trăm tám mươi năm, Hoàng Để thành tiên thăng lên trời.”
令祠官宽舒等具泰一祠坛，坛放薄忌泰一坛，坛三垓。	Lệnh cho đám quan cúng tế Khoan Thư dựng đàn tế thần Thái Nhất, đàn phỏng theo đàn Thái Nhất của Bạc Kỵ, gồm ba tầng.
而五帝独有俎豆醴进。	Còn tế Ngũ đế chỉ dùng thịt tế, rượu ngọt tiến cúng.
祭日以牛，祭月以 羊彘特。	Tế mặt trời dùng trâu, tế mặt trăng dùng dê hoặc lợn.
朝朝日，夕夕 月， 则揖；而见泰一如雍礼。	Sớm tế mặt trời, chiều tế mặt trăng thì chỉ vài; còn tế thần Thái Nhất thì y theo lễ tế Giao ở đất Ung.
其赞飨曰：“天始 以宝鼎神筴授皇帝，朔而又朔，终而复始，皇帝敬拜见焉。”	Lời khấn rằng: “Thuở trước trời đem đỉnh báu, sách thần trao cho Hoàng Đế, mồng một trở lại mồng một, hết lại tuần hoàn, nay hoàng đế kính cần bái kiến ở đây!”
其祠列火满坛，坛旁烹炊具。	Đuốc thắp đầy đàn cúng, cạnh đàn là dụng cụ đun nấu.
太史公、祠官宽舒等曰：“神灵之休，祐 福兆祥，宜因此地光域立泰畤坛以 明应。令太祝领，及腊间祠。三岁天子一郊见。”	Đám Thái sử Công, quan cúng tế Khoan Thư nói: “Thần linh cho hiện vẻ tốt là điềm ban phúc giáng lành, nên nhân đây lập đàn Thái Chỉ ở nơi có ánh sáng để tỏ rõ điềm linh ứng. Lệnh cho quan Thái chúc lĩnh ý, tế tự vào hai mùa thu đông. Ba năm thiên tử tế Giao một lần.”
其秋，为伐南越，告祷泰一，以牡 荆画幡 日月北斗登 龙，以象天一三星，为泰一锋， 名曰“灵旗”。	Mùa thu năm ấy, vì việc thảo phạt Nam Việt, nên tế cáo thần Thái Nhất, dùng gỗ mẫu kinh làm cán, trên lá cờ vẽ mặt trăng, mặt trời, Bắc đẩu, rồng thăng, để tượng trưng cho ba sao Thiên Nhất, làm ngọn cờ đầu tế thần Thái Nhất, gọi là Linh kỳ.
其秋，有星茀于东井。	Mùa thu năm ấy, có sao tỏa sáng ở giếng phía đông.
望气王朔言：“候独见其星出如瓠， 食顷复入焉。”	Quan coi khí mây là Vương Sóc nói: “Thần đón xem, chỉ thấy riêng sao ấy mọc, như quả bầu, chốc sau quãng hết bữa ăn thì lặn mất.”
复遣方士求神怪采芝药以千数。	Lại sai phương sĩ đi tìm thần quái, hái linh chi đến hàng ngàn người.
於是天子既出毋名，乃祷万 里沙， 过祠泰山。	Thế rồi thiên tử tuần du không có danh nghĩa chính đáng, bèn tới cầu mưa ở Vạn Lý Sa, đi qua Thái Son cúng bái.
天子为塞河，兴通天台，若有 光云，乃下 诏曰：“甘泉防生芝九茎， 赦天下，毋有复 作。”	Vì lấp chỗ đê vỡ ở Hoàng Hà, nên thiên tử cho dựng đài Thông Thiên, dường như có ánh sáng lạ, bèn xuống chiếu nói: “Trong điện ở cung Cam Tuyền mọc ra chín nhánh linh chi, nên đại xả thiên hạ, bỏ phạt phục tác.”
登礼潜之天柱山，号曰南岳。	Lên tế lễ ở núi Thiên Trụ huyện Tiềm, gọi là ngọn Nam Nhạc.
於是上令奉高作明堂汶上， 如带图。	Thế rồi vua hạ lệnh dựng Minh đường ở Vấn Thượng huyện Phụng Cao, như trong bản vẽ của Đới.
泰山上举火，下悉应 之。	Trên Thái Sơn giường đuốc, phía dưới đều hưởng ứng theo.
丁夫人、 雒阳虞初等以方祠诅匈奴、大宛焉。	Bọn Đinh phu nhân và Ngu Sơ người Lạc Dương dùng phương thuật trù úm Hung Nô, Đại Uyển.
